time,LA Lakers,pts.away,score,pts.home,Detroit
5:41.0,,,18-13,,Offensive rebound by A. Drummond
5:38.0,,,18-13,,A. Drummond misses 2-pt shot at rim
5:37.0,Defensive rebound by J. Randle,,18-13,,
5:31.0,Turnover by J. Randle (lost ball; steal by A. Drummond),,18-13,,
5:27.0,Personal foul by B. Ingram (drawn by R. Jackson),,18-13,,
5:27.0,,,18-13,,T. Harris enters the game for J. Leuer
5:18.0,,,18-13,,A. Drummond misses 2-pt shot from 6 ft
5:17.0,,,18-13,,Offensive rebound by M. Morris
5:16.0,,,18-15,2,M. Morris makes 2-pt shot at rim
5:16.0,LA Lakers full timeout,,18-15,,
5:16.0,L. Deng enters the game for B. Ingram,,18-15,,
4:54.0,Turnover by N. Young (traveling),,18-15,,
4:41.0,,,18-15,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by T. Black,,18-15,,
4:30.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Russell),3,21-15,,
4:18.0,,,21-18,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
3:58.0,J. Randle misses 2-pt shot from 3 ft,,21-18,,
3:57.0,Offensive rebound by J. Randle,,21-18,,
3:54.0,J. Randle misses 2-pt shot from 2 ft,,21-18,,
3:51.0,,,21-18,,Defensive rebound by R. Jackson
3:48.0,,,21-18,,T. Harris misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by N. Young,,21-18,,
3:37.0,Offensive foul by T. Black,,21-18,,
3:37.0,Turnover by T. Black (offensive foul),,21-18,,
3:37.0,L. Nance enters the game for J. Randle,,21-18,,
3:37.0,I. Zubac enters the game for T. Black,,21-18,,
3:37.0,J. Clarkson enters the game for D. Russell,,21-18,,
3:37.0,,,21-18,,I. Smith enters the game for R. Jackson
3:24.0,,,21-18,,A. Drummond misses 2-pt shot at rim
3:24.0,Defensive rebound by L. Nance,,21-18,,
3:16.0,Turnover by L. Nance (bad pass; steal by M. Morris),,21-18,,
3:09.0,,,21-18,,M. Morris misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by I. Zubac,,21-18,,
2:58.0,L. Deng misses 3-pt shot from 25 ft,,21-18,,
2:57.0,,,21-18,,Defensive rebound by A. Drummond
2:49.0,,,21-18,,M. Morris misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by L. Nance,,21-18,,
2:26.0,N. Young misses 3-pt shot from 26 ft,,21-18,,
2:25.0,,,21-18,,Defensive rebound by T. Harris
2:23.0,,,21-18,,Turnover by I. Smith (lost ball; steal by J. Clarkson)
2:08.0,Shooting foul by K. Caldwell-Pope (drawn by N. Young),,21-18,,
2:08.0,N. Young makes free throw 1 of 2,1,22-18,,
2:08.0,N. Young misses free throw 2 of 2,,22-18,,
2:08.0,,,22-18,,Defensive rebound by A. Baynes
2:08.0,,,22-18,,A. Baynes enters the game for A. Drummond
2:08.0,,,22-18,,J. Leuer enters the game for M. Morris
1:58.0,,,22-18,,Turnover by I. Smith (bad pass)
1:58.0,L. Williams enters the game for N. Young,,22-18,,
1:41.0,J. Clarkson misses 2-pt shot from 18 ft,,22-18,,
1:40.0,,,22-18,,Defensive rebound by A. Baynes
1:33.0,,,22-21,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
1:23.0,Turnover by J. Clarkson (lost ball; steal by I. Smith),,22-21,,
1:19.0,,,22-21,,Shooting foul by L. Deng (drawn by T. Harris)
1:19.0,,,22-21,,T. Harris misses free throw 1 of 2
1:19.0,,,22-21,,Offensive rebound by Team
1:19.0,,,22-21,,T. Harris misses free throw 2 of 2
1:18.0,Defensive rebound by L. Nance,,22-21,,
0:59.0,L. Deng misses 3-pt shot from 24 ft,,22-21,,
0:59.0,,,22-21,,Defensive rebound by K. Caldwell-Pope
0:50.0,,,22-23,2,I. Smith makes 2-pt shot from 18 ft
0:39.0,L. Nance makes 2-pt shot from 6 ft (assist by L. Williams),2,24-23,,
0:22.0,,,24-25,2,I. Smith makes 2-pt shot from 1 ft
0:00.0,Shooting foul by A. Baynes (drawn by I. Zubac),,24-25,,
0:00.0,I. Zubac misses free throw 1 of 2,,24-25,,
0:00.0,Offensive rebound by Team,,24-25,,
0:00.0,I. Zubac makes free throw 2 of 2,1,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by L. Nance (lost ball; steal by I. Smith),,25-25,,
11:30.0,,,25-25,,A. Baynes misses 2-pt shot from 5 ft
11:29.0,Defensive rebound by L. Deng,,25-25,,
11:26.0,Shooting foul by S. Johnson,,25-25,,
11:26.0,L. Williams makes free throw 1 of 2,1,26-25,,
11:26.0,L. Williams makes free throw 2 of 2,1,27-25,,
11:08.0,,,27-27,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
10:56.0,L. Nance misses 2-pt shot from 5 ft,,27-27,,
10:55.0,,,27-27,,Defensive rebound by T. Harris
10:46.0,,,27-27,,A. Baynes misses 2-pt shot from 11 ft
10:44.0,Defensive rebound by L. Nance,,27-27,,
10:37.0,Offensive charge foul by J. Clarkson,,27-27,,
10:37.0,Turnover by J. Clarkson (offensive foul),,27-27,,
10:25.0,,,27-29,2,T. Harris makes 2-pt shot from 18 ft (assist by I. Smith)
10:15.0,Shooting foul by A. Baynes,,27-29,,
10:15.0,L. Williams makes free throw 1 of 3,1,28-29,,
10:15.0,L. Williams makes free throw 2 of 3,1,29-29,,
10:15.0,L. Williams makes free throw 3 of 3,1,30-29,,
10:02.0,,,30-31,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
9:48.0,Shooting foul by J. Leuer (drawn by J. Clarkson),,30-31,,
9:48.0,J. Clarkson misses free throw 1 of 2,,30-31,,
9:48.0,Offensive rebound by Team,,30-31,,
9:48.0,J. Clarkson makes free throw 2 of 2,1,31-31,,
9:34.0,,,31-33,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
9:25.0,Turnover by L. Williams (bad pass; steal by J. Leuer),,31-33,,
9:21.0,,,31-33,,Turnover by I. Smith (bad pass; steal by L. Williams)
9:14.0,J. Clarkson misses 2-pt shot from 5 ft,,31-33,,
9:13.0,,,31-33,,Defensive rebound by A. Baynes
9:09.0,,,31-33,,Turnover by I. Smith (lost ball; steal by J. Clarkson)
9:03.0,J. Clarkson makes 2-pt shot at rim,2,33-33,,
8:55.0,,,33-33,,Detroit full timeout
8:49.0,,,33-33,,Shooting foul by J. Clarkson (drawn by S. Johnson)
8:49.0,,,33-35,2,S. Johnson makes 2-pt shot from 20 ft (assist by J. Leuer)
8:49.0,,,33-36,1,S. Johnson makes free throw 1 of 1
8:26.0,L. Williams makes 2-pt shot from 6 ft,2,35-36,,
8:14.0,,,35-36,,J. Leuer misses 3-pt shot from 27 ft
8:13.0,Defensive rebound by L. Deng,,35-36,,
8:03.0,I. Zubac misses 2-pt shot from 7 ft,,35-36,,
8:02.0,,,35-36,,Defensive rebound by S. Johnson
7:54.0,,,35-38,2,S. Johnson makes 2-pt shot from 19 ft
7:39.0,Turnover by L. Nance (bad pass; steal by T. Harris),,35-38,,
7:25.0,,,35-40,2,A. Baynes makes 2-pt shot from 17 ft (assist by S. Johnson)
7:05.0,I. Zubac makes 2-pt shot from 7 ft (assist by L. Williams),2,37-40,,
6:49.0,,,37-42,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
6:34.0,I. Zubac misses 2-pt shot from 3 ft (block by A. Baynes),,37-42,,
6:33.0,,,37-42,,Defensive rebound by I. Smith
6:33.0,Personal foul by L. Williams,,37-42,,
6:33.0,LA Lakers full timeout,,37-42,,
6:33.0,B. Ingram enters the game for L. Deng,,37-42,,
6:33.0,D. Russell enters the game for J. Clarkson,,37-42,,
6:33.0,J. Randle enters the game for L. Nance,,37-42,,
6:33.0,,,37-42,,A. Drummond enters the game for J. Leuer
6:33.0,,,37-42,,M. Morris enters the game for I. Smith
6:33.0,,,37-42,,R. Jackson enters the game for A. Baynes
6:23.0,,,37-42,,T. Harris misses 2-pt shot from 18 ft
6:22.0,,,37-42,,Offensive rebound by A. Drummond
6:15.0,,,37-42,,A. Drummond misses 2-pt shot from 4 ft
6:13.0,Defensive rebound by L. Williams,,37-42,,
6:07.0,L. Williams misses 2-pt shot from 5 ft,,37-42,,
6:06.0,,,37-42,,Defensive rebound by A. Drummond
6:02.0,,,37-44,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
5:47.0,I. Zubac misses 2-pt shot from 6 ft (block by S. Johnson),,37-44,,
5:44.0,,,37-44,,Defensive rebound by A. Drummond
5:35.0,,,37-46,2,R. Jackson makes 2-pt shot from 20 ft
5:28.0,J. Randle misses 2-pt shot from 4 ft (block by A. Drummond),,37-46,,
5:27.0,Offensive rebound by Team,,37-46,,
5:27.0,T. Black enters the game for I. Zubac,,37-46,,
5:24.0,B. Ingram makes 2-pt shot at rim (assist by D. Russell),2,39-46,,
5:05.0,,,39-46,,Turnover by S. Johnson (lost ball)
5:05.0,,,39-46,,K. Caldwell-Pope enters the game for S. Johnson
4:52.0,L. Williams misses 3-pt shot from 25 ft,,39-46,,
4:52.0,,,39-46,,Defensive rebound by M. Morris
4:41.0,,,39-46,,A. Drummond misses 2-pt shot from 10 ft
4:40.0,,,39-46,,Offensive rebound by K. Caldwell-Pope
4:33.0,,,39-48,2,T. Harris makes 2-pt shot from 16 ft
4:14.0,D. Russell makes 2-pt shot from 16 ft,2,41-48,,
4:03.0,,,41-48,,K. Caldwell-Pope misses 2-pt shot from 8 ft
4:02.0,,,41-48,,Offensive rebound by A. Drummond
4:02.0,,,41-48,,Shooting foul by T. Black (drawn by A. Drummond)
4:02.0,,,41-48,,A. Drummond misses free throw 1 of 2
4:02.0,,,41-48,,Offensive rebound by Team
4:02.0,,,41-48,,A. Drummond misses free throw 2 of 2
4:02.0,N. Young enters the game for L. Williams,,41-48,,
4:02.0,,,41-48,,J. Leuer enters the game for T. Harris
4:01.0,Defensive rebound by D. Russell,,41-48,,
3:43.0,D. Russell misses 2-pt shot from 19 ft,,41-48,,
3:42.0,,,41-48,,Defensive rebound by M. Morris
3:31.0,,,41-48,,Turnover by A. Drummond (lost ball; steal by N. Young)
3:13.0,N. Young misses 3-pt shot from 25 ft,,41-48,,
3:11.0,,,41-48,,Defensive rebound by R. Jackson
3:06.0,,,41-48,,Shooting foul by N. Young (drawn by J. Leuer)
3:06.0,,,41-49,1,J. Leuer makes free throw 1 of 2
3:06.0,,,41-50,1,J. Leuer makes free throw 2 of 2
2:54.0,T. Black makes 2-pt shot at rim (assist by B. Ingram),2,43-50,,
2:37.0,,,43-52,2,R. Jackson makes 2-pt shot from 19 ft
2:22.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,46-52,,
2:10.0,,,46-54,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
1:57.0,N. Young misses 2-pt shot from 17 ft,,46-54,,
1:55.0,,,46-54,,Defensive rebound by A. Drummond
1:48.0,,,46-56,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer)
1:48.0,,,46-56,,Shooting foul by N. Young (drawn by A. Drummond)
1:48.0,Official timeout,,46-56,,
1:48.0,,,46-56,,A. Drummond misses free throw 1 of 1
1:47.0,Defensive rebound by T. Black,,46-56,,
1:37.0,,,46-56,,Def 3 sec tech foul by J. Leuer
1:37.0,N. Young makes technical free throw,1,47-56,,
1:21.0,B. Ingram misses 2-pt shot from 11 ft,,47-56,,
1:20.0,,,47-56,,Defensive rebound by A. Drummond
1:13.0,,,47-56,,M. Morris misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by N. Young,,47-56,,
1:03.0,N. Young misses 2-pt shot from 19 ft,,47-56,,
1:03.0,,,47-56,,Defensive rebound by A. Drummond
0:53.0,,,47-56,,J. Leuer misses 2-pt shot from 1 ft (block by T. Black)
0:53.0,Defensive rebound by T. Black,,47-56,,
0:38.0,N. Young misses 2-pt shot from 2 ft (block by A. Drummond),,47-56,,
0:38.0,Offensive rebound by Team,,47-56,,
0:32.0,Shooting foul by J. Leuer (drawn by J. Randle),,47-56,,
0:32.0,J. Randle makes free throw 1 of 2,1,48-56,,
0:32.0,J. Randle misses free throw 2 of 2,,48-56,,
0:32.0,,,48-56,,Defensive rebound by A. Drummond
0:32.0,,,48-56,,T. Harris enters the game for J. Leuer
0:32.0,L. Nance enters the game for T. Black,,48-56,,
0:32.0,J. Clarkson enters the game for N. Young,,48-56,,
0:18.0,,,48-56,,M. Morris misses 2-pt shot from 1 ft
0:17.0,Defensive rebound by B. Ingram,,48-56,,
0:03.0,J. Clarkson misses 2-pt shot from 1 ft,,48-56,,
0:02.0,Offensive rebound by L. Nance,,48-56,,
0:02.0,L. Nance makes 2-pt shot at rim,2,50-56,,
0:00.0,,,50-56,,M. Morris misses 3-pt shot from 61 ft
0:00.0,,,50-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by B. Ingram (step out of bounds),,50-56,,
11:19.0,,,50-58,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
11:03.0,T. Black makes 2-pt shot from 1 ft,2,52-58,,
10:40.0,,,52-60,2,A. Drummond makes 2-pt shot from 8 ft
10:29.0,Turnover by T. Black (lost ball; steal by A. Drummond),,52-60,,
10:24.0,,,52-62,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by M. Morris)
10:24.0,LA Lakers full timeout,,52-62,,
10:08.0,T. Black misses 2-pt shot at rim,,52-62,,
10:07.0,,,52-62,,Defensive rebound by K. Caldwell-Pope
10:02.0,,,52-65,3,M. Morris makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
9:50.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,54-65,,
9:31.0,,,54-67,2,M. Morris makes 2-pt shot from 20 ft (assist by R. Jackson)
9:08.0,T. Black misses 2-pt shot from 6 ft,,54-67,,
9:07.0,,,54-67,,Defensive rebound by Team
8:58.0,,,54-67,,K. Caldwell-Pope misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by J. Randle,,54-67,,
8:36.0,B. Ingram makes 2-pt shot from 14 ft,2,56-67,,
8:18.0,,,56-67,,Turnover by A. Drummond (bad pass; steal by D. Russell)
8:16.0,Turnover by D. Russell (bad pass; steal by K. Caldwell-Pope),,56-67,,
8:10.0,,,56-67,,Shooting foul by B. Ingram (drawn by R. Jackson)
8:10.0,,,56-67,,R. Jackson misses free throw 1 of 2
8:10.0,,,56-67,,Offensive rebound by Team
8:10.0,,,56-67,,R. Jackson misses free throw 2 of 2
8:09.0,Defensive rebound by T. Black,,56-67,,
7:55.0,Turnover by B. Ingram (bad pass; steal by K. Caldwell-Pope),,56-67,,
7:48.0,,,56-67,,M. Morris misses 2-pt shot from 16 ft
7:47.0,Defensive rebound by B. Ingram,,56-67,,
7:41.0,T. Black makes 2-pt shot at rim (assist by B. Ingram),2,58-67,,
7:26.0,,,58-67,,Offensive foul by A. Drummond
7:26.0,,,58-67,,Turnover by A. Drummond (offensive foul)
7:11.0,B. Ingram misses 2-pt shot from 3 ft (block by A. Drummond),,58-67,,
7:10.0,Offensive rebound by Team,,58-67,,
7:09.0,Turnover by D. Russell (bad pass; steal by A. Drummond),,58-67,,
7:02.0,,,58-69,2,A. Drummond makes 2-pt shot at rim
6:48.0,T. Black misses 2-pt shot from 5 ft,,58-69,,
6:46.0,Offensive rebound by T. Black,,58-69,,
6:43.0,T. Black misses 2-pt shot from 1 ft,,58-69,,
6:42.0,,,58-69,,Defensive rebound by M. Morris
6:36.0,,,58-71,2,M. Morris makes 2-pt shot at rim
6:16.0,B. Ingram misses 2-pt shot from 2 ft,,58-71,,
6:15.0,Offensive rebound by T. Black,,58-71,,
6:02.0,B. Ingram makes 3-pt shot from 23 ft (assist by T. Black),3,61-71,,
5:55.0,Personal foul by N. Young (drawn by K. Caldwell-Pope),,61-71,,
5:55.0,J. Clarkson enters the game for B. Ingram,,61-71,,
5:55.0,I. Zubac enters the game for T. Black,,61-71,,
5:55.0,L. Deng enters the game for N. Young,,61-71,,
5:42.0,,,61-71,,R. Jackson misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by L. Deng,,61-71,,
5:24.0,L. Deng misses 3-pt shot from 24 ft,,61-71,,
5:23.0,,,61-71,,Defensive rebound by A. Drummond
5:02.0,,,61-73,2,A. Drummond makes 2-pt shot from 6 ft
4:49.0,Turnover by J. Clarkson (bad pass),,61-73,,
4:39.0,,,61-75,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:15.0,J. Randle misses 2-pt shot from 5 ft,,61-75,,
4:13.0,,,61-75,,Defensive rebound by A. Drummond
4:11.0,,,61-77,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
4:11.0,LA Lakers full timeout,,61-77,,
4:11.0,Violation by Team (jump ball),,61-77,,
4:11.0,Technical foul by Team,,61-77,,
4:11.0,,,61-78,1,K. Caldwell-Pope makes technical free throw
4:11.0,,,61-77,,T. Harris enters the game for J. Leuer
4:11.0,L. Williams enters the game for J. Randle,,61-77,,
4:11.0,L. Nance enters the game for D. Russell,,61-77,,
3:56.0,L. Deng misses 2-pt shot from 17 ft,,61-78,,
3:55.0,,,61-78,,Defensive rebound by A. Drummond
3:47.0,,,61-81,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
3:36.0,L. Nance misses 2-pt shot from 6 ft,,61-81,,
3:35.0,,,61-81,,Defensive rebound by A. Drummond
3:29.0,Personal foul by J. Clarkson (drawn by R. Jackson),,61-81,,
3:29.0,,,61-81,,I. Smith enters the game for R. Jackson
3:22.0,Technical foul by Team,,61-81,,
3:22.0,,,61-82,1,K. Caldwell-Pope makes technical free throw
3:12.0,,,61-82,,T. Harris misses 2-pt shot from 12 ft
3:11.0,Defensive rebound by L. Nance,,61-82,,
3:04.0,Shooting foul by T. Harris,,61-82,,
3:04.0,L. Williams makes free throw 1 of 2,1,62-82,,
3:04.0,L. Williams makes free throw 2 of 2,1,63-82,,
2:50.0,,,63-84,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
2:40.0,Shooting foul by K. Caldwell-Pope (drawn by J. Clarkson),,63-84,,
2:40.0,,,63-84,,Detroit full timeout
2:40.0,J. Clarkson makes free throw 1 of 3,1,64-84,,
2:40.0,J. Clarkson makes free throw 2 of 3,1,65-84,,
2:40.0,J. Clarkson makes free throw 3 of 3,1,66-84,,
2:22.0,,,66-84,,T. Harris misses 2-pt shot from 14 ft
2:20.0,Defensive rebound by L. Nance,,66-84,,
2:10.0,J. Clarkson makes 2-pt shot from 18 ft,2,68-84,,
1:51.0,,,68-86,2,M. Morris makes 2-pt shot from 19 ft (assist by I. Smith)
1:29.0,L. Williams makes 2-pt shot from 1 ft,2,70-86,,
1:16.0,,,70-88,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
0:56.0,J. Clarkson misses 2-pt shot from 19 ft,,70-88,,
0:56.0,Offensive rebound by I. Zubac,,70-88,,
0:43.0,L. Williams misses 3-pt shot from 26 ft,,70-88,,
0:43.0,,,70-88,,Defensive rebound by I. Smith
0:38.0,,,70-88,,Shooting foul by L. Nance (drawn by T. Harris)
0:38.0,,,70-89,1,T. Harris makes free throw 1 of 2
0:38.0,,,70-90,1,T. Harris makes free throw 2 of 2
0:38.0,,,70-89,,S. Johnson enters the game for K. Caldwell-Pope
0:30.0,L. Williams misses 3-pt shot from 26 ft,,70-90,,
0:29.0,,,70-90,,Defensive rebound by M. Morris
0:11.0,,,70-90,,M. Morris misses 2-pt shot from 4 ft
0:10.0,,,70-90,,Offensive rebound by A. Drummond
0:09.0,,,70-92,2,A. Drummond makes 2-pt shot at rim
0:00.0,J. Clarkson misses 3-pt shot from 26 ft,,70-92,,
0:00.0,Offensive rebound by Team,,70-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,70-92,,Turnover by J. Leuer (bad pass)
11:37.0,J. Clarkson misses 3-pt shot from 25 ft,,70-92,,
11:36.0,,,70-92,,Defensive rebound by T. Harris
11:23.0,,,70-94,2,I. Smith makes 2-pt shot from 5 ft
11:14.0,M. Huertas misses 3-pt shot from 25 ft,,70-94,,
11:13.0,,,70-94,,Defensive rebound by I. Smith
11:09.0,,,70-96,2,J. Leuer makes 2-pt shot from 8 ft (assist by I. Smith)
11:04.0,Shooting foul by A. Baynes (drawn by J. Clarkson),,70-96,,
11:04.0,J. Clarkson makes free throw 1 of 2,1,71-96,,
11:04.0,J. Clarkson makes free throw 2 of 2,1,72-96,,
10:49.0,,,72-98,2,I. Smith makes 2-pt shot from 1 ft
10:40.0,L. Nance makes 2-pt shot from 6 ft (assist by M. Huertas),2,74-98,,
10:20.0,,,74-98,,J. Leuer misses 2-pt shot from 8 ft
10:18.0,,,74-98,,Offensive rebound by A. Baynes
10:09.0,,,74-98,,T. Harris misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by M. Huertas,,74-98,,
9:54.0,J. Clarkson misses 3-pt shot from 25 ft,,74-98,,
9:53.0,,,74-98,,Defensive rebound by I. Smith
9:39.0,,,74-100,2,J. Leuer makes 2-pt shot at rim (assist by T. Harris)
9:23.0,L. Williams misses 3-pt shot from 26 ft,,74-100,,
9:23.0,,,74-100,,Defensive rebound by J. Leuer
9:15.0,,,74-100,,Shooting foul by L. Williams (drawn by A. Baynes)
9:15.0,,,74-101,1,A. Baynes makes free throw 1 of 2
9:15.0,,,74-102,1,A. Baynes makes free throw 2 of 2
9:15.0,,,74-101,,R. Bullock enters the game for T. Harris
9:01.0,L. Williams makes 2-pt shot from 6 ft,2,76-102,,
8:36.0,,,76-102,,I. Smith misses 2-pt shot from 11 ft
8:35.0,,,76-102,,Offensive rebound by A. Baynes
8:31.0,,,76-104,2,A. Baynes makes 2-pt shot from 6 ft
8:20.0,L. Williams makes 2-pt shot from 7 ft,2,78-104,,
8:01.0,,,78-104,,J. Leuer misses 2-pt shot from 7 ft
8:00.0,Defensive rebound by J. Clarkson,,78-104,,
7:47.0,J. Clarkson makes 2-pt shot from 5 ft,2,80-104,,
7:36.0,,,80-104,,Turnover by I. Smith (bad pass)
7:36.0,Official timeout,,80-104,,
7:36.0,B. Ingram enters the game for L. Deng,,80-104,,
7:16.0,L. Williams misses 3-pt shot from 25 ft,,80-104,,
7:15.0,,,80-104,,Defensive rebound by A. Baynes
6:57.0,,,80-106,2,I. Smith makes 2-pt shot from 18 ft
6:51.0,Shooting foul by A. Baynes,,80-106,,
6:51.0,L. Williams makes free throw 1 of 2,1,81-106,,
6:51.0,L. Williams makes free throw 2 of 2,1,82-106,,
6:51.0,J. Randle enters the game for L. Nance,,81-106,,
6:40.0,,,82-106,,Shooting foul by J. Randle (drawn by S. Johnson)
6:40.0,,,82-107,1,S. Johnson makes free throw 1 of 2
6:40.0,,,82-108,1,S. Johnson makes free throw 2 of 2
6:30.0,Turnover by M. Huertas (bad pass),,82-108,,
6:12.0,,,82-108,,S. Johnson misses 3-pt shot from 27 ft
6:11.0,,,82-108,,Offensive rebound by J. Leuer
6:10.0,,,82-108,,J. Leuer misses 2-pt shot from 5 ft
6:09.0,Defensive rebound by J. Randle,,82-108,,
5:58.0,J. Randle makes 2-pt shot from 16 ft (assist by B. Ingram),2,84-108,,
5:41.0,,,84-108,,Turnover by S. Johnson (bad pass; steal by L. Williams)
5:36.0,Turnover by L. Williams (bad pass; steal by R. Bullock),,84-108,,
5:29.0,,,84-110,2,J. Leuer makes 2-pt shot from 1 ft (assist by R. Bullock)
5:28.0,LA Lakers full timeout,,84-110,,
5:28.0,I. Zubac enters the game for J. Clarkson,,84-110,,
5:28.0,J. Calderon enters the game for L. Williams,,84-110,,
5:15.0,M. Huertas makes 3-pt shot from 25 ft (assist by B. Ingram),3,87-110,,
