time,Phoenix,pts.away,score,pts.home,Miami
9:28.0,,,32-31,2,W. Reed makes 2-pt shot from 1 ft
9:15.0,Turnover by D. Booker (bad pass; steal by T. Johnson),,32-31,,
9:10.0,,,32-31,,J. Johnson misses 2-pt shot at rim
9:09.0,Defensive rebound by Team,,32-31,,
8:56.0,D. Booker makes 2-pt shot from 12 ft,2,34-31,,
8:47.0,Personal foul by L. Barbosa (drawn by W. Ellington),,34-31,,
8:47.0,Official timeout,,34-31,,
8:47.0,,,34-31,,J. Richardson enters the game for T. Johnson
8:33.0,,,34-31,,G. Dragic misses 2-pt shot from 11 ft
8:32.0,Defensive rebound by D. Jones,,34-31,,
8:17.0,J. Dudley makes 2-pt shot from 18 ft (assist by L. Barbosa),2,36-31,,
7:59.0,,,36-31,,Shooting foul by J. Dudley (drawn by W. Reed)
7:59.0,,,36-32,1,W. Reed makes free throw 1 of 2
7:59.0,,,36-33,1,W. Reed makes free throw 2 of 2
7:54.0,Turnover by D. Booker (lost ball),,36-33,,
7:36.0,,,36-36,3,J. Richardson makes 3-pt shot from 26 ft (assist by W. Ellington)
7:17.0,D. Booker misses 2-pt shot from 19 ft,,36-36,,
7:16.0,,,36-36,,Defensive rebound by W. Ellington
7:04.0,,,36-36,,J. Richardson misses 3-pt shot from 25 ft
7:03.0,,,36-36,,Offensive rebound by W. Reed
7:02.0,Personal foul by M. Chriss (drawn by W. Reed),,36-36,,
7:02.0,,,36-37,1,W. Reed makes free throw 1 of 2
7:02.0,,,36-38,1,W. Reed makes free throw 2 of 2
7:02.0,T. Ulis enters the game for M. Chriss,,36-37,,
7:02.0,A. Len enters the game for D. Jones,,36-37,,
7:02.0,,,36-37,,T. Johnson enters the game for G. Dragic
6:44.0,Turnover by L. Barbosa (bad pass; steal by T. Johnson),,36-38,,
6:37.0,Shooting block foul by L. Barbosa (drawn by J. Johnson),,36-38,,
6:37.0,,,36-38,,J. Johnson misses free throw 1 of 2
6:37.0,,,36-38,,Offensive rebound by Team
6:37.0,,,36-39,1,J. Johnson makes free throw 2 of 2
6:37.0,,,36-38,,H. Whiteside enters the game for W. Reed
6:31.0,Phoenix full timeout,,36-39,,
6:29.0,A. Len misses 2-pt shot at rim (block by H. Whiteside),,36-39,,
6:28.0,,,36-39,,Defensive rebound by T. Johnson
6:17.0,,,36-39,,H. Whiteside misses 2-pt shot from 7 ft
6:16.0,Defensive rebound by A. Len,,36-39,,
6:09.0,J. Dudley misses 3-pt shot from 24 ft,,36-39,,
6:08.0,,,36-39,,Defensive rebound by H. Whiteside
5:54.0,,,36-39,,Turnover by J. Richardson (step out of bounds)
5:54.0,,,36-39,,O. White enters the game for J. Johnson
5:45.0,Shooting foul by T. Johnson (drawn by T. Ulis),,36-39,,
5:45.0,T. Ulis makes free throw 1 of 2,1,37-39,,
5:45.0,T. Ulis misses free throw 2 of 2,,37-39,,
5:45.0,D. Jones enters the game for J. Dudley,,37-39,,
5:44.0,,,37-39,,Defensive rebound by H. Whiteside
5:21.0,,,37-39,,J. Richardson misses 2-pt shot from 20 ft
5:20.0,Defensive rebound by A. Len,,37-39,,
5:11.0,Turnover by T. Ulis (bad pass; steal by T. Johnson),,37-39,,
4:54.0,,,37-39,,T. Johnson misses 2-pt shot from 22 ft
4:53.0,,,37-39,,Offensive rebound by O. White
4:46.0,,,37-41,2,H. Whiteside makes 2-pt shot from 2 ft
4:42.0,,,37-41,,Violation by O. White (def goaltending)
4:42.0,D. Booker makes 2-pt shot from 1 ft,2,39-41,,
4:29.0,,,39-44,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
4:16.0,L. Barbosa misses 3-pt shot from 24 ft,,39-44,,
4:15.0,,,39-44,,Defensive rebound by T. Johnson
4:07.0,,,39-44,,J. Richardson misses 3-pt shot from 25 ft
4:06.0,,,39-44,,Offensive rebound by O. White
4:00.0,,,39-47,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
3:59.0,Phoenix full timeout,,39-47,,
3:59.0,T. Warren enters the game for D. Jones,,39-47,,
3:59.0,M. Chriss enters the game for L. Barbosa,,39-47,,
3:49.0,D. Booker misses 2-pt shot from 2 ft,,39-47,,
3:48.0,,,39-47,,Defensive rebound by O. White
3:43.0,,,39-50,3,W. Ellington makes 3-pt shot from 25 ft (assist by O. White)
3:25.0,D. Booker misses 2-pt shot at rim (block by H. Whiteside),,39-50,,
3:24.0,,,39-50,,Defensive rebound by T. Johnson
3:21.0,,,39-52,2,T. Johnson makes 2-pt shot from 1 ft
3:12.0,M. Chriss makes 3-pt shot from 23 ft (assist by D. Booker),3,42-52,,
2:56.0,Personal foul by T. Warren,,42-52,,
2:56.0,,,42-52,,Miami full timeout
2:56.0,,,42-52,,H. Whiteside misses free throw 1 of 2
2:56.0,,,42-52,,Offensive rebound by Team
2:56.0,,,42-53,1,H. Whiteside makes free throw 2 of 2
2:33.0,T. Ulis misses 2-pt shot from 1 ft,,42-53,,
2:32.0,Offensive rebound by A. Len,,42-53,,
2:31.0,A. Len makes 2-pt shot at rim,2,44-53,,
2:16.0,Violation by T. Ulis (kicked ball),,44-53,,
2:06.0,,,44-53,,O. White misses 2-pt shot from 5 ft
2:05.0,,,44-53,,Offensive rebound by T. Johnson
2:04.0,,,44-53,,T. Johnson misses 2-pt shot from 14 ft
2:02.0,,,44-53,,Offensive rebound by O. White
1:59.0,,,44-53,,Turnover by O. White (lost ball)
1:49.0,Turnover by T. Ulis (bad pass; steal by T. Johnson),,44-53,,
1:43.0,,,44-53,,Turnover by O. White (lost ball)
1:28.0,D. Booker makes 2-pt shot from 15 ft,2,46-53,,
1:08.0,,,46-53,,H. Whiteside misses 2-pt shot from 5 ft
1:07.0,,,46-53,,Offensive rebound by O. White
1:06.0,,,46-55,2,O. White makes 2-pt shot from 1 ft
0:50.0,Turnover by A. Len (bad pass),,46-55,,
0:50.0,,,46-55,,G. Dragic enters the game for J. Richardson
0:50.0,,,46-55,,R. McGruder enters the game for T. Johnson
0:33.0,,,46-55,,Turnover by H. Whiteside (lost ball; steal by T. Ulis)
0:27.0,Turnover by T. Ulis (bad pass; steal by W. Ellington),,46-55,,
0:25.0,,,46-57,2,W. Ellington makes 2-pt shot at rim
0:02.0,D. Booker misses 3-pt shot from 25 ft,,46-57,,
0:02.0,,,46-57,,Defensive rebound by Team
0:02.0,Loose ball foul by A. Len (drawn by O. White),,46-57,,
0:02.0,,,46-58,1,O. White makes free throw 1 of 2
0:02.0,,,46-59,1,O. White makes free throw 2 of 2
0:00.0,T. Ulis misses 3-pt shot from 51 ft,,46-59,,
0:00.0,Offensive rebound by Team,,46-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by H. Whiteside (drawn by A. Len),,46-59,,
11:48.0,A. Len makes free throw 1 of 2,1,47-59,,
11:48.0,A. Len makes free throw 2 of 2,1,48-59,,
11:40.0,,,48-59,,Offensive foul by L. Babbitt
11:40.0,,,48-59,,Turnover by L. Babbitt (offensive foul)
11:20.0,D. Booker misses 3-pt shot from 25 ft,,48-59,,
11:19.0,,,48-59,,Defensive rebound by G. Dragic
11:14.0,Personal block foul by T. Ulis (drawn by G. Dragic),,48-59,,
11:02.0,,,48-61,2,J. Richardson makes 2-pt shot from 2 ft
10:51.0,A. Len makes 2-pt shot from 16 ft (assist by D. Booker),2,50-61,,
10:42.0,,,50-61,,G. Dragic misses 3-pt shot from 27 ft
10:41.0,,,50-61,,Offensive rebound by H. Whiteside
10:37.0,,,50-61,,H. Whiteside misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by A. Len,,50-61,,
10:31.0,T. Ulis misses 2-pt shot from 18 ft,,50-61,,
10:30.0,,,50-61,,Defensive rebound by L. Babbitt
10:16.0,,,50-61,,H. Whiteside misses 2-pt shot from 6 ft
10:15.0,Defensive rebound by M. Chriss,,50-61,,
10:08.0,D. Booker misses 2-pt shot from 6 ft,,50-61,,
10:06.0,Offensive rebound by D. Booker,,50-61,,
10:04.0,A. Len misses 3-pt shot from 25 ft,,50-61,,
10:03.0,,,50-61,,Defensive rebound by L. Babbitt
10:02.0,Personal foul by D. Booker (drawn by L. Babbitt),,50-61,,
9:50.0,,,50-61,,G. Dragic misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by M. Chriss,,50-61,,
9:39.0,T. Ulis makes 2-pt shot from 6 ft,2,52-61,,
9:25.0,,,52-61,,J. Richardson misses 2-pt shot from 12 ft
9:23.0,Jump ball: A. Len vs. H. Whiteside (T. Warren gains possession),,,,Jump ball: A. Len vs. H. Whiteside (T. Warren gains possession)
9:23.0,Offensive rebound by Team,,52-61,,
9:15.0,T. Warren makes 2-pt shot at rim,2,54-61,,
9:15.0,Shooting foul by G. Dragic,,54-61,,
9:15.0,T. Warren misses free throw 1 of 1,,54-61,,
9:14.0,,,54-61,,Defensive rebound by R. McGruder
8:59.0,,,54-64,3,G. Dragic makes 3-pt shot from 23 ft
8:41.0,A. Len misses 2-pt shot from 17 ft,,54-64,,
8:40.0,,,54-64,,Defensive rebound by R. McGruder
8:31.0,,,54-64,,Turnover by G. Dragic (bad pass; steal by M. Chriss)
8:23.0,T. Ulis misses 2-pt shot from 1 ft,,54-64,,
8:22.0,Offensive rebound by A. Len,,54-64,,
8:21.0,A. Len misses 2-pt shot from 1 ft,,54-64,,
8:20.0,,,54-64,,Defensive rebound by L. Babbitt
8:08.0,,,54-64,,Shooting foul by M. Chriss (drawn by H. Whiteside)
8:08.0,,,54-65,1,H. Whiteside makes free throw 1 of 2
8:08.0,,,54-66,1,H. Whiteside makes free throw 2 of 2
7:52.0,T. Ulis misses 2-pt shot from 10 ft,,54-66,,
7:51.0,,,54-66,,Defensive rebound by L. Babbitt
7:37.0,,,54-66,,G. Dragic misses 2-pt shot from 2 ft (block by A. Len)
7:36.0,Defensive rebound by A. Len,,54-66,,
7:30.0,T. Warren misses 2-pt shot from 3 ft,,54-66,,
7:28.0,Offensive rebound by Team,,54-66,,
7:22.0,T. Warren misses 2-pt shot from 12 ft,,54-66,,
7:21.0,Offensive rebound by Team,,54-66,,
7:13.0,D. Booker misses 2-pt shot from 16 ft,,54-66,,
7:12.0,,,54-66,,Defensive rebound by H. Whiteside
6:57.0,,,54-69,3,L. Babbitt makes 3-pt shot from 25 ft
6:37.0,T. Warren misses 2-pt shot from 10 ft,,54-69,,
6:35.0,,,54-69,,Defensive rebound by H. Whiteside
6:26.0,,,54-72,3,G. Dragic makes 3-pt shot from 24 ft (assist by H. Whiteside)
6:25.0,Phoenix full timeout,,54-72,,
6:13.0,M. Chriss misses 2-pt shot from 10 ft,,54-72,,
6:12.0,,,54-72,,Defensive rebound by H. Whiteside
5:53.0,,,54-74,2,H. Whiteside makes 2-pt shot from 4 ft (assist by R. McGruder)
5:33.0,,,54-74,,Personal foul by G. Dragic (drawn by M. Chriss)
5:33.0,,,54-74,,T. Johnson enters the game for J. Richardson
5:23.0,Jump ball: M. Chriss vs. T. Johnson (G. Dragic gains possession),,,,Jump ball: M. Chriss vs. T. Johnson (G. Dragic gains possession)
5:23.0,Turnover by M. Chriss (lost ball; steal by T. Johnson),,54-74,,
5:16.0,,,54-74,,G. Dragic misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by T. Warren,,54-74,,
5:09.0,T. Warren misses 2-pt shot from 16 ft,,54-74,,
5:08.0,,,54-74,,Defensive rebound by L. Babbitt
4:59.0,,,54-74,,T. Johnson misses 2-pt shot from 1 ft
4:58.0,,,54-74,,Offensive rebound by H. Whiteside
4:57.0,,,54-76,2,H. Whiteside makes 2-pt shot at rim
4:44.0,T. Ulis misses 2-pt shot from 17 ft,,54-76,,
4:43.0,,,54-76,,Defensive rebound by G. Dragic
4:42.0,Personal foul by M. Chriss (drawn by G. Dragic),,54-76,,
4:42.0,J. Dudley enters the game for M. Chriss,,54-76,,
4:28.0,,,54-76,,L. Babbitt misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by A. Len,,54-76,,
4:14.0,,,54-76,,Personal foul by R. McGruder
4:13.0,,,54-76,,Personal foul by T. Johnson (drawn by D. Booker)
4:13.0,D. Booker makes free throw 1 of 2,1,55-76,,
4:13.0,D. Booker makes free throw 2 of 2,1,56-76,,
4:02.0,,,56-76,,Turnover by T. Johnson (traveling)
3:54.0,T. Ulis makes 2-pt shot from 17 ft,2,58-76,,
3:45.0,,,58-76,,Miami full timeout
3:45.0,,,58-76,,J. Johnson enters the game for L. Babbitt
3:35.0,,,58-76,,T. Johnson misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by J. Dudley,,58-76,,
3:32.0,Offensive foul by D. Booker,,58-76,,
3:32.0,Turnover by D. Booker (offensive foul),,58-76,,
3:13.0,,,58-76,,R. McGruder misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by J. Dudley,,58-76,,
3:06.0,J. Dudley misses 3-pt shot from 25 ft,,58-76,,
3:05.0,,,58-76,,Defensive rebound by H. Whiteside
2:53.0,,,58-78,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
2:39.0,D. Booker misses 2-pt shot from 1 ft (block by R. McGruder),,58-78,,
2:38.0,Offensive rebound by T. Warren,,58-78,,
2:35.0,T. Warren misses 2-pt shot from 17 ft,,58-78,,
2:34.0,Offensive rebound by Team,,58-78,,
2:34.0,L. Barbosa enters the game for D. Booker,,58-78,,
2:27.0,Turnover by J. Dudley (bad pass; steal by H. Whiteside),,58-78,,
2:17.0,,,58-80,2,G. Dragic makes 2-pt shot from 16 ft
1:58.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,60-80,,
1:44.0,,,60-80,,R. McGruder misses 2-pt shot from 1 ft (block by T. Warren)
1:43.0,,,60-80,,Offensive rebound by H. Whiteside
1:42.0,,,60-82,2,H. Whiteside makes 2-pt shot at rim
1:32.0,Turnover by T. Ulis (lost ball),,60-82,,
1:32.0,,,60-82,,W. Ellington enters the game for R. McGruder
1:32.0,,,60-82,,J. Richardson enters the game for G. Dragic
1:16.0,,,60-82,,T. Johnson misses 2-pt shot from 21 ft
1:15.0,Defensive rebound by J. Dudley,,60-82,,
1:07.0,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis),3,63-82,,
0:42.0,,,63-82,,Offensive foul by J. Johnson
0:42.0,,,63-82,,Turnover by J. Johnson (offensive foul)
0:42.0,,,63-82,,W. Reed enters the game for H. Whiteside
0:42.0,D. Booker enters the game for A. Len,,63-82,,
0:32.0,D. Booker misses 2-pt shot from 16 ft,,63-82,,
0:30.0,,,63-82,,Defensive rebound by T. Johnson
0:26.0,,,63-82,,J. Johnson misses 2-pt shot from 7 ft
0:25.0,,,63-82,,Offensive rebound by W. Reed
0:24.0,,,63-84,2,W. Reed makes 2-pt shot at rim
0:01.0,J. Dudley misses 3-pt shot from 25 ft,,63-84,,
0:00.0,Offensive rebound by Team,,63-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,63-84,,W. Ellington misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by J. Dudley,,63-84,,
11:28.0,L. Barbosa makes 2-pt shot from 6 ft,2,65-84,,
11:10.0,,,65-84,,Offensive foul by J. Johnson
11:10.0,,,65-84,,Turnover by J. Johnson (offensive foul)
11:10.0,Shooting foul by W. Reed (drawn by L. Barbosa),,65-84,,
11:10.0,L. Barbosa makes free throw 1 of 2,1,66-84,,
11:10.0,L. Barbosa makes free throw 2 of 2,1,67-84,,
10:59.0,,,67-84,,T. Johnson misses 2-pt shot at rim
10:58.0,,,67-84,,Offensive rebound by W. Reed
10:35.0,,,67-84,,J. Richardson misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Dudley,,67-84,,
10:20.0,Shooting foul by W. Reed (drawn by M. Chriss),,67-84,,
10:20.0,M. Chriss makes free throw 1 of 2,1,68-84,,
10:20.0,M. Chriss makes free throw 2 of 2,1,69-84,,
10:09.0,,,69-86,2,J. Johnson makes 2-pt shot from 2 ft
9:51.0,L. Barbosa makes 3-pt shot from 24 ft,3,72-86,,
9:25.0,,,72-86,,W. Ellington misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by T. Ulis,,72-86,,
9:18.0,D. Jones makes 2-pt shot from 1 ft (assist by T. Ulis),2,74-86,,
9:12.0,,,74-86,,Miami full timeout
9:07.0,,,74-86,,Shooting foul by D. Jones (drawn by T. Johnson)
9:07.0,,,74-86,,T. Johnson misses free throw 1 of 2
9:07.0,,,74-86,,Offensive rebound by Team
9:07.0,,,74-87,1,T. Johnson makes free throw 2 of 2
8:49.0,J. Dudley makes 2-pt shot at rim,2,76-87,,
8:27.0,,,76-89,2,W. Reed makes 2-pt shot from 2 ft (assist by J. Richardson)
8:17.0,L. Barbosa makes 2-pt shot from 1 ft (assist by J. Dudley),2,78-89,,
8:03.0,,,78-89,,J. Johnson misses 2-pt shot from 15 ft
8:02.0,,,78-89,,Offensive rebound by W. Reed
8:01.0,Personal foul by J. Dudley (drawn by W. Reed),,78-89,,
7:56.0,Personal foul by J. Dudley (drawn by T. Johnson),,78-89,,
7:50.0,Personal foul by T. Ulis (drawn by J. Richardson),,78-89,,
7:42.0,,,78-91,2,T. Johnson makes 2-pt shot from 9 ft
7:29.0,D. Jones makes 2-pt shot at rim (assist by J. Dudley),2,80-91,,
7:15.0,,,80-93,2,J. Johnson makes 2-pt shot from 12 ft
7:13.0,Turnover by M. Chriss (bad pass),,80-93,,
7:04.0,,,80-93,,W. Ellington misses 2-pt shot from 19 ft
7:03.0,Defensive rebound by J. Dudley,,80-93,,
7:00.0,,,80-93,,Personal block foul by J. Richardson (drawn by T. Ulis)
7:00.0,,,80-93,,G. Dragic enters the game for T. Johnson
6:51.0,Turnover by M. Chriss (step out of bounds),,80-93,,
6:40.0,,,80-96,3,J. Johnson makes 3-pt shot from 26 ft (assist by J. Richardson)
6:39.0,Phoenix full timeout,,80-96,,
6:27.0,Shooting foul by J. Johnson (drawn by J. Dudley),,80-96,,
6:27.0,J. Dudley misses free throw 1 of 3,,80-96,,
6:27.0,Offensive rebound by Team,,80-96,,
6:27.0,J. Dudley misses free throw 2 of 3,,80-96,,
6:27.0,Offensive rebound by Team,,80-96,,
