time,Oklahoma City,pts.away,score,pts.home,Milwaukee
5:07.0,,,18-9,,Turnover by Team (shot clock)
4:59.0,R. Westbrook makes 2-pt shot at rim,2,20-9,,
4:59.0,Shooting foul by G. Monroe (drawn by R. Westbrook),,20-9,,
4:59.0,R. Westbrook misses free throw 1 of 1,,20-9,,
4:59.0,A. Abrines enters the game for V. Oladipo,,20-9,,
4:59.0,,,20-9,,J. Terry enters the game for T. Snell
4:58.0,Offensive rebound by S. Adams,,20-9,,
4:55.0,S. Adams makes 2-pt shot at rim,2,22-9,,
4:38.0,,,22-9,,Shooting foul by S. Adams (drawn by G. Monroe)
4:38.0,,,22-9,,G. Monroe misses free throw 1 of 2
4:38.0,,,22-9,,Offensive rebound by Team
4:38.0,,,22-10,1,G. Monroe makes free throw 2 of 2
4:25.0,A. Abrines makes 3-pt shot from 23 ft (assist by R. Westbrook),3,25-10,,
4:04.0,,,25-13,3,M. Teletovic makes 3-pt shot from 29 ft (assist by M. Brogdon)
3:48.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,27-13,,
3:36.0,,,27-13,,M. Brogdon misses 2-pt shot from 1 ft
3:35.0,,,27-13,,Offensive rebound by G. Monroe
3:35.0,Violation by A. Roberson (def goaltending),,27-13,,
3:35.0,,,27-15,2,G. Monroe makes 2-pt shot from 1 ft
3:10.0,D. Sabonis misses 3-pt shot from 28 ft,,27-15,,
3:09.0,,,27-15,,Defensive rebound by M. Teletovic
2:56.0,,,27-15,,J. Terry misses 2-pt shot at rim
2:52.0,Defensive rebound by A. Abrines,,27-15,,
2:45.0,R. Westbrook misses 2-pt shot from 17 ft,,27-15,,
2:44.0,,,27-15,,Defensive rebound by G. Monroe
2:40.0,,,27-15,,Turnover by G. Monroe (bad pass; steal by R. Westbrook)
2:32.0,A. Roberson misses 3-pt shot from 26 ft,,27-15,,
2:30.0,,,27-15,,Defensive rebound by G. Monroe
2:22.0,,,27-17,2,M. Brogdon makes 2-pt shot from 1 ft
2:22.0,,,27-17,,Shooting foul by S. Adams (drawn by M. Brogdon)
2:22.0,Oklahoma City full timeout,,27-17,,
2:22.0,,,27-18,1,M. Brogdon makes free throw 1 of 1
2:22.0,V. Oladipo enters the game for A. Roberson,,27-17,,
2:22.0,J. Lauvergne enters the game for D. Sabonis,,27-17,,
2:22.0,E. Kanter enters the game for S. Adams,,27-17,,
2:22.0,S. Christon enters the game for R. Westbrook,,27-17,,
2:22.0,A. Roberson enters the game for V. Oladipo,,27-17,,
2:22.0,,,27-17,,J. Parker enters the game for G. Antetokounmpo
2:06.0,Turnover by S. Christon (bad pass),,27-18,,
1:57.0,,,27-18,,Turnover by J. Terry (bad pass; steal by A. Abrines)
1:57.0,,,27-18,,Personal foul by J. Terry (drawn by E. Kanter)
1:38.0,E. Kanter misses 2-pt shot from 11 ft,,27-18,,
1:38.0,,,27-18,,Defensive rebound by Team
1:26.0,,,27-20,2,M. Brogdon makes 2-pt shot from 1 ft
1:10.0,,,27-20,,Personal foul by M. Teletovic (drawn by J. Lauvergne)
1:10.0,J. Lauvergne makes free throw 1 of 2,1,28-20,,
1:10.0,J. Lauvergne misses free throw 2 of 2,,28-20,,
1:10.0,J. Grant enters the game for A. Roberson,,28-20,,
1:09.0,,,28-20,,Defensive rebound by J. Parker
0:56.0,,,28-22,2,G. Monroe makes 2-pt shot from 4 ft (assist by M. Brogdon)
0:36.0,S. Christon makes 2-pt shot from 17 ft,2,30-22,,
0:24.0,,,30-22,,G. Monroe misses 2-pt shot from 17 ft
0:23.0,Defensive rebound by J. Grant,,30-22,,
0:00.0,S. Christon misses 3-pt shot from 24 ft,,30-22,,
0:00.0,Offensive rebound by Team,,30-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by A. Abrines),2,32-22,,
11:23.0,,,32-22,,M. Teletovic misses 3-pt shot from 30 ft
11:22.0,Defensive rebound by J. Grant,,32-22,,
10:59.0,E. Kanter misses 2-pt shot from 14 ft,,32-22,,
10:57.0,,,32-22,,Defensive rebound by G. Monroe
10:40.0,,,32-24,2,G. Antetokounmpo makes 2-pt shot from 9 ft
10:19.0,J. Grant misses 2-pt shot from 6 ft,,32-24,,
10:18.0,,,32-24,,Defensive rebound by M. Teletovic
10:15.0,,,32-26,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
10:14.0,Oklahoma City full timeout,,32-26,,
10:14.0,V. Oladipo enters the game for A. Abrines,,32-26,,
10:14.0,,,32-26,,M. Beasley enters the game for M. Teletovic
9:54.0,Shooting foul by M. Beasley (drawn by J. Grant),,32-26,,
9:54.0,J. Grant misses free throw 1 of 2,,32-26,,
9:54.0,Offensive rebound by Team,,32-26,,
9:54.0,J. Grant misses free throw 2 of 2,,32-26,,
9:53.0,,,32-26,,Defensive rebound by G. Antetokounmpo
9:37.0,,,32-28,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
9:25.0,V. Oladipo makes 2-pt shot from 18 ft (assist by S. Christon),2,34-28,,
9:04.0,,,34-28,,M. Beasley misses 2-pt shot from 6 ft
9:03.0,Defensive rebound by E. Kanter,,34-28,,
8:53.0,J. Grant makes 2-pt shot at rim (assist by J. Lauvergne),2,36-28,,
8:33.0,,,36-31,3,J. Terry makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
8:15.0,,,36-31,,J. Henson enters the game for G. Monroe
8:15.0,,,36-31,,T. Snell enters the game for J. Terry
8:15.0,S. Adams enters the game for J. Lauvergne,,36-31,,
8:15.0,R. Westbrook enters the game for S. Christon,,36-31,,
8:06.0,R. Westbrook misses 2-pt shot from 6 ft,,36-31,,
8:04.0,,,36-31,,Defensive rebound by M. Beasley
8:01.0,,,36-33,2,J. Parker makes 2-pt shot at rim
7:44.0,Turnover by R. Westbrook (bad pass; steal by J. Henson),,36-33,,
7:39.0,,,36-33,,Shooting foul by V. Oladipo (drawn by J. Parker)
7:39.0,,,36-34,1,J. Parker makes free throw 1 of 2
7:39.0,,,36-34,,J. Parker misses free throw 2 of 2
7:38.0,Defensive rebound by R. Westbrook,,36-34,,
7:18.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,38-34,,
7:08.0,,,38-34,,T. Snell misses 3-pt shot from 24 ft
7:07.0,,,38-34,,Offensive rebound by G. Antetokounmpo
7:01.0,,,38-34,,Shooting foul by E. Kanter (drawn by G. Antetokounmpo)
7:01.0,,,38-35,1,G. Antetokounmpo makes free throw 1 of 2
7:01.0,,,38-35,,G. Antetokounmpo misses free throw 2 of 2
7:00.0,Defensive rebound by R. Westbrook,,38-35,,
6:54.0,,,38-35,,Personal foul by J. Henson (drawn by R. Westbrook)
6:43.0,R. Westbrook misses 2-pt shot from 16 ft,,38-35,,
6:42.0,Offensive rebound by E. Kanter,,38-35,,
6:40.0,E. Kanter makes 2-pt shot at rim,2,40-35,,
6:20.0,,,40-35,,G. Antetokounmpo misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by S. Adams,,40-35,,
6:11.0,,,40-35,,Personal block foul by J. Parker (drawn by V. Oladipo)
6:02.0,V. Oladipo misses 2-pt shot from 15 ft,,40-35,,
6:01.0,Offensive rebound by Team,,40-35,,
5:55.0,R. Westbrook makes 2-pt shot from 15 ft (assist by V. Oladipo),2,42-35,,
5:44.0,,,42-35,,J. Parker misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by E. Kanter,,42-35,,
5:40.0,,,42-35,,Personal foul by J. Parker (drawn by S. Adams)
5:40.0,Official timeout,,42-35,,
5:40.0,,,42-35,,G. Monroe enters the game for T. Snell
5:40.0,,,42-35,,M. Brogdon enters the game for M. Beasley
5:35.0,R. Westbrook makes 2-pt shot from 1 ft,2,44-35,,
5:19.0,,,44-35,,J. Parker misses 2-pt shot from 3 ft (block by J. Grant)
5:17.0,,,44-35,,Offensive rebound by J. Parker
5:10.0,,,44-37,2,J. Parker makes 2-pt shot from 7 ft
4:54.0,E. Kanter misses 2-pt shot from 3 ft (block by J. Henson),,44-37,,
4:51.0,,,44-37,,Defensive rebound by G. Antetokounmpo
4:46.0,,,44-37,,M. Brogdon misses 3-pt shot from 27 ft
4:45.0,Defensive rebound by E. Kanter,,44-37,,
4:38.0,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook),3,47-37,,
4:15.0,,,47-39,2,G. Monroe makes 2-pt shot from 2 ft
3:59.0,S. Adams makes 2-pt shot from 1 ft (assist by E. Kanter),2,49-39,,
3:34.0,,,49-41,2,G. Monroe makes 2-pt shot from 6 ft
3:22.0,A. Roberson enters the game for J. Grant,,49-41,,
3:19.0,Shooting foul by M. Brogdon (drawn by R. Westbrook),,49-41,,
3:19.0,R. Westbrook makes free throw 1 of 2,1,50-41,,
3:19.0,R. Westbrook makes free throw 2 of 2,1,51-41,,
2:57.0,,,51-41,,M. Brogdon misses 2-pt shot from 18 ft
2:56.0,,,51-41,,Offensive rebound by J. Parker
2:54.0,,,51-43,2,J. Parker makes 2-pt shot from 1 ft
2:40.0,Turnover by R. Westbrook (bad pass; steal by G. Monroe),,51-43,,
2:35.0,,,51-43,,M. Brogdon misses 2-pt shot at rim
2:34.0,,,51-43,,Offensive rebound by Team
2:34.0,,,51-43,,Milwaukee full timeout
2:34.0,,,51-43,,T. Snell enters the game for M. Brogdon
2:20.0,,,51-43,,Turnover by J. Parker (lost ball; steal by V. Oladipo)
2:04.0,V. Oladipo misses 3-pt shot from 25 ft,,51-43,,
2:03.0,,,51-43,,Defensive rebound by G. Antetokounmpo
1:54.0,,,51-43,,Shooting foul by V. Oladipo (drawn by G. Antetokounmpo)
1:54.0,,,51-45,2,G. Antetokounmpo makes 2-pt shot from 8 ft
1:54.0,,,51-46,1,G. Antetokounmpo makes free throw 1 of 1
1:39.0,,,51-46,,Personal foul by T. Snell (drawn by R. Westbrook)
1:39.0,R. Westbrook makes free throw 1 of 2,1,52-46,,
1:39.0,R. Westbrook makes free throw 2 of 2,1,53-46,,
1:39.0,J. Lauvergne enters the game for S. Adams,,52-46,,
1:18.0,,,53-48,2,J. Henson makes 2-pt shot at rim (assist by G. Monroe)
1:03.0,R. Westbrook makes 3-pt shot from 28 ft,3,56-48,,
0:44.0,,,56-48,,G. Monroe misses 2-pt shot from 2 ft
0:43.0,,,56-48,,Offensive rebound by G. Antetokounmpo
0:43.0,,,56-50,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:33.0,R. Westbrook misses 3-pt shot from 25 ft,,56-50,,
0:31.0,,,56-50,,Defensive rebound by G. Monroe
0:25.0,,,56-50,,G. Antetokounmpo misses 2-pt shot from 19 ft
0:25.0,,,56-50,,Offensive rebound by Team
0:25.0,Loose ball foul by E. Kanter (drawn by G. Monroe),,56-50,,
0:25.0,,,56-50,,G. Monroe misses free throw 1 of 2
0:25.0,,,56-50,,Offensive rebound by Team
0:25.0,Oklahoma City full timeout,,56-50,,
0:25.0,,,56-50,,G. Monroe misses free throw 2 of 2
0:25.0,A. Abrines enters the game for A. Roberson,,56-50,,
0:24.0,Defensive rebound by J. Lauvergne,,56-50,,
0:02.0,R. Westbrook misses 3-pt shot from 27 ft,,56-50,,
0:01.0,Offensive rebound by J. Lauvergne,,56-50,,
0:00.0,J. Lauvergne misses 2-pt shot at rim (block by G. Monroe),,56-50,,
0:00.0,Offensive rebound by Team,,56-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,56-50,,Personal foul by J. Henson (drawn by S. Adams)
11:36.0,A. Roberson misses 3-pt shot from 23 ft,,56-50,,
11:34.0,,,56-50,,Defensive rebound by G. Antetokounmpo
11:19.0,,,56-53,3,M. Brogdon makes 3-pt shot from 24 ft (assist by T. Snell)
10:56.0,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Roberson),3,59-53,,
10:28.0,,,59-53,,J. Henson misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by A. Roberson,,59-53,,
10:20.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,61-53,,
9:56.0,,,61-56,3,J. Parker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
9:36.0,R. Westbrook misses 2-pt shot from 17 ft,,61-56,,
9:35.0,,,61-56,,Defensive rebound by G. Antetokounmpo
9:26.0,,,61-56,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by S. Adams)
9:26.0,,,61-56,,Offensive rebound by Team
9:21.0,,,61-56,,M. Brogdon misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by R. Westbrook,,61-56,,
9:19.0,Turnover by R. Westbrook (bad pass),,61-56,,
9:04.0,,,61-56,,J. Parker misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by A. Roberson,,61-56,,
8:56.0,R. Westbrook misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,61-56,,
8:54.0,,,61-56,,Defensive rebound by J. Henson
8:53.0,,,61-56,,Shooting foul by A. Roberson (drawn by G. Antetokounmpo)
8:53.0,,,61-56,,G. Antetokounmpo misses free throw 1 of 2
8:53.0,,,61-56,,Offensive rebound by Team
8:53.0,,,61-56,,G. Antetokounmpo misses free throw 2 of 2
8:52.0,Defensive rebound by R. Westbrook,,61-56,,
8:36.0,V. Oladipo misses 3-pt shot from 24 ft,,61-56,,
8:35.0,,,61-56,,Defensive rebound by G. Antetokounmpo
8:25.0,,,61-58,2,J. Parker makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
8:10.0,R. Westbrook misses 2-pt shot from 16 ft,,61-58,,
8:10.0,,,61-58,,Defensive rebound by Team
8:10.0,Loose ball foul by S. Adams (drawn by J. Henson),,61-58,,
7:45.0,,,61-58,,J. Parker misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by A. Roberson,,61-58,,
7:40.0,Turnover by V. Oladipo (step out of bounds),,61-58,,
7:40.0,E. Kanter enters the game for D. Sabonis,,61-58,,
7:22.0,,,61-58,,M. Brogdon misses 2-pt shot at rim
7:20.0,,,61-58,,Offensive rebound by J. Henson
7:19.0,,,61-60,2,J. Henson makes 2-pt shot from 1 ft
6:54.0,Turnover by Team (shot clock),,61-60,,
6:54.0,J. Grant enters the game for A. Roberson,,61-60,,
6:36.0,,,61-60,,T. Snell misses 2-pt shot from 5 ft (block by J. Grant)
6:36.0,,,61-60,,Offensive rebound by Team
6:29.0,,,61-60,,G. Antetokounmpo misses 2-pt shot from 17 ft
6:28.0,Defensive rebound by S. Adams,,61-60,,
6:22.0,Shooting foul by M. Brogdon (drawn by R. Westbrook),,61-60,,
6:22.0,R. Westbrook makes free throw 1 of 2,1,62-60,,
6:22.0,R. Westbrook makes free throw 2 of 2,1,63-60,,
6:22.0,,,62-60,,G. Monroe enters the game for J. Henson
6:12.0,,,63-60,,J. Parker misses 2-pt shot from 1 ft (block by S. Adams)
6:09.0,Defensive rebound by V. Oladipo,,63-60,,
5:55.0,J. Grant misses 3-pt shot from 24 ft,,63-60,,
5:54.0,,,63-60,,Defensive rebound by T. Snell
5:31.0,,,63-60,,G. Antetokounmpo misses 3-pt shot from 27 ft
5:30.0,Defensive rebound by S. Adams,,63-60,,
5:21.0,R. Westbrook misses 2-pt shot from 16 ft,,63-60,,
5:20.0,,,63-60,,Defensive rebound by T. Snell
5:08.0,,,63-60,,Shooting foul by R. Westbrook (drawn by J. Parker)
5:08.0,,,63-60,,Milwaukee full timeout
5:08.0,,,63-61,1,J. Parker makes free throw 1 of 2
5:08.0,,,63-62,1,J. Parker makes free throw 2 of 2
4:49.0,R. Westbrook misses 3-pt shot from 26 ft,,63-62,,
4:47.0,Offensive rebound by E. Kanter,,63-62,,
4:46.0,E. Kanter misses 2-pt shot from 1 ft (block by J. Parker),,63-62,,
4:43.0,,,63-62,,Defensive rebound by G. Antetokounmpo
4:28.0,,,63-65,3,J. Parker makes 3-pt shot from 27 ft (assist by M. Brogdon)
4:16.0,R. Westbrook misses 2-pt shot from 1 ft,,63-65,,
4:14.0,,,63-65,,Defensive rebound by G. Monroe
4:10.0,Shooting block foul by E. Kanter (drawn by G. Antetokounmpo),,63-65,,
4:10.0,,,63-66,1,G. Antetokounmpo makes free throw 1 of 2
4:10.0,Oklahoma City full timeout,,63-66,,
4:10.0,,,63-66,,G. Antetokounmpo misses free throw 2 of 2
4:09.0,Defensive rebound by R. Westbrook,,63-66,,
3:55.0,R. Westbrook misses 2-pt shot from 11 ft,,63-66,,
3:54.0,,,63-66,,Defensive rebound by J. Parker
3:46.0,,,63-66,,M. Brogdon misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by R. Westbrook,,63-66,,
3:43.0,Shooting foul by T. Snell (drawn by R. Westbrook),,63-66,,
3:43.0,R. Westbrook makes free throw 1 of 2,1,64-66,,
3:43.0,R. Westbrook makes free throw 2 of 2,1,65-66,,
3:43.0,A. Abrines enters the game for V. Oladipo,,64-66,,
3:26.0,,,65-66,,Turnover by G. Antetokounmpo (lost ball)
3:26.0,,,65-66,,J. Terry enters the game for T. Snell
3:26.0,Jump ball: E. Kanter vs. G. Monroe,,,,Jump ball: E. Kanter vs. G. Monroe
3:21.0,Shooting foul by M. Brogdon (drawn by R. Westbrook),,65-66,,
3:21.0,R. Westbrook makes free throw 1 of 2,1,66-66,,
3:21.0,R. Westbrook makes free throw 2 of 2,1,67-66,,
3:21.0,,,66-66,,T. Snell enters the game for M. Brogdon
2:58.0,,,67-68,2,G. Monroe makes 2-pt shot from 16 ft (assist by J. Terry)
2:38.0,R. Westbrook misses 3-pt shot from 29 ft,,67-68,,
2:36.0,,,67-68,,Defensive rebound by G. Antetokounmpo
2:33.0,,,67-68,,Shooting foul by A. Abrines (drawn by G. Antetokounmpo)
2:33.0,,,67-68,,G. Antetokounmpo misses free throw 1 of 2
2:33.0,,,67-68,,Offensive rebound by Team
2:33.0,,,67-69,1,G. Antetokounmpo makes free throw 2 of 2
2:33.0,S. Christon enters the game for R. Westbrook,,67-68,,
2:33.0,,,67-68,,M. Beasley enters the game for T. Snell
2:33.0,,,67-68,,M. Teletovic enters the game for J. Parker
2:18.0,S. Christon makes 2-pt shot at rim (assist by S. Adams),2,69-69,,
2:03.0,,,69-69,,M. Teletovic misses 3-pt shot from 27 ft
2:02.0,Defensive rebound by S. Christon,,69-69,,
1:41.0,J. Lauvergne enters the game for S. Adams,,69-69,,
1:38.0,A. Abrines makes 3-pt shot from 23 ft (assist by S. Christon),3,72-69,,
1:16.0,,,72-71,2,M. Beasley makes 2-pt shot from 15 ft (assist by M. Teletovic)
1:00.0,Turnover by J. Lauvergne (bad pass; steal by G. Antetokounmpo),,72-71,,
0:57.0,,,72-71,,Shooting foul by S. Christon (drawn by G. Antetokounmpo)
0:57.0,,,72-73,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
0:57.0,,,72-74,1,G. Antetokounmpo makes free throw 1 of 1
0:41.0,E. Kanter misses 2-pt shot from 18 ft,,72-74,,
0:40.0,,,72-74,,Defensive rebound by M. Beasley
0:33.0,,,72-77,3,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
0:13.0,A. Abrines misses 3-pt shot from 23 ft,,72-77,,
0:12.0,,,72-77,,Defensive rebound by M. Beasley
0:02.0,,,72-79,2,G. Antetokounmpo makes 2-pt shot from 12 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,72-79,,M. Teletovic misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by J. Lauvergne,,72-79,,
11:30.0,S. Christon makes 2-pt shot from 1 ft (assist by J. Grant),2,74-79,,
11:06.0,,,74-79,,G. Monroe misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by D. Sabonis,,74-79,,
10:55.0,,,74-79,,J. Parker enters the game for G. Antetokounmpo
10:44.0,S. Christon makes 3-pt shot from 28 ft (assist by D. Sabonis),3,77-79,,
10:20.0,,,77-81,2,M. Teletovic makes 2-pt shot from 2 ft
10:20.0,,,77-81,,Shooting foul by A. Abrines (drawn by M. Teletovic)
10:20.0,,,77-82,1,M. Teletovic makes free throw 1 of 1
10:10.0,A. Abrines misses 3-pt shot from 28 ft,,77-82,,
10:08.0,,,77-82,,Defensive rebound by J. Parker
10:02.0,,,77-82,,Turnover by J. Parker (bad pass; steal by D. Sabonis)
9:56.0,S. Christon makes 2-pt shot from 1 ft,2,79-82,,
9:34.0,,,79-84,2,G. Monroe makes 2-pt shot from 6 ft (assist by J. Terry)
9:22.0,A. Abrines misses 2-pt shot from 1 ft,,79-84,,
9:20.0,,,79-84,,Defensive rebound by M. Beasley
9:14.0,,,79-84,,J. Terry misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by Team,,79-84,,
9:14.0,,,79-84,,T. Snell enters the game for M. Beasley
9:14.0,V. Oladipo enters the game for A. Abrines,,79-84,,
8:57.0,Shooting foul by G. Monroe (drawn by S. Christon),,79-84,,
8:57.0,Official timeout,,79-84,,
8:57.0,S. Christon misses free throw 1 of 2,,79-84,,
8:57.0,Offensive rebound by Team,,79-84,,
8:57.0,S. Christon misses free throw 2 of 2,,79-84,,
8:56.0,,,79-84,,Defensive rebound by J. Parker
8:35.0,R. Westbrook enters the game for S. Christon,,79-84,,
8:35.0,,,79-84,,M. Brogdon enters the game for J. Terry
8:33.0,,,79-84,,Turnover by T. Snell (lost ball)
8:33.0,Jump ball: J. Grant vs. G. Monroe (V. Oladipo gains possession),,,,Jump ball: J. Grant vs. G. Monroe (V. Oladipo gains possession)
8:14.0,V. Oladipo makes 3-pt shot from 28 ft,3,82-84,,
8:00.0,,,82-86,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Teletovic)
7:44.0,Offensive foul by D. Sabonis,,82-86,,
7:44.0,Turnover by D. Sabonis (offensive foul),,82-86,,
7:44.0,S. Adams enters the game for J. Lauvergne,,82-86,,
7:27.0,,,82-86,,Turnover by J. Parker (bad pass; steal by S. Adams)
7:19.0,R. Westbrook misses 3-pt shot from 25 ft,,82-86,,
7:18.0,,,82-86,,Defensive rebound by G. Monroe
7:02.0,,,82-86,,M. Teletovic misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by R. Westbrook,,82-86,,
6:56.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,84-86,,
6:38.0,,,84-86,,M. Brogdon misses 2-pt shot from 3 ft
6:37.0,Defensive rebound by V. Oladipo,,84-86,,
6:30.0,V. Oladipo makes 2-pt shot at rim,2,86-86,,
6:30.0,,,86-86,,Milwaukee full timeout
6:30.0,,,86-86,,J. Henson enters the game for G. Monroe
6:30.0,,,86-86,,G. Antetokounmpo enters the game for M. Teletovic
6:16.0,,,86-86,,J. Parker misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by S. Adams,,86-86,,
6:06.0,,,86-86,,Violation by M. Brogdon (kicked ball)
5:56.0,R. Westbrook makes 2-pt shot from 1 ft (assist by V. Oladipo),2,88-86,,
5:30.0,,,88-88,2,J. Parker makes 2-pt shot from 6 ft (assist by J. Henson)
5:12.0,V. Oladipo misses 2-pt shot from 18 ft,,88-88,,
5:11.0,,,88-88,,Defensive rebound by J. Henson
5:04.0,,,88-88,,Shooting foul by V. Oladipo (drawn by M. Brogdon)
5:04.0,,,88-89,1,M. Brogdon makes free throw 1 of 2
5:04.0,,,88-90,1,M. Brogdon makes free throw 2 of 2
4:46.0,V. Oladipo misses 3-pt shot from 27 ft,,88-90,,
4:45.0,,,88-90,,Defensive rebound by J. Henson
4:39.0,,,88-92,2,G. Antetokounmpo makes 2-pt shot at rim
4:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,90-92,,
4:20.0,,,90-92,,Offensive foul by M. Brogdon
4:20.0,,,90-92,,Turnover by M. Brogdon (offensive foul)
4:09.0,R. Westbrook misses 2-pt shot from 4 ft,,90-92,,
4:07.0,Offensive rebound by S. Adams,,90-92,,
4:06.0,S. Adams misses 2-pt shot at rim,,90-92,,
4:05.0,Offensive rebound by S. Adams,,90-92,,
4:04.0,S. Adams makes 2-pt shot from 1 ft,2,92-92,,
3:42.0,Personal foul by R. Westbrook (drawn by J. Henson),,92-92,,
3:29.0,,,92-94,2,J. Henson makes 2-pt shot from 13 ft (assist by M. Brogdon)
3:07.0,Jump ball: S. Adams vs. G. Antetokounmpo (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. G. Antetokounmpo (V. Oladipo gains possession)
3:01.0,R. Westbrook misses 3-pt shot from 27 ft,,92-94,,
2:59.0,,,92-94,,Defensive rebound by M. Brogdon
2:44.0,Personal foul by V. Oladipo (drawn by J. Henson),,92-94,,
2:44.0,Oklahoma City full timeout,,92-94,,
2:37.0,,,92-94,,Turnover by M. Brogdon (bad pass; steal by R. Westbrook)
2:19.0,S. Adams misses 2-pt shot from 1 ft,,92-94,,
2:18.0,,,92-94,,Defensive rebound by T. Snell
