time,Cleveland,pts.away,score,pts.home,Atlanta
6:00.0,,,20-9,,D. Howard misses free throw 1 of 2
6:00.0,,,20-9,,Offensive rebound by Team
6:00.0,,,20-10,1,D. Howard makes free throw 2 of 2
5:43.0,L. James makes 2-pt shot from 14 ft,2,22-10,,
5:26.0,,,22-10,,P. Millsap misses 3-pt shot from 25 ft
5:24.0,,,22-10,,Offensive rebound by D. Howard
5:24.0,,,22-12,2,D. Howard makes 2-pt shot at rim
5:04.0,L. James misses 3-pt shot from 23 ft,,22-12,,
5:02.0,,,22-12,,Defensive rebound by D. Howard
4:51.0,,,22-14,2,T. Hardaway makes 2-pt shot from 2 ft (assist by D. Schroder)
4:34.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,25-14,,
4:11.0,,,25-16,2,D. Howard makes 2-pt shot at rim (assist by T. Sefolosha)
3:56.0,K. Irving makes 2-pt shot from 2 ft,2,27-16,,
3:44.0,,,27-16,,Turnover by D. Schroder (bad pass)
3:44.0,,,27-16,,E. Ilyasova enters the game for P. Millsap
3:44.0,,,27-16,,T. Waller-Prince enters the game for T. Sefolosha
3:44.0,D. Williams enters the game for C. Frye,,27-16,,
3:27.0,Turnover by D. Williams (lost ball; steal by T. Waller-Prince),,27-16,,
3:21.0,,,27-18,2,T. Waller-Prince makes 2-pt shot from 1 ft
3:16.0,,,27-18,,Personal foul by D. Schroder (drawn by K. Irving)
3:16.0,K. Korver enters the game for L. James,,27-18,,
3:06.0,I. Shumpert makes 3-pt shot from 25 ft (assist by D. Williams),3,30-18,,
2:50.0,,,30-20,2,D. Schroder makes 2-pt shot from 7 ft
2:40.0,K. Irving makes 2-pt shot from 19 ft,2,32-20,,
2:30.0,,,32-23,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Howard)
2:15.0,K. Korver misses 2-pt shot from 21 ft,,32-23,,
2:14.0,,,32-23,,Defensive rebound by D. Howard
2:05.0,,,32-23,,Turnover by D. Schroder (bad pass; steal by K. Korver)
1:58.0,K. Irving makes 2-pt shot from 1 ft,2,34-23,,
1:48.0,,,34-25,2,D. Schroder makes 2-pt shot from 1 ft
1:33.0,Turnover by K. Irving (bad pass; steal by T. Waller-Prince),,34-25,,
1:25.0,,,34-25,,Turnover by T. Waller-Prince (bad pass; steal by K. Irving)
1:22.0,D. Williams misses 2-pt shot from 1 ft (block by D. Howard),,34-25,,
1:22.0,Offensive rebound by Team,,34-25,,
1:22.0,Cleveland full timeout,,34-25,,
1:22.0,D. Williams enters the game for K. Irving,,34-25,,
1:22.0,,,34-25,,M. Delaney enters the game for D. Howard
1:22.0,,,34-25,,P. Millsap enters the game for D. Schroder
1:14.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Williams),3,37-25,,
0:59.0,,,37-25,,Shooting foul by D. Williams (drawn by P. Millsap)
0:59.0,,,37-26,1,P. Millsap makes free throw 1 of 2
0:59.0,,,37-27,1,P. Millsap makes free throw 2 of 2
0:47.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Korver),2,39-27,,
0:35.0,,,39-30,3,T. Hardaway makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
0:26.0,I. Shumpert misses 3-pt shot from 23 ft,,39-30,,
0:25.0,,,39-30,,Defensive rebound by M. Delaney
0:06.0,,,39-32,2,M. Delaney makes 2-pt shot from 19 ft
0:06.0,Away from play foul by I. Shumpert (drawn by P. Millsap),,39-32,,
0:06.0,,,39-33,1,P. Millsap makes free throw 1 of 1
0:06.0,K. Irving enters the game for T. Thompson,,39-32,,
0:06.0,,,39-32,,D. Schroder enters the game for E. Ilyasova
0:02.0,,,39-33,,Personal foul by D. Schroder (drawn by D. Williams)
0:02.0,,,39-33,,K. Bazemore enters the game for D. Schroder
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,L. James makes 2-pt shot from 1 ft,2,41-33,,
11:21.0,,,41-33,,Turnover by E. Ilyasova (bad pass; steal by D. Williams)
11:13.0,L. James misses 2-pt shot from 4 ft (block by P. Millsap),,41-33,,
11:11.0,,,41-33,,Defensive rebound by T. Waller-Prince
11:06.0,,,41-35,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by M. Delaney)
10:48.0,L. James makes 3-pt shot from 25 ft (assist by D. Williams),3,44-35,,
10:31.0,,,44-35,,T. Hardaway misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by K. Korver,,44-35,,
10:25.0,Turnover by K. Korver (step out of bounds),,44-35,,
10:25.0,Violation by Team (jump ball),,44-35,,
10:12.0,,,44-37,2,P. Millsap makes 2-pt shot from 10 ft
9:57.0,L. James misses 2-pt shot from 1 ft,,44-37,,
9:56.0,Offensive rebound by L. James,,44-37,,
9:56.0,L. James makes 2-pt shot at rim,2,46-37,,
9:56.0,Shooting foul by E. Ilyasova (drawn by L. James),,46-37,,
9:56.0,L. James misses free throw 1 of 1,,46-37,,
9:56.0,,,46-37,,T. Sefolosha enters the game for T. Waller-Prince
9:55.0,,,46-37,,Defensive rebound by P. Millsap
9:44.0,,,46-37,,P. Millsap misses 2-pt shot from 8 ft
9:42.0,,,46-37,,Offensive rebound by P. Millsap
9:37.0,,,46-37,,M. Delaney misses 3-pt shot from 26 ft
9:36.0,Defensive rebound by D. Williams,,46-37,,
9:28.0,K. Korver misses 3-pt shot from 23 ft,,46-37,,
9:27.0,,,46-37,,Defensive rebound by E. Ilyasova
9:21.0,,,46-37,,Atlanta full timeout
9:21.0,,,46-37,,K. Bazemore enters the game for M. Delaney
9:13.0,,,46-39,2,P. Millsap makes 2-pt shot from 3 ft (assist by T. Hardaway)
8:58.0,L. James makes 2-pt shot from 2 ft (assist by D. Williams),2,48-39,,
8:43.0,,,48-39,,K. Bazemore misses 2-pt shot from 12 ft
8:39.0,Defensive rebound by L. James,,48-39,,
8:31.0,D. Williams makes 3-pt shot from 23 ft (assist by D. Williams),3,51-39,,
8:14.0,,,51-41,2,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Sefolosha)
7:50.0,D. Williams misses 3-pt shot from 24 ft,,51-41,,
7:48.0,,,51-41,,Defensive rebound by E. Ilyasova
7:42.0,,,51-41,,K. Bazemore misses 2-pt shot from 19 ft
7:40.0,Defensive rebound by R. Jefferson,,51-41,,
7:35.0,K. Korver misses 3-pt shot from 24 ft,,51-41,,
7:33.0,,,51-41,,Defensive rebound by T. Sefolosha
7:26.0,,,51-44,3,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Sefolosha)
7:07.0,R. Jefferson makes 3-pt shot from 25 ft (assist by L. James),3,54-44,,
6:56.0,Personal foul by D. Williams (drawn by P. Millsap),,54-44,,
6:56.0,K. Irving enters the game for D. Williams,,54-44,,
6:48.0,,,54-44,,Turnover by T. Hardaway (bad pass; steal by D. Williams)
6:42.0,K. Irving makes 2-pt shot from 7 ft (assist by D. Williams),2,56-44,,
6:22.0,,,56-44,,T. Hardaway misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by L. James,,56-44,,
6:12.0,L. James misses 2-pt shot from 2 ft,,56-44,,
6:12.0,,,56-44,,Defensive rebound by E. Ilyasova
6:12.0,Personal foul by R. Jefferson (drawn by E. Ilyasova),,56-44,,
6:12.0,,,56-44,,D. Howard enters the game for T. Hardaway
6:12.0,,,56-44,,D. Schroder enters the game for E. Ilyasova
6:12.0,Cleveland full timeout,,56-44,,
6:12.0,C. Frye enters the game for R. Jefferson,,56-44,,
6:00.0,,,56-47,3,D. Schroder makes 3-pt shot from 24 ft
5:43.0,L. James makes 2-pt shot from 2 ft (assist by D. Williams),2,58-47,,
5:24.0,,,58-47,,P. Millsap misses 2-pt shot from 15 ft
5:22.0,,,58-47,,Offensive rebound by T. Sefolosha
5:22.0,,,58-47,,T. Sefolosha misses 2-pt shot at rim
5:21.0,Defensive rebound by C. Frye,,58-47,,
5:13.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,61-47,,
4:53.0,,,61-50,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by D. Schroder)
4:29.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,63-50,,
4:15.0,,,63-52,2,D. Schroder makes 2-pt shot from 18 ft
4:02.0,D. Williams makes 2-pt shot from 17 ft,2,65-52,,
3:48.0,,,65-52,,T. Sefolosha misses 2-pt shot from 2 ft (block by K. Korver)
3:45.0,Defensive rebound by K. Irving,,65-52,,
3:44.0,Shooting foul by P. Millsap (drawn by L. James),,65-52,,
3:44.0,L. James misses free throw 1 of 2,,65-52,,
3:44.0,Offensive rebound by Team,,65-52,,
3:44.0,L. James makes free throw 2 of 2,1,66-52,,
3:44.0,,,65-52,,T. Hardaway enters the game for P. Millsap
3:44.0,I. Shumpert enters the game for D. Williams,,65-52,,
3:27.0,,,66-52,,D. Howard misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by L. James,,66-52,,
3:17.0,Turnover by K. Irving (bad pass; steal by D. Howard),,66-52,,
3:11.0,,,66-52,,K. Bazemore misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by K. Korver,,66-52,,
2:54.0,K. Irving makes 3-pt shot from 23 ft (assist by K. Korver),3,69-52,,
2:54.0,,,69-52,,Atlanta full timeout
2:54.0,Official timeout,,69-52,,
2:54.0,T. Thompson enters the game for L. James,,69-52,,
2:54.0,,,69-52,,T. Waller-Prince enters the game for T. Sefolosha
2:45.0,,,69-54,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
2:27.0,Turnover by K. Korver (bad pass; steal by K. Bazemore),,69-54,,
2:22.0,,,69-56,2,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore)
1:59.0,C. Frye misses 3-pt shot from 24 ft,,69-56,,
1:56.0,,,69-56,,Defensive rebound by D. Schroder
1:53.0,,,69-56,,Turnover by K. Bazemore (lost ball; steal by K. Irving)
1:44.0,K. Irving makes 3-pt shot from 26 ft (assist by C. Frye),3,72-56,,
1:28.0,,,72-56,,D. Schroder misses 2-pt shot from 16 ft
1:26.0,Defensive rebound by I. Shumpert,,72-56,,
1:22.0,Offensive foul by T. Thompson,,72-56,,
1:22.0,Turnover by T. Thompson (offensive foul),,72-56,,
1:22.0,D. Williams enters the game for K. Korver,,72-56,,
1:22.0,R. Jefferson enters the game for T. Thompson,,72-56,,
1:13.0,,,72-56,,Shooting foul by C. Frye (drawn by D. Howard)
1:13.0,,,72-56,,D. Howard misses free throw 1 of 2
1:13.0,,,72-56,,Offensive rebound by Team
1:13.0,,,72-56,,D. Howard misses free throw 2 of 2
1:12.0,Defensive rebound by C. Frye,,72-56,,
0:57.0,Offensive charge foul by R. Jefferson,,72-56,,
0:57.0,Turnover by R. Jefferson (offensive foul),,72-56,,
0:46.0,,,72-58,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
0:34.0,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Irving),3,75-58,,
0:29.0,,,75-60,2,T. Hardaway makes 2-pt shot from 18 ft
0:07.0,K. Irving makes 2-pt shot from 2 ft,2,77-60,,
0:02.0,,,77-60,,D. Schroder misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by Team,,77-60,,
0:02.0,Cleveland full timeout,,77-60,,
0:02.0,L. James enters the game for D. Williams,,77-60,,
0:02.0,,,77-60,,P. Millsap enters the game for D. Howard
0:02.0,,,77-60,,T. Sefolosha enters the game for D. Schroder
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,80-60,,
11:17.0,,,80-60,,P. Millsap misses 2-pt shot from 9 ft
11:15.0,,,80-60,,Offensive rebound by P. Millsap
11:10.0,,,80-60,,D. Howard misses 2-pt shot from 1 ft (block by K. Irving)
11:07.0,,,80-60,,Offensive rebound by D. Howard
11:06.0,,,80-62,2,D. Howard makes 2-pt shot from 1 ft
10:50.0,K. Irving makes 3-pt shot from 24 ft (assist by I. Shumpert),3,83-62,,
10:35.0,,,83-62,,Turnover by T. Sefolosha (lost ball)
10:20.0,K. Irving misses 3-pt shot from 26 ft,,83-62,,
10:19.0,,,83-62,,Defensive rebound by T. Sefolosha
10:05.0,,,83-62,,Shooting foul by L. James (drawn by P. Millsap)
10:05.0,,,83-62,,P. Millsap misses free throw 1 of 2
10:05.0,,,83-62,,Offensive rebound by Team
10:05.0,,,83-63,1,P. Millsap makes free throw 2 of 2
9:41.0,I. Shumpert misses 3-pt shot from 25 ft,,83-63,,
9:39.0,Offensive rebound by I. Shumpert,,83-63,,
9:31.0,Shooting foul by D. Howard (drawn by L. James),,83-63,,
9:31.0,L. James misses free throw 1 of 3,,83-63,,
9:31.0,Offensive rebound by Team,,83-63,,
9:31.0,L. James makes free throw 2 of 3,1,84-63,,
9:31.0,L. James makes free throw 3 of 3,1,85-63,,
9:13.0,,,85-63,,K. Bazemore misses 3-pt shot from 25 ft
9:11.0,,,85-63,,Offensive rebound by D. Howard
9:11.0,,,85-63,,Shooting foul by C. Frye (drawn by D. Howard)
9:11.0,,,85-64,1,D. Howard makes free throw 1 of 2
9:11.0,,,85-65,1,D. Howard makes free throw 2 of 2
8:51.0,L. James makes 3-pt shot from 22 ft (assist by K. Irving),3,88-65,,
8:42.0,,,88-65,,D. Howard misses 2-pt shot from 5 ft
8:39.0,,,88-65,,Offensive rebound by T. Sefolosha
8:32.0,,,88-67,2,K. Bazemore makes 2-pt shot from 20 ft (assist by T. Sefolosha)
8:04.0,L. James makes 3-pt shot from 26 ft (assist by T. Thompson),3,91-67,,
7:44.0,,,91-67,,D. Schroder misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by T. Thompson,,91-67,,
7:37.0,L. James misses 3-pt shot from 27 ft,,91-67,,
7:33.0,,,91-67,,Defensive rebound by P. Millsap
7:30.0,,,91-67,,T. Sefolosha misses 2-pt shot from 1 ft (block by C. Frye)
7:30.0,,,91-67,,Offensive rebound by Team
7:30.0,Cleveland full timeout,,91-67,,
7:30.0,,,91-67,,T. Hardaway enters the game for T. Sefolosha
7:21.0,,,91-67,,Turnover by D. Schroder (lost ball; steal by K. Irving)
7:18.0,Offensive charge foul by L. James,,91-67,,
7:18.0,Turnover by L. James (offensive foul),,91-67,,
7:07.0,,,91-67,,K. Bazemore misses 2-pt shot from 19 ft
7:06.0,,,91-67,,Offensive rebound by D. Howard
7:06.0,,,91-67,,Turnover by D. Howard (offensive foul)
7:06.0,,,91-67,,Offensive foul by D. Howard
7:06.0,,,91-67,,Technical foul by D. Howard
7:06.0,K. Irving makes technical free throw,1,92-67,,
6:55.0,Offensive charge foul by I. Shumpert,,92-67,,
6:55.0,Turnover by I. Shumpert (offensive foul),,92-67,,
6:37.0,,,92-67,,K. Bazemore misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by L. James,,92-67,,
6:30.0,Turnover by L. James (lost ball; steal by D. Howard),,92-67,,
6:21.0,,,92-69,2,T. Hardaway makes 2-pt shot from 10 ft (assist by D. Schroder)
6:02.0,T. Thompson misses 2-pt shot from 7 ft,,92-69,,
6:00.0,,,92-69,,Defensive rebound by P. Millsap
5:56.0,,,92-71,2,P. Millsap makes 2-pt shot from 2 ft
5:42.0,C. Frye misses 3-pt shot from 24 ft,,92-71,,
5:41.0,Offensive rebound by T. Thompson,,92-71,,
5:36.0,I. Shumpert misses 2-pt shot from 17 ft,,92-71,,
5:35.0,,,92-71,,Defensive rebound by D. Howard
5:30.0,,,92-74,3,T. Hardaway makes 3-pt shot from 27 ft (assist by D. Schroder)
5:06.0,C. Frye makes 2-pt shot from 21 ft (assist by K. Irving),2,94-74,,
4:52.0,,,94-74,,T. Hardaway misses 2-pt shot from 20 ft
4:50.0,Defensive rebound by L. James,,94-74,,
4:44.0,Turnover by K. Irving (step out of bounds),,94-74,,
4:28.0,,,94-77,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
4:27.0,Cleveland full timeout,,94-77,,
4:27.0,K. Korver enters the game for I. Shumpert,,94-77,,
4:02.0,L. James misses 2-pt shot from 10 ft,,94-77,,
4:00.0,,,94-77,,Defensive rebound by P. Millsap
3:52.0,,,94-77,,P. Millsap misses 2-pt shot from 2 ft (block by T. Thompson)
3:49.0,Defensive rebound by K. Irving,,94-77,,
3:29.0,K. Irving misses 2-pt shot from 4 ft,,94-77,,
3:27.0,Offensive rebound by T. Thompson,,94-77,,
3:22.0,K. Korver misses 3-pt shot from 24 ft,,94-77,,
3:20.0,,,94-77,,Defensive rebound by D. Howard
3:11.0,,,94-80,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder)
2:43.0,L. James misses 2-pt shot from 18 ft,,94-80,,
2:42.0,,,94-80,,Defensive rebound by D. Howard
2:42.0,,,94-80,,Technical foul by Team
2:42.0,K. Irving makes technical free throw,1,95-80,,
2:42.0,,,95-80,,M. Delaney enters the game for D. Schroder
2:42.0,R. Jefferson enters the game for L. James,,95-80,,
2:34.0,,,95-80,,Shooting foul by K. Korver (drawn by T. Hardaway)
2:34.0,,,95-80,,T. Hardaway misses free throw 1 of 3
2:34.0,,,95-80,,Offensive rebound by Team
2:34.0,,,95-81,1,T. Hardaway makes free throw 2 of 3
2:34.0,,,95-82,1,T. Hardaway makes free throw 3 of 3
2:15.0,C. Frye makes 3-pt shot from 26 ft (assist by K. Irving),3,98-82,,
2:00.0,Personal foul by R. Jefferson (drawn by T. Hardaway),,98-82,,
2:00.0,,,98-82,,E. Ilyasova enters the game for D. Howard
2:00.0,D. Williams enters the game for C. Frye,,98-82,,
1:46.0,,,98-82,,P. Millsap misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by D. Williams,,98-82,,
1:35.0,K. Irving makes 2-pt shot from 19 ft,2,100-82,,
1:21.0,,,100-84,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
1:09.0,D. Williams makes 3-pt shot from 24 ft (assist by K. Irving),3,103-84,,
0:52.0,,,103-84,,Turnover by M. Delaney (bad pass; steal by K. Irving)
0:52.0,,,103-84,,Personal take foul by M. Delaney (drawn by K. Irving)
0:45.0,K. Irving makes 3-pt shot from 27 ft,3,106-84,,
0:30.0,,,106-86,2,M. Delaney makes 2-pt shot from 19 ft
0:11.0,K. Irving misses 2-pt shot from 7 ft,,106-86,,
0:08.0,,,106-86,,Defensive rebound by K. Bazemore
0:04.0,,,106-88,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by M. Delaney)
0:01.0,R. Jefferson misses 2-pt shot from 9 ft,,106-88,,
0:00.0,Offensive rebound by Team,,106-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,106-88,,T. Hardaway misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by R. Jefferson,,106-88,,
11:44.0,Turnover by R. Jefferson (bad pass; steal by E. Ilyasova),,106-88,,
11:38.0,,,106-88,,Shooting foul by R. Jefferson (drawn by D. Schroder)
11:38.0,,,106-89,1,D. Schroder makes free throw 1 of 2
11:38.0,,,106-90,1,D. Schroder makes free throw 2 of 2
11:25.0,L. James misses 2-pt shot at rim,,106-90,,
11:22.0,,,106-90,,Defensive rebound by T. Waller-Prince
11:15.0,,,106-92,2,D. Schroder makes 2-pt shot from 2 ft
11:00.0,K. Korver misses 3-pt shot from 25 ft,,106-92,,
10:59.0,,,106-92,,Defensive rebound by T. Sefolosha
10:51.0,,,106-92,,D. Schroder misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by Team,,106-92,,
10:30.0,L. James makes 2-pt shot at rim (assist by D. Williams),2,108-92,,
10:01.0,,,108-92,,T. Waller-Prince misses 2-pt shot from 11 ft
10:00.0,,,108-92,,Offensive rebound by D. Schroder
9:58.0,,,108-92,,D. Schroder misses 2-pt shot from 1 ft (block by D. Williams)
9:57.0,Defensive rebound by L. James,,108-92,,
9:56.0,Shooting foul by T. Waller-Prince (drawn by L. James),,108-92,,
9:56.0,L. James makes free throw 1 of 2,1,109-92,,
9:56.0,L. James misses free throw 2 of 2,,109-92,,
9:56.0,,,109-92,,Defensive rebound by E. Ilyasova
9:41.0,,,109-94,2,D. Schroder makes 2-pt shot from 1 ft
9:20.0,R. Jefferson makes 2-pt shot from 1 ft (assist by L. James),2,111-94,,
9:03.0,,,111-94,,T. Hardaway misses 2-pt shot from 5 ft
9:02.0,,,111-94,,Offensive rebound by T. Hardaway
8:59.0,,,111-94,,T. Sefolosha misses 3-pt shot from 25 ft
8:58.0,,,111-94,,Offensive rebound by E. Ilyasova
8:50.0,,,111-96,2,E. Ilyasova makes 2-pt shot from 8 ft (assist by T. Sefolosha)
8:30.0,R. Jefferson misses 3-pt shot from 24 ft,,111-96,,
8:29.0,,,111-96,,Defensive rebound by T. Hardaway
8:21.0,,,111-96,,Turnover by D. Schroder (lost ball)
8:21.0,Official timeout,,111-96,,
8:21.0,,,111-96,,K. Bazemore enters the game for T. Waller-Prince
8:02.0,D. Williams makes 3-pt shot from 24 ft (assist by L. James),3,114-96,,
7:42.0,,,114-98,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by D. Schroder)
7:20.0,L. James misses 3-pt shot from 26 ft,,114-98,,
7:19.0,,,114-98,,Defensive rebound by E. Ilyasova
7:02.0,,,114-98,,D. Schroder misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by L. James,,114-98,,
6:47.0,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Korver),3,117-98,,
6:34.0,,,117-98,,Shooting foul by R. Jefferson (drawn by K. Bazemore)
6:34.0,,,117-99,1,K. Bazemore makes free throw 1 of 2
6:34.0,,,117-100,1,K. Bazemore makes free throw 2 of 2
6:34.0,,,117-99,,P. Millsap enters the game for D. Schroder
6:20.0,R. Jefferson misses 3-pt shot from 23 ft,,117-100,,
6:18.0,,,117-100,,Defensive rebound by E. Ilyasova
6:12.0,,,117-100,,Shooting foul by K. Korver (drawn by P. Millsap)
6:12.0,,,117-101,1,P. Millsap makes free throw 1 of 2
6:12.0,,,117-102,1,P. Millsap makes free throw 2 of 2
5:52.0,L. James misses 2-pt shot from 2 ft (block by K. Bazemore),,117-102,,
5:50.0,,,117-102,,Defensive rebound by K. Bazemore
5:50.0,Personal take foul by R. Jefferson (drawn by K. Bazemore),,117-102,,
5:50.0,,,117-102,,Atlanta full timeout
5:50.0,K. Irving enters the game for D. Williams,,117-102,,
5:50.0,T. Thompson enters the game for R. Jefferson,,117-102,,
5:40.0,,,117-104,2,T. Hardaway makes 2-pt shot at rim (assist by T. Sefolosha)
5:14.0,L. James makes 2-pt shot from 19 ft,2,119-104,,
5:00.0,Personal foul by L. James (drawn by T. Hardaway),,119-104,,
5:00.0,,,119-105,1,T. Hardaway makes free throw 1 of 2
5:00.0,,,119-106,1,T. Hardaway makes free throw 2 of 2
4:38.0,K. Irving misses 3-pt shot from 25 ft,,119-106,,
4:37.0,,,119-106,,Defensive rebound by Team
4:37.0,Loose ball foul by T. Thompson (drawn by E. Ilyasova),,119-106,,
4:37.0,,,119-107,1,E. Ilyasova makes free throw 1 of 2
4:37.0,,,119-108,1,E. Ilyasova makes free throw 2 of 2
4:24.0,Turnover by D. Williams (lost ball),,119-108,,
4:17.0,,,119-110,2,T. Hardaway makes 2-pt shot from 2 ft (assist by K. Bazemore)
4:17.0,,,119-110,,Shooting foul by D. Williams (drawn by T. Hardaway)
4:17.0,,,119-111,1,T. Hardaway makes free throw 1 of 1
4:17.0,I. Shumpert enters the game for D. Williams,,119-110,,
4:07.0,Shooting foul by K. Bazemore (drawn by K. Irving),,119-111,,
4:07.0,K. Irving makes free throw 1 of 2,1,120-111,,
4:07.0,K. Irving makes free throw 2 of 2,1,121-111,,
3:54.0,,,121-113,2,P. Millsap makes 2-pt shot from 12 ft
3:33.0,I. Shumpert misses 3-pt shot from 25 ft,,121-113,,
3:32.0,,,121-113,,Defensive rebound by E. Ilyasova
3:27.0,,,121-115,2,T. Hardaway makes 2-pt shot at rim (assist by E. Ilyasova)
3:00.0,L. James makes 3-pt shot from 25 ft,3,124-115,,
2:46.0,,,124-117,2,P. Millsap makes 2-pt shot from 6 ft
