time,Denver,pts.away,score,pts.home,Orlando
5:00.0,,,15-16,2,S. Ibaka makes 2-pt shot from 1 ft (assist by D. Augustin)
5:00.0,Denver full timeout,,15-16,,
5:00.0,N. Jokic enters the game for J. Nurkic,,15-16,,
5:00.0,,,15-16,,E. Payton enters the game for D. Augustin
4:44.0,N. Jokic makes 2-pt shot from 4 ft (assist by D. Gallinari),2,17-16,,
4:20.0,,,17-16,,E. Payton misses 2-pt shot from 8 ft
4:18.0,Defensive rebound by N. Jokic,,17-16,,
4:11.0,E. Mudiay makes 2-pt shot from 2 ft,2,19-16,,
4:00.0,,,19-16,,Shooting foul by D. Gallinari (drawn by A. Gordon)
4:00.0,,,19-17,1,A. Gordon makes free throw 1 of 2
4:00.0,,,19-18,1,A. Gordon makes free throw 2 of 2
4:00.0,J. Nelson enters the game for E. Mudiay,,19-17,,
4:00.0,J. Murray enters the game for W. Barton,,19-17,,
3:46.0,Shooting foul by A. Gordon (drawn by D. Gallinari),,19-18,,
3:46.0,D. Gallinari makes free throw 1 of 3,1,20-18,,
3:46.0,D. Gallinari makes free throw 2 of 3,1,21-18,,
3:46.0,D. Gallinari makes free throw 3 of 3,1,22-18,,
3:46.0,,,21-18,,J. Green enters the game for A. Gordon
3:38.0,,,22-20,2,B. Biyombo makes 2-pt shot from 3 ft (assist by E. Payton)
3:23.0,K. Faried makes 2-pt shot from 6 ft (assist by D. Gallinari),2,24-20,,
3:05.0,,,24-22,2,S. Ibaka makes 2-pt shot from 20 ft (assist by E. Fournier)
2:54.0,K. Faried misses 2-pt shot from 4 ft (block by S. Ibaka),,24-22,,
2:51.0,,,24-22,,Defensive rebound by E. Payton
2:46.0,,,24-22,,J. Green misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by K. Faried,,24-22,,
2:34.0,N. Jokic misses 3-pt shot from 26 ft,,24-22,,
2:34.0,,,24-22,,Defensive rebound by Team
2:34.0,,,24-22,,Orlando full timeout
2:34.0,,,24-22,,J. Meeks enters the game for S. Ibaka
2:17.0,,,24-22,,J. Green misses 2-pt shot from 2 ft (block by N. Jokic)
2:14.0,Defensive rebound by N. Jokic,,24-22,,
2:02.0,J. Nelson misses 2-pt shot from 2 ft,,24-22,,
2:00.0,Offensive rebound by K. Faried,,24-22,,
2:00.0,K. Faried makes 2-pt shot at rim,2,26-22,,
1:54.0,,,26-22,,E. Fournier misses 2-pt shot from 2 ft
1:52.0,Defensive rebound by K. Faried,,26-22,,
1:40.0,N. Jokic makes 2-pt shot from 14 ft,2,28-22,,
1:26.0,,,28-22,,Shooting foul by N. Jokic (drawn by E. Fournier)
1:26.0,,,28-23,1,E. Fournier makes free throw 1 of 2
1:26.0,,,28-24,1,E. Fournier makes free throw 2 of 2
1:26.0,,,28-23,,S. Zimmerman enters the game for B. Biyombo
1:04.0,J. Murray misses 3-pt shot from 25 ft,,28-24,,
1:03.0,,,28-24,,Defensive rebound by E. Fournier
0:58.0,,,28-26,2,J. Green makes 2-pt shot from 22 ft (assist by E. Fournier)
0:49.0,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic),2,30-26,,
0:30.0,,,30-26,,Shooting foul by K. Faried (drawn by J. Green)
0:30.0,,,30-26,,J. Green misses free throw 1 of 2
0:30.0,,,30-26,,Offensive rebound by Team
0:30.0,,,30-27,1,J. Green makes free throw 2 of 2
0:11.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Murray),2,32-27,,
0:00.0,,,32-29,2,E. Payton makes 2-pt shot from 15 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Murray misses 2-pt shot from 19 ft,,32-29,,
11:43.0,,,32-29,,Defensive rebound by S. Zimmerman
11:37.0,,,32-29,,Turnover by E. Payton (bad pass; steal by N. Jokic)
11:22.0,J. Nelson misses 2-pt shot from 21 ft,,32-29,,
11:21.0,Offensive rebound by N. Jokic,,32-29,,
11:19.0,N. Jokic makes 2-pt shot from 5 ft,2,34-29,,
11:00.0,,,34-29,,Turnover by E. Payton (bad pass; steal by J. Murray)
10:54.0,J. Hernangomez misses 3-pt shot from 25 ft,,34-29,,
10:53.0,,,34-29,,Defensive rebound by E. Payton
10:45.0,,,34-29,,J. Meeks misses 2-pt shot from 15 ft
10:44.0,Defensive rebound by K. Faried,,34-29,,
10:29.0,N. Jokic makes 2-pt shot from 8 ft,2,36-29,,
10:15.0,,,36-31,2,S. Zimmerman makes 2-pt shot from 19 ft (assist by E. Payton)
10:04.0,Turnover by J. Nelson (bad pass; steal by M. Hezonja),,36-31,,
9:53.0,,,36-33,2,M. Hezonja makes 2-pt shot from 11 ft
9:39.0,J. Murray makes 2-pt shot from 2 ft,2,38-33,,
9:25.0,,,38-33,,J. Meeks misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by N. Jokic,,38-33,,
9:15.0,J. Hernangomez makes 3-pt shot from 24 ft (assist by K. Faried),3,41-33,,
8:53.0,,,41-36,3,J. Green makes 3-pt shot from 24 ft (assist by E. Payton)
8:36.0,N. Jokic misses 2-pt shot from 20 ft,,41-36,,
8:35.0,Offensive rebound by K. Faried,,41-36,,
8:35.0,K. Faried makes 2-pt shot from 2 ft,2,43-36,,
8:17.0,,,43-36,,S. Zimmerman misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by Team,,43-36,,
8:16.0,Official timeout,,43-36,,
8:03.0,,,43-36,,Violation by S. Zimmerman (kicked ball)
7:54.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by N. Jokic),3,46-36,,
7:35.0,,,46-38,2,J. Green makes 2-pt shot from 11 ft
7:18.0,J. Murray misses 3-pt shot from 25 ft,,46-38,,
7:17.0,,,46-38,,Defensive rebound by J. Green
6:57.0,,,46-38,,E. Payton misses 2-pt shot from 11 ft
6:54.0,Defensive rebound by N. Jokic,,46-38,,
6:46.0,J. Hernangomez makes 3-pt shot from 23 ft (assist by N. Jokic),3,49-38,,
6:46.0,,,49-38,,Orlando full timeout
6:46.0,,,49-38,,E. Fournier enters the game for J. Green
6:46.0,,,49-38,,S. Ibaka enters the game for J. Meeks
6:46.0,,,49-38,,B. Biyombo enters the game for S. Zimmerman
6:46.0,E. Mudiay enters the game for K. Faried,,49-38,,
6:46.0,D. Arthur enters the game for N. Jokic,,49-38,,
6:46.0,J. Nurkic enters the game for J. Nelson,,49-38,,
6:34.0,,,49-41,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
6:15.0,J. Hernangomez misses 2-pt shot from 2 ft,,49-41,,
6:14.0,Offensive rebound by J. Hernangomez,,49-41,,
5:59.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by D. Arthur),3,52-41,,
5:38.0,,,52-41,,S. Ibaka misses 2-pt shot from 9 ft (block by J. Murray)
5:36.0,,,52-41,,Offensive rebound by B. Biyombo
5:31.0,,,52-41,,B. Biyombo misses 2-pt shot from 9 ft
5:30.0,Defensive rebound by J. Nurkic,,52-41,,
5:29.0,Turnover by E. Mudiay (bad pass),,52-41,,
5:29.0,,,52-41,,A. Gordon enters the game for M. Hezonja
5:29.0,W. Barton enters the game for J. Murray,,52-41,,
5:18.0,,,52-44,3,S. Ibaka makes 3-pt shot from 25 ft
5:00.0,J. Hernangomez misses 2-pt shot from 5 ft,,52-44,,
4:59.0,,,52-44,,Defensive rebound by A. Gordon
4:44.0,,,52-44,,Turnover by E. Payton (step out of bounds)
4:23.0,J. Nurkic makes 2-pt shot from 6 ft,2,54-44,,
4:06.0,,,54-44,,E. Fournier misses 2-pt shot from 18 ft
4:05.0,Defensive rebound by E. Mudiay,,54-44,,
4:00.0,D. Arthur misses 2-pt shot from 2 ft (block by S. Ibaka),,54-44,,
3:59.0,,,54-44,,Defensive rebound by E. Fournier
3:59.0,Personal foul by J. Hernangomez,,54-44,,
3:59.0,D. Gallinari enters the game for J. Hernangomez,,54-44,,
3:50.0,,,54-47,3,E. Fournier makes 3-pt shot from 26 ft (assist by B. Biyombo)
3:42.0,,,54-47,,Personal foul by E. Fournier (drawn by W. Barton)
3:32.0,Shooting foul by A. Gordon (drawn by D. Gallinari),,54-47,,
3:32.0,D. Gallinari makes free throw 1 of 2,1,55-47,,
3:32.0,D. Gallinari makes free throw 2 of 2,1,56-47,,
3:32.0,,,55-47,,J. Green enters the game for A. Gordon
3:26.0,,,56-49,2,E. Payton makes 2-pt shot from 2 ft (assist by J. Green)
3:26.0,,,56-49,,Shooting foul by E. Mudiay (drawn by E. Payton)
3:26.0,,,56-49,,E. Payton misses free throw 1 of 1
3:25.0,Defensive rebound by D. Gallinari,,56-49,,
3:10.0,J. Nurkic misses 2-pt shot from 2 ft,,56-49,,
3:09.0,,,56-49,,Defensive rebound by J. Green
3:06.0,,,56-49,,Shooting foul by W. Barton (drawn by S. Ibaka)
3:06.0,,,56-50,1,S. Ibaka makes free throw 1 of 2
3:06.0,,,56-51,1,S. Ibaka makes free throw 2 of 2
3:06.0,,,56-50,,D. Augustin enters the game for E. Payton
2:55.0,E. Mudiay makes 2-pt shot from 2 ft,2,58-51,,
2:34.0,,,58-51,,D. Augustin misses 2-pt shot from 10 ft
2:33.0,Defensive rebound by D. Gallinari,,58-51,,
2:33.0,,,58-51,,Loose ball foul by D. Augustin (drawn by D. Gallinari)
2:33.0,Denver full timeout,,58-51,,
2:22.0,D. Gallinari misses 2-pt shot from 19 ft,,58-51,,
2:21.0,,,58-51,,Defensive rebound by B. Biyombo
2:10.0,,,58-51,,Turnover by J. Green (bad pass)
2:01.0,D. Gallinari makes 3-pt shot from 26 ft (assist by D. Arthur),3,61-51,,
1:36.0,,,61-53,2,S. Ibaka makes 2-pt shot from 7 ft (assist by B. Biyombo)
1:20.0,D. Gallinari makes 2-pt shot from 12 ft,2,63-53,,
1:01.0,,,63-55,2,S. Ibaka makes 2-pt shot at rim (assist by D. Augustin)
0:54.0,W. Barton makes 2-pt shot from 2 ft (assist by D. Arthur),2,65-55,,
0:54.0,,,65-55,,Orlando full timeout
0:54.0,J. Hernangomez enters the game for W. Barton,,65-55,,
0:54.0,,,65-55,,E. Payton enters the game for J. Green
0:45.0,,,65-55,,E. Fournier misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by J. Nurkic,,65-55,,
0:42.0,Turnover by J. Nurkic (bad pass; steal by E. Fournier),,65-55,,
0:34.0,,,65-55,,Shooting foul by D. Arthur (drawn by E. Fournier)
0:34.0,,,65-56,1,E. Fournier makes free throw 1 of 2
0:34.0,,,65-56,,E. Fournier misses free throw 2 of 2
0:34.0,Defensive rebound by J. Nurkic,,65-56,,
0:34.0,,,65-56,,J. Green enters the game for D. Augustin
0:12.0,D. Arthur misses 2-pt shot from 11 ft,,65-56,,
0:11.0,,,65-56,,Defensive rebound by S. Ibaka
0:03.0,,,65-58,2,E. Fournier makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Nurkic makes 2-pt shot from 7 ft,2,67-58,,
11:37.0,Violation by Team (jump ball),,67-58,,
11:21.0,,,67-61,3,D. Augustin makes 3-pt shot from 25 ft (assist by A. Gordon)
11:06.0,D. Gallinari makes 2-pt shot from 2 ft,2,69-61,,
10:52.0,,,69-61,,A. Gordon misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by J. Nurkic,,69-61,,
10:42.0,D. Arthur misses 3-pt shot from 25 ft,,69-61,,
10:41.0,,,69-61,,Defensive rebound by A. Gordon
10:37.0,Personal foul by D. Gallinari (drawn by A. Gordon),,69-61,,
10:29.0,,,69-63,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier)
10:13.0,D. Gallinari misses 2-pt shot from 17 ft,,69-63,,
10:11.0,,,69-63,,Defensive rebound by S. Ibaka
9:57.0,,,69-63,,E. Fournier misses 2-pt shot from 15 ft
9:55.0,Defensive rebound by J. Nurkic,,69-63,,
9:44.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,71-63,,
9:20.0,,,71-63,,D. Augustin misses 2-pt shot from 2 ft (block by J. Nurkic)
9:20.0,Defensive rebound by Team,,71-63,,
9:04.0,J. Nurkic makes 2-pt shot from 7 ft (assist by D. Arthur),2,73-63,,
9:03.0,Technical foul by Team,,73-63,,
9:03.0,,,73-64,1,E. Fournier makes technical free throw
8:54.0,Personal foul by W. Barton (drawn by E. Fournier),,73-64,,
8:43.0,,,73-64,,S. Ibaka misses 2-pt shot from 16 ft
8:42.0,Defensive rebound by E. Mudiay,,73-64,,
8:32.0,J. Nurkic makes 2-pt shot from 2 ft (assist by E. Mudiay),2,75-64,,
8:32.0,,,75-64,,Orlando full timeout
8:22.0,,,75-66,2,S. Ibaka makes 2-pt shot from 9 ft (assist by E. Fournier)
8:05.0,D. Gallinari makes 2-pt shot from 2 ft,2,77-66,,
7:41.0,,,77-68,2,E. Fournier makes 2-pt shot from 21 ft
7:27.0,Shooting foul by E. Fournier (drawn by W. Barton),,77-68,,
7:27.0,W. Barton makes free throw 1 of 2,1,78-68,,
7:27.0,W. Barton misses free throw 2 of 2,,78-68,,
7:26.0,,,78-68,,Defensive rebound by E. Fournier
7:10.0,,,78-70,2,S. Ibaka makes 2-pt shot from 20 ft (assist by A. Gordon)
6:57.0,J. Nurkic misses 2-pt shot at rim (block by S. Ibaka),,78-70,,
6:55.0,,,78-70,,Defensive rebound by D. Augustin
6:49.0,,,78-73,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. Augustin)
6:49.0,Denver full timeout,,78-73,,
6:39.0,Turnover by J. Nurkic (bad pass),,78-73,,
6:28.0,,,78-75,2,E. Fournier makes 2-pt shot from 18 ft (assist by D. Augustin)
6:18.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,80-75,,
6:03.0,,,80-77,2,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin)
5:57.0,,,80-77,,Personal foul by E. Fournier (drawn by E. Mudiay)
5:55.0,Offensive foul by D. Gallinari,,80-77,,
5:55.0,Turnover by D. Gallinari (offensive foul),,80-77,,
5:45.0,,,80-79,2,D. Augustin makes 2-pt shot from 17 ft
5:24.0,E. Mudiay misses 3-pt shot from 25 ft,,80-79,,
5:22.0,,,80-79,,Defensive rebound by A. Gordon
5:04.0,,,80-81,2,E. Fournier makes 2-pt shot from 12 ft
4:50.0,Shooting foul by A. Gordon (drawn by D. Gallinari),,80-81,,
4:50.0,,,80-81,,Technical foul by A. Gordon (drawn by D. Gallinari)
4:50.0,D. Gallinari makes technical free throw,1,81-81,,
4:50.0,D. Gallinari makes free throw 1 of 2,1,82-81,,
4:50.0,D. Gallinari misses free throw 2 of 2,,82-81,,
4:50.0,,,82-81,,J. Green enters the game for A. Gordon
4:50.0,J. Nelson enters the game for D. Arthur,,82-81,,
4:50.0,K. Faried enters the game for J. Nurkic,,82-81,,
4:50.0,N. Jokic enters the game for W. Barton,,82-81,,
4:49.0,,,82-81,,Defensive rebound by E. Fournier
4:31.0,,,82-83,2,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin)
4:16.0,E. Mudiay misses 2-pt shot from 15 ft,,82-83,,
4:16.0,Offensive rebound by Team,,82-83,,
4:16.0,,,82-83,,Loose ball foul by D. Augustin (drawn by K. Faried)
4:08.0,Turnover by K. Faried (bad pass; steal by D. Augustin),,82-83,,
4:08.0,Clear path foul by E. Mudiay,,82-83,,
4:08.0,,,82-84,1,D. Augustin makes clear path free throw 1 of 2
4:08.0,,,82-85,1,D. Augustin makes clear path free throw 2 of 2
4:08.0,J. Murray enters the game for E. Mudiay,,82-83,,
3:53.0,,,82-85,,J. Green misses 2-pt shot from 7 ft
3:53.0,,,82-85,,Offensive rebound by B. Biyombo
3:53.0,,,82-85,,Shooting foul by N. Jokic (drawn by B. Biyombo)
3:53.0,,,82-85,,B. Biyombo misses free throw 1 of 2
3:53.0,,,82-85,,Offensive rebound by Team
3:53.0,,,82-85,,B. Biyombo misses free throw 2 of 2
3:52.0,Defensive rebound by K. Faried,,82-85,,
3:37.0,J. Nelson makes 2-pt shot from 10 ft (assist by N. Jokic),2,84-85,,
3:23.0,,,84-85,,E. Fournier misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by Team,,84-85,,
3:22.0,,,84-85,,E. Payton enters the game for B. Biyombo
3:04.0,K. Faried makes 2-pt shot from 8 ft (assist by J. Nelson),2,86-85,,
2:41.0,,,86-85,,S. Ibaka misses 2-pt shot from 8 ft
2:40.0,Defensive rebound by D. Gallinari,,86-85,,
2:29.0,N. Jokic misses 3-pt shot from 26 ft,,86-85,,
2:27.0,Offensive rebound by K. Faried,,86-85,,
2:27.0,K. Faried makes 2-pt shot from 3 ft,2,88-85,,
2:16.0,,,88-85,,Shooting foul by J. Murray (drawn by E. Payton)
2:16.0,,,88-85,,E. Payton misses free throw 1 of 2
2:16.0,,,88-85,,Offensive rebound by Team
2:16.0,,,88-86,1,E. Payton makes free throw 2 of 2
2:06.0,J. Nelson makes 2-pt shot from 23 ft,2,90-86,,
1:53.0,,,90-88,2,E. Payton makes 2-pt shot from 19 ft
1:42.0,J. Nelson misses 2-pt shot from 2 ft (block by S. Ibaka),,90-88,,
1:40.0,,,90-88,,Defensive rebound by J. Green
1:35.0,,,90-88,,S. Ibaka misses 2-pt shot from 2 ft (block by N. Jokic)
1:33.0,Defensive rebound by J. Murray,,90-88,,
1:28.0,D. Gallinari misses 3-pt shot from 24 ft,,90-88,,
1:27.0,,,90-88,,Defensive rebound by E. Payton
1:18.0,,,90-91,3,D. Augustin makes 3-pt shot from 23 ft (assist by E. Fournier)
0:59.0,,,90-91,,Personal foul by S. Ibaka (drawn by N. Jokic)
0:59.0,N. Jokic makes free throw 1 of 2,1,91-91,,
0:59.0,N. Jokic makes free throw 2 of 2,1,92-91,,
0:59.0,,,91-91,,J. Meeks enters the game for D. Augustin
0:59.0,J. Hernangomez enters the game for D. Gallinari,,91-91,,
0:59.0,,,91-91,,B. Biyombo enters the game for S. Ibaka
0:47.0,,,92-91,,E. Payton misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by K. Faried,,92-91,,
0:38.0,J. Hernangomez misses 2-pt shot from 7 ft,,92-91,,
0:37.0,,,92-91,,Defensive rebound by Team
0:37.0,Loose ball foul by N. Jokic (drawn by J. Green),,92-91,,
0:37.0,,,92-92,1,J. Green makes free throw 1 of 2
0:37.0,,,92-93,1,J. Green makes free throw 2 of 2
0:30.0,Turnover by N. Jokic (bad pass),,92-93,,
0:11.0,,,92-95,2,E. Fournier makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,92-95,,E. Payton misses 2-pt shot from 16 ft
11:40.0,,,92-95,,Offensive rebound by Team
11:40.0,Loose ball foul by J. Murray (drawn by B. Biyombo),,92-95,,
11:27.0,,,92-95,,J. Green misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by K. Faried,,92-95,,
11:17.0,Turnover by K. Faried (lost ball; steal by D. Rudez),,92-95,,
11:02.0,,,92-95,,E. Payton misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by J. Hernangomez,,92-95,,
10:43.0,J. Murray misses 3-pt shot from 25 ft,,92-95,,
10:42.0,,,92-95,,Defensive rebound by J. Meeks
10:22.0,,,92-95,,E. Payton misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by N. Jokic,,92-95,,
10:09.0,J. Murray misses 2-pt shot from 11 ft,,92-95,,
10:07.0,,,92-95,,Defensive rebound by J. Green
9:59.0,,,92-95,,Shooting foul by K. Faried (drawn by B. Biyombo)
9:59.0,,,92-95,,B. Biyombo misses free throw 1 of 2
9:59.0,,,92-95,,Offensive rebound by Team
9:59.0,,,92-96,1,B. Biyombo makes free throw 2 of 2
9:44.0,J. Nelson makes 3-pt shot from 26 ft (assist by J. Hernangomez),3,95-96,,
9:27.0,,,95-99,3,J. Meeks makes 3-pt shot from 24 ft (assist by E. Payton)
9:13.0,J. Nelson misses 2-pt shot from 15 ft,,95-99,,
9:12.0,Offensive rebound by Team,,95-99,,
9:05.0,N. Jokic misses 3-pt shot from 25 ft,,95-99,,
9:04.0,Offensive rebound by J. Hernangomez,,95-99,,
9:01.0,,,95-99,,Personal foul by D. Rudez
8:51.0,N. Jokic makes 2-pt shot from 14 ft (assist by J. Hernangomez),2,97-99,,
8:32.0,,,97-101,2,J. Green makes 2-pt shot from 20 ft
8:17.0,,,97-101,,Shooting block foul by D. Rudez (drawn by K. Faried)
8:17.0,Official timeout,,97-101,,
8:17.0,K. Faried misses free throw 1 of 2,,97-101,,
8:17.0,Offensive rebound by Team,,97-101,,
8:17.0,K. Faried misses free throw 2 of 2,,97-101,,
8:17.0,Offensive rebound by J. Hernangomez,,97-101,,
8:17.0,,,97-101,,S. Ibaka enters the game for B. Biyombo
8:12.0,J. Nelson misses 3-pt shot from 25 ft,,97-101,,
8:11.0,,,97-101,,Defensive rebound by E. Payton
7:51.0,,,97-101,,J. Meeks misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by K. Faried,,97-101,,
7:37.0,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic),2,99-101,,
7:37.0,Shooting foul by S. Ibaka (drawn by K. Faried),,99-101,,
7:37.0,K. Faried makes free throw 1 of 1,1,100-101,,
7:37.0,,,99-101,,E. Fournier enters the game for J. Meeks
7:24.0,,,100-103,2,J. Green makes 2-pt shot from 11 ft
6:55.0,N. Jokic makes 2-pt shot from 5 ft (assist by J. Nelson),2,102-103,,
6:32.0,,,102-106,3,D. Rudez makes 3-pt shot from 25 ft (assist by E. Fournier)
6:03.0,J. Nelson makes 2-pt shot from 21 ft,2,104-106,,
5:55.0,,,104-106,,Orlando full timeout
5:55.0,,,104-106,,A. Gordon enters the game for D. Rudez
5:55.0,D. Gallinari enters the game for K. Faried,,104-106,,
5:36.0,,,104-106,,E. Fournier misses 2-pt shot from 14 ft
5:34.0,Defensive rebound by D. Gallinari,,104-106,,
5:12.0,J. Hernangomez makes 2-pt shot from 2 ft (assist by J. Murray),2,106-106,,
4:51.0,,,106-106,,S. Ibaka misses 2-pt shot from 18 ft
4:50.0,Defensive rebound by J. Nelson,,106-106,,
4:42.0,Turnover by J. Murray (bad pass; steal by A. Gordon),,106-106,,
4:41.0,Personal take foul by J. Nelson (drawn by A. Gordon),,106-106,,
4:41.0,,,106-106,,D. Augustin enters the game for E. Payton
4:41.0,,,106-106,,B. Biyombo enters the game for J. Green
4:41.0,W. Barton enters the game for J. Murray,,106-106,,
4:22.0,,,106-106,,B. Biyombo misses 2-pt shot from 9 ft
4:21.0,Defensive rebound by W. Barton,,106-106,,
4:08.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,109-106,,
3:48.0,,,109-106,,A. Gordon misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by Team,,109-106,,
3:48.0,,,109-106,,Loose ball foul by S. Ibaka (drawn by D. Gallinari)
3:48.0,D. Arthur enters the game for J. Hernangomez,,109-106,,
3:32.0,D. Arthur makes 3-pt shot from 23 ft (assist by N. Jokic),3,112-106,,
3:32.0,,,112-106,,Orlando full timeout
3:18.0,,,112-106,,D. Augustin misses 3-pt shot from 25 ft
3:17.0,,,112-106,,Offensive rebound by Team
3:01.0,,,112-108,2,A. Gordon makes 2-pt shot from 17 ft (assist by B. Biyombo)
2:40.0,W. Barton makes 2-pt shot from 13 ft,2,114-108,,
2:15.0,,,114-110,2,B. Biyombo makes 2-pt shot from 16 ft (assist by D. Augustin)
2:15.0,Denver full timeout,,114-110,,
