time,San Antonio,pts.away,score,pts.home,Detroit
7:54.0,Defensive rebound by D. Dedmon,,66-50,,
7:37.0,T. Parker misses 3-pt shot from 23 ft,,66-50,,
7:35.0,,,66-50,,Defensive rebound by A. Drummond
7:31.0,,,66-50,,R. Jackson misses 2-pt shot from 5 ft (block by D. Dedmon)
7:31.0,,,66-50,,Offensive rebound by Team
7:31.0,D. Lee enters the game for L. Aldridge,,66-50,,
7:21.0,,,66-50,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Leonard)
7:11.0,D. Dedmon makes 2-pt shot at rim (assist by K. Leonard),2,68-50,,
7:06.0,,,68-50,,Detroit full timeout
6:54.0,,,68-52,2,J. Leuer makes 2-pt shot from 12 ft (assist by K. Caldwell-Pope)
6:36.0,D. Lee misses 2-pt shot from 6 ft,,68-52,,
6:34.0,,,68-52,,Defensive rebound by A. Drummond
6:17.0,,,68-52,,J. Leuer misses 2-pt shot from 13 ft
6:17.0,,,68-52,,Offensive rebound by M. Morris
6:13.0,,,68-54,2,M. Morris makes 2-pt shot from 12 ft
5:59.0,Shooting foul by A. Drummond (drawn by K. Leonard),,68-54,,
5:59.0,K. Leonard makes free throw 1 of 2,1,69-54,,
5:59.0,K. Leonard makes free throw 2 of 2,1,70-54,,
5:59.0,P. Mills enters the game for T. Parker,,69-54,,
5:59.0,,,69-54,,T. Harris enters the game for J. Leuer
5:40.0,,,70-54,,M. Morris misses 2-pt shot from 7 ft
5:40.0,Defensive rebound by D. Dedmon,,70-54,,
5:16.0,K. Leonard misses 3-pt shot from 26 ft,,70-54,,
5:16.0,,,70-54,,Defensive rebound by K. Caldwell-Pope
5:08.0,,,70-54,,M. Morris misses 3-pt shot from 27 ft
5:08.0,,,70-54,,Offensive rebound by A. Drummond
5:08.0,Personal foul by D. Dedmon (drawn by A. Drummond),,70-54,,
4:55.0,,,70-54,,Shooting foul by D. Lee (drawn by A. Drummond)
4:55.0,,,70-55,1,A. Drummond makes free throw 1 of 2
4:55.0,,,70-55,,A. Drummond misses free throw 2 of 2
4:55.0,M. Ginobili enters the game for D. Green,,70-55,,
4:55.0,J. Anthony enters the game for D. Dedmon,,70-55,,
4:55.0,,,70-55,,I. Smith enters the game for R. Jackson
4:54.0,Defensive rebound by D. Lee,,70-55,,
4:41.0,K. Leonard makes 2-pt shot from 12 ft (assist by D. Lee),2,72-55,,
4:41.0,Shooting foul by A. Drummond (drawn by K. Leonard),,72-55,,
4:41.0,K. Leonard misses free throw 1 of 1,,72-55,,
4:41.0,,,72-55,,Defensive rebound by T. Harris
4:41.0,,,72-55,,J. Leuer enters the game for A. Drummond
4:41.0,D. Bertans enters the game for J. Anthony,,72-55,,
4:28.0,,,72-55,,I. Smith misses 2-pt shot from 15 ft
4:28.0,Defensive rebound by D. Lee,,72-55,,
4:12.0,M. Ginobili misses 2-pt shot from 1 ft,,72-55,,
4:09.0,Offensive rebound by D. Lee,,72-55,,
4:08.0,D. Lee misses 2-pt shot from 3 ft,,72-55,,
4:08.0,,,72-55,,Defensive rebound by M. Morris
4:05.0,Personal foul by K. Leonard (drawn by I. Smith),,72-55,,
4:05.0,,,72-56,1,I. Smith makes free throw 1 of 2
4:05.0,San Antonio full timeout,,72-56,,
4:05.0,,,72-57,1,I. Smith makes free throw 2 of 2
3:45.0,K. Leonard makes 2-pt shot from 10 ft,2,74-57,,
3:38.0,,,74-57,,Shooting foul by D. Bertans (drawn by M. Morris)
3:38.0,,,74-58,1,M. Morris makes free throw 1 of 2
3:38.0,,,74-58,,M. Morris misses free throw 2 of 2
3:38.0,L. Aldridge enters the game for D. Lee,,74-58,,
3:38.0,J. Simmons enters the game for K. Leonard,,74-58,,
3:37.0,Defensive rebound by M. Ginobili,,74-58,,
3:15.0,D. Bertans makes 2-pt shot at rim (assist by M. Ginobili),2,76-58,,
2:59.0,,,76-60,2,T. Harris makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope)
2:47.0,J. Simmons misses 2-pt shot from 8 ft,,76-60,,
2:46.0,Offensive rebound by L. Aldridge,,76-60,,
2:40.0,L. Aldridge makes 2-pt shot from 1 ft,2,78-60,,
2:22.0,,,78-60,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by D. Bertans,,78-60,,
2:16.0,,,78-60,,A. Baynes enters the game for J. Leuer
2:10.0,Shooting foul by T. Harris (drawn by L. Aldridge),,78-60,,
2:10.0,L. Aldridge makes free throw 1 of 2,1,79-60,,
2:10.0,L. Aldridge makes free throw 2 of 2,1,80-60,,
1:58.0,,,80-60,,M. Morris misses 2-pt shot from 12 ft
1:57.0,Defensive rebound by M. Ginobili,,80-60,,
1:45.0,L. Aldridge misses 2-pt shot from 3 ft,,80-60,,
1:45.0,,,80-60,,Defensive rebound by I. Smith
1:42.0,,,80-62,2,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith)
1:26.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills),3,83-62,,
1:09.0,,,83-64,2,A. Baynes makes 2-pt shot from 9 ft (assist by I. Smith)
0:57.0,Turnover by L. Aldridge (traveling),,83-64,,
0:45.0,,,83-64,,A. Baynes misses 2-pt shot from 9 ft
0:45.0,,,83-64,,Offensive rebound by Team
0:45.0,Loose ball foul by J. Simmons (drawn by T. Harris),,83-64,,
0:45.0,,,83-65,1,T. Harris makes free throw 1 of 2
0:45.0,,,83-66,1,T. Harris makes free throw 2 of 2
0:34.0,L. Aldridge misses 2-pt shot from 14 ft,,83-66,,
0:34.0,,,83-66,,Defensive rebound by M. Morris
0:24.0,,,83-66,,A. Baynes misses 2-pt shot from 1 ft
0:23.0,Defensive rebound by P. Mills,,83-66,,
0:08.0,P. Mills misses 2-pt shot from 7 ft (block by I. Smith),,83-66,,
0:06.0,,,83-66,,Defensive rebound by T. Harris
0:00.0,,,83-66,,Turnover by I. Smith (lost ball; steal by M. Ginobili)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-68,2,T. Harris makes 2-pt shot from 10 ft
11:28.0,P. Mills makes 2-pt shot from 1 ft,2,85-68,,
11:17.0,,,85-68,,Turnover by S. Johnson (traveling)
11:04.0,D. Bertans misses 2-pt shot from 6 ft,,85-68,,
11:04.0,,,85-68,,Defensive rebound by I. Smith
11:04.0,Personal foul by M. Ginobili (drawn by I. Smith),,85-68,,
10:52.0,,,85-70,2,I. Smith makes 2-pt shot from 6 ft
10:28.0,P. Mills misses 3-pt shot from 23 ft,,85-70,,
10:27.0,Offensive rebound by L. Aldridge,,85-70,,
10:25.0,Turnover by D. Bertans (lost ball; steal by A. Drummond),,85-70,,
10:19.0,,,85-72,2,A. Drummond makes 2-pt shot at rim (assist by J. Leuer)
10:07.0,,,85-72,,Personal foul by S. Johnson (drawn by L. Aldridge)
10:07.0,T. Parker enters the game for P. Mills,,85-72,,
10:07.0,D. Lee enters the game for D. Bertans,,85-72,,
9:56.0,L. Aldridge makes 2-pt shot from 17 ft (assist by M. Ginobili),2,87-72,,
9:45.0,,,87-72,,I. Smith misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by L. Aldridge,,87-72,,
9:32.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,89-72,,
9:27.0,,,89-72,,Detroit full timeout
9:16.0,,,89-74,2,J. Leuer makes 2-pt shot from 16 ft (assist by T. Harris)
9:04.0,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker),2,91-74,,
8:46.0,,,91-74,,T. Harris misses 2-pt shot from 8 ft
8:46.0,Defensive rebound by J. Simmons,,91-74,,
8:21.0,M. Ginobili misses 3-pt shot from 27 ft,,91-74,,
8:21.0,,,91-74,,Defensive rebound by T. Harris
8:12.0,Personal foul by L. Aldridge (drawn by A. Drummond),,91-74,,
8:12.0,D. Green enters the game for M. Ginobili,,91-74,,
8:02.0,,,91-77,3,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith)
7:47.0,D. Lee makes 2-pt shot from 1 ft (assist by T. Parker),2,93-77,,
7:29.0,,,93-79,2,T. Harris makes 2-pt shot from 7 ft
7:15.0,D. Lee misses 2-pt shot from 6 ft,,93-79,,
7:15.0,,,93-79,,Defensive rebound by T. Harris
7:11.0,,,93-79,,Shooting foul by D. Green (drawn by J. Leuer)
7:11.0,,,93-80,1,J. Leuer makes free throw 1 of 2
7:11.0,,,93-81,1,J. Leuer makes free throw 2 of 2
7:11.0,K. Leonard enters the game for J. Simmons,,93-80,,
6:54.0,D. Lee misses 2-pt shot from 13 ft,,93-81,,
6:54.0,Offensive rebound by L. Aldridge,,93-81,,
6:54.0,,,93-81,,Loose ball foul by J. Leuer (drawn by L. Aldridge)
6:54.0,D. Dedmon enters the game for L. Aldridge,,93-81,,
6:39.0,Shooting foul by S. Johnson (drawn by K. Leonard),,93-81,,
6:39.0,K. Leonard makes free throw 1 of 2,1,94-81,,
6:39.0,K. Leonard makes free throw 2 of 2,1,95-81,,
6:35.0,,,95-81,,Detroit full timeout
6:35.0,,,95-81,,R. Jackson enters the game for I. Smith
6:35.0,,,95-81,,K. Caldwell-Pope enters the game for S. Johnson
6:25.0,,,95-81,,K. Caldwell-Pope misses 2-pt shot from 6 ft
6:24.0,,,95-81,,Offensive rebound by A. Drummond
6:23.0,,,95-81,,A. Drummond misses 2-pt shot from 2 ft
6:15.0,Defensive rebound by K. Leonard,,95-81,,
6:01.0,K. Leonard misses 3-pt shot from 27 ft,,95-81,,
6:01.0,,,95-81,,Defensive rebound by Team
5:47.0,,,95-83,2,K. Caldwell-Pope makes 2-pt shot from 7 ft
5:28.0,Turnover by T. Parker (bad pass; steal by R. Jackson),,95-83,,
5:25.0,,,95-85,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:25.0,San Antonio full timeout,,95-85,,
5:25.0,L. Aldridge enters the game for D. Lee,,95-85,,
5:01.0,L. Aldridge misses 2-pt shot from 12 ft,,95-85,,
5:01.0,Offensive rebound by Team,,95-85,,
5:01.0,,,95-85,,Loose ball foul by J. Leuer (drawn by D. Dedmon)
4:51.0,Turnover by T. Parker (bad pass),,95-85,,
4:36.0,,,95-85,,T. Harris misses 2-pt shot from 13 ft
4:36.0,Defensive rebound by L. Aldridge,,95-85,,
4:16.0,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker),3,98-85,,
4:03.0,,,98-85,,R. Jackson misses 3-pt shot from 26 ft
4:03.0,,,98-85,,Offensive rebound by Team
3:55.0,,,98-85,,R. Jackson misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by D. Dedmon,,98-85,,
3:34.0,Turnover by D. Dedmon (bad pass; steal by K. Caldwell-Pope),,98-85,,
3:30.0,Personal foul by D. Green (drawn by T. Harris),,98-85,,
3:22.0,,,98-87,2,J. Leuer makes 2-pt shot from 18 ft (assist by R. Jackson)
2:56.0,K. Leonard misses 2-pt shot from 11 ft,,98-87,,
2:55.0,Offensive rebound by D. Dedmon,,98-87,,
2:52.0,D. Dedmon makes 2-pt shot at rim,2,100-87,,
2:39.0,,,100-87,,A. Drummond misses 2-pt shot from 9 ft
2:38.0,Defensive rebound by L. Aldridge,,100-87,,
2:18.0,Turnover by Team (shot clock),,100-87,,
2:18.0,Official timeout,,100-87,,
2:07.0,,,100-89,2,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by R. Jackson)
1:49.0,,,100-89,,Personal foul by K. Caldwell-Pope (drawn by L. Aldridge)
1:49.0,L. Aldridge misses free throw 1 of 2,,100-89,,
1:49.0,Offensive rebound by Team,,100-89,,
1:49.0,L. Aldridge makes free throw 2 of 2,1,101-89,,
