time,Dallas,pts.away,score,pts.home,Portland
5:26.0,,,22-8,,Defensive rebound by N. Vonleh
5:15.0,,,22-10,2,N. Vonleh makes 2-pt shot from 20 ft (assist by E. Turner)
4:53.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews),3,25-10,,
4:43.0,,,25-10,,Offensive foul by D. Lillard
4:43.0,,,25-10,,Turnover by D. Lillard (offensive foul)
4:43.0,,,25-10,,M. Harkless enters the game for N. Vonleh
4:43.0,S. Curry enters the game for Y. Ferrell,,25-10,,
4:43.0,,,25-10,,A. Aminu enters the game for E. Turner
4:32.0,S. Curry misses 2-pt shot from 4 ft,,25-10,,
4:31.0,,,25-10,,Defensive rebound by A. Aminu
4:24.0,,,25-10,,D. Lillard misses 2-pt shot from 2 ft (block by S. Mejri)
4:23.0,Defensive rebound by S. Curry,,25-10,,
4:12.0,S. Curry misses 3-pt shot from 25 ft,,25-10,,
4:11.0,,,25-10,,Defensive rebound by D. Lillard
4:05.0,,,25-10,,A. Aminu misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by W. Matthews,,25-10,,
3:42.0,Shooting foul by A. Crabbe (drawn by W. Matthews),,25-10,,
3:42.0,W. Matthews makes free throw 1 of 2,1,26-10,,
3:42.0,W. Matthews makes free throw 2 of 2,1,27-10,,
3:42.0,,,26-10,,E. Davis enters the game for M. Plumlee
3:31.0,Personal foul by S. Curry (drawn by M. Harkless),,27-10,,
3:31.0,Y. Ferrell enters the game for S. Curry,,27-10,,
3:19.0,,,27-10,,D. Lillard misses 2-pt shot from 5 ft (block by S. Mejri)
3:17.0,Defensive rebound by S. Mejri,,27-10,,
3:07.0,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes),3,30-10,,
2:49.0,,,30-10,,D. Lillard misses 2-pt shot from 16 ft
2:48.0,Defensive rebound by H. Barnes,,30-10,,
2:37.0,W. Matthews misses 2-pt shot from 7 ft,,30-10,,
2:36.0,,,30-10,,Defensive rebound by A. Aminu
2:20.0,,,30-13,3,A. Crabbe makes 3-pt shot from 24 ft (assist by A. Aminu)
2:20.0,Dallas full timeout,,30-13,,
2:20.0,,,30-13,,C. McCollum enters the game for D. Lillard
2:11.0,Y. Ferrell makes 3-pt shot from 25 ft,3,33-13,,
1:54.0,,,33-13,,Shooting foul by S. Mejri (drawn by A. Crabbe)
1:54.0,,,33-14,1,A. Crabbe makes free throw 1 of 2
1:54.0,,,33-15,1,A. Crabbe makes free throw 2 of 2
1:35.0,Shooting foul by E. Davis (drawn by S. Mejri),,33-15,,
1:35.0,S. Mejri makes free throw 1 of 2,1,34-15,,
1:35.0,S. Mejri makes free throw 2 of 2,1,35-15,,
1:35.0,D. Nowitzki enters the game for H. Barnes,,34-15,,
1:24.0,,,35-18,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
1:04.0,D. Finney-Smith misses 2-pt shot from 1 ft (block by M. Harkless),,35-18,,
1:04.0,,,35-18,,Defensive rebound by A. Aminu
0:53.0,,,35-20,2,C. McCollum makes 2-pt shot from 12 ft
0:33.0,Y. Ferrell misses 3-pt shot from 26 ft,,35-20,,
0:31.0,,,35-20,,Defensive rebound by E. Davis
0:13.0,,,35-22,2,C. McCollum makes 2-pt shot from 2 ft
0:02.0,W. Matthews misses 2-pt shot from 20 ft,,35-22,,
0:01.0,Offensive rebound by Team,,35-22,,
0:01.0,D. Powell enters the game for S. Mejri,,35-22,,
0:00.0,D. Nowitzki misses 2-pt shot from 22 ft,,35-22,,
0:00.0,Offensive rebound by Team,,35-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Finney-Smith misses 2-pt shot from 2 ft (block by C. McCollum),,35-22,,
11:39.0,Offensive rebound by D. Finney-Smith,,35-22,,
11:34.0,Y. Ferrell makes 3-pt shot from 23 ft (assist by D. Finney-Smith),3,38-22,,
11:19.0,,,38-22,,A. Crabbe misses 2-pt shot from 21 ft
11:19.0,Defensive rebound by D. Powell,,38-22,,
11:00.0,D. Nowitzki misses 2-pt shot from 18 ft,,38-22,,
10:59.0,,,38-22,,Defensive rebound by A. Aminu
10:43.0,,,38-22,,Turnover by M. Harkless (traveling)
10:29.0,D. Nowitzki misses 2-pt shot from 11 ft,,38-22,,
10:28.0,,,38-22,,Defensive rebound by M. Harkless
10:15.0,,,38-22,,C. McCollum misses 2-pt shot from 22 ft
10:15.0,,,38-22,,Offensive rebound by Team
10:14.0,Personal foul by D. Powell (drawn by A. Aminu),,38-22,,
10:07.0,,,38-24,2,A. Aminu makes 2-pt shot from 2 ft (assist by C. McCollum)
9:46.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,41-24,,
9:30.0,,,41-24,,M. Harkless misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by D. Nowitzki,,41-24,,
9:17.0,D. Finney-Smith misses 3-pt shot from 23 ft,,41-24,,
9:15.0,,,41-24,,Defensive rebound by C. McCollum
9:09.0,,,41-24,,Turnover by C. McCollum (bad pass; steal by D. Powell)
8:54.0,S. Curry misses 2-pt shot from 16 ft,,41-24,,
8:53.0,,,41-24,,Defensive rebound by C. McCollum
8:50.0,Personal foul by S. Curry (drawn by C. McCollum),,41-24,,
8:50.0,Official timeout,,41-24,,
8:50.0,W. Matthews enters the game for S. Curry,,41-24,,
8:50.0,,,41-24,,D. Lillard enters the game for C. McCollum
8:40.0,,,41-24,,M. Harkless misses 2-pt shot from 2 ft (block by D. Finney-Smith)
8:40.0,,,41-24,,Offensive rebound by M. Harkless
8:37.0,,,41-24,,M. Harkless misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by D. Finney-Smith,,41-24,,
8:24.0,D. Powell makes 2-pt shot from 3 ft (assist by D. Nowitzki),2,43-24,,
8:03.0,,,43-26,2,E. Davis makes 2-pt shot from 3 ft (assist by D. Lillard)
7:49.0,Shooting foul by E. Davis (drawn by D. Powell),,43-26,,
7:49.0,D. Powell misses free throw 1 of 2,,43-26,,
7:49.0,Offensive rebound by Team,,43-26,,
7:49.0,D. Powell makes free throw 2 of 2,1,44-26,,
7:49.0,,,43-26,,M. Plumlee enters the game for E. Davis
7:49.0,H. Barnes enters the game for D. Nowitzki,,43-26,,
7:37.0,Violation by Y. Ferrell (kicked ball),,44-26,,
7:37.0,S. Mejri enters the game for D. Powell,,44-26,,
7:29.0,,,44-28,2,D. Lillard makes 2-pt shot from 21 ft
7:10.0,H. Barnes misses 2-pt shot from 19 ft,,44-28,,
7:09.0,Offensive rebound by S. Mejri,,44-28,,
7:07.0,W. Matthews makes 2-pt shot from 3 ft,2,46-28,,
7:07.0,Shooting foul by A. Crabbe (drawn by W. Matthews),,46-28,,
7:07.0,W. Matthews makes free throw 1 of 1,1,47-28,,
6:55.0,Personal foul by D. Finney-Smith (drawn by A. Crabbe),,47-28,,
6:44.0,,,47-28,,D. Lillard misses 3-pt shot from 24 ft
6:43.0,,,47-28,,Offensive rebound by M. Plumlee
6:43.0,,,47-28,,M. Plumlee misses 2-pt shot at rim
6:41.0,Defensive rebound by W. Matthews,,47-28,,
6:37.0,,,47-28,,Personal block foul by A. Aminu (drawn by W. Matthews)
6:37.0,,,47-28,,E. Turner enters the game for M. Harkless
6:37.0,J. Anderson enters the game for W. Matthews,,47-28,,
6:31.0,Y. Ferrell makes 3-pt shot from 24 ft,3,50-28,,
6:10.0,,,50-28,,D. Lillard misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by H. Barnes,,50-28,,
6:00.0,Y. Ferrell misses 2-pt shot from 15 ft (block by D. Lillard),,50-28,,
6:00.0,,,50-28,,Defensive rebound by Team
6:00.0,,,50-28,,Portland full timeout
6:00.0,,,50-28,,C. McCollum enters the game for A. Crabbe
5:48.0,,,50-28,,E. Turner misses 2-pt shot from 15 ft
5:48.0,Defensive rebound by Y. Ferrell,,50-28,,
5:28.0,H. Barnes makes 2-pt shot from 20 ft,2,52-28,,
5:02.0,,,52-30,2,E. Turner makes 2-pt shot from 10 ft
4:43.0,D. Finney-Smith misses 2-pt shot from 7 ft (block by M. Plumlee),,52-30,,
4:41.0,,,52-30,,Defensive rebound by E. Turner
4:35.0,Personal foul by Y. Ferrell (drawn by C. McCollum),,52-30,,
4:35.0,Personal foul by S. Mejri (drawn by M. Plumlee),,52-30,,
4:35.0,,,52-30,,M. Plumlee misses free throw 1 of 2
4:35.0,,,52-30,,Offensive rebound by Team
4:35.0,,,52-31,1,M. Plumlee makes free throw 2 of 2
4:35.0,W. Matthews enters the game for D. Finney-Smith,,52-30,,
4:15.0,J. Anderson misses 3-pt shot from 25 ft,,52-31,,
4:14.0,,,52-31,,Defensive rebound by D. Lillard
4:05.0,,,52-31,,D. Lillard misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by J. Anderson,,52-31,,
3:56.0,Y. Ferrell misses 2-pt shot from 17 ft,,52-31,,
3:55.0,,,52-31,,Defensive rebound by Team
3:42.0,,,52-33,2,D. Lillard makes 2-pt shot from 6 ft
3:42.0,,,52-33,,Shooting foul by Y. Ferrell (drawn by D. Lillard)
3:42.0,Dallas full timeout,,52-33,,
3:42.0,,,52-34,1,D. Lillard makes free throw 1 of 1
3:42.0,D. Nowitzki enters the game for J. Anderson,,52-33,,
3:42.0,D. Finney-Smith enters the game for S. Mejri,,52-33,,
3:36.0,,,52-34,,Personal foul by C. McCollum (drawn by W. Matthews)
3:20.0,Shooting foul by D. Lillard (drawn by W. Matthews),,52-34,,
3:20.0,W. Matthews misses free throw 1 of 2,,52-34,,
3:20.0,Offensive rebound by Team,,52-34,,
3:20.0,W. Matthews makes free throw 2 of 2,1,53-34,,
3:11.0,,,53-36,2,E. Turner makes 2-pt shot from 10 ft
2:44.0,W. Matthews misses 3-pt shot from 23 ft,,53-36,,
2:43.0,,,53-36,,Defensive rebound by E. Turner
2:26.0,,,53-36,,C. McCollum misses 2-pt shot from 9 ft
2:26.0,,,53-36,,Offensive rebound by C. McCollum
2:26.0,Personal foul by D. Nowitzki (drawn by C. McCollum),,53-36,,
2:26.0,,,53-37,1,C. McCollum makes free throw 1 of 2
2:26.0,,,53-38,1,C. McCollum makes free throw 2 of 2
2:13.0,Y. Ferrell makes 2-pt shot from 2 ft,2,55-38,,
2:06.0,Personal foul by D. Finney-Smith (drawn by D. Lillard),,55-38,,
2:06.0,,,55-38,,D. Lillard misses free throw 1 of 2
2:06.0,,,55-38,,Offensive rebound by Team
2:06.0,,,55-39,1,D. Lillard makes free throw 2 of 2
1:53.0,W. Matthews misses 2-pt shot from 2 ft,,55-39,,
1:52.0,,,55-39,,Defensive rebound by A. Aminu
1:41.0,,,55-39,,E. Turner misses 2-pt shot from 10 ft
1:40.0,Defensive rebound by D. Nowitzki,,55-39,,
1:33.0,H. Barnes misses 2-pt shot from 12 ft,,55-39,,
1:32.0,,,55-39,,Defensive rebound by D. Lillard
1:20.0,,,55-41,2,D. Lillard makes 2-pt shot from 21 ft
1:06.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews),3,58-41,,
0:50.0,,,58-43,2,C. McCollum makes 2-pt shot from 12 ft
0:36.0,Shooting foul by C. McCollum (drawn by W. Matthews),,58-43,,
0:36.0,W. Matthews makes free throw 1 of 2,1,59-43,,
0:36.0,W. Matthews makes free throw 2 of 2,1,60-43,,
0:36.0,D. Powell enters the game for D. Nowitzki,,59-43,,
0:30.0,,,60-45,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
0:06.0,Turnover by Team (shot clock),,60-45,,
0:06.0,,,60-45,,Portland full timeout
0:06.0,,,60-45,,A. Crabbe enters the game for E. Turner
0:00.0,,,60-47,2,C. McCollum makes 2-pt shot from 21 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Nowitzki misses 3-pt shot from 24 ft,,60-47,,
11:43.0,,,60-47,,Defensive rebound by D. Lillard
11:37.0,,,60-49,2,E. Turner makes 2-pt shot from 8 ft
11:17.0,H. Barnes misses 2-pt shot from 21 ft,,60-49,,
11:12.0,,,60-49,,Defensive rebound by M. Plumlee
11:07.0,,,60-49,,E. Turner misses 2-pt shot from 12 ft
11:07.0,,,60-49,,Offensive rebound by Team
11:07.0,Loose ball foul by H. Barnes (drawn by M. Plumlee),,60-49,,
10:55.0,,,60-49,,C. McCollum misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by W. Matthews,,60-49,,
10:34.0,W. Matthews misses 2-pt shot from 19 ft,,60-49,,
10:34.0,,,60-49,,Defensive rebound by M. Plumlee
10:26.0,,,60-49,,D. Lillard misses 3-pt shot from 25 ft
10:24.0,,,60-49,,Offensive rebound by M. Plumlee
10:24.0,,,60-51,2,M. Plumlee makes 2-pt shot at rim
9:58.0,Y. Ferrell makes 3-pt shot from 25 ft,3,63-51,,
9:37.0,,,63-51,,D. Lillard misses 3-pt shot from 24 ft
9:36.0,,,63-51,,Offensive rebound by M. Plumlee
9:36.0,,,63-53,2,M. Plumlee makes 2-pt shot at rim
9:12.0,D. Nowitzki misses 2-pt shot from 17 ft,,63-53,,
9:11.0,,,63-53,,Defensive rebound by C. McCollum
9:02.0,,,63-53,,Shooting foul by S. Curry (drawn by E. Turner)
9:02.0,,,63-54,1,E. Turner makes free throw 1 of 2
9:02.0,,,63-55,1,E. Turner makes free throw 2 of 2
8:45.0,W. Matthews makes 2-pt shot at rim (assist by Y. Ferrell),2,65-55,,
8:23.0,Personal foul by W. Matthews (drawn by M. Plumlee),,65-55,,
8:14.0,,,65-58,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
8:03.0,,,65-58,,Personal foul by C. McCollum (drawn by W. Matthews)
7:52.0,S. Curry makes 2-pt shot from 2 ft,2,67-58,,
7:44.0,,,67-61,3,E. Turner makes 3-pt shot from 23 ft (assist by D. Lillard)
7:24.0,,,67-61,,Personal foul by D. Lillard (drawn by W. Matthews)
7:15.0,H. Barnes misses 2-pt shot from 1 ft,,67-61,,
7:14.0,,,67-61,,Defensive rebound by A. Aminu
7:06.0,,,67-63,2,E. Turner makes 2-pt shot from 9 ft
7:06.0,Dallas full timeout,,67-63,,
6:48.0,H. Barnes makes 2-pt shot from 11 ft,2,69-63,,
6:28.0,,,69-63,,C. McCollum misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by Y. Ferrell,,69-63,,
6:22.0,Y. Ferrell makes 3-pt shot from 25 ft,3,72-63,,
5:59.0,,,72-63,,M. Plumlee misses 2-pt shot from 18 ft
5:58.0,Defensive rebound by W. Matthews,,72-63,,
5:37.0,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell),2,74-63,,
5:17.0,,,74-65,2,C. McCollum makes 2-pt shot from 13 ft
5:05.0,Turnover by Y. Ferrell (bad pass; steal by E. Turner),,74-65,,
5:05.0,Personal foul by Y. Ferrell (drawn by E. Turner),,74-65,,
5:05.0,S. Mejri enters the game for D. Nowitzki,,74-65,,
5:05.0,D. Finney-Smith enters the game for S. Curry,,74-65,,
5:05.0,,,74-65,,M. Harkless enters the game for A. Aminu
5:05.0,,,74-65,,A. Crabbe enters the game for C. McCollum
4:51.0,,,74-67,2,E. Turner makes 2-pt shot from 1 ft
4:51.0,,,74-67,,Shooting foul by W. Matthews (drawn by E. Turner)
4:51.0,,,74-68,1,E. Turner makes free throw 1 of 1
4:31.0,Y. Ferrell misses 2-pt shot from 19 ft,,74-68,,
4:31.0,,,74-68,,Defensive rebound by D. Lillard
4:22.0,,,74-68,,E. Turner misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by H. Barnes,,74-68,,
4:13.0,W. Matthews misses 2-pt shot from 1 ft,,74-68,,
4:12.0,,,74-68,,Defensive rebound by M. Plumlee
4:01.0,,,74-68,,M. Harkless misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by S. Mejri,,74-68,,
3:40.0,H. Barnes makes 2-pt shot from 16 ft,2,76-68,,
3:40.0,,,76-68,,Portland full timeout
3:40.0,,,76-68,,E. Davis enters the game for M. Plumlee
3:25.0,,,76-68,,Shooting foul by Y. Ferrell (drawn by D. Lillard)
3:25.0,,,76-69,1,D. Lillard makes free throw 1 of 2
3:25.0,,,76-70,1,D. Lillard makes free throw 2 of 2
3:09.0,Shooting foul by M. Harkless (drawn by S. Mejri),,76-70,,
3:09.0,S. Mejri makes free throw 1 of 2,1,77-70,,
3:09.0,S. Mejri makes free throw 2 of 2,1,78-70,,
2:48.0,,,78-70,,D. Lillard misses 2-pt shot from 3 ft (block by S. Mejri)
2:48.0,,,78-70,,Offensive rebound by Team
2:45.0,,,78-70,,Turnover by E. Turner (bad pass; steal by H. Barnes)
2:28.0,H. Barnes misses 2-pt shot from 21 ft,,78-70,,
2:27.0,,,78-70,,Defensive rebound by E. Turner
2:15.0,,,78-72,2,E. Turner makes 2-pt shot from 13 ft
1:47.0,H. Barnes misses 3-pt shot from 23 ft,,78-72,,
1:46.0,,,78-72,,Defensive rebound by D. Lillard
1:39.0,,,78-72,,E. Turner misses 2-pt shot from 3 ft
1:39.0,,,78-72,,Offensive rebound by E. Davis
1:39.0,,,78-72,,Shooting foul by D. Finney-Smith (drawn by E. Davis)
1:39.0,,,78-73,1,E. Davis makes free throw 1 of 2
1:39.0,,,78-73,,E. Davis misses free throw 2 of 2
1:39.0,S. Curry enters the game for Y. Ferrell,,78-73,,
1:39.0,D. Nowitzki enters the game for H. Barnes,,78-73,,
1:39.0,,,78-73,,C. McCollum enters the game for D. Lillard
1:39.0,,,78-73,,A. Aminu enters the game for E. Turner
1:37.0,Defensive rebound by D. Nowitzki,,78-73,,
1:16.0,S. Curry makes 2-pt shot from 20 ft,2,80-73,,
0:57.0,,,80-73,,A. Crabbe misses 2-pt shot from 21 ft
0:56.0,Defensive rebound by D. Finney-Smith,,80-73,,
0:38.0,S. Curry makes 2-pt shot from 7 ft,2,82-73,,
0:30.0,,,82-73,,A. Aminu misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by S. Curry,,82-73,,
0:05.0,Shooting foul by C. McCollum (drawn by S. Curry),,82-73,,
0:05.0,S. Curry makes free throw 1 of 2,1,83-73,,
0:05.0,S. Curry makes free throw 2 of 2,1,84-73,,
0:05.0,D. Powell enters the game for D. Nowitzki,,83-73,,
0:05.0,,,83-73,,D. Lillard enters the game for M. Harkless
0:00.0,,,84-76,3,C. McCollum makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Personal foul by D. Powell (drawn by C. McCollum),,84-76,,
11:31.0,,,84-78,2,E. Davis makes 2-pt shot at rim (assist by C. McCollum)
11:16.0,S. Curry makes 2-pt shot from 2 ft,2,86-78,,
10:55.0,,,86-78,,C. McCollum misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by D. Powell,,86-78,,
10:29.0,Y. Ferrell misses 2-pt shot from 15 ft,,86-78,,
10:27.0,,,86-78,,Defensive rebound by C. McCollum
10:22.0,,,86-78,,A. Crabbe misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by D. Finney-Smith,,86-78,,
10:07.0,Turnover by Y. Ferrell (bad pass; steal by A. Crabbe),,86-78,,
9:56.0,Personal foul by D. Powell (drawn by E. Davis),,86-78,,
9:48.0,,,86-78,,Turnover by C. McCollum (bad pass; steal by D. Finney-Smith)
9:44.0,Shooting foul by A. Crabbe (drawn by Y. Ferrell),,86-78,,
9:44.0,Y. Ferrell misses free throw 1 of 2,,86-78,,
9:44.0,Offensive rebound by Team,,86-78,,
9:44.0,Y. Ferrell makes free throw 2 of 2,1,87-78,,
9:31.0,,,87-80,2,M. Harkless makes 2-pt shot from 2 ft (assist by C. McCollum)
9:23.0,,,87-80,,Personal foul by A. Crabbe (drawn by Y. Ferrell)
9:23.0,W. Matthews enters the game for S. Curry,,87-80,,
9:10.0,D. Finney-Smith misses 3-pt shot from 22 ft,,87-80,,
9:10.0,,,87-80,,Defensive rebound by C. McCollum
9:02.0,,,87-82,2,C. McCollum makes 2-pt shot at rim
9:02.0,Dallas full timeout,,87-82,,
9:02.0,,,87-82,,D. Lillard enters the game for C. McCollum
9:02.0,H. Barnes enters the game for D. Powell,,87-82,,
8:38.0,W. Matthews makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,90-82,,
8:20.0,,,90-82,,A. Aminu misses 2-pt shot from 6 ft
8:19.0,Defensive rebound by H. Barnes,,90-82,,
7:56.0,Y. Ferrell misses 3-pt shot from 29 ft,,90-82,,
7:56.0,Offensive rebound by Team,,90-82,,
7:56.0,Turnover by Team (shot clock),,90-82,,
7:44.0,,,90-85,3,D. Lillard makes 3-pt shot from 25 ft
7:30.0,S. Mejri enters the game for D. Nowitzki,,90-85,,
7:30.0,S. Curry enters the game for Y. Ferrell,,90-85,,
7:30.0,,,90-85,,E. Turner enters the game for M. Harkless
7:22.0,W. Matthews misses 2-pt shot from 21 ft,,90-85,,
7:22.0,,,90-85,,Defensive rebound by A. Aminu
7:16.0,Personal foul by D. Finney-Smith (drawn by E. Davis),,90-85,,
7:16.0,,,90-85,,M. Plumlee enters the game for E. Davis
7:12.0,Personal block foul by S. Mejri (drawn by D. Lillard),,90-85,,
7:03.0,,,90-85,,E. Turner misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by S. Curry,,90-85,,
6:44.0,W. Matthews makes 2-pt shot from 17 ft,2,92-85,,
6:31.0,,,92-85,,D. Lillard misses 2-pt shot from 15 ft
6:30.0,Defensive rebound by S. Mejri,,92-85,,
6:17.0,S. Curry misses 2-pt shot from 19 ft,,92-85,,
6:16.0,,,92-85,,Defensive rebound by E. Turner
6:06.0,,,92-85,,Turnover by E. Turner (lost ball)
6:06.0,,,92-85,,C. McCollum enters the game for A. Crabbe
5:49.0,H. Barnes misses 3-pt shot from 23 ft,,92-85,,
5:47.0,,,92-85,,Defensive rebound by M. Plumlee
5:37.0,,,92-85,,D. Lillard misses 2-pt shot from 1 ft
5:36.0,,,92-85,,Offensive rebound by M. Plumlee
5:35.0,,,92-87,2,M. Plumlee makes 2-pt shot from 1 ft
5:14.0,Offensive charge foul by W. Matthews,,92-87,,
5:14.0,Turnover by W. Matthews (offensive foul),,92-87,,
5:14.0,Official timeout,,92-87,,
5:00.0,,,92-89,2,C. McCollum makes 2-pt shot from 16 ft
4:34.0,Turnover by Team (shot clock),,92-89,,
4:34.0,D. Nowitzki enters the game for S. Mejri,,92-89,,
4:17.0,,,92-92,3,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum)
4:02.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Curry),3,95-92,,
3:43.0,,,95-92,,Shooting foul by S. Curry (drawn by C. McCollum)
3:43.0,,,95-93,1,C. McCollum makes free throw 1 of 2
3:43.0,,,95-94,1,C. McCollum makes free throw 2 of 2
3:43.0,Y. Ferrell enters the game for D. Finney-Smith,,95-93,,
3:29.0,S. Curry makes 2-pt shot from 6 ft,2,97-94,,
3:09.0,,,97-96,2,C. McCollum makes 2-pt shot from 20 ft
2:55.0,D. Nowitzki misses 3-pt shot from 27 ft,,97-96,,
2:55.0,,,97-96,,Defensive rebound by Team
2:55.0,,,97-96,,Portland full timeout
2:55.0,D. Finney-Smith enters the game for Y. Ferrell,,97-96,,
2:42.0,,,97-96,,Turnover by D. Lillard (bad pass)
2:28.0,S. Curry makes 3-pt shot from 26 ft,3,100-96,,
2:15.0,,,100-96,,A. Aminu misses 3-pt shot from 25 ft
2:14.0,,,100-96,,Offensive rebound by D. Lillard
2:09.0,,,100-96,,A. Aminu misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by H. Barnes,,100-96,,
2:08.0,,,100-96,,Personal foul by M. Plumlee (drawn by H. Barnes)
1:50.0,Shooting foul by M. Plumlee (drawn by S. Curry),,100-96,,
1:50.0,S. Curry makes free throw 1 of 2,1,101-96,,
1:50.0,S. Curry makes free throw 2 of 2,1,102-96,,
1:39.0,,,102-99,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
1:23.0,S. Curry misses 3-pt shot from 24 ft,,102-99,,
1:22.0,,,102-99,,Defensive rebound by A. Aminu
1:11.0,,,102-99,,D. Lillard misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by W. Matthews,,102-99,,
0:51.0,W. Matthews misses 3-pt shot from 24 ft,,102-99,,
