time,LA Clippers,pts.away,score,pts.home,Minnesota
8:30.0,,,61-64,,Offensive rebound by S. Muhammad
8:28.0,,,61-64,,S. Muhammad misses 2-pt shot from 7 ft (block by J. Redick)
8:27.0,,,61-64,,Offensive rebound by S. Muhammad
8:25.0,,,61-64,,S. Muhammad misses 2-pt shot from 4 ft (block by D. Jordan)
8:23.0,Defensive rebound by J. Redick,,61-64,,
8:21.0,Turnover by C. Paul (bad pass; steal by R. Rubio),,61-64,,
8:17.0,,,61-66,2,S. Muhammad makes 2-pt shot at rim (assist by K. Towns)
7:54.0,Turnover by B. Griffin (bad pass; steal by G. Dieng),,61-66,,
7:41.0,,,61-69,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
7:40.0,LA Clippers full timeout,,61-69,,
7:24.0,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by B. Griffin),2,63-69,,
7:02.0,,,63-69,,A. Wiggins misses 2-pt shot from 1 ft
7:01.0,,,63-69,,Offensive rebound by Team
6:51.0,,,63-69,,K. Towns misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by D. Jordan,,63-69,,
6:38.0,C. Paul misses 2-pt shot from 21 ft,,63-69,,
6:37.0,Offensive rebound by Team,,63-69,,
6:37.0,,,63-69,,Loose ball foul by G. Dieng (drawn by D. Jordan)
6:27.0,Turnover by J. Redick (traveling),,63-69,,
6:16.0,,,63-69,,R. Rubio misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by D. Jordan,,63-69,,
6:03.0,J. Redick misses 3-pt shot from 25 ft,,63-69,,
6:02.0,,,63-69,,Defensive rebound by S. Muhammad
5:42.0,,,63-69,,A. Wiggins misses 2-pt shot from 15 ft
5:41.0,,,63-69,,Offensive rebound by Team
5:21.0,,,63-69,,A. Wiggins misses 3-pt shot from 26 ft
5:20.0,,,63-69,,Offensive rebound by K. Towns
5:17.0,,,63-71,2,K. Towns makes 2-pt shot from 11 ft
5:00.0,B. Griffin misses 2-pt shot from 6 ft,,63-71,,
4:59.0,,,63-71,,Defensive rebound by G. Dieng
4:45.0,Personal foul by C. Paul (drawn by A. Wiggins),,63-71,,
4:45.0,J. Crawford enters the game for J. Redick,,63-71,,
4:36.0,,,63-71,,Shooting foul by J. Crawford (drawn by S. Muhammad)
4:36.0,,,63-72,1,S. Muhammad makes free throw 1 of 2
4:36.0,,,63-72,,S. Muhammad misses free throw 2 of 2
4:36.0,Defensive rebound by B. Griffin,,63-72,,
4:25.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,65-72,,
4:02.0,,,65-74,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:48.0,,,65-74,,Personal foul by R. Rubio (drawn by C. Paul)
3:48.0,A. Rivers enters the game for L. Mbah a Moute,,65-74,,
3:48.0,M. Speights enters the game for D. Jordan,,65-74,,
3:48.0,,,65-74,,N. Bjelica enters the game for K. Towns
3:39.0,C. Paul makes 2-pt shot from 10 ft,2,67-74,,
3:19.0,,,67-76,2,A. Wiggins makes 2-pt shot from 2 ft
3:05.0,,,67-76,,Personal foul by R. Rubio (drawn by B. Griffin)
3:05.0,,,67-76,,K. Dunn enters the game for R. Rubio
2:58.0,Turnover by C. Paul (lost ball; steal by K. Dunn),,67-76,,
2:53.0,,,67-78,2,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Dunn)
2:35.0,J. Crawford misses 2-pt shot from 2 ft,,67-78,,
2:34.0,Offensive rebound by J. Crawford,,67-78,,
2:26.0,C. Paul misses 2-pt shot from 21 ft,,67-78,,
2:25.0,,,67-78,,Defensive rebound by N. Bjelica
2:17.0,,,67-78,,S. Muhammad misses 2-pt shot from 15 ft
2:16.0,Defensive rebound by M. Speights,,67-78,,
2:13.0,,,67-78,,Personal take foul by N. Bjelica (drawn by C. Paul)
2:13.0,,,67-78,,Minnesota full timeout
2:13.0,R. Felton enters the game for C. Paul,,67-78,,
2:04.0,Turnover by B. Griffin (bad pass; steal by N. Bjelica),,67-78,,
1:45.0,,,67-78,,A. Wiggins misses 2-pt shot from 1 ft
1:44.0,Defensive rebound by M. Speights,,67-78,,
1:42.0,Turnover by M. Speights (lost ball; steal by A. Wiggins),,67-78,,
1:41.0,,,67-80,2,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng)
1:24.0,Turnover by R. Felton (bad pass),,67-80,,
1:10.0,,,67-80,,G. Dieng misses 2-pt shot at rim (block by A. Rivers)
1:07.0,,,67-80,,Offensive rebound by N. Bjelica
1:05.0,,,67-80,,A. Wiggins misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by M. Speights,,67-80,,
0:59.0,A. Rivers misses 2-pt shot from 2 ft (block by K. Dunn),,67-80,,
0:58.0,,,67-80,,Defensive rebound by S. Muhammad
0:58.0,Personal foul by M. Speights (drawn by S. Muhammad),,67-80,,
0:58.0,,,67-81,1,S. Muhammad makes free throw 1 of 2
0:58.0,,,67-82,1,S. Muhammad makes free throw 2 of 2
0:58.0,B. Bass enters the game for B. Griffin,,67-81,,
0:41.0,M. Speights misses 2-pt shot from 2 ft,,67-82,,
0:40.0,,,67-82,,Defensive rebound by N. Bjelica
0:36.0,,,67-82,,Turnover by N. Bjelica (bad pass)
0:30.0,Shooting foul by K. Dunn (drawn by B. Bass),,67-82,,
0:30.0,B. Bass misses free throw 1 of 2,,67-82,,
0:30.0,Offensive rebound by Team,,67-82,,
0:30.0,B. Bass makes free throw 2 of 2,1,68-82,,
0:18.0,,,68-82,,A. Wiggins misses 2-pt shot from 3 ft
0:17.0,Defensive rebound by M. Speights,,68-82,,
0:01.0,J. Crawford misses 2-pt shot from 15 ft,,68-82,,
0:00.0,Offensive rebound by Team,,68-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Rivers misses 2-pt shot from 9 ft,,68-82,,
11:44.0,Offensive rebound by B. Bass,,68-82,,
11:44.0,B. Bass misses 2-pt shot from 2 ft,,68-82,,
11:43.0,Offensive rebound by B. Bass,,68-82,,
11:43.0,B. Bass misses 2-pt shot from 1 ft (block by N. Bjelica),,68-82,,
11:41.0,,,68-82,,Defensive rebound by N. Bjelica
11:25.0,,,68-84,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones)
11:23.0,LA Clippers full timeout,,68-84,,
11:11.0,J. Crawford makes 2-pt shot from 4 ft,2,70-84,,
10:52.0,,,70-84,,L. Stephenson misses 2-pt shot from 17 ft
10:51.0,Defensive rebound by R. Felton,,70-84,,
10:29.0,M. Speights makes 2-pt shot from 16 ft,2,72-84,,
10:12.0,,,72-86,2,K. Towns makes 2-pt shot from 2 ft
10:01.0,,,72-86,,Personal foul by N. Bjelica (drawn by M. Speights)
9:52.0,J. Crawford makes 2-pt shot from 6 ft,2,74-86,,
9:42.0,Personal foul by R. Felton (drawn by T. Jones),,74-86,,
9:34.0,Personal foul by B. Bass (drawn by L. Stephenson),,74-86,,
9:22.0,,,74-89,3,K. Dunn makes 3-pt shot from 26 ft (assist by T. Jones)
9:13.0,,,74-89,,Personal foul by K. Dunn (drawn by J. Crawford)
9:13.0,D. Jordan enters the game for M. Speights,,74-89,,
9:13.0,,,74-89,,G. Dieng enters the game for N. Bjelica
9:04.0,J. Crawford misses 3-pt shot from 24 ft,,74-89,,
9:03.0,,,74-89,,Defensive rebound by L. Stephenson
8:58.0,,,74-89,,Turnover by L. Stephenson (lost ball; steal by J. Crawford)
8:51.0,J. Crawford misses 2-pt shot from 12 ft,,74-89,,
8:50.0,,,74-89,,Defensive rebound by G. Dieng
8:50.0,,,74-89,,Minnesota full timeout
8:50.0,,,74-89,,Turnover by G. Dieng (lost ball; steal by B. Bass)
8:50.0,Jump ball: B. Bass vs. G. Dieng (A. Rivers gains possession),,,,Jump ball: B. Bass vs. G. Dieng (A. Rivers gains possession)
8:35.0,Turnover by A. Rivers (lost ball),,74-89,,
8:15.0,,,74-89,,Turnover by L. Stephenson (bad pass; steal by R. Felton)
8:07.0,B. Bass misses 2-pt shot from 3 ft (block by G. Dieng),,74-89,,
8:05.0,Offensive rebound by B. Bass,,74-89,,
8:05.0,B. Bass misses 2-pt shot from 2 ft (block by G. Dieng),,74-89,,
8:04.0,Offensive rebound by Team,,74-89,,
8:04.0,C. Paul enters the game for R. Felton,,74-89,,
8:04.0,,,74-89,,R. Rubio enters the game for K. Dunn
8:04.0,,,74-89,,A. Wiggins enters the game for L. Stephenson
8:04.0,J. Redick enters the game for J. Crawford,,74-89,,
8:00.0,,,74-89,,Personal foul by R. Rubio (drawn by C. Paul)
8:00.0,B. Griffin enters the game for B. Bass,,74-89,,
