time,New Orleans,pts.away,score,pts.home,Detroit
3:04.0,E. Moore makes 3-pt shot from 27 ft (assist by D. Cunningham),3,24-22,,
2:49.0,,,24-25,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by T. Harris)
2:33.0,A. Davis makes 2-pt shot from 20 ft,2,26-25,,
2:17.0,,,26-27,2,A. Drummond makes 2-pt shot from 14 ft
2:06.0,,,26-27,,Loose ball foul by K. Caldwell-Pope (drawn by A. Davis)
2:06.0,New Orleans full timeout,,26-27,,
2:06.0,,,26-27,,S. Johnson enters the game for M. Morris
2:06.0,T. Evans enters the game for J. Holiday,,26-27,,
1:53.0,Turnover by T. Evans (bad pass; steal by A. Drummond),,26-27,,
1:39.0,,,26-29,2,T. Harris makes 2-pt shot from 1 ft
1:20.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,28-29,,
1:02.0,,,28-31,2,A. Drummond makes 2-pt shot from 7 ft (assist by S. Johnson)
0:42.0,A. Davis misses 2-pt shot from 21 ft,,28-31,,
0:40.0,,,28-31,,Defensive rebound by I. Smith
0:35.0,,,28-34,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith)
0:23.0,A. Davis makes 2-pt shot from 6 ft (assist by E. Moore),2,30-34,,
0:02.0,Personal foul by D. Motiejunas (drawn by T. Harris),,30-34,,
0:01.0,,,30-34,,T. Harris misses 3-pt shot from 27 ft (block by A. Davis)
0:00.0,,,30-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,30-36,2,T. Harris makes 2-pt shot from 17 ft (assist by I. Smith)
11:32.0,T. Jones makes 2-pt shot from 5 ft (assist by T. Evans),2,32-36,,
11:12.0,,,32-38,2,T. Harris makes 2-pt shot from 7 ft
10:52.0,T. Jones misses 2-pt shot from 7 ft,,32-38,,
10:51.0,,,32-38,,Defensive rebound by S. Johnson
10:36.0,,,32-38,,A. Baynes misses 2-pt shot from 18 ft
10:36.0,Defensive rebound by D. Cunningham,,32-38,,
10:30.0,Shooting foul by A. Baynes (drawn by T. Evans),,32-38,,
10:30.0,T. Evans makes free throw 1 of 2,1,33-38,,
10:30.0,T. Evans makes free throw 2 of 2,1,34-38,,
10:14.0,,,34-40,2,T. Harris makes 2-pt shot from 5 ft (assist by I. Smith)
9:54.0,T. Evans misses 3-pt shot from 28 ft,,34-40,,
9:54.0,,,34-40,,Defensive rebound by R. Bullock
9:43.0,,,34-40,,Turnover by T. Harris (bad pass)
9:27.0,T. Evans misses 2-pt shot from 4 ft,,34-40,,
9:26.0,,,34-40,,Defensive rebound by A. Baynes
9:17.0,,,34-40,,R. Bullock misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by D. Motiejunas,,34-40,,
9:07.0,E. Moore misses 2-pt shot from 5 ft,,34-40,,
9:06.0,,,34-40,,Defensive rebound by T. Harris
8:53.0,,,34-40,,S. Johnson misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by D. Motiejunas,,34-40,,
8:50.0,Turnover by D. Motiejunas (bad pass),,34-40,,
8:50.0,Official timeout,,34-40,,
8:30.0,,,34-42,2,S. Johnson makes 2-pt shot at rim (assist by T. Harris)
8:11.0,E. Moore makes 2-pt shot from 4 ft,2,36-42,,
7:59.0,,,36-44,2,I. Smith makes 2-pt shot from 16 ft
7:47.0,E. Moore misses 2-pt shot from 20 ft,,36-44,,
7:47.0,,,36-44,,Defensive rebound by S. Johnson
7:41.0,Violation by D. Motiejunas (kicked ball),,36-44,,
7:41.0,A. Davis enters the game for D. Motiejunas,,36-44,,
7:41.0,J. Holiday enters the game for E. Moore,,36-44,,
7:25.0,,,36-46,2,A. Baynes makes 2-pt shot from 6 ft
7:11.0,Shooting foul by R. Bullock (drawn by A. Davis),,36-46,,
7:11.0,A. Davis makes free throw 1 of 2,1,37-46,,
7:11.0,A. Davis makes free throw 2 of 2,1,38-46,,
7:11.0,S. Hill enters the game for D. Cunningham,,37-46,,
6:59.0,,,38-48,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
6:45.0,,,38-48,,Personal foul by S. Johnson (drawn by J. Holiday)
6:45.0,J. Holiday makes free throw 1 of 2,1,39-48,,
6:45.0,J. Holiday misses free throw 2 of 2,,39-48,,
6:45.0,,,39-48,,K. Caldwell-Pope enters the game for S. Johnson
6:45.0,,,39-48,,M. Morris enters the game for R. Bullock
6:43.0,,,39-48,,Defensive rebound by M. Morris
6:29.0,,,39-50,2,I. Smith makes 2-pt shot from 12 ft
6:08.0,J. Holiday misses 3-pt shot from 26 ft,,39-50,,
6:08.0,,,39-50,,Defensive rebound by A. Baynes
6:02.0,,,39-50,,Turnover by I. Smith (bad pass; steal by A. Davis)
5:57.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Holiday),2,41-50,,
5:47.0,,,41-50,,Detroit full timeout
5:47.0,,,41-50,,R. Jackson enters the game for I. Smith
5:47.0,,,41-50,,A. Drummond enters the game for A. Baynes
5:47.0,D. Cunningham enters the game for T. Jones,,41-50,,
5:47.0,E. Moore enters the game for T. Evans,,41-50,,
5:32.0,,,41-52,2,A. Drummond makes 2-pt shot from 7 ft
5:18.0,J. Holiday makes 2-pt shot from 17 ft,2,43-52,,
4:58.0,,,43-52,,A. Drummond misses 2-pt shot from 4 ft (block by A. Davis)
4:57.0,Defensive rebound by A. Davis,,43-52,,
4:42.0,J. Holiday misses 2-pt shot from 20 ft,,43-52,,
4:41.0,,,43-52,,Defensive rebound by K. Caldwell-Pope
4:29.0,,,43-52,,A. Drummond misses 2-pt shot from 6 ft (block by A. Davis)
4:27.0,Defensive rebound by S. Hill,,43-52,,
4:15.0,J. Holiday makes 2-pt shot from 1 ft (assist by E. Moore),2,45-52,,
3:57.0,,,45-52,,A. Drummond misses 2-pt shot from 6 ft
3:56.0,Defensive rebound by A. Davis,,45-52,,
3:47.0,A. Davis misses 2-pt shot from 19 ft,,45-52,,
3:46.0,,,45-52,,Defensive rebound by T. Harris
3:30.0,,,45-54,2,A. Drummond makes 2-pt shot from 10 ft (assist by M. Morris)
3:16.0,,,45-54,,Personal foul by A. Drummond (drawn by A. Davis)
3:16.0,,,45-54,,J. Leuer enters the game for A. Drummond
3:06.0,S. Hill misses 3-pt shot from 23 ft,,45-54,,
3:06.0,,,45-54,,Defensive rebound by T. Harris
2:55.0,,,45-56,2,T. Harris makes 2-pt shot from 8 ft (assist by R. Jackson)
2:37.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,47-56,,
2:21.0,,,47-56,,M. Morris misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by A. Davis,,47-56,,
2:08.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday),2,49-56,,
2:03.0,,,49-56,,Detroit full timeout
2:03.0,New Orleans full timeout,,49-56,,
1:48.0,Personal foul by S. Hill (drawn by R. Jackson),,49-56,,
1:35.0,,,49-56,,J. Leuer misses 2-pt shot from 6 ft
1:34.0,Defensive rebound by A. Davis,,49-56,,
1:21.0,J. Holiday makes 2-pt shot at rim (assist by D. Cunningham),2,51-56,,
1:01.0,,,51-58,2,T. Harris makes 2-pt shot at rim
0:43.0,Shooting foul by J. Leuer (drawn by A. Davis),,51-58,,
0:43.0,A. Davis makes free throw 1 of 2,1,52-58,,
0:43.0,A. Davis misses free throw 2 of 2,,52-58,,
0:43.0,,,52-58,,Defensive rebound by J. Leuer
0:43.0,B. Hield enters the game for S. Hill,,52-58,,
0:29.0,,,52-58,,R. Jackson misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by B. Hield,,52-58,,
0:09.0,D. Cunningham makes 2-pt shot at rim (assist by J. Holiday),2,54-58,,
0:03.0,,,54-60,2,R. Jackson makes 2-pt shot from 5 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-60,,K. Caldwell-Pope misses 3-pt shot from 27 ft
11:44.0,Defensive rebound by Team,,54-60,,
11:33.0,Turnover by J. Holiday (bad pass; steal by K. Caldwell-Pope),,54-60,,
11:33.0,Personal foul by B. Hield (drawn by K. Caldwell-Pope),,54-60,,
11:25.0,,,54-60,,J. Leuer misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by B. Hield,,54-60,,
11:13.0,S. Hill makes 3-pt shot from 25 ft (assist by J. Holiday),3,57-60,,
10:51.0,,,57-62,2,M. Morris makes 2-pt shot from 8 ft (assist by J. Leuer)
10:32.0,A. Davis misses 2-pt shot from 4 ft,,57-62,,
10:32.0,,,57-62,,Defensive rebound by J. Leuer
10:30.0,,,57-62,,J. Leuer misses 2-pt shot from 6 ft (block by J. Holiday)
10:30.0,,,57-62,,Offensive rebound by Team
10:22.0,,,57-62,,Turnover by A. Drummond (bad pass)
10:07.0,J. Holiday misses 2-pt shot at rim,,57-62,,
10:05.0,,,57-62,,Defensive rebound by A. Drummond
10:00.0,,,57-62,,R. Jackson misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by S. Hill,,57-62,,
9:39.0,S. Hill misses 3-pt shot from 25 ft,,57-62,,
9:39.0,,,57-62,,Defensive rebound by A. Drummond
9:25.0,,,57-62,,K. Caldwell-Pope misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by B. Hield,,57-62,,
9:06.0,B. Hield makes 3-pt shot from 28 ft (assist by S. Hill),3,60-62,,
8:52.0,,,60-62,,J. Leuer misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by T. Jones,,60-62,,
8:44.0,Turnover by A. Davis (offensive goaltending),,60-62,,
8:44.0,,,60-62,,Detroit full timeout
8:35.0,,,60-62,,Shooting foul by B. Hield (drawn by R. Jackson)
8:35.0,,,60-63,1,R. Jackson makes free throw 1 of 2
8:35.0,,,60-64,1,R. Jackson makes free throw 2 of 2
8:22.0,J. Holiday makes 2-pt shot at rim,2,62-64,,
8:09.0,,,62-64,,A. Drummond misses 2-pt shot from 7 ft
8:08.0,Defensive rebound by A. Davis,,62-64,,
7:50.0,A. Davis misses 3-pt shot from 26 ft,,62-64,,
7:50.0,,,62-64,,Defensive rebound by K. Caldwell-Pope
7:41.0,Personal foul by T. Jones (drawn by J. Leuer),,62-64,,
7:32.0,,,62-66,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:18.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,64-66,,
6:57.0,,,64-66,,M. Morris misses 3-pt shot from 27 ft
6:57.0,Defensive rebound by T. Jones,,64-66,,
6:44.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Holiday),2,66-66,,
6:25.0,,,66-66,,K. Caldwell-Pope misses 2-pt shot from 19 ft
6:25.0,Defensive rebound by Team,,66-66,,
6:17.0,J. Holiday misses 2-pt shot from 4 ft,,66-66,,
6:17.0,Offensive rebound by A. Davis,,66-66,,
6:16.0,A. Davis makes 2-pt shot at rim,2,68-66,,
5:58.0,,,68-66,,Turnover by R. Jackson (bad pass; steal by A. Davis)
5:47.0,S. Hill makes 3-pt shot from 25 ft (assist by B. Hield),3,71-66,,
5:29.0,,,71-66,,R. Jackson misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by A. Davis,,71-66,,
5:19.0,S. Hill makes 3-pt shot from 26 ft (assist by J. Holiday),3,74-66,,
5:19.0,,,74-66,,Detroit full timeout
5:19.0,,,74-66,,A. Baynes enters the game for M. Morris
5:19.0,,,74-66,,T. Harris enters the game for J. Leuer
5:19.0,,,74-66,,I. Smith enters the game for A. Drummond
5:19.0,,,74-66,,S. Johnson enters the game for R. Jackson
5:19.0,E. Moore enters the game for B. Hield,,74-66,,
4:58.0,,,74-68,2,S. Johnson makes 2-pt shot from 19 ft
4:30.0,A. Davis misses 2-pt shot from 12 ft,,74-68,,
4:30.0,,,74-68,,Defensive rebound by T. Harris
4:22.0,,,74-68,,T. Harris misses 3-pt shot from 27 ft
4:22.0,Defensive rebound by T. Jones,,74-68,,
4:14.0,Turnover by A. Davis (lost ball; steal by T. Harris),,74-68,,
4:02.0,,,74-70,2,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by S. Johnson)
3:52.0,Turnover by A. Davis (bad pass; steal by K. Caldwell-Pope),,74-70,,
3:47.0,,,74-72,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
3:47.0,New Orleans full timeout,,74-72,,
3:47.0,T. Evans enters the game for T. Jones,,74-72,,
3:47.0,D. Cunningham enters the game for J. Holiday,,74-72,,
3:23.0,Turnover by Team (shot clock),,74-72,,
3:11.0,,,74-72,,K. Caldwell-Pope misses 2-pt shot from 19 ft
3:10.0,Defensive rebound by D. Cunningham,,74-72,,
3:00.0,E. Moore misses 3-pt shot from 24 ft,,74-72,,
3:00.0,,,74-72,,Defensive rebound by Team
2:40.0,,,74-72,,T. Harris misses 2-pt shot from 12 ft
2:39.0,,,74-72,,Offensive rebound by S. Johnson
2:34.0,,,74-72,,Turnover by I. Smith (bad pass; steal by E. Moore)
2:29.0,E. Moore makes 2-pt shot at rim,2,76-72,,
2:03.0,,,76-72,,I. Smith misses 3-pt shot from 27 ft
2:03.0,Defensive rebound by Team,,76-72,,
1:50.0,A. Davis misses 2-pt shot from 17 ft,,76-72,,
1:50.0,,,76-72,,Defensive rebound by T. Harris
1:28.0,,,76-72,,S. Johnson misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by S. Hill,,76-72,,
1:15.0,A. Davis misses 2-pt shot from 8 ft,,76-72,,
1:15.0,,,76-72,,Defensive rebound by I. Smith
1:11.0,,,76-74,2,T. Harris makes 2-pt shot from 1 ft (assist by S. Johnson)
1:11.0,,,76-74,,Shooting foul by S. Hill (drawn by T. Harris)
1:11.0,,,76-75,1,T. Harris makes free throw 1 of 1
0:54.0,T. Evans makes 2-pt shot from 5 ft,2,78-75,,
0:34.0,,,78-77,2,T. Harris makes 2-pt shot from 6 ft
0:33.0,Turnover by A. Davis (bad pass; steal by S. Johnson),,78-77,,
0:28.0,,,78-80,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith)
0:08.0,T. Evans makes 2-pt shot from 1 ft,2,80-80,,
0:08.0,Shooting foul by A. Baynes (drawn by T. Evans),,80-80,,
0:08.0,T. Evans makes free throw 1 of 1,1,81-80,,
0:08.0,D. Motiejunas enters the game for A. Davis,,80-80,,
0:08.0,T. Jones enters the game for S. Hill,,80-80,,
0:02.0,,,81-83,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith)
0:01.0,T. Evans misses 3-pt shot from 29 ft,,81-83,,
0:00.0,Offensive rebound by Team,,81-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Offensive foul by T. Jones,,81-83,,
11:39.0,Turnover by T. Jones (offensive foul),,81-83,,
11:26.0,,,81-83,,T. Harris misses 2-pt shot from 16 ft
11:25.0,,,81-83,,Offensive rebound by S. Johnson
11:21.0,,,81-85,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
11:11.0,,,81-85,,Personal foul by S. Johnson (drawn by E. Moore)
11:00.0,T. Jones misses 2-pt shot from 7 ft,,81-85,,
10:59.0,,,81-85,,Defensive rebound by A. Baynes
10:50.0,,,81-88,3,I. Smith makes 3-pt shot from 26 ft (assist by T. Harris)
10:49.0,New Orleans full timeout,,81-88,,
10:49.0,,,81-88,,M. Morris enters the game for K. Caldwell-Pope
10:49.0,A. Davis enters the game for D. Motiejunas,,81-88,,
10:32.0,A. Davis misses 2-pt shot from 4 ft,,81-88,,
10:31.0,,,81-88,,Defensive rebound by A. Baynes
10:23.0,,,81-90,2,I. Smith makes 2-pt shot from 1 ft
10:08.0,E. Moore makes 2-pt shot at rim,2,83-90,,
9:40.0,,,83-90,,S. Johnson misses 2-pt shot from 5 ft
9:40.0,Defensive rebound by A. Davis,,83-90,,
9:30.0,T. Evans makes 2-pt shot at rim,2,85-90,,
9:30.0,Shooting foul by A. Baynes (drawn by T. Evans),,85-90,,
9:30.0,T. Evans misses free throw 1 of 1,,85-90,,
9:30.0,S. Hill enters the game for D. Cunningham,,85-90,,
9:30.0,J. Holiday enters the game for E. Moore,,85-90,,
9:27.0,,,85-90,,Defensive rebound by T. Harris
9:16.0,,,85-92,2,A. Baynes makes 2-pt shot from 7 ft (assist by I. Smith)
9:01.0,T. Evans misses 2-pt shot from 5 ft,,85-92,,
9:00.0,,,85-92,,Defensive rebound by T. Harris
8:38.0,,,85-94,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
8:28.0,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday),2,87-94,,
8:12.0,,,87-96,2,I. Smith makes 2-pt shot from 17 ft
7:45.0,A. Davis misses 2-pt shot from 17 ft,,87-96,,
7:45.0,,,87-96,,Defensive rebound by S. Johnson
7:35.0,,,87-96,,M. Morris misses 2-pt shot from 10 ft
7:35.0,,,87-96,,Offensive rebound by A. Baynes
7:31.0,,,87-98,2,A. Baynes makes 2-pt shot from 4 ft
7:11.0,T. Jones misses 2-pt shot from 8 ft,,87-98,,
7:10.0,,,87-98,,Defensive rebound by M. Morris
6:59.0,,,87-98,,Turnover by S. Johnson (bad pass)
6:59.0,,,87-98,,A. Drummond enters the game for A. Baynes
6:42.0,T. Jones misses 2-pt shot from 20 ft,,87-98,,
6:42.0,,,87-98,,Defensive rebound by A. Drummond
6:37.0,,,87-98,,Shooting foul by A. Davis (drawn by I. Smith)
6:37.0,,,87-98,,I. Smith misses free throw 1 of 2
6:37.0,,,87-98,,Offensive rebound by Team
6:37.0,,,87-98,,I. Smith misses free throw 2 of 2
6:37.0,Defensive rebound by E. Moore,,87-98,,
6:37.0,E. Moore enters the game for T. Jones,,87-98,,
6:37.0,,,87-98,,K. Caldwell-Pope enters the game for T. Harris
6:24.0,Turnover by S. Hill (3 sec),,87-98,,
6:09.0,,,87-101,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by S. Johnson)
5:59.0,J. Holiday makes 2-pt shot from 1 ft,2,89-101,,
5:46.0,Official timeout,,89-101,,
5:46.0,B. Hield enters the game for T. Evans,,89-101,,
5:46.0,Jump ball: K. Caldwell-Pope vs. E. Moore (S. Johnson gains possession),,,,Jump ball: K. Caldwell-Pope vs. E. Moore (S. Johnson gains possession)
5:33.0,,,89-101,,S. Johnson misses 2-pt shot from 17 ft
5:32.0,Defensive rebound by A. Davis,,89-101,,
5:20.0,,,89-101,,Personal foul by A. Drummond (drawn by A. Davis)
5:15.0,J. Holiday makes 2-pt shot from 7 ft,2,91-101,,
5:15.0,Shooting foul by K. Caldwell-Pope (drawn by J. Holiday),,91-101,,
5:15.0,J. Holiday makes free throw 1 of 1,1,92-101,,
5:02.0,,,92-101,,S. Johnson misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by A. Davis,,92-101,,
4:49.0,J. Holiday misses 2-pt shot from 10 ft,,92-101,,
4:47.0,,,92-101,,Defensive rebound by A. Drummond
4:28.0,,,92-103,2,A. Drummond makes 2-pt shot from 6 ft (assist by S. Johnson)
4:15.0,J. Holiday makes 2-pt shot from 1 ft,2,94-103,,
3:56.0,,,94-105,2,M. Morris makes 2-pt shot from 17 ft
3:46.0,S. Hill misses 2-pt shot from 1 ft,,94-105,,
3:45.0,,,94-105,,Defensive rebound by A. Drummond
3:31.0,,,94-105,,M. Morris misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by E. Moore,,94-105,,
3:26.0,B. Hield misses 3-pt shot from 26 ft,,94-105,,
3:25.0,Offensive rebound by A. Davis,,94-105,,
3:20.0,A. Davis makes 2-pt shot at rim,2,96-105,,
3:09.0,,,96-105,,Shooting foul by J. Holiday (drawn by K. Caldwell-Pope)
3:09.0,,,96-106,1,K. Caldwell-Pope makes free throw 1 of 3
3:09.0,,,96-107,1,K. Caldwell-Pope makes free throw 2 of 3
3:09.0,,,96-108,1,K. Caldwell-Pope makes free throw 3 of 3
2:58.0,B. Hield misses 3-pt shot from 24 ft,,96-108,,
2:57.0,,,96-108,,Defensive rebound by K. Caldwell-Pope
2:50.0,,,96-108,,Shooting foul by A. Davis (drawn by A. Drummond)
2:50.0,,,96-108,,Detroit full timeout
2:50.0,,,96-108,,A. Drummond misses free throw 1 of 2
2:50.0,,,96-108,,Offensive rebound by Team
2:50.0,,,96-109,1,A. Drummond makes free throw 2 of 2
2:33.0,A. Davis misses 2-pt shot from 6 ft,,96-109,,
2:32.0,,,96-109,,Defensive rebound by I. Smith
2:22.0,Personal take foul by A. Davis (drawn by A. Drummond),,96-109,,
2:22.0,,,96-109,,A. Baynes enters the game for A. Drummond
2:14.0,,,96-109,,Shooting foul by E. Moore (drawn by I. Smith)
2:14.0,,,96-110,1,I. Smith makes free throw 1 of 2
2:14.0,,,96-111,1,I. Smith makes free throw 2 of 2
1:59.0,S. Hill misses 3-pt shot from 26 ft,,96-111,,
1:59.0,,,96-111,,Defensive rebound by A. Baynes
1:44.0,,,96-113,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by M. Morris)
1:36.0,Turnover by J. Holiday (bad pass),,96-113,,
1:36.0,D. Motiejunas enters the game for A. Davis,,96-113,,
1:24.0,,,96-116,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by M. Morris)
1:16.0,Turnover by J. Holiday (lost ball; steal by K. Caldwell-Pope),,96-116,,
1:01.0,,,96-116,,Shooting foul by E. Moore (drawn by K. Caldwell-Pope)
1:01.0,,,96-116,,K. Caldwell-Pope misses free throw 1 of 2
1:01.0,,,96-116,,Offensive rebound by Team
1:01.0,,,96-116,,K. Caldwell-Pope misses free throw 2 of 2
1:00.0,Defensive rebound by D. Motiejunas,,96-116,,
0:53.0,E. Moore misses 2-pt shot from 9 ft,,96-116,,
0:53.0,Offensive rebound by J. Holiday,,96-116,,
0:52.0,J. Holiday makes 2-pt shot at rim,2,98-116,,
0:35.0,,,98-118,2,I. Smith makes 2-pt shot at rim
0:24.0,J. Holiday misses 3-pt shot from 28 ft,,98-118,,
0:23.0,,,98-118,,Defensive rebound by A. Baynes
0:10.0,,,98-118,,Turnover by K. Caldwell-Pope (lost ball; steal by J. Holiday)
0:04.0,B. Hield misses 3-pt shot from 27 ft,,98-118,,
0:03.0,,,98-118,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
