time,LA Clippers,pts.away,score,pts.home,New Orleans
6:11.0,J. Crawford makes 2-pt shot from 13 ft,2,41-44,,
6:11.0,Shooting foul by A. Brown (drawn by J. Crawford),,41-44,,
6:11.0,J. Crawford makes free throw 1 of 1,1,42-44,,
6:01.0,,,42-44,,J. Holiday misses 2-pt shot from 16 ft
6:01.0,Defensive rebound by B. Griffin,,42-44,,
5:51.0,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by C. Paul),2,44-44,,
5:39.0,,,44-44,,L. Galloway misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by D. Jordan,,44-44,,
5:29.0,C. Paul misses 2-pt shot from 18 ft,,44-44,,
5:27.0,,,44-44,,Defensive rebound by A. Brown
5:21.0,,,44-46,2,A. Brown makes 2-pt shot from 20 ft
4:53.0,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul),3,47-46,,
4:38.0,,,47-46,,T. Frazier enters the game for L. Galloway
4:38.0,,,47-46,,E. Moore enters the game for A. Brown
4:33.0,,,47-46,,Turnover by T. Frazier (bad pass; steal by L. Mbah a Moute)
4:25.0,J. Crawford misses 2-pt shot from 14 ft,,47-46,,
4:24.0,,,47-46,,Defensive rebound by E. Moore
4:19.0,,,47-48,2,E. Moore makes 2-pt shot from 7 ft (assist by T. Frazier)
3:56.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by B. Griffin),3,50-48,,
3:47.0,,,50-48,,J. Holiday misses 2-pt shot from 3 ft (block by D. Jordan)
3:47.0,,,50-48,,Offensive rebound by Team
3:46.0,Personal foul by D. Jordan (drawn by J. Holiday),,50-48,,
3:42.0,,,50-48,,Shooting foul by C. Paul (drawn by T. Frazier)
3:42.0,,,50-48,,T. Frazier misses free throw 1 of 2
3:42.0,,,50-48,,Offensive rebound by Team
3:42.0,,,50-48,,T. Frazier misses free throw 2 of 2
3:38.0,Defensive rebound by B. Griffin,,50-48,,
3:32.0,,,50-48,,Violation by O. Asik (kicked ball)
3:19.0,B. Griffin misses 2-pt shot from 10 ft,,50-48,,
3:16.0,Offensive rebound by B. Griffin,,50-48,,
3:10.0,B. Griffin makes 2-pt shot from 3 ft,2,52-48,,
3:04.0,,,52-48,,J. Holiday misses 2-pt shot from 9 ft
3:03.0,Defensive rebound by C. Paul,,52-48,,
2:57.0,Shooting foul by O. Asik (drawn by C. Paul),,52-48,,
2:57.0,,,52-48,,New Orleans full timeout
2:57.0,C. Paul makes free throw 1 of 2,1,53-48,,
2:57.0,C. Paul makes free throw 2 of 2,1,54-48,,
2:57.0,,,52-48,,A. Davis enters the game for S. Hill
2:46.0,Inbound foul by B. Griffin,,54-48,,
2:46.0,,,54-49,1,A. Davis makes free throw 1 of 1
2:39.0,Personal foul by L. Mbah a Moute (drawn by A. Davis),,54-49,,
2:39.0,,,54-50,1,A. Davis makes free throw 1 of 2
2:39.0,,,54-51,1,A. Davis makes free throw 2 of 2
2:14.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,56-51,,
2:04.0,,,56-53,2,T. Frazier makes 2-pt shot from 3 ft
1:39.0,C. Paul makes 2-pt shot from 4 ft,2,58-53,,
1:31.0,,,58-53,,E. Moore misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by D. Jordan,,58-53,,
1:09.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,58-53,,
1:09.0,Offensive rebound by L. Mbah a Moute,,58-53,,
1:09.0,Shooting foul by O. Asik (drawn by L. Mbah a Moute),,58-53,,
1:09.0,L. Mbah a Moute makes free throw 1 of 2,1,59-53,,
1:09.0,L. Mbah a Moute makes free throw 2 of 2,1,60-53,,
1:09.0,,,59-53,,A. Ajinca enters the game for O. Asik
0:55.0,,,60-53,,E. Moore misses 3-pt shot from 27 ft
0:55.0,Defensive rebound by B. Griffin,,60-53,,
0:47.0,Turnover by B. Griffin (lost ball; steal by A. Davis),,60-53,,
0:43.0,,,60-55,2,E. Moore makes 2-pt shot at rim (assist by A. Davis)
0:23.0,C. Paul misses 2-pt shot from 11 ft,,60-55,,
0:22.0,,,60-55,,Defensive rebound by T. Frazier
0:02.0,Violation by D. Jordan (def goaltending),,60-55,,
0:02.0,,,60-57,2,J. Holiday makes 2-pt shot from 6 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,60-57,,J. Holiday misses 2-pt shot from 3 ft
11:44.0,,,60-57,,Offensive rebound by J. Holiday
11:33.0,,,60-57,,A. Davis misses 2-pt shot from 3 ft
11:32.0,Defensive rebound by D. Jordan,,60-57,,
11:14.0,R. Felton makes 2-pt shot from 22 ft (assist by C. Paul),2,62-57,,
11:06.0,,,62-59,2,J. Holiday makes 2-pt shot from 14 ft
10:41.0,Turnover by C. Paul (bad pass),,62-59,,
10:33.0,,,62-59,,A. Davis misses 2-pt shot from 11 ft
10:30.0,Defensive rebound by D. Jordan,,62-59,,
10:23.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,64-59,,
10:07.0,,,64-59,,Turnover by J. Holiday (lost ball; steal by L. Mbah a Moute)
9:48.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by B. Griffin),3,67-59,,
9:45.0,,,67-59,,New Orleans full timeout
9:24.0,,,67-59,,A. Davis misses 2-pt shot from 11 ft
9:23.0,,,67-59,,Offensive rebound by O. Asik
9:19.0,,,67-61,2,O. Asik makes 2-pt shot from 2 ft
9:05.0,B. Griffin makes 2-pt shot from 17 ft,2,69-61,,
8:47.0,,,69-61,,Turnover by A. Davis (bad pass)
8:35.0,,,69-61,,Personal foul by A. Davis (drawn by D. Jordan)
8:24.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,71-61,,
8:07.0,,,71-64,3,S. Hill makes 3-pt shot from 24 ft (assist by T. Frazier)
7:45.0,B. Griffin makes 2-pt shot from 19 ft,2,73-64,,
7:42.0,Personal foul by B. Griffin (drawn by A. Davis),,73-64,,
7:42.0,,,73-64,,T. Jones enters the game for O. Asik
7:36.0,,,73-64,,J. Holiday misses 2-pt shot from 19 ft
7:35.0,Defensive rebound by C. Paul,,73-64,,
7:27.0,R. Felton makes 3-pt shot from 24 ft (assist by D. Jordan),3,76-64,,
7:14.0,,,76-64,,T. Jones misses 2-pt shot from 4 ft (block by L. Mbah a Moute)
7:13.0,Defensive rebound by C. Paul,,76-64,,
7:03.0,Shooting foul by J. Holiday (drawn by B. Griffin),,76-64,,
7:03.0,B. Griffin makes free throw 1 of 2,1,77-64,,
7:03.0,B. Griffin misses free throw 2 of 2,,77-64,,
7:01.0,,,77-64,,Defensive rebound by T. Jones
6:39.0,,,77-64,,T. Frazier misses 2-pt shot from 4 ft (block by D. Jordan)
6:39.0,,,77-64,,Offensive rebound by Team
6:37.0,,,77-64,,J. Holiday misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by C. Paul,,77-64,,
6:30.0,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul),2,79-64,,
6:29.0,,,79-64,,New Orleans full timeout
6:05.0,,,79-64,,Turnover by Team (shot clock)
6:05.0,,,79-64,,L. Galloway enters the game for S. Hill
6:05.0,,,79-64,,A. Brown enters the game for T. Frazier
5:45.0,B. Griffin misses 2-pt shot from 3 ft,,79-64,,
5:45.0,,,79-64,,Defensive rebound by T. Jones
5:36.0,,,79-66,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
5:06.0,B. Griffin misses 3-pt shot from 25 ft,,79-66,,
5:04.0,,,79-66,,Defensive rebound by A. Davis
4:56.0,,,79-66,,L. Galloway misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by B. Griffin,,79-66,,
4:35.0,C. Paul misses 3-pt shot from 31 ft,,79-66,,
4:32.0,,,79-66,,Defensive rebound by J. Holiday
4:30.0,,,79-66,,L. Galloway misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by B. Griffin,,79-66,,
4:18.0,LA Clippers full timeout,,79-66,,
4:18.0,J. Crawford enters the game for R. Felton,,79-66,,
4:08.0,B. Griffin misses 2-pt shot from 19 ft,,79-66,,
4:07.0,,,79-66,,Defensive rebound by L. Galloway
3:52.0,,,79-66,,L. Galloway misses 2-pt shot from 19 ft
3:51.0,Defensive rebound by D. Jordan,,79-66,,
3:39.0,J. Crawford makes 2-pt shot from 20 ft (assist by C. Paul),2,81-66,,
3:14.0,,,81-68,2,J. Holiday makes 2-pt shot from 3 ft (assist by A. Davis)
2:58.0,J. Crawford makes 2-pt shot from 15 ft,2,83-68,,
2:48.0,,,83-70,2,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday)
2:19.0,C. Paul makes 2-pt shot from 17 ft,2,85-70,,
2:12.0,,,85-72,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Holiday)
2:12.0,,,85-72,,Shooting foul by B. Griffin (drawn by T. Jones)
2:12.0,,,85-73,1,T. Jones makes free throw 1 of 1
2:12.0,P. Pierce enters the game for B. Griffin,,85-72,,
2:12.0,A. Rivers enters the game for C. Paul,,85-72,,
1:57.0,,,85-73,,Personal foul by J. Holiday (drawn by J. Crawford)
1:50.0,J. Crawford makes 2-pt shot from 5 ft,2,87-73,,
1:38.0,,,87-73,,Shooting foul by P. Pierce (drawn by A. Davis)
1:38.0,,,87-74,1,A. Davis makes free throw 1 of 2
1:38.0,,,87-74,,A. Davis misses free throw 2 of 2
1:38.0,,,87-74,,E. Moore enters the game for J. Holiday
1:36.0,Defensive rebound by D. Jordan,,87-74,,
1:24.0,A. Rivers misses 2-pt shot from 4 ft (block by T. Jones),,87-74,,
1:23.0,,,87-74,,Defensive rebound by E. Moore
1:13.0,,,87-76,2,A. Davis makes 2-pt shot from 8 ft (assist by E. Moore)
0:49.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,87-76,,
0:48.0,,,87-76,,Defensive rebound by T. Jones
0:38.0,,,87-76,,A. Davis misses 2-pt shot from 21 ft
0:37.0,Defensive rebound by A. Rivers,,87-76,,
0:27.0,A. Rivers misses 2-pt shot from 18 ft,,87-76,,
0:26.0,,,87-76,,Defensive rebound by A. Davis
0:16.0,,,87-76,,A. Brown misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by L. Mbah a Moute,,87-76,,
0:02.0,J. Crawford makes 2-pt shot from 20 ft,2,89-76,,
0:00.0,,,89-76,,L. Galloway misses 3-pt shot from 55 ft
0:00.0,,,89-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,A. Rivers misses 3-pt shot from 22 ft,,89-76,,
11:35.0,Offensive rebound by M. Speights,,89-76,,
11:34.0,M. Speights makes 2-pt shot from 4 ft,2,91-76,,
11:07.0,,,91-78,2,E. Moore makes 2-pt shot from 14 ft
10:49.0,R. Felton misses 2-pt shot from 6 ft,,91-78,,
10:49.0,,,91-78,,Defensive rebound by E. Moore
10:42.0,,,91-78,,A. Brown misses 3-pt shot from 27 ft
10:40.0,Defensive rebound by R. Felton,,91-78,,
10:30.0,Turnover by P. Pierce (lost ball; steal by L. Galloway),,91-78,,
10:20.0,Personal foul by A. Rivers (drawn by A. Ajinca),,91-78,,
10:14.0,,,91-78,,A. Ajinca misses 2-pt shot from 10 ft
10:14.0,,,91-78,,Offensive rebound by Team
10:14.0,Loose ball foul by P. Pierce (drawn by A. Ajinca),,91-78,,
10:07.0,,,91-78,,E. Moore misses 2-pt shot from 20 ft
10:05.0,,,91-78,,Offensive rebound by T. Jones
10:04.0,,,91-78,,Shooting foul by M. Speights (drawn by T. Jones)
10:04.0,,,91-79,1,T. Jones makes free throw 1 of 2
10:04.0,,,91-79,,T. Jones misses free throw 2 of 2
10:04.0,B. Bass enters the game for P. Pierce,,91-79,,
10:02.0,Defensive rebound by A. Rivers,,91-79,,
9:48.0,B. Bass misses 2-pt shot from 13 ft,,91-79,,
9:44.0,Offensive rebound by B. Bass,,91-79,,
9:30.0,J. Crawford makes 3-pt shot from 26 ft,3,94-79,,
9:09.0,,,94-79,,Turnover by L. Galloway (bad pass; steal by A. Rivers)
9:04.0,B. Bass makes 2-pt shot at rim (assist by M. Speights),2,96-79,,
8:48.0,,,96-81,2,L. Galloway makes 2-pt shot from 10 ft
8:29.0,J. Crawford misses 2-pt shot from 18 ft,,96-81,,
8:28.0,,,96-81,,Defensive rebound by A. Ajinca
8:21.0,,,96-81,,A. Brown misses 3-pt shot from 27 ft
8:19.0,,,96-81,,Offensive rebound by E. Moore
8:15.0,,,96-84,3,A. Brown makes 3-pt shot from 24 ft (assist by E. Moore)
8:15.0,LA Clippers full timeout,,96-84,,
8:15.0,,,96-84,,T. Frazier enters the game for E. Moore
8:15.0,,,96-84,,A. Davis enters the game for A. Ajinca
8:00.0,M. Speights makes 2-pt shot from 2 ft (assist by B. Bass),2,98-84,,
7:48.0,,,98-84,,Shooting foul by M. Speights (drawn by T. Frazier)
7:48.0,,,98-84,,T. Frazier misses free throw 1 of 2
7:48.0,,,98-84,,Offensive rebound by Team
7:48.0,,,98-85,1,T. Frazier makes free throw 2 of 2
7:21.0,A. Rivers misses 2-pt shot from 20 ft,,98-85,,
7:20.0,,,98-85,,Defensive rebound by A. Brown
7:14.0,,,98-87,2,A. Davis makes 2-pt shot from 4 ft
7:14.0,,,98-87,,Shooting foul by B. Bass (drawn by A. Davis)
7:14.0,,,98-88,1,A. Davis makes free throw 1 of 1
7:14.0,B. Griffin enters the game for A. Rivers,,98-87,,
7:14.0,D. Jordan enters the game for M. Speights,,98-87,,
7:14.0,C. Paul enters the game for B. Bass,,98-87,,
7:14.0,L. Mbah a Moute enters the game for R. Felton,,98-87,,
6:50.0,C. Paul misses 3-pt shot from 27 ft,,98-88,,
6:48.0,Offensive rebound by L. Mbah a Moute,,98-88,,
6:40.0,J. Crawford misses 3-pt shot from 27 ft,,98-88,,
6:39.0,Offensive rebound by D. Jordan,,98-88,,
6:20.0,J. Crawford misses 2-pt shot from 4 ft,,98-88,,
6:20.0,,,98-88,,Defensive rebound by Team
6:20.0,,,98-88,,J. Holiday enters the game for L. Galloway
6:11.0,,,98-88,,J. Holiday misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by C. Paul,,98-88,,
5:53.0,J. Crawford makes 3-pt shot from 24 ft (assist by B. Griffin),3,101-88,,
5:38.0,,,101-90,2,T. Jones makes 2-pt shot from 19 ft (assist by T. Frazier)
5:15.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,104-90,,
5:15.0,,,104-90,,New Orleans full timeout
4:58.0,,,104-90,,A. Davis misses 2-pt shot from 10 ft
4:57.0,Defensive rebound by D. Jordan,,104-90,,
4:37.0,Turnover by D. Jordan (3 sec),,104-90,,
4:25.0,,,104-90,,T. Jones misses 3-pt shot from 27 ft
4:25.0,Defensive rebound by L. Mbah a Moute,,104-90,,
4:11.0,J. Crawford misses 3-pt shot from 24 ft,,104-90,,
4:10.0,Offensive rebound by D. Jordan,,104-90,,
3:52.0,Turnover by J. Crawford (bad pass; steal by J. Holiday),,104-90,,
3:51.0,,,104-90,,Shooting foul by C. Paul (drawn by T. Jones)
3:51.0,,,104-90,,T. Jones misses free throw 1 of 2
3:51.0,,,104-90,,Offensive rebound by Team
3:51.0,,,104-90,,T. Jones misses free throw 2 of 2
3:50.0,,,104-90,,Offensive rebound by T. Jones
3:43.0,,,104-90,,Turnover by T. Jones (lost ball; steal by J. Crawford)
3:21.0,C. Paul makes 3-pt shot from 26 ft (assist by J. Crawford),3,107-90,,
3:09.0,,,107-90,,T. Frazier misses 2-pt shot from 5 ft (block by L. Mbah a Moute)
3:09.0,,,107-90,,Offensive rebound by Team
3:09.0,,,107-90,,S. Hill enters the game for A. Davis
3:09.0,,,107-90,,B. Hield enters the game for J. Holiday
3:02.0,,,107-90,,T. Jones misses 2-pt shot from 3 ft
3:01.0,Defensive rebound by B. Griffin,,107-90,,
2:47.0,C. Paul makes 2-pt shot from 1 ft,2,109-90,,
2:34.0,Official timeout,,109-90,,
2:34.0,M. Speights enters the game for L. Mbah a Moute,,109-90,,
2:34.0,A. Rivers enters the game for B. Griffin,,109-90,,
2:34.0,B. Bass enters the game for D. Jordan,,109-90,,
2:34.0,W. Johnson enters the game for J. Crawford,,109-90,,
2:34.0,Jump ball: T. Frazier vs. C. Paul (B. Bass gains possession),,,,Jump ball: T. Frazier vs. C. Paul (B. Bass gains possession)
