time,New York,pts.away,score,pts.home,Sacramento
5:06.0,,,17-17,,Shooting foul by C. Anthony (drawn by R. Gay)
5:06.0,,,17-17,,Sacramento full timeout
5:06.0,,,17-18,1,R. Gay makes free throw 1 of 2
5:06.0,,,17-19,1,R. Gay makes free throw 2 of 2
4:53.0,K. Porzingis misses 3-pt shot from 25 ft,,17-19,,
4:52.0,,,17-19,,Defensive rebound by R. Gay
4:46.0,,,17-19,,D. Cousins misses 2-pt shot from 3 ft
4:44.0,,,17-19,,Offensive rebound by B. McLemore
4:40.0,,,17-21,2,R. Gay makes 2-pt shot from 17 ft (assist by B. McLemore)
4:24.0,K. Porzingis misses 2-pt shot from 20 ft,,17-21,,
4:24.0,,,17-21,,Defensive rebound by B. McLemore
4:08.0,,,17-21,,R. Gay misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by J. Noah,,17-21,,
3:58.0,Shooting foul by K. Koufos (drawn by K. Porzingis),,17-21,,
3:58.0,K. Porzingis makes free throw 1 of 2,1,18-21,,
3:58.0,K. Porzingis makes free throw 2 of 2,1,19-21,,
3:58.0,K. O'Quinn enters the game for J. Noah,,18-21,,
3:58.0,,,18-21,,A. Tolliver enters the game for K. Koufos
3:45.0,,,19-23,2,D. Cousins makes 2-pt shot from 8 ft (assist by A. Tolliver)
3:27.0,C. Anthony misses 2-pt shot from 20 ft,,19-23,,
3:26.0,,,19-23,,Defensive rebound by D. Cousins
3:12.0,,,19-23,,D. Cousins misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by C. Anthony,,19-23,,
3:05.0,K. Porzingis misses 3-pt shot from 25 ft,,19-23,,
3:05.0,Offensive rebound by K. O'Quinn,,19-23,,
2:58.0,C. Lee misses 2-pt shot from 20 ft,,19-23,,
2:57.0,Offensive rebound by K. O'Quinn,,19-23,,
2:52.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. O'Quinn),3,22-23,,
2:34.0,,,22-25,2,R. Gay makes 2-pt shot from 17 ft (assist by D. Cousins)
2:25.0,Shooting foul by R. Gay (drawn by C. Anthony),,22-25,,
2:25.0,New York full timeout,,22-25,,
2:25.0,,,22-25,,Violation by Team (jump ball)
2:25.0,C. Anthony makes free throw 1 of 2,1,23-25,,
2:25.0,C. Anthony makes free throw 2 of 2,1,24-25,,
2:25.0,M. Kuzminskas enters the game for K. Porzingis,,22-25,,
2:25.0,,,22-25,,T. Lawson enters the game for D. Collison
2:25.0,,,22-25,,O. Casspi enters the game for R. Gay
2:13.0,,,24-25,,Turnover by O. Casspi (lost ball)
1:57.0,C. Anthony makes 2-pt shot from 16 ft,2,26-25,,
1:31.0,,,26-25,,B. McLemore misses 2-pt shot from 3 ft
1:31.0,Defensive rebound by C. Anthony,,26-25,,
1:23.0,C. Lee misses 3-pt shot from 23 ft,,26-25,,
1:22.0,,,26-25,,Defensive rebound by O. Casspi
1:14.0,,,26-27,2,D. Cousins makes 2-pt shot from 3 ft (assist by B. McLemore)
1:14.0,,,26-27,,Shooting foul by K. O'Quinn (drawn by D. Cousins)
1:14.0,,,26-28,1,D. Cousins makes free throw 1 of 1
1:14.0,,,26-27,,G. Temple enters the game for B. McLemore
0:52.0,C. Anthony makes 2-pt shot from 10 ft (assist by K. O'Quinn),2,28-28,,
0:33.0,,,28-30,2,A. Tolliver makes 2-pt shot from 2 ft (assist by T. Lawson)
0:16.0,B. Jennings misses 3-pt shot from 23 ft,,28-30,,
0:14.0,,,28-30,,Defensive rebound by O. Casspi
0:03.0,,,28-30,,Shooting foul by B. Jennings (drawn by T. Lawson)
0:03.0,,,28-31,1,T. Lawson makes free throw 1 of 2
0:03.0,,,28-32,1,T. Lawson makes free throw 2 of 2
0:03.0,,,28-31,,W. Cauley-Stein enters the game for D. Cousins
0:00.0,M. Kuzminskas makes 2-pt shot from 3 ft (assist by K. O'Quinn),2,30-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,30-32,,T. Lawson misses 2-pt shot from 15 ft
11:40.0,Defensive rebound by M. Kuzminskas,,30-32,,
11:24.0,,,30-32,,Personal foul by W. Cauley-Stein (drawn by L. Thomas)
11:10.0,M. Kuzminskas makes 3-pt shot from 24 ft (assist by S. Vujacic),3,33-32,,
10:53.0,,,33-32,,A. Tolliver misses 2-pt shot from 8 ft (block by K. O'Quinn)
10:51.0,Defensive rebound by J. Holiday,,33-32,,
10:46.0,M. Kuzminskas misses 2-pt shot from 5 ft,,33-32,,
10:46.0,,,33-32,,Defensive rebound by T. Lawson
10:38.0,,,33-35,3,G. Temple makes 3-pt shot from 25 ft (assist by A. Tolliver)
10:18.0,L. Thomas misses 2-pt shot from 7 ft,,33-35,,
10:17.0,,,33-35,,Defensive rebound by T. Lawson
10:07.0,,,33-38,3,A. Tolliver makes 3-pt shot from 25 ft (assist by G. Temple)
9:48.0,L. Thomas misses 3-pt shot from 24 ft,,33-38,,
9:47.0,Offensive rebound by M. Kuzminskas,,33-38,,
9:42.0,M. Kuzminskas misses 3-pt shot from 25 ft,,33-38,,
9:41.0,Offensive rebound by K. O'Quinn,,33-38,,
9:38.0,K. O'Quinn misses 2-pt shot from 1 ft,,33-38,,
9:38.0,,,33-38,,Defensive rebound by Team
9:37.0,Jump ball: L. Thomas vs. A. Tolliver (T. Lawson gains possession),,,,Jump ball: L. Thomas vs. A. Tolliver (T. Lawson gains possession)
9:31.0,,,33-38,,O. Casspi misses 2-pt shot from 2 ft (block by M. Kuzminskas)
9:28.0,Defensive rebound by K. O'Quinn,,33-38,,
9:22.0,Offensive foul by M. Kuzminskas,,33-38,,
9:22.0,Turnover by M. Kuzminskas (offensive foul),,33-38,,
9:08.0,,,33-38,,G. Temple misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by K. O'Quinn,,33-38,,
8:52.0,K. O'Quinn makes 2-pt shot from 7 ft,2,35-38,,
8:39.0,,,35-38,,W. Cauley-Stein misses 2-pt shot from 5 ft
8:37.0,Defensive rebound by K. O'Quinn,,35-38,,
8:29.0,J. Holiday makes 2-pt shot from 22 ft,2,37-38,,
8:10.0,,,37-40,2,O. Casspi makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
8:10.0,,,37-40,,Shooting foul by S. Vujacic (drawn by O. Casspi)
8:10.0,Official timeout,,37-40,,
8:10.0,,,37-41,1,O. Casspi makes free throw 1 of 1
7:52.0,S. Vujacic makes 2-pt shot from 19 ft (assist by J. Holiday),2,39-41,,
7:37.0,,,39-43,2,T. Lawson makes 2-pt shot from 3 ft
7:37.0,,,39-43,,Shooting foul by S. Vujacic (drawn by T. Lawson)
7:37.0,Violation by Team (jump ball),,39-43,,
7:37.0,,,39-43,,T. Lawson misses free throw 1 of 1
7:37.0,K. Porzingis enters the game for M. Kuzminskas,,39-43,,
7:36.0,Defensive rebound by K. Porzingis,,39-43,,
7:26.0,Turnover by S. Vujacic (lost ball; steal by G. Temple),,39-43,,
7:23.0,,,39-45,2,G. Temple makes 2-pt shot from 1 ft
7:10.0,Offensive charge foul by S. Vujacic,,39-45,,
7:10.0,Turnover by S. Vujacic (offensive foul),,39-45,,
7:10.0,B. Jennings enters the game for S. Vujacic,,39-45,,
7:05.0,,,39-48,3,O. Casspi makes 3-pt shot from 27 ft (assist by T. Lawson)
7:03.0,New York full timeout,,39-48,,
6:39.0,K. Porzingis misses 2-pt shot from 14 ft,,39-48,,
6:38.0,,,39-48,,Defensive rebound by A. Tolliver
6:13.0,,,39-48,,W. Cauley-Stein misses 2-pt shot from 3 ft
6:12.0,Defensive rebound by K. O'Quinn,,39-48,,
6:07.0,,,39-48,,Personal foul by W. Cauley-Stein (drawn by B. Jennings)
6:07.0,C. Anthony enters the game for K. O'Quinn,,39-48,,
6:07.0,J. Noah enters the game for L. Thomas,,39-48,,
6:07.0,,,39-48,,R. Gay enters the game for O. Casspi
5:59.0,J. Holiday misses 3-pt shot from 23 ft,,39-48,,
5:58.0,Offensive rebound by J. Noah,,39-48,,
5:56.0,J. Holiday makes 2-pt shot at rim (assist by J. Noah),2,41-48,,
5:37.0,,,41-48,,R. Gay misses 2-pt shot from 18 ft
5:36.0,Defensive rebound by J. Noah,,41-48,,
5:26.0,Turnover by B. Jennings (lost ball; steal by G. Temple),,41-48,,
5:23.0,,,41-50,2,R. Gay makes 2-pt shot at rim (assist by T. Lawson)
5:05.0,J. Holiday misses 2-pt shot from 21 ft,,41-50,,
5:04.0,,,41-50,,Defensive rebound by R. Gay
4:56.0,,,41-50,,T. Lawson misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by J. Noah,,41-50,,
4:40.0,K. Porzingis misses 2-pt shot from 12 ft,,41-50,,
4:40.0,,,41-50,,Defensive rebound by T. Lawson
4:31.0,,,41-50,,Sacramento full timeout
4:31.0,C. Lee enters the game for J. Holiday,,41-50,,
4:31.0,,,41-50,,D. Collison enters the game for T. Lawson
4:31.0,,,41-50,,D. Cousins enters the game for W. Cauley-Stein
4:24.0,,,41-50,,A. Tolliver misses 3-pt shot from 24 ft
4:23.0,,,41-50,,Offensive rebound by D. Cousins
4:09.0,,,41-50,,G. Temple misses 2-pt shot from 18 ft
4:08.0,Defensive rebound by C. Anthony,,41-50,,
3:43.0,C. Anthony misses 3-pt shot from 25 ft,,41-50,,
3:43.0,Offensive rebound by Team,,41-50,,
3:43.0,Turnover by Team (shot clock),,41-50,,
3:30.0,,,41-50,,D. Cousins misses 2-pt shot from 19 ft
3:29.0,Defensive rebound by B. Jennings,,41-50,,
3:19.0,C. Anthony misses 2-pt shot from 17 ft,,41-50,,
3:18.0,,,41-50,,Defensive rebound by A. Tolliver
3:06.0,,,41-50,,R. Gay misses 2-pt shot from 22 ft
3:05.0,Defensive rebound by C. Anthony,,41-50,,
2:57.0,C. Lee makes 3-pt shot from 24 ft (assist by C. Anthony),3,44-50,,
2:42.0,,,44-50,,D. Cousins misses 2-pt shot from 3 ft (block by C. Anthony)
2:40.0,Defensive rebound by B. Jennings,,44-50,,
2:35.0,C. Anthony makes 3-pt shot from 24 ft (assist by C. Lee),3,47-50,,
2:13.0,,,47-50,,D. Collison misses 2-pt shot from 18 ft
2:13.0,,,47-50,,Offensive rebound by Team
2:13.0,Loose ball foul by K. Porzingis (drawn by D. Cousins),,47-50,,
2:13.0,,,47-50,,B. McLemore enters the game for A. Tolliver
2:13.0,,,47-50,,K. Koufos enters the game for G. Temple
2:11.0,Personal foul by J. Noah (drawn by D. Cousins),,47-50,,
2:04.0,,,47-50,,Turnover by D. Cousins (lost ball; steal by C. Anthony)
2:01.0,Turnover by C. Anthony (lost ball; steal by D. Collison),,47-50,,
2:00.0,Personal foul by C. Lee (drawn by D. Cousins),,47-50,,
2:00.0,,,47-51,1,D. Cousins makes free throw 1 of 2
2:00.0,,,47-51,,D. Cousins misses free throw 2 of 2
1:58.0,Defensive rebound by J. Noah,,47-51,,
1:47.0,C. Anthony misses 3-pt shot from 25 ft,,47-51,,
1:46.0,,,47-51,,Defensive rebound by K. Koufos
1:39.0,,,47-51,,D. Collison misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by K. Porzingis,,47-51,,
1:30.0,Shooting foul by K. Koufos (drawn by K. Porzingis),,47-51,,
1:30.0,K. Porzingis makes free throw 1 of 2,1,48-51,,
1:30.0,K. Porzingis makes free throw 2 of 2,1,49-51,,
1:10.0,,,49-51,,B. McLemore misses 2-pt shot from 3 ft
1:09.0,Defensive rebound by K. Porzingis,,49-51,,
1:00.0,C. Anthony makes 2-pt shot from 18 ft,2,51-51,,
0:46.0,,,51-51,,Sacramento full timeout
0:41.0,,,51-51,,Turnover by K. Koufos (bad pass)
0:31.0,K. Porzingis misses 3-pt shot from 23 ft,,51-51,,
0:30.0,,,51-51,,Defensive rebound by B. McLemore
0:15.0,,,51-51,,A. Tolliver enters the game for K. Koufos
0:15.0,L. Thomas enters the game for K. Porzingis,,51-51,,
0:09.0,,,51-53,2,D. Cousins makes 2-pt shot from 18 ft
0:01.0,Shooting foul by R. Gay (drawn by C. Anthony),,51-53,,
0:01.0,C. Anthony makes free throw 1 of 3,1,52-53,,
0:01.0,C. Anthony makes free throw 2 of 3,1,53-53,,
0:01.0,C. Anthony makes free throw 3 of 3,1,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,54-53,,R. Gay misses 2-pt shot from 9 ft
11:40.0,Defensive rebound by Team,,54-53,,
11:23.0,Turnover by K. Porzingis (bad pass; steal by D. Collison),,54-53,,
11:20.0,,,54-53,,B. McLemore misses 2-pt shot from 4 ft
11:16.0,Defensive rebound by B. Jennings,,54-53,,
11:05.0,C. Anthony misses 3-pt shot from 23 ft,,54-53,,
11:04.0,,,54-53,,Defensive rebound by D. Cousins
10:39.0,,,54-53,,D. Collison misses 3-pt shot from 27 ft
10:38.0,Defensive rebound by J. Noah,,54-53,,
10:27.0,Shooting foul by R. Gay (drawn by C. Anthony),,54-53,,
10:27.0,C. Anthony makes free throw 1 of 2,1,55-53,,
10:27.0,C. Anthony makes free throw 2 of 2,1,56-53,,
10:02.0,,,56-56,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
9:50.0,K. Porzingis misses 3-pt shot from 26 ft,,56-56,,
9:50.0,,,56-56,,Defensive rebound by D. Collison
9:46.0,,,56-56,,Offensive foul by D. Cousins
9:46.0,,,56-56,,Turnover by D. Cousins (offensive foul)
9:32.0,C. Anthony misses 2-pt shot from 20 ft,,56-56,,
9:31.0,,,56-56,,Defensive rebound by D. Collison
9:18.0,,,56-56,,D. Collison misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by Team,,56-56,,
9:18.0,,,56-56,,Loose ball foul by D. Cousins (drawn by J. Noah)
9:03.0,C. Lee makes 3-pt shot from 24 ft (assist by K. Porzingis),3,59-56,,
8:43.0,,,59-56,,Shooting foul by J. Noah (drawn by D. Cousins)
8:43.0,,,59-57,1,D. Cousins makes free throw 1 of 2
8:43.0,,,59-58,1,D. Cousins makes free throw 2 of 2
8:20.0,K. Porzingis makes 2-pt shot from 13 ft (assist by C. Anthony),2,61-58,,
8:10.0,,,61-58,,Shooting foul by C. Anthony (drawn by R. Gay)
8:10.0,,,61-59,1,R. Gay makes free throw 1 of 2
8:10.0,,,61-60,1,R. Gay makes free throw 2 of 2
8:10.0,,,61-59,,A. Tolliver enters the game for K. Koufos
7:51.0,K. Porzingis misses 2-pt shot from 6 ft,,61-60,,
7:50.0,,,61-60,,Defensive rebound by D. Cousins
7:43.0,,,61-60,,A. Tolliver misses 3-pt shot from 26 ft
7:42.0,Defensive rebound by C. Lee,,61-60,,
7:40.0,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony),2,63-60,,
7:09.0,,,63-60,,D. Cousins misses 2-pt shot from 7 ft
7:08.0,,,63-60,,Offensive rebound by A. Tolliver
7:08.0,,,63-62,2,A. Tolliver makes 2-pt shot from 1 ft
6:56.0,J. Noah misses 2-pt shot from 4 ft,,63-62,,
6:54.0,,,63-62,,Defensive rebound by D. Cousins
6:47.0,,,63-62,,D. Cousins misses 2-pt shot from 3 ft
6:47.0,Defensive rebound by Team,,63-62,,
6:47.0,,,63-62,,Technical foul by D. Cousins
6:47.0,C. Anthony makes technical free throw,1,64-62,,
6:25.0,C. Lee makes 2-pt shot from 11 ft,2,66-62,,
6:25.0,Shooting foul by B. McLemore (drawn by C. Lee),,66-62,,
6:25.0,C. Lee misses free throw 1 of 1,,66-62,,
6:25.0,,,66-62,,Defensive rebound by Team
6:25.0,Loose ball foul by K. Porzingis (drawn by A. Tolliver),,66-62,,
6:09.0,,,66-62,,R. Gay misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by B. Jennings,,66-62,,
5:58.0,C. Anthony makes 3-pt shot from 23 ft (assist by B. Jennings),3,69-62,,
5:39.0,,,69-62,,A. Tolliver misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by C. Lee,,69-62,,
5:24.0,Turnover by B. Jennings (bad pass; steal by D. Cousins),,69-62,,
5:22.0,,,69-64,2,D. Collison makes 2-pt shot from 2 ft
5:07.0,Turnover by B. Jennings (bad pass; steal by B. McLemore),,69-64,,
5:04.0,,,69-66,2,B. McLemore makes 2-pt shot at rim
5:03.0,New York full timeout,,69-66,,
5:03.0,L. Thomas enters the game for K. Porzingis,,69-66,,
5:03.0,K. O'Quinn enters the game for J. Noah,,69-66,,
4:52.0,B. Jennings makes 2-pt shot from 3 ft (assist by K. O'Quinn),2,71-66,,
4:30.0,,,71-68,2,R. Gay makes 2-pt shot from 4 ft (assist by D. Cousins)
4:17.0,Offensive charge foul by L. Thomas,,71-68,,
4:17.0,Turnover by L. Thomas (offensive foul),,71-68,,
4:04.0,,,71-68,,D. Cousins misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by C. Anthony,,71-68,,
3:50.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by C. Anthony),2,73-68,,
3:35.0,,,73-68,,D. Collison misses 2-pt shot from 3 ft
3:34.0,,,73-68,,Offensive rebound by D. Cousins
3:34.0,,,73-70,2,D. Cousins makes 2-pt shot from 2 ft
3:19.0,K. O'Quinn misses 2-pt shot from 21 ft,,73-70,,
3:19.0,,,73-70,,Defensive rebound by D. Collison
3:13.0,,,73-70,,Shooting foul by K. O'Quinn (drawn by D. Cousins)
3:13.0,,,73-70,,D. Cousins misses free throw 1 of 2
3:13.0,,,73-70,,Offensive rebound by Team
3:13.0,,,73-71,1,D. Cousins makes free throw 2 of 2
3:13.0,,,73-70,,G. Temple enters the game for B. McLemore
2:53.0,Turnover by C. Anthony (lost ball; steal by G. Temple),,73-71,,
2:42.0,,,73-73,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
2:25.0,Turnover by K. O'Quinn (bad pass),,73-73,,
2:25.0,,,73-73,,Sacramento full timeout
2:25.0,S. Vujacic enters the game for B. Jennings,,73-73,,
2:13.0,,,73-75,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
2:13.0,,,73-75,,Shooting foul by K. O'Quinn (drawn by D. Cousins)
2:13.0,,,73-76,1,D. Cousins makes free throw 1 of 1
1:48.0,C. Anthony misses 2-pt shot from 16 ft,,73-76,,
1:46.0,Offensive rebound by K. O'Quinn,,73-76,,
1:46.0,K. O'Quinn makes 2-pt shot from 1 ft,2,75-76,,
1:24.0,,,75-76,,G. Temple misses 3-pt shot from 25 ft
1:23.0,,,75-76,,Offensive rebound by D. Cousins
1:13.0,,,75-76,,Shooting foul by S. Vujacic (drawn by R. Gay)
1:13.0,,,75-77,1,R. Gay makes free throw 1 of 2
1:13.0,,,75-77,,R. Gay misses free throw 2 of 2
1:13.0,,,75-77,,T. Lawson enters the game for D. Collison
1:13.0,K. Porzingis enters the game for C. Anthony,,75-77,,
1:12.0,Defensive rebound by K. O'Quinn,,75-77,,
1:02.0,,,75-77,,Personal foul by A. Tolliver (drawn by K. Porzingis)
1:02.0,,,75-77,,W. Cauley-Stein enters the game for A. Tolliver
0:51.0,C. Lee misses 2-pt shot from 7 ft,,75-77,,
0:50.0,Offensive rebound by L. Thomas,,75-77,,
0:50.0,L. Thomas misses 2-pt shot from 1 ft,,75-77,,
0:49.0,,,75-77,,Defensive rebound by D. Cousins
0:37.0,,,75-77,,R. Gay misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by K. O'Quinn,,75-77,,
0:28.0,Turnover by S. Vujacic (lost ball),,75-77,,
0:28.0,,,75-77,,A. Tolliver enters the game for W. Cauley-Stein
0:09.0,,,75-77,,D. Cousins misses 2-pt shot from 3 ft (block by K. O'Quinn)
0:07.0,Defensive rebound by L. Thomas,,75-77,,
0:02.0,L. Thomas makes 3-pt shot from 25 ft,3,78-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Porzingis misses 2-pt shot from 7 ft,,78-77,,
11:40.0,,,78-77,,Defensive rebound by Team
11:24.0,,,78-80,3,A. Tolliver makes 3-pt shot from 26 ft (assist by T. Lawson)
11:11.0,,,78-80,,Personal foul by T. Lawson (drawn by S. Vujacic)
11:11.0,J. Holiday enters the game for C. Lee,,78-80,,
10:56.0,J. Holiday misses 2-pt shot from 18 ft,,78-80,,
10:53.0,Offensive rebound by K. Porzingis,,78-80,,
10:53.0,K. Porzingis misses 2-pt shot from 1 ft,,78-80,,
10:52.0,,,78-80,,Defensive rebound by A. Tolliver
10:43.0,,,78-80,,A. Tolliver misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by J. Holiday,,78-80,,
10:35.0,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn),2,80-80,,
10:18.0,,,80-80,,T. Lawson misses 3-pt shot from 25 ft
10:18.0,,,80-80,,Offensive rebound by W. Cauley-Stein
10:03.0,,,80-80,,Offensive charge foul by A. Tolliver
10:03.0,,,80-80,,Turnover by A. Tolliver (offensive foul)
10:03.0,B. Jennings enters the game for S. Vujacic,,80-80,,
9:39.0,L. Thomas makes 3-pt shot from 24 ft (assist by K. Porzingis),3,83-80,,
9:27.0,,,83-80,,Shooting foul by L. Thomas (drawn by O. Casspi)
9:27.0,,,83-81,1,O. Casspi makes free throw 1 of 2
9:27.0,,,83-82,1,O. Casspi makes free throw 2 of 2
9:05.0,K. Porzingis makes 2-pt shot from 22 ft,2,85-82,,
8:54.0,,,85-82,,G. Temple misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by L. Thomas,,85-82,,
8:42.0,K. O'Quinn misses 2-pt shot from 4 ft,,85-82,,
8:40.0,,,85-82,,Defensive rebound by A. Tolliver
8:36.0,,,85-84,2,O. Casspi makes 2-pt shot from 2 ft (assist by T. Lawson)
8:22.0,B. Jennings misses 2-pt shot from 4 ft,,85-84,,
8:20.0,Offensive rebound by K. O'Quinn,,85-84,,
8:19.0,K. O'Quinn makes 2-pt shot from 2 ft,2,87-84,,
8:09.0,,,87-84,,T. Lawson misses 2-pt shot from 17 ft
8:07.0,Defensive rebound by K. Porzingis,,87-84,,
7:59.0,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings),2,89-84,,
7:58.0,,,89-84,,Sacramento full timeout
7:58.0,,,89-84,,D. Cousins enters the game for W. Cauley-Stein
7:50.0,Personal foul by K. O'Quinn (drawn by D. Cousins),,89-84,,
7:37.0,,,89-84,,Shooting foul by K. Porzingis (drawn by D. Cousins)
7:37.0,,,89-85,1,D. Cousins makes free throw 1 of 2
7:37.0,,,89-86,1,D. Cousins makes free throw 2 of 2
7:22.0,K. Porzingis misses 2-pt shot from 19 ft,,89-86,,
7:22.0,,,89-86,,Defensive rebound by D. Cousins
7:07.0,,,89-86,,D. Cousins misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by K. Porzingis,,89-86,,
6:59.0,Shooting foul by A. Tolliver (drawn by B. Jennings),,89-86,,
6:59.0,B. Jennings misses free throw 1 of 2,,89-86,,
6:59.0,Offensive rebound by Team,,89-86,,
6:59.0,B. Jennings makes free throw 2 of 2,1,90-86,,
6:59.0,C. Anthony enters the game for K. Porzingis,,89-86,,
6:59.0,J. Noah enters the game for K. O'Quinn,,89-86,,
6:59.0,,,89-86,,R. Gay enters the game for A. Tolliver
6:35.0,,,90-86,,D. Cousins misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by C. Anthony,,90-86,,
6:25.0,B. Jennings misses 3-pt shot from 25 ft,,90-86,,
6:24.0,,,90-86,,Defensive rebound by R. Gay
6:16.0,,,90-88,2,O. Casspi makes 2-pt shot from 2 ft (assist by T. Lawson)
5:54.0,C. Anthony misses 2-pt shot from 6 ft,,90-88,,
5:53.0,,,90-88,,Defensive rebound by R. Gay
5:40.0,,,90-88,,Turnover by T. Lawson (bad pass; steal by L. Thomas)
5:32.0,J. Noah misses 2-pt shot from 3 ft (block by D. Cousins),,90-88,,
5:29.0,Offensive rebound by J. Holiday,,90-88,,
5:19.0,,,90-88,,Personal foul by R. Gay (drawn by C. Anthony)
5:19.0,Official timeout,,90-88,,
5:19.0,Technical foul by C. Anthony,,90-88,,
5:19.0,,,90-89,1,D. Collison makes technical free throw
5:19.0,C. Anthony makes free throw 1 of 2,1,91-89,,
5:19.0,C. Anthony makes free throw 2 of 2,1,92-89,,
5:19.0,K. Porzingis enters the game for L. Thomas,,90-88,,
5:19.0,,,90-88,,D. Collison enters the game for T. Lawson
5:01.0,Personal foul by J. Holiday (drawn by D. Cousins),,92-89,,
