time,Chicago,pts.away,score,pts.home,New York
1:03.0,D. Wade enters the game for J. Grant,,20-22,,
0:48.0,,,21-22,,Shooting foul by B. Portis (drawn by K. O'Quinn)
0:48.0,,,21-23,1,K. O'Quinn makes free throw 1 of 2
0:48.0,,,21-24,1,K. O'Quinn makes free throw 2 of 2
0:36.0,Turnover by D. Wade (traveling),,21-24,,
0:27.0,,,21-24,,Turnover by B. Jennings (bad pass)
0:05.0,B. Portis misses 3-pt shot from 25 ft,,21-24,,
0:04.0,Offensive rebound by Team,,21-24,,
0:04.0,,,21-24,,Loose ball foul by J. Holiday (drawn by C. Felicio)
0:04.0,C. Felicio misses free throw 1 of 2,,21-24,,
0:04.0,Offensive rebound by Team,,21-24,,
0:04.0,C. Felicio makes free throw 2 of 2,1,22-24,,
0:04.0,,,21-24,,C. Lee enters the game for K. O'Quinn
0:04.0,J. Grant enters the game for B. Portis,,21-24,,
0:00.0,,,22-24,,B. Jennings misses 3-pt shot from 30 ft
0:00.0,,,22-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Felicio makes 2-pt shot at rim (assist by R. Rondo),2,24-24,,
11:27.0,,,24-24,,Turnover by B. Jennings (bad pass)
11:18.0,Turnover by R. Rondo (bad pass; steal by M. Kuzminskas),,24-24,,
11:13.0,,,24-26,2,M. Kuzminskas makes 2-pt shot from 2 ft
11:06.0,Turnover by D. McDermott (step out of bounds),,24-26,,
10:47.0,,,24-26,,M. Kuzminskas misses 2-pt shot from 6 ft
10:45.0,,,24-26,,Offensive rebound by M. Kuzminskas
10:45.0,,,24-28,2,M. Kuzminskas makes 2-pt shot from 1 ft
10:31.0,,,24-28,,Personal foul by L. Thomas (drawn by B. Portis)
10:31.0,M. Carter-Williams enters the game for R. Rondo,,24-28,,
10:20.0,M. Carter-Williams misses 3-pt shot from 23 ft,,24-28,,
10:18.0,,,24-28,,Defensive rebound by Team
9:56.0,,,24-31,3,J. Holiday makes 3-pt shot from 23 ft (assist by M. Kuzminskas)
9:35.0,D. Wade misses 2-pt shot from 18 ft,,24-31,,
9:33.0,Offensive rebound by M. Carter-Williams,,24-31,,
9:18.0,Turnover by D. Wade (lost ball; steal by M. Kuzminskas),,24-31,,
9:13.0,,,24-31,,M. Kuzminskas misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by C. Felicio,,24-31,,
9:05.0,D. Wade makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,26-31,,
8:45.0,,,26-34,3,J. Holiday makes 3-pt shot from 24 ft
8:29.0,D. McDermott misses 3-pt shot from 24 ft,,26-34,,
8:27.0,Offensive rebound by C. Felicio,,26-34,,
8:20.0,,,26-34,,Personal foul by W. Hernangomez (drawn by M. Carter-Williams)
8:20.0,Official timeout,,26-34,,
8:20.0,J. Grant enters the game for D. McDermott,,26-34,,
8:20.0,,,26-34,,K. O'Quinn enters the game for W. Hernangomez
8:13.0,B. Portis misses 3-pt shot from 23 ft,,26-34,,
8:10.0,,,26-34,,Defensive rebound by K. O'Quinn
7:52.0,,,26-34,,Turnover by L. Thomas (traveling)
7:32.0,M. Carter-Williams makes 2-pt shot from 3 ft (assist by J. Grant),2,28-34,,
7:32.0,Shooting foul by L. Thomas (drawn by M. Carter-Williams),,28-34,,
7:32.0,M. Carter-Williams makes free throw 1 of 1,1,29-34,,
7:16.0,,,29-34,,L. Thomas misses 2-pt shot from 4 ft
7:14.0,,,29-34,,Offensive rebound by K. O'Quinn
7:08.0,,,29-34,,L. Thomas misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by D. Wade,,29-34,,
6:53.0,J. Grant makes 3-pt shot from 24 ft,3,32-34,,
6:52.0,,,32-34,,New York full timeout
6:52.0,,,32-34,,C. Lee enters the game for K. O'Quinn
6:52.0,,,32-34,,J. Noah enters the game for M. Kuzminskas
6:52.0,,,32-34,,D. Rose enters the game for J. Holiday
6:52.0,,,32-34,,C. Anthony enters the game for B. Jennings
6:52.0,P. Zipser enters the game for D. Wade,,32-34,,
6:30.0,,,32-34,,Turnover by C. Anthony (traveling)
6:18.0,J. Grant makes 2-pt shot from 17 ft,2,34-34,,
5:58.0,,,34-34,,Turnover by D. Rose (lost ball; steal by M. Carter-Williams)
5:54.0,,,34-34,,Personal foul by C. Anthony (drawn by P. Zipser)
5:54.0,P. Zipser makes free throw 1 of 2,1,35-34,,
5:54.0,P. Zipser makes free throw 2 of 2,1,36-34,,
5:38.0,,,36-34,,C. Anthony misses 2-pt shot from 12 ft
5:35.0,,,36-34,,Offensive rebound by C. Anthony
5:33.0,,,36-34,,C. Anthony misses 2-pt shot from 11 ft
5:31.0,,,36-34,,Offensive rebound by J. Noah
5:31.0,,,36-36,2,J. Noah makes 2-pt shot from 2 ft
5:21.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by J. Noah),,36-36,,
5:20.0,Offensive rebound by Team,,36-36,,
5:20.0,T. Gibson enters the game for B. Portis,,36-36,,
5:10.0,P. Zipser makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,39-36,,
4:48.0,,,39-38,2,D. Rose makes 2-pt shot from 18 ft (assist by L. Thomas)
4:31.0,C. Felicio misses 2-pt shot from 18 ft,,39-38,,
4:29.0,,,39-38,,Defensive rebound by D. Rose
4:19.0,,,39-40,2,C. Anthony makes 2-pt shot from 17 ft
4:03.0,M. Carter-Williams misses 2-pt shot from 16 ft,,39-40,,
4:01.0,,,39-40,,Defensive rebound by C. Anthony
3:55.0,,,39-42,2,C. Anthony makes 2-pt shot from 18 ft
3:55.0,,,39-42,,Shooting foul by P. Zipser (drawn by C. Anthony)
3:55.0,,,39-42,,C. Anthony misses free throw 1 of 1
3:55.0,R. Rondo enters the game for M. Carter-Williams,,39-42,,
3:55.0,R. Lopez enters the game for C. Felicio,,39-42,,
3:54.0,Defensive rebound by T. Gibson,,39-42,,
3:40.0,R. Lopez makes 2-pt shot from 20 ft (assist by R. Rondo),2,41-42,,
3:40.0,,,41-42,,Loose ball foul by L. Thomas (drawn by T. Gibson)
3:40.0,T. Gibson makes free throw 1 of 1,1,42-42,,
3:24.0,,,42-45,3,C. Anthony makes 3-pt shot from 25 ft
3:12.0,R. Lopez makes 2-pt shot from 12 ft (assist by R. Rondo),2,44-45,,
2:52.0,,,44-45,,C. Anthony misses 3-pt shot from 26 ft
2:50.0,,,44-45,,Offensive rebound by L. Thomas
2:50.0,,,44-45,,L. Thomas misses 2-pt shot from 2 ft
2:48.0,,,44-45,,Offensive rebound by J. Noah
2:48.0,,,44-45,,J. Noah misses 2-pt shot from 1 ft
2:47.0,Defensive rebound by T. Gibson,,44-45,,
2:30.0,T. Gibson makes 2-pt shot from 3 ft (assist by R. Rondo),2,46-45,,
2:16.0,,,46-47,2,C. Lee makes 2-pt shot from 1 ft (assist by C. Anthony)
2:14.0,Chicago full timeout,,46-47,,
2:14.0,,,46-47,,M. Kuzminskas enters the game for L. Thomas
1:59.0,R. Lopez misses 2-pt shot from 4 ft,,46-47,,
1:57.0,,,46-47,,Defensive rebound by J. Noah
1:55.0,,,46-47,,Turnover by J. Noah (bad pass; steal by J. Grant)
1:41.0,R. Rondo makes 2-pt shot from 21 ft (assist by J. Grant),2,48-47,,
1:21.0,,,48-47,,D. Rose misses 2-pt shot from 3 ft
1:20.0,Defensive rebound by J. Grant,,48-47,,
1:14.0,R. Rondo misses 2-pt shot from 6 ft,,48-47,,
1:13.0,,,48-47,,Defensive rebound by C. Anthony
1:00.0,,,48-49,2,D. Rose makes 2-pt shot from 3 ft (assist by C. Lee)
0:57.0,,,48-49,,Personal foul by C. Anthony (drawn by T. Gibson)
0:57.0,T. Gibson misses free throw 1 of 2,,48-49,,
0:57.0,Offensive rebound by Team,,48-49,,
0:57.0,T. Gibson makes free throw 2 of 2,1,49-49,,
0:57.0,D. Wade enters the game for J. Grant,,48-49,,
0:34.0,,,49-51,2,C. Anthony makes 2-pt shot from 18 ft
0:25.0,R. Lopez misses 2-pt shot from 5 ft,,49-51,,
0:23.0,,,49-51,,Defensive rebound by D. Rose
0:05.0,,,49-51,,Shooting foul by R. Rondo (drawn by D. Rose)
0:05.0,,,49-53,2,D. Rose makes 2-pt shot from 2 ft
0:05.0,Chicago full timeout,,49-53,,
0:05.0,,,49-54,1,D. Rose makes free throw 1 of 1
0:05.0,D. McDermott enters the game for T. Gibson,,49-53,,
0:05.0,,,49-53,,R. Baker enters the game for C. Anthony
0:00.0,R. Rondo makes 2-pt shot from 21 ft,2,51-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,T. Gibson misses 2-pt shot from 6 ft,,51-54,,
11:42.0,,,51-54,,Defensive rebound by Team
11:25.0,,,51-54,,C. Anthony misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by M. Carter-Williams,,51-54,,
11:08.0,D. Wade misses 2-pt shot from 17 ft,,51-54,,
11:06.0,,,51-54,,Defensive rebound by C. Anthony
10:56.0,,,51-54,,D. Rose misses 2-pt shot from 15 ft
10:54.0,Defensive rebound by R. Lopez,,51-54,,
10:43.0,Turnover by T. Gibson (lost ball; steal by C. Anthony),,51-54,,
10:25.0,,,51-54,,C. Lee misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by M. Carter-Williams,,51-54,,
10:14.0,M. Carter-Williams misses 2-pt shot from 3 ft,,51-54,,
10:13.0,,,51-54,,Defensive rebound by Team
10:02.0,,,51-54,,D. Rose misses 2-pt shot from 2 ft
10:00.0,,,51-54,,Offensive rebound by J. Noah
10:00.0,,,51-54,,J. Noah misses 2-pt shot at rim
9:58.0,,,51-54,,Offensive rebound by J. Noah
9:58.0,,,51-56,2,J. Noah makes 2-pt shot from 1 ft
9:42.0,P. Zipser misses 2-pt shot from 8 ft,,51-56,,
9:40.0,Offensive rebound by R. Lopez,,51-56,,
9:40.0,R. Lopez misses 2-pt shot from 1 ft,,51-56,,
9:38.0,,,51-56,,Defensive rebound by J. Noah
9:29.0,,,51-58,2,C. Anthony makes 2-pt shot from 2 ft
9:12.0,D. Wade makes 2-pt shot from 10 ft,2,53-58,,
8:55.0,,,53-60,2,C. Lee makes 2-pt shot from 13 ft
8:34.0,Shooting foul by J. Noah (drawn by D. Wade),,53-60,,
8:34.0,D. Wade makes free throw 1 of 2,1,54-60,,
8:34.0,D. Wade makes free throw 2 of 2,1,55-60,,
8:21.0,,,55-60,,C. Lee misses 2-pt shot from 14 ft
8:19.0,Defensive rebound by P. Zipser,,55-60,,
8:16.0,Offensive foul by M. Carter-Williams,,55-60,,
8:16.0,Turnover by M. Carter-Williams (offensive foul),,55-60,,
8:02.0,,,55-60,,J. Noah misses 2-pt shot from 3 ft
8:01.0,Defensive rebound by M. Carter-Williams,,55-60,,
7:57.0,Turnover by M. Carter-Williams (bad pass),,55-60,,
7:48.0,,,55-60,,L. Thomas misses 2-pt shot from 3 ft
7:46.0,,,55-60,,Offensive rebound by J. Noah
7:46.0,,,55-60,,J. Noah misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by R. Lopez,,55-60,,
7:34.0,D. Wade makes 2-pt shot from 7 ft,2,57-60,,
7:14.0,,,57-62,2,C. Anthony makes 2-pt shot from 15 ft
6:52.0,P. Zipser misses 3-pt shot from 25 ft,,57-62,,
6:50.0,,,57-62,,Defensive rebound by C. Lee
6:39.0,,,57-62,,D. Rose misses 2-pt shot from 17 ft
6:37.0,Defensive rebound by D. Wade,,57-62,,
6:31.0,M. Carter-Williams misses 3-pt shot from 25 ft,,57-62,,
6:29.0,,,57-62,,Defensive rebound by J. Noah
6:08.0,,,57-64,2,L. Thomas makes 2-pt shot from 22 ft (assist by C. Anthony)
6:07.0,Chicago full timeout,,57-64,,
6:07.0,R. Rondo enters the game for M. Carter-Williams,,57-64,,
6:07.0,,,57-64,,M. Kuzminskas enters the game for L. Thomas
5:49.0,D. Wade misses 2-pt shot from 12 ft,,57-64,,
5:47.0,Offensive rebound by T. Gibson,,57-64,,
5:45.0,Turnover by D. Wade (offensive goaltending),,57-64,,
5:26.0,,,57-64,,D. Rose misses 2-pt shot from 2 ft
5:25.0,,,57-64,,Offensive rebound by J. Noah
5:25.0,,,57-66,2,J. Noah makes 2-pt shot from 1 ft
5:12.0,R. Rondo misses 2-pt shot from 5 ft (block by M. Kuzminskas),,57-66,,
5:10.0,Offensive rebound by T. Gibson,,57-66,,
5:07.0,R. Rondo misses 2-pt shot from 17 ft,,57-66,,
5:05.0,,,57-66,,Defensive rebound by C. Anthony
4:55.0,,,57-68,2,C. Anthony makes 2-pt shot from 17 ft (assist by J. Noah)
4:37.0,D. Wade makes 2-pt shot from 3 ft,2,59-68,,
4:23.0,,,59-68,,M. Kuzminskas misses 3-pt shot from 24 ft
4:21.0,,,59-68,,Offensive rebound by J. Noah
4:19.0,,,59-68,,M. Kuzminskas misses 2-pt shot from 5 ft
4:16.0,,,59-68,,Offensive rebound by M. Kuzminskas
4:15.0,,,59-68,,M. Kuzminskas misses 2-pt shot from 3 ft (block by R. Lopez)
4:13.0,,,59-68,,Offensive rebound by M. Kuzminskas
4:10.0,,,59-68,,M. Kuzminskas misses 2-pt shot from 1 ft (block by R. Lopez)
4:09.0,Defensive rebound by R. Lopez,,59-68,,
4:00.0,D. Wade misses 3-pt shot from 26 ft,,59-68,,
4:00.0,Offensive rebound by T. Gibson,,59-68,,
4:00.0,Shooting foul by J. Noah (drawn by T. Gibson),,59-68,,
4:00.0,T. Gibson makes free throw 1 of 2,1,60-68,,
4:00.0,T. Gibson makes free throw 2 of 2,1,61-68,,
4:00.0,D. McDermott enters the game for D. Wade,,60-68,,
4:00.0,,,60-68,,K. O'Quinn enters the game for J. Noah
3:39.0,,,61-70,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by C. Anthony)
3:20.0,,,61-70,,Personal foul by C. Anthony (drawn by T. Gibson)
3:20.0,J. Grant enters the game for P. Zipser,,61-70,,
3:20.0,,,61-70,,J. Holiday enters the game for C. Lee
3:12.0,R. Lopez misses 2-pt shot from 4 ft (block by K. O'Quinn),,61-70,,
3:10.0,Offensive rebound by T. Gibson,,61-70,,
3:10.0,Offensive foul by T. Gibson,,61-70,,
3:10.0,Turnover by T. Gibson (offensive foul),,61-70,,
2:58.0,,,61-70,,M. Kuzminskas misses 2-pt shot from 3 ft (block by D. McDermott)
2:55.0,Defensive rebound by R. Lopez,,61-70,,
2:50.0,D. McDermott misses 3-pt shot from 24 ft,,61-70,,
2:48.0,,,61-70,,Defensive rebound by K. O'Quinn
2:43.0,Personal foul by R. Rondo (drawn by D. Rose),,61-70,,
2:43.0,,,61-70,,New York full timeout
2:43.0,C. Felicio enters the game for R. Lopez,,61-70,,
2:27.0,,,61-72,2,K. O'Quinn makes 2-pt shot at rim (assist by C. Anthony)
2:11.0,D. McDermott misses 2-pt shot from 16 ft (block by K. O'Quinn),,61-72,,
2:08.0,,,61-72,,Defensive rebound by C. Anthony
1:55.0,,,61-72,,C. Anthony misses 2-pt shot from 2 ft (block by C. Felicio)
1:53.0,Defensive rebound by T. Gibson,,61-72,,
1:47.0,C. Felicio misses 2-pt shot from 5 ft,,61-72,,
1:46.0,Offensive rebound by C. Felicio,,61-72,,
1:43.0,D. McDermott misses 2-pt shot from 2 ft,,61-72,,
1:41.0,,,61-72,,Defensive rebound by K. O'Quinn
1:28.0,,,61-72,,D. Rose misses 2-pt shot from 4 ft
1:27.0,,,61-72,,Offensive rebound by K. O'Quinn
1:24.0,,,61-74,2,K. O'Quinn makes 2-pt shot from 2 ft
1:06.0,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo),2,63-74,,
0:46.0,,,63-74,,Turnover by K. O'Quinn (bad pass)
0:46.0,,,63-74,,L. Thomas enters the game for C. Anthony
0:46.0,D. Wade enters the game for T. Gibson,,63-74,,
0:31.0,J. Grant makes 2-pt shot from 4 ft (assist by D. McDermott),2,65-74,,
0:14.0,,,65-76,2,D. Rose makes 2-pt shot from 2 ft
0:14.0,,,65-76,,Violation by Team (jump ball)
0:01.0,R. Rondo misses 3-pt shot from 24 ft,,65-76,,
0:00.0,,,65-76,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,65-79,3,B. Jennings makes 3-pt shot from 24 ft (assist by K. O'Quinn)
11:22.0,D. Wade makes 2-pt shot from 4 ft,2,67-79,,
11:12.0,,,67-79,,K. O'Quinn misses 2-pt shot from 14 ft
11:10.0,Defensive rebound by D. McDermott,,67-79,,
11:00.0,J. Grant misses 2-pt shot from 13 ft,,67-79,,
10:59.0,,,67-79,,Defensive rebound by K. O'Quinn
10:36.0,,,67-79,,B. Jennings misses 3-pt shot from 23 ft
10:33.0,,,67-79,,Offensive rebound by L. Thomas
10:33.0,,,67-79,,L. Thomas misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by D. McDermott,,67-79,,
10:27.0,C. Felicio makes 2-pt shot from 1 ft (assist by J. Grant),2,69-79,,
10:10.0,,,69-79,,Shooting foul by J. Grant (drawn by B. Jennings)
10:10.0,,,69-80,1,B. Jennings makes free throw 1 of 3
10:10.0,,,69-80,,B. Jennings misses free throw 2 of 3
10:10.0,,,69-80,,Offensive rebound by Team
10:10.0,,,69-81,1,B. Jennings makes free throw 3 of 3
10:02.0,D. Wade makes 2-pt shot at rim,2,71-81,,
9:47.0,,,71-83,2,M. Kuzminskas makes 2-pt shot from 2 ft (assist by K. O'Quinn)
9:47.0,,,71-83,,Shooting foul by D. McDermott (drawn by M. Kuzminskas)
9:47.0,,,71-84,1,M. Kuzminskas makes free throw 1 of 1
9:47.0,P. Zipser enters the game for D. McDermott,,71-83,,
9:38.0,,,71-84,,Personal foul by J. Holiday (drawn by D. Wade)
9:25.0,R. Rondo misses 3-pt shot from 25 ft,,71-84,,
9:23.0,,,71-84,,Defensive rebound by K. O'Quinn
9:16.0,,,71-84,,J. Holiday misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by J. Grant,,71-84,,
9:12.0,D. Wade misses 2-pt shot from 2 ft (block by K. O'Quinn),,71-84,,
9:11.0,Offensive rebound by Team,,71-84,,
9:04.0,Turnover by D. Wade (bad pass; steal by B. Jennings),,71-84,,
8:58.0,,,71-84,,J. Holiday misses 2-pt shot from 5 ft
8:57.0,,,71-84,,Offensive rebound by Team
8:57.0,Official timeout,,71-84,,
8:57.0,B. Portis enters the game for R. Rondo,,71-84,,
8:46.0,,,71-86,2,M. Kuzminskas makes 2-pt shot at rim (assist by L. Thomas)
8:24.0,D. Wade misses 2-pt shot from 5 ft,,71-86,,
8:23.0,Offensive rebound by Team,,71-86,,
8:16.0,D. Wade makes 2-pt shot from 2 ft,2,73-86,,
7:57.0,,,73-88,2,K. O'Quinn makes 2-pt shot from 4 ft
7:46.0,Shooting foul by K. O'Quinn (drawn by J. Grant),,73-88,,
7:46.0,J. Grant misses free throw 1 of 2,,73-88,,
7:46.0,Offensive rebound by Team,,73-88,,
7:46.0,J. Grant makes free throw 2 of 2,1,74-88,,
7:23.0,,,74-88,,B. Jennings misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by P. Zipser,,74-88,,
7:12.0,C. Felicio makes 2-pt shot from 1 ft (assist by D. Wade),2,76-88,,
6:47.0,,,76-88,,L. Thomas misses 2-pt shot from 5 ft
6:45.0,Defensive rebound by D. Wade,,76-88,,
6:37.0,Shooting foul by L. Thomas (drawn by D. Wade),,76-88,,
6:37.0,D. Wade makes free throw 1 of 2,1,77-88,,
6:37.0,D. Wade misses free throw 2 of 2,,77-88,,
6:37.0,,,77-88,,J. Noah enters the game for L. Thomas
6:37.0,,,77-88,,C. Anthony enters the game for K. O'Quinn
6:36.0,,,77-88,,Defensive rebound by J. Noah
6:22.0,,,77-90,2,J. Noah makes 2-pt shot at rim (assist by J. Holiday)
6:03.0,C. Felicio misses 2-pt shot from 3 ft,,77-90,,
6:01.0,Offensive rebound by B. Portis,,77-90,,
5:56.0,J. Grant misses 3-pt shot from 25 ft,,77-90,,
5:54.0,Offensive rebound by B. Portis,,77-90,,
5:48.0,D. Wade misses 3-pt shot from 24 ft,,77-90,,
5:47.0,Offensive rebound by Team,,77-90,,
5:47.0,,,77-90,,Loose ball foul by B. Jennings (drawn by B. Portis)
5:47.0,,,77-90,,New York full timeout
5:44.0,Shooting foul by J. Noah (drawn by D. Wade),,77-90,,
5:44.0,D. Wade makes free throw 1 of 2,1,78-90,,
5:44.0,D. Wade misses free throw 2 of 2,,78-90,,
5:43.0,,,78-90,,Defensive rebound by M. Kuzminskas
5:30.0,,,78-92,2,M. Kuzminskas makes 2-pt shot from 2 ft (assist by B. Jennings)
5:06.0,B. Portis makes 2-pt shot from 5 ft,2,80-92,,
4:45.0,,,80-92,,J. Holiday misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by J. Grant,,80-92,,
4:34.0,J. Grant misses 2-pt shot from 2 ft,,80-92,,
4:32.0,Offensive rebound by C. Felicio,,80-92,,
4:32.0,C. Felicio makes 2-pt shot at rim,2,82-92,,
4:23.0,,,82-92,,New York full timeout
4:23.0,,,82-92,,D. Rose enters the game for J. Holiday
