time,Denver,pts.away,score,pts.home,Sacramento
8:01.0,Defensive rebound by N. Jokic,,11-6,,
7:54.0,Turnover by G. Harris (bad pass; steal by T. Lawson),,11-6,,
7:48.0,,,11-6,,D. Collison misses 3-pt shot from 24 ft
7:47.0,,,11-6,,Offensive rebound by T. Lawson
7:43.0,,,11-9,3,D. Collison makes 3-pt shot from 23 ft (assist by T. Lawson)
7:23.0,D. Gallinari makes 2-pt shot from 10 ft,2,13-9,,
7:09.0,,,13-9,,D. Collison misses 2-pt shot from 2 ft
7:07.0,Defensive rebound by G. Harris,,13-9,,
6:50.0,N. Jokic makes 2-pt shot from 3 ft,2,15-9,,
6:35.0,,,15-9,,Turnover by B. McLemore (lost ball)
6:35.0,,,15-9,,W. Cauley-Stein enters the game for A. Tolliver
6:23.0,Shooting foul by B. McLemore (drawn by D. Gallinari),,15-9,,
6:23.0,D. Gallinari makes free throw 1 of 2,1,16-9,,
6:23.0,D. Gallinari makes free throw 2 of 2,1,17-9,,
6:23.0,W. Chandler enters the game for K. Faried,,16-9,,
6:23.0,,,16-9,,T. Evans enters the game for T. Lawson
6:10.0,,,17-11,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore)
5:56.0,W. Chandler misses 3-pt shot from 23 ft,,17-11,,
5:56.0,,,17-11,,Defensive rebound by Team
5:56.0,,,17-11,,Sacramento full timeout
5:42.0,,,17-11,,D. Collison misses 2-pt shot from 14 ft
5:41.0,Defensive rebound by W. Chandler,,17-11,,
5:24.0,,,17-11,,Violation by W. Cauley-Stein (def goaltending)
5:24.0,G. Harris makes 2-pt shot from 4 ft (assist by D. Gallinari),2,19-11,,
5:09.0,,,19-13,2,K. Koufos makes 2-pt shot from 8 ft (assist by T. Evans)
4:56.0,J. Nelson misses 3-pt shot from 25 ft,,19-13,,
4:54.0,,,19-13,,Defensive rebound by K. Koufos
4:45.0,,,19-13,,K. Koufos misses 2-pt shot from 8 ft
4:44.0,Defensive rebound by D. Gallinari,,19-13,,
4:41.0,Turnover by N. Jokic (bad pass; steal by D. Collison),,19-13,,
4:29.0,,,19-13,,T. Evans misses 2-pt shot from 2 ft
4:29.0,,,19-13,,Offensive rebound by W. Cauley-Stein
4:29.0,,,19-15,2,W. Cauley-Stein makes 2-pt shot at rim
4:29.0,Denver full timeout,,19-15,,
4:29.0,W. Barton enters the game for G. Harris,,19-15,,
4:29.0,M. Plumlee enters the game for N. Jokic,,19-15,,
4:29.0,J. Murray enters the game for J. Nelson,,19-15,,
4:29.0,,,19-15,,S. Labissiere enters the game for K. Koufos
4:29.0,,,19-15,,B. Hield enters the game for B. McLemore
4:13.0,J. Murray misses 3-pt shot from 25 ft,,19-15,,
4:09.0,,,19-15,,Defensive rebound by W. Cauley-Stein
3:51.0,,,19-17,2,S. Labissiere makes 2-pt shot from 12 ft (assist by D. Collison)
3:32.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,21-17,,
3:17.0,Def 3 sec tech foul by M. Plumlee,,21-17,,
3:17.0,,,21-18,1,B. Hield makes technical free throw
3:04.0,,,21-18,,B. Hield misses 3-pt shot from 25 ft
3:04.0,,,21-18,,Offensive rebound by Team
3:04.0,,,21-18,,T. Lawson enters the game for D. Collison
2:52.0,,,21-18,,T. Lawson misses 2-pt shot from 14 ft
2:52.0,,,21-18,,Offensive rebound by Team
2:52.0,G. Harris enters the game for D. Gallinari,,21-18,,
2:51.0,Jump ball: W. Chandler vs. S. Labissiere (W. Cauley-Stein gains possession),,,,Jump ball: W. Chandler vs. S. Labissiere (W. Cauley-Stein gains possession)
2:40.0,Personal foul by W. Chandler (drawn by S. Labissiere),,21-18,,
2:31.0,,,21-20,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by T. Lawson)
2:15.0,W. Chandler makes 2-pt shot from 5 ft,2,23-20,,
2:03.0,,,23-22,2,S. Labissiere makes 2-pt shot from 17 ft
1:48.0,J. Murray misses 2-pt shot from 5 ft,,23-22,,
1:47.0,,,23-22,,Defensive rebound by T. Evans
1:44.0,,,23-22,,Shooting foul by W. Chandler (drawn by T. Evans)
1:44.0,,,23-23,1,T. Evans makes free throw 1 of 2
1:44.0,,,23-23,,T. Evans misses free throw 2 of 2
1:43.0,Defensive rebound by W. Chandler,,23-23,,
1:25.0,,,23-23,,Violation by T. Evans (kicked ball)
1:17.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,26-23,,
1:04.0,,,26-25,2,W. Cauley-Stein makes 2-pt shot from 15 ft
0:55.0,,,26-25,,Personal foul by S. Labissiere (drawn by J. Murray)
0:48.0,W. Barton misses 2-pt shot from 15 ft,,26-25,,
0:46.0,,,26-25,,Defensive rebound by B. Hield
0:34.0,,,26-27,2,B. Hield makes 2-pt shot from 5 ft (assist by S. Labissiere)
0:25.0,W. Barton misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,26-27,,
0:23.0,,,26-27,,Defensive rebound by B. Hield
0:17.0,,,26-29,2,S. Labissiere makes 2-pt shot from 7 ft (assist by T. Lawson)
0:00.0,W. Chandler misses 2-pt shot from 10 ft,,26-29,,
0:00.0,Offensive rebound by Team,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by W. Barton (bad pass; steal by S. Labissiere),,26-29,,
11:40.0,,,26-31,2,B. Hield makes 2-pt shot from 4 ft (assist by S. Labissiere)
11:30.0,D. Gallinari misses 3-pt shot from 25 ft,,26-31,,
11:29.0,,,26-31,,Defensive rebound by B. Hield
11:16.0,,,26-33,2,T. Evans makes 2-pt shot from 3 ft
11:13.0,Denver full timeout,,26-33,,
10:48.0,K. Faried makes 2-pt shot from 3 ft,2,28-33,,
10:30.0,,,28-36,3,B. Hield makes 3-pt shot from 25 ft
10:16.0,Shooting foul by T. Lawson (drawn by M. Plumlee),,28-36,,
10:16.0,M. Plumlee makes free throw 1 of 2,1,29-36,,
10:16.0,,,29-36,,Violation by B. Hield (lane)
10:16.0,M. Plumlee misses free throw 2 of 2,,29-36,,
10:16.0,,,29-36,,K. Koufos enters the game for T. Evans
10:15.0,,,29-36,,Defensive rebound by S. Labissiere
9:55.0,,,29-36,,S. Labissiere misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by W. Barton,,29-36,,
9:45.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Gallinari),3,32-36,,
9:33.0,,,32-36,,T. Lawson misses 2-pt shot from 18 ft
9:31.0,,,32-36,,Offensive rebound by S. Labissiere
9:29.0,,,32-36,,S. Labissiere misses 2-pt shot from 4 ft
9:28.0,,,32-36,,Offensive rebound by S. Labissiere
9:28.0,,,32-38,2,S. Labissiere makes 2-pt shot at rim
9:18.0,Turnover by K. Faried (offensive foul),,32-38,,
9:18.0,Offensive foul by K. Faried,,32-38,,
9:04.0,,,32-40,2,B. Hield makes 2-pt shot from 11 ft
8:54.0,K. Faried misses 2-pt shot from 3 ft,,32-40,,
8:52.0,Offensive rebound by M. Plumlee,,32-40,,
8:47.0,J. Murray misses 2-pt shot from 11 ft,,32-40,,
8:46.0,Offensive rebound by K. Faried,,32-40,,
8:45.0,K. Faried misses 2-pt shot from 3 ft (block by K. Koufos),,32-40,,
8:43.0,,,32-40,,Defensive rebound by K. Koufos
8:38.0,,,32-40,,T. Lawson misses 2-pt shot from 2 ft (block by K. Faried)
8:37.0,,,32-40,,Offensive rebound by T. Lawson
8:36.0,,,32-40,,T. Lawson misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by J. Murray,,32-40,,
8:34.0,,,32-40,,Personal foul by K. Koufos (drawn by J. Murray)
8:34.0,Official timeout,,32-40,,
8:34.0,J. Nelson enters the game for D. Gallinari,,32-40,,
8:34.0,N. Jokic enters the game for M. Plumlee,,32-40,,
8:34.0,W. Chandler enters the game for J. Murray,,32-40,,
8:34.0,,,32-40,,W. Cauley-Stein enters the game for S. Labissiere
8:23.0,W. Barton misses 3-pt shot from 25 ft,,32-40,,
8:22.0,,,32-40,,Defensive rebound by W. Cauley-Stein
8:05.0,,,32-40,,B. Hield misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by J. Nelson,,32-40,,
7:55.0,Turnover by K. Faried (offensive foul),,32-40,,
7:55.0,Offensive charge foul by K. Faried,,32-40,,
7:34.0,,,32-42,2,K. Koufos makes 2-pt shot from 6 ft
7:09.0,W. Barton makes 2-pt shot from 8 ft,2,34-42,,
7:03.0,,,34-42,,Turnover by T. Lawson (bad pass)
6:49.0,J. Nelson makes 2-pt shot from 21 ft (assist by N. Jokic),2,36-42,,
6:21.0,,,36-42,,W. Cauley-Stein misses 2-pt shot from 19 ft
6:20.0,Defensive rebound by N. Jokic,,36-42,,
6:10.0,K. Faried misses 2-pt shot from 6 ft,,36-42,,
6:09.0,,,36-42,,Defensive rebound by W. Cauley-Stein
6:02.0,,,36-42,,Sacramento full timeout
6:02.0,G. Harris enters the game for K. Faried,,36-42,,
6:02.0,,,36-42,,D. Collison enters the game for T. Lawson
6:02.0,,,36-42,,B. McLemore enters the game for B. Hield
5:51.0,,,36-42,,W. Cauley-Stein misses 2-pt shot from 5 ft
5:50.0,Defensive rebound by N. Jokic,,36-42,,
5:33.0,N. Jokic misses 2-pt shot from 9 ft,,36-42,,
5:32.0,,,36-42,,Defensive rebound by D. Collison
5:29.0,,,36-44,2,B. McLemore makes 2-pt shot at rim (assist by D. Collison)
5:09.0,Turnover by W. Barton (bad pass),,36-44,,
4:57.0,,,36-46,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by A. Tolliver)
4:47.0,N. Jokic misses 3-pt shot from 25 ft,,36-46,,
4:46.0,,,36-46,,Defensive rebound by D. Collison
4:35.0,,,36-48,2,W. Cauley-Stein makes 2-pt shot from 3 ft
4:35.0,,,36-48,,Shooting foul by N. Jokic (drawn by W. Cauley-Stein)
4:35.0,,,36-49,1,W. Cauley-Stein makes free throw 1 of 1
4:35.0,,,36-48,,T. Evans enters the game for K. Koufos
4:35.0,M. Plumlee enters the game for N. Jokic,,36-48,,
4:25.0,Offensive foul by M. Plumlee,,36-49,,
4:25.0,Turnover by M. Plumlee (offensive foul),,36-49,,
4:13.0,,,36-51,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Evans)
3:55.0,Turnover by W. Barton (traveling),,36-51,,
3:45.0,,,36-51,,Turnover by T. Evans (bad pass; steal by M. Plumlee)
3:42.0,Turnover by W. Chandler (bad pass; steal by T. Evans),,36-51,,
3:40.0,,,36-51,,Shooting foul by J. Nelson (drawn by T. Evans)
3:40.0,,,36-52,1,T. Evans makes free throw 1 of 2
3:40.0,,,36-53,1,T. Evans makes free throw 2 of 2
3:40.0,D. Gallinari enters the game for W. Barton,,36-52,,
3:30.0,Shooting foul by W. Cauley-Stein (drawn by M. Plumlee),,36-53,,
3:30.0,M. Plumlee misses free throw 1 of 2,,36-53,,
3:30.0,Offensive rebound by Team,,36-53,,
3:30.0,M. Plumlee makes free throw 2 of 2,1,37-53,,
3:16.0,,,37-53,,W. Cauley-Stein misses 2-pt shot from 6 ft
3:15.0,Defensive rebound by W. Chandler,,37-53,,
3:11.0,,,37-53,,Personal foul by T. Evans (drawn by D. Gallinari)
3:08.0,G. Harris misses 3-pt shot from 25 ft,,37-53,,
3:06.0,,,37-53,,Defensive rebound by W. Cauley-Stein
2:51.0,,,37-55,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by D. Collison)
2:31.0,W. Chandler misses 3-pt shot from 22 ft,,37-55,,
2:30.0,,,37-55,,Defensive rebound by A. Tolliver
2:22.0,,,37-55,,Sacramento full timeout
2:22.0,Denver full timeout,,37-55,,
2:13.0,,,37-55,,Turnover by T. Evans (lost ball; steal by D. Gallinari)
2:09.0,Turnover by D. Gallinari (lost ball; steal by D. Collison),,37-55,,
2:06.0,,,37-55,,Shooting foul by G. Harris (drawn by D. Collison)
2:06.0,,,37-56,1,D. Collison makes free throw 1 of 2
2:06.0,,,37-57,1,D. Collison makes free throw 2 of 2
1:54.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,40-57,,
1:34.0,,,40-57,,D. Collison misses 2-pt shot from 16 ft
1:33.0,Defensive rebound by M. Plumlee,,40-57,,
1:24.0,,,40-57,,Personal foul by B. McLemore (drawn by D. Gallinari)
1:24.0,D. Gallinari makes free throw 1 of 2,1,41-57,,
1:24.0,D. Gallinari makes free throw 2 of 2,1,42-57,,
1:24.0,W. Barton enters the game for W. Chandler,,41-57,,
1:24.0,,,41-57,,B. Hield enters the game for B. McLemore
1:10.0,,,42-57,,Turnover by T. Evans (lost ball; steal by J. Nelson)
1:00.0,G. Harris misses 2-pt shot from 8 ft,,42-57,,
0:59.0,,,42-57,,Defensive rebound by A. Tolliver
0:48.0,,,42-59,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
0:32.0,Turnover by D. Gallinari (bad pass; steal by B. Hield),,42-59,,
0:28.0,,,42-61,2,T. Evans makes 2-pt shot from 2 ft (assist by D. Collison)
0:06.0,G. Harris makes 2-pt shot from 3 ft (assist by J. Nelson),2,44-61,,
0:06.0,Violation by Team (jump ball),,44-61,,
0:01.0,,,44-61,,Turnover by D. Collison (bad pass; steal by J. Nelson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Gallinari makes 2-pt shot from 7 ft,2,46-61,,
11:18.0,,,46-63,2,T. Lawson makes 2-pt shot from 19 ft
11:18.0,,,46-63,,Loose ball foul by A. Tolliver (drawn by J. Nelson)
11:03.0,J. Nelson makes 2-pt shot from 22 ft (assist by K. Faried),2,48-63,,
10:46.0,,,48-63,,Shooting foul by D. Gallinari (drawn by B. McLemore)
10:46.0,,,48-64,1,B. McLemore makes free throw 1 of 2
10:46.0,,,48-65,1,B. McLemore makes free throw 2 of 2
10:32.0,G. Harris misses 2-pt shot from 10 ft (block by D. Collison),,48-65,,
10:31.0,,,48-65,,Defensive rebound by A. Tolliver
10:30.0,,,48-65,,Turnover by A. Tolliver (bad pass)
10:24.0,D. Gallinari makes 2-pt shot from 3 ft,2,50-65,,
10:16.0,,,50-65,,D. Collison misses 2-pt shot from 20 ft
10:14.0,Defensive rebound by K. Faried,,50-65,,
10:09.0,G. Harris misses 3-pt shot from 25 ft,,50-65,,
10:08.0,,,50-65,,Defensive rebound by K. Koufos
9:59.0,,,50-67,2,T. Lawson makes 2-pt shot from 15 ft
9:42.0,K. Faried misses 2-pt shot from 2 ft,,50-67,,
9:40.0,,,50-67,,Defensive rebound by K. Koufos
9:38.0,Technical foul by K. Faried,,50-67,,
9:38.0,,,50-68,1,D. Collison makes technical free throw
9:38.0,W. Chandler enters the game for K. Faried,,50-68,,
9:27.0,,,50-68,,A. Tolliver misses 2-pt shot from 10 ft
9:26.0,Defensive rebound by N. Jokic,,50-68,,
9:19.0,J. Nelson misses 2-pt shot from 19 ft,,50-68,,
9:18.0,,,50-68,,Defensive rebound by A. Tolliver
9:07.0,,,50-71,3,B. McLemore makes 3-pt shot from 26 ft (assist by D. Collison)
8:53.0,G. Harris makes 2-pt shot from 8 ft,2,52-71,,
8:45.0,,,52-71,,Turnover by T. Lawson (bad pass; steal by J. Nelson)
8:39.0,G. Harris makes 3-pt shot from 24 ft (assist by D. Gallinari),3,55-71,,
8:18.0,,,55-71,,T. Lawson misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by W. Chandler,,55-71,,
7:59.0,Turnover by J. Nelson (traveling),,55-71,,
7:54.0,Personal foul by N. Jokic (drawn by B. McLemore),,55-71,,
7:54.0,,,55-71,,W. Cauley-Stein enters the game for A. Tolliver
7:48.0,,,55-73,2,D. Collison makes 2-pt shot from 19 ft
7:26.0,,,55-73,,B. Hield enters the game for T. Lawson
7:23.0,W. Chandler misses 3-pt shot from 26 ft,,55-73,,
7:21.0,Offensive rebound by D. Gallinari,,55-73,,
7:21.0,,,55-73,,Personal foul by W. Cauley-Stein (drawn by D. Gallinari)
7:16.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,57-73,,
6:52.0,,,57-73,,D. Collison misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by W. Chandler,,57-73,,
6:37.0,D. Gallinari misses 3-pt shot from 23 ft,,57-73,,
6:32.0,Offensive rebound by N. Jokic,,57-73,,
6:32.0,N. Jokic makes 2-pt shot from 2 ft,2,59-73,,
6:14.0,,,59-73,,B. McLemore misses 2-pt shot from 19 ft
6:13.0,Defensive rebound by J. Nelson,,59-73,,
6:00.0,W. Chandler makes 2-pt shot from 5 ft,2,61-73,,
6:00.0,,,61-73,,Sacramento full timeout
6:00.0,W. Barton enters the game for G. Harris,,61-73,,
5:47.0,,,61-73,,W. Cauley-Stein misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by N. Jokic,,61-73,,
5:34.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Nelson),3,64-73,,
5:16.0,,,64-73,,K. Koufos misses 2-pt shot from 9 ft
5:15.0,Defensive rebound by W. Chandler,,64-73,,
5:03.0,N. Jokic misses 2-pt shot from 7 ft (block by K. Koufos),,64-73,,
5:01.0,,,64-73,,Defensive rebound by B. Hield
4:54.0,,,64-76,3,B. McLemore makes 3-pt shot from 23 ft (assist by B. Hield)
4:37.0,,,64-76,,Personal foul by B. McLemore (drawn by W. Chandler)
4:31.0,Offensive charge foul by W. Chandler,,64-76,,
4:31.0,Turnover by W. Chandler (offensive foul),,64-76,,
4:13.0,,,64-76,,B. McLemore misses 3-pt shot from 25 ft
4:10.0,,,64-76,,Offensive rebound by K. Koufos
4:06.0,,,64-76,,Turnover by B. Hield (lost ball; steal by J. Nelson)
4:01.0,W. Barton misses 2-pt shot from 1 ft,,64-76,,
4:00.0,,,64-76,,Defensive rebound by B. McLemore
4:00.0,,,64-76,,S. Labissiere enters the game for K. Koufos
3:58.0,Jump ball: W. Barton vs. B. McLemore (W. Cauley-Stein gains possession),,,,Jump ball: W. Barton vs. B. McLemore (W. Cauley-Stein gains possession)
3:50.0,,,64-78,2,D. Collison makes 2-pt shot from 3 ft
3:40.0,D. Gallinari misses 3-pt shot from 25 ft,,64-78,,
3:39.0,,,64-78,,Defensive rebound by B. Hield
3:33.0,Shooting block foul by D. Gallinari (drawn by B. Hield),,64-78,,
3:33.0,,,64-79,1,B. Hield makes free throw 1 of 2
3:33.0,,,64-80,1,B. Hield makes free throw 2 of 2
3:33.0,,,64-79,,T. Evans enters the game for B. McLemore
3:18.0,J. Nelson makes 3-pt shot from 26 ft (assist by W. Barton),3,67-80,,
3:00.0,,,67-80,,B. Hield misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by J. Nelson,,67-80,,
2:52.0,N. Jokic misses 3-pt shot from 24 ft,,67-80,,
2:51.0,,,67-80,,Defensive rebound by D. Collison
2:41.0,,,67-82,2,W. Cauley-Stein makes 2-pt shot from 6 ft (assist by D. Collison)
2:24.0,W. Chandler misses 3-pt shot from 26 ft,,67-82,,
2:22.0,Offensive rebound by N. Jokic,,67-82,,
2:18.0,N. Jokic misses 2-pt shot from 9 ft,,67-82,,
2:17.0,,,67-82,,Defensive rebound by W. Cauley-Stein
2:14.0,,,67-82,,Turnover by W. Cauley-Stein (bad pass; steal by J. Nelson)
2:07.0,W. Barton misses 2-pt shot from 8 ft,,67-82,,
2:06.0,Offensive rebound by W. Chandler,,67-82,,
2:06.0,W. Chandler misses 2-pt shot from 3 ft,,67-82,,
2:05.0,,,67-82,,Defensive rebound by D. Collison
2:04.0,Personal foul by N. Jokic (drawn by D. Collison),,67-82,,
2:04.0,Denver full timeout,,67-82,,
2:04.0,M. Plumlee enters the game for D. Gallinari,,67-82,,
2:04.0,G. Harris enters the game for N. Jokic,,67-82,,
1:41.0,Shooting block foul by J. Nelson (drawn by T. Evans),,67-82,,
1:41.0,,,67-83,1,T. Evans makes free throw 1 of 2
1:41.0,,,67-83,,T. Evans misses free throw 2 of 2
1:40.0,Defensive rebound by W. Chandler,,67-83,,
1:28.0,,,67-83,,Shooting block foul by S. Labissiere (drawn by W. Chandler)
1:28.0,W. Chandler misses free throw 1 of 2,,67-83,,
1:28.0,Offensive rebound by Team,,67-83,,
1:28.0,W. Chandler makes free throw 2 of 2,1,68-83,,
1:28.0,J. Murray enters the game for J. Nelson,,67-83,,
1:15.0,,,68-85,2,S. Labissiere makes 2-pt shot from 18 ft (assist by T. Evans)
0:57.0,W. Barton misses 3-pt shot from 25 ft,,68-85,,
0:56.0,,,68-85,,Defensive rebound by Team
0:39.0,,,68-87,2,B. Hield makes 2-pt shot from 16 ft
0:27.0,W. Barton makes 2-pt shot from 3 ft,2,70-87,,
0:07.0,,,70-87,,D. Collison misses 2-pt shot from 21 ft
0:05.0,Defensive rebound by W. Chandler,,70-87,,
0:00.0,W. Barton misses 3-pt shot from 27 ft,,70-87,,
0:00.0,Offensive rebound by Team,,70-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,70-87,,Turnover by T. Evans (traveling)
11:36.0,G. Harris misses 2-pt shot from 11 ft,,70-87,,
11:35.0,,,70-87,,Defensive rebound by W. Cauley-Stein
11:27.0,,,70-87,,Turnover by S. Labissiere (lost ball; steal by G. Harris)
11:20.0,W. Chandler makes 3-pt shot from 27 ft (assist by J. Murray),3,73-87,,
11:05.0,,,73-87,,T. Evans misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by M. Plumlee,,73-87,,
10:55.0,W. Chandler makes 2-pt shot from 7 ft,2,75-87,,
10:37.0,,,75-89,2,T. Lawson makes 2-pt shot from 14 ft
10:24.0,G. Harris misses 3-pt shot from 22 ft,,75-89,,
10:22.0,,,75-89,,Defensive rebound by T. Evans
10:13.0,,,75-89,,Shooting foul by W. Barton (drawn by S. Labissiere)
10:13.0,,,75-90,1,S. Labissiere makes free throw 1 of 2
10:13.0,,,75-91,1,S. Labissiere makes free throw 2 of 2
9:57.0,Offensive foul by M. Plumlee,,75-91,,
9:57.0,Turnover by M. Plumlee (offensive foul),,75-91,,
9:57.0,,,75-91,,A. Tolliver enters the game for S. Labissiere
9:39.0,,,75-93,2,B. Hield makes 2-pt shot from 19 ft
9:35.0,Turnover by M. Plumlee (bad pass; steal by T. Lawson),,75-93,,
9:20.0,,,75-93,,Turnover by W. Cauley-Stein (lost ball; steal by M. Plumlee)
9:16.0,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Harris),2,77-93,,
9:16.0,Shooting foul by W. Cauley-Stein (drawn by M. Plumlee),,77-93,,
9:16.0,M. Plumlee misses free throw 1 of 1,,77-93,,
9:15.0,Offensive rebound by W. Chandler,,77-93,,
9:09.0,W. Barton makes 3-pt shot from 26 ft (assist by W. Chandler),3,80-93,,
8:52.0,,,80-93,,W. Cauley-Stein misses 2-pt shot from 7 ft
8:51.0,Defensive rebound by J. Murray,,80-93,,
8:44.0,,,80-93,,Personal foul by T. Lawson (drawn by J. Murray)
8:44.0,Official timeout,,80-93,,
8:37.0,J. Murray misses 2-pt shot from 16 ft,,80-93,,
8:36.0,,,80-93,,Defensive rebound by T. Evans
8:20.0,,,80-95,2,T. Evans makes 2-pt shot from 3 ft (assist by A. Tolliver)
8:05.0,J. Murray misses 3-pt shot from 25 ft,,80-95,,
8:05.0,,,80-95,,Defensive rebound by T. Evans
7:51.0,,,80-98,3,T. Evans makes 3-pt shot from 25 ft
7:51.0,Denver full timeout,,80-98,,
7:39.0,G. Harris misses 3-pt shot from 25 ft,,80-98,,
7:38.0,,,80-98,,Defensive rebound by W. Cauley-Stein
7:23.0,,,80-98,,B. Hield misses 2-pt shot from 4 ft
7:21.0,,,80-98,,Offensive rebound by W. Cauley-Stein
7:21.0,,,80-98,,W. Cauley-Stein misses 2-pt shot from 1 ft
7:19.0,,,80-98,,Offensive rebound by W. Cauley-Stein
7:18.0,,,80-100,2,W. Cauley-Stein makes 2-pt shot from 2 ft
7:09.0,W. Barton makes 2-pt shot from 3 ft,2,82-100,,
6:47.0,,,82-102,2,W. Cauley-Stein makes 2-pt shot from 15 ft (assist by T. Lawson)
6:35.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,85-102,,
6:20.0,Shooting block foul by M. Plumlee (drawn by T. Evans),,85-102,,
6:20.0,,,85-103,1,T. Evans makes free throw 1 of 2
6:20.0,,,85-104,1,T. Evans makes free throw 2 of 2
6:20.0,D. Gallinari enters the game for W. Chandler,,85-103,,
6:20.0,N. Jokic enters the game for M. Plumlee,,85-103,,
6:05.0,G. Harris misses 2-pt shot from 3 ft,,85-104,,
6:04.0,,,85-104,,Defensive rebound by B. Hield
5:58.0,,,85-104,,A. Tolliver misses 2-pt shot at rim (block by W. Barton)
5:57.0,Defensive rebound by D. Gallinari,,85-104,,
5:49.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray),3,88-104,,
5:27.0,,,88-104,,W. Cauley-Stein misses 2-pt shot from 1 ft
5:25.0,,,88-104,,Offensive rebound by T. Lawson
5:19.0,,,88-104,,T. Evans misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by D. Gallinari,,88-104,,
5:07.0,W. Barton makes 2-pt shot from 14 ft,2,90-104,,
5:05.0,,,90-104,,Sacramento full timeout
5:05.0,J. Nelson enters the game for J. Murray,,90-104,,
5:05.0,,,90-104,,D. Collison enters the game for B. Hield
