time,Atlanta,pts.away,score,pts.home,Toronto
11:00.0,Personal foul by M. Delaney (drawn by L. Nogueira),,35-27,,
10:47.0,,,35-27,,L. Nogueira misses 2-pt shot from 4 ft
10:47.0,,,35-27,,Offensive rebound by P. Patterson
10:45.0,,,35-27,,P. Patterson misses 2-pt shot from 3 ft
10:45.0,,,35-27,,Offensive rebound by C. Joseph
10:43.0,,,35-27,,C. Joseph misses 2-pt shot from 2 ft
10:42.0,,,35-27,,Offensive rebound by C. Joseph
10:37.0,,,35-30,3,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph)
10:20.0,M. Muscala makes 2-pt shot from 17 ft (assist by T. Hardaway),2,37-30,,
9:55.0,,,37-33,3,C. Joseph makes 3-pt shot from 25 ft (assist by K. Lowry)
9:42.0,T. Hardaway makes 3-pt shot from 26 ft (assist by M. Muscala),3,40-33,,
9:25.0,,,40-33,,C. Joseph misses 2-pt shot from 9 ft
9:25.0,,,40-33,,Offensive rebound by Team
9:24.0,T. Sefolosha enters the game for K. Bazemore,,40-33,,
9:21.0,Personal foul by M. Delaney (drawn by C. Joseph),,40-33,,
9:13.0,,,40-33,,C. Joseph misses 2-pt shot from 11 ft
9:13.0,Defensive rebound by K. Korver,,40-33,,
9:00.0,T. Hardaway misses 2-pt shot from 4 ft,,40-33,,
8:59.0,,,40-33,,Defensive rebound by K. Lowry
8:53.0,,,40-33,,T. Ross misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by M. Muscala,,40-33,,
8:37.0,M. Delaney misses 2-pt shot from 20 ft,,40-33,,
8:37.0,,,40-33,,Defensive rebound by Team
8:36.0,Official timeout,,40-33,,
8:36.0,D. Howard enters the game for T. Sefolosha,,40-33,,
8:36.0,P. Millsap enters the game for M. Muscala,,40-33,,
8:24.0,,,40-35,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
8:08.0,K. Korver makes 3-pt shot from 26 ft (assist by M. Delaney),3,43-35,,
8:00.0,,,43-35,,Turnover by K. Lowry (bad pass; steal by T. Hardaway)
7:51.0,K. Korver misses 3-pt shot from 26 ft,,43-35,,
7:51.0,,,43-35,,Defensive rebound by L. Nogueira
7:43.0,,,43-37,2,K. Lowry makes 2-pt shot from 1 ft
7:32.0,,,43-37,,Personal foul by K. Lowry (drawn by P. Millsap)
7:30.0,,,43-37,,Personal foul by T. Ross (drawn by K. Korver)
7:24.0,D. Howard makes 2-pt shot at rim (assist by M. Delaney),2,45-37,,
7:00.0,,,45-39,2,C. Joseph makes 2-pt shot from 20 ft
6:40.0,Shooting foul by P. Patterson (drawn by P. Millsap),,45-39,,
6:40.0,P. Millsap misses free throw 1 of 2,,45-39,,
6:40.0,Offensive rebound by Team,,45-39,,
6:40.0,P. Millsap makes free throw 2 of 2,1,46-39,,
6:40.0,D. Schroder enters the game for M. Delaney,,45-39,,
6:40.0,,,45-39,,D. DeRozan enters the game for C. Joseph
6:40.0,T. Sefolosha enters the game for K. Korver,,45-39,,
6:24.0,,,46-39,,D. DeRozan misses 2-pt shot from 14 ft
6:23.0,Defensive rebound by D. Howard,,46-39,,
6:15.0,Turnover by T. Hardaway (bad pass; steal by D. DeRozan),,46-39,,
6:10.0,,,46-39,,D. DeRozan misses 2-pt shot at rim
6:10.0,Defensive rebound by T. Hardaway,,46-39,,
5:55.0,T. Hardaway misses 3-pt shot from 25 ft,,46-39,,
5:55.0,,,46-39,,Defensive rebound by L. Nogueira
5:47.0,,,46-41,2,T. Ross makes 2-pt shot from 4 ft (assist by D. DeRozan)
5:47.0,,,46-41,,Shooting foul by D. Howard (drawn by T. Ross)
5:47.0,,,46-41,,Toronto full timeout
5:47.0,,,46-42,1,T. Ross makes free throw 1 of 1
5:47.0,,,46-41,,J. Valanciunas enters the game for P. Patterson
5:47.0,,,46-41,,D. Carroll enters the game for L. Nogueira
5:36.0,,,46-42,,Personal foul by K. Lowry (drawn by T. Hardaway)
5:27.0,D. Schroder makes 2-pt shot from 6 ft,2,48-42,,
5:27.0,Shooting foul by D. Carroll (drawn by D. Schroder),,48-42,,
5:27.0,,,48-42,,Violation by Team (jump ball)
5:27.0,D. Schroder makes free throw 1 of 1,1,49-42,,
5:27.0,,,48-42,,N. Powell enters the game for T. Ross
5:13.0,,,49-42,,Turnover by J. Valanciunas (lost ball; steal by T. Hardaway)
5:09.0,Shooting foul by D. Carroll (drawn by P. Millsap),,49-42,,
5:09.0,P. Millsap makes free throw 1 of 2,1,50-42,,
5:09.0,P. Millsap makes free throw 2 of 2,1,51-42,,
5:09.0,,,50-42,,P. Siakam enters the game for D. Carroll
4:46.0,,,51-42,,Turnover by D. DeRozan (lost ball; steal by T. Sefolosha)
4:37.0,Shooting foul by N. Powell (drawn by D. Schroder),,51-42,,
4:37.0,D. Schroder makes free throw 1 of 2,1,52-42,,
4:37.0,D. Schroder makes free throw 2 of 2,1,53-42,,
4:28.0,,,53-45,3,K. Lowry makes 3-pt shot from 26 ft
4:05.0,P. Millsap makes 2-pt shot from 10 ft,2,55-45,,
3:55.0,,,55-45,,Shooting foul by D. Schroder (drawn by K. Lowry)
3:55.0,,,55-45,,K. Lowry misses free throw 1 of 3
3:55.0,,,55-45,,Offensive rebound by Team
3:55.0,,,55-45,,K. Lowry misses free throw 2 of 3
3:55.0,,,55-45,,Offensive rebound by Team
3:55.0,,,55-45,,K. Lowry misses free throw 3 of 3
3:55.0,K. Bazemore enters the game for T. Hardaway,,55-45,,
3:55.0,M. Delaney enters the game for D. Schroder,,55-45,,
3:54.0,Defensive rebound by T. Sefolosha,,55-45,,
3:40.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by P. Millsap),2,57-45,,
3:25.0,Def 3 sec tech foul by D. Howard,,57-45,,
3:25.0,,,57-46,1,D. DeRozan makes technical free throw
3:25.0,M. Muscala enters the game for P. Millsap,,57-46,,
3:14.0,,,57-46,,D. DeRozan misses 2-pt shot from 12 ft
3:13.0,Defensive rebound by K. Bazemore,,57-46,,
3:06.0,D. Howard makes 2-pt shot from 3 ft (assist by M. Muscala),2,59-46,,
3:06.0,Shooting foul by P. Siakam (drawn by D. Howard),,59-46,,
3:06.0,D. Howard misses free throw 1 of 1,,59-46,,
3:06.0,Offensive rebound by Team,,59-46,,
3:06.0,,,59-46,,Loose ball foul by J. Valanciunas (drawn by M. Muscala)
3:06.0,M. Muscala misses free throw 1 of 2,,59-46,,
3:06.0,Offensive rebound by Team,,59-46,,
3:06.0,M. Muscala misses free throw 2 of 2,,59-46,,
3:06.0,,,59-46,,C. Joseph enters the game for K. Lowry
3:05.0,,,59-46,,Defensive rebound by D. DeRozan
2:58.0,,,59-46,,Toronto full timeout
2:58.0,Atlanta full timeout,,59-46,,
2:58.0,,,59-46,,P. Patterson enters the game for P. Siakam
2:40.0,,,59-46,,D. DeRozan misses 2-pt shot from 21 ft
2:40.0,,,59-46,,Offensive rebound by P. Patterson
2:35.0,,,59-48,2,P. Patterson makes 2-pt shot from 11 ft
2:31.0,,,59-48,,Personal foul by J. Valanciunas (drawn by D. Howard)
2:31.0,D. Howard misses free throw 1 of 2,,59-48,,
2:31.0,Offensive rebound by Team,,59-48,,
2:31.0,D. Howard makes free throw 2 of 2,1,60-48,,
2:31.0,,,59-48,,L. Nogueira enters the game for J. Valanciunas
2:31.0,P. Millsap enters the game for M. Muscala,,59-48,,
2:11.0,,,60-48,,Turnover by D. DeRozan (traveling)
1:57.0,M. Delaney misses 3-pt shot from 24 ft,,60-48,,
1:56.0,Offensive rebound by D. Howard,,60-48,,
1:55.0,D. Howard makes 2-pt shot from 2 ft,2,62-48,,
1:55.0,Shooting foul by L. Nogueira (drawn by D. Howard),,62-48,,
1:55.0,D. Howard makes free throw 1 of 1,1,63-48,,
1:30.0,,,63-48,,D. DeRozan misses 2-pt shot from 17 ft
1:30.0,,,63-48,,Offensive rebound by Team
1:30.0,,,63-48,,Turnover by Team (shot clock)
1:30.0,,,63-48,,Technical foul by D. DeRozan
1:30.0,M. Delaney makes technical free throw,1,64-48,,
1:17.0,P. Millsap misses 3-pt shot from 24 ft,,64-48,,
1:16.0,Offensive rebound by T. Sefolosha,,64-48,,
1:15.0,T. Sefolosha misses 2-pt shot from 3 ft,,64-48,,
1:15.0,Offensive rebound by D. Howard,,64-48,,
1:15.0,Shooting foul by L. Nogueira (drawn by D. Howard),,64-48,,
1:15.0,D. Howard makes free throw 1 of 2,1,65-48,,
1:15.0,D. Howard makes free throw 2 of 2,1,66-48,,
1:15.0,M. Muscala enters the game for P. Millsap,,65-48,,
0:57.0,,,66-48,,N. Powell misses 3-pt shot from 26 ft
0:55.0,,,66-48,,Offensive rebound by Team
0:55.0,K. Humphries enters the game for D. Howard,,66-48,,
0:47.0,,,66-50,2,D. DeRozan makes 2-pt shot from 20 ft (assist by C. Joseph)
0:32.0,K. Bazemore makes 3-pt shot from 24 ft (assist by M. Muscala),3,69-50,,
0:09.0,,,69-52,2,C. Joseph makes 2-pt shot from 7 ft
0:09.0,Atlanta full timeout,,69-52,,
0:09.0,,,69-52,,T. Ross enters the game for L. Nogueira
0:09.0,K. Korver enters the game for T. Sefolosha,,69-52,,
0:09.0,T. Hardaway enters the game for K. Humphries,,69-52,,
0:01.0,K. Korver misses 3-pt shot from 24 ft,,69-52,,
0:00.0,Offensive rebound by Team,,69-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,69-54,2,D. DeRozan makes 2-pt shot from 11 ft
11:26.0,T. Hardaway misses 3-pt shot from 26 ft,,69-54,,
11:26.0,,,69-54,,Defensive rebound by D. DeRozan
11:13.0,,,69-56,2,D. DeRozan makes 2-pt shot from 5 ft
10:58.0,Turnover by T. Sefolosha (bad pass; steal by D. DeRozan),,69-56,,
10:54.0,,,69-56,,Turnover by J. Valanciunas (bad pass; steal by T. Hardaway)
10:45.0,D. Schroder misses 2-pt shot from 3 ft,,69-56,,
10:44.0,,,69-56,,Defensive rebound by J. Valanciunas
10:31.0,,,69-58,2,D. DeRozan makes 2-pt shot from 12 ft
10:30.0,Atlanta full timeout,,69-58,,
10:30.0,,,69-58,,Technical foul by Team
10:30.0,D. Schroder makes technical free throw,1,70-58,,
10:20.0,Turnover by T. Hardaway (traveling),,70-58,,
10:12.0,,,70-58,,D. DeRozan misses 2-pt shot from 16 ft (block by T. Sefolosha)
10:10.0,Defensive rebound by T. Sefolosha,,70-58,,
9:52.0,T. Hardaway misses 2-pt shot from 10 ft,,70-58,,
9:52.0,,,70-58,,Defensive rebound by J. Valanciunas
9:40.0,,,70-58,,Turnover by K. Lowry (bad pass; steal by P. Millsap)
9:39.0,,,70-58,,Personal foul by P. Patterson (drawn by P. Millsap)
9:30.0,D. Schroder makes 2-pt shot from 5 ft,2,72-58,,
9:12.0,,,72-60,2,D. DeRozan makes 2-pt shot from 21 ft (assist by K. Lowry)
9:01.0,T. Hardaway makes 2-pt shot from 3 ft (assist by D. Schroder),2,74-60,,
8:51.0,,,74-62,2,D. DeRozan makes 2-pt shot from 18 ft
8:34.0,T. Sefolosha misses 2-pt shot from 4 ft,,74-62,,
8:34.0,,,74-62,,Defensive rebound by K. Lowry
8:26.0,,,74-65,3,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan)
8:10.0,,,74-65,,Personal foul by K. Lowry (drawn by T. Hardaway)
8:03.0,T. Hardaway makes 2-pt shot from 3 ft (assist by P. Millsap),2,76-65,,
7:46.0,,,76-65,,Shooting foul by D. Howard (drawn by D. DeRozan)
7:46.0,,,76-66,1,D. DeRozan makes free throw 1 of 2
7:46.0,,,76-66,,D. DeRozan misses free throw 2 of 2
7:45.0,Defensive rebound by T. Sefolosha,,76-66,,
7:29.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,78-66,,
7:13.0,,,78-66,,Shooting foul by T. Hardaway (drawn by J. Valanciunas)
7:13.0,,,78-67,1,J. Valanciunas makes free throw 1 of 2
7:13.0,,,78-67,,J. Valanciunas misses free throw 2 of 2
7:12.0,Defensive rebound by P. Millsap,,78-67,,
6:48.0,T. Hardaway misses 2-pt shot from 6 ft,,78-67,,
6:48.0,,,78-67,,Defensive rebound by D. DeRozan
6:39.0,,,78-67,,D. Carroll misses 3-pt shot from 26 ft
6:38.0,,,78-67,,Offensive rebound by Team
6:38.0,M. Muscala enters the game for D. Howard,,78-67,,
6:36.0,Jump ball: T. Sefolosha vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: T. Sefolosha vs. J. Valanciunas (D. DeRozan gains possession)
6:29.0,,,78-67,,D. DeRozan misses 2-pt shot from 6 ft
6:29.0,Defensive rebound by T. Sefolosha,,78-67,,
6:21.0,T. Hardaway misses 2-pt shot from 1 ft (block by D. DeRozan),,78-67,,
6:20.0,Offensive rebound by T. Sefolosha,,78-67,,
6:19.0,T. Sefolosha makes 2-pt shot from 3 ft,2,80-67,,
6:10.0,,,80-67,,K. Lowry misses 2-pt shot from 5 ft (block by M. Muscala)
6:10.0,,,80-67,,Offensive rebound by Team
6:10.0,Technical foul by T. Sefolosha,,80-67,,
6:10.0,,,80-67,,D. DeRozan misses technical free throw
6:10.0,,,80-67,,Offensive rebound by Team
6:03.0,,,80-67,,Shooting foul by T. Sefolosha (drawn by D. DeRozan)
6:03.0,,,80-68,1,D. DeRozan makes free throw 1 of 2
6:03.0,,,80-69,1,D. DeRozan makes free throw 2 of 2
5:43.0,Turnover by D. Schroder (bad pass),,80-69,,
5:34.0,,,80-71,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by P. Patterson)
5:21.0,M. Muscala misses 2-pt shot from 17 ft,,80-71,,
5:21.0,Offensive rebound by P. Millsap,,80-71,,
5:07.0,D. Schroder makes 3-pt shot from 26 ft (assist by M. Muscala),3,83-71,,
4:45.0,,,83-73,2,J. Valanciunas makes 2-pt shot from 3 ft
4:34.0,Offensive charge foul by P. Millsap,,83-73,,
4:34.0,Turnover by P. Millsap (offensive foul),,83-73,,
4:34.0,K. Korver enters the game for T. Hardaway,,83-73,,
4:34.0,K. Bazemore enters the game for P. Millsap,,83-73,,
4:12.0,,,83-75,2,P. Patterson makes 2-pt shot at rim (assist by K. Lowry)
3:50.0,M. Muscala misses 3-pt shot from 25 ft,,83-75,,
3:50.0,,,83-75,,Defensive rebound by D. DeRozan
3:42.0,,,83-75,,Shooting foul by K. Bazemore (drawn by D. Carroll)
3:42.0,,,83-76,1,D. Carroll makes free throw 1 of 3
3:42.0,,,83-77,1,D. Carroll makes free throw 2 of 3
3:42.0,,,83-78,1,D. Carroll makes free throw 3 of 3
3:42.0,,,83-77,,L. Nogueira enters the game for J. Valanciunas
3:42.0,,,83-77,,C. Joseph enters the game for P. Patterson
3:42.0,,,83-77,,T. Ross enters the game for K. Lowry
3:42.0,D. Howard enters the game for D. Schroder,,83-77,,
3:42.0,M. Delaney enters the game for M. Muscala,,83-77,,
3:32.0,,,83-78,,Personal foul by L. Nogueira (drawn by D. Howard)
3:26.0,K. Bazemore misses 2-pt shot from 14 ft,,83-78,,
3:26.0,Offensive rebound by D. Howard,,83-78,,
3:21.0,K. Korver makes 3-pt shot from 26 ft (assist by D. Howard),3,86-78,,
3:12.0,,,86-78,,Toronto full timeout
3:08.0,,,86-78,,T. Ross misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by D. Howard,,86-78,,
2:50.0,K. Bazemore misses 3-pt shot from 26 ft,,86-78,,
2:50.0,Offensive rebound by Team,,86-78,,
2:50.0,,,86-78,,Loose ball foul by L. Nogueira (drawn by D. Howard)
2:37.0,Shooting foul by D. DeRozan (drawn by D. Howard),,86-78,,
2:37.0,D. Howard misses free throw 1 of 2,,86-78,,
2:37.0,Offensive rebound by Team,,86-78,,
2:37.0,D. Howard makes free throw 2 of 2,1,87-78,,
2:23.0,,,87-78,,D. DeRozan misses 2-pt shot from 11 ft
2:23.0,,,87-78,,Offensive rebound by L. Nogueira
2:21.0,,,87-78,,L. Nogueira misses 2-pt shot from 2 ft (block by T. Sefolosha)
2:20.0,,,87-78,,Offensive rebound by L. Nogueira
2:20.0,,,87-78,,Shooting foul by K. Korver (drawn by L. Nogueira)
2:20.0,,,87-79,1,L. Nogueira makes free throw 1 of 2
2:20.0,,,87-79,,L. Nogueira misses free throw 2 of 2
2:20.0,P. Millsap enters the game for T. Sefolosha,,87-79,,
2:19.0,Defensive rebound by P. Millsap,,87-79,,
2:07.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,89-79,,
1:36.0,,,89-79,,D. Carroll misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by D. Howard,,89-79,,
1:27.0,M. Delaney makes 2-pt shot from 6 ft,2,91-79,,
1:17.0,,,91-79,,Shooting foul by P. Millsap (drawn by D. Carroll)
1:17.0,,,91-79,,D. Carroll misses free throw 1 of 2
1:17.0,,,91-79,,Offensive rebound by Team
1:17.0,,,91-80,1,D. Carroll makes free throw 2 of 2
1:17.0,M. Muscala enters the game for P. Millsap,,91-79,,
1:03.0,M. Delaney makes 2-pt shot from 3 ft,2,93-80,,
0:50.0,,,93-80,,Turnover by D. DeRozan (lost ball)
0:38.0,M. Delaney misses 2-pt shot from 15 ft,,93-80,,
0:38.0,Offensive rebound by M. Muscala,,93-80,,
0:35.0,M. Muscala makes 2-pt shot from 2 ft,2,95-80,,
0:30.0,,,95-82,2,C. Joseph makes 2-pt shot from 6 ft
0:11.0,Turnover by M. Delaney (traveling),,95-82,,
0:01.0,,,95-82,,T. Ross misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by M. Delaney,,95-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,T. Hardaway misses 2-pt shot from 7 ft,,95-82,,
11:44.0,Offensive rebound by D. Howard,,95-82,,
11:43.0,D. Howard makes 2-pt shot at rim,2,97-82,,
11:25.0,,,97-84,2,C. Joseph makes 2-pt shot from 4 ft
11:10.0,K. Korver makes 3-pt shot from 25 ft (assist by M. Delaney),3,100-84,,
10:56.0,,,100-84,,P. Patterson misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by K. Bazemore,,100-84,,
10:47.0,K. Korver misses 3-pt shot from 26 ft,,100-84,,
10:47.0,,,100-84,,Defensive rebound by C. Joseph
10:42.0,Personal foul by M. Delaney (drawn by C. Joseph),,100-84,,
10:37.0,,,100-86,2,C. Joseph makes 2-pt shot at rim
10:16.0,K. Bazemore misses 2-pt shot from 5 ft,,100-86,,
10:14.0,Offensive rebound by K. Bazemore,,100-86,,
10:13.0,K. Bazemore makes 2-pt shot from 3 ft,2,102-86,,
10:04.0,,,102-86,,Shooting foul by M. Delaney (drawn by N. Powell)
10:04.0,,,102-87,1,N. Powell makes free throw 1 of 2
10:04.0,,,102-87,,N. Powell misses free throw 2 of 2
10:03.0,Defensive rebound by D. Howard,,102-87,,
9:48.0,Shooting foul by K. Lowry (drawn by K. Bazemore),,102-87,,
9:48.0,,,102-87,,Technical foul by K. Lowry (drawn by K. Bazemore)
9:48.0,K. Korver makes technical free throw,1,103-87,,
9:48.0,K. Bazemore misses free throw 1 of 2,,103-87,,
9:48.0,Offensive rebound by Team,,103-87,,
9:48.0,K. Bazemore misses free throw 2 of 2,,103-87,,
9:47.0,,,103-87,,Defensive rebound by T. Ross
9:35.0,,,103-90,3,K. Lowry makes 3-pt shot from 27 ft
9:16.0,T. Hardaway misses 3-pt shot from 26 ft,,103-90,,
9:16.0,Offensive rebound by D. Howard,,103-90,,
9:14.0,Shooting foul by C. Joseph (drawn by D. Howard),,103-90,,
9:14.0,D. Howard makes free throw 1 of 2,1,104-90,,
9:14.0,D. Howard makes free throw 2 of 2,1,105-90,,
9:02.0,,,105-92,2,K. Lowry makes 2-pt shot from 4 ft
8:45.0,Turnover by D. Howard (3 sec),,105-92,,
8:45.0,Official timeout,,105-92,,
