time,Memphis,pts.away,score,pts.home,Phoenix
1:52.0,,,27-24,,Turnover by E. Bledsoe (bad pass)
1:52.0,,,27-24,,B. Knight enters the game for E. Bledsoe
1:30.0,Turnover by Z. Randolph (lost ball; steal by P. Tucker),,27-24,,
1:25.0,,,27-26,2,P. Tucker makes 2-pt shot from 1 ft
1:08.0,Shooting foul by B. Knight (drawn by A. Harrison),,27-26,,
1:08.0,A. Harrison makes free throw 1 of 2,1,28-26,,
1:08.0,A. Harrison makes free throw 2 of 2,1,29-26,,
0:54.0,,,29-26,,Shooting foul by A. Harrison (drawn by B. Knight)
0:54.0,,,29-27,1,B. Knight makes free throw 1 of 2
0:54.0,,,29-28,1,B. Knight makes free throw 2 of 2
0:37.0,Turnover by J. Ennis (bad pass),,29-28,,
0:29.0,,,29-28,,D. Booker misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by V. Carter,,29-28,,
0:22.0,Memphis full timeout,,29-28,,
0:22.0,M. Gasol enters the game for J. Green,,29-28,,
0:22.0,M. Conley enters the game for A. Harrison,,29-28,,
0:04.0,Shooting foul by M. Chriss (drawn by M. Conley),,29-28,,
0:04.0,M. Conley makes free throw 1 of 2,1,30-28,,
0:04.0,M. Conley makes free throw 2 of 2,1,31-28,,
0:04.0,J. Green enters the game for Z. Randolph,,30-28,,
0:04.0,T. Allen enters the game for V. Carter,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,31-28,,B. Knight misses 3-pt shot from 26 ft
11:36.0,Defensive rebound by M. Conley,,31-28,,
11:24.0,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Conley),2,33-28,,
10:55.0,,,33-28,,B. Knight misses 2-pt shot from 8 ft
10:54.0,Defensive rebound by Z. Randolph,,33-28,,
10:39.0,V. Carter misses 2-pt shot from 2 ft (block by A. Len),,33-28,,
10:38.0,Offensive rebound by V. Carter,,33-28,,
