time,LA Lakers,pts.away,score,pts.home,Cleveland
2:52.0,,,20-17,,I. Shumpert enters the game for L. James
2:52.0,,,20-17,,D. Liggins enters the game for J. Smith
2:52.0,,,20-17,,R. Jefferson enters the game for K. Irving
2:52.0,L. Williams enters the game for J. Randle,,20-17,,
2:43.0,N. Young makes 3-pt shot from 27 ft (assist by B. Ingram),3,23-17,,
2:26.0,Violation by B. Ingram (def goaltending),,23-17,,
2:26.0,,,23-19,2,K. Love makes 2-pt shot from 7 ft (assist by D. Liggins)
2:15.0,Shooting foul by D. Liggins,,23-19,,
2:15.0,L. Williams makes free throw 1 of 3,1,24-19,,
2:15.0,L. Williams misses free throw 2 of 3,,24-19,,
2:15.0,Offensive rebound by Team,,24-19,,
2:15.0,L. Williams makes free throw 3 of 3,1,25-19,,
2:00.0,,,25-21,2,K. Love makes 2-pt shot from 7 ft
1:52.0,,,25-21,,Personal foul by I. Shumpert (drawn by L. Nance)
1:52.0,L. Deng enters the game for N. Young,,25-21,,
1:52.0,,,25-21,,L. James enters the game for T. Thompson
1:49.0,Shooting foul by D. Liggins (drawn by J. Clarkson),,25-21,,
1:49.0,J. Clarkson makes free throw 1 of 2,1,26-21,,
1:49.0,J. Clarkson makes free throw 2 of 2,1,27-21,,
1:33.0,,,27-21,,K. Love misses 2-pt shot from 18 ft
1:33.0,Defensive rebound by B. Ingram,,27-21,,
1:27.0,,,27-21,,Personal foul by R. Jefferson
1:27.0,L. Williams makes free throw 1 of 2,1,28-21,,
1:27.0,L. Williams makes free throw 2 of 2,1,29-21,,
1:05.0,,,29-23,2,K. Love makes 2-pt shot from 2 ft (assist by L. James)
0:53.0,B. Ingram misses 3-pt shot from 24 ft,,29-23,,
0:52.0,Offensive rebound by J. Clarkson,,29-23,,
0:40.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Williams),2,31-23,,
0:29.0,Def 3 sec tech foul by J. Clarkson,,31-23,,
0:29.0,,,31-23,,L. James misses technical free throw
0:29.0,,,31-23,,Offensive rebound by Team
0:16.0,,,31-23,,I. Shumpert misses 3-pt shot from 23 ft
0:15.0,,,31-23,,Offensive rebound by K. Love
0:01.0,,,31-26,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Clarkson misses 3-pt shot from 25 ft,,31-26,,
11:49.0,,,31-26,,Defensive rebound by K. Irving
11:36.0,,,31-28,2,I. Shumpert makes 2-pt shot at rim (assist by C. Frye)
11:36.0,,,31-28,,Shooting foul by L. Williams (drawn by I. Shumpert)
11:36.0,,,31-29,1,I. Shumpert makes free throw 1 of 1
11:14.0,L. Williams misses 3-pt shot from 26 ft,,31-29,,
11:13.0,,,31-29,,Defensive rebound by I. Shumpert
11:05.0,,,31-29,,R. Jefferson misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by J. Clarkson,,31-29,,
11:00.0,Turnover by J. Clarkson (bad pass; steal by K. Irving),,31-29,,
10:58.0,,,31-29,,L. James misses 2-pt shot at rim
10:57.0,,,31-29,,Offensive rebound by K. Irving
10:56.0,,,31-31,2,K. Irving makes 2-pt shot at rim
10:30.0,L. Deng misses 2-pt shot from 15 ft,,31-31,,
10:28.0,,,31-31,,Defensive rebound by L. James
10:20.0,,,31-31,,I. Shumpert misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by L. Deng,,31-31,,
10:06.0,L. Nance misses 2-pt shot from 18 ft,,31-31,,
10:06.0,,,31-31,,Defensive rebound by L. James
9:46.0,,,31-34,3,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Irving)
9:40.0,LA Lakers full timeout,,31-34,,
9:40.0,J. Randle enters the game for L. Deng,,31-34,,
9:19.0,J. Clarkson misses 3-pt shot from 26 ft,,31-34,,
9:19.0,,,31-34,,Defensive rebound by K. Irving
9:19.0,Personal foul by L. Nance (drawn by K. Irving),,31-34,,
9:06.0,,,31-34,,Shooting foul by N. Young (drawn by L. James)
9:06.0,,,31-35,1,L. James makes free throw 1 of 2
9:06.0,,,31-36,1,L. James makes free throw 2 of 2
8:53.0,Turnover by J. Randle (lost ball; steal by C. Frye),,31-36,,
8:47.0,,,31-38,2,R. Jefferson makes 2-pt shot at rim (assist by K. Irving)
8:38.0,J. Randle makes 2-pt shot from 3 ft,2,33-38,,
8:24.0,,,33-40,2,C. Frye makes 2-pt shot from 15 ft (assist by K. Irving)
8:15.0,J. Randle misses 2-pt shot from 3 ft (block by R. Jefferson),,33-40,,
8:14.0,Offensive rebound by J. Clarkson,,33-40,,
8:06.0,L. Williams misses 2-pt shot from 17 ft,,33-40,,
8:04.0,,,33-40,,Defensive rebound by K. Irving
7:56.0,,,33-40,,Shooting foul by L. Nance (drawn by L. James)
7:56.0,,,33-41,1,L. James makes free throw 1 of 2
7:56.0,,,33-41,,L. James misses free throw 2 of 2
7:54.0,Defensive rebound by J. Clarkson,,33-41,,
7:37.0,J. Clarkson makes 3-pt shot from 27 ft (assist by J. Randle),3,36-41,,
7:12.0,,,36-41,,L. James misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by L. Williams,,36-41,,
7:04.0,L. Williams misses 2-pt shot from 6 ft (block by L. James),,36-41,,
7:04.0,Offensive rebound by L. Williams,,36-41,,
6:56.0,N. Young makes 2-pt shot from 15 ft (assist by L. Nance),2,38-41,,
6:44.0,,,38-43,2,K. Irving makes 2-pt shot from 1 ft
6:44.0,,,38-43,,Shooting foul by L. Nance (drawn by K. Irving)
6:44.0,,,38-44,1,K. Irving makes free throw 1 of 1
6:28.0,J. Randle misses 2-pt shot from 7 ft,,38-44,,
6:26.0,,,38-44,,Defensive rebound by L. James
6:09.0,,,38-44,,I. Shumpert misses 3-pt shot from 26 ft
6:09.0,,,38-44,,Offensive rebound by L. James
6:02.0,,,38-47,3,C. Frye makes 3-pt shot from 26 ft (assist by L. James)
5:56.0,Shooting foul by C. Frye,,38-47,,
5:56.0,Official timeout,,38-47,,
5:56.0,L. Williams misses free throw 1 of 2,,38-47,,
5:56.0,Offensive rebound by Team,,38-47,,
5:56.0,L. Williams makes free throw 2 of 2,1,39-47,,
5:56.0,B. Ingram enters the game for J. Clarkson,,38-47,,
5:56.0,L. Deng enters the game for L. Nance,,38-47,,
5:45.0,,,39-47,,Turnover by K. Irving (bad pass; steal by L. Deng)
5:34.0,Shooting foul by I. Shumpert,,39-47,,
5:34.0,L. Williams makes free throw 1 of 3,1,40-47,,
5:34.0,L. Williams makes free throw 2 of 3,1,41-47,,
5:34.0,L. Williams makes free throw 3 of 3,1,42-47,,
5:21.0,,,42-47,,K. Irving misses 2-pt shot from 16 ft
5:19.0,Defensive rebound by B. Ingram,,42-47,,
5:13.0,N. Young makes 3-pt shot from 28 ft (assist by B. Ingram),3,45-47,,
5:06.0,Personal block foul by N. Young (drawn by K. Irving),,45-47,,
5:06.0,,,45-48,1,K. Irving makes free throw 1 of 2
5:06.0,,,45-49,1,K. Irving makes free throw 2 of 2
5:06.0,,,45-48,,K. Love enters the game for L. James
5:06.0,,,45-48,,J. Smith enters the game for R. Jefferson
5:06.0,,,45-48,,T. Thompson enters the game for C. Frye
4:49.0,L. Deng misses 3-pt shot from 23 ft,,45-49,,
4:49.0,,,45-49,,Defensive rebound by K. Love
4:28.0,,,45-51,2,K. Irving makes 2-pt shot from 1 ft
4:00.0,J. Randle misses 2-pt shot from 9 ft,,45-51,,
3:59.0,,,45-51,,Defensive rebound by K. Love
3:52.0,,,45-54,3,K. Irving makes 3-pt shot from 27 ft
3:52.0,LA Lakers full timeout,,45-54,,
3:52.0,J. Clarkson enters the game for L. Williams,,45-54,,
3:30.0,N. Young misses 3-pt shot from 26 ft,,45-54,,
3:30.0,Offensive rebound by B. Ingram,,45-54,,
3:09.0,J. Randle makes 2-pt shot from 14 ft,2,47-54,,
2:57.0,,,47-54,,K. Irving misses 3-pt shot from 27 ft
2:57.0,Defensive rebound by L. Deng,,47-54,,
2:49.0,N. Young makes 3-pt shot from 25 ft (assist by B. Ingram),3,50-54,,
2:48.0,,,50-54,,Cleveland full timeout
2:36.0,,,50-54,,K. Love misses 2-pt shot from 11 ft
2:34.0,Defensive rebound by B. Ingram,,50-54,,
2:22.0,Turnover by L. Deng (lost ball; steal by J. Smith),,50-54,,
2:15.0,,,50-57,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
1:55.0,L. Deng makes 3-pt shot from 26 ft (assist by B. Ingram),3,53-57,,
1:35.0,,,53-60,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
1:13.0,N. Young misses 3-pt shot from 25 ft,,53-60,,
1:13.0,,,53-60,,Defensive rebound by J. Smith
1:06.0,,,53-60,,J. Smith misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by L. Deng,,53-60,,
0:59.0,J. Randle makes 2-pt shot from 1 ft (assist by L. Deng),2,55-60,,
0:40.0,,,55-60,,I. Shumpert misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by L. Deng,,55-60,,
0:31.0,J. Randle makes 2-pt shot from 9 ft (assist by N. Young),2,57-60,,
0:06.0,,,57-60,,K. Irving misses 2-pt shot from 11 ft
0:06.0,,,57-60,,Offensive rebound by K. Love
0:06.0,,,57-62,2,K. Love makes 2-pt shot from 1 ft
0:00.0,J. Clarkson makes 2-pt shot from 1 ft,2,59-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by J. Randle (bad pass; steal by K. Irving),,59-62,,
11:38.0,Violation by L. Deng (kicked ball),,59-62,,
11:30.0,,,59-62,,L. James misses 2-pt shot from 16 ft
11:30.0,Defensive rebound by J. Randle,,59-62,,
11:17.0,Turnover by B. Ingram (bad pass; steal by K. Irving),,59-62,,
11:01.0,,,59-65,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
10:42.0,Turnover by J. Randle (3 sec),,59-65,,
10:30.0,,,59-68,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:06.0,N. Young makes 3-pt shot from 25 ft (assist by J. Randle),3,62-68,,
9:42.0,,,62-71,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
9:28.0,T. Mozgov misses 2-pt shot from 3 ft (block by L. James),,62-71,,
9:27.0,,,62-71,,Defensive rebound by L. James
9:23.0,,,62-71,,L. James misses 2-pt shot from 3 ft
9:21.0,,,62-71,,Offensive rebound by T. Thompson
9:21.0,,,62-71,,T. Thompson misses 2-pt shot at rim
9:20.0,,,62-71,,Offensive rebound by T. Thompson
9:20.0,,,62-73,2,T. Thompson makes 2-pt shot from 2 ft
9:20.0,LA Lakers full timeout,,62-73,,
9:07.0,T. Mozgov misses 2-pt shot at rim,,62-73,,
9:06.0,Offensive rebound by L. Deng,,62-73,,
9:03.0,L. Deng makes 3-pt shot from 23 ft,3,65-73,,
8:49.0,,,65-73,,Turnover by L. James (offensive foul)
8:49.0,,,65-73,,Offensive charge foul by L. James
8:30.0,J. Randle misses 2-pt shot from 10 ft,,65-73,,
8:28.0,,,65-73,,Defensive rebound by K. Love
8:10.0,,,65-73,,K. Love misses 2-pt shot from 15 ft
8:09.0,Defensive rebound by T. Mozgov,,65-73,,
7:56.0,N. Young makes 3-pt shot from 26 ft (assist by J. Randle),3,68-73,,
7:35.0,,,68-75,2,L. James makes 2-pt shot at rim
7:17.0,L. Deng misses 3-pt shot from 25 ft,,68-75,,
7:17.0,,,68-75,,Defensive rebound by K. Love
6:54.0,,,68-75,,T. Thompson misses 2-pt shot from 7 ft
6:54.0,,,68-75,,Offensive rebound by Team
6:54.0,Loose ball foul by N. Young (drawn by K. Love),,68-75,,
6:40.0,,,68-75,,T. Thompson misses 2-pt shot from 9 ft
6:39.0,Defensive rebound by J. Randle,,68-75,,
6:21.0,T. Mozgov misses 2-pt shot at rim,,68-75,,
6:21.0,Offensive rebound by Team,,68-75,,
6:16.0,N. Young makes 2-pt shot from 1 ft (assist by B. Ingram),2,70-75,,
5:54.0,,,70-78,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
5:32.0,Turnover by J. Randle (lost ball; steal by K. Love),,70-78,,
5:24.0,,,70-78,,Shooting foul by T. Mozgov (drawn by L. James)
5:24.0,,,70-79,1,L. James makes free throw 1 of 2
5:24.0,,,70-79,,L. James misses free throw 2 of 2
5:23.0,Defensive rebound by L. Deng,,70-79,,
5:03.0,B. Ingram makes 2-pt shot from 18 ft (assist by J. Randle),2,72-79,,
4:49.0,,,72-79,,K. Irving misses 2-pt shot from 20 ft
4:48.0,Defensive rebound by N. Young,,72-79,,
4:41.0,T. Mozgov misses 2-pt shot from 8 ft,,72-79,,
4:38.0,,,72-79,,Defensive rebound by T. Thompson
4:31.0,Personal foul by N. Young (drawn by T. Thompson),,72-79,,
4:31.0,J. Clarkson enters the game for L. Deng,,72-79,,
4:31.0,L. Nance enters the game for T. Mozgov,,72-79,,
4:25.0,,,72-79,,Turnover by K. Irving (bad pass; steal by N. Young)
4:21.0,J. Randle misses 2-pt shot from 1 ft,,72-79,,
4:19.0,,,72-79,,Defensive rebound by K. Love
3:59.0,,,72-81,2,L. James makes 2-pt shot at rim (assist by K. Irving)
3:41.0,J. Clarkson makes 3-pt shot from 26 ft (assist by B. Ingram),3,75-81,,
3:31.0,,,75-83,2,K. Love makes 2-pt shot from 10 ft (assist by K. Irving)
3:31.0,,,75-83,,Shooting foul by N. Young (drawn by K. Love)
3:31.0,,,75-84,1,K. Love makes free throw 1 of 1
3:31.0,L. Williams enters the game for N. Young,,75-83,,
3:04.0,L. Williams misses 3-pt shot from 23 ft,,75-84,,
3:03.0,,,75-84,,Defensive rebound by T. Thompson
2:48.0,,,75-87,3,K. Irving makes 3-pt shot from 26 ft (assist by K. Love)
2:27.0,J. Clarkson makes 3-pt shot from 23 ft (assist by J. Randle),3,78-87,,
2:19.0,,,78-87,,Cleveland full timeout
2:19.0,,,78-87,,I. Shumpert enters the game for L. James
2:19.0,L. Deng enters the game for J. Randle,,78-87,,
2:00.0,,,78-87,,K. Love misses 2-pt shot from 5 ft
1:59.0,Defensive rebound by B. Ingram,,78-87,,
1:37.0,Turnover by Team (shot clock),,78-87,,
1:16.0,,,78-87,,K. Irving misses 3-pt shot from 27 ft
1:16.0,Defensive rebound by B. Ingram,,78-87,,
1:03.0,B. Ingram makes 3-pt shot from 25 ft (assist by L. Nance),3,81-87,,
0:43.0,,,81-87,,K. Love misses 2-pt shot from 6 ft
0:43.0,Defensive rebound by Team,,81-87,,
0:33.0,L. Williams misses 2-pt shot from 15 ft,,81-87,,
0:33.0,,,81-87,,Defensive rebound by K. Love
0:25.0,,,81-89,2,K. Irving makes 2-pt shot at rim
0:06.0,,,81-89,,D. Liggins enters the game for K. Love
0:03.0,L. Deng makes 2-pt shot from 18 ft (assist by B. Ingram),2,83-89,,
0:00.0,,,83-89,,K. Irving misses 3-pt shot from 26 ft
0:00.0,,,83-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,83-89,,R. Jefferson misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by L. Nance,,83-89,,
11:34.0,Turnover by B. Ingram (bad pass),,83-89,,
11:20.0,,,83-92,3,C. Frye makes 3-pt shot from 24 ft (assist by L. James)
11:01.0,L. Deng makes 3-pt shot from 24 ft (assist by L. Nance),3,86-92,,
10:46.0,Personal foul by J. Clarkson (drawn by D. Liggins),,86-92,,
10:37.0,,,86-95,3,L. James makes 3-pt shot from 26 ft (assist by C. Frye)
10:21.0,LA Lakers full timeout,,86-95,,
10:10.0,L. Williams misses 3-pt shot from 26 ft,,86-95,,
10:10.0,,,86-95,,Defensive rebound by D. Liggins
9:57.0,,,86-95,,L. James misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by L. Nance,,86-95,,
9:42.0,L. Deng misses 3-pt shot from 23 ft,,86-95,,
9:42.0,,,86-95,,Defensive rebound by Team
9:31.0,,,86-95,,Turnover by I. Shumpert (step out of bounds)
9:17.0,J. Clarkson makes 2-pt shot from 16 ft,2,88-95,,
8:55.0,,,88-97,2,L. James makes 2-pt shot from 1 ft
8:49.0,,,88-97,,Personal foul by I. Shumpert
8:38.0,L. Williams makes 2-pt shot from 5 ft,2,90-97,,
8:26.0,,,90-97,,L. James misses 2-pt shot from 3 ft (block by L. Nance)
8:25.0,Defensive rebound by J. Clarkson,,90-97,,
8:25.0,,,90-97,,Personal foul by R. Jefferson (drawn by J. Clarkson)
8:19.0,J. Clarkson misses 2-pt shot from 1 ft,,90-97,,
8:18.0,Offensive rebound by L. Deng,,90-97,,
8:15.0,L. Deng makes 2-pt shot at rim,2,92-97,,
7:59.0,,,92-99,2,I. Shumpert makes 2-pt shot from 19 ft (assist by L. James)
7:34.0,B. Ingram misses 3-pt shot from 24 ft,,92-99,,
7:33.0,,,92-99,,Defensive rebound by L. James
7:20.0,,,92-101,2,L. James makes 2-pt shot at rim
7:18.0,LA Lakers full timeout,,92-101,,
7:08.0,N. Young enters the game for B. Ingram,,92-101,,
7:00.0,L. Nance makes 2-pt shot from 19 ft (assist by L. Williams),2,94-101,,
6:36.0,,,94-101,,L. James misses 3-pt shot from 24 ft
6:35.0,,,94-101,,Offensive rebound by I. Shumpert
6:29.0,Personal foul by J. Clarkson (drawn by C. Frye),,94-101,,
6:16.0,,,94-101,,I. Shumpert misses 3-pt shot from 26 ft
6:15.0,,,94-101,,Offensive rebound by R. Jefferson
6:12.0,,,94-103,2,R. Jefferson makes 2-pt shot from 1 ft
6:01.0,L. Williams makes 2-pt shot at rim,2,96-103,,
6:00.0,,,96-103,,Shooting foul by J. Clarkson (drawn by L. James)
6:00.0,,,96-103,,L. James misses free throw 1 of 2
6:00.0,,,96-103,,Offensive rebound by Team
6:00.0,,,96-104,1,L. James makes free throw 2 of 2
6:00.0,B. Ingram enters the game for L. Deng,,96-103,,
6:00.0,,,96-103,,K. Irving enters the game for D. Liggins
5:44.0,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Williams),3,99-104,,
5:22.0,,,99-106,2,K. Irving makes 2-pt shot from 17 ft (assist by I. Shumpert)
5:07.0,J. Clarkson misses 2-pt shot from 18 ft,,99-106,,
5:05.0,,,99-106,,Defensive rebound by I. Shumpert
4:57.0,,,99-106,,R. Jefferson misses 2-pt shot from 7 ft (block by L. Williams)
4:57.0,Defensive rebound by L. Williams,,99-106,,
4:50.0,N. Young makes 3-pt shot from 25 ft (assist by B. Ingram),3,102-106,,
4:49.0,,,102-106,,Cleveland full timeout
4:49.0,,,102-106,,K. Love enters the game for C. Frye
4:36.0,,,102-108,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:26.0,Turnover by J. Clarkson (bad pass; steal by L. James),,102-108,,
4:17.0,,,102-108,,K. Love misses 3-pt shot from 26 ft
4:16.0,Defensive rebound by B. Ingram,,102-108,,
4:16.0,,,102-108,,J. Smith enters the game for R. Jefferson
4:04.0,N. Young misses 3-pt shot from 23 ft,,102-108,,
4:03.0,Offensive rebound by B. Ingram,,102-108,,
3:56.0,N. Young makes 3-pt shot from 24 ft (assist by J. Clarkson),3,105-108,,
3:34.0,,,105-108,,Shooting foul by B. Ingram (drawn by K. Love)
3:34.0,,,105-109,1,K. Love makes free throw 1 of 2
3:34.0,,,105-109,,K. Love misses free throw 2 of 2
3:33.0,Defensive rebound by L. Nance,,105-109,,
3:24.0,,,105-109,,Personal foul by I. Shumpert
3:07.0,L. Williams misses 2-pt shot from 6 ft,,105-109,,
3:06.0,,,105-109,,Defensive rebound by L. James
3:04.0,,,105-109,,Shooting foul by L. Nance (drawn by L. James)
3:04.0,,,105-109,,L. James misses free throw 1 of 2
3:04.0,,,105-109,,Offensive rebound by Team
3:04.0,,,105-110,1,L. James makes free throw 2 of 2
2:39.0,N. Young misses 3-pt shot from 25 ft,,105-110,,
2:38.0,,,105-110,,Defensive rebound by K. Love
2:32.0,,,105-113,3,L. James makes 3-pt shot from 25 ft (assist by K. Love)
2:32.0,LA Lakers full timeout,,105-113,,
2:14.0,L. Nance misses 2-pt shot from 17 ft,,105-113,,
2:14.0,,,105-113,,Defensive rebound by K. Irving
1:51.0,,,105-113,,L. James misses 2-pt shot from 22 ft
1:50.0,,,105-113,,Offensive rebound by I. Shumpert
1:50.0,,,105-113,,I. Shumpert misses 2-pt shot at rim
1:48.0,,,105-113,,Offensive rebound by K. Love
1:47.0,,,105-115,2,K. Love makes 2-pt shot at rim
1:38.0,,,105-115,,Personal foul by K. Love (drawn by N. Young)
1:29.0,J. Clarkson misses 3-pt shot from 26 ft,,105-115,,
1:29.0,,,105-115,,Defensive rebound by K. Love
1:07.0,,,105-117,2,L. James makes 2-pt shot from 1 ft
0:49.0,L. Williams misses 3-pt shot from 28 ft,,105-117,,
0:48.0,Offensive rebound by L. Nance,,105-117,,
0:44.0,B. Ingram misses 3-pt shot from 26 ft,,105-117,,
0:44.0,,,105-117,,Defensive rebound by K. Love
0:40.0,,,105-117,,Turnover by K. Love (lost ball)
0:40.0,,,105-117,,D. Liggins enters the game for L. James
0:40.0,,,105-117,,R. Jefferson enters the game for K. Love
0:40.0,,,105-117,,J. McRae enters the game for K. Irving
0:38.0,N. Young makes 3-pt shot from 23 ft (assist by L. Williams),3,108-117,,
0:22.0,,,108-119,2,R. Jefferson makes 2-pt shot at rim
0:16.0,B. Ingram misses 3-pt shot from 26 ft,,108-119,,
0:15.0,,,108-119,,Defensive rebound by R. Jefferson
0:00.0,End of 4th quarter,,,,End of 4th quarter
