time,Miami,pts.away,score,pts.home,Phoenix
4:30.0,G. Dragic misses 2-pt shot from 14 ft (block by E. Bledsoe),,42-45,,
4:28.0,,,42-45,,Defensive rebound by M. Chriss
4:19.0,,,42-45,,Offensive foul by D. Booker
4:19.0,,,42-45,,Turnover by D. Booker (offensive foul)
3:57.0,L. Babbitt misses 3-pt shot from 24 ft,,42-45,,
3:56.0,Offensive rebound by U. Haslem,,42-45,,
3:43.0,L. Babbitt misses 2-pt shot from 18 ft,,42-45,,
3:41.0,,,42-45,,Defensive rebound by T. Chandler
3:34.0,,,42-45,,Offensive foul by E. Bledsoe
3:34.0,,,42-45,,Turnover by E. Bledsoe (offensive foul)
3:34.0,,,42-45,,T. Warren enters the game for P. Tucker
3:22.0,L. Babbitt misses 3-pt shot from 25 ft,,42-45,,
3:20.0,,,42-45,,Defensive rebound by T. Chandler
3:13.0,,,42-45,,Shooting foul by W. Ellington (drawn by D. Booker)
3:13.0,,,42-46,1,D. Booker makes free throw 1 of 2
3:13.0,,,42-46,,D. Booker misses free throw 2 of 2
3:12.0,Defensive rebound by L. Babbitt,,42-46,,
3:00.0,U. Haslem makes 2-pt shot from 1 ft (assist by G. Dragic),2,44-46,,
3:00.0,Shooting foul by M. Chriss (drawn by U. Haslem),,44-46,,
3:00.0,U. Haslem makes free throw 1 of 1,1,45-46,,
2:51.0,Personal foul by G. Dragic (drawn by E. Bledsoe),,45-46,,
2:51.0,Official timeout,,45-46,,
2:51.0,,,45-47,1,E. Bledsoe makes free throw 1 of 2
2:51.0,,,45-48,1,E. Bledsoe makes free throw 2 of 2
2:36.0,G. Dragic makes 2-pt shot from 16 ft,2,47-48,,
2:17.0,,,47-48,,T. Chandler misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by L. Babbitt,,47-48,,
2:09.0,W. Ellington misses 2-pt shot from 12 ft (block by T. Warren),,47-48,,
2:08.0,,,47-48,,Defensive rebound by T. Chandler
2:04.0,,,47-48,,Shooting foul by U. Haslem (drawn by D. Booker)
2:04.0,,,47-49,1,D. Booker makes free throw 1 of 2
2:04.0,,,47-50,1,D. Booker makes free throw 2 of 2
2:04.0,D. Williams enters the game for L. Babbitt,,47-49,,
1:54.0,Offensive foul by G. Dragic,,47-50,,
1:54.0,Turnover by G. Dragic (offensive foul),,47-50,,
1:37.0,,,47-50,,D. Booker misses 3-pt shot from 24 ft
1:35.0,,,47-50,,Offensive rebound by M. Chriss
1:35.0,,,47-52,2,M. Chriss makes 2-pt shot at rim
1:09.0,J. Richardson misses 2-pt shot from 6 ft (block by T. Chandler),,47-52,,
1:09.0,Offensive rebound by Team,,47-52,,
1:09.0,Miami full timeout,,47-52,,
1:09.0,W. Reed enters the game for U. Haslem,,47-52,,
1:09.0,Turnover by Team (shot clock),,47-52,,
1:00.0,,,47-52,,Turnover by E. Bledsoe (bad pass; steal by W. Ellington)
1:00.0,,,47-52,,Personal foul by M. Chriss (drawn by W. Ellington)
1:00.0,,,47-52,,P. Tucker enters the game for M. Chriss
0:37.0,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic),3,50-52,,
0:30.0,,,50-54,2,D. Booker makes 2-pt shot from 2 ft
0:09.0,G. Dragic makes 2-pt shot from 6 ft,2,52-54,,
0:04.0,,,52-54,,Shooting foul by G. Dragic (drawn by E. Bledsoe)
0:04.0,,,52-55,1,E. Bledsoe makes free throw 1 of 2
0:04.0,,,52-56,1,E. Bledsoe makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-56,,M. Chriss misses 3-pt shot from 23 ft
11:42.0,Defensive rebound by R. McGruder,,52-56,,
11:36.0,R. McGruder misses 3-pt shot from 25 ft,,52-56,,
11:33.0,Offensive rebound by W. Reed,,52-56,,
11:21.0,Turnover by J. Richardson (bad pass; steal by E. Bledsoe),,52-56,,
11:15.0,,,52-58,2,M. Chriss makes 2-pt shot from 8 ft (assist by D. Booker)
10:49.0,J. Richardson misses 3-pt shot from 25 ft,,52-58,,
10:47.0,,,52-58,,Defensive rebound by M. Chriss
10:42.0,,,52-58,,D. Booker misses 2-pt shot from 23 ft
10:38.0,,,52-58,,Offensive rebound by T. Chandler
10:31.0,,,52-58,,E. Bledsoe misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by W. Reed,,52-58,,
10:23.0,Turnover by G. Dragic (lost ball; steal by M. Chriss),,52-58,,
10:13.0,,,52-58,,E. Bledsoe misses 2-pt shot from 2 ft
10:11.0,,,52-58,,Offensive rebound by T. Chandler
10:11.0,,,52-60,2,T. Chandler makes 2-pt shot from 2 ft
9:47.0,L. Babbitt misses 3-pt shot from 25 ft,,52-60,,
9:45.0,Offensive rebound by W. Reed,,52-60,,
9:42.0,L. Babbitt makes 3-pt shot from 24 ft (assist by W. Reed),3,55-60,,
9:22.0,,,55-63,3,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker)
9:04.0,G. Dragic misses 2-pt shot from 19 ft,,55-63,,
9:00.0,,,55-63,,Defensive rebound by T. Chandler
8:58.0,,,55-65,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
8:58.0,Miami full timeout,,55-65,,
8:46.0,,,55-65,,Personal foul by T. Chandler (drawn by W. Reed)
8:36.0,L. Babbitt misses 2-pt shot from 8 ft,,55-65,,
8:34.0,,,55-65,,Defensive rebound by T. Chandler
8:11.0,,,55-65,,E. Bledsoe misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by W. Reed,,55-65,,
8:02.0,G. Dragic misses 2-pt shot from 1 ft,,55-65,,
7:59.0,,,55-65,,Defensive rebound by T. Chandler
7:54.0,,,55-67,2,D. Booker makes 2-pt shot from 17 ft
7:30.0,J. Richardson makes 2-pt shot from 16 ft,2,57-67,,
7:24.0,Personal block foul by G. Dragic (drawn by D. Booker),,57-67,,
7:24.0,,,57-68,1,D. Booker makes free throw 1 of 2
7:24.0,,,57-69,1,D. Booker makes free throw 2 of 2
7:24.0,D. Williams enters the game for L. Babbitt,,57-68,,
7:24.0,W. Ellington enters the game for G. Dragic,,57-68,,
7:11.0,,,57-69,,Personal foul by T. Warren
7:02.0,J. Richardson misses 3-pt shot from 25 ft,,57-69,,
7:00.0,,,57-69,,Defensive rebound by M. Chriss
6:44.0,Personal block foul by R. McGruder,,57-69,,
6:38.0,,,57-69,,D. Booker misses 2-pt shot from 2 ft (block by W. Reed)
6:35.0,Defensive rebound by W. Ellington,,57-69,,
6:21.0,Turnover by W. Reed (bad pass),,57-69,,
6:00.0,,,57-69,,T. Warren misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by D. Williams,,57-69,,
5:53.0,Shooting foul by T. Chandler (drawn by D. Williams),,57-69,,
5:53.0,D. Williams makes free throw 1 of 2,1,58-69,,
5:53.0,D. Williams makes free throw 2 of 2,1,59-69,,
5:38.0,,,59-71,2,E. Bledsoe makes 2-pt shot from 1 ft
5:19.0,W. Reed makes 2-pt shot from 9 ft (assist by J. Richardson),2,61-71,,
5:02.0,,,61-71,,E. Bledsoe misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by W. Reed,,61-71,,
4:46.0,W. Ellington misses 2-pt shot from 22 ft,,61-71,,
4:44.0,,,61-71,,Defensive rebound by T. Chandler
4:40.0,,,61-73,2,D. Booker makes 2-pt shot from 1 ft
4:40.0,,,61-73,,Shooting foul by D. Williams (drawn by D. Booker)
4:40.0,,,61-74,1,D. Booker makes free throw 1 of 1
4:40.0,U. Haslem enters the game for W. Reed,,61-73,,
4:40.0,,,61-73,,A. Len enters the game for T. Chandler
4:40.0,,,61-73,,P. Tucker enters the game for T. Warren
4:17.0,R. McGruder misses 2-pt shot from 20 ft,,61-74,,
4:14.0,,,61-74,,Defensive rebound by E. Bledsoe
4:08.0,,,61-76,2,E. Bledsoe makes 2-pt shot from 16 ft
3:45.0,W. Ellington misses 3-pt shot from 25 ft,,61-76,,
3:42.0,,,61-76,,Defensive rebound by E. Bledsoe
3:37.0,,,61-76,,E. Bledsoe misses 2-pt shot from 2 ft
3:33.0,,,61-76,,Offensive rebound by P. Tucker
3:14.0,,,61-76,,Turnover by M. Chriss (lost ball)
3:01.0,D. Williams misses 2-pt shot from 19 ft,,61-76,,
3:01.0,Offensive rebound by Team,,61-76,,
3:01.0,,,61-76,,Loose ball foul by M. Chriss (drawn by U. Haslem)
3:01.0,,,61-76,,Technical foul by M. Chriss (drawn by U. Haslem)
3:01.0,W. Ellington makes technical free throw,1,62-76,,
3:01.0,,,62-76,,D. Bender enters the game for M. Chriss
2:52.0,D. Williams misses 2-pt shot at rim (block by A. Len),,62-76,,
2:50.0,,,62-76,,Defensive rebound by A. Len
2:43.0,,,62-76,,D. Booker misses 3-pt shot from 25 ft
2:41.0,,,62-76,,Offensive rebound by A. Len
2:36.0,,,62-76,,E. Bledsoe misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by U. Haslem,,62-76,,
2:20.0,R. McGruder misses 2-pt shot from 15 ft,,62-76,,
2:18.0,,,62-76,,Defensive rebound by D. Booker
1:59.0,,,62-79,3,D. Booker makes 3-pt shot from 28 ft (assist by E. Bledsoe)
1:46.0,J. Richardson misses 2-pt shot from 20 ft,,62-79,,
1:43.0,Offensive rebound by D. Williams,,62-79,,
1:43.0,D. Williams misses 2-pt shot from 2 ft,,62-79,,
1:40.0,,,62-79,,Defensive rebound by A. Len
1:35.0,,,62-79,,Offensive foul by D. Booker
1:35.0,,,62-79,,Turnover by D. Booker (offensive foul)
1:35.0,,,62-79,,Phoenix full timeout
1:35.0,,,62-79,,T. Ulis enters the game for E. Bledsoe
1:35.0,G. Dragic enters the game for R. McGruder,,62-79,,
1:35.0,L. Babbitt enters the game for J. Richardson,,62-79,,
1:17.0,W. Ellington makes 2-pt shot from 17 ft (assist by U. Haslem),2,64-79,,
1:04.0,,,64-81,2,A. Len makes 2-pt shot at rim (assist by D. Bender)
0:41.0,D. Williams misses 3-pt shot from 23 ft,,64-81,,
0:39.0,,,64-81,,Defensive rebound by P. Tucker
0:21.0,,,64-81,,D. Bender misses 3-pt shot from 25 ft
0:19.0,,,64-81,,Offensive rebound by P. Tucker
0:18.0,,,64-83,2,P. Tucker makes 2-pt shot from 3 ft
0:01.0,Shooting foul by T. Ulis (drawn by G. Dragic),,64-83,,
0:01.0,G. Dragic makes free throw 1 of 2,1,65-83,,
0:01.0,G. Dragic makes free throw 2 of 2,1,66-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,L. Babbitt misses 2-pt shot from 2 ft (block by A. Len),,66-83,,
11:43.0,Offensive rebound by U. Haslem,,66-83,,
11:40.0,,,66-83,,Personal foul by L. Barbosa (drawn by D. Williams)
11:31.0,Shooting foul by L. Barbosa (drawn by D. Williams),,66-83,,
11:31.0,D. Williams misses free throw 1 of 2,,66-83,,
11:31.0,Offensive rebound by Team,,66-83,,
11:31.0,D. Williams makes free throw 2 of 2,1,67-83,,
11:15.0,,,67-83,,Turnover by A. Len (bad pass)
11:01.0,W. Ellington makes 2-pt shot from 15 ft (assist by G. Dragic),2,69-83,,
10:39.0,,,69-85,2,T. Ulis makes 2-pt shot from 8 ft
10:19.0,G. Dragic misses 2-pt shot from 15 ft,,69-85,,
10:17.0,,,69-85,,Defensive rebound by A. Len
10:01.0,,,69-85,,Turnover by A. Len (lost ball; steal by U. Haslem)
10:00.0,,,69-85,,Flagrant foul type 1 by T. Ulis (drawn by L. Babbitt)
10:00.0,L. Babbitt misses flagrant free throw 1 of 2,,69-85,,
10:00.0,Offensive rebound by Team,,69-85,,
10:00.0,L. Babbitt misses flagrant free throw 2 of 2,,69-85,,
10:00.0,Offensive rebound by Team,,69-85,,
10:00.0,W. Reed enters the game for U. Haslem,,69-85,,
9:57.0,Turnover by G. Dragic (traveling),,69-85,,
9:46.0,,,69-85,,A. Len misses 2-pt shot from 1 ft (block by W. Reed)
9:41.0,Defensive rebound by W. Reed,,69-85,,
9:37.0,,,69-85,,Personal foul by A. Len (drawn by W. Reed)
9:37.0,R. McGruder enters the game for L. Babbitt,,69-85,,
9:32.0,Offensive foul by W. Ellington,,69-85,,
9:32.0,Turnover by W. Ellington (offensive foul),,69-85,,
9:11.0,,,69-85,,P. Tucker misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by R. McGruder,,69-85,,
8:57.0,W. Reed makes 2-pt shot from 2 ft (assist by G. Dragic),2,71-85,,
8:33.0,,,71-85,,L. Barbosa misses 2-pt shot from 18 ft
8:31.0,Defensive rebound by W. Reed,,71-85,,
8:17.0,R. McGruder misses 2-pt shot from 7 ft,,71-85,,
8:16.0,Offensive rebound by R. McGruder,,71-85,,
8:13.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. McGruder),3,74-85,,
8:13.0,,,74-85,,Phoenix full timeout
8:13.0,,,74-85,,D. Booker enters the game for L. Barbosa
8:13.0,,,74-85,,E. Bledsoe enters the game for A. Len
8:13.0,,,74-85,,M. Chriss enters the game for D. Bender
8:13.0,,,74-85,,T. Chandler enters the game for T. Ulis
8:13.0,J. Richardson enters the game for D. Williams,,74-85,,
8:03.0,,,74-85,,D. Booker misses 2-pt shot from 15 ft
8:01.0,Defensive rebound by W. Reed,,74-85,,
7:47.0,W. Ellington misses 3-pt shot from 25 ft,,74-85,,
7:45.0,,,74-85,,Defensive rebound by M. Chriss
7:37.0,,,74-85,,E. Bledsoe misses 2-pt shot from 18 ft
7:33.0,Defensive rebound by W. Reed,,74-85,,
7:22.0,W. Reed makes 2-pt shot at rim (assist by W. Ellington),2,76-85,,
7:05.0,,,76-85,,M. Chriss misses 3-pt shot from 25 ft
7:03.0,,,76-85,,Offensive rebound by T. Chandler
6:41.0,,,76-85,,D. Booker misses 3-pt shot from 25 ft
6:39.0,,,76-85,,Offensive rebound by T. Chandler
6:36.0,,,76-88,3,D. Booker makes 3-pt shot from 26 ft (assist by T. Chandler)
6:20.0,W. Reed misses 2-pt shot from 6 ft,,76-88,,
6:17.0,,,76-88,,Defensive rebound by T. Chandler
5:58.0,Official timeout,,76-88,,
5:55.0,,,76-91,3,D. Booker makes 3-pt shot from 25 ft (assist by P. Tucker)
5:48.0,Miami full timeout,,76-91,,
5:32.0,W. Ellington misses 3-pt shot from 24 ft,,76-91,,
5:30.0,,,76-91,,Defensive rebound by T. Chandler
5:12.0,,,76-91,,Turnover by D. Booker (bad pass; steal by J. Richardson)
5:08.0,G. Dragic misses 2-pt shot from 1 ft,,76-91,,
5:04.0,Offensive rebound by R. McGruder,,76-91,,
4:59.0,J. Richardson makes 2-pt shot from 19 ft (assist by G. Dragic),2,78-91,,
4:39.0,Personal foul by J. Richardson (drawn by M. Chriss),,78-91,,
4:29.0,,,78-93,2,M. Chriss makes 2-pt shot from 8 ft (assist by E. Bledsoe)
4:11.0,W. Reed misses 2-pt shot from 3 ft (block by T. Chandler),,78-93,,
4:09.0,Offensive rebound by R. McGruder,,78-93,,
4:09.0,,,78-93,,Personal block foul by D. Booker (drawn by W. Ellington)
4:09.0,W. Ellington makes free throw 1 of 2,1,79-93,,
4:09.0,W. Ellington makes free throw 2 of 2,1,80-93,,
3:57.0,,,80-93,,Turnover by E. Bledsoe (bad pass; steal by G. Dragic)
3:50.0,J. Richardson misses 3-pt shot from 24 ft,,80-93,,
3:48.0,,,80-93,,Defensive rebound by T. Chandler
3:31.0,,,80-93,,D. Booker misses 2-pt shot from 16 ft
3:29.0,,,80-93,,Offensive rebound by T. Chandler
3:10.0,,,80-93,,E. Bledsoe misses 2-pt shot from 16 ft
