time,Washington,pts.away,score,pts.home,Portland
7:22.0,J. Wall makes 2-pt shot from 2 ft,2,35-50,,
7:09.0,,,35-50,,Turnover by D. Lillard (bad pass; steal by M. Morris)
7:05.0,J. Wall makes 2-pt shot at rim (assist by M. Morris),2,37-50,,
7:05.0,,,37-50,,Portland full timeout
7:05.0,,,37-50,,M. Harkless enters the game for C. McCollum
6:45.0,,,37-50,,D. Lillard misses 3-pt shot from 27 ft
6:45.0,Defensive rebound by M. Morris,,37-50,,
6:45.0,J. Wall makes 2-pt shot from 2 ft (assist by M. Morris),2,39-50,,
6:45.0,Shooting foul by A. Crabbe (drawn by J. Wall),,39-50,,
6:45.0,J. Wall makes free throw 1 of 1,1,40-50,,
6:25.0,,,40-50,,Shooting foul by M. Gortat (drawn by J. Nurkic)
6:25.0,,,40-51,1,J. Nurkic makes free throw 1 of 2
6:25.0,,,40-51,,J. Nurkic misses free throw 2 of 2
6:24.0,Defensive rebound by M. Morris,,40-51,,
6:08.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Nurkic),,40-51,,
6:07.0,,,40-51,,Defensive rebound by J. Nurkic
5:59.0,,,40-51,,A. Crabbe misses 3-pt shot from 24 ft
5:59.0,,,40-51,,Offensive rebound by Team
5:59.0,Loose ball foul by M. Gortat (drawn by J. Nurkic),,40-51,,
5:59.0,B. Beal enters the game for B. Bogdanovic,,40-51,,
5:56.0,,,40-51,,D. Lillard misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by M. Gortat,,40-51,,
5:39.0,Shooting foul by D. Lillard (drawn by J. Wall),,40-51,,
5:39.0,J. Wall makes free throw 1 of 2,1,41-51,,
5:39.0,J. Wall misses free throw 2 of 2,,41-51,,
5:38.0,,,41-51,,Defensive rebound by A. Aminu
5:25.0,,,41-53,2,M. Harkless makes 2-pt shot from 3 ft
5:08.0,M. Morris makes 2-pt shot from 2 ft (assist by O. Porter),2,43-53,,
4:55.0,,,43-53,,Turnover by J. Nurkic (bad pass; steal by M. Morris)
4:52.0,Shooting foul by J. Nurkic (drawn by J. Wall),,43-53,,
4:52.0,J. Wall makes free throw 1 of 2,1,44-53,,
4:52.0,J. Wall makes free throw 2 of 2,1,45-53,,
4:52.0,,,44-53,,M. Leonard enters the game for J. Nurkic
4:38.0,,,45-55,2,D. Lillard makes 2-pt shot from 2 ft
4:23.0,O. Porter makes 2-pt shot from 4 ft (assist by J. Wall),2,47-55,,
4:10.0,,,47-55,,Shooting foul by M. Gortat (drawn by D. Lillard)
4:10.0,,,47-55,,D. Lillard misses free throw 1 of 2
4:10.0,,,47-55,,Offensive rebound by Team
4:10.0,,,47-56,1,D. Lillard makes free throw 2 of 2
4:10.0,J. Smith enters the game for M. Gortat,,47-55,,
4:02.0,,,47-56,,Personal foul by D. Lillard (drawn by J. Wall)
4:02.0,J. Wall makes free throw 1 of 2,1,48-56,,
4:02.0,J. Wall makes free throw 2 of 2,1,49-56,,
4:02.0,,,48-56,,C. McCollum enters the game for D. Lillard
3:38.0,,,49-56,,C. McCollum misses 2-pt shot from 3 ft (block by J. Smith)
3:37.0,Defensive rebound by O. Porter,,49-56,,
3:34.0,Turnover by J. Wall (step out of bounds),,49-56,,
3:24.0,,,49-56,,C. McCollum misses 2-pt shot from 20 ft
3:23.0,Defensive rebound by O. Porter,,49-56,,
3:12.0,B. Beal misses 2-pt shot from 8 ft,,49-56,,
3:11.0,,,49-56,,Defensive rebound by A. Aminu
3:09.0,Personal foul by O. Porter (drawn by A. Aminu),,49-56,,
3:09.0,,,49-57,1,A. Aminu makes free throw 1 of 2
3:09.0,,,49-58,1,A. Aminu makes free throw 2 of 2
2:57.0,J. Smith misses 2-pt shot from 17 ft,,49-58,,
2:56.0,Offensive rebound by M. Morris,,49-58,,
2:56.0,M. Morris misses 2-pt shot from 1 ft,,49-58,,
2:55.0,,,49-58,,Defensive rebound by A. Aminu
2:39.0,,,49-60,2,M. Harkless makes 2-pt shot from 2 ft (assist by M. Leonard)
2:25.0,J. Wall misses 2-pt shot from 16 ft,,49-60,,
2:25.0,,,49-60,,Defensive rebound by A. Crabbe
2:06.0,,,49-62,2,M. Harkless makes 2-pt shot from 6 ft
1:50.0,Turnover by J. Wall (bad pass; steal by M. Leonard),,49-62,,
1:44.0,,,49-62,,A. Aminu misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by J. Wall,,49-62,,
1:32.0,O. Porter misses 3-pt shot from 24 ft,,49-62,,
1:32.0,,,49-62,,Defensive rebound by A. Crabbe
1:18.0,,,49-65,3,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum)
1:16.0,Washington full timeout,,49-65,,
1:16.0,Official timeout,,49-65,,
1:03.0,O. Porter misses 3-pt shot from 24 ft,,49-65,,
1:02.0,,,49-65,,Defensive rebound by A. Aminu
0:42.0,Personal foul by J. Smith,,49-65,,
0:42.0,,,49-66,1,C. McCollum makes free throw 1 of 2
0:42.0,,,49-67,1,C. McCollum makes free throw 2 of 2
0:42.0,,,49-66,,S. Napier enters the game for A. Crabbe
0:24.0,M. Morris misses 2-pt shot from 16 ft,,49-67,,
0:23.0,,,49-67,,Defensive rebound by A. Aminu
0:22.0,,,49-67,,Portland full timeout
0:22.0,,,49-67,,D. Lillard enters the game for S. Napier
0:22.0,,,49-67,,A. Crabbe enters the game for A. Aminu
0:01.0,,,49-70,3,C. McCollum makes 3-pt shot from 26 ft
0:00.0,B. Beal misses 3-pt shot from 48 ft,,49-70,,
0:00.0,Offensive rebound by Team,,49-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Gortat makes 2-pt shot from 18 ft (assist by B. Beal),2,51-70,,
11:27.0,,,51-70,,D. Lillard misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by M. Gortat,,51-70,,
11:18.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,54-70,,
10:57.0,,,54-73,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Harkless)
10:35.0,M. Morris misses 2-pt shot from 9 ft,,54-73,,
10:35.0,,,54-73,,Defensive rebound by J. Nurkic
10:22.0,Personal foul by M. Morris,,54-73,,
10:12.0,,,54-75,2,C. McCollum makes 2-pt shot from 2 ft (assist by J. Nurkic)
9:59.0,B. Beal makes 2-pt shot from 16 ft,2,56-75,,
9:42.0,,,56-77,2,D. Lillard makes 2-pt shot from 10 ft
9:22.0,B. Beal makes 2-pt shot from 22 ft,2,58-77,,
9:17.0,,,58-77,,Offensive foul by N. Vonleh
9:17.0,,,58-77,,Turnover by N. Vonleh (offensive foul)
9:06.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,61-77,,
8:49.0,,,61-77,,Shooting foul by O. Porter (drawn by M. Harkless)
8:49.0,,,61-77,,M. Harkless misses free throw 1 of 2
8:49.0,,,61-77,,Offensive rebound by Team
8:49.0,,,61-77,,Turnover by J. Nurkic (lane violation.)
8:35.0,B. Beal makes 2-pt shot from 16 ft (assist by M. Gortat),2,63-77,,
8:35.0,Shooting foul by D. Lillard (drawn by B. Beal),,63-77,,
8:35.0,B. Beal makes free throw 1 of 1,1,64-77,,
8:15.0,,,64-77,,Turnover by D. Lillard (bad pass)
8:04.0,B. Beal misses 3-pt shot from 24 ft,,64-77,,
8:03.0,,,64-77,,Defensive rebound by D. Lillard
7:57.0,,,64-77,,D. Lillard misses 2-pt shot from 8 ft
7:56.0,,,64-77,,Offensive rebound by M. Harkless
7:56.0,,,64-77,,M. Harkless misses 2-pt shot from 2 ft
7:54.0,,,64-77,,Offensive rebound by M. Harkless
7:54.0,,,64-79,2,M. Harkless makes 2-pt shot at rim
7:37.0,J. Wall misses 2-pt shot from 20 ft,,64-79,,
7:37.0,,,64-79,,Defensive rebound by N. Vonleh
7:32.0,,,64-79,,Turnover by D. Lillard (lost ball)
7:25.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,67-79,,
7:24.0,,,67-79,,Portland full timeout
7:05.0,,,67-81,2,D. Lillard makes 2-pt shot at rim
7:05.0,,,67-81,,Shooting foul by M. Morris (drawn by D. Lillard)
7:05.0,,,67-82,1,D. Lillard makes free throw 1 of 1
6:48.0,M. Morris misses 2-pt shot from 2 ft,,67-82,,
6:48.0,,,67-82,,Defensive rebound by J. Nurkic
6:43.0,,,67-82,,Offensive charge foul by J. Nurkic
6:43.0,,,67-82,,Turnover by J. Nurkic (offensive foul)
6:43.0,,,67-82,,Violation by Team (jump ball)
6:27.0,M. Gortat misses 2-pt shot from 5 ft (block by N. Vonleh),,67-82,,
6:26.0,Offensive rebound by M. Gortat,,67-82,,
6:19.0,Turnover by Team (shot clock),,67-82,,
6:19.0,,,67-82,,A. Crabbe enters the game for D. Lillard
6:19.0,,,67-82,,M. Leonard enters the game for J. Nurkic
5:59.0,,,67-82,,M. Harkless misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by M. Gortat,,67-82,,
5:46.0,J. Wall makes 2-pt shot from 9 ft,2,69-82,,
5:27.0,,,69-82,,C. McCollum misses 2-pt shot from 8 ft
5:27.0,Defensive rebound by O. Porter,,69-82,,
5:18.0,B. Beal makes 3-pt shot from 24 ft,3,72-82,,
4:51.0,,,72-85,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum)
4:27.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal),2,74-85,,
4:10.0,,,74-87,2,C. McCollum makes 2-pt shot from 6 ft
3:58.0,Turnover by B. Beal (lost ball; steal by M. Leonard),,74-87,,
3:45.0,,,74-87,,M. Harkless misses 2-pt shot from 4 ft
3:45.0,Defensive rebound by M. Gortat,,74-87,,
3:34.0,J. Wall makes 2-pt shot from 1 ft,2,76-87,,
3:12.0,,,76-87,,C. McCollum misses 3-pt shot from 23 ft
3:11.0,,,76-87,,Offensive rebound by N. Vonleh
3:11.0,,,76-87,,N. Vonleh misses 2-pt shot at rim
3:10.0,Defensive rebound by M. Morris,,76-87,,
2:50.0,J. Wall misses 2-pt shot from 20 ft,,76-87,,
2:50.0,,,76-87,,Defensive rebound by M. Leonard
2:30.0,,,76-87,,C. McCollum misses 2-pt shot from 3 ft
2:30.0,Defensive rebound by B. Beal,,76-87,,
2:24.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,78-87,,
2:10.0,,,78-87,,A. Crabbe misses 2-pt shot from 2 ft (block by M. Morris)
2:10.0,,,78-87,,Offensive rebound by Team
2:10.0,Washington full timeout,,78-87,,
2:10.0,B. Jennings enters the game for B. Beal,,78-87,,
2:10.0,,,78-87,,S. Napier enters the game for M. Harkless
2:10.0,,,78-87,,A. Aminu enters the game for N. Vonleh
2:10.0,B. Bogdanovic enters the game for M. Morris,,78-87,,
2:03.0,,,78-89,2,M. Leonard makes 2-pt shot from 17 ft
1:51.0,O. Porter makes 2-pt shot from 12 ft (assist by J. Wall),2,80-89,,
1:26.0,,,80-91,2,C. McCollum makes 2-pt shot at rim
1:01.0,M. Gortat makes 2-pt shot from 9 ft,2,82-91,,
0:46.0,,,82-91,,A. Crabbe misses 2-pt shot from 20 ft
0:45.0,Defensive rebound by M. Gortat,,82-91,,
0:31.0,B. Jennings misses 3-pt shot from 24 ft,,82-91,,
0:31.0,,,82-91,,Defensive rebound by Team
0:22.0,,,82-91,,C. McCollum misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by M. Gortat,,82-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,82-91,,D. Lillard misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by I. Mahinmi,,82-91,,
11:15.0,B. Bogdanovic misses 2-pt shot from 9 ft,,82-91,,
11:13.0,,,82-91,,Defensive rebound by M. Leonard
10:55.0,,,82-91,,S. Napier misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by O. Porter,,82-91,,
10:43.0,B. Jennings misses 2-pt shot from 14 ft,,82-91,,
10:43.0,,,82-91,,Defensive rebound by D. Lillard
10:37.0,,,82-93,2,D. Lillard makes 2-pt shot from 6 ft
10:16.0,O. Porter makes 2-pt shot from 20 ft,2,84-93,,
9:53.0,Personal foul by O. Porter (drawn by M. Leonard),,84-93,,
9:53.0,M. Morris enters the game for O. Porter,,84-93,,
9:42.0,,,84-93,,Turnover by M. Leonard (traveling)
9:23.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by M. Morris),2,86-93,,
9:02.0,,,86-96,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Napier)
8:41.0,Turnover by B. Bogdanovic (lost ball; steal by A. Aminu),,86-96,,
8:26.0,,,86-96,,D. Lillard misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by I. Mahinmi,,86-96,,
8:18.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Jennings),3,89-96,,
8:18.0,,,89-96,,Portland full timeout
8:18.0,,,89-96,,J. Nurkic enters the game for M. Leonard
8:18.0,,,89-96,,M. Harkless enters the game for S. Napier
7:59.0,,,89-98,2,D. Lillard makes 2-pt shot from 11 ft (assist by M. Harkless)
7:39.0,M. Morris makes 2-pt shot from 21 ft,2,91-98,,
7:29.0,,,91-98,,C. McCollum enters the game for A. Crabbe
7:22.0,,,91-98,,D. Lillard misses 2-pt shot from 21 ft
7:22.0,Defensive rebound by B. Bogdanovic,,91-98,,
7:13.0,B. Bogdanovic makes 3-pt shot from 27 ft (assist by B. Jennings),3,94-98,,
6:51.0,,,94-98,,C. McCollum misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by M. Morris,,94-98,,
6:36.0,M. Morris makes 2-pt shot from 6 ft (assist by B. Jennings),2,96-98,,
6:36.0,Shooting foul by J. Nurkic (drawn by M. Morris),,96-98,,
6:36.0,M. Morris makes free throw 1 of 1,1,97-98,,
6:12.0,,,97-98,,A. Aminu misses 3-pt shot from 25 ft
6:12.0,,,97-98,,Offensive rebound by J. Nurkic
6:12.0,,,97-98,,J. Nurkic misses 2-pt shot from 1 ft
6:12.0,,,97-98,,Offensive rebound by Team
6:12.0,,,97-98,,Turnover by Team (shot clock)
5:56.0,M. Morris misses 2-pt shot from 10 ft,,97-98,,
5:56.0,,,97-98,,Defensive rebound by J. Nurkic
5:45.0,,,97-101,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
5:43.0,Washington full timeout,,97-101,,
5:43.0,J. Wall enters the game for B. Jennings,,97-101,,
5:43.0,B. Beal enters the game for T. Satoransky,,97-101,,
5:36.0,Turnover by J. Wall (bad pass),,97-101,,
5:22.0,,,97-101,,Turnover by J. Nurkic (bad pass; steal by B. Beal)
5:18.0,B. Beal misses 2-pt shot from 1 ft,,97-101,,
5:17.0,,,97-101,,Defensive rebound by A. Aminu
5:12.0,,,97-104,3,D. Lillard makes 3-pt shot from 28 ft (assist by A. Aminu)
4:44.0,J. Wall misses 3-pt shot from 29 ft,,97-104,,
4:44.0,Offensive rebound by Team,,97-104,,
4:44.0,Turnover by Team (shot clock),,97-104,,
4:29.0,Personal foul by B. Beal,,97-104,,
4:29.0,M. Gortat enters the game for I. Mahinmi,,97-104,,
4:29.0,O. Porter enters the game for B. Bogdanovic,,97-104,,
4:22.0,,,97-106,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
3:59.0,J. Wall makes 3-pt shot from 28 ft (assist by B. Beal),3,100-106,,
3:44.0,,,100-106,,D. Lillard misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by M. Morris,,100-106,,
3:39.0,,,100-106,,Shooting block foul by D. Lillard (drawn by J. Wall)
3:39.0,J. Wall makes free throw 1 of 2,1,101-106,,
3:39.0,J. Wall makes free throw 2 of 2,1,102-106,,
3:26.0,,,102-106,,C. McCollum misses 2-pt shot from 4 ft
3:25.0,,,102-106,,Offensive rebound by J. Nurkic
3:25.0,,,102-106,,J. Nurkic misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by J. Wall,,102-106,,
3:17.0,J. Wall misses 2-pt shot from 2 ft,,102-106,,
3:15.0,Offensive rebound by M. Morris,,102-106,,
3:15.0,M. Morris misses 2-pt shot from 1 ft,,102-106,,
3:15.0,Offensive rebound by O. Porter,,102-106,,
3:15.0,O. Porter misses 2-pt shot at rim,,102-106,,
3:11.0,,,102-106,,Defensive rebound by M. Harkless
2:57.0,,,102-106,,A. Aminu misses 2-pt shot from 1 ft
2:56.0,,,102-106,,Offensive rebound by M. Harkless
2:56.0,,,102-106,,M. Harkless misses 2-pt shot from 3 ft
2:55.0,Defensive rebound by M. Morris,,102-106,,
2:39.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,105-106,,
2:22.0,,,105-106,,D. Lillard misses 2-pt shot from 7 ft
2:21.0,Defensive rebound by O. Porter,,105-106,,
2:11.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,108-106,,
1:42.0,,,108-106,,C. McCollum misses 2-pt shot at rim
1:41.0,Defensive rebound by O. Porter,,108-106,,
1:36.0,J. Wall misses 2-pt shot from 2 ft,,108-106,,
1:36.0,,,108-106,,Defensive rebound by M. Harkless
1:28.0,,,108-106,,Turnover by D. Lillard (bad pass; steal by O. Porter)
1:24.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,110-106,,
1:24.0,Shooting foul by M. Harkless (drawn by O. Porter),,110-106,,
1:24.0,Official timeout,,110-106,,
1:24.0,O. Porter misses free throw 1 of 1,,110-106,,
1:24.0,Offensive rebound by M. Gortat,,110-106,,
1:24.0,,,110-106,,A. Crabbe enters the game for M. Harkless
1:11.0,J. Wall makes 2-pt shot from 1 ft,2,112-106,,
1:00.0,Def 3 sec tech foul by M. Morris,,112-106,,
1:00.0,,,112-107,1,D. Lillard makes technical free throw
0:53.0,,,112-110,3,A. Aminu makes 3-pt shot from 25 ft (assist by A. Crabbe)
