time,Houston,pts.away,score,pts.home,New York
1:02.0,Offensive rebound by S. Dekker,,29-21,,
1:01.0,S. Dekker misses 2-pt shot from 3 ft (block by K. O'Quinn),,29-21,,
1:00.0,Offensive rebound by C. Brewer,,29-21,,
0:59.0,C. Brewer misses 2-pt shot from 3 ft,,29-21,,
0:57.0,,,29-21,,Defensive rebound by J. Holiday
0:51.0,,,29-23,2,C. Anthony makes 2-pt shot from 2 ft (assist by B. Jennings)
0:46.0,,,29-23,,Personal foul by C. Lee (drawn by J. Harden)
0:46.0,J. Harden makes free throw 1 of 2,1,30-23,,
0:46.0,J. Harden makes free throw 2 of 2,1,31-23,,
0:37.0,,,31-23,,Offensive foul by J. Holiday
0:37.0,,,31-23,,Turnover by J. Holiday (offensive foul)
0:31.0,Turnover by J. Harden (bad pass),,31-23,,
0:18.0,,,31-25,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by J. Holiday)
0:01.0,J. Harden makes 2-pt shot at rim,2,33-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,T. Ennis misses 2-pt shot from 4 ft (block by K. O'Quinn),,33-25,,
11:39.0,Offensive rebound by Team,,33-25,,
11:35.0,E. Gordon makes 2-pt shot from 1 ft (assist by C. Brewer),2,35-25,,
11:20.0,,,35-25,,Turnover by S. Vujacic (bad pass; steal by S. Dekker)
11:14.0,C. Brewer makes 2-pt shot from 1 ft (assist by S. Dekker),2,37-25,,
10:55.0,,,37-27,2,K. O'Quinn makes 2-pt shot from 13 ft
10:41.0,M. Harrell makes 2-pt shot from 18 ft (assist by C. Brewer),2,39-27,,
10:17.0,,,39-27,,Shooting foul by T. Ennis (drawn by B. Jennings)
10:17.0,,,39-28,1,B. Jennings makes free throw 1 of 2
10:17.0,,,39-28,,B. Jennings misses free throw 2 of 2
10:17.0,,,39-28,,K. Porzingis enters the game for K. O'Quinn
10:16.0,Defensive rebound by S. Dekker,,39-28,,
10:05.0,T. Ennis makes 2-pt shot from 1 ft,2,41-28,,
9:57.0,Personal foul by M. Harrell (drawn by K. Porzingis),,41-28,,
9:48.0,,,41-28,,B. Jennings misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by M. Harrell,,41-28,,
9:43.0,Shooting foul by J. Holiday (drawn by C. Brewer),,41-28,,
9:43.0,C. Brewer makes free throw 1 of 2,1,42-28,,
9:43.0,C. Brewer makes free throw 2 of 2,1,43-28,,
9:23.0,,,43-28,,J. Holiday misses 3-pt shot from 26 ft
9:22.0,,,43-28,,Offensive rebound by Team
9:14.0,,,43-30,2,J. Holiday makes 2-pt shot from 20 ft (assist by S. Vujacic)
8:56.0,S. Dekker misses 3-pt shot from 24 ft,,43-30,,
8:55.0,,,43-30,,Defensive rebound by K. Porzingis
8:45.0,,,43-30,,S. Vujacic misses 2-pt shot from 21 ft
8:44.0,Defensive rebound by C. Brewer,,43-30,,
8:38.0,E. Gordon makes 3-pt shot from 26 ft (assist by C. Brewer),3,46-30,,
8:13.0,,,46-33,3,J. Holiday makes 3-pt shot from 24 ft (assist by B. Jennings)
8:04.0,Shooting foul by K. Porzingis (drawn by E. Gordon),,46-33,,
8:04.0,Official timeout,,46-33,,
8:04.0,E. Gordon makes free throw 1 of 2,1,47-33,,
8:04.0,E. Gordon makes free throw 2 of 2,1,48-33,,
8:04.0,,,46-33,,L. Thomas enters the game for S. Vujacic
8:04.0,C. Capela enters the game for S. Dekker,,46-33,,
8:04.0,R. Anderson enters the game for M. Harrell,,46-33,,
7:44.0,,,48-35,2,M. Ndour makes 2-pt shot from 19 ft (assist by J. Holiday)
7:37.0,Offensive foul by T. Ennis,,48-35,,
7:37.0,Turnover by T. Ennis (offensive foul),,48-35,,
7:19.0,,,48-35,,J. Holiday misses 3-pt shot from 23 ft
7:18.0,,,48-35,,Offensive rebound by K. Porzingis
7:15.0,,,48-35,,K. Porzingis misses 2-pt shot from 10 ft
7:13.0,Defensive rebound by R. Anderson,,48-35,,
7:01.0,Shooting foul by K. Porzingis (drawn by C. Capela),,48-35,,
7:01.0,C. Capela misses free throw 1 of 2,,48-35,,
7:01.0,Offensive rebound by Team,,48-35,,
7:01.0,C. Capela misses free throw 2 of 2,,48-35,,
7:01.0,,,48-35,,C. Anthony enters the game for K. Porzingis
7:00.0,,,48-35,,Defensive rebound by M. Ndour
6:49.0,,,48-35,,Shooting foul by C. Capela (drawn by B. Jennings)
6:49.0,,,48-36,1,B. Jennings makes free throw 1 of 2
6:49.0,,,48-37,1,B. Jennings makes free throw 2 of 2
6:30.0,E. Gordon makes 2-pt shot from 1 ft,2,50-37,,
6:25.0,,,50-37,,J. Holiday misses 2-pt shot at rim
6:24.0,Defensive rebound by C. Capela,,50-37,,
6:15.0,E. Gordon misses 3-pt shot from 26 ft,,50-37,,
6:14.0,Offensive rebound by C. Capela,,50-37,,
6:13.0,,,50-37,,Personal foul by M. Ndour (drawn by C. Capela)
6:13.0,,,50-37,,D. Rose enters the game for J. Holiday
6:03.0,T. Ennis makes 2-pt shot from 2 ft,2,52-37,,
5:41.0,,,52-39,2,B. Jennings makes 2-pt shot from 2 ft (assist by D. Rose)
5:33.0,Turnover by R. Anderson (bad pass; steal by C. Anthony),,52-39,,
5:30.0,,,52-39,,Turnover by C. Anthony (lost ball; steal by C. Brewer)
5:24.0,T. Ennis misses 2-pt shot from 2 ft,,52-39,,
5:23.0,Offensive rebound by Team,,52-39,,
5:23.0,,,52-39,,New York full timeout
5:23.0,T. Ariza enters the game for C. Brewer,,52-39,,
5:23.0,J. Harden enters the game for T. Ennis,,52-39,,
5:23.0,,,52-39,,J. Noah enters the game for L. Thomas
5:23.0,,,52-39,,C. Lee enters the game for M. Ndour
5:17.0,,,52-39,,Personal foul by B. Jennings (drawn by E. Gordon)
5:17.0,E. Gordon makes free throw 1 of 2,1,53-39,,
5:17.0,E. Gordon makes free throw 2 of 2,1,54-39,,
5:03.0,,,54-39,,C. Anthony misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by R. Anderson,,54-39,,
4:49.0,R. Anderson misses 3-pt shot from 25 ft,,54-39,,
4:48.0,,,54-39,,Defensive rebound by C. Anthony
4:31.0,Violation by C. Capela (def goaltending),,54-39,,
4:31.0,,,54-41,2,C. Anthony makes 2-pt shot from 2 ft
4:14.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,56-41,,
4:03.0,,,56-41,,D. Rose misses 2-pt shot from 4 ft
4:02.0,,,56-41,,Offensive rebound by C. Anthony
4:01.0,,,56-41,,C. Anthony misses 2-pt shot from 2 ft
4:00.0,Defensive rebound by E. Gordon,,56-41,,
3:56.0,Shooting foul by B. Jennings (drawn by E. Gordon),,56-41,,
3:56.0,E. Gordon makes free throw 1 of 2,1,57-41,,
3:56.0,E. Gordon misses free throw 2 of 2,,57-41,,
3:56.0,,,57-41,,J. Holiday enters the game for B. Jennings
3:55.0,,,57-41,,Defensive rebound by C. Anthony
3:37.0,,,57-41,,Shooting foul by J. Harden (drawn by J. Noah)
3:37.0,,,57-41,,J. Noah misses free throw 1 of 2
3:37.0,,,57-41,,Offensive rebound by Team
3:37.0,,,57-41,,J. Noah misses free throw 2 of 2
3:37.0,,,57-41,,Offensive rebound by Team
3:37.0,Loose ball foul by C. Capela (drawn by C. Anthony),,57-41,,
3:37.0,,,57-42,1,C. Anthony makes free throw 1 of 2
3:37.0,,,57-42,,C. Anthony misses free throw 2 of 2
3:37.0,K. McDaniels enters the game for E. Gordon,,57-41,,
3:36.0,Defensive rebound by J. Harden,,57-42,,
3:21.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,59-42,,
3:21.0,Shooting foul by J. Noah (drawn by C. Capela),,59-42,,
3:21.0,C. Capela misses free throw 1 of 1,,59-42,,
3:19.0,Offensive rebound by Team,,59-42,,
3:17.0,Offensive foul by R. Anderson,,59-42,,
3:17.0,Turnover by R. Anderson (offensive foul),,59-42,,
3:03.0,,,59-42,,J. Holiday misses 2-pt shot from 19 ft
3:02.0,Defensive rebound by K. McDaniels,,59-42,,
2:53.0,K. McDaniels makes 3-pt shot from 27 ft (assist by J. Harden),3,62-42,,
2:42.0,,,62-45,3,C. Lee makes 3-pt shot from 26 ft (assist by J. Noah)
2:30.0,Houston full timeout,,62-45,,
2:19.0,,,62-45,,Def 3 sec tech foul by J. Noah
2:19.0,J. Harden makes technical free throw,1,63-45,,
2:14.0,Turnover by J. Harden (bad pass; steal by C. Lee),,63-45,,
1:53.0,,,63-45,,C. Lee misses 2-pt shot from 8 ft
1:52.0,Defensive rebound by Team,,63-45,,
1:52.0,,,63-45,,Loose ball foul by C. Anthony (drawn by T. Ariza)
1:52.0,T. Ariza misses free throw 1 of 2,,63-45,,
1:52.0,Offensive rebound by Team,,63-45,,
1:52.0,T. Ariza makes free throw 2 of 2,1,64-45,,
1:39.0,,,64-48,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Rose)
1:23.0,R. Anderson misses 3-pt shot from 25 ft,,64-48,,
1:22.0,,,64-48,,Defensive rebound by D. Rose
1:17.0,,,64-48,,D. Rose misses 2-pt shot from 2 ft
1:16.0,,,64-48,,Offensive rebound by J. Noah
1:16.0,,,64-48,,J. Noah misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by Team,,64-48,,
1:15.0,M. Harrell enters the game for C. Capela,,64-48,,
1:03.0,J. Harden makes 2-pt shot from 1 ft,2,66-48,,
0:51.0,,,66-48,,J. Holiday misses 2-pt shot from 16 ft
0:49.0,Defensive rebound by Team,,66-48,,
0:39.0,Turnover by M. Harrell (traveling),,66-48,,
0:32.0,,,66-48,,D. Rose misses 2-pt shot from 1 ft (block by M. Harrell)
0:31.0,Defensive rebound by R. Anderson,,66-48,,
0:23.0,T. Ariza misses 3-pt shot from 26 ft,,66-48,,
0:21.0,Offensive rebound by R. Anderson,,66-48,,
0:20.0,R. Anderson misses 2-pt shot from 5 ft,,66-48,,
0:19.0,Offensive rebound by R. Anderson,,66-48,,
0:19.0,R. Anderson misses 2-pt shot from 5 ft,,66-48,,
0:17.0,Offensive rebound by R. Anderson,,66-48,,
0:17.0,R. Anderson misses 2-pt shot from 2 ft,,66-48,,
0:15.0,Offensive rebound by M. Harrell,,66-48,,
0:15.0,M. Harrell makes 2-pt shot from 2 ft,2,68-48,,
0:00.0,,,68-51,3,C. Lee makes 3-pt shot from 25 ft (assist by J. Noah)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,E. Gordon makes 3-pt shot from 28 ft (assist by J. Harden),3,71-51,,
11:24.0,,,71-51,,Shooting foul by E. Gordon (drawn by K. Porzingis)
11:24.0,,,71-51,,K. Porzingis misses free throw 1 of 2
11:24.0,,,71-51,,Offensive rebound by Team
11:24.0,,,71-52,1,K. Porzingis makes free throw 2 of 2
11:12.0,C. Capela misses 2-pt shot from 2 ft,,71-52,,
11:11.0,Offensive rebound by R. Anderson,,71-52,,
11:08.0,Turnover by R. Anderson (lost ball; steal by C. Lee),,71-52,,
10:52.0,,,71-54,2,C. Lee makes 2-pt shot from 1 ft
10:27.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,73-54,,
10:15.0,,,73-56,2,C. Anthony makes 2-pt shot from 2 ft
10:02.0,E. Gordon misses 2-pt shot from 2 ft,,73-56,,
10:01.0,,,73-56,,Defensive rebound by D. Rose
9:52.0,,,73-56,,D. Rose misses 2-pt shot from 19 ft
9:51.0,,,73-56,,Offensive rebound by Team
9:40.0,,,73-58,2,C. Lee makes 2-pt shot from 15 ft
9:29.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,76-58,,
9:11.0,,,76-58,,K. Porzingis misses 2-pt shot from 13 ft
9:10.0,Defensive rebound by J. Harden,,76-58,,
9:01.0,R. Anderson misses 3-pt shot from 26 ft,,76-58,,
9:00.0,,,76-58,,Defensive rebound by K. Porzingis
8:51.0,,,76-60,2,D. Rose makes 2-pt shot from 2 ft
8:24.0,T. Ariza misses 2-pt shot from 3 ft (block by K. Porzingis),,76-60,,
8:22.0,Offensive rebound by C. Capela,,76-60,,
8:19.0,E. Gordon makes 3-pt shot from 26 ft (assist by C. Capela),3,79-60,,
7:56.0,,,79-62,2,C. Anthony makes 2-pt shot from 21 ft
7:40.0,C. Capela misses 2-pt shot from 1 ft,,79-62,,
7:39.0,Offensive rebound by C. Capela,,79-62,,
7:38.0,Turnover by C. Capela (step out of bounds),,79-62,,
7:32.0,Personal foul by E. Gordon (drawn by D. Rose),,79-62,,
7:25.0,,,79-64,2,D. Rose makes 2-pt shot from 1 ft
7:07.0,R. Anderson makes 2-pt shot from 12 ft,2,81-64,,
6:46.0,,,81-66,2,C. Lee makes 2-pt shot from 12 ft
6:26.0,R. Anderson misses 2-pt shot from 1 ft,,81-66,,
6:25.0,Offensive rebound by C. Capela,,81-66,,
6:23.0,C. Capela makes 2-pt shot from 3 ft,2,83-66,,
6:08.0,,,83-66,,C. Lee misses 2-pt shot from 5 ft
6:07.0,,,83-66,,Offensive rebound by Team
6:07.0,Loose ball foul by C. Capela (drawn by J. Noah),,83-66,,
6:07.0,M. Harrell enters the game for C. Capela,,83-66,,
5:59.0,,,83-66,,Turnover by C. Anthony (lost ball; steal by T. Ariza)
5:54.0,J. Harden misses 3-pt shot from 25 ft,,83-66,,
5:53.0,Offensive rebound by R. Anderson,,83-66,,
5:40.0,Shooting foul by C. Lee (drawn by M. Harrell),,83-66,,
5:40.0,,,83-66,,New York full timeout
5:40.0,M. Harrell misses free throw 1 of 2,,83-66,,
5:40.0,Offensive rebound by Team,,83-66,,
5:40.0,M. Harrell makes free throw 2 of 2,1,84-66,,
5:40.0,K. McDaniels enters the game for E. Gordon,,83-66,,
5:21.0,,,84-66,,D. Rose misses 2-pt shot from 3 ft (block by M. Harrell)
5:19.0,Defensive rebound by K. McDaniels,,84-66,,
5:00.0,J. Harden misses 3-pt shot from 25 ft,,84-66,,
4:59.0,,,84-66,,Defensive rebound by D. Rose
4:54.0,,,84-68,2,C. Anthony makes 2-pt shot from 2 ft (assist by D. Rose)
4:36.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,86-68,,
4:17.0,,,86-70,2,D. Rose makes 2-pt shot from 12 ft (assist by C. Anthony)
4:07.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,88-70,,
3:50.0,Def 3 sec tech foul by M. Harrell,,88-70,,
3:50.0,,,88-71,1,C. Anthony makes technical free throw
3:50.0,,,88-71,,R. Baker enters the game for J. Noah
3:50.0,S. Dekker enters the game for R. Anderson,,88-71,,
3:45.0,,,88-71,,D. Rose misses 2-pt shot from 2 ft (block by K. McDaniels)
3:43.0,Defensive rebound by T. Ariza,,88-71,,
3:37.0,K. McDaniels misses 3-pt shot from 23 ft,,88-71,,
3:36.0,,,88-71,,Defensive rebound by C. Anthony
3:35.0,,,88-71,,Turnover by C. Anthony (bad pass; steal by J. Harden)
3:27.0,T. Ariza misses 3-pt shot from 25 ft,,88-71,,
3:26.0,,,88-71,,Defensive rebound by C. Anthony
3:10.0,,,88-71,,C. Lee misses 2-pt shot from 2 ft
3:09.0,,,88-71,,Offensive rebound by R. Baker
3:05.0,,,88-74,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Baker)
2:44.0,T. Ariza misses 2-pt shot from 2 ft,,88-74,,
2:43.0,,,88-74,,Defensive rebound by C. Anthony
2:37.0,,,88-74,,C. Lee misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by K. McDaniels,,88-74,,
2:30.0,Shooting foul by D. Rose (drawn by K. McDaniels),,88-74,,
2:30.0,Houston full timeout,,88-74,,
2:30.0,K. McDaniels makes free throw 1 of 2,1,89-74,,
2:30.0,K. McDaniels makes free throw 2 of 2,1,90-74,,
2:30.0,,,88-74,,L. Thomas enters the game for K. Porzingis
2:12.0,C. Brewer enters the game for T. Ariza,,90-74,,
2:08.0,,,90-76,2,D. Rose makes 2-pt shot from 10 ft
2:08.0,,,90-76,,Personal foul by C. Anthony (drawn by J. Harden)
1:53.0,S. Dekker makes 2-pt shot from 1 ft (assist by J. Harden),2,92-76,,
1:37.0,,,92-76,,Turnover by C. Anthony (lost ball; steal by M. Harrell)
1:34.0,Turnover by S. Dekker (bad pass; steal by D. Rose),,92-76,,
1:29.0,,,92-76,,L. Thomas misses 2-pt shot from 18 ft
1:28.0,,,92-76,,Offensive rebound by Team
1:28.0,,,92-76,,J. Holiday enters the game for C. Lee
1:28.0,,,92-76,,B. Jennings enters the game for D. Rose
1:24.0,,,92-78,2,B. Jennings makes 2-pt shot from 2 ft (assist by R. Baker)
1:03.0,J. Harden makes 3-pt shot from 25 ft,3,95-78,,
0:51.0,,,95-78,,J. Holiday misses 2-pt shot from 14 ft
0:50.0,Defensive rebound by S. Dekker,,95-78,,
0:44.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,97-78,,
0:26.0,Personal foul by K. McDaniels (drawn by B. Jennings),,97-78,,
0:17.0,,,97-78,,J. Holiday misses 2-pt shot from 18 ft (block by K. McDaniels)
0:15.0,Defensive rebound by C. Brewer,,97-78,,
0:02.0,J. Harden makes 3-pt shot from 26 ft,3,100-78,,
0:00.0,,,100-78,,C. Anthony misses 3-pt shot from 51 ft
0:00.0,,,100-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,100-78,,K. Porzingis misses 2-pt shot from 9 ft
11:45.0,Defensive rebound by S. Dekker,,100-78,,
11:33.0,Turnover by M. Harrell (traveling),,100-78,,
11:17.0,,,100-78,,B. Jennings misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by M. Harrell,,100-78,,
11:03.0,Turnover by E. Gordon (lost ball; steal by J. Holiday),,100-78,,
10:59.0,,,100-78,,Turnover by J. Holiday (bad pass)
10:50.0,Turnover by C. Brewer (traveling),,100-78,,
10:39.0,Personal foul by C. Brewer (drawn by K. Porzingis),,100-78,,
10:30.0,,,100-78,,Turnover by K. Porzingis (bad pass; steal by E. Gordon)
10:21.0,E. Gordon makes 3-pt shot from 26 ft (assist by C. Brewer),3,103-78,,
10:06.0,,,103-78,,Shooting foul by C. Brewer (drawn by R. Baker)
10:06.0,,,103-78,,R. Baker misses free throw 1 of 2
10:06.0,,,103-78,,Offensive rebound by Team
10:06.0,,,103-79,1,R. Baker makes free throw 2 of 2
9:56.0,Turnover by E. Gordon (bad pass; steal by K. Porzingis),,103-79,,
9:47.0,Personal foul by E. Gordon (drawn by K. Porzingis),,103-79,,
9:36.0,,,103-79,,R. Baker misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by T. Ennis,,103-79,,
9:22.0,E. Gordon misses 2-pt shot from 9 ft,,103-79,,
9:21.0,,,103-79,,Defensive rebound by J. Holiday
9:11.0,,,103-79,,Offensive foul by J. Holiday
9:11.0,,,103-79,,Turnover by J. Holiday (offensive foul)
8:54.0,T. Ennis misses 2-pt shot from 2 ft (block by K. Porzingis),,103-79,,
8:53.0,,,103-79,,Defensive rebound by K. Porzingis
8:49.0,,,103-81,2,B. Jennings makes 2-pt shot from 2 ft
8:49.0,,,103-81,,Shooting foul by S. Dekker (drawn by B. Jennings)
8:49.0,Official timeout,,103-81,,
8:49.0,,,103-82,1,B. Jennings makes free throw 1 of 1
8:25.0,Turnover by Team (shot clock),,103-82,,
8:18.0,Personal foul by T. Ennis (drawn by K. Porzingis),,103-82,,
8:18.0,,,103-83,1,K. Porzingis makes free throw 1 of 2
8:18.0,,,103-84,1,K. Porzingis makes free throw 2 of 2
8:18.0,J. Harden enters the game for S. Dekker,,103-83,,
8:18.0,R. Anderson enters the game for C. Brewer,,103-83,,
8:18.0,T. Ariza enters the game for T. Ennis,,103-83,,
8:18.0,,,103-83,,D. Rose enters the game for J. Holiday
7:57.0,E. Gordon misses 3-pt shot from 26 ft,,103-84,,
7:56.0,Offensive rebound by M. Harrell,,103-84,,
7:42.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,106-84,,
7:28.0,,,106-84,,Shooting foul by M. Harrell (drawn by B. Jennings)
7:28.0,,,106-85,1,B. Jennings makes free throw 1 of 3
7:28.0,,,106-86,1,B. Jennings makes free throw 2 of 3
7:28.0,,,106-86,,B. Jennings misses free throw 3 of 3
7:27.0,Defensive rebound by J. Harden,,106-86,,
7:13.0,E. Gordon misses 3-pt shot from 23 ft,,106-86,,
7:12.0,Offensive rebound by M. Harrell,,106-86,,
7:10.0,M. Harrell misses 2-pt shot from 2 ft (block by K. Porzingis),,106-86,,
7:08.0,,,106-86,,Defensive rebound by B. Jennings
7:03.0,,,106-86,,B. Jennings misses 3-pt shot from 25 ft
7:02.0,,,106-86,,Offensive rebound by K. Porzingis
6:58.0,,,106-86,,Turnover by B. Jennings (bad pass; steal by T. Ariza)
6:44.0,M. Harrell misses 2-pt shot from 2 ft (block by M. Ndour),,106-86,,
6:43.0,Offensive rebound by J. Harden,,106-86,,
6:33.0,J. Harden makes 3-pt shot from 24 ft,3,109-86,,
6:17.0,,,109-86,,Turnover by D. Rose (lost ball; steal by T. Ariza)
6:09.0,J. Harden misses 3-pt shot from 28 ft,,109-86,,
6:08.0,,,109-86,,Defensive rebound by K. Porzingis
