time,Charlotte,pts.away,score,pts.home,Detroit
6:42.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,14-18,,
6:42.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,15-18,,
6:42.0,,,14-18,,B. Marjanovic enters the game for A. Drummond
6:29.0,,,15-18,,K. Caldwell-Pope misses 2-pt shot from 13 ft
6:29.0,Defensive rebound by R. Hibbert,,15-18,,
6:13.0,M. Williams makes 2-pt shot from 6 ft,2,17-18,,
6:07.0,,,17-18,,Detroit full timeout
6:07.0,J. Lamb enters the game for N. Batum,,17-18,,
5:49.0,,,17-18,,K. Caldwell-Pope misses 2-pt shot from 8 ft
5:49.0,,,17-18,,Offensive rebound by B. Marjanovic
5:49.0,Personal foul by J. Lamb (drawn by B. Marjanovic),,17-18,,
5:36.0,,,17-20,2,T. Harris makes 2-pt shot from 4 ft
5:17.0,M. Williams misses 2-pt shot from 8 ft,,17-20,,
5:16.0,,,17-20,,Defensive rebound by B. Marjanovic
5:07.0,,,17-22,2,R. Jackson makes 2-pt shot from 19 ft
5:01.0,Turnover by K. Walker (lost ball),,17-22,,
4:52.0,,,17-22,,Turnover by B. Marjanovic (3 sec)
4:45.0,Charlotte full timeout,,17-22,,
4:45.0,F. Kaminsky enters the game for M. Williams,,17-22,,
4:44.0,,,17-22,,Personal foul by R. Jackson (drawn by K. Walker)
4:44.0,K. Walker misses free throw 1 of 2,,17-22,,
4:44.0,Offensive rebound by Team,,17-22,,
4:44.0,K. Walker makes free throw 2 of 2,1,18-22,,
4:44.0,,,17-22,,I. Smith enters the game for R. Jackson
4:23.0,,,18-22,,T. Harris misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by M. Kidd-Gilchrist,,18-22,,
4:04.0,J. Lamb misses 3-pt shot from 23 ft,,18-22,,
4:04.0,,,18-22,,Defensive rebound by M. Morris
3:54.0,,,18-22,,M. Morris misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by M. Kidd-Gilchrist,,18-22,,
3:48.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,20-22,,
3:37.0,,,20-22,,Shooting foul by R. Hibbert (drawn by B. Marjanovic)
3:37.0,,,20-23,1,B. Marjanovic makes free throw 1 of 2
3:37.0,,,20-24,1,B. Marjanovic makes free throw 2 of 2
3:37.0,R. Sessions enters the game for K. Walker,,20-23,,
3:37.0,S. Hawes enters the game for R. Hibbert,,20-23,,
3:24.0,S. Hawes misses 2-pt shot from 19 ft,,20-24,,
3:24.0,,,20-24,,Defensive rebound by Team
3:04.0,,,20-26,2,T. Harris makes 2-pt shot at rim
2:45.0,F. Kaminsky misses 2-pt shot from 4 ft,,20-26,,
2:44.0,,,20-26,,Defensive rebound by M. Morris
2:35.0,,,20-26,,M. Morris misses 2-pt shot from 6 ft
2:35.0,,,20-26,,Offensive rebound by B. Marjanovic
2:34.0,,,20-26,,B. Marjanovic misses 2-pt shot from 1 ft
2:34.0,,,20-26,,Offensive rebound by B. Marjanovic
2:34.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,20-26,,
2:24.0,,,20-26,,M. Morris misses 2-pt shot from 17 ft
2:23.0,,,20-26,,Offensive rebound by B. Marjanovic
2:23.0,,,20-26,,Shooting foul by J. Lamb (drawn by B. Marjanovic)
2:23.0,,,20-26,,B. Marjanovic misses free throw 1 of 2
2:23.0,,,20-26,,Offensive rebound by Team
2:23.0,,,20-27,1,B. Marjanovic makes free throw 2 of 2
2:09.0,R. Sessions makes 2-pt shot from 6 ft,2,22-27,,
2:01.0,,,22-27,,M. Morris misses 2-pt shot from 17 ft
2:00.0,,,22-27,,Offensive rebound by B. Marjanovic
1:51.0,,,22-27,,K. Caldwell-Pope misses 2-pt shot from 13 ft
1:50.0,,,22-27,,Offensive rebound by B. Marjanovic
1:50.0,,,22-27,,Shooting foul by S. Hawes (drawn by B. Marjanovic)
1:50.0,,,22-28,1,B. Marjanovic makes free throw 1 of 2
1:50.0,,,22-29,1,B. Marjanovic makes free throw 2 of 2
1:50.0,,,22-28,,S. Johnson enters the game for M. Morris
1:33.0,J. Lamb makes 2-pt shot from 17 ft,2,24-29,,
1:22.0,,,24-32,3,T. Harris makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
1:13.0,Charlotte full timeout,,24-32,,
1:06.0,M. Belinelli misses 2-pt shot from 19 ft,,24-32,,
1:05.0,,,24-32,,Defensive rebound by I. Smith
0:54.0,,,24-34,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
0:44.0,F. Kaminsky makes 2-pt shot at rim (assist by R. Sessions),2,26-34,,
0:36.0,Personal foul by F. Kaminsky (drawn by B. Marjanovic),,26-34,,
0:36.0,,,26-35,1,B. Marjanovic makes free throw 1 of 2
0:36.0,,,26-35,,B. Marjanovic misses free throw 2 of 2
0:35.0,Defensive rebound by S. Hawes,,26-35,,
0:25.0,J. Lamb misses 3-pt shot from 26 ft,,26-35,,
0:24.0,,,26-35,,Defensive rebound by T. Harris
0:04.0,,,26-37,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
0:01.0,J. Lamb misses 2-pt shot from 10 ft (block by S. Johnson),,26-37,,
0:00.0,Offensive rebound by Team,,26-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,F. Kaminsky makes 2-pt shot from 20 ft (assist by S. Hawes),2,28-37,,
11:24.0,,,28-39,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by D. Hilliard)
11:10.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum),3,31-39,,
10:54.0,,,31-39,,T. Harris misses 3-pt shot from 25 ft
10:54.0,,,31-39,,Offensive rebound by B. Marjanovic
10:54.0,,,31-39,,Turnover by B. Marjanovic (lost ball; steal by R. Sessions)
10:39.0,R. Sessions misses 2-pt shot from 2 ft (block by B. Marjanovic),,31-39,,
10:38.0,,,31-39,,Defensive rebound by B. Marjanovic
10:34.0,,,31-39,,Turnover by B. Marjanovic (bad pass; steal by M. Belinelli)
10:29.0,R. Sessions misses 3-pt shot from 24 ft,,31-39,,
10:29.0,,,31-39,,Defensive rebound by B. Marjanovic
10:24.0,,,31-39,,S. Johnson misses 2-pt shot from 3 ft
10:23.0,Defensive rebound by F. Kaminsky,,31-39,,
10:18.0,N. Batum makes 2-pt shot from 1 ft (assist by R. Sessions),2,33-39,,
10:13.0,,,33-39,,Detroit full timeout
10:13.0,,,33-39,,A. Drummond enters the game for B. Marjanovic
10:01.0,,,33-39,,I. Smith misses 3-pt shot from 24 ft
10:00.0,,,33-39,,Offensive rebound by Team
9:53.0,,,33-39,,I. Smith misses 2-pt shot from 1 ft
9:52.0,,,33-39,,Offensive rebound by A. Drummond
9:49.0,,,33-41,2,A. Drummond makes 2-pt shot from 1 ft
9:31.0,R. Sessions misses 2-pt shot at rim (block by I. Smith),,33-41,,
9:31.0,,,33-41,,Defensive rebound by A. Drummond
9:24.0,,,33-41,,S. Johnson misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by R. Sessions,,33-41,,
9:17.0,M. Belinelli misses 2-pt shot from 15 ft,,33-41,,
9:17.0,,,33-41,,Defensive rebound by I. Smith
9:07.0,,,33-43,2,A. Drummond makes 2-pt shot from 7 ft (assist by D. Hilliard)
8:49.0,Shooting foul by I. Smith (drawn by S. Hawes),,33-43,,
8:49.0,S. Hawes makes free throw 1 of 2,1,34-43,,
8:49.0,S. Hawes makes free throw 2 of 2,1,35-43,,
8:31.0,,,35-45,2,T. Harris makes 2-pt shot from 17 ft (assist by D. Hilliard)
8:18.0,Shooting foul by S. Johnson (drawn by N. Batum),,35-45,,
8:18.0,N. Batum makes free throw 1 of 2,1,36-45,,
8:18.0,N. Batum makes free throw 2 of 2,1,37-45,,
8:18.0,,,36-45,,J. Leuer enters the game for T. Harris
8:18.0,K. Walker enters the game for R. Sessions,,36-45,,
7:57.0,,,37-45,,D. Hilliard misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by K. Walker,,37-45,,
7:40.0,Shooting foul by D. Hilliard (drawn by M. Belinelli),,37-45,,
7:40.0,M. Belinelli makes free throw 1 of 2,1,38-45,,
7:40.0,M. Belinelli makes free throw 2 of 2,1,39-45,,
7:27.0,,,39-45,,D. Hilliard misses 2-pt shot from 2 ft
7:27.0,,,39-45,,Offensive rebound by J. Leuer
7:23.0,,,39-45,,J. Leuer misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by F. Kaminsky,,39-45,,
7:17.0,S. Hawes misses 2-pt shot from 10 ft (block by A. Drummond),,39-45,,
7:15.0,,,39-45,,Defensive rebound by I. Smith
7:08.0,,,39-45,,A. Drummond misses 2-pt shot from 5 ft
7:05.0,Defensive rebound by F. Kaminsky,,39-45,,
6:55.0,S. Hawes misses 2-pt shot from 8 ft,,39-45,,
6:55.0,,,39-45,,Defensive rebound by S. Johnson
6:42.0,,,39-45,,D. Hilliard misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by S. Hawes,,39-45,,
6:31.0,S. Hawes makes 2-pt shot at rim (assist by K. Walker),2,41-45,,
6:24.0,,,41-45,,Detroit full timeout
6:24.0,,,41-45,,K. Caldwell-Pope enters the game for I. Smith
6:24.0,,,41-45,,R. Jackson enters the game for S. Johnson
6:24.0,,,41-45,,M. Morris enters the game for D. Hilliard
6:12.0,,,41-47,2,A. Drummond makes 2-pt shot from 7 ft
5:56.0,M. Belinelli misses 2-pt shot from 10 ft,,41-47,,
5:56.0,,,41-47,,Defensive rebound by M. Morris
5:45.0,,,41-47,,A. Drummond misses 2-pt shot from 7 ft
5:44.0,Defensive rebound by N. Batum,,41-47,,
5:34.0,K. Walker misses 2-pt shot from 8 ft,,41-47,,
5:34.0,,,41-47,,Defensive rebound by A. Drummond
5:22.0,,,41-47,,M. Morris misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by M. Belinelli,,41-47,,
5:04.0,M. Belinelli misses 2-pt shot at rim,,41-47,,
5:03.0,,,41-47,,Defensive rebound by J. Leuer
4:57.0,,,41-50,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
4:50.0,Charlotte full timeout,,41-50,,
4:50.0,M. Williams enters the game for F. Kaminsky,,41-50,,
4:50.0,R. Hibbert enters the game for S. Hawes,,41-50,,
4:50.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,41-50,,
4:42.0,N. Batum misses 2-pt shot from 17 ft,,41-50,,
4:42.0,Offensive rebound by M. Kidd-Gilchrist,,41-50,,
4:34.0,K. Walker misses 2-pt shot from 16 ft,,41-50,,
4:33.0,,,41-50,,Defensive rebound by J. Leuer
4:17.0,,,41-50,,R. Jackson misses 2-pt shot from 7 ft
4:17.0,Defensive rebound by M. Kidd-Gilchrist,,41-50,,
4:12.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,43-50,,
3:47.0,,,43-52,2,M. Morris makes 2-pt shot from 17 ft (assist by R. Jackson)
3:33.0,N. Batum misses 2-pt shot from 4 ft,,43-52,,
3:33.0,,,43-52,,Defensive rebound by Team
3:33.0,Personal foul by R. Hibbert (drawn by A. Drummond),,43-52,,
3:33.0,S. Hawes enters the game for R. Hibbert,,43-52,,
3:26.0,,,43-54,2,R. Jackson makes 2-pt shot from 5 ft
3:26.0,,,43-54,,Shooting foul by S. Hawes (drawn by R. Jackson)
3:26.0,,,43-55,1,R. Jackson makes free throw 1 of 1
3:14.0,K. Walker misses 2-pt shot from 2 ft,,43-55,,
3:12.0,,,43-55,,Defensive rebound by R. Jackson
3:01.0,,,43-55,,M. Morris misses 2-pt shot from 3 ft
3:01.0,Defensive rebound by N. Batum,,43-55,,
2:46.0,Shooting foul by M. Morris (drawn by N. Batum),,43-55,,
2:46.0,Official timeout,,43-55,,
2:46.0,N. Batum makes free throw 1 of 2,1,44-55,,
2:46.0,N. Batum makes free throw 2 of 2,1,45-55,,
2:46.0,,,43-55,,T. Harris enters the game for J. Leuer
2:36.0,,,45-55,,A. Drummond misses 2-pt shot from 1 ft (block by S. Hawes)
2:35.0,Defensive rebound by S. Hawes,,45-55,,
2:22.0,S. Hawes misses 3-pt shot from 27 ft,,45-55,,
2:21.0,,,45-55,,Defensive rebound by M. Morris
2:12.0,,,45-55,,A. Drummond misses 2-pt shot from 6 ft
2:12.0,Defensive rebound by M. Williams,,45-55,,
2:02.0,N. Batum misses 3-pt shot from 25 ft,,45-55,,
2:01.0,,,45-55,,Defensive rebound by A. Drummond
1:49.0,,,45-55,,K. Caldwell-Pope misses 3-pt shot from 27 ft
1:48.0,Defensive rebound by M. Kidd-Gilchrist,,45-55,,
1:34.0,N. Batum misses 2-pt shot from 6 ft,,45-55,,
1:33.0,Offensive rebound by M. Kidd-Gilchrist,,45-55,,
1:26.0,K. Walker misses 3-pt shot from 25 ft,,45-55,,
1:25.0,,,45-55,,Defensive rebound by A. Drummond
1:14.0,,,45-58,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
0:51.0,,,45-58,,Personal foul by T. Harris (drawn by M. Williams)
0:51.0,M. Williams misses free throw 1 of 2,,45-58,,
0:51.0,Offensive rebound by Team,,45-58,,
0:51.0,M. Williams misses free throw 2 of 2,,45-58,,
0:51.0,,,45-58,,S. Johnson enters the game for A. Drummond
0:51.0,,,45-58,,B. Marjanovic enters the game for R. Jackson
0:51.0,,,45-58,,I. Smith enters the game for T. Harris
0:51.0,F. Kaminsky enters the game for S. Hawes,,45-58,,
0:50.0,,,45-58,,Defensive rebound by S. Johnson
0:29.0,,,45-58,,I. Smith misses 2-pt shot from 18 ft
0:28.0,,,45-58,,Offensive rebound by B. Marjanovic
0:04.0,,,45-58,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by M. Kidd-Gilchrist,,45-58,,
0:00.0,Shooting foul by I. Smith (drawn by K. Walker),,45-58,,
0:00.0,K. Walker makes free throw 1 of 3,1,46-58,,
0:00.0,K. Walker makes free throw 2 of 3,1,47-58,,
0:00.0,K. Walker makes free throw 3 of 3,1,48-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,N. Batum misses 2-pt shot from 12 ft,,48-58,,
11:47.0,Offensive rebound by Team,,48-58,,
11:47.0,,,48-58,,Loose ball foul by J. Leuer (drawn by R. Hibbert)
11:31.0,N. Batum misses 2-pt shot from 5 ft,,48-58,,
11:31.0,Offensive rebound by R. Hibbert,,48-58,,
11:24.0,K. Walker makes 3-pt shot from 25 ft (assist by R. Hibbert),3,51-58,,
11:09.0,,,51-60,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
11:06.0,,,51-60,,Personal foul by A. Drummond (drawn by R. Hibbert)
10:56.0,K. Walker misses 2-pt shot at rim,,51-60,,
10:56.0,Offensive rebound by R. Hibbert,,51-60,,
10:53.0,R. Hibbert makes 2-pt shot from 1 ft,2,53-60,,
10:48.0,Personal foul by N. Batum (drawn by K. Caldwell-Pope),,53-60,,
10:42.0,,,53-60,,R. Jackson misses 2-pt shot from 13 ft
10:42.0,,,53-60,,Offensive rebound by R. Jackson
10:42.0,,,53-60,,R. Jackson misses 2-pt shot from 13 ft
10:42.0,Defensive rebound by R. Hibbert,,53-60,,
10:42.0,,,53-60,,Personal foul by A. Drummond (drawn by R. Hibbert)
10:42.0,,,53-60,,B. Marjanovic enters the game for A. Drummond
10:42.0,,,53-60,,Violation by Team (jump ball)
10:18.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,56-60,,
10:18.0,,,56-60,,Detroit full timeout
9:57.0,,,56-62,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Jackson)
9:39.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,59-62,,
9:32.0,,,59-62,,Detroit full timeout
9:32.0,,,59-62,,D. Hilliard enters the game for K. Caldwell-Pope
9:24.0,,,59-62,,J. Leuer misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by K. Walker,,59-62,,
9:14.0,K. Walker misses 2-pt shot from 10 ft,,59-62,,
9:14.0,Offensive rebound by M. Kidd-Gilchrist,,59-62,,
9:08.0,M. Williams misses 2-pt shot from 10 ft,,59-62,,
9:07.0,Offensive rebound by M. Kidd-Gilchrist,,59-62,,
8:59.0,M. Williams misses 3-pt shot from 25 ft,,59-62,,
8:58.0,,,59-62,,Defensive rebound by J. Leuer
8:53.0,,,59-62,,R. Jackson misses 2-pt shot from 16 ft
8:53.0,Defensive rebound by M. Kidd-Gilchrist,,59-62,,
8:39.0,R. Hibbert makes 2-pt shot from 6 ft,2,61-62,,
8:22.0,,,61-62,,M. Morris misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by M. Williams,,61-62,,
8:15.0,K. Walker misses 3-pt shot from 24 ft,,61-62,,
8:15.0,,,61-62,,Defensive rebound by B. Marjanovic
8:04.0,,,61-62,,J. Leuer misses 2-pt shot from 21 ft
8:04.0,Defensive rebound by N. Batum,,61-62,,
7:54.0,Turnover by N. Batum (bad pass),,61-62,,
7:54.0,Jump ball: M. Kidd-Gilchrist vs. M. Morris (D. Hilliard gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. M. Morris (D. Hilliard gains possession)
7:40.0,,,61-64,2,R. Jackson makes 2-pt shot from 1 ft
7:15.0,M. Williams makes 2-pt shot from 7 ft (assist by K. Walker),2,63-64,,
6:54.0,,,63-64,,Offensive charge foul by R. Jackson
6:54.0,,,63-64,,Turnover by R. Jackson (offensive foul)
6:54.0,,,63-64,,Technical foul by R. Jackson
6:54.0,N. Batum makes technical free throw,1,64-64,,
6:40.0,K. Walker misses 2-pt shot from 16 ft,,64-64,,
6:40.0,,,64-64,,Defensive rebound by J. Leuer
6:32.0,,,64-64,,R. Jackson misses 3-pt shot from 26 ft
6:32.0,,,64-64,,Offensive rebound by M. Morris
6:32.0,,,64-64,,M. Morris misses 2-pt shot from 3 ft (block by R. Hibbert)
6:32.0,,,64-64,,Offensive rebound by Team
6:24.0,,,64-67,3,J. Leuer makes 3-pt shot from 28 ft (assist by R. Jackson)
6:07.0,N. Batum misses 3-pt shot from 27 ft,,64-67,,
6:07.0,,,64-67,,Defensive rebound by B. Marjanovic
5:49.0,,,64-67,,D. Hilliard misses 2-pt shot from 17 ft
5:49.0,Defensive rebound by M. Kidd-Gilchrist,,64-67,,
5:27.0,K. Walker misses 3-pt shot from 27 ft,,64-67,,
5:27.0,,,64-67,,Defensive rebound by B. Marjanovic
5:06.0,,,64-67,,D. Hilliard misses 2-pt shot from 8 ft (block by R. Hibbert)
5:04.0,Defensive rebound by K. Walker,,64-67,,
4:53.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,64-67,,
4:52.0,,,64-67,,Defensive rebound by B. Marjanovic
4:48.0,Personal foul by K. Walker (drawn by R. Jackson),,64-67,,
4:48.0,,,64-67,,T. Harris enters the game for J. Leuer
4:48.0,J. Lamb enters the game for M. Williams,,64-67,,
4:48.0,F. Kaminsky enters the game for N. Batum,,64-67,,
4:37.0,,,64-69,2,T. Harris makes 2-pt shot from 17 ft (assist by R. Jackson)
4:17.0,Shooting foul by M. Morris (drawn by M. Kidd-Gilchrist),,64-69,,
4:17.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,65-69,,
4:17.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,66-69,,
4:03.0,,,66-69,,T. Harris misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by K. Walker,,66-69,,
3:53.0,Turnover by K. Walker (lost ball; steal by T. Harris),,66-69,,
3:45.0,,,66-72,3,R. Jackson makes 3-pt shot from 26 ft (assist by T. Harris)
3:25.0,F. Kaminsky misses 3-pt shot from 26 ft,,66-72,,
3:24.0,,,66-72,,Defensive rebound by B. Marjanovic
3:12.0,,,66-72,,D. Hilliard misses 3-pt shot from 26 ft
3:11.0,Defensive rebound by F. Kaminsky,,66-72,,
2:54.0,J. Lamb misses 3-pt shot from 26 ft,,66-72,,
2:53.0,,,66-72,,Defensive rebound by M. Morris
2:46.0,,,66-72,,Shooting foul by R. Hibbert (drawn by M. Morris)
2:46.0,Charlotte full timeout,,66-72,,
2:46.0,,,66-72,,M. Morris misses free throw 1 of 2
2:46.0,,,66-72,,Offensive rebound by Team
2:46.0,,,66-73,1,M. Morris makes free throw 2 of 2
2:46.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,66-72,,
2:46.0,R. Sessions enters the game for R. Hibbert,,66-72,,
2:46.0,S. Hawes enters the game for K. Walker,,66-72,,
2:46.0,,,66-72,,I. Smith enters the game for R. Jackson
2:32.0,R. Sessions misses 2-pt shot from 7 ft,,66-73,,
2:32.0,,,66-73,,Defensive rebound by I. Smith
2:26.0,,,66-75,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by M. Morris)
2:26.0,,,66-75,,Shooting foul by S. Hawes (drawn by B. Marjanovic)
2:26.0,,,66-76,1,B. Marjanovic makes free throw 1 of 1
2:10.0,R. Sessions makes 2-pt shot from 13 ft,2,68-76,,
1:53.0,,,68-76,,Turnover by D. Hilliard (bad pass)
1:42.0,Shooting foul by D. Hilliard (drawn by M. Belinelli),,68-76,,
1:42.0,M. Belinelli misses free throw 1 of 3,,68-76,,
1:42.0,Offensive rebound by Team,,68-76,,
1:42.0,M. Belinelli makes free throw 2 of 3,1,69-76,,
1:42.0,M. Belinelli makes free throw 3 of 3,1,70-76,,
1:35.0,Personal foul by M. Belinelli (drawn by M. Morris),,70-76,,
1:35.0,,,70-77,1,M. Morris makes free throw 1 of 2
1:35.0,,,70-78,1,M. Morris makes free throw 2 of 2
1:19.0,J. Lamb misses 2-pt shot from 6 ft,,70-78,,
1:18.0,,,70-78,,Defensive rebound by T. Harris
1:12.0,,,70-78,,T. Harris misses 3-pt shot from 26 ft
1:12.0,,,70-78,,Offensive rebound by B. Marjanovic
1:12.0,Personal foul by J. Lamb (drawn by B. Marjanovic),,70-78,,
1:12.0,,,70-79,1,B. Marjanovic makes free throw 1 of 2
1:12.0,,,70-80,1,B. Marjanovic makes free throw 2 of 2
0:59.0,R. Sessions misses 3-pt shot from 24 ft,,70-80,,
0:58.0,,,70-80,,Defensive rebound by I. Smith
0:45.0,,,70-80,,I. Smith misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by J. Lamb,,70-80,,
0:33.0,J. Lamb misses 2-pt shot from 18 ft,,70-80,,
0:32.0,,,70-80,,Defensive rebound by B. Marjanovic
0:26.0,,,70-82,2,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith)
0:04.0,S. Hawes misses 2-pt shot from 14 ft,,70-82,,
0:03.0,,,70-82,,Defensive rebound by M. Morris
0:01.0,,,70-85,3,M. Morris makes 3-pt shot from 33 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,70-85,,K. Caldwell-Pope misses 2-pt shot from 16 ft
11:42.0,Defensive rebound by M. Belinelli,,70-85,,
11:26.0,F. Kaminsky misses 2-pt shot from 17 ft,,70-85,,
11:24.0,,,70-85,,Defensive rebound by K. Caldwell-Pope
11:10.0,,,70-85,,Shooting foul by F. Kaminsky (drawn by T. Harris)
11:10.0,,,70-86,1,T. Harris makes free throw 1 of 2
11:10.0,,,70-87,1,T. Harris makes free throw 2 of 2
10:52.0,S. Hawes makes 2-pt shot from 1 ft,2,72-87,,
10:39.0,,,72-87,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Lamb)
10:37.0,,,72-87,,Personal foul by K. Caldwell-Pope (drawn by R. Sessions)
10:21.0,M. Belinelli misses 2-pt shot from 2 ft,,72-87,,
10:20.0,,,72-87,,Defensive rebound by B. Marjanovic
10:14.0,,,72-89,2,I. Smith makes 2-pt shot at rim
10:02.0,M. Belinelli misses 2-pt shot from 23 ft,,72-89,,
