time,Atlanta,pts.away,score,pts.home,Chicago
2:52.0,Defensive rebound by K. Bazemore,,17-19,,
2:44.0,D. Howard makes 2-pt shot at rim (assist by M. Muscala),2,19-19,,
2:44.0,,,19-19,,Chicago full timeout
2:44.0,M. Dunleavy enters the game for D. Howard,,19-19,,
2:44.0,K. Humphries enters the game for T. Hardaway,,19-19,,
2:30.0,,,19-19,,Turnover by R. Rondo (lost ball)
2:08.0,M. Dunleavy misses 3-pt shot from 26 ft,,19-19,,
2:07.0,,,19-19,,Defensive rebound by R. Rondo
2:01.0,Violation by K. Humphries (kicked ball),,19-19,,
2:01.0,,,19-19,,M. Carter-Williams enters the game for R. Rondo
1:54.0,,,19-21,2,R. Lopez makes 2-pt shot from 15 ft (assist by J. Butler)
1:39.0,D. Schroder makes 2-pt shot from 2 ft,2,21-21,,
1:21.0,,,21-21,,Shooting foul by K. Bazemore (drawn by J. Butler)
1:21.0,,,21-22,1,J. Butler makes free throw 1 of 2
1:21.0,,,21-23,1,J. Butler makes free throw 2 of 2
1:09.0,,,21-23,,Personal foul by B. Portis (drawn by D. Schroder)
0:58.0,Turnover by M. Muscala (3 sec),,21-23,,
0:46.0,,,21-23,,M. Carter-Williams misses 3-pt shot from 27 ft
0:45.0,Defensive rebound by M. Dunleavy,,21-23,,
0:30.0,K. Humphries misses 3-pt shot from 25 ft,,21-23,,
0:29.0,,,21-23,,Defensive rebound by J. Butler
0:07.0,,,21-23,,B. Portis misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by M. Dunleavy,,21-23,,
0:00.0,K. Bazemore misses 3-pt shot from 28 ft,,21-23,,
0:00.0,Offensive rebound by Team,,21-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,21-25,2,M. Carter-Williams makes 2-pt shot from 1 ft
11:27.0,J. Calderon makes 2-pt shot from 20 ft (assist by T. Hardaway),2,23-25,,
11:12.0,,,23-25,,D. Valentine misses 2-pt shot from 16 ft
11:11.0,Defensive rebound by K. Humphries,,23-25,,
10:59.0,Turnover by J. Calderon (bad pass; steal by B. Portis),,23-25,,
10:49.0,,,23-25,,D. Valentine misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by K. Humphries,,23-25,,
10:33.0,K. Humphries misses 2-pt shot from 21 ft,,23-25,,
10:32.0,Offensive rebound by J. Calderon,,23-25,,
10:25.0,M. Muscala misses 2-pt shot from 20 ft,,23-25,,
10:24.0,,,23-25,,Defensive rebound by P. Zipser
10:13.0,,,23-28,3,M. Carter-Williams makes 3-pt shot from 24 ft
9:57.0,K. Humphries misses 2-pt shot from 7 ft,,23-28,,
9:56.0,,,23-28,,Defensive rebound by B. Portis
9:45.0,,,23-28,,B. Portis misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by T. Hardaway,,23-28,,
9:33.0,M. Muscala makes 3-pt shot from 25 ft (assist by T. Hardaway),3,26-28,,
9:18.0,,,26-28,,J. Lauvergne misses 2-pt shot from 19 ft
9:17.0,Defensive rebound by M. Dunleavy,,26-28,,
9:04.0,T. Hardaway misses 2-pt shot from 1 ft,,26-28,,
9:03.0,,,26-28,,Defensive rebound by D. Valentine
8:49.0,,,26-31,3,D. Valentine makes 3-pt shot from 25 ft (assist by P. Zipser)
8:29.0,M. Muscala makes 3-pt shot from 26 ft (assist by T. Hardaway),3,29-31,,
8:08.0,,,29-31,,J. Lauvergne misses 2-pt shot from 6 ft
8:06.0,Defensive rebound by J. Calderon,,29-31,,
8:01.0,T. Hardaway makes 3-pt shot from 26 ft (assist by J. Calderon),3,32-31,,
7:59.0,,,32-31,,Chicago full timeout
7:59.0,D. Howard enters the game for K. Humphries,,32-31,,
7:41.0,,,32-33,2,D. Valentine makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
7:25.0,T. Hardaway misses 2-pt shot from 2 ft (block by D. Valentine),,32-33,,
7:23.0,,,32-33,,Defensive rebound by M. Carter-Williams
7:11.0,,,32-35,2,J. Lauvergne makes 2-pt shot from 5 ft
7:00.0,,,32-35,,Personal foul by M. Carter-Williams (drawn by M. Dunleavy)
7:00.0,E. Ilyasova enters the game for M. Muscala,,32-35,,
6:58.0,Shooting foul by P. Zipser (drawn by T. Hardaway),,32-35,,
6:58.0,T. Hardaway makes free throw 1 of 2,1,33-35,,
6:58.0,T. Hardaway makes free throw 2 of 2,1,34-35,,
6:49.0,,,34-35,,M. Carter-Williams misses 2-pt shot from 15 ft
6:48.0,,,34-35,,Offensive rebound by M. Carter-Williams
6:45.0,,,34-37,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by B. Portis)
6:32.0,Turnover by J. Calderon (bad pass),,34-37,,
6:32.0,T. Waller-Prince enters the game for M. Dunleavy,,34-37,,
6:32.0,,,34-37,,J. Butler enters the game for P. Zipser
6:32.0,,,34-37,,R. Rondo enters the game for B. Portis
6:32.0,,,34-37,,N. Mirotic enters the game for M. Carter-Williams
6:19.0,D. Schroder enters the game for J. Calderon,,34-37,,
6:19.0,Jump ball: E. Ilyasova vs. D. Valentine,,,,Jump ball: E. Ilyasova vs. D. Valentine
6:19.0,,,34-37,,Violation by Team (jump ball)
6:19.0,,,34-37,,Turnover by R. Rondo (jump ball violation.)
6:00.0,D. Schroder makes 2-pt shot from 2 ft,2,36-37,,
5:44.0,,,36-40,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler)
5:29.0,T. Waller-Prince misses 3-pt shot from 25 ft,,36-40,,
5:29.0,,,36-40,,Defensive rebound by Team
5:29.0,,,36-40,,Chicago full timeout
5:29.0,,,36-40,,R. Lopez enters the game for J. Lauvergne
5:18.0,,,36-42,2,R. Rondo makes 2-pt shot from 20 ft (assist by D. Valentine)
5:05.0,Turnover by E. Ilyasova (traveling),,36-42,,
5:05.0,K. Bazemore enters the game for T. Hardaway,,36-42,,
4:44.0,,,36-42,,D. Valentine misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by K. Bazemore,,36-42,,
4:33.0,E. Ilyasova misses 2-pt shot from 15 ft,,36-42,,
4:32.0,,,36-42,,Defensive rebound by R. Rondo
4:15.0,,,36-42,,N. Mirotic misses 2-pt shot from 10 ft
4:13.0,Defensive rebound by D. Schroder,,36-42,,
4:07.0,D. Schroder makes 2-pt shot from 6 ft,2,38-42,,
3:55.0,,,38-42,,R. Rondo misses 2-pt shot from 5 ft (block by D. Howard)
3:54.0,Defensive rebound by D. Howard,,38-42,,
3:48.0,Turnover by T. Waller-Prince (traveling),,38-42,,
3:35.0,,,38-42,,Offensive foul by R. Lopez
3:35.0,,,38-42,,Turnover by R. Lopez (offensive foul)
3:18.0,Shooting foul by J. Butler (drawn by D. Howard),,38-42,,
3:18.0,D. Howard makes free throw 1 of 2,1,39-42,,
3:18.0,D. Howard misses free throw 2 of 2,,39-42,,
3:16.0,,,39-42,,Defensive rebound by N. Mirotic
3:04.0,,,39-42,,J. Butler misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by D. Howard,,39-42,,
2:57.0,K. Bazemore misses 3-pt shot from 25 ft,,39-42,,
2:56.0,,,39-42,,Defensive rebound by R. Rondo
2:53.0,,,39-42,,Shooting foul by D. Schroder (drawn by J. Butler)
2:53.0,Atlanta full timeout,,39-42,,
2:53.0,,,39-43,1,J. Butler makes free throw 1 of 2
2:53.0,,,39-44,1,J. Butler makes free throw 2 of 2
2:53.0,,,39-42,,P. Zipser enters the game for D. Valentine
2:36.0,E. Ilyasova misses 2-pt shot from 22 ft,,39-44,,
2:34.0,,,39-44,,Defensive rebound by R. Rondo
2:21.0,,,39-46,2,J. Butler makes 2-pt shot from 12 ft (assist by R. Rondo)
2:01.0,T. Waller-Prince misses 3-pt shot from 25 ft,,39-46,,
2:00.0,,,39-46,,Defensive rebound by N. Mirotic
1:58.0,,,39-46,,Turnover by N. Mirotic (bad pass; steal by D. Schroder)
1:54.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder),2,41-46,,
1:38.0,Personal foul by T. Waller-Prince (drawn by P. Zipser),,41-46,,
1:21.0,,,41-46,,J. Butler misses 2-pt shot from 16 ft
1:20.0,Defensive rebound by T. Waller-Prince,,41-46,,
1:03.0,Shooting foul by R. Lopez (drawn by T. Waller-Prince),,41-46,,
1:03.0,T. Waller-Prince misses free throw 1 of 2,,41-46,,
1:03.0,Offensive rebound by Team,,41-46,,
1:03.0,T. Waller-Prince makes free throw 2 of 2,1,42-46,,
1:03.0,T. Hardaway enters the game for D. Schroder,,41-46,,
1:03.0,,,41-46,,J. Lauvergne enters the game for R. Lopez
0:56.0,,,42-46,,Shooting foul by T. Hardaway (drawn by N. Mirotic)
0:56.0,,,42-47,1,N. Mirotic makes free throw 1 of 2
0:56.0,,,42-48,1,N. Mirotic makes free throw 2 of 2
0:56.0,D. Schroder enters the game for T. Waller-Prince,,42-47,,
0:44.0,D. Schroder makes 2-pt shot from 2 ft,2,44-48,,
0:39.0,,,44-50,2,R. Rondo makes 2-pt shot from 1 ft
0:31.0,D. Schroder misses 2-pt shot from 3 ft (block by P. Zipser),,44-50,,
0:29.0,,,44-50,,Defensive rebound by R. Rondo
0:27.0,,,44-52,2,R. Rondo makes 2-pt shot from 1 ft
0:05.0,T. Hardaway misses 2-pt shot from 3 ft (block by P. Zipser),,44-52,,
0:03.0,Offensive rebound by D. Howard,,44-52,,
0:03.0,T. Hardaway misses 2-pt shot from 3 ft,,44-52,,
0:03.0,Offensive rebound by T. Hardaway,,44-52,,
0:02.0,D. Howard makes 2-pt shot from 2 ft,2,46-52,,
0:02.0,D. Howard misses 2-pt shot from 2 ft,,46-52,,
0:02.0,Offensive rebound by D. Howard,,46-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-52,,Turnover by R. Rondo (bad pass)
11:26.0,D. Schroder misses 2-pt shot from 2 ft,,46-52,,
11:25.0,,,46-52,,Defensive rebound by N. Mirotic
11:16.0,,,46-52,,Turnover by R. Rondo (bad pass; steal by T. Waller-Prince)
11:15.0,Offensive foul by T. Waller-Prince,,46-52,,
11:15.0,Turnover by T. Waller-Prince (bad pass),,46-52,,
11:08.0,Personal foul by T. Waller-Prince (drawn by J. Butler),,46-52,,
10:56.0,,,46-54,2,J. Butler makes 2-pt shot from 9 ft
10:44.0,Turnover by D. Schroder (bad pass; steal by N. Mirotic),,46-54,,
10:38.0,,,46-56,2,P. Zipser makes 2-pt shot from 1 ft (assist by R. Rondo)
10:37.0,Atlanta full timeout,,46-56,,
10:18.0,D. Schroder makes 3-pt shot from 27 ft (assist by T. Waller-Prince),3,49-56,,
10:00.0,,,49-58,2,J. Butler makes 2-pt shot from 14 ft (assist by N. Mirotic)
9:52.0,,,49-58,,Personal foul by P. Zipser (drawn by T. Hardaway)
9:44.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder),2,51-58,,
9:17.0,,,51-61,3,R. Rondo makes 3-pt shot from 27 ft (assist by J. Butler)
9:00.0,T. Waller-Prince misses 3-pt shot from 25 ft,,51-61,,
8:59.0,,,51-61,,Defensive rebound by R. Lopez
8:56.0,Personal foul by D. Schroder (drawn by N. Mirotic),,51-61,,
8:45.0,,,51-61,,P. Zipser misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by T. Waller-Prince,,51-61,,
8:37.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,54-61,,
8:19.0,,,54-63,2,R. Rondo makes 2-pt shot from 7 ft
8:06.0,Turnover by T. Hardaway (bad pass; steal by R. Rondo),,54-63,,
8:03.0,,,54-63,,Turnover by R. Rondo (bad pass)
7:55.0,D. Howard misses 2-pt shot from 2 ft,,54-63,,
7:54.0,Offensive rebound by D. Howard,,54-63,,
7:54.0,D. Howard misses 2-pt shot from 1 ft,,54-63,,
7:54.0,Offensive rebound by D. Howard,,54-63,,
7:50.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Howard),3,57-63,,
7:36.0,,,57-65,2,R. Rondo makes 2-pt shot from 22 ft
7:15.0,E. Ilyasova misses 2-pt shot from 10 ft,,57-65,,
7:14.0,,,57-65,,Defensive rebound by R. Lopez
7:07.0,,,57-65,,R. Rondo misses 2-pt shot from 2 ft
7:05.0,,,57-65,,Offensive rebound by R. Rondo
7:03.0,,,57-65,,Turnover by R. Rondo (bad pass)
6:47.0,T. Hardaway makes 2-pt shot from 17 ft (assist by D. Howard),2,59-65,,
6:47.0,Shooting foul by P. Zipser (drawn by T. Hardaway),,59-65,,
6:47.0,T. Hardaway makes free throw 1 of 1,1,60-65,,
6:47.0,M. Muscala enters the game for E. Ilyasova,,59-65,,
6:20.0,,,60-65,,J. Butler misses 3-pt shot from 28 ft
6:19.0,Defensive rebound by D. Howard,,60-65,,
6:16.0,Shooting foul by N. Mirotic (drawn by T. Hardaway),,60-65,,
6:16.0,T. Hardaway makes free throw 1 of 2,1,61-65,,
6:16.0,T. Hardaway makes free throw 2 of 2,1,62-65,,
6:16.0,,,61-65,,D. Valentine enters the game for P. Zipser
6:00.0,,,62-67,2,J. Butler makes 2-pt shot from 14 ft
5:49.0,T. Waller-Prince misses 2-pt shot from 2 ft,,62-67,,
5:49.0,,,62-67,,Defensive rebound by Team
5:49.0,Loose ball foul by M. Muscala (drawn by N. Mirotic),,62-67,,
5:30.0,,,62-67,,D. Valentine misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by D. Howard,,62-67,,
5:20.0,Shooting foul by D. Valentine (drawn by T. Waller-Prince),,62-67,,
5:20.0,T. Waller-Prince misses free throw 1 of 2,,62-67,,
5:20.0,Offensive rebound by Team,,62-67,,
5:20.0,T. Waller-Prince makes free throw 2 of 2,1,63-67,,
5:05.0,,,63-67,,Turnover by R. Lopez (bad pass; steal by T. Waller-Prince)
5:01.0,Turnover by T. Hardaway (lost ball; steal by R. Rondo),,63-67,,
4:48.0,,,63-69,2,D. Valentine makes 2-pt shot from 18 ft (assist by N. Mirotic)
4:31.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Howard),2,65-69,,
4:31.0,Shooting foul by R. Rondo (drawn by T. Waller-Prince),,65-69,,
4:31.0,T. Waller-Prince makes free throw 1 of 1,1,66-69,,
4:31.0,,,65-69,,B. Portis enters the game for N. Mirotic
4:31.0,K. Bazemore enters the game for T. Hardaway,,65-69,,
4:18.0,,,66-69,,R. Lopez misses 2-pt shot from 19 ft
4:17.0,Defensive rebound by D. Schroder,,66-69,,
4:09.0,Shooting foul by D. Valentine (drawn by D. Schroder),,66-69,,
4:09.0,D. Schroder makes free throw 1 of 2,1,67-69,,
4:09.0,D. Schroder makes free throw 2 of 2,1,68-69,,
4:09.0,M. Dunleavy enters the game for T. Waller-Prince,,67-69,,
3:52.0,,,68-69,,B. Portis misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by D. Howard,,68-69,,
3:45.0,Shooting foul by R. Rondo (drawn by D. Schroder),,68-69,,
3:45.0,D. Schroder makes free throw 1 of 2,1,69-69,,
3:45.0,D. Schroder makes free throw 2 of 2,1,70-69,,
3:45.0,,,69-69,,M. Carter-Williams enters the game for R. Rondo
3:24.0,,,70-69,,R. Lopez misses 2-pt shot from 15 ft
3:23.0,Defensive rebound by K. Bazemore,,70-69,,
3:08.0,D. Howard misses 2-pt shot from 2 ft,,70-69,,
3:07.0,,,70-69,,Defensive rebound by B. Portis
3:02.0,,,70-71,2,J. Butler makes 2-pt shot from 2 ft
2:48.0,D. Howard makes 2-pt shot from 13 ft,2,72-71,,
2:32.0,,,72-73,2,J. Butler makes 2-pt shot from 21 ft (assist by M. Carter-Williams)
2:03.0,K. Bazemore misses 2-pt shot from 5 ft,,72-73,,
2:02.0,Offensive rebound by D. Schroder,,72-73,,
1:52.0,M. Muscala makes 3-pt shot from 24 ft (assist by M. Dunleavy),3,75-73,,
1:52.0,,,75-73,,Chicago full timeout
1:52.0,E. Ilyasova enters the game for D. Howard,,75-73,,
1:40.0,,,75-73,,Shooting foul by E. Ilyasova (drawn by J. Butler)
1:40.0,,,75-74,1,J. Butler makes free throw 1 of 2
1:40.0,,,75-75,1,J. Butler makes free throw 2 of 2
1:40.0,,,75-74,,J. Lauvergne enters the game for R. Lopez
1:29.0,D. Schroder makes 2-pt shot from 1 ft,2,77-75,,
1:05.0,,,77-77,2,J. Butler makes 2-pt shot from 13 ft
0:51.0,D. Schroder makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,79-77,,
0:40.0,,,79-77,,Shooting foul by E. Ilyasova (drawn by J. Butler)
0:40.0,,,79-78,1,J. Butler makes free throw 1 of 2
0:40.0,,,79-79,1,J. Butler makes free throw 2 of 2
0:31.0,E. Ilyasova misses 3-pt shot from 26 ft (block by J. Butler),,79-79,,
0:29.0,Offensive rebound by D. Schroder,,79-79,,
0:26.0,D. Schroder makes 2-pt shot from 1 ft,2,81-79,,
0:04.0,,,81-79,,M. Carter-Williams misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by M. Muscala,,81-79,,
0:00.0,K. Bazemore makes 3-pt shot from 37 ft (assist by M. Muscala),3,84-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Calderon misses 3-pt shot from 25 ft,,84-79,,
11:39.0,,,84-79,,Defensive rebound by J. Lauvergne
11:15.0,,,84-79,,D. Valentine misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by J. Calderon,,84-79,,
11:07.0,K. Bazemore misses 2-pt shot from 2 ft,,84-79,,
11:06.0,,,84-79,,Defensive rebound by B. Portis
11:01.0,Personal block foul by M. Muscala (drawn by J. Butler),,84-79,,
11:01.0,T. Waller-Prince enters the game for K. Bazemore,,84-79,,
10:48.0,,,84-79,,Turnover by D. Valentine (bad pass; steal by T. Waller-Prince)
10:47.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,86-79,,
10:47.0,Shooting foul by P. Zipser (drawn by T. Waller-Prince),,86-79,,
10:47.0,T. Waller-Prince misses free throw 1 of 1,,86-79,,
10:47.0,,,86-79,,R. Rondo enters the game for D. Valentine
10:45.0,,,86-79,,Defensive rebound by B. Portis
10:19.0,,,86-79,,J. Lauvergne misses 2-pt shot from 9 ft
10:17.0,Defensive rebound by Team,,86-79,,
10:04.0,E. Ilyasova misses 3-pt shot from 25 ft,,86-79,,
10:03.0,,,86-79,,Defensive rebound by J. Butler
9:53.0,,,86-79,,J. Butler misses 2-pt shot from 14 ft
9:53.0,,,86-79,,Offensive rebound by Team
9:53.0,D. Howard enters the game for M. Muscala,,86-79,,
9:39.0,,,86-79,,B. Portis misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by T. Hardaway,,86-79,,
9:31.0,J. Calderon makes 3-pt shot from 27 ft (assist by E. Ilyasova),3,89-79,,
9:30.0,,,89-79,,Chicago full timeout
9:30.0,,,89-79,,N. Mirotic enters the game for B. Portis
9:30.0,,,89-79,,R. Lopez enters the game for J. Lauvergne
9:13.0,,,89-79,,R. Lopez misses 2-pt shot from 7 ft
9:12.0,Defensive rebound by E. Ilyasova,,89-79,,
9:04.0,T. Hardaway misses 3-pt shot from 25 ft,,89-79,,
9:04.0,,,89-79,,Defensive rebound by N. Mirotic
8:45.0,,,89-79,,N. Mirotic misses 2-pt shot from 7 ft
8:44.0,,,89-79,,Offensive rebound by Team
8:40.0,,,89-79,,R. Rondo misses 3-pt shot from 23 ft
8:40.0,,,89-79,,Offensive rebound by Team
8:40.0,Loose ball foul by E. Ilyasova (drawn by N. Mirotic),,89-79,,
8:29.0,,,89-81,2,R. Lopez makes 2-pt shot at rim (assist by J. Butler)
8:12.0,T. Hardaway misses 2-pt shot from 12 ft,,89-81,,
8:09.0,Offensive rebound by E. Ilyasova,,89-81,,
8:09.0,E. Ilyasova makes 2-pt shot from 2 ft,2,91-81,,
8:00.0,,,91-83,2,R. Rondo makes 2-pt shot from 6 ft
7:45.0,T. Hardaway misses 2-pt shot from 16 ft,,91-83,,
7:44.0,,,91-83,,Defensive rebound by R. Rondo
7:40.0,,,91-85,2,R. Rondo makes 2-pt shot from 2 ft
7:23.0,T. Hardaway makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,93-85,,
7:09.0,,,93-85,,Offensive charge foul by J. Butler
7:09.0,,,93-85,,Turnover by J. Butler (offensive foul)
7:09.0,,,93-85,,D. Valentine enters the game for P. Zipser
6:59.0,Offensive foul by D. Howard,,93-85,,
6:59.0,Turnover by D. Howard (offensive foul),,93-85,,
6:46.0,Personal foul by T. Hardaway (drawn by N. Mirotic),,93-85,,
6:46.0,D. Schroder enters the game for J. Calderon,,93-85,,
6:35.0,,,93-88,3,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Butler)
6:14.0,T. Hardaway misses 2-pt shot from 14 ft,,93-88,,
6:13.0,Offensive rebound by D. Howard,,93-88,,
6:10.0,T. Waller-Prince misses 3-pt shot from 25 ft,,93-88,,
6:09.0,Offensive rebound by Team,,93-88,,
6:09.0,K. Bazemore enters the game for T. Waller-Prince,,93-88,,
5:53.0,K. Bazemore misses 2-pt shot from 3 ft,,93-88,,
5:51.0,Offensive rebound by E. Ilyasova,,93-88,,
5:48.0,E. Ilyasova makes 3-pt shot from 25 ft,3,96-88,,
5:33.0,,,96-91,3,R. Rondo makes 3-pt shot from 25 ft (assist by N. Mirotic)
5:13.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by D. Schroder),2,98-91,,
5:01.0,,,98-91,,N. Mirotic misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by D. Schroder,,98-91,,
4:54.0,D. Schroder makes 2-pt shot from 1 ft,2,100-91,,
4:50.0,,,100-91,,Chicago full timeout
4:38.0,,,100-94,3,D. Valentine makes 3-pt shot from 24 ft (assist by J. Butler)
4:21.0,D. Schroder misses 2-pt shot from 21 ft,,100-94,,
4:20.0,,,100-94,,Defensive rebound by N. Mirotic
3:59.0,,,100-94,,R. Lopez misses 2-pt shot from 5 ft
3:58.0,,,100-94,,Offensive rebound by J. Butler
3:58.0,,,100-94,,J. Butler misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by K. Bazemore,,100-94,,
3:40.0,E. Ilyasova misses 2-pt shot from 21 ft,,100-94,,
3:39.0,,,100-94,,Defensive rebound by R. Rondo
3:25.0,,,100-94,,D. Valentine misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by T. Hardaway,,100-94,,
3:19.0,D. Howard misses 2-pt shot at rim,,100-94,,
3:17.0,,,100-94,,Defensive rebound by N. Mirotic
3:11.0,,,100-97,3,D. Valentine makes 3-pt shot from 26 ft (assist by R. Rondo)
3:11.0,Atlanta full timeout,,100-97,,
2:54.0,K. Bazemore misses 3-pt shot from 25 ft,,100-97,,
2:52.0,,,100-97,,Defensive rebound by N. Mirotic
