time,Cleveland,pts.away,score,pts.home,Portland
5:45.0,K. Irving misses 2-pt shot from 2 ft (block by A. Aminu),,26-40,,
5:44.0,,,26-40,,Defensive rebound by A. Aminu
5:39.0,,,26-42,2,M. Harkless makes 2-pt shot at rim (assist by E. Turner)
5:39.0,Cleveland full timeout,,26-42,,
5:29.0,,,26-42,,Personal foul by M. Harkless (drawn by L. James)
5:29.0,L. James makes free throw 1 of 2,1,27-42,,
5:29.0,L. James makes free throw 2 of 2,1,28-42,,
5:29.0,T. Thompson enters the game for I. Shumpert,,27-42,,
5:29.0,,,27-42,,M. Plumlee enters the game for E. Turner
5:21.0,Personal foul by D. Liggins (drawn by D. Lillard),,28-42,,
5:15.0,,,28-42,,D. Lillard misses 2-pt shot from 9 ft
5:15.0,Defensive rebound by L. James,,28-42,,
5:09.0,L. James makes 2-pt shot from 1 ft,2,30-42,,
4:44.0,,,30-45,3,A. Crabbe makes 3-pt shot from 22 ft (assist by M. Harkless)
4:27.0,Shooting foul by M. Harkless (drawn by K. Love),,30-45,,
4:27.0,K. Love makes free throw 1 of 2,1,31-45,,
4:27.0,K. Love makes free throw 2 of 2,1,32-45,,
4:27.0,,,31-45,,E. Turner enters the game for M. Harkless
4:09.0,,,32-45,,Turnover by D. Lillard (lost ball; steal by D. Liggins)
4:00.0,K. Love misses 3-pt shot from 24 ft,,32-45,,
3:59.0,,,32-45,,Defensive rebound by A. Crabbe
3:52.0,,,32-45,,Shooting foul by D. Liggins (drawn by M. Plumlee)
3:52.0,,,32-45,,M. Plumlee misses free throw 1 of 2
3:52.0,,,32-45,,Offensive rebound by Team
3:52.0,,,32-45,,M. Plumlee misses free throw 2 of 2
3:51.0,Defensive rebound by T. Thompson,,32-45,,
3:36.0,Shooting foul by E. Turner (drawn by L. James),,32-45,,
3:36.0,L. James makes free throw 1 of 3,1,33-45,,
3:36.0,L. James makes free throw 2 of 3,1,34-45,,
3:36.0,L. James misses free throw 3 of 3,,34-45,,
3:36.0,,,34-45,,C. McCollum enters the game for A. Crabbe
3:35.0,,,34-45,,Defensive rebound by A. Aminu
3:23.0,,,34-45,,D. Lillard misses 2-pt shot from 10 ft
3:23.0,Defensive rebound by T. Thompson,,34-45,,
3:12.0,K. Irving misses 2-pt shot from 1 ft,,34-45,,
3:11.0,Offensive rebound by T. Thompson,,34-45,,
3:11.0,T. Thompson makes 2-pt shot from 1 ft,2,36-45,,
3:11.0,,,36-45,,Portland full timeout
2:55.0,,,36-45,,D. Lillard misses 2-pt shot from 2 ft
2:55.0,Defensive rebound by L. James,,36-45,,
2:48.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,39-45,,
2:23.0,,,39-47,2,M. Plumlee makes 2-pt shot from 12 ft
2:12.0,Turnover by L. James (bad pass; steal by E. Turner),,39-47,,
2:07.0,,,39-47,,Turnover by E. Turner (lost ball; steal by K. Irving)
2:06.0,Cleveland full timeout,,39-47,,
1:47.0,D. Liggins misses 3-pt shot from 24 ft,,39-47,,
1:46.0,Offensive rebound by T. Thompson,,39-47,,
1:44.0,K. Love makes 2-pt shot at rim (assist by T. Thompson),2,41-47,,
1:19.0,,,41-47,,A. Aminu misses 2-pt shot from 17 ft
1:18.0,Defensive rebound by L. James,,41-47,,
1:09.0,L. James misses 2-pt shot from 1 ft (block by E. Turner),,41-47,,
1:08.0,Offensive rebound by L. James,,41-47,,
1:01.0,L. James misses 3-pt shot from 23 ft,,41-47,,
1:00.0,,,41-47,,Defensive rebound by E. Turner
0:57.0,,,41-49,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
0:44.0,K. Irving misses 2-pt shot from 2 ft (block by C. McCollum),,41-49,,
0:44.0,Offensive rebound by Team,,41-49,,
0:44.0,I. Shumpert enters the game for D. Liggins,,41-49,,
0:30.0,K. Love misses 3-pt shot from 25 ft,,41-49,,
0:29.0,,,41-49,,Defensive rebound by E. Turner
0:24.0,Personal foul by I. Shumpert (drawn by D. Lillard),,41-49,,
0:09.0,,,41-49,,C. McCollum misses 2-pt shot from 21 ft
0:09.0,Defensive rebound by T. Thompson,,41-49,,
0:01.0,Turnover by L. James (lost ball; steal by E. Turner),,41-49,,
0:00.0,,,41-49,,A. Aminu misses 3-pt shot from 62 ft
0:00.0,,,41-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,41-52,3,C. McCollum makes 3-pt shot from 23 ft (assist by A. Aminu)
11:25.0,K. Irving misses 3-pt shot from 24 ft,,41-52,,
11:24.0,,,41-52,,Defensive rebound by A. Aminu
11:20.0,,,41-54,2,M. Harkless makes 2-pt shot at rim (assist by A. Aminu)
11:04.0,D. Liggins makes 2-pt shot from 3 ft,2,43-54,,
10:43.0,,,43-54,,A. Aminu misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by K. Love,,43-54,,
10:39.0,Turnover by K. Love (bad pass),,43-54,,
10:20.0,,,43-54,,M. Plumlee misses 2-pt shot from 8 ft
10:19.0,Defensive rebound by D. Liggins,,43-54,,
10:06.0,D. Liggins misses 3-pt shot from 23 ft,,43-54,,
10:04.0,,,43-54,,Defensive rebound by M. Plumlee
9:41.0,,,43-54,,Turnover by Team (shot clock)
9:29.0,Turnover by K. Irving (step out of bounds),,43-54,,
9:12.0,,,43-57,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee)
8:53.0,K. Love misses 3-pt shot from 25 ft,,43-57,,
8:52.0,,,43-57,,Defensive rebound by M. Plumlee
8:40.0,Violation by K. Love (kicked ball),,43-57,,
8:27.0,,,43-57,,D. Lillard misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by L. James,,43-57,,
8:04.0,K. Irving makes 3-pt shot from 28 ft (assist by T. Thompson),3,46-57,,
7:43.0,,,46-59,2,C. McCollum makes 2-pt shot from 16 ft (assist by M. Harkless)
7:23.0,D. Liggins misses 3-pt shot from 22 ft,,46-59,,
7:21.0,,,46-59,,Defensive rebound by D. Lillard
7:12.0,,,46-59,,D. Lillard misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by L. James,,46-59,,
6:58.0,T. Thompson makes 2-pt shot from 3 ft (assist by L. James),2,48-59,,
6:38.0,,,48-61,2,C. McCollum makes 2-pt shot from 16 ft
6:28.0,Offensive charge foul by T. Thompson,,48-61,,
6:28.0,Turnover by T. Thompson (offensive foul),,48-61,,
6:28.0,I. Shumpert enters the game for D. Liggins,,48-61,,
6:09.0,,,48-61,,A. Aminu misses 3-pt shot from 23 ft
6:08.0,,,48-61,,Offensive rebound by M. Plumlee
5:59.0,,,48-63,2,D. Lillard makes 2-pt shot from 8 ft
5:59.0,Cleveland full timeout,,48-63,,
5:49.0,L. James misses 2-pt shot from 4 ft,,48-63,,
5:48.0,Offensive rebound by T. Thompson,,48-63,,
5:48.0,T. Thompson misses 2-pt shot from 1 ft,,48-63,,
5:47.0,,,48-63,,Defensive rebound by D. Lillard
5:43.0,,,48-65,2,D. Lillard makes 2-pt shot from 4 ft
5:43.0,,,48-65,,Shooting foul by I. Shumpert (drawn by D. Lillard)
5:43.0,,,48-66,1,D. Lillard makes free throw 1 of 1
5:32.0,K. Irving misses 2-pt shot from 1 ft,,48-66,,
5:32.0,Offensive rebound by T. Thompson,,48-66,,
5:32.0,Shooting foul by M. Harkless (drawn by T. Thompson),,48-66,,
5:32.0,T. Thompson misses free throw 1 of 2,,48-66,,
5:32.0,Offensive rebound by Team,,48-66,,
5:32.0,T. Thompson makes free throw 2 of 2,1,49-66,,
5:32.0,,,48-66,,E. Turner enters the game for M. Harkless
5:22.0,Personal foul by K. Irving (drawn by C. McCollum),,49-66,,
5:20.0,,,49-66,,C. McCollum misses 3-pt shot from 23 ft
5:18.0,,,49-66,,Offensive rebound by A. Aminu
5:09.0,,,49-66,,A. Aminu misses 3-pt shot from 22 ft
5:08.0,Defensive rebound by L. James,,49-66,,
4:53.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Love),2,51-66,,
4:37.0,,,51-68,2,A. Aminu makes 2-pt shot from 2 ft (assist by E. Turner)
4:37.0,,,51-68,,Shooting foul by K. Irving (drawn by A. Aminu)
4:37.0,,,51-69,1,A. Aminu makes free throw 1 of 1
4:37.0,,,51-68,,A. Crabbe enters the game for C. McCollum
4:27.0,L. James misses 3-pt shot from 26 ft,,51-69,,
4:26.0,,,51-69,,Defensive rebound by M. Plumlee
4:16.0,,,51-69,,D. Lillard misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by L. James,,51-69,,
4:09.0,L. James makes 2-pt shot from 1 ft,2,53-69,,
3:48.0,,,53-69,,E. Turner misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by K. Love,,53-69,,
3:44.0,,,53-69,,Personal foul by E. Turner (drawn by L. James)
3:30.0,L. James makes 3-pt shot from 26 ft,3,56-69,,
3:30.0,,,56-69,,Portland full timeout
3:14.0,,,56-71,2,A. Crabbe makes 2-pt shot from 2 ft (assist by M. Plumlee)
2:56.0,Turnover by L. James (bad pass),,56-71,,
2:56.0,K. Korver enters the game for K. Irving,,56-71,,
2:40.0,R. Jefferson enters the game for K. Love,,56-71,,
2:37.0,,,56-71,,A. Aminu misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by K. Korver,,56-71,,
2:28.0,I. Shumpert makes 2-pt shot from 21 ft,2,58-71,,
2:10.0,,,58-71,,E. Turner misses 2-pt shot at rim
2:10.0,,,58-71,,Offensive rebound by A. Aminu
2:10.0,,,58-71,,A. Aminu misses 2-pt shot from 1 ft
2:09.0,,,58-71,,Offensive rebound by A. Aminu
2:09.0,,,58-71,,A. Aminu misses 2-pt shot from 2 ft
2:08.0,,,58-71,,Offensive rebound by A. Aminu
2:08.0,,,58-71,,A. Aminu misses 2-pt shot from 1 ft
2:08.0,,,58-71,,Offensive rebound by A. Aminu
2:08.0,,,58-71,,A. Aminu misses 2-pt shot from 1 ft
2:08.0,Defensive rebound by Team,,58-71,,
2:08.0,,,58-71,,M. Harkless enters the game for A. Aminu
1:58.0,C. Frye enters the game for T. Thompson,,58-71,,
1:58.0,,,58-71,,C. McCollum enters the game for D. Lillard
1:58.0,,,58-71,,E. Davis enters the game for M. Plumlee
1:45.0,L. James makes 3-pt shot from 27 ft,3,61-71,,
1:21.0,,,61-71,,E. Turner misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by C. Frye,,61-71,,
1:09.0,I. Shumpert misses 2-pt shot from 14 ft,,61-71,,
1:08.0,,,61-71,,Defensive rebound by E. Davis
1:00.0,,,61-71,,Turnover by C. McCollum (bad pass; steal by L. James)
0:56.0,Turnover by L. James (bad pass; steal by C. McCollum),,61-71,,
0:33.0,,,61-73,2,A. Crabbe makes 2-pt shot from 15 ft (assist by M. Harkless)
0:11.0,L. James misses 3-pt shot from 29 ft,,61-73,,
0:09.0,,,61-73,,Defensive rebound by C. McCollum
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,K. Irving makes 2-pt shot from 16 ft,2,63-73,,
11:28.0,,,63-75,2,E. Davis makes 2-pt shot from 2 ft (assist by E. Turner)
11:11.0,R. Jefferson makes 2-pt shot from 1 ft (assist by I. Shumpert),2,65-75,,
11:11.0,Shooting foul by E. Davis (drawn by R. Jefferson),,65-75,,
11:11.0,R. Jefferson makes free throw 1 of 1,1,66-75,,
10:56.0,,,66-77,2,M. Harkless makes 2-pt shot at rim (assist by E. Davis)
10:37.0,I. Shumpert misses 3-pt shot from 23 ft,,66-77,,
10:35.0,,,66-77,,Defensive rebound by E. Turner
10:25.0,,,66-80,3,C. McCollum makes 3-pt shot from 26 ft (assist by E. Turner)
10:12.0,K. Irving misses 2-pt shot from 1 ft (block by C. McCollum),,66-80,,
10:11.0,Offensive rebound by C. Frye,,66-80,,
10:10.0,Shooting foul by E. Davis (drawn by C. Frye),,66-80,,
10:10.0,C. Frye misses free throw 1 of 2,,66-80,,
10:10.0,Offensive rebound by Team,,66-80,,
10:10.0,C. Frye makes free throw 2 of 2,1,67-80,,
9:53.0,,,67-80,,Turnover by E. Turner (lost ball)
9:46.0,Shooting foul by C. McCollum (drawn by K. Irving),,67-80,,
9:46.0,K. Irving makes free throw 1 of 2,1,68-80,,
9:46.0,K. Irving makes free throw 2 of 2,1,69-80,,
9:27.0,,,69-82,2,C. McCollum makes 2-pt shot from 4 ft (assist by E. Turner)
9:17.0,K. Irving misses 2-pt shot from 4 ft,,69-82,,
9:17.0,Offensive rebound by K. Irving,,69-82,,
9:17.0,K. Irving misses 2-pt shot from 4 ft,,69-82,,
9:17.0,Offensive rebound by Team,,69-82,,
9:15.0,Turnover by K. Korver (lost ball; steal by A. Crabbe),,69-82,,
9:05.0,,,69-82,,E. Turner misses 2-pt shot from 16 ft
9:04.0,,,69-82,,Offensive rebound by E. Turner
8:54.0,,,69-85,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner)
8:54.0,Cleveland full timeout,,69-85,,
8:44.0,C. Frye misses 2-pt shot from 6 ft,,69-85,,
8:43.0,Offensive rebound by C. Frye,,69-85,,
8:41.0,C. Frye misses 2-pt shot from 2 ft,,69-85,,
8:41.0,,,69-85,,Defensive rebound by E. Davis
8:30.0,Personal foul by R. Jefferson (drawn by E. Davis),,69-85,,
8:24.0,Personal foul by R. Jefferson (drawn by A. Crabbe),,69-85,,
8:15.0,,,69-85,,Turnover by E. Turner (bad pass; steal by K. Irving)
8:10.0,K. Irving misses 2-pt shot from 1 ft,,69-85,,
8:09.0,Offensive rebound by C. Frye,,69-85,,
8:09.0,C. Frye misses 2-pt shot from 1 ft,,69-85,,
8:07.0,Offensive rebound by K. Irving,,69-85,,
8:05.0,K. Korver misses 3-pt shot from 25 ft,,69-85,,
8:04.0,,,69-85,,Defensive rebound by E. Turner
7:52.0,,,69-85,,Shooting foul by C. Frye (drawn by M. Harkless)
7:52.0,,,69-86,1,M. Harkless makes free throw 1 of 2
7:52.0,,,69-87,1,M. Harkless makes free throw 2 of 2
7:52.0,,,69-86,,D. Lillard enters the game for C. McCollum
7:40.0,R. Jefferson misses 3-pt shot from 24 ft,,69-87,,
7:39.0,,,69-87,,Defensive rebound by Team
7:39.0,K. Felder enters the game for K. Irving,,69-87,,
7:17.0,,,69-90,3,M. Harkless makes 3-pt shot from 24 ft (assist by E. Turner)
6:59.0,I. Shumpert makes 2-pt shot from 1 ft (assist by K. Felder),2,71-90,,
6:46.0,Personal foul by R. Jefferson (drawn by A. Crabbe),,71-90,,
6:46.0,J. McRae enters the game for C. Frye,,71-90,,
6:46.0,J. Jones enters the game for R. Jefferson,,71-90,,
6:46.0,,,71-90,,A. Aminu enters the game for E. Davis
6:44.0,,,71-92,2,A. Crabbe makes 2-pt shot from 2 ft (assist by E. Turner)
6:23.0,J. Jones misses 3-pt shot from 24 ft,,71-92,,
6:21.0,,,71-92,,Defensive rebound by E. Turner
6:02.0,,,71-92,,D. Lillard misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by J. Jones,,71-92,,
5:51.0,I. Shumpert makes 2-pt shot from 23 ft,2,73-92,,
5:51.0,,,73-92,,Portland full timeout
5:30.0,,,73-92,,Shooting foul by K. Felder (drawn by D. Lillard)
5:30.0,,,73-93,1,D. Lillard makes free throw 1 of 2
5:30.0,,,73-94,1,D. Lillard makes free throw 2 of 2
5:30.0,,,73-93,,C. McCollum enters the game for E. Turner
5:18.0,K. Felder misses 3-pt shot from 23 ft,,73-94,,
5:17.0,,,73-94,,Defensive rebound by C. McCollum
5:01.0,,,73-94,,C. McCollum misses 2-pt shot from 2 ft
5:01.0,Defensive rebound by Team,,73-94,,
4:52.0,K. Korver makes 2-pt shot from 21 ft (assist by K. Felder),2,75-94,,
4:25.0,,,75-96,2,D. Lillard makes 2-pt shot from 20 ft (assist by A. Crabbe)
4:13.0,K. Korver misses 3-pt shot from 26 ft,,75-96,,
4:12.0,,,75-96,,Defensive rebound by A. Aminu
3:52.0,,,75-99,3,C. McCollum makes 3-pt shot from 25 ft
3:41.0,Shooting foul by D. Lillard (drawn by K. Felder),,75-99,,
3:41.0,K. Felder makes free throw 1 of 2,1,76-99,,
3:41.0,K. Felder misses free throw 2 of 2,,76-99,,
3:41.0,,,76-99,,N. Vonleh enters the game for M. Harkless
