time,New Orleans,pts.away,score,pts.home,Milwaukee
6:13.0,,,42-42,,Turnover by G. Monroe (bad pass; steal by E. Moore)
6:03.0,A. Davis misses 2-pt shot from 5 ft,,42-42,,
6:03.0,Offensive rebound by Team,,42-42,,
6:03.0,,,42-42,,M. Plumlee enters the game for G. Monroe
6:03.0,,,42-42,,M. Dellavedova enters the game for M. Brogdon
5:56.0,T. Frazier misses 3-pt shot from 26 ft,,42-42,,
5:52.0,,,42-42,,Defensive rebound by R. Vaughn
5:38.0,,,42-42,,M. Plumlee misses 2-pt shot from 3 ft (block by A. Davis)
5:36.0,Defensive rebound by D. Cunningham,,42-42,,
5:19.0,A. Davis makes 2-pt shot from 5 ft,2,44-42,,
5:12.0,Personal foul by A. Davis (drawn by M. Plumlee),,44-42,,
5:00.0,,,44-44,2,M. Beasley makes 2-pt shot from 14 ft (assist by M. Dellavedova)
4:53.0,Shooting foul by M. Plumlee (drawn by T. Frazier),,44-44,,
4:53.0,T. Frazier makes free throw 1 of 2,1,45-44,,
4:53.0,T. Frazier makes free throw 2 of 2,1,46-44,,
4:43.0,,,46-44,,Shooting foul by D. Cunningham (drawn by M. Beasley)
4:43.0,,,46-45,1,M. Beasley makes free throw 1 of 2
4:43.0,,,46-46,1,M. Beasley makes free throw 2 of 2
4:43.0,,,46-45,,T. Snell enters the game for R. Vaughn
4:43.0,S. Hill enters the game for D. Cunningham,,46-45,,
4:30.0,E. Moore makes 2-pt shot from 17 ft (assist by T. Frazier),2,48-46,,
4:13.0,,,48-48,2,M. Beasley makes 2-pt shot from 9 ft
4:02.0,A. Davis makes 2-pt shot from 13 ft (assist by T. Frazier),2,50-48,,
3:49.0,,,50-48,,Turnover by T. Snell (bad pass; steal by S. Hill)
3:46.0,T. Frazier misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,50-48,,
3:43.0,,,50-48,,Defensive rebound by M. Dellavedova
3:39.0,,,50-48,,Shooting foul by E. Moore (drawn by T. Snell)
3:39.0,,,50-49,1,T. Snell makes free throw 1 of 2
3:39.0,,,50-50,1,T. Snell makes free throw 2 of 2
3:39.0,,,50-49,,J. Parker enters the game for M. Beasley
3:31.0,Shooting foul by M. Plumlee (drawn by A. Davis),,50-50,,
3:31.0,A. Davis makes free throw 1 of 2,1,51-50,,
3:31.0,A. Davis makes free throw 2 of 2,1,52-50,,
3:21.0,,,52-52,2,J. Parker makes 2-pt shot from 17 ft (assist by M. Dellavedova)
3:08.0,A. Davis misses 2-pt shot from 7 ft,,52-52,,
3:08.0,,,52-52,,Defensive rebound by Team
2:56.0,,,52-52,,M. Plumlee misses 2-pt shot from 4 ft (block by A. Davis)
2:56.0,,,52-52,,Offensive rebound by Team
2:56.0,,,52-52,,Milwaukee full timeout
2:56.0,B. Hield enters the game for E. Moore,,52-52,,
2:50.0,,,52-52,,T. Snell misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by B. Hield,,52-52,,
2:32.0,T. Frazier makes 2-pt shot at rim,2,54-52,,
2:32.0,Shooting foul by M. Plumlee (drawn by T. Frazier),,54-52,,
2:32.0,T. Frazier makes free throw 1 of 1,1,55-52,,
2:32.0,,,54-52,,J. Henson enters the game for M. Plumlee
2:24.0,,,55-52,,Turnover by M. Dellavedova (bad pass; steal by B. Hield)
2:22.0,Shooting foul by T. Snell (drawn by T. Jones),,55-52,,
2:22.0,T. Jones makes free throw 1 of 2,1,56-52,,
2:22.0,T. Jones makes free throw 2 of 2,1,57-52,,
2:02.0,,,57-52,,G. Antetokounmpo misses 2-pt shot from 3 ft
2:01.0,Defensive rebound by S. Hill,,57-52,,
1:52.0,A. Davis misses 2-pt shot from 16 ft,,57-52,,
1:51.0,,,57-52,,Defensive rebound by T. Snell
1:42.0,,,57-52,,J. Parker misses 2-pt shot from 17 ft
1:41.0,Defensive rebound by B. Hield,,57-52,,
1:29.0,T. Jones misses 3-pt shot from 27 ft,,57-52,,
1:28.0,,,57-52,,Defensive rebound by G. Antetokounmpo
1:19.0,,,57-52,,G. Antetokounmpo misses 2-pt shot from 5 ft
1:17.0,Defensive rebound by T. Jones,,57-52,,
1:00.0,A. Davis makes 2-pt shot at rim (assist by T. Frazier),2,59-52,,
0:49.0,,,59-52,,Turnover by J. Henson (bad pass; steal by A. Davis)
0:42.0,B. Hield misses 2-pt shot from 15 ft,,59-52,,
0:40.0,Offensive rebound by A. Davis,,59-52,,
0:37.0,A. Davis misses 2-pt shot from 1 ft,,59-52,,
0:35.0,,,59-52,,Defensive rebound by M. Dellavedova
0:31.0,,,59-54,2,J. Henson makes 2-pt shot at rim (assist by M. Dellavedova)
0:24.0,Shooting foul by J. Henson (drawn by T. Frazier),,59-54,,
0:24.0,T. Frazier makes free throw 1 of 2,1,60-54,,
0:24.0,T. Frazier makes free throw 2 of 2,1,61-54,,
0:00.0,,,61-54,,T. Snell misses 3-pt shot from 24 ft
0:00.0,,,61-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,61-54,,Personal foul by G. Antetokounmpo (drawn by A. Davis)
11:35.0,T. Frazier misses 3-pt shot from 27 ft,,61-54,,
11:34.0,,,61-54,,Defensive rebound by J. Parker
11:27.0,,,61-54,,M. Dellavedova misses 2-pt shot from 1 ft
11:25.0,,,61-54,,Offensive rebound by J. Henson
11:25.0,,,61-54,,J. Henson misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by T. Frazier,,61-54,,
11:14.0,A. Davis makes 2-pt shot from 16 ft (assist by T. Frazier),2,63-54,,
10:59.0,,,63-54,,G. Antetokounmpo misses 2-pt shot from 19 ft
10:57.0,Defensive rebound by D. Cunningham,,63-54,,
10:46.0,D. Cunningham misses 3-pt shot from 24 ft,,63-54,,
10:45.0,,,63-54,,Defensive rebound by G. Antetokounmpo
10:38.0,,,63-54,,G. Antetokounmpo misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by T. Frazier,,63-54,,
10:31.0,E. Moore makes 3-pt shot from 23 ft,3,66-54,,
10:31.0,,,66-54,,Milwaukee full timeout
10:16.0,,,66-56,2,G. Antetokounmpo makes 2-pt shot at rim
9:55.0,Jump ball: G. Antetokounmpo vs. A. Davis (T. Frazier gains possession),,,,Jump ball: G. Antetokounmpo vs. A. Davis (T. Frazier gains possession)
9:49.0,D. Cunningham misses 3-pt shot from 25 ft,,66-56,,
9:47.0,,,66-56,,Defensive rebound by J. Henson
9:40.0,Personal foul by T. Frazier (drawn by J. Henson),,66-56,,
9:40.0,,,66-56,,J. Henson misses free throw 1 of 2
9:40.0,,,66-56,,Offensive rebound by Team
9:40.0,,,66-56,,J. Henson misses free throw 2 of 2
9:37.0,Defensive rebound by T. Jones,,66-56,,
9:28.0,E. Moore makes 2-pt shot from 18 ft,2,68-56,,
9:17.0,,,68-58,2,J. Parker makes 2-pt shot from 19 ft (assist by M. Dellavedova)
9:07.0,E. Moore makes 2-pt shot from 17 ft,2,70-58,,
8:52.0,,,70-60,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:42.0,Shooting foul by J. Henson (drawn by E. Moore),,70-60,,
8:42.0,E. Moore makes free throw 1 of 2,1,71-60,,
8:42.0,E. Moore makes free throw 2 of 2,1,72-60,,
8:28.0,,,72-60,,J. Parker misses 2-pt shot from 7 ft (block by A. Davis)
8:26.0,Defensive rebound by A. Davis,,72-60,,
8:20.0,E. Moore makes 3-pt shot from 26 ft (assist by T. Frazier),3,75-60,,
8:04.0,Personal foul by T. Jones (drawn by J. Parker),,75-60,,
8:04.0,,,75-61,1,J. Parker makes free throw 1 of 2
8:04.0,,,75-62,1,J. Parker makes free throw 2 of 2
8:04.0,,,75-61,,M. Teletovic enters the game for G. Antetokounmpo
7:56.0,Turnover by T. Frazier (traveling),,75-62,,
7:49.0,Personal foul by T. Frazier (drawn by M. Dellavedova),,75-62,,
7:40.0,,,75-65,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Parker)
7:27.0,D. Cunningham misses 2-pt shot from 17 ft,,75-65,,
7:26.0,,,75-65,,Defensive rebound by J. Henson
7:19.0,,,75-65,,Offensive charge foul by M. Dellavedova
7:19.0,,,75-65,,Turnover by M. Dellavedova (offensive foul)
6:59.0,A. Davis misses 2-pt shot from 5 ft (block by J. Henson),,75-65,,
6:57.0,,,75-65,,Defensive rebound by J. Henson
6:53.0,,,75-65,,Shooting foul by T. Frazier (drawn by M. Dellavedova)
6:53.0,,,75-65,,M. Dellavedova misses free throw 1 of 2
6:53.0,,,75-65,,Offensive rebound by Team
6:53.0,,,75-66,1,M. Dellavedova makes free throw 2 of 2
6:53.0,L. Galloway enters the game for T. Frazier,,75-65,,
6:27.0,D. Cunningham misses 2-pt shot from 8 ft,,75-66,,
6:26.0,Offensive rebound by T. Jones,,75-66,,
6:18.0,New Orleans full timeout,,75-66,,
6:08.0,L. Galloway makes 2-pt shot from 18 ft,2,77-66,,
5:48.0,,,77-69,3,J. Parker makes 3-pt shot from 25 ft (assist by T. Snell)
5:29.0,A. Davis misses 2-pt shot from 6 ft,,77-69,,
5:28.0,,,77-69,,Defensive rebound by M. Teletovic
5:21.0,,,77-69,,Turnover by M. Teletovic (lost ball; steal by D. Cunningham)
5:16.0,Shooting foul by M. Teletovic (drawn by T. Jones),,77-69,,
5:16.0,T. Jones makes free throw 1 of 2,1,78-69,,
5:16.0,T. Jones makes free throw 2 of 2,1,79-69,,
5:16.0,S. Hill enters the game for D. Cunningham,,78-69,,
5:08.0,,,79-71,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
4:50.0,L. Galloway misses 3-pt shot from 28 ft,,79-71,,
4:49.0,,,79-71,,Defensive rebound by J. Parker
4:35.0,,,79-74,3,M. Teletovic makes 3-pt shot from 27 ft (assist by M. Dellavedova)
4:11.0,E. Moore makes 2-pt shot from 22 ft,2,81-74,,
3:53.0,,,81-74,,M. Brogdon enters the game for M. Dellavedova
3:42.0,,,81-74,,M. Teletovic misses 2-pt shot from 8 ft
3:41.0,Defensive rebound by S. Hill,,81-74,,
3:34.0,A. Davis makes 2-pt shot from 18 ft (assist by E. Moore),2,83-74,,
3:16.0,,,83-74,,M. Teletovic misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by E. Moore,,83-74,,
3:04.0,Turnover by A. Davis (traveling),,83-74,,
3:04.0,,,83-74,,G. Monroe enters the game for J. Henson
3:04.0,,,83-74,,M. Beasley enters the game for J. Parker
2:39.0,,,83-74,,M. Teletovic misses 3-pt shot from 27 ft
2:38.0,Defensive rebound by L. Galloway,,83-74,,
2:28.0,T. Jones makes 2-pt shot from 3 ft (assist by L. Galloway),2,85-74,,
2:16.0,,,85-74,,Shooting foul by T. Jones (drawn by M. Brogdon)
2:16.0,,,85-75,1,M. Brogdon makes free throw 1 of 2
2:16.0,,,85-76,1,M. Brogdon makes free throw 2 of 2
2:16.0,O. Asik enters the game for T. Jones,,85-75,,
2:16.0,B. Hield enters the game for E. Moore,,85-75,,
2:16.0,,,85-75,,G. Antetokounmpo enters the game for M. Teletovic
1:54.0,L. Galloway misses 2-pt shot from 5 ft,,85-76,,
1:50.0,,,85-76,,Defensive rebound by M. Brogdon
1:49.0,,,85-76,,Shooting foul by S. Hill (drawn by G. Antetokounmpo)
1:49.0,,,85-76,,G. Antetokounmpo misses free throw 1 of 2
1:49.0,,,85-76,,Offensive rebound by Team
1:49.0,,,85-77,1,G. Antetokounmpo makes free throw 2 of 2
1:49.0,D. Cunningham enters the game for A. Davis,,85-76,,
1:37.0,B. Hield makes 3-pt shot from 26 ft,3,88-77,,
1:24.0,,,88-77,,M. Beasley misses 2-pt shot from 20 ft
1:22.0,Defensive rebound by L. Galloway,,88-77,,
1:00.0,S. Hill misses 3-pt shot from 27 ft,,88-77,,
0:57.0,Offensive rebound by B. Hield,,88-77,,
0:52.0,B. Hield misses 3-pt shot from 26 ft,,88-77,,
0:51.0,,,88-77,,Defensive rebound by M. Beasley
0:45.0,,,88-77,,Turnover by M. Brogdon (bad pass; steal by D. Cunningham)
0:41.0,Turnover by S. Hill (lost ball),,88-77,,
0:41.0,,,88-77,,R. Vaughn enters the game for T. Snell
0:33.0,,,88-77,,Shooting foul by O. Asik (drawn by G. Monroe)
0:33.0,,,88-78,1,G. Monroe makes free throw 1 of 2
0:33.0,,,88-79,1,G. Monroe makes free throw 2 of 2
0:15.0,Offensive charge foul by S. Hill,,88-79,,
0:15.0,Turnover by S. Hill (offensive foul),,88-79,,
0:01.0,,,88-81,2,R. Vaughn makes 2-pt shot from 19 ft (assist by M. Beasley)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,88-83,2,G. Antetokounmpo makes 2-pt shot from 1 ft
11:38.0,Turnover by T. Frazier (bad pass; steal by M. Brogdon),,88-83,,
11:28.0,,,88-83,,M. Brogdon misses 2-pt shot from 4 ft
11:27.0,Defensive rebound by S. Hill,,88-83,,
11:16.0,A. Davis misses 2-pt shot from 6 ft,,88-83,,
11:15.0,,,88-83,,Defensive rebound by G. Monroe
11:03.0,Personal foul by O. Asik (drawn by G. Monroe),,88-83,,
10:54.0,,,88-83,,M. Beasley misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by T. Frazier,,88-83,,
10:39.0,A. Davis misses 2-pt shot from 5 ft,,88-83,,
10:39.0,Offensive rebound by O. Asik,,88-83,,
10:39.0,Shooting foul by M. Beasley (drawn by O. Asik),,88-83,,
10:39.0,O. Asik misses free throw 1 of 2,,88-83,,
10:39.0,Offensive rebound by Team,,88-83,,
10:39.0,O. Asik misses free throw 2 of 2,,88-83,,
10:39.0,E. Moore enters the game for B. Hield,,88-83,,
10:39.0,,,88-83,,J. Parker enters the game for M. Beasley
10:37.0,,,88-83,,Defensive rebound by J. Parker
10:15.0,,,88-85,2,M. Brogdon makes 2-pt shot at rim (assist by G. Monroe)
10:02.0,E. Moore misses 2-pt shot from 19 ft,,88-85,,
10:01.0,,,88-85,,Defensive rebound by G. Antetokounmpo
9:50.0,,,88-85,,G. Antetokounmpo misses 2-pt shot from 5 ft
9:49.0,,,88-85,,Offensive rebound by G. Monroe
9:42.0,,,88-85,,J. Parker misses 2-pt shot from 8 ft
9:41.0,Defensive rebound by O. Asik,,88-85,,
9:30.0,S. Hill makes 2-pt shot from 5 ft,2,90-85,,
9:09.0,,,90-87,2,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon)
8:58.0,,,90-87,,Personal foul by G. Antetokounmpo (drawn by A. Davis)
8:58.0,Official timeout,,90-87,,
8:46.0,E. Moore misses 2-pt shot from 5 ft,,90-87,,
8:46.0,Offensive rebound by O. Asik,,90-87,,
8:46.0,O. Asik makes 2-pt shot from 1 ft,2,92-87,,
8:46.0,Shooting foul by G. Antetokounmpo (drawn by O. Asik),,92-87,,
8:46.0,O. Asik makes free throw 1 of 1,1,93-87,,
8:26.0,,,93-87,,G. Antetokounmpo misses 2-pt shot from 16 ft
8:25.0,Defensive rebound by T. Frazier,,93-87,,
8:17.0,A. Davis makes 2-pt shot at rim (assist by T. Frazier),2,95-87,,
7:59.0,,,95-87,,J. Parker misses 2-pt shot from 5 ft (block by S. Hill)
7:57.0,Defensive rebound by S. Hill,,95-87,,
7:42.0,E. Moore makes 2-pt shot from 16 ft (assist by S. Hill),2,97-87,,
7:27.0,,,97-89,2,M. Brogdon makes 2-pt shot from 15 ft
7:15.0,Turnover by S. Hill (bad pass),,97-89,,
7:15.0,,,97-89,,T. Snell enters the game for R. Vaughn
7:00.0,,,97-89,,M. Brogdon misses 2-pt shot from 1 ft (block by A. Davis)
6:58.0,Defensive rebound by O. Asik,,97-89,,
6:35.0,E. Moore misses 2-pt shot from 20 ft,,97-89,,
6:32.0,Offensive rebound by S. Hill,,97-89,,
6:32.0,S. Hill makes 2-pt shot from 1 ft,2,99-89,,
6:18.0,,,99-91,2,J. Parker makes 2-pt shot from 4 ft
5:53.0,A. Davis makes 2-pt shot from 14 ft,2,101-91,,
5:53.0,Shooting foul by G. Antetokounmpo (drawn by A. Davis),,101-91,,
5:53.0,,,101-91,,Milwaukee full timeout
5:53.0,A. Davis makes free throw 1 of 1,1,102-91,,
5:53.0,,,101-91,,M. Dellavedova enters the game for G. Antetokounmpo
5:53.0,,,101-91,,J. Henson enters the game for G. Monroe
5:34.0,,,102-91,,J. Parker misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by A. Davis,,102-91,,
5:15.0,T. Frazier misses 2-pt shot at rim,,102-91,,
5:13.0,,,102-91,,Defensive rebound by T. Snell
5:04.0,,,102-94,3,J. Parker makes 3-pt shot from 24 ft (assist by M. Dellavedova)
4:49.0,E. Moore misses 2-pt shot from 9 ft (block by J. Parker),,102-94,,
4:47.0,,,102-94,,Defensive rebound by M. Brogdon
4:34.0,,,102-94,,Shooting foul by A. Davis (drawn by J. Parker)
4:34.0,,,102-95,1,J. Parker makes free throw 1 of 2
4:34.0,,,102-96,1,J. Parker makes free throw 2 of 2
4:20.0,E. Moore misses 3-pt shot from 26 ft,,102-96,,
4:20.0,,,102-96,,Defensive rebound by Team
4:20.0,T. Jones enters the game for O. Asik,,102-96,,
4:02.0,,,102-96,,J. Henson misses 2-pt shot from 4 ft
4:01.0,Defensive rebound by A. Davis,,102-96,,
3:48.0,A. Davis makes 2-pt shot from 9 ft,2,104-96,,
3:32.0,,,104-96,,J. Parker misses 2-pt shot from 1 ft
