time,Utah,pts.away,score,pts.home,LA Lakers
9:48.0,G. Hayward misses 3-pt shot from 25 ft,,31-31,,
9:47.0,Offensive rebound by T. Lyles,,31-31,,
9:44.0,Turnover by G. Hayward (lost ball; steal by L. Deng),,31-31,,
9:39.0,,,31-33,2,L. Deng makes 2-pt shot from 1 ft
9:24.0,J. Withey makes 2-pt shot at rim (assist by S. Mack),2,33-33,,
9:11.0,,,33-35,2,L. Williams makes 2-pt shot at rim (assist by M. Huertas)
9:03.0,S. Mack makes 2-pt shot from 1 ft,2,35-35,,
8:45.0,,,35-35,,M. Huertas misses 3-pt shot from 25 ft
8:44.0,,,35-35,,Offensive rebound by T. Black
8:40.0,,,35-35,,L. Deng misses 3-pt shot from 25 ft (block by T. Lyles)
8:38.0,Defensive rebound by S. Mack,,35-35,,
8:28.0,J. Johnson misses 3-pt shot from 26 ft,,35-35,,
8:25.0,,,35-35,,Defensive rebound by L. Williams
8:19.0,Official timeout,,35-35,,
8:19.0,B. Diaw enters the game for T. Lyles,,35-35,,
8:19.0,J. Ingles enters the game for J. Withey,,35-35,,
8:04.0,,,35-35,,T. Black misses 2-pt shot from 4 ft
8:01.0,Defensive rebound by G. Hayward,,35-35,,
7:51.0,Turnover by J. Ingles (bad pass; steal by T. Black),,35-35,,
7:47.0,,,35-37,2,T. Black makes 2-pt shot at rim
7:26.0,,,35-37,,B. Ingram enters the game for J. Clarkson
7:26.0,Jump ball: T. Black vs. G. Hayward (M. Huertas gains possession),,,,Jump ball: T. Black vs. G. Hayward (M. Huertas gains possession)
7:26.0,Turnover by S. Mack (bad pass; steal by T. Black),,35-37,,
7:19.0,,,35-39,2,L. Williams makes 2-pt shot from 2 ft (assist by M. Huertas)
7:06.0,B. Diaw makes 2-pt shot from 1 ft,2,37-39,,
6:48.0,,,37-41,2,L. Williams makes 2-pt shot from 12 ft
6:35.0,,,37-41,,Def 3 sec tech foul by L. Deng
6:35.0,G. Hayward misses technical free throw,,37-41,,
6:35.0,Offensive rebound by Team,,37-41,,
6:35.0,R. Gobert enters the game for J. Johnson,,37-41,,
6:35.0,R. Hood enters the game for G. Hayward,,37-41,,
6:27.0,S. Mack misses 3-pt shot from 25 ft,,37-41,,
6:25.0,Offensive rebound by R. Gobert,,37-41,,
6:20.0,R. Hood makes 2-pt shot from 4 ft (assist by R. Gobert),2,39-41,,
6:07.0,,,39-41,,T. Black misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by J. Ingles,,39-41,,
5:59.0,,,39-41,,Personal foul by B. Ingram (drawn by R. Gobert)
5:59.0,,,39-41,,LA Lakers full timeout
5:59.0,,,39-41,,T. Mozgov enters the game for T. Black
5:59.0,,,39-41,,J. Randle enters the game for M. Huertas
5:59.0,D. Exum enters the game for S. Mack,,39-41,,
5:49.0,R. Hood misses 2-pt shot from 13 ft,,39-41,,
5:46.0,,,39-41,,Defensive rebound by J. Randle
5:38.0,,,39-41,,Offensive foul by B. Ingram
5:38.0,,,39-41,,Turnover by B. Ingram (offensive foul)
5:38.0,,,39-41,,J. Clarkson enters the game for B. Ingram
5:23.0,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles),3,42-41,,
5:04.0,,,42-44,3,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Williams)
4:35.0,B. Diaw makes 2-pt shot from 6 ft (assist by R. Hood),2,44-44,,
4:23.0,,,44-44,,Shooting foul by D. Exum
4:23.0,,,44-44,,L. Williams misses free throw 1 of 2
4:23.0,,,44-44,,Offensive rebound by Team
4:23.0,,,44-45,1,L. Williams makes free throw 2 of 2
4:23.0,S. Mack enters the game for D. Exum,,44-44,,
4:11.0,R. Hood misses 2-pt shot from 6 ft,,44-45,,
4:08.0,,,44-45,,Defensive rebound by L. Williams
4:06.0,,,44-45,,Turnover by L. Williams (bad pass; steal by J. Ingles)
4:03.0,Shooting foul by L. Deng (drawn by R. Hood),,44-45,,
4:03.0,R. Hood makes free throw 1 of 2,1,45-45,,
4:03.0,R. Hood makes free throw 2 of 2,1,46-45,,
3:44.0,,,46-47,2,J. Clarkson makes 2-pt shot at rim
3:29.0,S. Mack misses 3-pt shot from 25 ft,,46-47,,
3:27.0,,,46-47,,Defensive rebound by J. Clarkson
3:20.0,,,46-47,,J. Clarkson misses 2-pt shot from 4 ft (block by R. Gobert)
3:18.0,,,46-47,,Offensive rebound by L. Deng
3:12.0,,,46-47,,L. Williams misses 2-pt shot from 4 ft (block by R. Gobert)
3:10.0,Defensive rebound by R. Hood,,46-47,,
3:04.0,R. Hood misses 2-pt shot from 10 ft,,46-47,,
3:04.0,Offensive rebound by R. Gobert,,46-47,,
3:04.0,,,46-47,,Loose ball foul by J. Randle (drawn by R. Gobert)
3:04.0,,,46-47,,M. World Peace enters the game for L. Deng
3:04.0,Utah full timeout,,46-47,,
3:04.0,G. Hayward enters the game for J. Ingles,,46-47,,
3:04.0,,,46-47,,M. Huertas enters the game for L. Williams
3:04.0,,,46-47,,Personal foul by J. Randle (drawn by R. Gobert)
2:52.0,B. Diaw makes 3-pt shot from 25 ft (assist by R. Hood),3,49-47,,
2:35.0,,,49-47,,T. Mozgov misses 2-pt shot from 20 ft
2:34.0,Defensive rebound by R. Hood,,49-47,,
2:13.0,R. Hood makes 3-pt shot from 26 ft (assist by B. Diaw),3,52-47,,
1:57.0,,,52-49,2,M. World Peace makes 2-pt shot from 2 ft
1:33.0,B. Diaw makes 3-pt shot from 25 ft (assist by G. Hayward),3,55-49,,
1:14.0,,,55-51,2,J. Clarkson makes 2-pt shot from 5 ft
1:05.0,S. Mack makes 2-pt shot from 1 ft (assist by B. Diaw),2,57-51,,
0:47.0,,,57-51,,J. Randle misses 2-pt shot from 10 ft
0:45.0,Defensive rebound by S. Mack,,57-51,,
0:37.0,S. Mack misses 3-pt shot from 24 ft,,57-51,,
0:36.0,,,57-51,,Defensive rebound by Team
0:36.0,Loose ball foul by B. Diaw (drawn by J. Randle),,57-51,,
0:31.0,,,57-51,,J. Clarkson misses 2-pt shot from 8 ft
0:31.0,,,57-51,,Offensive rebound by T. Mozgov
0:31.0,,,57-53,2,T. Mozgov makes 2-pt shot from 1 ft
0:08.0,R. Hood misses 3-pt shot from 25 ft,,57-53,,
0:07.0,,,57-53,,Defensive rebound by T. Mozgov
0:01.0,,,57-53,,J. Randle misses 2-pt shot from 2 ft (block by R. Gobert)
0:00.0,,,57-53,,Offensive rebound by J. Randle
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Hayward makes 2-pt shot from 1 ft (assist by B. Diaw),2,59-53,,
11:19.0,,,59-53,,J. Randle misses 2-pt shot from 10 ft
11:17.0,Defensive rebound by R. Gobert,,59-53,,
11:03.0,R. Hood misses 3-pt shot from 24 ft,,59-53,,
11:01.0,Offensive rebound by G. Hayward,,59-53,,
10:59.0,,,59-53,,Personal foul by M. World Peace (drawn by G. Hayward)
10:38.0,G. Hayward makes 3-pt shot from 23 ft (assist by D. Exum),3,62-53,,
10:18.0,,,62-53,,T. Mozgov misses 2-pt shot from 11 ft
10:14.0,Defensive rebound by R. Gobert,,62-53,,
10:08.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,64-53,,
10:06.0,,,64-53,,LA Lakers full timeout
10:06.0,,,64-53,,Violation by Team (jump ball)
9:46.0,,,64-53,,B. Ingram misses 2-pt shot from 8 ft
9:44.0,Defensive rebound by B. Diaw,,64-53,,
9:35.0,,,64-53,,Personal foul by M. World Peace (drawn by B. Diaw)
9:25.0,G. Hayward makes 2-pt shot from 16 ft,2,66-53,,
9:04.0,,,66-53,,B. Ingram misses 2-pt shot from 5 ft (block by R. Gobert)
9:02.0,,,66-53,,Offensive rebound by M. World Peace
9:01.0,,,66-53,,M. World Peace misses 2-pt shot from 18 ft
9:01.0,Defensive rebound by Team,,66-53,,
9:01.0,,,66-53,,J. Clarkson enters the game for B. Ingram
8:39.0,G. Hayward makes 3-pt shot from 26 ft,3,69-53,,
8:25.0,,,69-53,,Turnover by J. Clarkson (bad pass)
8:25.0,,,69-53,,B. Ingram enters the game for M. World Peace
8:10.0,G. Hayward misses 3-pt shot from 24 ft,,69-53,,
8:09.0,,,69-53,,Defensive rebound by B. Ingram
7:57.0,,,69-53,,J. Randle misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by R. Gobert,,69-53,,
7:40.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,71-53,,
7:31.0,,,71-53,,LA Lakers full timeout
7:31.0,,,71-53,,L. Williams enters the game for J. Randle
7:31.0,,,71-53,,T. Black enters the game for T. Mozgov
7:31.0,J. Johnson enters the game for R. Hood,,71-53,,
7:20.0,,,71-53,,J. Clarkson misses 2-pt shot from 19 ft
7:17.0,,,71-53,,Offensive rebound by T. Black
7:16.0,,,71-53,,Shooting foul by R. Gobert (drawn by T. Black)
7:16.0,,,71-54,1,T. Black makes free throw 1 of 2
7:16.0,,,71-54,,T. Black misses free throw 2 of 2
7:14.0,Defensive rebound by R. Gobert,,71-54,,
6:52.0,J. Johnson misses 2-pt shot from 15 ft,,71-54,,
6:51.0,Offensive rebound by R. Gobert,,71-54,,
6:51.0,Shooting foul by L. Deng (drawn by R. Gobert),,71-54,,
6:51.0,R. Gobert misses free throw 1 of 2,,71-54,,
6:51.0,Offensive rebound by Team,,71-54,,
6:51.0,R. Gobert makes free throw 2 of 2,1,72-54,,
6:36.0,,,72-57,3,L. Williams makes 3-pt shot from 26 ft
6:21.0,Turnover by R. Gobert (traveling),,72-57,,
6:12.0,Shooting block foul by D. Exum,,72-57,,
6:12.0,,,72-58,1,L. Williams makes free throw 1 of 2
6:12.0,,,72-59,1,L. Williams makes free throw 2 of 2
6:12.0,S. Mack enters the game for D. Exum,,72-58,,
5:55.0,J. Johnson misses 3-pt shot from 26 ft,,72-59,,
5:53.0,,,72-59,,Defensive rebound by L. Williams
5:49.0,Personal foul by S. Mack (drawn by T. Black),,72-59,,
5:46.0,,,72-59,,Turnover by L. Williams (bad pass; steal by G. Hayward)
5:44.0,Turnover by G. Hayward (lost ball),,72-59,,
5:33.0,,,72-59,,Offensive foul by T. Black
5:33.0,,,72-59,,Turnover by T. Black (offensive foul)
5:33.0,Utah full timeout,,72-59,,
5:33.0,T. Lyles enters the game for B. Diaw,,72-59,,
5:16.0,G. Hayward misses 2-pt shot from 9 ft,,72-59,,
5:15.0,Offensive rebound by Team,,72-59,,
5:02.0,J. Johnson misses 3-pt shot from 25 ft,,72-59,,
5:02.0,Offensive rebound by R. Gobert,,72-59,,
5:02.0,R. Gobert makes 2-pt shot at rim,2,74-59,,
5:02.0,Shooting foul by L. Williams (drawn by R. Gobert),,74-59,,
5:02.0,R. Gobert misses free throw 1 of 1,,74-59,,
5:01.0,,,74-59,,Defensive rebound by T. Black
4:48.0,,,74-59,,Shooting foul by G. Hayward (drawn by J. Clarkson)
4:48.0,,,74-60,1,J. Clarkson makes free throw 1 of 2
4:48.0,,,74-61,1,J. Clarkson makes free throw 2 of 2
4:39.0,G. Hayward makes 2-pt shot at rim (assist by S. Mack),2,76-61,,
4:24.0,,,76-61,,L. Deng misses 2-pt shot from 22 ft
4:21.0,Defensive rebound by G. Hayward,,76-61,,
4:16.0,Shooting foul by T. Black (drawn by G. Hayward),,76-61,,
4:16.0,,,76-61,,LA Lakers full timeout
4:16.0,G. Hayward makes free throw 1 of 2,1,77-61,,
4:16.0,G. Hayward makes free throw 2 of 2,1,78-61,,
4:16.0,,,76-61,,T. Robinson enters the game for L. Deng
4:16.0,,,76-61,,J. Randle enters the game for T. Black
4:04.0,,,78-63,2,B. Ingram makes 2-pt shot from 12 ft
3:47.0,T. Lyles misses 2-pt shot from 1 ft,,78-63,,
3:46.0,Offensive rebound by R. Gobert,,78-63,,
3:46.0,R. Gobert misses 2-pt shot from 2 ft,,78-63,,
3:46.0,Offensive rebound by R. Gobert,,78-63,,
3:46.0,Shooting foul by T. Robinson (drawn by R. Gobert),,78-63,,
3:46.0,R. Gobert makes free throw 1 of 2,1,79-63,,
3:46.0,R. Gobert makes free throw 2 of 2,1,80-63,,
3:29.0,,,80-63,,B. Ingram misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by R. Gobert,,80-63,,
3:16.0,J. Johnson makes 2-pt shot from 5 ft (assist by S. Mack),2,82-63,,
3:08.0,,,82-63,,L. Williams misses 2-pt shot from 8 ft
3:08.0,,,82-63,,Offensive rebound by Team
3:08.0,Loose ball foul by S. Mack,,82-63,,
3:08.0,,,82-64,1,L. Williams makes free throw 1 of 2
3:08.0,,,82-65,1,L. Williams makes free throw 2 of 2
3:08.0,R. Hood enters the game for G. Hayward,,82-64,,
2:55.0,,,82-65,,Personal foul by J. Randle (drawn by J. Johnson)
2:55.0,J. Johnson misses free throw 1 of 2,,82-65,,
2:55.0,Offensive rebound by Team,,82-65,,
2:55.0,J. Johnson misses free throw 2 of 2,,82-65,,
2:53.0,,,82-65,,Defensive rebound by J. Randle
2:44.0,,,82-65,,Shooting foul by R. Gobert (drawn by B. Ingram)
2:44.0,,,82-66,1,B. Ingram makes free throw 1 of 2
2:44.0,,,82-67,1,B. Ingram makes free throw 2 of 2
2:44.0,B. Diaw enters the game for R. Gobert,,82-66,,
2:20.0,T. Lyles makes 2-pt shot from 1 ft,2,84-67,,
2:11.0,,,84-69,2,J. Randle makes 2-pt shot at rim (assist by L. Williams)
1:58.0,Turnover by J. Johnson (lost ball; steal by L. Williams),,84-69,,
1:50.0,,,84-69,,L. Williams misses 2-pt shot from 5 ft
1:42.0,Defensive rebound by R. Hood,,84-69,,
1:41.0,Turnover by R. Hood (lost ball; steal by T. Robinson),,84-69,,
1:37.0,,,84-71,2,L. Williams makes 2-pt shot from 2 ft (assist by B. Ingram)
1:13.0,S. Mack misses 3-pt shot from 23 ft,,84-71,,
1:11.0,,,84-71,,Defensive rebound by T. Robinson
1:00.0,,,84-71,,L. Williams misses 3-pt shot from 27 ft
0:58.0,Defensive rebound by T. Lyles,,84-71,,
0:51.0,T. Lyles makes 3-pt shot from 25 ft (assist by S. Mack),3,87-71,,
0:39.0,,,87-71,,Shooting foul by T. Lyles (drawn by T. Robinson)
0:39.0,,,87-71,,T. Robinson misses free throw 1 of 2
0:39.0,,,87-71,,Offensive rebound by Team
0:39.0,,,87-72,1,T. Robinson makes free throw 2 of 2
0:31.0,Shooting foul by T. Robinson (drawn by R. Hood),,87-72,,
0:31.0,R. Hood makes free throw 1 of 2,1,88-72,,
0:31.0,R. Hood makes free throw 2 of 2,1,89-72,,
0:10.0,,,89-74,2,L. Williams makes 2-pt shot from 1 ft
0:01.0,S. Mack misses 2-pt shot from 4 ft,,89-74,,
0:01.0,,,89-74,,Defensive rebound by T. Robinson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,89-76,2,L. Williams makes 2-pt shot from 1 ft
11:23.0,D. Exum misses 2-pt shot from 16 ft,,89-76,,
11:22.0,,,89-76,,Defensive rebound by L. Williams
11:17.0,,,89-78,2,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Williams)
10:56.0,G. Hayward misses 2-pt shot from 9 ft,,89-78,,
10:54.0,,,89-78,,Defensive rebound by M. Huertas
10:43.0,,,89-78,,J. Clarkson misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by Team,,89-78,,
10:21.0,T. Lyles misses 3-pt shot from 23 ft,,89-78,,
10:19.0,,,89-78,,Defensive rebound by J. Clarkson
10:16.0,,,89-78,,Turnover by J. Clarkson (lost ball)
10:04.0,Shooting foul by M. Huertas (drawn by J. Ingles),,89-78,,
10:04.0,J. Ingles makes 2-pt shot from 1 ft,2,91-78,,
10:04.0,J. Ingles makes free throw 1 of 1,1,92-78,,
9:52.0,,,92-80,2,L. Williams makes 2-pt shot from 1 ft
9:21.0,J. Ingles misses 2-pt shot from 21 ft,,92-80,,
9:16.0,,,92-80,,Defensive rebound by L. Williams
9:12.0,,,92-80,,L. Williams misses 2-pt shot from 5 ft
9:10.0,,,92-80,,Offensive rebound by T. Robinson
9:07.0,,,92-83,3,L. Williams makes 3-pt shot from 25 ft (assist by T. Robinson)
9:07.0,Utah full timeout,,92-83,,
9:07.0,B. Diaw enters the game for T. Lyles,,92-83,,
8:51.0,Shooting foul by J. Randle (drawn by R. Gobert),,92-83,,
8:51.0,R. Gobert misses free throw 1 of 2,,92-83,,
8:51.0,Offensive rebound by Team,,92-83,,
8:51.0,R. Gobert misses free throw 2 of 2,,92-83,,
8:50.0,,,92-83,,Defensive rebound by T. Robinson
8:39.0,Personal foul by R. Gobert (drawn by T. Robinson),,92-83,,
8:35.0,,,92-83,,L. Williams misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by R. Gobert,,92-83,,
8:20.0,Shooting foul by T. Robinson (drawn by J. Ingles),,92-83,,
8:20.0,J. Ingles misses free throw 1 of 2,,92-83,,
8:20.0,Offensive rebound by Team,,92-83,,
8:20.0,J. Ingles makes free throw 2 of 2,1,93-83,,
8:04.0,,,93-83,,Shooting foul by D. Exum
8:04.0,,,93-84,1,L. Williams makes free throw 1 of 2
8:04.0,,,93-85,1,L. Williams makes free throw 2 of 2
8:04.0,S. Mack enters the game for D. Exum,,93-84,,
7:47.0,G. Hayward misses 2-pt shot from 14 ft,,93-85,,
7:44.0,,,93-85,,Defensive rebound by L. Williams
7:32.0,,,93-87,2,T. Robinson makes 2-pt shot from 1 ft (assist by L. Williams)
7:08.0,Shooting foul by M. Huertas (drawn by R. Gobert),,93-87,,
7:08.0,R. Gobert makes free throw 1 of 2,1,94-87,,
7:08.0,R. Gobert makes free throw 2 of 2,1,95-87,,
7:08.0,R. Hood enters the game for G. Hayward,,94-87,,
6:47.0,,,95-89,2,J. Clarkson makes 2-pt shot from 4 ft
6:32.0,,,95-89,,LA Lakers full timeout
6:32.0,T. Lyles enters the game for B. Diaw,,95-89,,
6:22.0,R. Hood misses 3-pt shot from 25 ft,,95-89,,
6:21.0,,,95-89,,Defensive rebound by J. Clarkson
6:07.0,,,95-89,,T. Robinson misses 2-pt shot at rim
6:03.0,Defensive rebound by J. Ingles,,95-89,,
5:57.0,J. Ingles makes 3-pt shot from 26 ft (assist by T. Lyles),3,98-89,,
5:42.0,,,98-89,,L. Williams misses 2-pt shot from 6 ft
5:40.0,,,98-89,,Offensive rebound by J. Randle
5:38.0,,,98-91,2,J. Randle makes 2-pt shot at rim
5:18.0,R. Hood misses 2-pt shot from 6 ft,,98-91,,
5:18.0,,,98-91,,Defensive rebound by Team
5:18.0,Loose ball foul by R. Gobert (drawn by J. Randle),,98-91,,
5:18.0,G. Hayward enters the game for J. Ingles,,98-91,,
5:01.0,,,98-93,2,M. Huertas makes 2-pt shot from 7 ft
4:35.0,T. Lyles misses 2-pt shot from 4 ft,,98-93,,
4:31.0,,,98-93,,Defensive rebound by T. Robinson
4:14.0,,,98-93,,J. Randle misses 2-pt shot from 3 ft (block by T. Lyles)
4:12.0,,,98-93,,Offensive rebound by J. Randle
4:07.0,,,98-95,2,J. Randle makes 2-pt shot from 1 ft
3:59.0,G. Hayward misses 2-pt shot from 7 ft,,98-95,,
3:56.0,,,98-95,,Defensive rebound by T. Robinson
3:54.0,,,98-95,,Turnover by T. Robinson (bad pass; steal by T. Lyles)
3:51.0,T. Lyles makes 2-pt shot from 2 ft,2,100-95,,
3:43.0,,,100-95,,Turnover by M. Huertas (bad pass; steal by R. Gobert)
3:38.0,Turnover by S. Mack (bad pass),,100-95,,
