time,Atlanta,pts.away,score,pts.home,Toronto
5:15.0,D. Schroder misses 2-pt shot from 5 ft (block by L. Nogueira),,13-16,,
5:13.0,,,13-16,,Defensive rebound by P. Siakam
5:06.0,,,13-16,,D. Carroll misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by M. Scott,,13-16,,
4:59.0,D. Schroder misses 2-pt shot from 18 ft,,13-16,,
4:59.0,,,13-16,,Defensive rebound by L. Nogueira
4:51.0,,,13-18,2,K. Lowry makes 2-pt shot from 2 ft
4:42.0,M. Scott misses 3-pt shot from 25 ft,,13-18,,
4:41.0,,,13-18,,Defensive rebound by D. DeRozan
4:23.0,,,13-20,2,D. DeRozan makes 2-pt shot from 7 ft
4:08.0,M. Muscala makes 3-pt shot from 24 ft (assist by M. Scott),3,16-20,,
3:50.0,,,16-23,3,K. Lowry makes 3-pt shot from 25 ft
3:49.0,Atlanta full timeout,,16-23,,
3:49.0,T. Hardaway enters the game for K. Korver,,16-23,,
3:49.0,K. Bazemore enters the game for M. Scott,,16-23,,
3:49.0,,,16-23,,C. Joseph enters the game for P. Siakam
3:49.0,,,16-23,,P. Patterson enters the game for K. Lowry
3:33.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by T. Hardaway),3,19-23,,
3:19.0,,,19-26,3,D. Carroll makes 3-pt shot from 25 ft (assist by C. Joseph)
2:55.0,Turnover by M. Muscala (bad pass; steal by D. Carroll),,19-26,,
2:36.0,,,19-28,2,C. Joseph makes 2-pt shot from 3 ft
2:35.0,Turnover by D. Schroder (traveling),,19-28,,
2:35.0,D. Howard enters the game for M. Muscala,,19-28,,
2:35.0,M. Delaney enters the game for D. Schroder,,19-28,,
2:22.0,,,19-28,,D. Carroll misses 2-pt shot from 9 ft
2:21.0,,,19-28,,Offensive rebound by L. Nogueira
2:12.0,,,19-28,,C. Joseph misses 2-pt shot from 11 ft
2:11.0,Defensive rebound by T. Sefolosha,,19-28,,
1:59.0,D. Howard makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,21-28,,
1:43.0,,,21-30,2,D. DeRozan makes 2-pt shot from 13 ft
1:26.0,Turnover by T. Sefolosha (bad pass; steal by L. Nogueira),,21-30,,
1:14.0,,,21-30,,D. Carroll misses 3-pt shot from 27 ft
1:13.0,Defensive rebound by D. Howard,,21-30,,
0:59.0,Shooting foul by L. Nogueira (drawn by T. Hardaway),,21-30,,
0:59.0,T. Hardaway misses free throw 1 of 2,,21-30,,
0:59.0,Offensive rebound by Team,,21-30,,
0:59.0,T. Hardaway misses free throw 2 of 2,,21-30,,
0:58.0,,,21-30,,Defensive rebound by D. Carroll
0:36.0,,,21-32,2,C. Joseph makes 2-pt shot from 18 ft
0:28.0,T. Hardaway misses 2-pt shot from 7 ft,,21-32,,
0:27.0,Offensive rebound by D. Howard,,21-32,,
0:27.0,Shooting foul by P. Patterson (drawn by D. Howard),,21-32,,
0:27.0,D. Howard makes free throw 1 of 2,1,22-32,,
0:27.0,D. Howard misses free throw 2 of 2,,22-32,,
0:26.0,,,22-32,,Defensive rebound by D. DeRozan
0:02.0,,,22-32,,D. DeRozan misses 2-pt shot from 16 ft (block by T. Sefolosha)
0:02.0,,,22-32,,Offensive rebound by Team
0:02.0,,,22-32,,Turnover by Team (shot clock)
0:00.0,K. Bazemore misses 3-pt shot from 43 ft,,22-32,,
0:00.0,Offensive rebound by Team,,22-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,M. Delaney misses 3-pt shot from 22 ft,,22-32,,
11:36.0,,,22-32,,Defensive rebound by C. Joseph
11:25.0,,,22-32,,C. Joseph misses 2-pt shot from 8 ft
11:24.0,Defensive rebound by D. Howard,,22-32,,
11:14.0,T. Sefolosha makes 2-pt shot from 15 ft (assist by K. Bazemore),2,24-32,,
10:56.0,,,24-32,,P. Patterson misses 2-pt shot from 23 ft
10:55.0,,,24-32,,Offensive rebound by J. Valanciunas
10:52.0,,,24-32,,J. Valanciunas misses 2-pt shot from 3 ft
10:51.0,Defensive rebound by D. Howard,,24-32,,
10:44.0,K. Bazemore makes 2-pt shot from 2 ft,2,26-32,,
10:35.0,,,26-34,2,J. Valanciunas makes 2-pt shot from 17 ft (assist by C. Joseph)
10:19.0,K. Bazemore misses 2-pt shot from 15 ft,,26-34,,
10:19.0,Offensive rebound by K. Bazemore,,26-34,,
10:13.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by M. Delaney),3,29-34,,
10:02.0,,,29-34,,Shooting foul by M. Delaney (drawn by K. Lowry)
10:02.0,,,29-35,1,K. Lowry makes free throw 1 of 2
10:02.0,,,29-36,1,K. Lowry makes free throw 2 of 2
10:02.0,M. Scott enters the game for T. Hardaway,,29-35,,
9:50.0,K. Bazemore misses 3-pt shot from 23 ft,,29-36,,
9:50.0,,,29-36,,Defensive rebound by P. Patterson
9:40.0,,,29-36,,C. Joseph misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by M. Scott,,29-36,,
9:38.0,,,29-36,,Personal foul by K. Lowry (drawn by M. Scott)
9:38.0,K. Korver enters the game for T. Sefolosha,,29-36,,
9:23.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,31-36,,
9:05.0,,,31-36,,T. Ross misses 2-pt shot from 16 ft
9:05.0,Defensive rebound by M. Scott,,31-36,,
8:45.0,K. Bazemore misses 2-pt shot from 21 ft,,31-36,,
8:45.0,,,31-36,,Defensive rebound by Team
8:45.0,Official timeout,,31-36,,
8:25.0,,,31-38,2,T. Ross makes 2-pt shot from 7 ft
8:05.0,M. Delaney misses 2-pt shot from 19 ft,,31-38,,
8:04.0,,,31-38,,Defensive rebound by C. Joseph
7:48.0,,,31-41,3,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry)
7:38.0,K. Korver misses 3-pt shot from 26 ft,,31-41,,
7:37.0,,,31-41,,Defensive rebound by C. Joseph
7:29.0,,,31-44,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
7:27.0,Atlanta full timeout,,31-44,,
7:27.0,K. Humphries enters the game for D. Howard,,31-44,,
7:27.0,M. Muscala enters the game for M. Delaney,,31-44,,
7:27.0,D. Schroder enters the game for M. Scott,,31-44,,
7:16.0,,,31-44,,Personal foul by K. Lowry (drawn by K. Bazemore)
7:13.0,K. Bazemore misses 2-pt shot from 1 ft,,31-44,,
7:12.0,,,31-44,,Defensive rebound by P. Patterson
7:00.0,,,31-44,,Turnover by C. Joseph (offensive foul)
7:00.0,,,31-44,,Offensive charge foul by C. Joseph
6:48.0,M. Muscala misses 2-pt shot from 2 ft,,31-44,,
6:48.0,,,31-44,,Defensive rebound by J. Valanciunas
6:39.0,,,31-44,,J. Valanciunas misses 2-pt shot from 2 ft
6:39.0,,,31-44,,Offensive rebound by J. Valanciunas
6:39.0,Personal foul by K. Humphries (drawn by J. Valanciunas),,31-44,,
6:39.0,,,31-44,,D. DeRozan enters the game for C. Joseph
6:33.0,,,31-44,,Turnover by J. Valanciunas (lost ball; steal by K. Korver)
6:26.0,K. Bazemore misses 3-pt shot from 24 ft,,31-44,,
6:26.0,Offensive rebound by M. Muscala,,31-44,,
6:22.0,M. Muscala makes 2-pt shot from 2 ft,2,33-44,,
6:11.0,,,33-44,,P. Patterson misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by K. Humphries,,33-44,,
5:56.0,K. Humphries makes 2-pt shot from 16 ft (assist by D. Schroder),2,35-44,,
5:31.0,,,35-47,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
5:03.0,K. Humphries misses 2-pt shot from 15 ft,,35-47,,
5:03.0,,,35-47,,Defensive rebound by J. Valanciunas
4:43.0,,,35-49,2,D. DeRozan makes 2-pt shot from 11 ft
4:26.0,Turnover by M. Muscala (bad pass; steal by P. Patterson),,35-49,,
4:15.0,,,35-51,2,P. Patterson makes 2-pt shot at rim (assist by K. Lowry)
4:15.0,,,35-51,,Shooting foul by K. Humphries (drawn by P. Patterson)
4:15.0,,,35-52,1,P. Patterson makes free throw 1 of 1
4:15.0,D. Howard enters the game for K. Humphries,,35-51,,
4:15.0,T. Sefolosha enters the game for K. Bazemore,,35-51,,
4:04.0,K. Korver makes 2-pt shot from 19 ft (assist by D. Howard),2,37-52,,
3:52.0,,,37-55,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
3:34.0,D. Schroder makes 2-pt shot from 4 ft,2,39-55,,
3:22.0,,,39-58,3,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson)
3:22.0,Atlanta full timeout,,39-58,,
3:22.0,,,39-58,,P. Siakam enters the game for P. Patterson
3:22.0,K. Humphries enters the game for M. Muscala,,39-58,,
3:07.0,Turnover by D. Howard (bad pass),,39-58,,
3:01.0,,,39-58,,K. Lowry misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by T. Sefolosha,,39-58,,
2:51.0,K. Korver misses 3-pt shot from 25 ft,,39-58,,
2:50.0,Offensive rebound by D. Howard,,39-58,,
2:49.0,D. Howard misses 2-pt shot from 3 ft,,39-58,,
2:49.0,,,39-58,,Defensive rebound by Team
2:49.0,,,39-58,,Toronto full timeout
2:49.0,,,39-58,,D. Carroll enters the game for K. Lowry
2:49.0,,,39-58,,C. Joseph enters the game for T. Ross
2:30.0,,,39-58,,P. Siakam misses 2-pt shot from 16 ft
2:30.0,Defensive rebound by D. Howard,,39-58,,
2:15.0,Turnover by T. Sefolosha (lost ball; steal by D. Carroll),,39-58,,
1:57.0,,,39-60,2,D. Carroll makes 2-pt shot from 19 ft
1:40.0,D. Schroder makes 2-pt shot from 1 ft,2,41-60,,
1:16.0,,,41-62,2,C. Joseph makes 2-pt shot from 2 ft
1:08.0,T. Sefolosha misses 2-pt shot from 2 ft,,41-62,,
1:07.0,,,41-62,,Defensive rebound by C. Joseph
0:58.0,,,41-62,,Offensive foul by D. DeRozan
0:58.0,,,41-62,,Turnover by D. DeRozan (offensive foul)
0:58.0,,,41-62,,L. Nogueira enters the game for J. Valanciunas
0:58.0,T. Hardaway enters the game for K. Korver,,41-62,,
0:38.0,T. Hardaway misses 3-pt shot from 24 ft,,41-62,,
0:37.0,Offensive rebound by K. Humphries,,41-62,,
0:37.0,K. Humphries makes 2-pt shot from 2 ft,2,43-62,,
0:37.0,Shooting foul by C. Joseph (drawn by K. Humphries),,43-62,,
0:37.0,K. Humphries makes free throw 1 of 1,1,44-62,,
0:30.0,,,44-62,,C. Joseph misses 2-pt shot from 20 ft
0:29.0,Defensive rebound by D. Howard,,44-62,,
0:08.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,47-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,D. Schroder makes 2-pt shot from 2 ft,2,49-62,,
11:17.0,,,49-62,,P. Siakam misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by D. Howard,,49-62,,
11:05.0,Shooting foul by K. Lowry (drawn by K. Bazemore),,49-62,,
11:05.0,K. Bazemore misses free throw 1 of 2,,49-62,,
11:05.0,Offensive rebound by Team,,49-62,,
11:05.0,K. Bazemore makes free throw 2 of 2,1,50-62,,
10:51.0,,,50-62,,Turnover by J. Valanciunas (lost ball; steal by K. Korver)
10:51.0,Jump ball: K. Korver vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: K. Korver vs. J. Valanciunas (K. Lowry gains possession)
10:44.0,Turnover by K. Korver (lost ball; steal by J. Valanciunas),,50-62,,
10:44.0,,,50-62,,D. DeRozan misses 2-pt shot from 7 ft
10:44.0,Defensive rebound by D. Howard,,50-62,,
10:36.0,D. Schroder misses 3-pt shot from 25 ft,,50-62,,
10:35.0,Offensive rebound by M. Muscala,,50-62,,
10:32.0,M. Muscala misses 2-pt shot from 1 ft (block by K. Lowry),,50-62,,
10:30.0,,,50-62,,Defensive rebound by K. Lowry
10:26.0,,,50-64,2,D. Carroll makes 2-pt shot from 1 ft (assist by D. DeRozan)
10:17.0,K. Korver misses 3-pt shot from 24 ft,,50-64,,
10:16.0,Offensive rebound by D. Howard,,50-64,,
10:07.0,Shooting foul by P. Siakam (drawn by K. Bazemore),,50-64,,
10:07.0,K. Bazemore misses free throw 1 of 2,,50-64,,
10:07.0,Offensive rebound by Team,,50-64,,
10:07.0,K. Bazemore makes free throw 2 of 2,1,51-64,,
9:55.0,,,51-66,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
9:35.0,Turnover by K. Bazemore (bad pass; steal by J. Valanciunas),,51-66,,
9:20.0,,,51-68,2,D. DeRozan makes 2-pt shot from 10 ft
8:58.0,D. Schroder makes 2-pt shot from 2 ft,2,53-68,,
8:32.0,,,53-68,,K. Lowry misses 3-pt shot from 54 ft
8:32.0,,,53-68,,Offensive rebound by Team
8:32.0,,,53-68,,Turnover by Team (shot clock)
8:21.0,K. Bazemore misses 3-pt shot from 22 ft,,53-68,,
8:20.0,,,53-68,,Defensive rebound by D. Carroll
8:14.0,,,53-68,,Turnover by D. Carroll (bad pass; steal by D. Schroder)
8:09.0,D. Schroder misses 2-pt shot from 2 ft,,53-68,,
8:09.0,,,53-68,,Defensive rebound by D. Carroll
8:03.0,,,53-68,,P. Siakam misses 2-pt shot from 2 ft (block by D. Howard)
8:03.0,,,53-68,,Offensive rebound by Team
7:57.0,,,53-68,,D. DeRozan misses 2-pt shot from 2 ft (block by M. Muscala)
7:55.0,,,53-68,,Offensive rebound by J. Valanciunas
7:53.0,,,53-68,,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Howard)
7:52.0,Defensive rebound by M. Muscala,,53-68,,
7:45.0,K. Korver makes 2-pt shot from 13 ft (assist by D. Schroder),2,55-68,,
7:39.0,,,55-68,,Toronto full timeout
7:27.0,,,55-70,2,D. DeRozan makes 2-pt shot from 10 ft
7:27.0,,,55-70,,Shooting foul by D. Howard (drawn by D. DeRozan)
7:27.0,,,55-71,1,D. DeRozan makes free throw 1 of 1
7:00.0,K. Korver makes 2-pt shot from 21 ft (assist by D. Schroder),2,57-71,,
6:50.0,K. Humphries enters the game for D. Howard,,57-71,,
6:41.0,Personal foul by K. Korver (drawn by D. DeRozan),,57-71,,
6:41.0,T. Sefolosha enters the game for K. Bazemore,,57-71,,
6:32.0,,,57-71,,D. DeRozan misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by Team,,57-71,,
6:19.0,M. Muscala misses 3-pt shot from 26 ft,,57-71,,
6:18.0,,,57-71,,Defensive rebound by K. Lowry
6:12.0,,,57-73,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
5:59.0,K. Humphries makes 2-pt shot from 16 ft (assist by M. Muscala),2,59-73,,
5:38.0,,,59-73,,D. Carroll misses 3-pt shot from 25 ft
5:38.0,,,59-73,,Offensive rebound by K. Lowry
5:24.0,,,59-75,2,P. Siakam makes 2-pt shot from 10 ft (assist by D. DeRozan)
5:08.0,K. Humphries makes 3-pt shot from 24 ft (assist by D. Schroder),3,62-75,,
4:47.0,,,62-75,,P. Siakam misses 2-pt shot from 14 ft
4:46.0,Defensive rebound by D. Schroder,,62-75,,
4:36.0,D. Schroder misses 2-pt shot from 11 ft,,62-75,,
4:35.0,,,62-75,,Defensive rebound by D. DeRozan
4:22.0,,,62-77,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Valanciunas)
4:02.0,Turnover by K. Korver (lost ball; steal by D. Carroll),,62-77,,
4:01.0,Personal foul by K. Korver (drawn by D. Carroll),,62-77,,
4:01.0,,,62-77,,L. Nogueira enters the game for J. Valanciunas
4:01.0,T. Hardaway enters the game for K. Korver,,62-77,,
3:44.0,,,62-80,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:27.0,D. Schroder misses 2-pt shot from 19 ft,,62-80,,
3:26.0,,,62-80,,Defensive rebound by K. Lowry
3:22.0,,,62-82,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
3:22.0,Atlanta full timeout,,62-82,,
3:22.0,,,62-82,,C. Joseph enters the game for P. Siakam
3:22.0,,,62-82,,P. Patterson enters the game for K. Lowry
3:22.0,M. Delaney enters the game for M. Muscala,,62-82,,
3:22.0,D. Howard enters the game for D. Schroder,,62-82,,
3:04.0,T. Hardaway makes 2-pt shot from 13 ft (assist by M. Delaney),2,64-82,,
2:46.0,,,64-82,,D. Carroll misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by D. Howard,,64-82,,
2:21.0,T. Hardaway makes 3-pt shot from 26 ft,3,67-82,,
1:54.0,,,67-84,2,C. Joseph makes 2-pt shot from 3 ft
1:38.0,D. Howard misses 2-pt shot from 2 ft,,67-84,,
1:37.0,Offensive rebound by D. Howard,,67-84,,
1:35.0,D. Howard makes 2-pt shot from 1 ft,2,69-84,,
1:25.0,,,69-84,,D. DeRozan misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by K. Humphries,,69-84,,
1:20.0,Turnover by T. Hardaway (lost ball; steal by D. DeRozan),,69-84,,
1:13.0,,,69-84,,D. DeRozan misses 2-pt shot from 1 ft (block by T. Hardaway)
1:12.0,,,69-84,,Offensive rebound by D. Carroll
1:11.0,,,69-84,,T. Ross enters the game for D. Carroll
1:02.0,,,69-84,,D. DeRozan misses 2-pt shot from 20 ft
1:01.0,Defensive rebound by D. Howard,,69-84,,
0:49.0,K. Humphries misses 2-pt shot from 2 ft,,69-84,,
0:49.0,Offensive rebound by D. Howard,,69-84,,
0:49.0,Shooting foul by P. Patterson (drawn by D. Howard),,69-84,,
0:49.0,D. Howard makes free throw 1 of 2,1,70-84,,
0:49.0,D. Howard misses free throw 2 of 2,,70-84,,
0:49.0,K. Bazemore enters the game for K. Humphries,,70-84,,
0:48.0,,,70-84,,Defensive rebound by L. Nogueira
0:34.0,,,70-84,,C. Joseph misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by T. Sefolosha,,70-84,,
0:26.0,M. Delaney misses 3-pt shot from 25 ft,,70-84,,
0:25.0,,,70-84,,Defensive rebound by P. Patterson
0:05.0,,,70-86,2,L. Nogueira makes 2-pt shot from 17 ft (assist by C. Joseph)
0:00.0,K. Bazemore misses 3-pt shot from 34 ft,,70-86,,
0:00.0,Offensive rebound by Team,,70-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,70-86,,T. Ross misses 3-pt shot from 23 ft
11:39.0,,,70-86,,Offensive rebound by L. Nogueira
11:36.0,,,70-88,2,L. Nogueira makes 2-pt shot at rim
11:10.0,T. Sefolosha misses 2-pt shot from 8 ft,,70-88,,
11:10.0,Offensive rebound by D. Howard,,70-88,,
11:08.0,D. Howard makes 2-pt shot at rim,2,72-88,,
10:58.0,,,72-88,,Shooting foul by K. Bazemore (drawn by L. Nogueira)
10:58.0,,,72-90,2,L. Nogueira makes 2-pt shot from 2 ft (assist by T. Ross)
10:58.0,,,72-91,1,L. Nogueira makes free throw 1 of 1
10:45.0,T. Sefolosha misses 3-pt shot from 25 ft,,72-91,,
10:44.0,Offensive rebound by D. Howard,,72-91,,
10:42.0,,,72-91,,Personal foul by C. Joseph (drawn by D. Howard)
10:35.0,Shooting foul by K. Lowry (drawn by M. Delaney),,72-91,,
10:35.0,M. Delaney misses free throw 1 of 2,,72-91,,
10:35.0,Offensive rebound by Team,,72-91,,
10:35.0,M. Delaney makes free throw 2 of 2,1,73-91,,
10:16.0,,,73-94,3,K. Lowry makes 3-pt shot from 25 ft (assist by T. Ross)
10:03.0,Turnover by K. Bazemore (bad pass; steal by C. Joseph),,73-94,,
9:56.0,,,73-96,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
9:56.0,Atlanta full timeout,,73-96,,
9:32.0,K. Bazemore misses 2-pt shot from 15 ft,,73-96,,
9:31.0,,,73-96,,Defensive rebound by K. Lowry
9:23.0,,,73-98,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
9:12.0,Turnover by K. Bazemore (bad pass; steal by L. Nogueira),,73-98,,
9:02.0,Personal foul by K. Bazemore (drawn by K. Lowry),,73-98,,
9:02.0,T. Waller-Prince enters the game for K. Bazemore,,73-98,,
9:02.0,M. Muscala enters the game for D. Howard,,73-98,,
9:02.0,K. Humphries enters the game for T. Sefolosha,,73-98,,
8:49.0,,,73-100,2,P. Patterson makes 2-pt shot from 14 ft
8:35.0,K. Humphries misses 2-pt shot from 3 ft (block by L. Nogueira),,73-100,,
8:34.0,,,73-100,,Defensive rebound by T. Ross
8:21.0,Personal block foul by T. Hardaway (drawn by C. Joseph),,73-100,,
8:20.0,,,73-100,,Offensive foul by P. Patterson
8:20.0,,,73-100,,Turnover by P. Patterson (offensive foul)
8:07.0,T. Waller-Prince misses 2-pt shot from 16 ft,,73-100,,
8:06.0,Offensive rebound by M. Delaney,,73-100,,
8:01.0,M. Delaney makes 2-pt shot from 18 ft (assist by T. Waller-Prince),2,75-100,,
7:47.0,,,75-100,,C. Joseph misses 2-pt shot from 3 ft
7:46.0,,,75-100,,Offensive rebound by L. Nogueira
7:42.0,,,75-103,3,P. Patterson makes 3-pt shot from 22 ft (assist by L. Nogueira)
7:31.0,T. Hardaway misses 3-pt shot from 28 ft,,75-103,,
7:30.0,,,75-103,,Defensive rebound by P. Patterson
7:13.0,,,75-106,3,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson)
6:51.0,T. Hardaway makes 2-pt shot at rim (assist by M. Muscala),2,77-106,,
6:50.0,,,77-106,,Toronto full timeout
6:50.0,,,77-106,,P. Siakam enters the game for K. Lowry
6:50.0,,,77-106,,N. Powell enters the game for P. Patterson
6:50.0,M. Scott enters the game for M. Muscala,,77-106,,
6:50.0,D. Bembry enters the game for M. Delaney,,77-106,,
6:34.0,,,77-108,2,T. Ross makes 2-pt shot from 7 ft (assist by C. Joseph)
6:08.0,D. Bembry misses 2-pt shot from 4 ft (block by L. Nogueira),,77-108,,
6:08.0,Offensive rebound by Team,,77-108,,
6:08.0,Turnover by Team (shot clock),,77-108,,
5:57.0,,,77-111,3,T. Ross makes 3-pt shot from 25 ft
5:43.0,T. Hardaway makes 2-pt shot at rim (assist by M. Scott),2,79-111,,
5:24.0,,,79-111,,C. Joseph misses 2-pt shot from 5 ft
5:22.0,,,79-111,,Offensive rebound by C. Joseph
5:13.0,,,79-113,2,C. Joseph makes 2-pt shot from 19 ft
5:00.0,K. Humphries misses 3-pt shot from 25 ft,,79-113,,
5:00.0,,,79-113,,Defensive rebound by L. Nogueira
4:53.0,,,79-115,2,N. Powell makes 2-pt shot from 1 ft (assist by C. Joseph)
4:36.0,T. Hardaway misses 3-pt shot from 25 ft,,79-115,,
4:35.0,,,79-115,,Defensive rebound by L. Nogueira
4:25.0,,,79-117,2,T. Ross makes 2-pt shot from 19 ft
4:10.0,Turnover by D. Bembry (lost ball),,79-117,,
4:10.0,,,79-117,,J. Poeltl enters the game for L. Nogueira
4:10.0,,,79-117,,F. VanVleet enters the game for C. Joseph
4:10.0,,,79-117,,B. Caboclo enters the game for T. Ross
4:10.0,R. Kelly enters the game for K. Humphries,,79-117,,
3:52.0,,,79-117,,P. Siakam misses 3-pt shot from 23 ft
3:51.0,Defensive rebound by M. Scott,,79-117,,
3:35.0,M. Scott misses 2-pt shot from 6 ft (block by J. Poeltl),,79-117,,
3:34.0,,,79-117,,Defensive rebound by N. Powell
3:22.0,,,79-119,2,F. VanVleet makes 2-pt shot from 2 ft (assist by B. Caboclo)
