time,Orlando,pts.away,score,pts.home,Boston
1:16.0,Loose ball foul by S. Ibaka (drawn by J. Jerebko),,45-63,,
1:16.0,,,45-63,,J. Brown enters the game for J. Jerebko
1:16.0,J. Green enters the game for A. Gordon,,45-63,,
0:55.0,,,45-63,,J. Crowder misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by N. Vucevic,,45-63,,
0:34.0,E. Payton makes 3-pt shot from 25 ft (assist by C. Watson),3,48-63,,
0:29.0,,,48-66,3,I. Thomas makes 3-pt shot from 25 ft
0:19.0,S. Ibaka misses 2-pt shot from 8 ft,,48-66,,
0:18.0,,,48-66,,Defensive rebound by A. Johnson
0:06.0,,,48-66,,Boston full timeout
0:06.0,A. Gordon enters the game for N. Vucevic,,48-66,,
0:06.0,,,48-66,,K. Olynyk enters the game for A. Johnson
0:03.0,,,48-66,,M. Smart misses 2-pt shot from 2 ft
0:02.0,,,48-66,,Offensive rebound by J. Brown
0:01.0,,,48-68,2,J. Brown makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,48-71,3,J. Brown makes 3-pt shot from 24 ft (assist by J. Crowder)
11:16.0,A. Gordon misses 2-pt shot from 10 ft,,48-71,,
11:15.0,,,48-71,,Defensive rebound by I. Thomas
11:10.0,Personal foul by N. Vucevic (drawn by I. Thomas),,48-71,,
10:59.0,,,48-74,3,J. Crowder makes 3-pt shot from 24 ft (assist by A. Johnson)
10:39.0,E. Payton misses 2-pt shot from 1 ft,,48-74,,
10:37.0,,,48-74,,Defensive rebound by I. Thomas
10:28.0,,,48-76,2,I. Thomas makes 2-pt shot from 12 ft
10:28.0,Orlando full timeout,,48-76,,
10:10.0,E. Payton misses 2-pt shot from 1 ft,,48-76,,
10:09.0,Offensive rebound by E. Payton,,48-76,,
10:08.0,Shooting foul by J. Brown (drawn by E. Payton),,48-76,,
10:08.0,E. Payton makes free throw 1 of 2,1,49-76,,
10:08.0,E. Payton makes free throw 2 of 2,1,50-76,,
9:56.0,,,50-79,3,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas)
9:41.0,A. Gordon misses 3-pt shot from 24 ft,,50-79,,
9:40.0,,,50-79,,Defensive rebound by A. Johnson
9:32.0,,,50-79,,J. Jerebko misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by N. Vucevic,,50-79,,
9:23.0,E. Payton misses 2-pt shot from 18 ft,,50-79,,
9:22.0,,,50-79,,Defensive rebound by J. Crowder
9:10.0,,,50-79,,Turnover by I. Thomas (lost ball; steal by S. Ibaka)
9:09.0,,,50-79,,Personal foul by I. Thomas (drawn by S. Ibaka)
8:56.0,N. Vucevic makes 2-pt shot from 22 ft (assist by E. Payton),2,52-79,,
8:39.0,,,52-79,,Turnover by J. Crowder (bad pass; steal by E. Payton)
8:33.0,Shooting foul by J. Crowder (drawn by A. Gordon),,52-79,,
8:33.0,A. Gordon makes free throw 1 of 2,1,53-79,,
8:33.0,A. Gordon makes free throw 2 of 2,1,54-79,,
8:18.0,,,54-79,,I. Thomas misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by A. Gordon,,54-79,,
8:15.0,Turnover by A. Gordon (bad pass; steal by I. Thomas),,54-79,,
8:03.0,Personal foul by S. Ibaka (drawn by J. Brown),,54-79,,
7:52.0,,,54-79,,J. Brown misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by E. Payton,,54-79,,
7:45.0,E. Payton misses 2-pt shot from 4 ft (block by A. Johnson),,54-79,,
7:41.0,Jump ball: A. Johnson vs. E. Payton (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. E. Payton (J. Crowder gains possession)
7:41.0,,,54-79,,Defensive rebound by Team
7:29.0,,,54-79,,J. Crowder misses 2-pt shot from 19 ft
7:27.0,Defensive rebound by E. Payton,,54-79,,
7:22.0,S. Ibaka makes 2-pt shot from 2 ft (assist by E. Payton),2,56-79,,
7:11.0,,,56-79,,J. Brown misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by E. Payton,,56-79,,
7:07.0,E. Payton makes 2-pt shot from 1 ft,2,58-79,,
7:07.0,,,58-79,,Shooting block foul by J. Jerebko (drawn by E. Payton)
7:07.0,E. Payton makes free throw 1 of 1,1,59-79,,
6:58.0,,,59-79,,M. Smart enters the game for J. Brown
6:44.0,,,59-81,2,I. Thomas makes 2-pt shot from 20 ft (assist by J. Jerebko)
6:27.0,A. Gordon misses 2-pt shot from 6 ft,,59-81,,
6:25.0,Offensive rebound by A. Gordon,,59-81,,
6:24.0,A. Gordon misses 2-pt shot at rim,,59-81,,
6:23.0,,,59-81,,Defensive rebound by J. Jerebko
6:17.0,,,59-83,2,A. Johnson makes 2-pt shot from 2 ft (assist by M. Smart)
6:17.0,Orlando full timeout,,59-83,,
6:04.0,E. Payton makes 2-pt shot from 1 ft,2,61-83,,
5:50.0,,,61-83,,J. Jerebko misses 2-pt shot from 13 ft
5:48.0,,,61-83,,Offensive rebound by J. Crowder
5:44.0,,,61-86,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
5:22.0,N. Vucevic misses 3-pt shot from 26 ft,,61-86,,
5:21.0,,,61-86,,Defensive rebound by J. Jerebko
5:09.0,,,61-86,,A. Johnson misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by N. Vucevic,,61-86,,
5:01.0,C. Watson misses 3-pt shot from 25 ft,,61-86,,
5:00.0,,,61-86,,Defensive rebound by A. Johnson
4:54.0,,,61-88,2,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Johnson)
4:42.0,Turnover by E. Payton (lost ball; steal by M. Smart),,61-88,,
4:38.0,,,61-90,2,M. Smart makes 2-pt shot at rim (assist by J. Jerebko)
4:38.0,Orlando full timeout,,61-90,,
4:38.0,M. Hezonja enters the game for S. Ibaka,,61-90,,
4:38.0,D. Augustin enters the game for N. Vucevic,,61-90,,
4:38.0,D. Rudez enters the game for C. Watson,,61-90,,
4:38.0,J. Green enters the game for E. Payton,,61-90,,
4:38.0,B. Biyombo enters the game for A. Gordon,,61-90,,
4:25.0,Shooting foul by I. Thomas (drawn by D. Augustin),,61-90,,
4:25.0,D. Augustin makes free throw 1 of 2,1,62-90,,
4:25.0,D. Augustin misses free throw 2 of 2,,62-90,,
4:25.0,,,62-90,,Defensive rebound by J. Jerebko
4:08.0,,,62-93,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
3:51.0,Turnover by B. Biyombo (lost ball; steal by J. Crowder),,62-93,,
3:39.0,,,62-96,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko)
3:21.0,D. Augustin makes 2-pt shot from 20 ft (assist by B. Biyombo),2,64-96,,
3:08.0,,,64-98,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
2:45.0,D. Augustin misses 3-pt shot from 27 ft,,64-98,,
2:44.0,,,64-98,,Defensive rebound by A. Johnson
2:32.0,,,64-101,3,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart)
2:11.0,,,64-101,,Personal foul by I. Thomas (drawn by D. Augustin)
2:11.0,D. Augustin misses free throw 1 of 2,,64-101,,
2:11.0,Offensive rebound by Team,,64-101,,
2:11.0,D. Augustin makes free throw 2 of 2,1,65-101,,
2:11.0,,,64-101,,T. Rozier enters the game for I. Thomas
2:11.0,,,64-101,,T. Zeller enters the game for A. Johnson
1:46.0,,,65-101,,M. Smart misses 2-pt shot from 13 ft
1:45.0,Defensive rebound by B. Biyombo,,65-101,,
1:31.0,M. Hezonja misses 3-pt shot from 24 ft,,65-101,,
1:30.0,,,65-101,,Defensive rebound by J. Crowder
1:23.0,,,65-101,,T. Zeller misses 2-pt shot from 5 ft (block by D. Rudez)
1:22.0,Defensive rebound by J. Green,,65-101,,
1:15.0,M. Hezonja misses 2-pt shot from 6 ft (block by T. Zeller),,65-101,,
1:14.0,Offensive rebound by Team,,65-101,,
1:14.0,,,65-101,,J. Brown enters the game for J. Crowder
1:14.0,,,65-101,,K. Olynyk enters the game for J. Jerebko
1:12.0,Turnover by J. Green (bad pass; steal by T. Rozier),,65-101,,
0:50.0,,,65-101,,Shooting foul by B. Biyombo (drawn by J. Brown)
0:50.0,,,65-102,1,J. Brown makes free throw 1 of 2
0:50.0,,,65-102,,J. Brown misses free throw 2 of 2
0:50.0,Defensive rebound by B. Biyombo,,65-102,,
0:35.0,J. Green misses 2-pt shot from 8 ft,,65-102,,
0:33.0,,,65-102,,Defensive rebound by T. Zeller
0:22.0,,,65-102,,M. Smart misses 2-pt shot from 23 ft
0:21.0,Defensive rebound by M. Hezonja,,65-102,,
0:07.0,,,65-102,,Personal foul by J. Brown (drawn by D. Augustin)
0:07.0,D. Augustin misses free throw 1 of 2,,65-102,,
0:07.0,Offensive rebound by Team,,65-102,,
0:07.0,D. Augustin misses free throw 2 of 2,,65-102,,
0:07.0,,,65-102,,Defensive rebound by M. Smart
0:01.0,Personal foul by D. Augustin (drawn by T. Rozier),,65-102,,
0:01.0,,,65-103,1,T. Rozier makes free throw 1 of 2
0:01.0,,,65-104,1,T. Rozier makes free throw 2 of 2
0:00.0,M. Hezonja misses 3-pt shot from 41 ft,,65-104,,
0:00.0,Offensive rebound by Team,,65-104,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,A. Brown makes 2-pt shot from 18 ft (assist by D. Augustin),2,67-104,,
11:23.0,,,67-104,,Turnover by J. Brown (offensive foul)
11:23.0,,,67-104,,Offensive foul by J. Brown
11:06.0,D. Augustin makes 2-pt shot from 14 ft (assist by B. Biyombo),2,69-104,,
11:00.0,Personal foul by M. Hezonja (drawn by M. Smart),,69-104,,
10:53.0,,,69-107,3,M. Smart makes 3-pt shot from 23 ft (assist by T. Zeller)
10:32.0,D. Rudez makes 3-pt shot from 26 ft (assist by A. Brown),3,72-107,,
10:17.0,,,72-107,,T. Zeller misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by D. Augustin,,72-107,,
10:12.0,D. Rudez makes 2-pt shot from 1 ft (assist by D. Augustin),2,74-107,,
10:05.0,,,74-109,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
9:47.0,A. Brown misses 2-pt shot from 7 ft,,74-109,,
9:46.0,,,74-109,,Defensive rebound by J. Brown
9:34.0,,,74-112,3,M. Smart makes 3-pt shot from 28 ft (assist by K. Olynyk)
9:33.0,Orlando full timeout,,74-112,,
9:33.0,C. Watson enters the game for M. Hezonja,,74-112,,
9:12.0,D. Augustin misses 3-pt shot from 26 ft,,74-112,,
9:11.0,,,74-112,,Defensive rebound by J. Brown
8:51.0,,,74-114,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
8:40.0,Turnover by A. Brown (offensive foul),,74-114,,
