time,Denver,pts.away,score,pts.home,Charlotte
5:08.0,,,13-14,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
5:02.0,,,13-14,,Charlotte full timeout
5:02.0,W. Chandler enters the game for K. Faried,,13-14,,
5:01.0,,,13-14,,F. Kaminsky enters the game for M. Williams
4:40.0,D. Gallinari makes 3-pt shot from 25 ft,3,16-14,,
4:22.0,,,16-16,2,C. Zeller makes 2-pt shot from 5 ft (assist by K. Walker)
4:12.0,D. Gallinari misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist),,16-16,,
4:11.0,,,16-16,,Defensive rebound by C. Zeller
4:07.0,,,16-16,,Shooting foul by G. Harris (drawn by M. Kidd-Gilchrist)
4:07.0,,,16-17,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:07.0,,,16-18,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:07.0,J. Murray enters the game for G. Harris,,16-17,,
3:55.0,Turnover by J. Murray (bad pass; steal by M. Kidd-Gilchrist),,16-18,,
3:46.0,,,16-18,,K. Walker misses 2-pt shot from 17 ft
3:43.0,Defensive rebound by N. Jokic,,16-18,,
3:29.0,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nelson),3,19-18,,
3:29.0,Shooting foul by N. Batum (drawn by D. Gallinari),,19-18,,
3:29.0,D. Gallinari makes free throw 1 of 1,1,20-18,,
3:29.0,,,19-18,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:29.0,M. Plumlee enters the game for N. Jokic,,19-18,,
3:11.0,,,20-18,,F. Kaminsky misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by J. Murray,,20-18,,
3:02.0,Shooting foul by C. Zeller (drawn by D. Gallinari),,20-18,,
3:02.0,D. Gallinari makes free throw 1 of 2,1,21-18,,
3:02.0,D. Gallinari makes free throw 2 of 2,1,22-18,,
3:02.0,,,21-18,,B. Weber enters the game for K. Walker
3:02.0,,,21-18,,M. Plumlee enters the game for C. Zeller
2:45.0,,,22-20,2,M. Plumlee makes 2-pt shot from 5 ft (assist by N. Batum)
2:35.0,M. Plumlee makes 2-pt shot from 4 ft (assist by J. Nelson),2,24-20,,
2:24.0,,,24-20,,B. Weber misses 2-pt shot from 20 ft
2:23.0,,,24-20,,Offensive rebound by M. Plumlee
2:12.0,,,24-20,,Shooting foul by D. Gallinari (drawn by N. Batum)
2:12.0,Denver full timeout,,24-20,,
2:12.0,,,24-21,1,N. Batum makes free throw 1 of 2
2:12.0,,,24-22,1,N. Batum makes free throw 2 of 2
2:12.0,G. Harris enters the game for D. Gallinari,,24-20,,
2:12.0,J. Hernangomez enters the game for J. Nelson,,24-20,,
1:58.0,W. Chandler misses 2-pt shot from 19 ft,,24-22,,
1:57.0,,,24-22,,Defensive rebound by N. Batum
1:49.0,,,24-22,,Turnover by N. Batum (bad pass; steal by J. Murray)
1:46.0,,,24-22,,J. Lamb enters the game for N. Batum
1:30.0,W. Chandler misses 3-pt shot from 25 ft,,24-22,,
1:28.0,,,24-22,,Defensive rebound by M. Plumlee
1:18.0,,,24-24,2,J. Lamb makes 2-pt shot from 5 ft
1:03.0,,,24-24,,Personal foul by F. Kaminsky (drawn by G. Harris)
0:59.0,,,24-24,,Violation by B. Weber (kicked ball)
0:55.0,J. Murray makes 3-pt shot from 26 ft,3,27-24,,
0:43.0,,,27-24,,M. Belinelli misses 2-pt shot from 19 ft
0:41.0,Defensive rebound by G. Harris,,27-24,,
0:36.0,G. Harris makes 2-pt shot at rim,2,29-24,,
0:24.0,,,29-24,,J. Lamb misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by J. Hernangomez,,29-24,,
0:01.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Murray),3,32-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by M. Plumlee (offensive foul),,32-24,,
11:51.0,Offensive foul by M. Plumlee,,32-24,,
11:38.0,,,32-24,,F. Kaminsky misses 2-pt shot from 14 ft
11:37.0,Defensive rebound by M. Plumlee,,32-24,,
11:26.0,J. Murray misses 3-pt shot from 24 ft,,32-24,,
11:25.0,,,32-24,,Defensive rebound by J. Lamb
11:15.0,,,32-24,,Shooting foul by M. Plumlee (drawn by M. Plumlee)
11:15.0,,,32-25,1,M. Plumlee makes free throw 1 of 2
11:15.0,,,32-26,1,M. Plumlee makes free throw 2 of 2
10:51.0,W. Chandler misses 2-pt shot from 5 ft,,32-26,,
10:50.0,,,32-26,,Defensive rebound by F. Kaminsky
10:42.0,,,32-26,,F. Kaminsky misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by J. Murray,,32-26,,
10:29.0,M. Plumlee misses 2-pt shot from 17 ft,,32-26,,
10:28.0,,,32-26,,Defensive rebound by J. Lamb
10:20.0,,,32-26,,M. Belinelli misses 3-pt shot from 25 ft
10:19.0,,,32-26,,Offensive rebound by B. Weber
10:16.0,,,32-29,3,J. Lamb makes 3-pt shot from 25 ft (assist by B. Weber)
10:16.0,Denver full timeout,,32-29,,
10:01.0,J. Murray misses 3-pt shot from 25 ft,,32-29,,
10:00.0,,,32-29,,Defensive rebound by M. Plumlee
9:49.0,,,32-29,,Turnover by M. Belinelli (bad pass; steal by J. Hernangomez)
9:44.0,J. Hernangomez makes 2-pt shot from 1 ft,2,34-29,,
9:22.0,,,34-31,2,J. Lamb makes 2-pt shot from 1 ft
9:06.0,J. Hernangomez misses 2-pt shot from 1 ft,,34-31,,
9:05.0,Offensive rebound by M. Plumlee,,34-31,,
9:05.0,M. Plumlee makes 2-pt shot at rim,2,36-31,,
9:00.0,,,36-31,,Charlotte full timeout
9:00.0,,,36-31,,M. Williams enters the game for M. Plumlee
8:49.0,,,36-33,2,J. Lamb makes 2-pt shot from 10 ft
8:34.0,G. Harris misses 3-pt shot from 26 ft,,36-33,,
8:34.0,,,36-33,,Defensive rebound by Team
8:34.0,K. Faried enters the game for J. Hernangomez,,36-33,,
8:13.0,,,36-33,,M. Williams misses 2-pt shot from 5 ft
8:11.0,Defensive rebound by M. Plumlee,,36-33,,
7:59.0,,,36-33,,K. Walker enters the game for B. Weber
7:59.0,J. Nelson enters the game for G. Harris,,36-33,,
7:53.0,K. Faried makes 2-pt shot from 12 ft (assist by J. Nelson),2,38-33,,
7:31.0,,,38-33,,Shooting foul by M. Plumlee (drawn by F. Kaminsky)
7:31.0,,,38-34,1,F. Kaminsky makes free throw 1 of 2
7:31.0,,,38-35,1,F. Kaminsky makes free throw 2 of 2
7:31.0,D. Gallinari enters the game for W. Chandler,,38-34,,
7:31.0,N. Jokic enters the game for M. Plumlee,,38-34,,
7:18.0,,,38-35,,Personal foul by M. Williams (drawn by D. Gallinari)
7:18.0,,,38-35,,N. Batum enters the game for M. Belinelli
7:09.0,N. Jokic misses 2-pt shot from 2 ft (block by N. Batum),,38-35,,
7:07.0,Offensive rebound by N. Jokic,,38-35,,
7:07.0,N. Jokic makes 2-pt shot at rim,2,40-35,,
6:52.0,,,40-38,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker)
6:44.0,,,40-38,,Personal foul by F. Kaminsky (drawn by N. Jokic)
6:41.0,Turnover by N. Jokic (traveling),,40-38,,
6:30.0,,,40-38,,K. Walker misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by K. Faried,,40-38,,
6:24.0,J. Nelson makes 3-pt shot from 24 ft,3,43-38,,
6:08.0,,,43-38,,F. Kaminsky misses 2-pt shot from 9 ft
6:07.0,Defensive rebound by D. Gallinari,,43-38,,
6:01.0,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic),3,46-38,,
6:00.0,,,46-38,,Charlotte full timeout
6:00.0,,,46-38,,M. Kidd-Gilchrist enters the game for J. Lamb
5:44.0,,,46-41,3,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum)
5:26.0,Shooting foul by F. Kaminsky (drawn by N. Jokic),,46-41,,
5:26.0,N. Jokic misses free throw 1 of 2,,46-41,,
5:26.0,Offensive rebound by Team,,46-41,,
5:26.0,N. Jokic makes free throw 2 of 2,1,47-41,,
5:26.0,,,46-41,,C. Zeller enters the game for F. Kaminsky
5:16.0,,,47-41,,K. Walker misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by K. Faried,,47-41,,
5:04.0,Turnover by D. Gallinari (bad pass; steal by M. Williams),,47-41,,
4:54.0,,,47-43,2,N. Batum makes 2-pt shot from 14 ft (assist by K. Walker)
4:54.0,,,47-43,,Shooting foul by J. Nelson (drawn by N. Batum)
4:54.0,,,47-44,1,N. Batum makes free throw 1 of 1
4:40.0,Turnover by J. Nelson (bad pass; steal by C. Zeller),,47-44,,
4:34.0,,,47-46,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller)
4:34.0,Denver full timeout,,47-46,,
4:34.0,G. Harris enters the game for J. Murray,,47-46,,
4:20.0,D. Gallinari misses 2-pt shot from 18 ft,,47-46,,
4:19.0,,,47-46,,Defensive rebound by M. Williams
4:05.0,,,47-46,,N. Batum misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by K. Faried,,47-46,,
3:44.0,J. Nelson misses 2-pt shot from 22 ft,,47-46,,
3:43.0,,,47-46,,Defensive rebound by C. Zeller
3:34.0,,,47-46,,Turnover by N. Batum (bad pass; steal by J. Nelson)
3:25.0,G. Harris misses 2-pt shot from 9 ft,,47-46,,
3:24.0,,,47-46,,Defensive rebound by M. Kidd-Gilchrist
3:20.0,,,47-46,,Shooting foul by K. Faried (drawn by C. Zeller)
3:20.0,,,47-46,,C. Zeller misses free throw 1 of 2
3:20.0,,,47-46,,Offensive rebound by Team
3:20.0,,,47-47,1,C. Zeller makes free throw 2 of 2
3:20.0,W. Chandler enters the game for K. Faried,,47-46,,
2:56.0,G. Harris misses 2-pt shot from 6 ft,,47-47,,
2:54.0,,,47-47,,Defensive rebound by M. Kidd-Gilchrist
2:47.0,,,47-47,,K. Walker misses 2-pt shot from 17 ft
2:46.0,,,47-47,,Offensive rebound by K. Walker
2:43.0,,,47-47,,K. Walker misses 2-pt shot from 2 ft
2:41.0,,,47-47,,Offensive rebound by M. Kidd-Gilchrist
2:39.0,,,47-47,,Charlotte full timeout
2:26.0,,,47-50,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
2:12.0,D. Gallinari misses 2-pt shot from 17 ft,,47-50,,
2:11.0,,,47-50,,Defensive rebound by M. Williams
1:55.0,,,47-50,,N. Batum misses 2-pt shot from 12 ft
1:55.0,,,47-50,,Offensive rebound by C. Zeller
1:51.0,,,47-50,,M. Williams misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by G. Harris,,47-50,,
1:43.0,,,47-50,,Personal foul by M. Williams (drawn by N. Jokic)
1:43.0,,,47-50,,M. Belinelli enters the game for M. Williams
1:39.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,49-50,,
1:39.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Harris),,49-50,,
1:39.0,G. Harris makes free throw 1 of 1,1,50-50,,
1:20.0,,,50-50,,Shooting foul by G. Harris (drawn by M. Belinelli)
1:20.0,,,50-51,1,M. Belinelli makes free throw 1 of 2
1:20.0,,,50-52,1,M. Belinelli makes free throw 2 of 2
1:00.0,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris),3,53-52,,
0:48.0,,,53-54,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
0:28.0,W. Chandler misses 3-pt shot from 24 ft,,53-54,,
0:27.0,,,53-54,,Defensive rebound by C. Zeller
0:06.0,,,53-56,2,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller)
0:06.0,,,53-56,,Shooting foul by N. Jokic (drawn by K. Walker)
0:06.0,,,53-56,,K. Walker misses free throw 1 of 1
0:05.0,Defensive rebound by N. Jokic,,53-56,,
0:00.0,N. Jokic makes 3-pt shot from 26 ft (assist by J. Nelson),3,56-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Faried misses 2-pt shot from 8 ft,,56-56,,
11:41.0,,,56-56,,Defensive rebound by M. Williams
11:27.0,,,56-56,,N. Batum misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by N. Jokic,,56-56,,
11:08.0,K. Faried misses 2-pt shot from 6 ft,,56-56,,
11:07.0,,,56-56,,Defensive rebound by N. Batum
10:55.0,,,56-56,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by G. Harris,,56-56,,
10:45.0,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic),3,59-56,,
10:31.0,,,59-56,,M. Williams misses 2-pt shot from 21 ft
10:30.0,Defensive rebound by K. Faried,,59-56,,
10:19.0,K. Faried misses 2-pt shot from 1 ft,,59-56,,
10:17.0,,,59-56,,Defensive rebound by C. Zeller
10:09.0,,,59-56,,Turnover by K. Walker (lost ball; steal by K. Faried)
10:01.0,G. Harris makes 2-pt shot from 3 ft (assist by K. Faried),2,61-56,,
9:31.0,,,61-58,2,K. Walker makes 2-pt shot from 10 ft
9:12.0,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson),2,63-58,,
9:00.0,,,63-58,,N. Batum misses 2-pt shot from 8 ft
8:58.0,Defensive rebound by G. Harris,,63-58,,
8:54.0,J. Nelson misses 3-pt shot from 25 ft,,63-58,,
8:53.0,,,63-58,,Defensive rebound by N. Batum
8:49.0,,,63-60,2,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum)
8:49.0,,,63-60,,Shooting foul by J. Nelson (drawn by C. Zeller)
8:49.0,,,63-61,1,C. Zeller makes free throw 1 of 1
8:38.0,,,63-61,,Personal foul by N. Batum (drawn by D. Gallinari)
8:29.0,Turnover by J. Nelson (bad pass; steal by M. Williams),,63-61,,
8:20.0,,,63-61,,Shooting foul by G. Harris (drawn by K. Walker)
8:20.0,,,63-62,1,K. Walker makes free throw 1 of 2
8:20.0,,,63-63,1,K. Walker makes free throw 2 of 2
8:07.0,D. Gallinari makes 2-pt shot from 18 ft,2,65-63,,
7:49.0,,,65-63,,N. Batum misses 2-pt shot from 10 ft
7:47.0,Defensive rebound by D. Gallinari,,65-63,,
7:37.0,J. Nelson misses 2-pt shot from 2 ft,,65-63,,
7:36.0,Offensive rebound by K. Faried,,65-63,,
7:36.0,K. Faried makes 2-pt shot at rim,2,67-63,,
7:20.0,,,67-66,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
6:59.0,K. Faried makes 2-pt shot from 5 ft (assist by J. Nelson),2,69-66,,
6:35.0,,,69-68,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
6:29.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Nelson),3,72-68,,
6:29.0,,,72-68,,Charlotte full timeout
6:16.0,,,72-68,,C. Zeller misses 2-pt shot from 20 ft
6:15.0,Defensive rebound by N. Jokic,,72-68,,
6:07.0,K. Faried makes 2-pt shot at rim (assist by J. Nelson),2,74-68,,
5:45.0,,,74-70,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker)
5:28.0,K. Faried misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist),,74-70,,
5:26.0,,,74-70,,Defensive rebound by M. Kidd-Gilchrist
5:18.0,,,74-70,,Turnover by N. Batum (offensive foul)
5:18.0,,,74-70,,Offensive charge foul by N. Batum
5:18.0,,,74-70,,F. Kaminsky enters the game for M. Williams
5:18.0,J. Murray enters the game for G. Harris,,74-70,,
5:03.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,76-70,,
4:45.0,,,76-70,,F. Kaminsky misses 2-pt shot from 7 ft
4:44.0,Defensive rebound by K. Faried,,76-70,,
4:27.0,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari),2,78-70,,
4:27.0,Shooting foul by C. Zeller (drawn by N. Jokic),,78-70,,
4:27.0,N. Jokic makes free throw 1 of 1,1,79-70,,
4:14.0,,,79-73,3,K. Walker makes 3-pt shot from 27 ft (assist by M. Kidd-Gilchrist)
4:03.0,K. Faried makes 2-pt shot at rim (assist by J. Nelson),2,81-73,,
3:45.0,,,81-73,,K. Walker misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by K. Faried,,81-73,,
3:27.0,K. Faried misses 2-pt shot from 8 ft (block by C. Zeller),,81-73,,
3:27.0,,,81-73,,Defensive rebound by Team
3:27.0,,,81-73,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:27.0,G. Harris enters the game for J. Nelson,,81-73,,
3:27.0,W. Chandler enters the game for D. Gallinari,,81-73,,
3:27.0,Jump ball: K. Faried vs. C. Zeller (M. Belinelli gains possession),,,,Jump ball: K. Faried vs. C. Zeller (M. Belinelli gains possession)
3:16.0,,,81-73,,K. Walker misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by W. Chandler,,81-73,,
3:00.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,84-73,,
2:48.0,,,84-76,3,N. Batum makes 3-pt shot from 25 ft
2:31.0,K. Faried makes 2-pt shot from 1 ft (assist by N. Jokic),2,86-76,,
2:31.0,Shooting foul by F. Kaminsky (drawn by K. Faried),,86-76,,
2:31.0,Denver full timeout,,86-76,,
2:31.0,K. Faried misses free throw 1 of 1,,86-76,,
2:29.0,,,86-76,,Defensive rebound by N. Batum
2:16.0,,,86-76,,F. Kaminsky misses 3-pt shot from 25 ft
2:14.0,,,86-76,,Offensive rebound by C. Zeller
2:04.0,,,86-78,2,F. Kaminsky makes 2-pt shot from 7 ft
1:40.0,J. Murray misses 3-pt shot from 26 ft,,86-78,,
1:38.0,Offensive rebound by N. Jokic,,86-78,,
1:36.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,88-78,,
1:20.0,,,88-78,,N. Batum misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by N. Jokic,,88-78,,
1:14.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Chandler),2,90-78,,
0:59.0,,,90-78,,Shooting foul by J. Murray (drawn by K. Walker)
0:59.0,,,90-79,1,K. Walker makes free throw 1 of 3
0:59.0,,,90-80,1,K. Walker makes free throw 2 of 3
0:59.0,,,90-81,1,K. Walker makes free throw 3 of 3
0:59.0,M. Plumlee enters the game for K. Faried,,90-80,,
0:59.0,,,90-80,,M. Plumlee enters the game for C. Zeller
0:59.0,,,90-80,,J. Lamb enters the game for N. Batum
0:48.0,,,90-81,,Personal foul by M. Belinelli (drawn by G. Harris)
0:44.0,Shooting foul by J. Lamb (drawn by W. Chandler),,90-81,,
0:44.0,,,90-81,,Violation by M. Plumlee (def goaltending)
0:44.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,92-81,,
0:44.0,W. Chandler misses free throw 1 of 1,,92-81,,
0:39.0,,,92-81,,Defensive rebound by F. Kaminsky
0:32.0,,,92-84,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
0:28.0,,,92-84,,C. Zeller enters the game for M. Plumlee
0:14.0,N. Jokic makes 2-pt shot from 8 ft,2,94-84,,
0:00.0,,,94-86,2,K. Walker makes 2-pt shot from 16 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,94-86,,Offensive charge foul by C. Zeller
12:00.0,,,94-86,,Turnover by C. Zeller (offensive foul)
11:30.0,Turnover by M. Plumlee (traveling),,94-86,,
11:19.0,,,94-89,3,K. Walker makes 3-pt shot from 25 ft
10:53.0,J. Murray misses 2-pt shot from 15 ft,,94-89,,
10:52.0,,,94-89,,Defensive rebound by J. Lamb
10:43.0,,,94-89,,J. Lamb misses 2-pt shot from 2 ft
10:42.0,,,94-89,,Offensive rebound by C. Zeller
10:37.0,,,94-89,,K. Walker misses 3-pt shot from 27 ft
10:36.0,Defensive rebound by J. Murray,,94-89,,
10:27.0,G. Harris misses 3-pt shot from 25 ft,,94-89,,
10:24.0,Offensive rebound by J. Hernangomez,,94-89,,
10:24.0,J. Hernangomez misses 2-pt shot from 2 ft (block by C. Zeller),,94-89,,
10:22.0,,,94-89,,Defensive rebound by J. Lamb
10:15.0,,,94-89,,M. Belinelli misses 3-pt shot from 25 ft
10:14.0,,,94-89,,Offensive rebound by C. Zeller
10:11.0,,,94-91,2,K. Walker makes 2-pt shot from 1 ft
10:11.0,,,94-91,,Shooting foul by W. Chandler (drawn by K. Walker)
10:11.0,Denver full timeout,,94-91,,
10:11.0,,,94-91,,K. Walker misses free throw 1 of 1
10:10.0,Defensive rebound by J. Hernangomez,,94-91,,
9:50.0,W. Chandler misses 2-pt shot from 4 ft (block by F. Kaminsky),,94-91,,
9:47.0,Offensive rebound by M. Plumlee,,94-91,,
9:47.0,M. Plumlee misses 2-pt shot at rim,,94-91,,
9:46.0,,,94-91,,Defensive rebound by K. Walker
9:34.0,,,94-93,2,J. Lamb makes 2-pt shot from 8 ft
9:20.0,W. Chandler misses 3-pt shot from 25 ft,,94-93,,
9:18.0,,,94-93,,Defensive rebound by J. Lamb
9:00.0,,,94-95,2,J. Lamb makes 2-pt shot at rim
8:45.0,Turnover by W. Chandler (bad pass; steal by J. Lamb),,94-95,,
8:36.0,,,94-98,3,M. Belinelli makes 3-pt shot from 26 ft (assist by K. Walker)
8:36.0,Denver full timeout,,94-98,,
8:36.0,,,94-98,,M. Williams enters the game for C. Zeller
8:36.0,D. Gallinari enters the game for W. Chandler,,94-98,,
8:36.0,N. Jokic enters the game for M. Plumlee,,94-98,,
8:36.0,K. Faried enters the game for J. Hernangomez,,94-98,,
8:14.0,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris),2,96-98,,
7:56.0,,,96-101,3,M. Belinelli makes 3-pt shot from 27 ft (assist by F. Kaminsky)
7:44.0,Turnover by N. Jokic (bad pass; steal by M. Williams),,96-101,,
7:39.0,,,96-101,,M. Belinelli misses 3-pt shot from 27 ft
7:38.0,Defensive rebound by Team,,96-101,,
7:28.0,N. Jokic makes 2-pt shot from 2 ft,2,98-101,,
7:06.0,,,98-101,,K. Walker misses 2-pt shot from 16 ft
7:03.0,Defensive rebound by N. Jokic,,98-101,,
6:56.0,D. Gallinari makes 3-pt shot from 24 ft (assist by N. Jokic),3,101-101,,
6:34.0,,,101-103,2,F. Kaminsky makes 2-pt shot from 2 ft
6:34.0,,,101-103,,Shooting foul by N. Jokic (drawn by F. Kaminsky)
6:34.0,,,101-104,1,F. Kaminsky makes free throw 1 of 1
6:21.0,G. Harris makes 2-pt shot from 1 ft (assist by K. Faried),2,103-104,,
6:04.0,,,103-107,3,M. Belinelli makes 3-pt shot from 24 ft (assist by M. Williams)
5:52.0,,,103-107,,Personal foul by M. Belinelli (drawn by N. Jokic)
5:52.0,,,103-107,,N. Batum enters the game for M. Belinelli
5:52.0,,,103-107,,M. Kidd-Gilchrist enters the game for J. Lamb
5:40.0,D. Gallinari misses 2-pt shot from 1 ft (block by M. Williams),,103-107,,
5:40.0,Offensive rebound by D. Gallinari,,103-107,,
5:40.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Gallinari),,103-107,,
5:40.0,D. Gallinari makes free throw 1 of 2,1,104-107,,
5:40.0,D. Gallinari makes free throw 2 of 2,1,105-107,,
5:28.0,,,105-110,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
5:08.0,Turnover by D. Gallinari (lost ball; steal by K. Walker),,105-110,,
5:01.0,,,105-110,,K. Walker misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by G. Harris,,105-110,,
4:48.0,D. Gallinari misses 3-pt shot from 24 ft,,105-110,,
4:46.0,Offensive rebound by K. Faried,,105-110,,
4:43.0,K. Faried misses 2-pt shot from 1 ft (block by F. Kaminsky),,105-110,,
4:40.0,,,105-110,,Defensive rebound by M. Williams
4:17.0,,,105-110,,K. Walker misses 2-pt shot from 8 ft
