time,Oklahoma City,pts.away,score,pts.home,New York
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,24-29,,J. Holiday misses 2-pt shot from 14 ft
11:33.0,,,24-29,,Offensive rebound by K. Porzingis
11:33.0,,,24-31,2,K. Porzingis makes 2-pt shot at rim
11:11.0,J. Lauvergne misses 3-pt shot from 24 ft,,24-31,,
11:10.0,,,24-31,,Defensive rebound by J. Holiday
11:05.0,,,24-33,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by B. Jennings)
10:41.0,S. Christon misses 3-pt shot from 25 ft,,24-33,,
10:40.0,Offensive rebound by E. Kanter,,24-33,,
10:36.0,E. Kanter misses 2-pt shot from 4 ft (block by J. Holiday),,24-33,,
10:34.0,,,24-33,,Defensive rebound by K. O'Quinn
10:27.0,,,24-33,,K. Porzingis misses 2-pt shot from 5 ft (block by E. Kanter)
10:25.0,Defensive rebound by J. Lauvergne,,24-33,,
10:20.0,A. Morrow makes 3-pt shot from 25 ft (assist by S. Christon),3,27-33,,
10:04.0,D. Sabonis enters the game for J. Lauvergne,,27-33,,
10:00.0,,,27-35,2,J. Holiday makes 2-pt shot from 1 ft (assist by M. Kuzminskas)
9:40.0,A. Morrow makes 2-pt shot from 9 ft,2,29-35,,
9:27.0,,,29-37,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by B. Jennings)
9:27.0,,,29-37,,Shooting foul by D. Sabonis (drawn by K. O'Quinn)
9:27.0,,,29-38,1,K. O'Quinn makes free throw 1 of 1
9:27.0,V. Oladipo enters the game for A. Morrow,,29-37,,
9:13.0,E. Kanter makes 2-pt shot at rim (assist by S. Christon),2,31-38,,
8:59.0,,,31-38,,K. O'Quinn misses 2-pt shot from 1 ft (block by E. Kanter)
8:58.0,,,31-38,,Offensive rebound by Team
8:58.0,Official timeout,,31-38,,
8:58.0,R. Westbrook enters the game for S. Christon,,31-38,,
8:58.0,,,31-38,,D. Rose enters the game for K. O'Quinn
8:58.0,,,31-38,,J. Noah enters the game for J. Holiday
8:55.0,,,31-41,3,K. Porzingis makes 3-pt shot from 26 ft (assist by M. Kuzminskas)
8:39.0,Turnover by R. Westbrook (bad pass; steal by K. Porzingis),,31-41,,
8:30.0,Personal foul by E. Kanter (drawn by K. Porzingis),,31-41,,
8:23.0,,,31-41,,M. Kuzminskas misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by Team,,31-41,,
8:13.0,V. Oladipo misses 2-pt shot from 9 ft,,31-41,,
8:13.0,Offensive rebound by Team,,31-41,,
8:10.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,33-41,,
8:00.0,,,33-43,2,K. Porzingis makes 2-pt shot at rim (assist by J. Noah)
7:51.0,R. Westbrook makes 3-pt shot from 27 ft,3,36-43,,
7:38.0,,,36-45,2,D. Rose makes 2-pt shot from 5 ft
7:29.0,R. Westbrook misses 2-pt shot from 1 ft (block by K. Porzingis),,36-45,,
7:28.0,Offensive rebound by R. Westbrook,,36-45,,
7:26.0,R. Westbrook misses 2-pt shot at rim (block by J. Noah),,36-45,,
7:25.0,Offensive rebound by R. Westbrook,,36-45,,
7:21.0,E. Kanter makes 2-pt shot from 6 ft,2,38-45,,
7:21.0,Shooting foul by J. Noah (drawn by E. Kanter),,38-45,,
7:21.0,E. Kanter misses free throw 1 of 1,,38-45,,
7:21.0,,,38-45,,C. Anthony enters the game for M. Kuzminskas
7:20.0,,,38-45,,Defensive rebound by C. Anthony
7:03.0,,,38-45,,K. Porzingis misses 2-pt shot from 20 ft
7:02.0,Defensive rebound by J. Grant,,38-45,,
6:50.0,Turnover by J. Grant (lost ball; steal by C. Anthony),,38-45,,
6:44.0,,,38-47,2,K. Porzingis makes 2-pt shot at rim (assist by J. Noah)
6:35.0,Turnover by D. Sabonis (bad pass; steal by B. Jennings),,38-47,,
6:32.0,,,38-47,,B. Jennings misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by D. Sabonis,,38-47,,
6:28.0,V. Oladipo misses 2-pt shot from 3 ft,,38-47,,
6:27.0,Offensive rebound by E. Kanter,,38-47,,
6:27.0,Shooting foul by J. Noah (drawn by E. Kanter),,38-47,,
6:27.0,E. Kanter makes free throw 1 of 2,1,39-47,,
6:27.0,E. Kanter misses free throw 2 of 2,,39-47,,
6:27.0,S. Adams enters the game for D. Sabonis,,39-47,,
6:25.0,Offensive rebound by J. Grant,,39-47,,
6:25.0,Shooting foul by J. Noah (drawn by E. Kanter),,39-47,,
6:25.0,J. Grant makes free throw 1 of 2,1,40-47,,
6:25.0,J. Grant misses free throw 2 of 2,,40-47,,
6:25.0,,,40-47,,W. Hernangomez enters the game for J. Noah
6:23.0,Offensive rebound by S. Adams,,40-47,,
6:15.0,V. Oladipo makes 2-pt shot at rim,2,42-47,,
6:15.0,,,42-47,,New York full timeout
6:15.0,,,42-47,,C. Lee enters the game for B. Jennings
6:04.0,,,42-49,2,C. Anthony makes 2-pt shot from 18 ft (assist by W. Hernangomez)
5:47.0,E. Kanter makes 2-pt shot from 2 ft,2,44-49,,
5:28.0,,,44-49,,C. Anthony misses 2-pt shot from 3 ft (block by J. Grant)
5:27.0,Defensive rebound by R. Westbrook,,44-49,,
5:22.0,E. Kanter misses 2-pt shot from 1 ft (block by K. Porzingis),,44-49,,
5:22.0,Offensive rebound by R. Westbrook,,44-49,,
5:11.0,Turnover by R. Westbrook (bad pass; steal by W. Hernangomez),,44-49,,
5:07.0,,,44-49,,D. Rose misses 2-pt shot from 5 ft
5:07.0,Defensive rebound by Team,,44-49,,
5:07.0,,,44-49,,Loose ball foul by K. Porzingis (drawn by S. Adams)
4:58.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,46-49,,
4:39.0,,,46-49,,Shooting foul by V. Oladipo (drawn by D. Rose)
4:39.0,,,46-50,1,D. Rose makes free throw 1 of 2
4:39.0,,,46-51,1,D. Rose makes free throw 2 of 2
4:39.0,,,46-50,,K. O'Quinn enters the game for W. Hernangomez
4:28.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,48-51,,
4:13.0,,,48-51,,C. Anthony misses 2-pt shot from 10 ft
4:12.0,,,48-51,,Offensive rebound by K. O'Quinn
4:08.0,,,48-51,,C. Lee misses 3-pt shot from 22 ft
4:08.0,Defensive rebound by R. Westbrook,,48-51,,
3:59.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,50-51,,
3:43.0,,,50-51,,K. Porzingis misses 2-pt shot from 4 ft
3:43.0,Defensive rebound by R. Westbrook,,50-51,,
3:37.0,V. Oladipo misses 3-pt shot from 25 ft,,50-51,,
3:36.0,,,50-51,,Defensive rebound by K. Porzingis
3:36.0,Personal foul by E. Kanter (drawn by K. Porzingis),,50-51,,
3:36.0,A. Roberson enters the game for J. Grant,,50-51,,
3:22.0,,,50-51,,C. Lee misses 2-pt shot from 15 ft
3:22.0,Defensive rebound by A. Roberson,,50-51,,
3:13.0,E. Kanter makes 2-pt shot from 18 ft (assist by R. Westbrook),2,52-51,,
2:57.0,,,52-51,,Shooting foul by E. Kanter (drawn by D. Rose)
2:57.0,Oklahoma City full timeout,,52-51,,
2:57.0,,,52-52,1,D. Rose makes free throw 1 of 2
2:57.0,,,52-53,1,D. Rose makes free throw 2 of 2
2:57.0,J. Lauvergne enters the game for E. Kanter,,52-51,,
2:46.0,R. Westbrook misses 2-pt shot from 11 ft,,52-53,,
2:46.0,,,52-53,,Defensive rebound by K. O'Quinn
2:25.0,,,52-53,,C. Anthony misses 2-pt shot from 8 ft
2:24.0,Defensive rebound by V. Oladipo,,52-53,,
2:13.0,J. Lauvergne makes 2-pt shot from 8 ft,2,54-53,,
1:54.0,Violation by J. Lauvergne (kicked ball),,54-53,,
1:45.0,,,54-53,,C. Anthony misses 2-pt shot from 2 ft (block by A. Roberson)
1:44.0,Defensive rebound by S. Adams,,54-53,,
1:36.0,R. Westbrook misses 2-pt shot from 12 ft,,54-53,,
1:35.0,Offensive rebound by Team,,54-53,,
1:35.0,Oklahoma City full timeout,,54-53,,
1:30.0,R. Westbrook makes 2-pt shot from 11 ft (assist by V. Oladipo),2,56-53,,
1:14.0,,,56-53,,C. Anthony misses 2-pt shot from 1 ft
1:14.0,,,56-53,,Offensive rebound by K. O'Quinn
1:07.0,,,56-53,,D. Rose misses 2-pt shot from 19 ft
1:06.0,Defensive rebound by R. Westbrook,,56-53,,
1:01.0,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook),2,58-53,,
0:51.0,,,58-53,,Shooting foul by J. Lauvergne (drawn by C. Anthony)
0:51.0,,,58-54,1,C. Anthony makes free throw 1 of 2
0:51.0,,,58-55,1,C. Anthony makes free throw 2 of 2
0:32.0,J. Lauvergne misses 3-pt shot from 26 ft,,58-55,,
0:32.0,,,58-55,,Defensive rebound by C. Anthony
0:23.0,,,58-55,,C. Anthony misses 2-pt shot from 14 ft
0:22.0,Defensive rebound by R. Westbrook,,58-55,,
0:05.0,Turnover by R. Westbrook (bad pass; steal by K. Porzingis),,58-55,,
0:00.0,,,58-55,,K. O'Quinn misses 3-pt shot from 79 ft
0:00.0,,,58-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-55,,C. Lee misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by V. Oladipo,,58-55,,
11:25.0,S. Adams makes 2-pt shot from 5 ft,2,60-55,,
11:10.0,,,60-55,,K. Porzingis misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by R. Westbrook,,60-55,,
10:58.0,S. Adams makes 2-pt shot from 6 ft,2,62-55,,
10:46.0,,,62-55,,D. Rose misses 2-pt shot from 5 ft
10:46.0,Defensive rebound by R. Westbrook,,62-55,,
10:41.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,64-55,,
10:41.0,,,64-55,,New York full timeout
10:24.0,,,64-57,2,C. Anthony makes 2-pt shot from 11 ft
10:09.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,66-57,,
9:47.0,,,66-59,2,D. Rose makes 2-pt shot from 11 ft (assist by C. Lee)
9:30.0,Turnover by R. Westbrook (bad pass; steal by C. Lee),,66-59,,
9:25.0,,,66-61,2,C. Lee makes 2-pt shot from 1 ft
9:08.0,D. Sabonis makes 2-pt shot from 20 ft (assist by V. Oladipo),2,68-61,,
8:56.0,,,68-61,,C. Anthony misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by R. Westbrook,,68-61,,
8:45.0,V. Oladipo misses 3-pt shot from 25 ft,,68-61,,
8:44.0,,,68-61,,Defensive rebound by Team
8:44.0,Loose ball foul by R. Westbrook (drawn by D. Rose),,68-61,,
8:29.0,,,68-61,,C. Lee misses 3-pt shot from 23 ft
8:26.0,,,68-61,,Offensive rebound by D. Rose
8:17.0,,,68-63,2,D. Rose makes 2-pt shot from 6 ft
7:54.0,A. Roberson misses 2-pt shot from 2 ft (block by K. Porzingis),,68-63,,
7:53.0,,,68-63,,Defensive rebound by D. Rose
7:53.0,Personal foul by A. Roberson (drawn by D. Rose),,68-63,,
7:44.0,,,68-63,,Shooting foul by S. Adams (drawn by D. Rose)
7:44.0,,,68-64,1,D. Rose makes free throw 1 of 2
7:44.0,,,68-65,1,D. Rose makes free throw 2 of 2
7:35.0,Shooting foul by J. Noah (drawn by R. Westbrook),,68-65,,
7:35.0,R. Westbrook makes free throw 1 of 2,1,69-65,,
7:35.0,R. Westbrook makes free throw 2 of 2,1,70-65,,
7:17.0,,,70-65,,C. Anthony misses 2-pt shot from 13 ft
7:16.0,Defensive rebound by S. Adams,,70-65,,
7:06.0,R. Westbrook misses 2-pt shot from 18 ft,,70-65,,
7:05.0,,,70-65,,Defensive rebound by C. Anthony
6:54.0,,,70-65,,Turnover by K. Porzingis (bad pass; steal by R. Westbrook)
6:54.0,,,70-65,,Loose ball foul by C. Anthony (drawn by R. Westbrook)
6:54.0,Oklahoma City full timeout,,70-65,,
6:48.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,72-65,,
6:31.0,,,72-67,2,D. Rose makes 2-pt shot from 1 ft
6:18.0,R. Westbrook misses 2-pt shot from 2 ft (block by K. Porzingis),,72-67,,
6:16.0,Offensive rebound by R. Westbrook,,72-67,,
6:16.0,R. Westbrook makes 2-pt shot from 1 ft,2,74-67,,
5:59.0,,,74-69,2,D. Rose makes 2-pt shot from 18 ft
5:44.0,R. Westbrook misses 2-pt shot from 3 ft,,74-69,,
5:44.0,,,74-69,,Defensive rebound by C. Lee
5:37.0,,,74-72,3,C. Lee makes 3-pt shot from 23 ft (assist by K. Porzingis)
5:20.0,V. Oladipo misses 2-pt shot from 9 ft,,74-72,,
5:20.0,,,74-72,,Defensive rebound by D. Rose
5:13.0,,,74-72,,Shooting foul by D. Sabonis (drawn by J. Noah)
5:13.0,,,74-72,,J. Noah misses free throw 1 of 2
5:13.0,,,74-72,,Offensive rebound by Team
5:13.0,,,74-72,,J. Noah misses free throw 2 of 2
5:13.0,E. Kanter enters the game for D. Sabonis,,74-72,,
5:13.0,A. Morrow enters the game for V. Oladipo,,74-72,,
5:13.0,,,74-72,,W. Hernangomez enters the game for K. Porzingis
5:11.0,Defensive rebound by S. Adams,,74-72,,
4:59.0,R. Westbrook makes 2-pt shot from 1 ft,2,76-72,,
4:59.0,Shooting foul by W. Hernangomez (drawn by R. Westbrook),,76-72,,
4:59.0,R. Westbrook makes free throw 1 of 1,1,77-72,,
4:37.0,,,77-72,,Shooting foul by A. Roberson (drawn by C. Anthony)
4:37.0,,,77-73,1,C. Anthony makes free throw 1 of 2
4:37.0,,,77-73,,C. Anthony misses free throw 2 of 2
4:37.0,,,77-73,,K. O'Quinn enters the game for J. Noah
4:34.0,Defensive rebound by S. Adams,,77-73,,
4:23.0,E. Kanter makes 2-pt shot from 17 ft (assist by R. Westbrook),2,79-73,,
3:59.0,,,79-73,,C. Anthony misses 2-pt shot from 12 ft
3:59.0,,,79-73,,Offensive rebound by W. Hernangomez
3:55.0,,,79-75,2,W. Hernangomez makes 2-pt shot from 2 ft
3:38.0,E. Kanter misses 2-pt shot from 18 ft,,79-75,,
3:37.0,Offensive rebound by R. Westbrook,,79-75,,
3:22.0,S. Adams makes 2-pt shot from 8 ft,2,81-75,,
3:02.0,,,81-75,,W. Hernangomez misses 2-pt shot from 11 ft
3:01.0,Defensive rebound by R. Westbrook,,81-75,,
2:52.0,R. Westbrook misses 3-pt shot from 25 ft,,81-75,,
2:52.0,,,81-75,,Defensive rebound by C. Anthony
2:41.0,,,81-77,2,W. Hernangomez makes 2-pt shot at rim (assist by C. Anthony)
2:30.0,,,81-77,,Personal foul by C. Lee (drawn by A. Morrow)
2:30.0,,,81-77,,J. Holiday enters the game for C. Lee
2:30.0,S. Christon enters the game for R. Westbrook,,81-77,,
2:30.0,J. Lauvergne enters the game for S. Adams,,81-77,,
2:30.0,,,81-77,,B. Jennings enters the game for D. Rose
2:15.0,A. Roberson makes 3-pt shot from 25 ft (assist by A. Morrow),3,84-77,,
1:59.0,,,84-77,,C. Anthony misses 2-pt shot from 10 ft
1:57.0,,,84-77,,Offensive rebound by K. O'Quinn
1:39.0,,,84-79,2,J. Holiday makes 2-pt shot from 3 ft
1:23.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by A. Roberson),2,86-79,,
1:10.0,,,86-79,,C. Anthony misses 2-pt shot from 11 ft
1:09.0,Defensive rebound by Team,,86-79,,
1:08.0,,,86-79,,Loose ball foul by W. Hernangomez (drawn by E. Kanter)
1:08.0,E. Kanter makes free throw 1 of 2,1,87-79,,
1:08.0,E. Kanter makes free throw 2 of 2,1,88-79,,
0:52.0,,,88-79,,Shooting foul by J. Lauvergne (drawn by W. Hernangomez)
0:52.0,,,88-80,1,W. Hernangomez makes free throw 1 of 2
0:52.0,,,88-81,1,W. Hernangomez makes free throw 2 of 2
0:52.0,,,88-80,,M. Ndour enters the game for C. Anthony
0:31.0,S. Christon misses 2-pt shot from 3 ft,,88-81,,
0:31.0,,,88-81,,Defensive rebound by B. Jennings
0:15.0,,,88-81,,M. Ndour misses 2-pt shot from 18 ft (block by A. Roberson)
0:14.0,,,88-81,,Offensive rebound by Team
0:14.0,Violation by A. Roberson (kicked ball),,88-81,,
0:09.0,,,88-81,,B. Jennings misses 3-pt shot from 25 ft
0:08.0,,,88-81,,Offensive rebound by M. Ndour
0:08.0,,,88-81,,M. Ndour misses 2-pt shot from 3 ft
0:06.0,Defensive rebound by E. Kanter,,88-81,,
0:01.0,A. Roberson misses 3-pt shot from 25 ft,,88-81,,
0:00.0,Offensive rebound by Team,,88-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,88-81,,Personal foul by C. Lee (drawn by A. Morrow)
11:41.0,J. Lauvergne misses 2-pt shot from 18 ft,,88-81,,
11:40.0,,,88-81,,Defensive rebound by J. Holiday
11:17.0,,,88-81,,K. Porzingis misses 2-pt shot from 20 ft
11:16.0,Defensive rebound by S. Christon,,88-81,,
11:03.0,A. Morrow makes 3-pt shot from 25 ft (assist by S. Christon),3,91-81,,
10:46.0,,,91-81,,W. Hernangomez misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by E. Kanter,,91-81,,
10:32.0,Shooting foul by K. Porzingis (drawn by J. Grant),,91-81,,
10:32.0,J. Grant misses free throw 1 of 2,,91-81,,
10:32.0,Offensive rebound by Team,,91-81,,
10:32.0,J. Grant misses free throw 2 of 2,,91-81,,
10:31.0,,,91-81,,Defensive rebound by J. Holiday
10:14.0,,,91-81,,K. Porzingis misses 2-pt shot from 12 ft
10:13.0,Defensive rebound by J. Lauvergne,,91-81,,
10:06.0,Turnover by E. Kanter (traveling),,91-81,,
9:46.0,,,91-81,,C. Lee misses 2-pt shot from 8 ft
9:46.0,Defensive rebound by E. Kanter,,91-81,,
9:28.0,Turnover by J. Lauvergne (bad pass),,91-81,,
9:28.0,,,91-81,,D. Rose enters the game for B. Jennings
9:05.0,,,91-83,2,D. Rose makes 2-pt shot from 19 ft
8:52.0,J. Lauvergne misses 2-pt shot from 19 ft,,91-83,,
8:52.0,Offensive rebound by E. Kanter,,91-83,,
8:50.0,E. Kanter makes 2-pt shot from 1 ft,2,93-83,,
8:32.0,,,93-85,2,K. Porzingis makes 2-pt shot from 17 ft (assist by W. Hernangomez)
8:16.0,Turnover by J. Grant (bad pass; steal by W. Hernangomez),,93-85,,
8:12.0,,,93-87,2,W. Hernangomez makes 2-pt shot from 2 ft
8:12.0,Oklahoma City full timeout,,93-87,,
8:12.0,,,93-87,,J. Noah enters the game for W. Hernangomez
8:12.0,R. Westbrook enters the game for E. Kanter,,93-87,,
8:12.0,S. Adams enters the game for S. Christon,,93-87,,
8:12.0,V. Oladipo enters the game for J. Grant,,93-87,,
7:53.0,V. Oladipo makes 2-pt shot from 14 ft,2,95-87,,
7:31.0,,,95-89,2,D. Rose makes 2-pt shot from 9 ft
7:18.0,S. Adams misses 2-pt shot from 3 ft (block by K. Porzingis),,95-89,,
7:17.0,Offensive rebound by S. Adams,,95-89,,
7:12.0,S. Adams makes 2-pt shot at rim (assist by J. Lauvergne),2,97-89,,
6:53.0,,,97-89,,D. Rose misses 2-pt shot from 1 ft
6:52.0,,,97-89,,Offensive rebound by D. Rose
6:52.0,,,97-91,2,D. Rose makes 2-pt shot from 2 ft
6:41.0,R. Westbrook makes 2-pt shot from 13 ft,2,99-91,,
6:25.0,,,99-91,,D. Rose misses 2-pt shot from 5 ft
6:25.0,Defensive rebound by J. Lauvergne,,99-91,,
6:13.0,Turnover by S. Adams (lost ball; steal by J. Noah),,99-91,,
6:04.0,,,99-94,3,K. Porzingis makes 3-pt shot from 24 ft (assist by D. Rose)
5:46.0,A. Morrow misses 3-pt shot from 25 ft,,99-94,,
5:45.0,Offensive rebound by Team,,99-94,,
5:45.0,Official timeout,,99-94,,
5:45.0,,,99-94,,C. Anthony enters the game for J. Holiday
5:45.0,E. Kanter enters the game for J. Lauvergne,,99-94,,
