time,Brooklyn,pts.away,score,pts.home,Indiana
8:14.0,B. Lopez makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,13-6,,
7:58.0,,,13-9,3,G. Robinson makes 3-pt shot from 24 ft (assist by M. Turner)
7:44.0,T. Booker makes 2-pt shot from 22 ft (assist by B. Bogdanovic),2,15-9,,
7:24.0,,,15-12,3,G. Robinson makes 3-pt shot from 23 ft (assist by J. Teague)
7:13.0,T. Booker makes 2-pt shot from 2 ft,2,17-12,,
6:52.0,,,17-14,2,M. Turner makes 2-pt shot from 19 ft (assist by M. Ellis)
6:42.0,B. Lopez misses 3-pt shot from 27 ft,,17-14,,
6:42.0,,,17-14,,Defensive rebound by T. Young
6:20.0,,,17-14,,J. Teague misses 2-pt shot from 7 ft
6:20.0,Defensive rebound by B. Lopez,,17-14,,
6:04.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Kilpatrick),3,20-14,,
6:04.0,,,20-14,,Indiana full timeout
6:04.0,J. Hamilton enters the game for T. Booker,,20-14,,
6:04.0,J. Harris enters the game for S. Kilpatrick,,20-14,,
6:04.0,,,20-14,,R. Stuckey enters the game for G. Robinson
5:55.0,Personal foul by J. Harris (drawn by M. Ellis),,20-14,,
5:48.0,Def 3 sec tech foul by B. Lopez,,20-14,,
5:48.0,,,20-15,1,J. Teague makes technical free throw
5:37.0,,,20-15,,J. Teague misses 2-pt shot from 6 ft (block by I. Whitehead)
5:35.0,,,20-15,,Offensive rebound by J. Teague
5:32.0,,,20-17,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
5:21.0,J. Harris misses 2-pt shot from 18 ft,,20-17,,
5:20.0,,,20-17,,Defensive rebound by M. Ellis
5:07.0,,,20-17,,Offensive foul by M. Turner
5:07.0,,,20-17,,Turnover by M. Turner (offensive foul)
4:57.0,J. Harris misses 3-pt shot from 26 ft,,20-17,,
4:56.0,Offensive rebound by J. Hamilton,,20-17,,
4:48.0,Offensive foul by J. Hamilton,,20-17,,
4:48.0,Turnover by J. Hamilton (offensive foul),,20-17,,
4:48.0,Y. Ferrell enters the game for B. Bogdanovic,,20-17,,
4:48.0,R. Foye enters the game for B. Lopez,,20-17,,
4:48.0,T. Booker enters the game for I. Whitehead,,20-17,,
4:48.0,,,20-17,,A. Jefferson enters the game for M. Turner
4:35.0,,,20-19,2,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Teague)
4:16.0,T. Booker misses 2-pt shot from 12 ft,,20-19,,
4:16.0,,,20-19,,Defensive rebound by J. Teague
4:09.0,,,20-19,,Turnover by J. Teague (bad pass; steal by J. Hamilton)
3:56.0,,,20-19,,Personal foul by R. Stuckey (drawn by J. Hamilton)
3:56.0,,,20-19,,A. Brooks enters the game for J. Teague
3:49.0,Turnover by T. Booker (lost ball; steal by A. Brooks),,20-19,,
3:40.0,,,20-22,3,M. Ellis makes 3-pt shot from 26 ft (assist by T. Young)
3:40.0,Brooklyn full timeout,,20-22,,
3:40.0,,,20-22,,L. Allen enters the game for T. Young
3:30.0,,,20-22,,Personal foul by M. Ellis (drawn by J. Hamilton)
3:20.0,Turnover by T. Booker (traveling),,20-22,,
3:05.0,,,20-22,,A. Jefferson misses 2-pt shot from 5 ft (block by T. Booker)
3:03.0,Defensive rebound by Y. Ferrell,,20-22,,
2:55.0,R. Foye makes 3-pt shot from 25 ft (assist by J. Hamilton),3,23-22,,
2:37.0,,,23-24,2,A. Jefferson makes 2-pt shot from 10 ft (assist by A. Brooks)
2:25.0,Turnover by J. Harris (bad pass),,23-24,,
2:25.0,L. Scola enters the game for J. Hamilton,,23-24,,
2:12.0,,,23-24,,A. Brooks misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by T. Booker,,23-24,,
2:06.0,Turnover by J. Harris (traveling),,23-24,,
2:06.0,,,23-24,,G. Robinson enters the game for M. Ellis
1:48.0,,,23-24,,Turnover by A. Brooks (bad pass; steal by T. Booker)
1:40.0,J. Harris misses 3-pt shot from 24 ft,,23-24,,
1:39.0,,,23-24,,Defensive rebound by G. Robinson
1:24.0,,,23-26,2,R. Stuckey makes 2-pt shot from 13 ft (assist by A. Jefferson)
1:05.0,Y. Ferrell misses 3-pt shot from 25 ft,,23-26,,
1:05.0,,,23-26,,Defensive rebound by A. Jefferson
0:56.0,,,23-28,2,A. Jefferson makes 2-pt shot from 15 ft (assist by A. Brooks)
0:41.0,L. Scola misses 3-pt shot from 24 ft,,23-28,,
0:40.0,,,23-28,,Defensive rebound by L. Allen
0:32.0,,,23-28,,Turnover by A. Brooks (bad pass; steal by T. Booker)
0:23.0,R. Foye misses 3-pt shot from 25 ft,,23-28,,
0:23.0,,,23-28,,Defensive rebound by A. Brooks
0:00.0,,,23-28,,A. Jefferson misses 2-pt shot from 20 ft
0:00.0,,,23-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Y. Ferrell misses 2-pt shot from 18 ft,,23-28,,
11:43.0,,,23-28,,Defensive rebound by R. Stuckey
11:23.0,,,23-30,2,R. Stuckey makes 2-pt shot from 19 ft
11:14.0,Shooting foul by A. Jefferson (drawn by Y. Ferrell),,23-30,,
11:14.0,Y. Ferrell makes free throw 1 of 2,1,24-30,,
11:14.0,Y. Ferrell makes free throw 2 of 2,1,25-30,,
10:59.0,,,25-33,3,A. Brooks makes 3-pt shot from 24 ft (assist by R. Stuckey)
10:51.0,Y. Ferrell misses 2-pt shot from 16 ft,,25-33,,
10:50.0,,,25-33,,Defensive rebound by L. Allen
10:35.0,,,25-35,2,A. Jefferson makes 2-pt shot from 6 ft (assist by R. Stuckey)
10:15.0,B. Bogdanovic makes 2-pt shot from 11 ft (assist by R. Foye),2,27-35,,
9:56.0,,,27-35,,A. Jefferson misses 2-pt shot from 18 ft
9:55.0,,,27-35,,Offensive rebound by L. Allen
9:38.0,,,27-35,,Shooting foul by J. Hamilton (drawn by G. Robinson)
9:38.0,,,27-36,1,G. Robinson makes free throw 1 of 2
9:38.0,,,27-37,1,G. Robinson makes free throw 2 of 2
9:17.0,J. Hamilton misses 2-pt shot from 2 ft,,27-37,,
9:17.0,,,27-37,,Defensive rebound by G. Robinson
9:10.0,,,27-37,,Turnover by A. Brooks (bad pass; steal by R. Foye)
9:06.0,Shooting foul by R. Stuckey (drawn by L. Scola),,27-37,,
9:06.0,L. Scola makes free throw 1 of 2,1,28-37,,
9:06.0,L. Scola misses free throw 2 of 2,,28-37,,
9:06.0,,,28-37,,Defensive rebound by A. Jefferson
8:53.0,,,28-37,,Turnover by R. Stuckey (lost ball)
8:53.0,Official timeout,,28-37,,
8:53.0,,,28-37,,M. Turner enters the game for A. Jefferson
8:39.0,B. Bogdanovic misses 2-pt shot from 22 ft,,28-37,,
8:38.0,Offensive rebound by L. Scola,,28-37,,
8:35.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by M. Turner),,28-37,,
8:34.0,Offensive rebound by Team,,28-37,,
8:24.0,R. Foye makes 2-pt shot from 21 ft,2,30-37,,
8:15.0,,,30-37,,Turnover by R. Stuckey (lost ball; steal by Y. Ferrell)
8:09.0,Y. Ferrell makes 3-pt shot from 26 ft,3,33-37,,
7:56.0,,,33-39,2,R. Stuckey makes 2-pt shot from 5 ft
7:36.0,Turnover by B. Bogdanovic (bad pass; steal by R. Stuckey),,33-39,,
7:24.0,,,33-39,,M. Turner misses 2-pt shot from 16 ft
7:23.0,Defensive rebound by Y. Ferrell,,33-39,,
7:09.0,Y. Ferrell makes 2-pt shot from 2 ft,2,35-39,,
7:00.0,,,35-39,,Indiana full timeout
7:00.0,,,35-39,,M. Ellis enters the game for R. Stuckey
7:00.0,,,35-39,,J. Teague enters the game for A. Brooks
7:00.0,,,35-39,,T. Young enters the game for L. Allen
7:00.0,I. Whitehead enters the game for Y. Ferrell,,35-39,,
7:00.0,B. Lopez enters the game for R. Foye,,35-39,,
7:00.0,S. Kilpatrick enters the game for L. Scola,,35-39,,
6:44.0,,,35-41,2,J. Teague makes 2-pt shot from 16 ft
6:31.0,Turnover by I. Whitehead (lost ball),,35-41,,
6:17.0,,,35-43,2,J. Teague makes 2-pt shot from 8 ft
5:59.0,S. Kilpatrick misses 2-pt shot from 2 ft,,35-43,,
5:59.0,,,35-43,,Defensive rebound by M. Turner
5:46.0,,,35-45,2,M. Ellis makes 2-pt shot from 4 ft
5:46.0,Brooklyn full timeout,,35-45,,
5:36.0,Turnover by B. Lopez (lost ball; steal by J. Teague),,35-45,,
5:36.0,Loose ball foul by B. Lopez (drawn by J. Teague),,35-45,,
5:18.0,,,35-47,2,T. Young makes 2-pt shot from 4 ft (assist by M. Ellis)
5:05.0,T. Booker enters the game for J. Hamilton,,35-47,,
5:05.0,J. Harris enters the game for B. Bogdanovic,,35-47,,
4:52.0,Turnover by Team (shot clock),,35-47,,
4:40.0,,,35-47,,T. Young misses 2-pt shot from 7 ft
4:40.0,Defensive rebound by J. Harris,,35-47,,
4:28.0,B. Lopez makes 2-pt shot from 2 ft (assist by I. Whitehead),2,37-47,,
4:06.0,,,37-47,,T. Young misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by S. Kilpatrick,,37-47,,
3:54.0,S. Kilpatrick makes 2-pt shot from 3 ft (assist by B. Lopez),2,39-47,,
3:31.0,,,39-47,,T. Young misses 3-pt shot from 23 ft
3:31.0,,,39-47,,Offensive rebound by T. Young
3:28.0,,,39-49,2,G. Robinson makes 2-pt shot from 23 ft
3:10.0,S. Kilpatrick misses 3-pt shot from 25 ft,,39-49,,
3:10.0,,,39-49,,Defensive rebound by M. Turner
3:01.0,,,39-49,,J. Teague misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by B. Lopez,,39-49,,
2:57.0,Turnover by B. Lopez (bad pass; steal by J. Teague),,39-49,,
2:47.0,,,39-49,,T. Young misses 3-pt shot from 25 ft
2:47.0,,,39-49,,Offensive rebound by M. Turner
2:43.0,,,39-49,,M. Turner misses 2-pt shot from 2 ft (block by B. Lopez)
2:41.0,,,39-49,,Offensive rebound by M. Turner
2:41.0,,,39-51,2,M. Turner makes 2-pt shot from 2 ft
2:27.0,Turnover by I. Whitehead (lost ball; steal by G. Robinson),,39-51,,
2:15.0,,,39-51,,Shooting foul by B. Lopez (drawn by T. Young)
2:15.0,,,39-53,2,T. Young makes 2-pt shot from 5 ft
2:15.0,,,39-53,,T. Young misses free throw 1 of 1
2:15.0,Defensive rebound by T. Booker,,39-53,,
2:15.0,J. Hamilton enters the game for B. Lopez,,39-53,,
2:09.0,Turnover by S. Kilpatrick (bad pass; steal by M. Turner),,39-53,,
2:01.0,,,39-56,3,G. Robinson makes 3-pt shot from 26 ft (assist by J. Teague)
1:43.0,I. Whitehead misses 3-pt shot from 23 ft,,39-56,,
1:43.0,,,39-56,,Defensive rebound by M. Turner
1:35.0,,,39-56,,G. Robinson misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by T. Booker,,39-56,,
1:25.0,T. Booker misses 2-pt shot from 2 ft (block by M. Turner),,39-56,,
1:24.0,,,39-56,,Defensive rebound by J. Teague
1:22.0,,,39-56,,R. Stuckey enters the game for G. Robinson
1:09.0,,,39-56,,M. Turner misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by J. Hamilton,,39-56,,
1:03.0,,,39-56,,Personal foul by M. Ellis (drawn by S. Kilpatrick)
1:03.0,S. Kilpatrick makes free throw 1 of 2,1,40-56,,
1:03.0,S. Kilpatrick misses free throw 2 of 2,,40-56,,
1:02.0,,,40-56,,Defensive rebound by T. Young
0:48.0,,,40-58,2,R. Stuckey makes 2-pt shot from 13 ft
0:35.0,S. Kilpatrick makes 3-pt shot from 24 ft,3,43-58,,
0:22.0,,,43-58,,R. Stuckey misses 2-pt shot from 12 ft
0:21.0,Defensive rebound by S. Kilpatrick,,43-58,,
0:02.0,S. Kilpatrick misses 2-pt shot from 5 ft (block by M. Turner),,43-58,,
0:00.0,,,43-58,,Defensive rebound by R. Stuckey
0:00.0,Personal block foul by J. Harris (drawn by R. Stuckey),,43-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,B. Lopez makes 2-pt shot from 3 ft,2,45-58,,
11:17.0,,,45-60,2,G. Robinson makes 2-pt shot from 18 ft
10:52.0,T. Booker misses 3-pt shot from 25 ft,,45-60,,
10:50.0,,,45-60,,Defensive rebound by J. Teague
10:38.0,,,45-62,2,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis)
10:26.0,B. Lopez misses 2-pt shot from 4 ft (block by M. Turner),,45-62,,
10:26.0,,,45-62,,Defensive rebound by J. Teague
10:20.0,,,45-64,2,J. Teague makes 2-pt shot from 3 ft
10:05.0,B. Bogdanovic misses 3-pt shot from 23 ft,,45-64,,
10:04.0,,,45-64,,Defensive rebound by M. Turner
10:01.0,,,45-64,,Turnover by J. Teague (bad pass)
9:52.0,I. Whitehead misses 3-pt shot from 26 ft,,45-64,,
9:51.0,,,45-64,,Defensive rebound by M. Ellis
9:40.0,,,45-67,3,M. Ellis makes 3-pt shot from 26 ft (assist by J. Teague)
9:26.0,,,45-67,,Shooting block foul by G. Robinson (drawn by S. Kilpatrick)
9:26.0,S. Kilpatrick makes free throw 1 of 2,1,46-67,,
9:26.0,S. Kilpatrick makes free throw 2 of 2,1,47-67,,
9:26.0,Y. Ferrell enters the game for I. Whitehead,,46-67,,
9:11.0,,,47-69,2,M. Turner makes 2-pt shot from 2 ft (assist by T. Young)
8:59.0,B. Lopez misses 2-pt shot from 7 ft,,47-69,,
8:59.0,Offensive rebound by B. Lopez,,47-69,,
8:58.0,B. Lopez misses 2-pt shot from 3 ft,,47-69,,
8:56.0,,,47-69,,Defensive rebound by J. Teague
8:51.0,,,47-71,2,T. Young makes 2-pt shot from 1 ft (assist by J. Teague)
8:26.0,Y. Ferrell misses 3-pt shot from 25 ft,,47-71,,
8:25.0,Offensive rebound by T. Booker,,47-71,,
8:18.0,S. Kilpatrick misses 3-pt shot from 24 ft,,47-71,,
8:18.0,,,47-71,,Defensive rebound by M. Turner
8:14.0,Personal block foul by Y. Ferrell (drawn by M. Ellis),,47-71,,
8:14.0,R. Foye enters the game for S. Kilpatrick,,47-71,,
8:06.0,,,47-71,,M. Turner misses 2-pt shot from 17 ft
8:06.0,Defensive rebound by T. Booker,,47-71,,
7:44.0,B. Lopez makes 3-pt shot from 26 ft (assist by R. Foye),3,50-71,,
7:22.0,,,50-73,2,J. Teague makes 2-pt shot from 2 ft
7:11.0,Turnover by Y. Ferrell (lost ball),,50-73,,
7:11.0,J. Hamilton enters the game for T. Booker,,50-73,,
6:59.0,,,50-73,,Shooting foul by J. Hamilton (drawn by M. Turner)
6:59.0,,,50-74,1,M. Turner makes free throw 1 of 2
6:59.0,,,50-75,1,M. Turner makes free throw 2 of 2
6:48.0,Turnover by Y. Ferrell (bad pass; steal by J. Teague),,50-75,,
6:31.0,,,50-78,3,T. Young makes 3-pt shot from 24 ft (assist by J. Teague)
6:29.0,Brooklyn full timeout,,50-78,,
6:06.0,B. Bogdanovic misses 3-pt shot from 25 ft,,50-78,,
6:05.0,,,50-78,,Defensive rebound by M. Ellis
5:58.0,,,50-78,,G. Robinson misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by R. Foye,,50-78,,
5:52.0,,,50-78,,Personal foul by M. Turner (drawn by B. Lopez)
5:52.0,,,50-78,,R. Stuckey enters the game for G. Robinson
5:41.0,J. Hamilton misses 3-pt shot from 23 ft,,50-78,,
5:40.0,,,50-78,,Defensive rebound by J. Teague
5:25.0,,,50-80,2,T. Young makes 2-pt shot from 10 ft
5:16.0,,,50-80,,Personal foul by M. Ellis (drawn by Y. Ferrell)
5:16.0,J. Harris enters the game for B. Bogdanovic,,50-80,,
5:04.0,Shooting foul by M. Turner (drawn by B. Lopez),,50-80,,
5:04.0,B. Lopez makes free throw 1 of 2,1,51-80,,
5:04.0,B. Lopez misses free throw 2 of 2,,51-80,,
5:04.0,,,51-80,,Defensive rebound by M. Turner
5:04.0,S. Kilpatrick enters the game for Y. Ferrell,,51-80,,
4:52.0,,,51-82,2,M. Ellis makes 2-pt shot from 15 ft
4:42.0,,,51-82,,Def 3 sec tech foul by M. Ellis
4:42.0,R. Foye misses technical free throw,,51-82,,
4:42.0,Offensive rebound by Team,,51-82,,
4:42.0,,,51-82,,A. Jefferson enters the game for M. Turner
4:42.0,T. Booker enters the game for B. Lopez,,51-82,,
4:37.0,S. Kilpatrick makes 2-pt shot from 19 ft (assist by T. Booker),2,53-82,,
4:20.0,,,53-82,,Turnover by J. Teague (bad pass; steal by T. Booker)
4:14.0,Turnover by R. Foye (bad pass; steal by M. Ellis),,53-82,,
4:10.0,,,53-84,2,M. Ellis makes 2-pt shot from 1 ft
3:53.0,R. Foye makes 3-pt shot from 25 ft (assist by T. Booker),3,56-84,,
3:39.0,,,56-84,,A. Jefferson misses 2-pt shot from 7 ft
3:39.0,Defensive rebound by T. Booker,,56-84,,
3:29.0,T. Booker makes 2-pt shot from 4 ft (assist by S. Kilpatrick),2,58-84,,
3:22.0,,,58-84,,Indiana full timeout
3:22.0,L. Scola enters the game for J. Hamilton,,58-84,,
3:22.0,,,58-84,,A. Brooks enters the game for T. Young
3:22.0,,,58-84,,L. Allen enters the game for J. Teague
3:10.0,,,58-84,,R. Stuckey misses 2-pt shot from 16 ft
3:09.0,Defensive rebound by L. Scola,,58-84,,
3:01.0,R. Foye misses 2-pt shot from 3 ft,,58-84,,
3:00.0,,,58-84,,Defensive rebound by L. Allen
2:47.0,,,58-84,,Shooting foul by J. Harris (drawn by R. Stuckey)
2:47.0,,,58-85,1,R. Stuckey makes free throw 1 of 2
2:47.0,,,58-86,1,R. Stuckey makes free throw 2 of 2
2:47.0,,,58-85,,G. Robinson enters the game for M. Ellis
2:37.0,S. Kilpatrick makes 2-pt shot from 3 ft,2,60-86,,
2:19.0,,,60-86,,L. Allen misses 2-pt shot from 21 ft
2:19.0,,,60-86,,Offensive rebound by A. Jefferson
2:05.0,,,60-88,2,A. Jefferson makes 2-pt shot from 11 ft
1:55.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by T. Booker),3,63-88,,
1:29.0,,,63-88,,A. Brooks misses 3-pt shot from 26 ft
1:28.0,,,63-88,,Offensive rebound by G. Robinson
1:16.0,,,63-88,,A. Brooks misses 3-pt shot from 26 ft
1:15.0,Defensive rebound by L. Scola,,63-88,,
1:08.0,J. Harris misses 3-pt shot from 23 ft,,63-88,,
1:07.0,,,63-88,,Defensive rebound by R. Stuckey
0:52.0,,,63-90,2,R. Stuckey makes 2-pt shot from 17 ft
0:39.0,Offensive charge foul by T. Booker,,63-90,,
0:39.0,Turnover by T. Booker (offensive foul),,63-90,,
0:30.0,,,63-92,2,A. Brooks makes 2-pt shot from 2 ft
0:11.0,R. Foye makes 2-pt shot from 10 ft,2,65-92,,
0:00.0,,,65-92,,A. Jefferson misses 2-pt shot from 20 ft
0:00.0,,,65-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Personal foul by I. Whitehead (drawn by A. Brooks),,65-92,,
11:25.0,,,65-95,3,R. Stuckey makes 3-pt shot from 25 ft
11:16.0,Turnover by I. Whitehead (offensive foul),,65-95,,
11:16.0,Offensive foul by I. Whitehead,,65-95,,
11:03.0,,,65-95,,Turnover by A. Jefferson (lost ball)
11:03.0,,,65-95,,Loose ball foul by A. Jefferson (drawn by I. Whitehead)
10:45.0,B. Lopez makes 2-pt shot from 8 ft,2,67-95,,
10:27.0,,,67-98,3,R. Stuckey makes 3-pt shot from 26 ft (assist by A. Brooks)
10:18.0,Turnover by B. Lopez (bad pass; steal by R. Stuckey),,67-98,,
10:16.0,,,67-98,,Shooting foul by S. Kilpatrick (drawn by R. Stuckey)
10:16.0,,,67-98,,R. Stuckey misses free throw 1 of 2
10:16.0,,,67-98,,Offensive rebound by Team
10:16.0,,,67-98,,R. Stuckey misses free throw 2 of 2
10:16.0,Defensive rebound by T. Booker,,67-98,,
10:09.0,Shooting foul by A. Brooks (drawn by I. Whitehead),,67-98,,
10:09.0,I. Whitehead makes free throw 1 of 2,1,68-98,,
10:09.0,I. Whitehead makes free throw 2 of 2,1,69-98,,
9:54.0,,,69-98,,G. Robinson misses 2-pt shot from 17 ft
9:53.0,Defensive rebound by B. Bogdanovic,,69-98,,
9:46.0,B. Lopez makes 2-pt shot from 3 ft (assist by I. Whitehead),2,71-98,,
9:46.0,Shooting foul by A. Jefferson (drawn by B. Lopez),,71-98,,
9:46.0,B. Lopez makes free throw 1 of 1,1,72-98,,
9:46.0,A. Bennett enters the game for T. Booker,,71-98,,
9:30.0,,,72-98,,A. Brooks misses 2-pt shot from 16 ft
9:30.0,Defensive rebound by B. Bogdanovic,,72-98,,
9:18.0,A. Bennett misses 3-pt shot from 24 ft,,72-98,,
9:18.0,,,72-98,,Defensive rebound by G. Robinson
9:05.0,,,72-100,2,A. Jefferson makes 2-pt shot from 4 ft
8:56.0,I. Whitehead misses 2-pt shot from 16 ft,,72-100,,
8:55.0,,,72-100,,Defensive rebound by G. Robinson
8:42.0,,,72-102,2,A. Jefferson makes 2-pt shot from 13 ft
8:41.0,Brooklyn full timeout,,72-102,,
8:41.0,,,72-102,,J. Young enters the game for A. Brooks
8:20.0,Shooting foul by L. Allen (drawn by S. Kilpatrick),,72-102,,
8:20.0,S. Kilpatrick misses free throw 1 of 2,,72-102,,
8:20.0,Offensive rebound by Team,,72-102,,
8:20.0,S. Kilpatrick makes free throw 2 of 2,1,73-102,,
8:02.0,,,73-102,,A. Jefferson misses 2-pt shot from 12 ft
8:01.0,Defensive rebound by I. Whitehead,,73-102,,
7:52.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,76-102,,
7:34.0,,,76-102,,J. Young misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by B. Bogdanovic,,76-102,,
7:24.0,B. Bogdanovic misses 2-pt shot from 12 ft,,76-102,,
7:22.0,,,76-102,,Defensive rebound by L. Allen
7:15.0,,,76-102,,Shooting foul by S. Kilpatrick (drawn by G. Robinson)
7:15.0,,,76-102,,G. Robinson misses free throw 1 of 2
7:15.0,,,76-102,,Offensive rebound by Team
7:15.0,,,76-102,,G. Robinson misses free throw 2 of 2
7:15.0,Defensive rebound by C. McCullough,,76-102,,
7:15.0,C. McCullough enters the game for B. Bogdanovic,,76-102,,
7:15.0,Y. Ferrell enters the game for B. Lopez,,76-102,,
7:15.0,J. Harris enters the game for S. Kilpatrick,,76-102,,
7:02.0,J. Harris makes 3-pt shot from 25 ft (assist by I. Whitehead),3,79-102,,
6:43.0,,,79-105,3,G. Robinson makes 3-pt shot from 23 ft (assist by R. Stuckey)
6:31.0,A. Bennett makes 2-pt shot from 3 ft (assist by I. Whitehead),2,81-105,,
6:16.0,,,81-107,2,A. Jefferson makes 2-pt shot from 10 ft (assist by J. Young)
5:58.0,A. Bennett misses 3-pt shot from 23 ft,,81-107,,
5:57.0,,,81-107,,Defensive rebound by R. Stuckey
5:48.0,Personal foul by Y. Ferrell (drawn by L. Allen),,81-107,,
5:48.0,Official timeout,,81-107,,
5:48.0,,,81-107,,G. Niang enters the game for A. Jefferson
5:36.0,,,81-107,,G. Niang misses 3-pt shot from 25 ft
5:36.0,,,81-107,,Offensive rebound by Team
5:22.0,,,81-107,,R. Stuckey misses 3-pt shot from 25 ft
5:21.0,,,81-107,,Offensive rebound by L. Allen
5:15.0,,,81-107,,Turnover by R. Stuckey (lost ball; steal by I. Whitehead)
5:09.0,I. Whitehead misses 2-pt shot from 1 ft,,81-107,,
5:08.0,Offensive rebound by C. McCullough,,81-107,,
5:08.0,C. McCullough misses 2-pt shot from 2 ft,,81-107,,
5:07.0,,,81-107,,Defensive rebound by L. Allen
4:58.0,Personal foul by J. Harris (drawn by G. Robinson),,81-107,,
4:58.0,,,81-108,1,G. Robinson makes free throw 1 of 2
4:58.0,,,81-109,1,G. Robinson makes free throw 2 of 2
4:58.0,,,81-108,,A. Brooks enters the game for R. Stuckey
4:50.0,Shooting foul by L. Allen (drawn by A. Bennett),,81-109,,
4:50.0,A. Bennett misses free throw 1 of 2,,81-109,,
4:50.0,Offensive rebound by Team,,81-109,,
4:50.0,A. Bennett makes free throw 2 of 2,1,82-109,,
4:32.0,,,82-109,,G. Niang misses 2-pt shot from 7 ft
4:31.0,Defensive rebound by J. Harris,,82-109,,
4:21.0,Shooting foul by G. Robinson (drawn by Y. Ferrell),,82-109,,
4:21.0,Y. Ferrell misses free throw 1 of 2,,82-109,,
4:21.0,Offensive rebound by Team,,82-109,,
4:21.0,Y. Ferrell misses free throw 2 of 2,,82-109,,
4:19.0,Offensive rebound by A. Bennett,,82-109,,
4:19.0,A. Bennett makes 2-pt shot from 3 ft,2,84-109,,
4:19.0,Shooting foul by L. Allen (drawn by A. Bennett),,84-109,,
4:19.0,A. Bennett makes free throw 1 of 1,1,85-109,,
4:06.0,,,85-109,,J. Young misses 2-pt shot from 16 ft
4:06.0,Defensive rebound by C. McCullough,,85-109,,
3:58.0,Turnover by J. Harris (bad pass; steal by A. Brooks),,85-109,,
3:34.0,,,85-109,,G. Niang misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by Team,,85-109,,
3:17.0,C. McCullough makes 2-pt shot from 21 ft (assist by J. Harris),2,87-109,,
