time,Boston,pts.away,score,pts.home,Chicago
4:46.0,,,8-22,,R. Lopez misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by A. Horford,,8-22,,
4:31.0,I. Thomas makes 2-pt shot from 6 ft,2,10-22,,
4:17.0,,,10-25,3,R. Rondo makes 3-pt shot from 26 ft (assist by D. McDermott)
3:55.0,J. Crowder makes 3-pt shot from 25 ft (assist by T. Rozier),3,13-25,,
3:39.0,,,13-25,,R. Lopez misses 2-pt shot from 8 ft
3:38.0,Defensive rebound by T. Zeller,,13-25,,
3:25.0,,,13-25,,Personal foul by R. Rondo (drawn by I. Thomas)
3:25.0,,,13-25,,N. Mirotic enters the game for T. Gibson
3:14.0,A. Horford makes 2-pt shot from 4 ft (assist by T. Rozier),2,15-25,,
3:05.0,,,15-27,2,D. McDermott makes 2-pt shot from 21 ft (assist by R. Rondo)
2:41.0,Shooting foul by D. McDermott (drawn by A. Horford),,15-27,,
2:41.0,,,15-27,,Chicago full timeout
2:41.0,A. Horford makes free throw 1 of 2,1,16-27,,
2:41.0,A. Horford misses free throw 2 of 2,,16-27,,
2:41.0,J. Brown enters the game for J. Crowder,,15-27,,
2:40.0,,,16-27,,Defensive rebound by N. Mirotic
2:21.0,,,16-27,,Turnover by D. McDermott (bad pass; steal by I. Thomas)
2:18.0,I. Thomas makes 2-pt shot from 2 ft,2,18-27,,
2:16.0,Violation by Team (jump ball),,18-27,,
2:07.0,Personal foul by J. Brown (drawn by J. Butler),,18-27,,
2:07.0,,,18-27,,J. Butler misses free throw 1 of 2
2:07.0,,,18-27,,Offensive rebound by Team
2:07.0,,,18-27,,J. Butler misses free throw 2 of 2
2:07.0,J. Jerebko enters the game for A. Horford,,18-27,,
2:07.0,,,18-27,,D. Wade enters the game for R. Rondo
2:05.0,Defensive rebound by J. Jerebko,,18-27,,
1:55.0,,,18-27,,I. Canaan enters the game for J. Butler
1:52.0,Turnover by I. Thomas (lost ball; steal by I. Canaan),,18-27,,
1:45.0,,,18-27,,I. Canaan misses 3-pt shot from 25 ft
1:42.0,,,18-27,,Offensive rebound by D. Wade
1:39.0,,,18-27,,Turnover by N. Mirotic (bad pass; steal by T. Rozier)
1:26.0,,,18-27,,Personal foul by N. Mirotic (drawn by I. Thomas)
1:17.0,T. Zeller misses 2-pt shot from 22 ft,,18-27,,
1:16.0,,,18-27,,Defensive rebound by I. Canaan
1:07.0,,,18-27,,D. Wade misses 2-pt shot from 19 ft
1:06.0,Defensive rebound by T. Rozier,,18-27,,
1:01.0,J. Brown makes 2-pt shot from 3 ft,2,20-27,,
0:46.0,,,20-29,2,N. Mirotic makes 2-pt shot from 3 ft
0:35.0,T. Rozier misses 3-pt shot from 25 ft,,20-29,,
0:34.0,,,20-29,,Defensive rebound by N. Mirotic
0:28.0,Personal foul by J. Brown (drawn by D. McDermott),,20-29,,
0:28.0,,,20-29,,D. McDermott misses free throw 1 of 2
0:28.0,,,20-29,,Offensive rebound by Team
0:28.0,,,20-30,1,D. McDermott makes free throw 2 of 2
0:28.0,,,20-29,,C. Felicio enters the game for R. Lopez
0:04.0,T. Rozier misses 2-pt shot from 20 ft,,20-30,,
0:03.0,,,20-30,,Defensive rebound by I. Canaan
0:01.0,,,20-30,,D. Wade misses 2-pt shot at rim
0:00.0,Defensive rebound by I. Thomas,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Brown misses 2-pt shot from 2 ft,,20-30,,
11:43.0,,,20-30,,Defensive rebound by N. Mirotic
11:27.0,,,20-30,,I. Canaan misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by Team,,20-30,,
11:26.0,,,20-30,,Loose ball foul by C. Felicio (drawn by A. Johnson)
11:12.0,A. Bradley makes 2-pt shot from 1 ft,2,22-30,,
10:50.0,,,22-30,,Shooting foul by J. Jerebko (drawn by C. Felicio)
10:50.0,,,22-31,1,C. Felicio makes free throw 1 of 2
10:50.0,,,22-32,1,C. Felicio makes free throw 2 of 2
10:37.0,,,22-32,,Personal foul by C. Felicio (drawn by A. Johnson)
10:24.0,A. Bradley misses 3-pt shot from 25 ft,,22-32,,
10:24.0,,,22-32,,Defensive rebound by Team
10:24.0,Loose ball foul by J. Jerebko (drawn by D. Wade),,22-32,,
10:04.0,,,22-32,,C. Felicio misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by T. Rozier,,22-32,,
9:48.0,T. Rozier makes 3-pt shot from 26 ft (assist by A. Bradley),3,25-32,,
9:22.0,,,25-35,3,D. Wade makes 3-pt shot from 26 ft (assist by I. Canaan)
8:59.0,J. Jerebko misses 2-pt shot from 5 ft,,25-35,,
8:58.0,,,25-35,,Defensive rebound by D. Wade
8:52.0,,,25-35,,Shooting foul by T. Rozier (drawn by N. Mirotic)
8:52.0,,,25-35,,Chicago full timeout
8:52.0,,,25-36,1,N. Mirotic makes free throw 1 of 2
8:52.0,,,25-37,1,N. Mirotic makes free throw 2 of 2
8:52.0,G. Green enters the game for J. Brown,,25-35,,
8:34.0,T. Rozier misses 3-pt shot from 26 ft,,25-37,,
8:33.0,Offensive rebound by A. Bradley,,25-37,,
8:32.0,Shooting foul by N. Mirotic (drawn by A. Bradley),,25-37,,
8:32.0,A. Bradley misses free throw 1 of 2,,25-37,,
8:32.0,Offensive rebound by Team,,25-37,,
8:32.0,A. Bradley makes free throw 2 of 2,1,26-37,,
8:23.0,,,26-39,2,C. Felicio makes 2-pt shot at rim (assist by D. Wade)
8:07.0,A. Bradley makes 3-pt shot from 23 ft (assist by T. Rozier),3,29-39,,
7:51.0,,,29-41,2,N. Mirotic makes 2-pt shot from 3 ft
7:38.0,A. Johnson makes 2-pt shot from 5 ft (assist by A. Bradley),2,31-41,,
7:19.0,,,31-41,,I. Canaan misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by G. Green,,31-41,,
7:08.0,J. Jerebko makes 3-pt shot from 25 ft (assist by A. Bradley),3,34-41,,
7:08.0,,,34-41,,Chicago full timeout
7:08.0,A. Horford enters the game for A. Johnson,,34-41,,
7:08.0,J. Crowder enters the game for J. Jerebko,,34-41,,
7:08.0,,,34-41,,J. Butler enters the game for D. Wade
7:08.0,,,34-41,,R. Rondo enters the game for I. Canaan
6:54.0,,,34-41,,N. Mirotic misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by A. Horford,,34-41,,
6:36.0,G. Green makes 2-pt shot from 9 ft (assist by A. Horford),2,36-41,,
6:17.0,,,36-41,,N. Mirotic misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by A. Bradley,,36-41,,
6:09.0,,,36-41,,Violation by N. Mirotic (kicked ball)
6:02.0,A. Horford makes 2-pt shot from 20 ft (assist by T. Rozier),2,38-41,,
5:47.0,,,38-41,,D. McDermott misses 2-pt shot from 6 ft
5:46.0,,,38-41,,Offensive rebound by N. Mirotic
5:46.0,,,38-43,2,N. Mirotic makes 2-pt shot from 2 ft
5:39.0,A. Bradley makes 2-pt shot from 1 ft,2,40-43,,
5:14.0,,,40-43,,J. Butler misses 2-pt shot from 6 ft (block by A. Bradley)
5:12.0,Defensive rebound by A. Horford,,40-43,,
4:56.0,T. Rozier misses 3-pt shot from 24 ft,,40-43,,
4:55.0,,,40-43,,Defensive rebound by N. Mirotic
4:47.0,,,40-43,,N. Mirotic misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by G. Green,,40-43,,
4:43.0,Boston full timeout,,40-43,,
4:43.0,,,40-43,,T. Gibson enters the game for D. McDermott
4:43.0,,,40-43,,M. Carter-Williams enters the game for C. Felicio
4:43.0,I. Thomas enters the game for T. Rozier,,40-43,,
4:30.0,A. Horford misses 2-pt shot from 3 ft,,40-43,,
4:29.0,,,40-43,,Defensive rebound by T. Gibson
4:21.0,,,40-43,,T. Gibson misses 2-pt shot from 2 ft (block by G. Green)
4:19.0,,,40-43,,Offensive rebound by T. Gibson
4:19.0,,,40-43,,T. Gibson misses 2-pt shot from 2 ft
4:17.0,,,40-43,,Offensive rebound by J. Butler
4:01.0,,,40-46,3,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo)
3:38.0,Shooting foul by N. Mirotic (drawn by J. Crowder),,40-46,,
3:38.0,J. Crowder makes free throw 1 of 3,1,41-46,,
3:38.0,J. Crowder makes free throw 2 of 3,1,42-46,,
3:38.0,J. Crowder makes free throw 3 of 3,1,43-46,,
3:38.0,,,42-46,,D. Wade enters the game for N. Mirotic
3:22.0,,,43-46,,J. Butler misses 2-pt shot from 1 ft
3:22.0,,,43-46,,Offensive rebound by M. Carter-Williams
3:22.0,Personal foul by A. Horford (drawn by M. Carter-Williams),,43-46,,
3:12.0,,,43-46,,T. Gibson misses 2-pt shot from 19 ft
3:10.0,Defensive rebound by I. Thomas,,43-46,,
3:03.0,A. Bradley misses 3-pt shot from 24 ft,,43-46,,
3:02.0,,,43-46,,Defensive rebound by R. Rondo
2:59.0,,,43-46,,Offensive charge foul by D. Wade
2:59.0,,,43-46,,Turnover by D. Wade (offensive foul)
2:40.0,A. Horford misses 2-pt shot from 8 ft,,43-46,,
2:39.0,,,43-46,,Defensive rebound by D. Wade
2:33.0,,,43-46,,R. Rondo misses 2-pt shot from 20 ft
2:32.0,,,43-46,,Offensive rebound by T. Gibson
2:29.0,,,43-46,,R. Rondo misses 2-pt shot from 2 ft
2:27.0,,,43-46,,Offensive rebound by J. Butler
2:23.0,,,43-49,3,D. Wade makes 3-pt shot from 25 ft (assist by J. Butler)
1:54.0,G. Green misses 3-pt shot from 22 ft,,43-49,,
1:53.0,,,43-49,,Defensive rebound by M. Carter-Williams
1:45.0,,,43-49,,D. Wade misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by J. Crowder,,43-49,,
1:43.0,Offensive charge foul by J. Crowder,,43-49,,
1:43.0,Turnover by J. Crowder (offensive foul),,43-49,,
1:43.0,,,43-49,,Technical foul by J. Butler
1:43.0,Technical foul by J. Crowder,,43-49,,
1:43.0,,,43-49,,Technical foul by R. Rondo
1:43.0,Technical foul by I. Thomas,,43-49,,
1:31.0,,,43-51,2,D. Wade makes 2-pt shot from 3 ft (assist by T. Gibson)
1:31.0,,,43-51,,Shooting foul by A. Horford (drawn by D. Wade)
1:31.0,,,43-52,1,D. Wade makes free throw 1 of 1
1:14.0,I. Thomas makes 2-pt shot from 3 ft (assist by A. Horford),2,45-52,,
0:57.0,,,45-54,2,T. Gibson makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
0:46.0,Turnover by I. Thomas (lost ball; steal by J. Butler),,45-54,,
0:39.0,,,45-54,,Turnover by T. Gibson (3 sec)
0:39.0,T. Zeller enters the game for A. Horford,,45-54,,
0:32.0,A. Bradley makes 2-pt shot from 15 ft (assist by I. Thomas),2,47-54,,
0:13.0,,,47-54,,Turnover by D. Wade (bad pass; steal by I. Thomas)
0:10.0,I. Thomas makes 2-pt shot from 2 ft,2,49-54,,
0:10.0,,,49-54,,Chicago full timeout
0:10.0,,,49-54,,D. McDermott enters the game for T. Gibson
0:10.0,,,49-54,,N. Mirotic enters the game for M. Carter-Williams
0:10.0,J. Brown enters the game for T. Zeller,,49-54,,
0:10.0,A. Johnson enters the game for G. Green,,49-54,,
0:00.0,,,49-57,3,J. Butler makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Offensive foul by T. Zeller,,49-57,,
11:50.0,Turnover by T. Zeller (offensive foul),,49-57,,
11:27.0,,,49-57,,T. Gibson misses 2-pt shot from 3 ft
11:25.0,,,49-57,,Offensive rebound by R. Lopez
11:25.0,,,49-59,2,R. Lopez makes 2-pt shot from 1 ft
10:56.0,Turnover by Team (shot clock),,49-59,,
10:38.0,,,49-59,,R. Rondo misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by T. Zeller,,49-59,,
10:33.0,Turnover by I. Thomas (bad pass),,49-59,,
10:18.0,,,49-61,2,T. Gibson makes 2-pt shot from 20 ft (assist by R. Rondo)
10:04.0,A. Bradley misses 2-pt shot from 22 ft,,49-61,,
10:02.0,,,49-61,,Defensive rebound by T. Gibson
9:55.0,,,49-61,,D. Wade misses 2-pt shot from 18 ft
9:53.0,Defensive rebound by T. Zeller,,49-61,,
9:45.0,A. Bradley misses 2-pt shot from 18 ft,,49-61,,
9:44.0,,,49-61,,Defensive rebound by J. Butler
9:36.0,,,49-61,,Offensive charge foul by T. Gibson
9:36.0,,,49-61,,Turnover by T. Gibson (offensive foul)
9:21.0,T. Zeller makes 2-pt shot from 21 ft (assist by I. Thomas),2,51-61,,
9:13.0,,,51-61,,Turnover by R. Rondo (bad pass)
9:13.0,Boston full timeout,,51-61,,
8:50.0,A. Horford makes 2-pt shot from 14 ft,2,53-61,,
8:34.0,,,53-61,,J. Butler misses 2-pt shot from 19 ft
8:33.0,Defensive rebound by A. Horford,,53-61,,
8:24.0,T. Zeller makes 2-pt shot from 2 ft (assist by A. Horford),2,55-61,,
8:24.0,Shooting foul by J. Butler (drawn by T. Zeller),,55-61,,
8:24.0,T. Zeller misses free throw 1 of 1,,55-61,,
8:22.0,,,55-61,,Defensive rebound by R. Rondo
8:02.0,,,55-63,2,J. Butler makes 2-pt shot from 16 ft
7:48.0,A. Horford makes 2-pt shot from 2 ft,2,57-63,,
7:34.0,,,57-63,,R. Rondo misses 3-pt shot from 23 ft
7:34.0,,,57-63,,Offensive rebound by Team
7:34.0,Loose ball foul by J. Crowder (drawn by R. Lopez),,57-63,,
7:22.0,,,57-63,,Turnover by D. Wade (bad pass; steal by J. Crowder)
7:12.0,Turnover by A. Horford (bad pass; steal by R. Rondo),,57-63,,
7:09.0,,,57-63,,R. Rondo misses 2-pt shot from 2 ft (block by T. Zeller)
7:06.0,Defensive rebound by A. Bradley,,57-63,,
7:01.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,59-63,,
6:50.0,,,59-63,,Shooting foul by I. Thomas (drawn by R. Rondo)
6:50.0,,,59-63,,R. Rondo misses free throw 1 of 2
6:50.0,,,59-63,,Offensive rebound by Team
6:50.0,,,59-64,1,R. Rondo makes free throw 2 of 2
6:50.0,,,59-63,,D. McDermott enters the game for D. Wade
6:36.0,J. Crowder makes 2-pt shot from 2 ft (assist by T. Zeller),2,61-64,,
6:14.0,,,61-64,,R. Lopez misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by A. Bradley,,61-64,,
6:07.0,I. Thomas makes 2-pt shot from 17 ft,2,63-64,,
6:07.0,,,63-64,,Chicago full timeout
6:07.0,T. Rozier enters the game for J. Crowder,,63-64,,
5:51.0,,,63-64,,J. Butler misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by T. Rozier,,63-64,,
5:42.0,A. Bradley misses 2-pt shot from 20 ft,,63-64,,
5:41.0,,,63-64,,Defensive rebound by T. Gibson
5:28.0,,,63-64,,Shooting foul by A. Horford (drawn by T. Gibson)
5:28.0,,,63-65,1,T. Gibson makes free throw 1 of 2
5:28.0,,,63-66,1,T. Gibson makes free throw 2 of 2
5:28.0,,,63-65,,N. Mirotic enters the game for R. Lopez
5:28.0,J. Crowder enters the game for A. Horford,,63-65,,
5:13.0,T. Zeller misses 2-pt shot from 3 ft,,63-66,,
5:10.0,Offensive rebound by T. Zeller,,63-66,,
5:10.0,T. Zeller makes 2-pt shot from 1 ft,2,65-66,,
4:59.0,,,65-66,,Shooting foul by A. Bradley (drawn by J. Butler)
4:59.0,,,65-67,1,J. Butler makes free throw 1 of 2
4:59.0,,,65-68,1,J. Butler makes free throw 2 of 2
4:44.0,Shooting foul by J. Butler (drawn by I. Thomas),,65-68,,
4:44.0,I. Thomas misses free throw 1 of 2,,65-68,,
4:44.0,Offensive rebound by Team,,65-68,,
4:44.0,I. Thomas makes free throw 2 of 2,1,66-68,,
4:44.0,,,65-68,,M. Carter-Williams enters the game for D. McDermott
4:44.0,A. Johnson enters the game for T. Zeller,,65-68,,
4:30.0,,,66-68,,Turnover by R. Rondo (bad pass; steal by T. Rozier)
4:23.0,I. Thomas makes 3-pt shot from 26 ft,3,69-68,,
4:12.0,,,69-70,2,T. Gibson makes 2-pt shot from 6 ft (assist by R. Rondo)
3:58.0,Turnover by I. Thomas (traveling),,69-70,,
3:46.0,,,69-73,3,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo)
3:27.0,A. Johnson misses 2-pt shot from 10 ft,,69-73,,
3:26.0,,,69-73,,Defensive rebound by T. Gibson
3:17.0,,,69-75,2,N. Mirotic makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
2:57.0,I. Thomas misses 2-pt shot from 2 ft,,69-75,,
2:56.0,,,69-75,,Defensive rebound by N. Mirotic
2:41.0,,,69-75,,J. Butler misses 2-pt shot from 15 ft
2:40.0,,,69-75,,Offensive rebound by M. Carter-Williams
2:31.0,,,69-75,,R. Rondo misses 2-pt shot from 1 ft (block by A. Johnson)
2:31.0,,,69-75,,Offensive rebound by Team
2:31.0,J. Brown enters the game for A. Bradley,,69-75,,
2:20.0,,,69-75,,J. Butler misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by J. Crowder,,69-75,,
2:07.0,T. Rozier makes 2-pt shot from 9 ft (assist by J. Brown),2,71-75,,
1:56.0,,,71-75,,N. Mirotic misses 3-pt shot from 25 ft
1:56.0,,,71-75,,Offensive rebound by Team
1:56.0,Loose ball foul by J. Brown (drawn by J. Butler),,71-75,,
1:56.0,,,71-75,,J. Butler misses free throw 1 of 2
1:56.0,,,71-75,,Offensive rebound by Team
1:56.0,,,71-76,1,J. Butler makes free throw 2 of 2
1:56.0,,,71-75,,D. Wade enters the game for R. Rondo
1:56.0,,,71-75,,R. Lopez enters the game for T. Gibson
1:56.0,T. Zeller enters the game for A. Johnson,,71-75,,
1:44.0,J. Brown misses 3-pt shot from 25 ft,,71-76,,
1:43.0,,,71-76,,Defensive rebound by N. Mirotic
1:34.0,,,71-76,,Shooting foul by T. Zeller (drawn by R. Lopez)
1:34.0,,,71-76,,R. Lopez misses free throw 1 of 2
1:34.0,,,71-76,,Offensive rebound by Team
1:34.0,,,71-76,,R. Lopez misses free throw 2 of 2
1:34.0,,,71-76,,D. McDermott enters the game for J. Butler
1:34.0,G. Green enters the game for I. Thomas,,71-76,,
1:32.0,Defensive rebound by J. Crowder,,71-76,,
1:17.0,J. Brown makes 2-pt shot from 3 ft,2,73-76,,
0:57.0,,,73-76,,M. Carter-Williams misses 2-pt shot from 13 ft
0:56.0,,,73-76,,Offensive rebound by D. Wade
0:55.0,,,73-76,,D. Wade misses 2-pt shot from 2 ft
0:53.0,,,73-76,,Offensive rebound by M. Carter-Williams
0:51.0,,,73-79,3,N. Mirotic makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
0:51.0,,,73-79,,Violation by Team (jump ball)
0:33.0,G. Green misses 2-pt shot from 19 ft,,73-79,,
0:32.0,,,73-79,,Defensive rebound by D. Wade
0:26.0,,,73-79,,D. McDermott misses 3-pt shot from 22 ft
0:23.0,Defensive rebound by Team,,73-79,,
0:08.0,,,73-79,,Personal foul by M. Carter-Williams (drawn by T. Rozier)
0:01.0,T. Zeller misses 2-pt shot from 21 ft,,73-79,,
0:00.0,,,73-79,,Defensive rebound by D. Wade
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,73-79,,M. Carter-Williams misses 2-pt shot from 12 ft
11:39.0,,,73-79,,Offensive rebound by R. Lopez
11:39.0,,,73-79,,R. Lopez misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by A. Horford,,73-79,,
11:21.0,,,73-79,,Personal foul by D. Wade (drawn by T. Zeller)
11:12.0,T. Zeller misses 2-pt shot from 9 ft,,73-79,,
11:11.0,,,73-79,,Defensive rebound by R. Lopez
11:04.0,,,73-81,2,D. Wade makes 2-pt shot from 2 ft
11:04.0,,,73-81,,Shooting foul by T. Zeller (drawn by D. Wade)
11:04.0,,,73-82,1,D. Wade makes free throw 1 of 1
10:53.0,T. Rozier makes 3-pt shot from 26 ft (assist by A. Horford),3,76-82,,
10:41.0,,,76-82,,Shooting foul by A. Bradley (drawn by D. Wade)
10:41.0,,,76-83,1,D. Wade makes free throw 1 of 2
10:41.0,,,76-84,1,D. Wade makes free throw 2 of 2
10:28.0,T. Zeller misses 2-pt shot from 3 ft,,76-84,,
10:27.0,,,76-84,,Defensive rebound by M. Carter-Williams
10:17.0,,,76-84,,D. Wade misses 2-pt shot from 14 ft
10:17.0,,,76-84,,Offensive rebound by R. Lopez
10:17.0,Personal foul by A. Horford (drawn by R. Lopez),,76-84,,
10:17.0,J. Jerebko enters the game for A. Horford,,76-84,,
10:11.0,,,76-84,,D. Wade misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by T. Rozier,,76-84,,
9:53.0,A. Bradley makes 2-pt shot from 18 ft,2,78-84,,
9:39.0,,,78-84,,M. Carter-Williams misses 2-pt shot from 16 ft
9:38.0,,,78-84,,Offensive rebound by R. Lopez
9:35.0,,,78-84,,D. Wade misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by T. Zeller,,78-84,,
9:26.0,J. Brown makes 2-pt shot from 3 ft (assist by A. Bradley),2,80-84,,
9:09.0,,,80-84,,M. Carter-Williams misses 2-pt shot from 1 ft (block by T. Zeller)
9:06.0,,,80-84,,Offensive rebound by N. Mirotic
9:06.0,,,80-86,2,N. Mirotic makes 2-pt shot from 1 ft
8:57.0,Shooting foul by R. Lopez (drawn by J. Jerebko),,80-86,,
8:57.0,Boston full timeout,,80-86,,
8:57.0,J. Jerebko makes free throw 1 of 2,1,81-86,,
8:57.0,J. Jerebko misses free throw 2 of 2,,81-86,,
8:57.0,,,80-86,,J. Butler enters the game for D. Wade
8:56.0,,,81-86,,Defensive rebound by N. Mirotic
8:37.0,,,81-88,2,D. McDermott makes 2-pt shot from 3 ft (assist by R. Lopez)
8:27.0,,,81-88,,Personal foul by D. McDermott (drawn by T. Rozier)
8:12.0,J. Jerebko misses 2-pt shot from 10 ft,,81-88,,
8:11.0,,,81-88,,Defensive rebound by D. McDermott
7:59.0,,,81-91,3,M. Carter-Williams makes 3-pt shot from 26 ft (assist by N. Mirotic)
7:52.0,Turnover by A. Bradley (bad pass; steal by J. Butler),,81-91,,
7:38.0,,,81-93,2,M. Carter-Williams makes 2-pt shot from 7 ft
7:38.0,Boston full timeout,,81-93,,
7:38.0,I. Thomas enters the game for T. Rozier,,81-93,,
7:38.0,J. Crowder enters the game for J. Brown,,81-93,,
7:38.0,A. Johnson enters the game for J. Jerebko,,81-93,,
7:38.0,J. Brown enters the game for T. Zeller,,81-93,,
7:25.0,J. Crowder misses 3-pt shot from 26 ft,,81-93,,
7:24.0,,,81-93,,Defensive rebound by M. Carter-Williams
7:04.0,,,81-95,2,J. Butler makes 2-pt shot from 6 ft
6:52.0,Shooting foul by M. Carter-Williams (drawn by A. Bradley),,81-95,,
6:52.0,A. Bradley makes free throw 1 of 2,1,82-95,,
6:52.0,A. Bradley makes free throw 2 of 2,1,83-95,,
6:41.0,,,83-95,,Turnover by N. Mirotic (bad pass; steal by A. Johnson)
6:31.0,J. Brown makes 2-pt shot from 8 ft (assist by A. Bradley),2,85-95,,
6:15.0,,,85-95,,D. McDermott misses 2-pt shot from 6 ft
6:14.0,Defensive rebound by J. Brown,,85-95,,
