time,Brooklyn,pts.away,score,pts.home,New Orleans
2:22.0,,,59-49,,Offensive rebound by J. Holiday
2:22.0,,,59-49,,J. Holiday misses 2-pt shot from 1 ft
2:18.0,,,59-49,,Offensive rebound by A. Davis
2:18.0,,,59-51,2,A. Davis makes 2-pt shot at rim
2:11.0,,,59-51,,Personal foul by A. Davis (drawn by B. Lopez)
2:11.0,B. Lopez makes free throw 1 of 2,1,60-51,,
2:11.0,B. Lopez makes free throw 2 of 2,1,61-51,,
2:05.0,Personal foul by C. LeVert (drawn by J. Holiday),,61-51,,
2:05.0,,,61-51,,T. Jones enters the game for T. Evans
1:54.0,,,61-51,,A. Davis misses 2-pt shot from 4 ft (block by B. Lopez)
1:53.0,,,61-51,,Offensive rebound by A. Davis
1:52.0,,,61-51,,T. Jones misses 3-pt shot from 24 ft
1:51.0,,,61-51,,Offensive rebound by D. Cunningham
1:38.0,,,61-53,2,A. Davis makes 2-pt shot from 19 ft
1:15.0,Turnover by B. Lopez (step out of bounds),,61-53,,
1:15.0,,,61-53,,T. Evans enters the game for S. Hill
1:03.0,,,61-53,,A. Davis misses 2-pt shot from 3 ft
1:03.0,Defensive rebound by B. Lopez,,61-53,,
0:53.0,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,63-53,,
0:42.0,,,63-53,,A. Davis misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by S. Dinwiddie,,63-53,,
0:35.0,C. LeVert makes 3-pt shot from 24 ft,3,66-53,,
0:22.0,,,66-53,,T. Evans misses 3-pt shot from 27 ft
0:21.0,Defensive rebound by C. LeVert,,66-53,,
0:08.0,,,66-53,,S. Hill enters the game for A. Davis
0:04.0,Turnover by C. LeVert (lost ball; steal by T. Evans),,66-53,,
0:00.0,,,66-53,,Shooting foul by S. Dinwiddie (drawn by J. Holiday)
0:00.0,,,66-54,1,J. Holiday makes free throw 1 of 2
0:00.0,,,66-54,,J. Holiday misses free throw 2 of 2
0:00.0,,,66-54,,Offensive rebound by T. Jones
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Harris makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,69-54,,
11:26.0,,,69-54,,Turnover by A. Davis (lost ball)
11:16.0,,,69-54,,Personal foul by B. Hield (drawn by J. Harris)
11:07.0,B. Lopez makes 2-pt shot from 8 ft,2,71-54,,
10:51.0,,,71-54,,A. Davis misses 2-pt shot from 14 ft
10:50.0,Defensive rebound by B. Lopez,,71-54,,
10:39.0,B. Lopez makes 2-pt shot from 2 ft,2,73-54,,
10:31.0,,,73-54,,New Orleans full timeout
10:17.0,,,73-54,,D. Cunningham misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by B. Bogdanovic,,73-54,,
10:06.0,B. Bogdanovic misses 2-pt shot from 2 ft,,73-54,,
10:05.0,,,73-54,,Defensive rebound by A. Davis
9:59.0,,,73-56,2,S. Hill makes 2-pt shot from 1 ft
9:36.0,,,73-56,,Personal foul by A. Davis (drawn by B. Lopez)
9:32.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Lopez),3,76-56,,
9:16.0,,,76-59,3,D. Cunningham makes 3-pt shot from 25 ft (assist by J. Holiday)
9:08.0,,,76-59,,Violation by J. Holiday (kicked ball)
9:08.0,,,76-59,,T. Jones enters the game for B. Hield
9:05.0,,,76-59,,Personal foul by T. Jones (drawn by B. Lopez)
8:55.0,J. Harris misses 2-pt shot from 2 ft,,76-59,,
8:54.0,,,76-59,,Defensive rebound by A. Davis
8:48.0,,,76-61,2,T. Jones makes 2-pt shot from 10 ft (assist by J. Holiday)
8:30.0,B. Bogdanovic misses 3-pt shot from 26 ft (block by A. Davis),,76-61,,
8:29.0,,,76-61,,Defensive rebound by T. Jones
8:25.0,Personal foul by B. Bogdanovic (drawn by J. Holiday),,76-61,,
8:21.0,,,76-63,2,J. Holiday makes 2-pt shot from 14 ft
7:54.0,B. Lopez makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,79-63,,
7:43.0,,,79-63,,T. Jones misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by J. Hamilton,,79-63,,
7:24.0,Shooting foul by J. Holiday (drawn by B. Lopez),,79-63,,
7:24.0,B. Lopez makes free throw 1 of 2,1,80-63,,
7:24.0,B. Lopez makes free throw 2 of 2,1,81-63,,
7:11.0,,,81-65,2,S. Hill makes 2-pt shot from 10 ft
6:58.0,S. Dinwiddie makes 3-pt shot from 28 ft (assist by J. Harris),3,84-65,,
6:48.0,,,84-67,2,J. Holiday makes 2-pt shot from 16 ft
6:25.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,86-67,,
6:25.0,Shooting foul by T. Jones (drawn by B. Bogdanovic),,86-67,,
6:25.0,B. Bogdanovic makes free throw 1 of 1,1,87-67,,
6:25.0,,,86-67,,E. Moore enters the game for D. Cunningham
6:25.0,C. LeVert enters the game for J. Harris,,86-67,,
6:19.0,,,87-67,,Shooting foul by B. Lopez (drawn by J. Holiday)
6:19.0,,,87-68,1,J. Holiday makes free throw 1 of 2
6:19.0,,,87-69,1,J. Holiday makes free throw 2 of 2
6:09.0,Shooting foul by J. Holiday (drawn by S. Dinwiddie),,87-69,,
6:09.0,S. Dinwiddie makes free throw 1 of 2,1,88-69,,
6:09.0,S. Dinwiddie misses free throw 2 of 2,,88-69,,
6:07.0,,,88-69,,Defensive rebound by A. Davis
5:51.0,,,88-71,2,T. Jones makes 2-pt shot from 1 ft
5:38.0,B. Bogdanovic misses 2-pt shot from 10 ft,,88-71,,
5:37.0,Offensive rebound by B. Bogdanovic,,88-71,,
5:32.0,B. Lopez misses 3-pt shot from 24 ft,,88-71,,
5:31.0,,,88-71,,Defensive rebound by J. Holiday
5:20.0,,,88-71,,T. Jones misses 2-pt shot from 2 ft (block by B. Lopez)
5:19.0,Defensive rebound by B. Bogdanovic,,88-71,,
5:14.0,Shooting foul by A. Davis (drawn by B. Bogdanovic),,88-71,,
5:14.0,B. Bogdanovic makes free throw 1 of 2,1,89-71,,
5:14.0,B. Bogdanovic makes free throw 2 of 2,1,90-71,,
5:14.0,R. Hollis-Jefferson enters the game for J. Hamilton,,89-71,,
5:14.0,I. Whitehead enters the game for S. Dinwiddie,,89-71,,
5:14.0,Q. Acy enters the game for B. Lopez,,89-71,,
5:14.0,,,89-71,,D. Cunningham enters the game for A. Davis
5:03.0,,,90-71,,E. Moore misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by R. Hollis-Jefferson,,90-71,,
4:43.0,,,90-71,,L. Galloway enters the game for S. Hill
4:37.0,Q. Acy misses 3-pt shot from 24 ft (block by T. Jones),,90-71,,
4:36.0,,,90-71,,Defensive rebound by E. Moore
4:31.0,,,90-74,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday)
4:16.0,R. Foye enters the game for B. Bogdanovic,,90-74,,
4:03.0,I. Whitehead makes 2-pt shot from 1 ft (assist by Q. Acy),2,92-74,,
3:55.0,,,92-74,,L. Galloway misses 3-pt shot from 25 ft
3:55.0,,,92-74,,Offensive rebound by D. Cunningham
3:55.0,Loose ball foul by R. Hollis-Jefferson (drawn by D. Cunningham),,92-74,,
3:48.0,,,92-74,,Turnover by J. Holiday (bad pass)
3:39.0,C. LeVert makes 2-pt shot at rim,2,94-74,,
3:30.0,,,94-74,,J. Holiday misses 2-pt shot from 18 ft
3:29.0,Defensive rebound by R. Hollis-Jefferson,,94-74,,
3:23.0,Shooting foul by D. Cunningham (drawn by R. Hollis-Jefferson),,94-74,,
3:23.0,R. Hollis-Jefferson makes free throw 1 of 2,1,95-74,,
3:23.0,R. Hollis-Jefferson misses free throw 2 of 2,,95-74,,
3:23.0,,,95-74,,T. Evans enters the game for J. Holiday
3:22.0,,,95-74,,Defensive rebound by D. Cunningham
3:06.0,,,95-74,,T. Jones misses 2-pt shot from 3 ft (block by I. Whitehead)
3:05.0,Defensive rebound by C. LeVert,,95-74,,
2:59.0,R. Foye makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,98-74,,
2:59.0,,,98-74,,New Orleans full timeout
2:41.0,,,98-74,,L. Galloway misses 2-pt shot from 2 ft (block by C. LeVert)
2:41.0,,,98-74,,Offensive rebound by T. Jones
2:41.0,,,98-74,,Shooting foul by I. Whitehead (drawn by T. Jones)
2:41.0,,,98-75,1,T. Jones makes free throw 1 of 2
2:41.0,,,98-76,1,T. Jones makes free throw 2 of 2
2:28.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,100-76,,
2:09.0,,,100-76,,E. Moore misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by R. Hollis-Jefferson,,100-76,,
2:02.0,Turnover by R. Hollis-Jefferson (lost ball),,100-76,,
1:58.0,,,100-76,,Shooting foul by C. LeVert (drawn by T. Evans)
1:58.0,,,100-77,1,T. Evans makes free throw 1 of 2
1:58.0,,,100-77,,T. Evans misses free throw 2 of 2
1:55.0,,,100-77,,Offensive rebound by T. Evans
1:48.0,,,100-77,,T. Jones misses 2-pt shot from 1 ft
1:48.0,,,100-77,,Offensive rebound by T. Jones
1:44.0,,,100-79,2,T. Jones makes 2-pt shot at rim
1:33.0,Q. Acy makes 3-pt shot from 25 ft (assist by I. Whitehead),3,103-79,,
1:20.0,,,103-79,,T. Evans misses 2-pt shot from 21 ft
1:20.0,Defensive rebound by Q. Acy,,103-79,,
1:08.0,Shooting foul by L. Galloway (drawn by Q. Acy),,103-79,,
1:08.0,Q. Acy makes free throw 1 of 2,1,104-79,,
1:08.0,Q. Acy makes free throw 2 of 2,1,105-79,,
0:56.0,Shooting block foul by Q. Acy (drawn by T. Jones),,105-79,,
0:56.0,,,105-80,1,T. Jones makes free throw 1 of 2
0:56.0,,,105-81,1,T. Jones makes free throw 2 of 2
0:56.0,,,105-80,,B. Hield enters the game for E. Moore
0:38.0,I. Whitehead misses 2-pt shot at rim (block by T. Jones),,105-81,,
0:37.0,Offensive rebound by C. LeVert,,105-81,,
0:34.0,I. Whitehead makes 2-pt shot at rim (assist by C. LeVert),2,107-81,,
0:22.0,,,107-84,3,D. Cunningham makes 3-pt shot from 25 ft (assist by L. Galloway)
0:03.0,,,107-84,,Personal foul by T. Evans (drawn by C. LeVert)
0:03.0,C. LeVert makes free throw 1 of 2,1,108-84,,
0:03.0,C. LeVert makes free throw 2 of 2,1,109-84,,
0:00.0,,,109-84,,T. Evans misses 3-pt shot from 47 ft
0:00.0,,,109-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,109-84,,Shooting foul by Q. Acy (drawn by T. Jones)
11:51.0,,,109-84,,T. Jones misses free throw 1 of 2
11:51.0,,,109-84,,Offensive rebound by Team
11:51.0,,,109-85,1,T. Jones makes free throw 2 of 2
11:42.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,111-85,,
11:20.0,,,111-85,,T. Jones misses 3-pt shot from 27 ft
11:19.0,,,111-85,,Offensive rebound by D. Cunningham
11:15.0,,,111-85,,Turnover by T. Jones (lost ball; steal by I. Whitehead)
11:05.0,R. Foye misses 3-pt shot from 25 ft,,111-85,,
11:03.0,,,111-85,,Defensive rebound by T. Jones
10:57.0,,,111-85,,L. Galloway misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by Q. Acy,,111-85,,
10:41.0,Turnover by R. Hollis-Jefferson (bad pass),,111-85,,
10:26.0,,,111-85,,Offensive foul by D. Cunningham
10:26.0,,,111-85,,Turnover by D. Cunningham (offensive foul)
10:26.0,B. Bogdanovic enters the game for Q. Acy,,111-85,,
10:24.0,B. Lopez enters the game for C. LeVert,,111-85,,
10:18.0,B. Lopez misses 2-pt shot from 6 ft,,111-85,,
10:16.0,Offensive rebound by B. Lopez,,111-85,,
10:14.0,B. Lopez makes 2-pt shot from 9 ft,2,113-85,,
10:03.0,,,113-85,,T. Frazier misses 2-pt shot from 8 ft
10:02.0,Defensive rebound by R. Hollis-Jefferson,,113-85,,
9:52.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,115-85,,
9:52.0,Shooting foul by T. Frazier (drawn by B. Bogdanovic),,115-85,,
9:52.0,B. Bogdanovic makes free throw 1 of 1,1,116-85,,
9:52.0,,,115-85,,C. Diallo enters the game for D. Cunningham
9:43.0,,,116-87,2,B. Hield makes 2-pt shot from 10 ft
9:27.0,B. Bogdanovic misses 3-pt shot from 25 ft,,116-87,,
9:26.0,,,116-87,,Defensive rebound by B. Hield
9:17.0,,,116-87,,B. Hield misses 2-pt shot from 15 ft
9:15.0,Defensive rebound by R. Hollis-Jefferson,,116-87,,
8:59.0,Offensive charge foul by I. Whitehead,,116-87,,
8:59.0,Turnover by I. Whitehead (offensive foul),,116-87,,
8:59.0,Official timeout,,116-87,,
8:59.0,J. Hamilton enters the game for R. Hollis-Jefferson,,116-87,,
8:47.0,,,116-87,,C. Diallo misses 2-pt shot from 13 ft
8:46.0,Defensive rebound by B. Lopez,,116-87,,
8:27.0,R. Foye misses 3-pt shot from 23 ft,,116-87,,
8:26.0,,,116-87,,Defensive rebound by T. Jones
8:16.0,,,116-87,,Turnover by T. Frazier (bad pass; steal by B. Bogdanovic)
8:13.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,118-87,,
7:56.0,Personal foul by R. Foye (drawn by B. Hield),,118-87,,
7:56.0,,,118-87,,D. Motiejunas enters the game for T. Jones
7:56.0,L. Scola enters the game for B. Lopez,,118-87,,
7:45.0,,,118-87,,L. Galloway misses 3-pt shot from 28 ft
7:44.0,Defensive rebound by J. Hamilton,,118-87,,
7:27.0,I. Whitehead misses 3-pt shot from 24 ft,,118-87,,
7:27.0,,,118-87,,Defensive rebound by D. Motiejunas
