time,Atlanta,pts.away,score,pts.home,Detroit
7:51.0,,,6-9,,Defensive rebound by R. Jackson
7:34.0,,,6-9,,A. Drummond misses 2-pt shot from 8 ft
7:33.0,,,6-9,,Offensive rebound by M. Morris
7:27.0,,,6-9,,M. Morris misses 2-pt shot from 1 ft
7:26.0,,,6-9,,Offensive rebound by A. Drummond
7:23.0,,,6-11,2,A. Drummond makes 2-pt shot at rim
7:11.0,T. Sefolosha misses 2-pt shot from 7 ft,,6-11,,
7:10.0,,,6-11,,Defensive rebound by A. Drummond
6:55.0,,,6-14,3,T. Harris makes 3-pt shot from 27 ft (assist by M. Morris)
6:40.0,K. Bazemore misses 3-pt shot from 25 ft,,6-14,,
6:39.0,,,6-14,,Defensive rebound by R. Jackson
6:29.0,,,6-14,,R. Jackson misses 2-pt shot from 18 ft
6:29.0,,,6-14,,Offensive rebound by Team
6:29.0,Loose ball foul by P. Millsap (drawn by A. Drummond),,6-14,,
6:29.0,T. Hardaway enters the game for P. Millsap,,6-14,,
6:22.0,,,6-14,,Shooting foul by D. Schroder (drawn by R. Bullock)
6:22.0,,,6-14,,R. Bullock misses free throw 1 of 2
6:22.0,,,6-14,,Offensive rebound by Team
6:22.0,,,6-15,1,R. Bullock makes free throw 2 of 2
6:06.0,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Schroder),2,8-15,,
5:49.0,,,8-18,3,R. Jackson makes 3-pt shot from 25 ft (assist by M. Morris)
5:35.0,K. Bazemore misses 2-pt shot from 6 ft,,8-18,,
5:35.0,,,8-18,,Defensive rebound by T. Harris
5:28.0,,,8-21,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Bullock)
5:28.0,Atlanta full timeout,,8-21,,
5:28.0,M. Dunleavy enters the game for T. Sefolosha,,8-21,,
5:28.0,K. Humphries enters the game for D. Howard,,8-21,,
5:28.0,M. Delaney enters the game for K. Bazemore,,8-21,,
5:28.0,M. Scott enters the game for D. Schroder,,8-21,,
5:28.0,,,8-21,,S. Johnson enters the game for R. Bullock
5:03.0,T. Hardaway makes 3-pt shot from 27 ft (assist by M. Delaney),3,11-21,,
4:49.0,,,11-21,,M. Morris misses 3-pt shot from 26 ft
4:49.0,,,11-21,,Offensive rebound by S. Johnson
4:43.0,,,11-23,2,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris)
4:29.0,Turnover by M. Scott (bad pass; steal by A. Drummond),,11-23,,
4:15.0,,,11-25,2,R. Jackson makes 2-pt shot from 7 ft (assist by S. Johnson)
3:55.0,M. Delaney misses 2-pt shot from 19 ft,,11-25,,
3:55.0,,,11-25,,Defensive rebound by M. Morris
3:46.0,,,11-27,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
3:20.0,K. Humphries makes 2-pt shot from 7 ft,2,13-27,,
3:07.0,,,13-30,3,S. Johnson makes 3-pt shot from 23 ft (assist by R. Jackson)
2:53.0,T. Hardaway makes 3-pt shot from 23 ft (assist by M. Dunleavy),3,16-30,,
2:44.0,,,16-30,,Shooting foul by M. Delaney (drawn by R. Jackson)
2:44.0,,,16-30,,Detroit full timeout
2:44.0,,,16-31,1,R. Jackson makes free throw 1 of 3
2:44.0,,,16-32,1,R. Jackson makes free throw 2 of 3
2:44.0,,,16-33,1,R. Jackson makes free throw 3 of 3
2:44.0,,,16-30,,R. Bullock enters the game for M. Morris
2:35.0,Offensive foul by K. Humphries,,16-33,,
2:35.0,Turnover by K. Humphries (offensive foul),,16-33,,
2:35.0,,,16-33,,I. Smith enters the game for R. Jackson
2:10.0,,,16-33,,A. Drummond misses 2-pt shot at rim
2:08.0,,,16-33,,Offensive rebound by A. Drummond
2:04.0,,,16-35,2,A. Drummond makes 2-pt shot from 5 ft
1:44.0,Turnover by Team (shot clock),,16-35,,
1:44.0,,,16-35,,A. Baynes enters the game for A. Drummond
1:44.0,P. Millsap enters the game for M. Scott,,16-35,,
1:23.0,,,16-37,2,T. Harris makes 2-pt shot from 16 ft
1:00.0,P. Millsap makes 2-pt shot from 6 ft,2,18-37,,
0:47.0,,,18-40,3,T. Harris makes 3-pt shot from 27 ft (assist by I. Smith)
0:32.0,,,18-40,,Personal foul by S. Johnson (drawn by T. Hardaway)
0:25.0,P. Millsap misses 3-pt shot from 26 ft,,18-40,,
0:25.0,,,18-40,,Defensive rebound by R. Bullock
0:03.0,,,18-42,2,S. Johnson makes 2-pt shot from 9 ft (assist by I. Smith)
0:00.0,M. Delaney misses 3-pt shot from 28 ft,,18-42,,
0:00.0,Offensive rebound by Team,,18-42,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Hardaway misses 3-pt shot from 27 ft,,18-42,,
11:44.0,,,18-42,,Defensive rebound by M. Morris
11:30.0,,,18-42,,A. Baynes misses 2-pt shot from 18 ft
11:30.0,Defensive rebound by T. Hardaway,,18-42,,
11:17.0,D. Schroder makes 2-pt shot from 18 ft,2,20-42,,
10:59.0,,,20-44,2,M. Morris makes 2-pt shot from 15 ft (assist by I. Smith)
10:34.0,P. Millsap misses 2-pt shot from 16 ft,,20-44,,
10:34.0,,,20-44,,Defensive rebound by R. Bullock
10:28.0,,,20-44,,R. Bullock misses 3-pt shot from 26 ft
10:28.0,,,20-44,,Offensive rebound by Team
10:14.0,,,20-46,2,A. Baynes makes 2-pt shot from 6 ft (assist by R. Bullock)
9:50.0,D. Schroder misses 3-pt shot from 26 ft,,20-46,,
9:50.0,,,20-46,,Defensive rebound by M. Morris
9:38.0,,,20-46,,M. Morris misses 2-pt shot from 17 ft
9:38.0,Defensive rebound by Team,,20-46,,
9:31.0,Offensive charge foul by D. Schroder,,20-46,,
9:31.0,Turnover by D. Schroder (offensive foul),,20-46,,
9:14.0,,,20-48,2,I. Smith makes 2-pt shot from 19 ft
9:12.0,,,20-48,,Personal foul by M. Morris (drawn by P. Millsap)
9:12.0,K. Bazemore enters the game for T. Hardaway,,20-48,,
9:10.0,,,20-48,,Personal foul by S. Johnson (drawn by K. Bazemore)
8:46.0,D. Schroder makes 2-pt shot from 15 ft (assist by P. Millsap),2,22-48,,
8:37.0,,,22-48,,Shooting foul by D. Howard (drawn by A. Baynes)
8:37.0,Official timeout,,22-48,,
8:37.0,,,22-49,1,A. Baynes makes free throw 1 of 2
8:37.0,,,22-50,1,A. Baynes makes free throw 2 of 2
8:37.0,T. Waller-Prince enters the game for M. Delaney,,22-48,,
8:23.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,24-50,,
8:03.0,,,24-52,2,M. Morris makes 2-pt shot from 18 ft (assist by I. Smith)
7:43.0,P. Millsap misses 2-pt shot from 9 ft,,24-52,,
7:43.0,,,24-52,,Defensive rebound by M. Morris
7:35.0,,,24-52,,Shooting foul by D. Howard (drawn by M. Morris)
7:35.0,,,24-53,1,M. Morris makes free throw 1 of 2
7:35.0,,,24-54,1,M. Morris makes free throw 2 of 2
7:35.0,,,24-53,,R. Jackson enters the game for I. Smith
7:35.0,,,24-53,,A. Drummond enters the game for A. Baynes
7:27.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,26-54,,
7:27.0,Shooting foul by R. Jackson (drawn by K. Bazemore),,26-54,,
7:27.0,K. Bazemore makes free throw 1 of 1,1,27-54,,
7:03.0,,,27-54,,S. Johnson misses 2-pt shot from 7 ft (block by D. Howard)
7:03.0,,,27-54,,Offensive rebound by R. Jackson
7:03.0,,,27-54,,Turnover by Team (shot clock)
7:03.0,,,27-54,,T. Harris enters the game for M. Morris
6:52.0,P. Millsap makes 2-pt shot from 9 ft (assist by D. Schroder),2,29-54,,
6:52.0,Shooting foul by T. Harris (drawn by P. Millsap),,29-54,,
6:52.0,P. Millsap makes free throw 1 of 1,1,30-54,,
6:40.0,,,30-54,,R. Jackson misses 2-pt shot from 17 ft
6:40.0,Defensive rebound by K. Bazemore,,30-54,,
6:30.0,K. Bazemore makes 2-pt shot at rim (assist by D. Howard),2,32-54,,
6:30.0,,,32-54,,Detroit full timeout
6:07.0,,,32-54,,R. Bullock misses 3-pt shot from 27 ft
6:07.0,Defensive rebound by Team,,32-54,,
5:59.0,Turnover by D. Howard (step out of bounds),,32-54,,
5:46.0,,,32-54,,Shooting foul by T. Waller-Prince (drawn by T. Harris)
5:46.0,,,32-54,,T. Harris misses free throw 1 of 2
5:46.0,,,32-54,,Offensive rebound by Team
5:46.0,,,32-55,1,T. Harris makes free throw 2 of 2
5:34.0,P. Millsap makes 2-pt shot from 6 ft,2,34-55,,
5:34.0,Shooting foul by T. Harris (drawn by P. Millsap),,34-55,,
5:34.0,P. Millsap makes free throw 1 of 1,1,35-55,,
5:34.0,,,34-55,,M. Morris enters the game for T. Harris
5:18.0,,,35-57,2,R. Jackson makes 2-pt shot from 12 ft
5:08.0,Turnover by D. Howard (lost ball; steal by R. Bullock),,35-57,,
4:57.0,,,35-60,3,R. Bullock makes 3-pt shot from 26 ft (assist by M. Morris)
4:57.0,Atlanta full timeout,,35-60,,
4:57.0,T. Hardaway enters the game for T. Waller-Prince,,35-60,,
4:49.0,Turnover by D. Schroder (bad pass; steal by S. Johnson),,35-60,,
4:38.0,,,35-60,,Shooting foul by D. Schroder (drawn by A. Drummond)
4:38.0,,,35-61,1,A. Drummond makes free throw 1 of 2
4:38.0,,,35-61,,A. Drummond misses free throw 2 of 2
4:37.0,Defensive rebound by K. Bazemore,,35-61,,
4:20.0,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap),2,37-61,,
4:03.0,,,37-63,2,R. Jackson makes 2-pt shot from 7 ft
3:47.0,K. Bazemore misses 3-pt shot from 29 ft,,37-63,,
3:47.0,,,37-63,,Defensive rebound by M. Morris
3:31.0,,,37-63,,Turnover by R. Bullock (traveling)
3:31.0,M. Dunleavy enters the game for P. Millsap,,37-63,,
3:20.0,T. Hardaway misses 2-pt shot from 1 ft,,37-63,,
3:20.0,Offensive rebound by D. Howard,,37-63,,
3:20.0,Shooting foul by R. Bullock (drawn by D. Howard),,37-63,,
3:20.0,D. Howard makes free throw 1 of 2,1,38-63,,
3:20.0,D. Howard makes free throw 2 of 2,1,39-63,,
3:11.0,,,39-63,,Turnover by R. Bullock (3 sec)
3:02.0,D. Schroder misses 2-pt shot from 16 ft,,39-63,,
3:01.0,,,39-63,,Defensive rebound by M. Morris
2:54.0,,,39-63,,A. Drummond misses 2-pt shot from 5 ft (block by D. Howard)
2:52.0,,,39-63,,Offensive rebound by S. Johnson
2:47.0,,,39-63,,A. Drummond misses 2-pt shot from 8 ft (block by K. Bazemore)
2:46.0,Defensive rebound by D. Howard,,39-63,,
2:43.0,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Schroder),2,41-63,,
2:21.0,,,41-65,2,M. Morris makes 2-pt shot from 16 ft
2:05.0,D. Schroder misses 2-pt shot from 2 ft,,41-65,,
2:04.0,,,41-65,,Defensive rebound by A. Drummond
1:57.0,,,41-65,,R. Bullock misses 3-pt shot from 24 ft
1:56.0,,,41-65,,Offensive rebound by A. Drummond
1:50.0,,,41-65,,M. Morris misses 2-pt shot from 6 ft
1:50.0,,,41-65,,Offensive rebound by A. Drummond
1:49.0,,,41-65,,A. Drummond misses 2-pt shot at rim
1:49.0,,,41-65,,Offensive rebound by A. Drummond
1:49.0,,,41-67,2,A. Drummond makes 2-pt shot at rim
1:49.0,Atlanta full timeout,,41-67,,
1:49.0,,,41-67,,I. Smith enters the game for A. Drummond
1:49.0,,,41-67,,A. Baynes enters the game for S. Johnson
1:49.0,K. Humphries enters the game for D. Howard,,41-67,,
1:49.0,M. Delaney enters the game for K. Bazemore,,41-67,,
1:49.0,P. Millsap enters the game for D. Schroder,,41-67,,
1:31.0,Turnover by P. Millsap (traveling),,41-67,,
1:14.0,,,41-69,2,R. Jackson makes 2-pt shot from 7 ft
0:59.0,M. Dunleavy misses 3-pt shot from 23 ft,,41-69,,
0:58.0,,,41-69,,Defensive rebound by M. Morris
0:50.0,,,41-69,,M. Morris misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by M. Delaney,,41-69,,
0:42.0,M. Delaney makes 3-pt shot from 27 ft (assist by P. Millsap),3,44-69,,
0:36.0,,,44-69,,I. Smith misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by P. Millsap,,44-69,,
0:26.0,P. Millsap misses 3-pt shot from 26 ft,,44-69,,
0:25.0,Offensive rebound by K. Humphries,,44-69,,
0:25.0,,,44-69,,Personal foul by I. Smith (drawn by M. Delaney)
0:25.0,M. Delaney misses free throw 1 of 2,,44-69,,
0:25.0,Offensive rebound by Team,,44-69,,
0:25.0,M. Delaney makes free throw 2 of 2,1,45-69,,
0:25.0,T. Waller-Prince enters the game for P. Millsap,,44-69,,
0:04.0,,,45-69,,R. Jackson misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by M. Delaney,,45-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,47-69,,
11:30.0,,,47-71,2,R. Bullock makes 2-pt shot at rim (assist by R. Jackson)
11:08.0,K. Bazemore misses 2-pt shot at rim,,47-71,,
11:08.0,,,47-71,,Defensive rebound by T. Harris
11:03.0,Personal foul by K. Bazemore (drawn by T. Harris),,47-71,,
10:47.0,,,47-71,,R. Jackson misses 3-pt shot from 27 ft
10:46.0,Defensive rebound by Team,,47-71,,
10:27.0,P. Millsap misses 2-pt shot from 13 ft,,47-71,,
10:26.0,,,47-71,,Defensive rebound by A. Drummond
10:15.0,,,47-73,2,R. Bullock makes 2-pt shot from 1 ft (assist by A. Drummond)
9:55.0,Shooting foul by M. Morris (drawn by P. Millsap),,47-73,,
9:55.0,P. Millsap misses free throw 1 of 2,,47-73,,
9:55.0,Offensive rebound by Team,,47-73,,
9:55.0,P. Millsap misses free throw 2 of 2,,47-73,,
9:54.0,,,47-73,,Defensive rebound by A. Drummond
9:45.0,,,47-73,,Shooting foul by T. Sefolosha (drawn by M. Morris)
9:45.0,,,47-73,,M. Morris misses free throw 1 of 2
9:45.0,,,47-73,,Offensive rebound by Team
9:45.0,,,47-74,1,M. Morris makes free throw 2 of 2
9:31.0,P. Millsap misses 2-pt shot from 6 ft,,47-74,,
9:31.0,Offensive rebound by P. Millsap,,47-74,,
9:28.0,P. Millsap makes 2-pt shot at rim,2,49-74,,
9:05.0,,,49-74,,R. Bullock misses 2-pt shot from 18 ft
9:05.0,,,49-74,,Offensive rebound by R. Bullock
9:01.0,,,49-76,2,A. Drummond makes 2-pt shot at rim (assist by R. Bullock)
8:44.0,K. Bazemore misses 2-pt shot from 7 ft,,49-76,,
8:44.0,,,49-76,,Defensive rebound by A. Drummond
8:32.0,,,49-76,,R. Jackson misses 2-pt shot from 7 ft
8:32.0,,,49-76,,Offensive rebound by A. Drummond
8:31.0,,,49-76,,A. Drummond misses 2-pt shot from 1 ft
8:31.0,,,49-76,,Offensive rebound by A. Drummond
8:30.0,,,49-76,,A. Drummond misses 2-pt shot at rim
8:25.0,,,49-76,,Offensive rebound by R. Jackson
8:22.0,,,49-76,,R. Jackson misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by D. Howard,,49-76,,
8:03.0,K. Bazemore makes 3-pt shot from 25 ft,3,52-76,,
7:48.0,,,52-76,,R. Jackson misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by P. Millsap,,52-76,,
7:41.0,D. Schroder misses 2-pt shot from 1 ft,,52-76,,
7:41.0,,,52-76,,Defensive rebound by T. Harris
7:27.0,,,52-78,2,R. Jackson makes 2-pt shot at rim (assist by A. Drummond)
7:15.0,D. Schroder makes 2-pt shot from 1 ft (assist by D. Howard),2,54-78,,
7:15.0,Shooting foul by A. Drummond (drawn by D. Schroder),,54-78,,
7:15.0,D. Schroder makes free throw 1 of 1,1,55-78,,
7:15.0,K. Humphries enters the game for D. Howard,,54-78,,
7:10.0,,,55-78,,Shooting foul by K. Humphries (drawn by A. Drummond)
7:10.0,,,55-78,,A. Drummond misses free throw 1 of 2
7:10.0,,,55-78,,Offensive rebound by Team
7:10.0,,,55-78,,A. Drummond misses free throw 2 of 2
7:09.0,Defensive rebound by P. Millsap,,55-78,,
6:53.0,T. Sefolosha misses 3-pt shot from 25 ft,,55-78,,
6:53.0,,,55-78,,Defensive rebound by A. Drummond
6:38.0,,,55-78,,Offensive foul by T. Harris
6:38.0,,,55-78,,Turnover by T. Harris (offensive foul)
6:38.0,,,55-78,,S. Johnson enters the game for T. Harris
6:23.0,Shooting foul by R. Bullock (drawn by P. Millsap),,55-78,,
6:23.0,P. Millsap makes free throw 1 of 2,1,56-78,,
6:23.0,P. Millsap makes free throw 2 of 2,1,57-78,,
6:12.0,,,57-80,2,R. Jackson makes 2-pt shot from 17 ft
6:12.0,,,57-80,,Shooting foul by T. Sefolosha (drawn by R. Jackson)
6:12.0,,,57-81,1,R. Jackson makes free throw 1 of 1
6:12.0,T. Hardaway enters the game for T. Sefolosha,,57-80,,
6:02.0,K. Bazemore makes 2-pt shot from 6 ft,2,59-81,,
6:02.0,Shooting foul by M. Morris (drawn by K. Bazemore),,59-81,,
6:02.0,K. Bazemore misses free throw 1 of 1,,59-81,,
6:01.0,,,59-81,,Defensive rebound by A. Drummond
5:51.0,,,59-84,3,R. Jackson makes 3-pt shot from 27 ft
5:27.0,K. Bazemore misses 2-pt shot from 5 ft,,59-84,,
5:26.0,Offensive rebound by P. Millsap,,59-84,,
5:24.0,P. Millsap misses 2-pt shot from 4 ft,,59-84,,
5:23.0,Offensive rebound by P. Millsap,,59-84,,
5:19.0,P. Millsap misses 2-pt shot from 3 ft,,59-84,,
5:18.0,,,59-84,,Defensive rebound by M. Morris
5:11.0,,,59-84,,Turnover by R. Jackson (bad pass)
5:11.0,,,59-84,,Detroit full timeout
5:11.0,M. Dunleavy enters the game for K. Bazemore,,59-84,,
5:11.0,T. Waller-Prince enters the game for K. Humphries,,59-84,,
5:11.0,Violation by Team (jump ball),,59-84,,
5:01.0,T. Hardaway misses 3-pt shot from 26 ft,,59-84,,
5:01.0,,,59-84,,Defensive rebound by A. Drummond
5:01.0,Personal take foul by M. Dunleavy (drawn by A. Drummond),,59-84,,
5:01.0,,,59-84,,A. Drummond misses free throw 1 of 2
5:01.0,,,59-84,,Offensive rebound by Team
5:01.0,,,59-84,,A. Drummond misses free throw 2 of 2
5:00.0,,,59-84,,Offensive rebound by R. Bullock
4:58.0,,,59-84,,Turnover by S. Johnson (step out of bounds)
4:47.0,Shooting foul by A. Drummond (drawn by P. Millsap),,59-84,,
4:47.0,P. Millsap makes free throw 1 of 2,1,60-84,,
4:47.0,P. Millsap misses free throw 2 of 2,,60-84,,
4:47.0,,,60-84,,Defensive rebound by A. Baynes
4:47.0,,,60-84,,A. Baynes enters the game for A. Drummond
4:31.0,,,60-84,,R. Jackson misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by T. Waller-Prince,,60-84,,
4:22.0,D. Schroder makes 2-pt shot from 1 ft,2,62-84,,
4:03.0,,,62-86,2,R. Bullock makes 2-pt shot from 1 ft (assist by M. Morris)
3:40.0,,,62-86,,Personal foul by R. Bullock (drawn by D. Schroder)
3:40.0,D. Schroder makes free throw 1 of 2,1,63-86,,
3:40.0,D. Schroder makes free throw 2 of 2,1,64-86,,
3:40.0,,,63-86,,I. Smith enters the game for R. Jackson
3:22.0,,,64-88,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Bullock)
3:02.0,D. Schroder misses 3-pt shot from 26 ft,,64-88,,
3:01.0,,,64-88,,Defensive rebound by S. Johnson
2:51.0,,,64-88,,M. Morris misses 3-pt shot from 26 ft
2:50.0,,,64-88,,Offensive rebound by A. Baynes
2:42.0,,,64-90,2,S. Johnson makes 2-pt shot from 1 ft
2:20.0,T. Hardaway misses 2-pt shot from 16 ft,,64-90,,
2:20.0,,,64-90,,Defensive rebound by I. Smith
2:08.0,,,64-90,,A. Baynes misses 2-pt shot from 4 ft
2:07.0,Defensive rebound by M. Dunleavy,,64-90,,
1:59.0,P. Millsap misses 3-pt shot from 26 ft,,64-90,,
1:56.0,,,64-90,,Defensive rebound by R. Bullock
1:50.0,,,64-92,2,I. Smith makes 2-pt shot at rim
1:50.0,Atlanta full timeout,,64-92,,
1:50.0,,,64-92,,D. Hilliard enters the game for R. Bullock
1:50.0,K. Humphries enters the game for P. Millsap,,64-92,,
1:50.0,G. Neal enters the game for D. Schroder,,64-92,,
1:50.0,M. Delaney enters the game for T. Hardaway,,64-92,,
1:50.0,M. Scott enters the game for M. Dunleavy,,64-92,,
1:29.0,K. Humphries misses 3-pt shot from 25 ft,,64-92,,
1:29.0,,,64-92,,Defensive rebound by I. Smith
1:10.0,,,64-92,,M. Morris misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by Team,,64-92,,
0:51.0,M. Scott misses 2-pt shot from 8 ft,,64-92,,
0:51.0,Offensive rebound by Team,,64-92,,
0:51.0,,,64-92,,Loose ball foul by A. Baynes (drawn by K. Humphries)
0:51.0,K. Humphries makes free throw 1 of 2,1,65-92,,
0:51.0,K. Humphries makes free throw 2 of 2,1,66-92,,
0:33.0,,,66-94,2,A. Baynes makes 2-pt shot from 8 ft (assist by S. Johnson)
0:26.0,M. Delaney misses 2-pt shot from 19 ft,,66-94,,
0:25.0,,,66-94,,Defensive rebound by D. Hilliard
0:07.0,,,66-94,,Offensive foul by I. Smith
0:07.0,,,66-94,,Turnover by I. Smith (offensive foul)
0:02.0,,,66-94,,Personal foul by D. Hilliard (drawn by G. Neal)
0:02.0,G. Neal makes free throw 1 of 2,1,67-94,,
0:02.0,G. Neal makes free throw 2 of 2,1,68-94,,
0:00.0,,,68-94,,I. Smith misses 3-pt shot from 36 ft
0:00.0,,,68-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,68-94,,T. Harris misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by M. Delaney,,68-94,,
11:29.0,Shooting foul by I. Smith (drawn by K. Humphries),,68-94,,
11:29.0,K. Humphries makes free throw 1 of 2,1,69-94,,
11:29.0,K. Humphries makes free throw 2 of 2,1,70-94,,
11:20.0,Personal foul by G. Neal (drawn by D. Hilliard),,70-94,,
11:14.0,,,70-94,,Shooting foul by D. Bembry (drawn by A. Baynes)
11:14.0,,,70-94,,A. Baynes misses free throw 1 of 2
11:14.0,,,70-94,,Offensive rebound by Team
11:14.0,,,70-95,1,A. Baynes makes free throw 2 of 2
11:00.0,,,70-95,,Personal foul by I. Smith (drawn by K. Humphries)
10:53.0,M. Delaney misses 2-pt shot from 19 ft,,70-95,,
10:53.0,,,70-95,,Defensive rebound by D. Hilliard
10:42.0,,,70-95,,Turnover by S. Johnson (bad pass)
10:42.0,T. Waller-Prince enters the game for M. Delaney,,70-95,,
10:42.0,M. Dunleavy enters the game for M. Scott,,70-95,,
10:29.0,G. Neal misses 2-pt shot from 17 ft,,70-95,,
10:28.0,,,70-95,,Defensive rebound by A. Baynes
10:14.0,,,70-95,,S. Johnson misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by M. Dunleavy,,70-95,,
10:00.0,T. Waller-Prince makes 2-pt shot from 14 ft (assist by K. Humphries),2,72-95,,
9:42.0,,,72-95,,Shooting foul by K. Humphries (drawn by D. Hilliard)
9:42.0,,,72-96,1,D. Hilliard makes free throw 1 of 2
9:42.0,,,72-97,1,D. Hilliard makes free throw 2 of 2
9:29.0,D. Bembry misses 2-pt shot from 16 ft,,72-97,,
9:29.0,,,72-97,,Defensive rebound by I. Smith
9:20.0,Personal foul by T. Waller-Prince (drawn by A. Baynes),,72-97,,
9:09.0,,,72-97,,Turnover by D. Hilliard (bad pass)
9:05.0,M. Scott enters the game for K. Humphries,,72-97,,
8:58.0,Shooting foul by I. Smith (drawn by G. Neal),,72-97,,
8:58.0,Official timeout,,72-97,,
8:58.0,G. Neal makes free throw 1 of 2,1,73-97,,
8:58.0,G. Neal makes free throw 2 of 2,1,74-97,,
8:58.0,,,72-97,,R. Jackson enters the game for I. Smith
8:41.0,,,74-100,3,T. Harris makes 3-pt shot from 24 ft (assist by A. Baynes)
8:31.0,M. Dunleavy misses 3-pt shot from 25 ft,,74-100,,
8:31.0,,,74-100,,Defensive rebound by D. Hilliard
8:14.0,,,74-100,,T. Harris misses 2-pt shot from 17 ft
8:13.0,Defensive rebound by T. Waller-Prince,,74-100,,
8:12.0,Turnover by T. Waller-Prince (lost ball; steal by S. Johnson),,74-100,,
7:53.0,,,74-100,,T. Harris misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by M. Scott,,74-100,,
7:45.0,D. Bembry makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,76-100,,
7:45.0,Shooting foul by A. Baynes,,76-100,,
7:45.0,D. Bembry misses free throw 1 of 1,,76-100,,
7:43.0,,,76-100,,Defensive rebound by D. Hilliard
7:22.0,,,76-100,,D. Hilliard misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by D. Bembry,,76-100,,
7:14.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by D. Bembry),2,78-100,,
7:04.0,,,78-100,,Offensive foul by R. Jackson
7:04.0,,,78-100,,Turnover by R. Jackson (offensive foul)
7:04.0,,,78-100,,R. Bullock enters the game for D. Hilliard
7:04.0,K. Humphries enters the game for G. Neal,,78-100,,
6:51.0,T. Waller-Prince makes 2-pt shot from 4 ft (assist by D. Bembry),2,80-100,,
6:47.0,,,80-100,,Detroit full timeout
