time,Sacramento,pts.away,score,pts.home,Charlotte
8:33.0,Personal foul by A. Tolliver (drawn by S. Hawes),,30-29,,
8:25.0,,,30-29,,Turnover by M. Belinelli (traveling)
8:04.0,Turnover by T. Lawson (bad pass),,30-29,,
7:54.0,,,30-29,,M. Belinelli misses 2-pt shot from 21 ft
7:53.0,Defensive rebound by W. Cauley-Stein,,30-29,,
7:46.0,Shooting foul by S. Hawes (drawn by W. Cauley-Stein),,30-29,,
7:46.0,W. Cauley-Stein misses free throw 1 of 2,,30-29,,
7:46.0,Offensive rebound by Team,,30-29,,
7:46.0,W. Cauley-Stein misses free throw 2 of 2,,30-29,,
7:45.0,,,30-29,,Defensive rebound by R. Sessions
7:30.0,,,30-31,2,M. Belinelli makes 2-pt shot from 1 ft (assist by K. Walker)
7:18.0,T. Lawson makes 2-pt shot from 18 ft,2,32-31,,
6:55.0,,,32-31,,R. Sessions misses 2-pt shot from 5 ft (block by M. Richardson)
6:55.0,Defensive rebound by Team,,32-31,,
6:55.0,,,32-31,,M. Kidd-Gilchrist enters the game for F. Kaminsky
6:55.0,Jump ball: M. Richardson vs. R. Sessions (M. Barnes gains possession),,,,Jump ball: M. Richardson vs. R. Sessions (M. Barnes gains possession)
6:49.0,T. Lawson misses 2-pt shot from 1 ft (block by K. Walker),,32-31,,
6:49.0,Offensive rebound by Team,,32-31,,
6:49.0,Sacramento full timeout,,32-31,,
6:49.0,,,32-31,,N. Batum enters the game for K. Walker
6:47.0,Turnover by M. Barnes (bad pass; steal by M. Belinelli),,32-31,,
6:41.0,,,32-31,,Turnover by N. Batum (bad pass; steal by T. Lawson)
6:35.0,A. Tolliver makes 3-pt shot from 26 ft (assist by T. Lawson),3,35-31,,
6:07.0,,,35-33,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by N. Batum)
5:58.0,Turnover by T. Lawson (bad pass; steal by M. Belinelli),,35-33,,
5:47.0,,,35-33,,M. Belinelli misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by A. Tolliver,,35-33,,
5:33.0,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by A. Tolliver),2,37-33,,
5:14.0,,,37-33,,Shooting foul by M. Barnes (drawn by M. Kidd-Gilchrist)
5:14.0,,,37-34,1,M. Kidd-Gilchrist makes free throw 1 of 2
5:14.0,,,37-34,,M. Kidd-Gilchrist misses free throw 2 of 2
5:14.0,D. Collison enters the game for M. Richardson,,37-34,,
5:14.0,A. Afflalo enters the game for M. Barnes,,37-34,,
5:12.0,Defensive rebound by A. Tolliver,,37-34,,
4:51.0,Turnover by D. Collison (bad pass; steal by M. Kidd-Gilchrist),,37-34,,
4:43.0,,,37-34,,M. Belinelli misses 3-pt shot from 25 ft
4:41.0,,,37-34,,Offensive rebound by S. Hawes
4:41.0,,,37-36,2,S. Hawes makes 2-pt shot at rim
4:36.0,,,37-36,,Personal foul by M. Kidd-Gilchrist (drawn by T. Lawson)
4:36.0,,,37-36,,K. Walker enters the game for R. Sessions
4:36.0,,,37-36,,M. Williams enters the game for M. Kidd-Gilchrist
4:36.0,D. Cousins enters the game for W. Cauley-Stein,,37-36,,
4:24.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,40-36,,
4:05.0,,,40-36,,S. Hawes misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by D. Cousins,,40-36,,
3:55.0,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Cousins),3,43-36,,
3:40.0,,,43-38,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
3:30.0,A. Tolliver makes 3-pt shot from 23 ft (assist by T. Lawson),3,46-38,,
3:30.0,,,46-38,,Charlotte full timeout
3:30.0,,,46-38,,R. Sessions enters the game for M. Belinelli
3:19.0,,,46-38,,Shooting foul by A. Afflalo (drawn by N. Batum)
3:19.0,,,46-39,1,N. Batum makes free throw 1 of 2
3:19.0,,,46-40,1,N. Batum makes free throw 2 of 2
3:00.0,Shooting foul by S. Hawes (drawn by D. Cousins),,46-40,,
3:00.0,D. Cousins makes 2-pt shot from 1 ft,2,48-40,,
3:00.0,,,48-40,,Technical foul by S. Hawes (drawn by D. Cousins)
3:00.0,Technical foul by D. Cousins,,48-40,,
3:00.0,D. Cousins makes free throw 1 of 1,1,49-40,,
2:48.0,,,49-42,2,K. Walker makes 2-pt shot from 6 ft
2:21.0,A. Afflalo misses 3-pt shot from 32 ft,,49-42,,
2:20.0,,,49-42,,Defensive rebound by K. Walker
2:04.0,,,49-42,,M. Williams misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by A. Tolliver,,49-42,,
1:52.0,Shooting foul by K. Walker (drawn by A. Afflalo),,49-42,,
1:52.0,Official timeout,,49-42,,
1:52.0,A. Afflalo makes free throw 1 of 2,1,50-42,,
1:52.0,A. Afflalo makes free throw 2 of 2,1,51-42,,
1:36.0,,,51-42,,M. Williams misses 2-pt shot from 2 ft (block by D. Collison)
1:35.0,Defensive rebound by D. Cousins,,51-42,,
1:26.0,D. Collison misses 3-pt shot from 25 ft,,51-42,,
1:25.0,,,51-42,,Defensive rebound by N. Batum
1:25.0,,,51-42,,Technical foul by Team
1:25.0,D. Collison makes technical free throw,1,52-42,,
1:04.0,,,52-44,2,N. Batum makes 2-pt shot from 15 ft
0:49.0,Offensive foul by D. Cousins,,52-44,,
0:49.0,Turnover by D. Cousins (offensive foul),,52-44,,
0:38.0,,,52-44,,N. Batum misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by D. Cousins,,52-44,,
0:15.0,A. Afflalo misses 3-pt shot from 24 ft,,52-44,,
0:14.0,,,52-44,,Defensive rebound by S. Hawes
0:03.0,,,52-44,,K. Walker misses 2-pt shot at rim (block by D. Cousins)
0:01.0,Defensive rebound by A. Tolliver,,52-44,,
0:00.0,D. Collison misses 3-pt shot from 29 ft,,52-44,,
0:00.0,Offensive rebound by Team,,52-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-44,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by D. Cousins,,52-44,,
11:29.0,,,52-44,,Personal foul by M. Williams (drawn by D. Cousins)
11:13.0,G. Temple makes 2-pt shot from 16 ft,2,54-44,,
10:59.0,,,54-46,2,R. Hibbert makes 2-pt shot from 8 ft (assist by N. Batum)
10:43.0,D. Collison makes 2-pt shot from 18 ft (assist by A. Afflalo),2,56-46,,
10:33.0,,,56-46,,Offensive foul by R. Hibbert
10:33.0,,,56-46,,Turnover by R. Hibbert (offensive foul)
10:18.0,D. Collison makes 2-pt shot from 16 ft (assist by D. Cousins),2,58-46,,
10:04.0,,,58-48,2,K. Walker makes 2-pt shot from 1 ft
9:49.0,D. Cousins misses 2-pt shot from 14 ft,,58-48,,
9:48.0,,,58-48,,Defensive rebound by M. Kidd-Gilchrist
9:37.0,,,58-48,,Offensive foul by N. Batum
9:37.0,,,58-48,,Turnover by N. Batum (offensive foul)
9:13.0,D. Cousins misses 2-pt shot from 3 ft,,58-48,,
9:13.0,,,58-48,,Defensive rebound by Team
9:09.0,,,58-48,,Shooting foul by D. Collison (drawn by K. Walker)
9:09.0,,,58-48,,K. Walker misses free throw 1 of 2
9:09.0,,,58-48,,Offensive rebound by Team
9:09.0,,,58-49,1,K. Walker makes free throw 2 of 2
8:44.0,D. Collison makes 2-pt shot from 11 ft,2,60-49,,
8:22.0,,,60-51,2,M. Williams makes 2-pt shot at rim
7:54.0,A. Afflalo misses 2-pt shot from 18 ft,,60-51,,
7:53.0,,,60-51,,Defensive rebound by M. Kidd-Gilchrist
7:44.0,,,60-53,2,N. Batum makes 2-pt shot from 21 ft (assist by K. Walker)
7:25.0,,,60-53,,Personal foul by N. Batum (drawn by G. Temple)
7:19.0,,,60-53,,Personal foul by M. Williams (drawn by D. Cousins)
7:11.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Koufos),,60-53,,
7:11.0,K. Koufos misses free throw 1 of 2,,60-53,,
7:11.0,Offensive rebound by Team,,60-53,,
7:11.0,K. Koufos makes free throw 2 of 2,1,61-53,,
7:11.0,,,60-53,,M. Belinelli enters the game for M. Kidd-Gilchrist
7:02.0,Personal block foul by K. Koufos (drawn by K. Walker),,61-53,,
6:55.0,,,61-53,,Shooting foul by K. Koufos (drawn by R. Hibbert)
6:55.0,,,61-54,1,R. Hibbert makes free throw 1 of 2
6:55.0,,,61-55,1,R. Hibbert makes free throw 2 of 2
6:37.0,D. Cousins misses 2-pt shot at rim,,61-55,,
6:36.0,,,61-55,,Defensive rebound by M. Belinelli
6:34.0,,,61-55,,Turnover by N. Batum (traveling)
6:10.0,G. Temple misses 3-pt shot from 25 ft,,61-55,,
6:07.0,Offensive rebound by D. Cousins,,61-55,,
6:07.0,D. Cousins makes 2-pt shot at rim,2,63-55,,
5:55.0,,,63-58,3,K. Walker makes 3-pt shot from 25 ft
5:36.0,D. Collison makes 3-pt shot from 24 ft (assist by A. Afflalo),3,66-58,,
5:26.0,,,66-60,2,K. Walker makes 2-pt shot from 1 ft
5:26.0,,,66-60,,Shooting foul by D. Collison (drawn by K. Walker)
5:26.0,,,66-60,,Charlotte full timeout
5:26.0,,,66-61,1,K. Walker makes free throw 1 of 1
5:26.0,A. Tolliver enters the game for K. Koufos,,66-60,,
5:26.0,,,66-60,,F. Kaminsky enters the game for R. Hibbert
5:08.0,G. Temple misses 3-pt shot from 25 ft,,66-61,,
5:07.0,,,66-61,,Defensive rebound by N. Batum
4:55.0,,,66-61,,M. Belinelli misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by A. Tolliver,,66-61,,
4:43.0,D. Cousins misses 2-pt shot from 2 ft,,66-61,,
4:41.0,Offensive rebound by D. Cousins,,66-61,,
4:41.0,D. Cousins makes 2-pt shot from 1 ft,2,68-61,,
4:31.0,,,68-61,,Shooting foul by D. Collison (drawn by K. Walker)
4:31.0,,,68-62,1,K. Walker makes free throw 1 of 3
4:31.0,,,68-63,1,K. Walker makes free throw 2 of 3
4:31.0,,,68-64,1,K. Walker makes free throw 3 of 3
4:31.0,T. Lawson enters the game for G. Temple,,68-63,,
4:19.0,,,68-64,,Personal foul by M. Williams (drawn by D. Cousins)
4:19.0,D. Cousins makes free throw 1 of 2,1,69-64,,
4:19.0,D. Cousins makes free throw 2 of 2,1,70-64,,
4:19.0,,,69-64,,S. Hawes enters the game for M. Williams
4:04.0,,,70-67,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
3:47.0,D. Cousins makes 3-pt shot from 26 ft (assist by T. Lawson),3,73-67,,
3:36.0,,,73-67,,K. Walker misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by Team,,73-67,,
3:18.0,D. Cousins misses 2-pt shot from 9 ft,,73-67,,
3:16.0,Offensive rebound by D. Cousins,,73-67,,
3:13.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,75-67,,
3:08.0,,,75-67,,Charlotte full timeout
3:08.0,,,75-67,,R. Sessions enters the game for N. Batum
2:59.0,,,75-67,,Turnover by K. Walker (bad pass; steal by A. Afflalo)
2:53.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,77-67,,
2:44.0,,,77-67,,K. Walker misses 2-pt shot from 1 ft (block by A. Tolliver)
2:41.0,Defensive rebound by A. Afflalo,,77-67,,
2:30.0,A. Tolliver makes 3-pt shot from 24 ft (assist by A. Afflalo),3,80-67,,
2:22.0,,,80-67,,Charlotte full timeout
2:10.0,,,80-69,2,S. Hawes makes 2-pt shot from 1 ft (assist by M. Belinelli)
1:52.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,83-69,,
1:33.0,,,83-69,,F. Kaminsky misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by D. Cousins,,83-69,,
1:21.0,A. Tolliver misses 3-pt shot from 25 ft,,83-69,,
1:20.0,Offensive rebound by D. Cousins,,83-69,,
1:18.0,Shooting foul by M. Belinelli (drawn by A. Afflalo),,83-69,,
1:18.0,A. Afflalo misses free throw 1 of 2,,83-69,,
1:18.0,Offensive rebound by Team,,83-69,,
1:18.0,A. Afflalo makes free throw 2 of 2,1,84-69,,
1:18.0,W. Cauley-Stein enters the game for D. Cousins,,83-69,,
1:07.0,,,84-72,3,M. Belinelli makes 3-pt shot from 25 ft
0:47.0,,,84-72,,Personal foul by K. Walker (drawn by T. Lawson)
0:47.0,T. Lawson makes free throw 1 of 2,1,85-72,,
0:47.0,T. Lawson misses free throw 2 of 2,,85-72,,
0:47.0,M. Richardson enters the game for A. Afflalo,,85-72,,
0:43.0,,,85-72,,Defensive rebound by F. Kaminsky
0:35.0,,,85-75,3,K. Walker makes 3-pt shot from 25 ft
0:20.0,Offensive foul by D. Collison,,85-75,,
0:20.0,Turnover by D. Collison (offensive foul),,85-75,,
0:20.0,G. Temple enters the game for D. Collison,,85-75,,
0:04.0,Personal foul by W. Cauley-Stein (drawn by K. Walker),,85-75,,
0:04.0,,,85-76,1,K. Walker makes free throw 1 of 2
0:04.0,,,85-77,1,K. Walker makes free throw 2 of 2
0:00.0,T. Lawson misses 3-pt shot from 43 ft,,85-77,,
0:00.0,Offensive rebound by Team,,85-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Lawson misses 2-pt shot from 18 ft,,85-77,,
11:39.0,,,85-77,,Defensive rebound by N. Batum
11:28.0,,,85-77,,F. Kaminsky misses 3-pt shot from 26 ft
11:27.0,Defensive rebound by W. Cauley-Stein,,85-77,,
11:15.0,Shooting foul by S. Hawes (drawn by W. Cauley-Stein),,85-77,,
11:15.0,W. Cauley-Stein makes free throw 1 of 2,1,86-77,,
11:15.0,W. Cauley-Stein misses free throw 2 of 2,,86-77,,
11:13.0,,,86-77,,Defensive rebound by F. Kaminsky
11:03.0,,,86-77,,Shooting foul by W. Cauley-Stein (drawn by S. Hawes)
11:03.0,,,86-78,1,S. Hawes makes free throw 1 of 2
11:03.0,,,86-79,1,S. Hawes makes free throw 2 of 2
10:43.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,88-79,,
10:20.0,,,88-82,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by N. Batum)
10:01.0,M. Richardson misses 3-pt shot from 23 ft,,88-82,,
10:00.0,,,88-82,,Defensive rebound by S. Hawes
9:48.0,Personal foul by M. Richardson (drawn by M. Belinelli),,88-82,,
9:37.0,,,88-85,3,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
9:24.0,M. Richardson makes 2-pt shot from 2 ft,2,90-85,,
9:16.0,Personal foul by M. Richardson (drawn by F. Kaminsky),,90-85,,
9:16.0,D. Collison enters the game for M. Richardson,,90-85,,
9:10.0,,,90-87,2,S. Hawes makes 2-pt shot from 1 ft (assist by F. Kaminsky)
8:52.0,G. Temple makes 3-pt shot from 23 ft (assist by D. Collison),3,93-87,,
8:32.0,,,93-87,,S. Hawes misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by M. Barnes,,93-87,,
8:23.0,D. Collison misses 3-pt shot from 24 ft,,93-87,,
8:22.0,Offensive rebound by W. Cauley-Stein,,93-87,,
8:22.0,Sacramento full timeout,,93-87,,
8:22.0,,,93-87,,K. Walker enters the game for R. Sessions
8:06.0,M. Barnes misses 2-pt shot from 5 ft (block by S. Hawes),,93-87,,
8:04.0,,,93-87,,Defensive rebound by K. Walker
7:54.0,,,93-87,,F. Kaminsky misses 3-pt shot from 29 ft
7:53.0,Defensive rebound by M. Barnes,,93-87,,
7:31.0,G. Temple misses 2-pt shot from 16 ft,,93-87,,
7:29.0,,,93-87,,Defensive rebound by S. Hawes
7:20.0,,,93-87,,Turnover by N. Batum (bad pass; steal by G. Temple)
7:15.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple),2,95-87,,
6:56.0,,,95-87,,Offensive foul by S. Hawes
6:56.0,,,95-87,,Turnover by S. Hawes (offensive foul)
6:56.0,D. Cousins enters the game for M. Barnes,,95-87,,
6:56.0,,,95-87,,M. Williams enters the game for F. Kaminsky
6:44.0,Offensive foul by D. Cousins,,95-87,,
6:44.0,Turnover by D. Cousins (offensive foul),,95-87,,
6:29.0,,,95-90,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
6:16.0,,,95-90,,Personal foul by N. Batum (drawn by D. Collison)
6:16.0,A. Tolliver enters the game for W. Cauley-Stein,,95-90,,
6:08.0,,,95-90,,Personal foul by M. Belinelli (drawn by D. Cousins)
5:58.0,D. Cousins makes 2-pt shot from 2 ft (assist by A. Tolliver),2,97-90,,
5:39.0,,,97-90,,M. Belinelli misses 3-pt shot from 27 ft
5:37.0,,,97-90,,Offensive rebound by S. Hawes
5:37.0,,,97-92,2,S. Hawes makes 2-pt shot from 1 ft
5:17.0,,,97-92,,Personal foul by S. Hawes (drawn by D. Cousins)
5:17.0,Official timeout,,97-92,,
5:17.0,A. Afflalo enters the game for G. Temple,,97-92,,
5:17.0,,,97-92,,M. Kidd-Gilchrist enters the game for M. Belinelli
5:04.0,D. Cousins misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist),,97-92,,
5:01.0,,,97-92,,Defensive rebound by S. Hawes
4:57.0,,,97-92,,M. Williams misses 3-pt shot from 25 ft
4:55.0,,,97-92,,Offensive rebound by N. Batum
4:47.0,,,97-92,,Shooting foul by A. Tolliver (drawn by M. Kidd-Gilchrist)
4:47.0,,,97-93,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:47.0,,,97-94,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:30.0,T. Lawson makes 2-pt shot from 9 ft,2,99-94,,
4:13.0,,,99-94,,Shooting foul by D. Cousins (drawn by S. Hawes)
4:13.0,,,99-95,1,S. Hawes makes free throw 1 of 2
4:13.0,,,99-96,1,S. Hawes makes free throw 2 of 2
3:51.0,A. Tolliver misses 3-pt shot from 26 ft,,99-96,,
3:51.0,,,99-96,,Defensive rebound by Team
3:51.0,Loose ball foul by D. Cousins (drawn by M. Williams),,99-96,,
3:51.0,,,99-97,1,M. Williams makes free throw 1 of 2
3:51.0,,,99-98,1,M. Williams makes free throw 2 of 2
3:31.0,D. Cousins makes 2-pt shot from 2 ft,2,101-98,,
3:12.0,,,101-101,3,N. Batum makes 3-pt shot from 25 ft (assist by S. Hawes)
2:48.0,D. Cousins misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,101-101,,
2:46.0,Offensive rebound by D. Cousins,,101-101,,
2:42.0,A. Afflalo makes 2-pt shot from 10 ft (assist by D. Cousins),2,103-101,,
2:19.0,,,103-104,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
1:57.0,D. Cousins misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,103-104,,
1:57.0,Offensive rebound by D. Cousins,,103-104,,
1:57.0,D. Cousins makes 2-pt shot from 1 ft,2,105-104,,
1:45.0,,,105-104,,M. Williams misses 3-pt shot from 24 ft
1:43.0,,,105-104,,Offensive rebound by K. Walker
1:38.0,,,105-106,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
