time,Milwaukee,pts.away,score,pts.home,Indiana
7:32.0,,,67-62,,Turnover by M. Turner (lost ball; steal by T. Maker)
7:16.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by M. Turner),,67-62,,
7:16.0,,,67-62,,Defensive rebound by Team
7:16.0,G. Monroe enters the game for T. Maker,,67-62,,
7:16.0,M. Brogdon enters the game for M. Dellavedova,,67-62,,
7:04.0,,,67-62,,M. Turner misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
7:03.0,Defensive rebound by G. Antetokounmpo,,67-62,,
6:52.0,M. Beasley makes 2-pt shot from 2 ft (assist by G. Monroe),2,69-62,,
6:39.0,,,69-62,,C. Miles misses 3-pt shot from 28 ft
6:37.0,Defensive rebound by T. Snell,,69-62,,
6:30.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,71-62,,
6:30.0,,,71-62,,Indiana full timeout
6:15.0,,,71-62,,M. Turner misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
6:14.0,,,71-62,,Offensive rebound by M. Turner
6:14.0,,,71-62,,Shooting foul by G. Antetokounmpo (drawn by M. Turner)
6:14.0,,,71-63,1,M. Turner makes free throw 1 of 2
6:14.0,,,71-64,1,M. Turner makes free throw 2 of 2
5:51.0,Shooting foul by M. Turner (drawn by G. Antetokounmpo),,71-64,,
5:51.0,G. Antetokounmpo misses free throw 1 of 2,,71-64,,
5:51.0,Offensive rebound by Team,,71-64,,
5:51.0,G. Antetokounmpo makes free throw 2 of 2,1,72-64,,
5:32.0,,,72-64,,P. George misses 2-pt shot from 5 ft (block by T. Snell)
5:30.0,Defensive rebound by G. Antetokounmpo,,72-64,,
5:21.0,G. Monroe makes 2-pt shot from 3 ft (assist by M. Beasley),2,74-64,,
5:12.0,,,74-64,,Shooting foul by G. Monroe (drawn by C. Miles)
5:12.0,,,74-66,2,C. Miles makes 2-pt shot from 4 ft
5:12.0,,,74-67,1,C. Miles makes free throw 1 of 1
4:54.0,M. Brogdon misses 2-pt shot from 3 ft (block by J. Teague),,74-67,,
4:53.0,,,74-67,,Defensive rebound by L. Allen
4:42.0,,,74-67,,Violation by Team (jump ball)
4:42.0,Jump ball: G. Monroe vs. J. Teague (M. Beasley gains possession),,,,Jump ball: G. Monroe vs. J. Teague (M. Beasley gains possession)
4:42.0,,,74-67,,Turnover by J. Teague (lost ball; steal by G. Monroe)
4:30.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,77-67,,
4:12.0,,,77-67,,J. Teague misses 2-pt shot from 4 ft
4:10.0,Defensive rebound by M. Brogdon,,77-67,,
4:02.0,T. Snell makes 3-pt shot from 24 ft (assist by M. Brogdon),3,80-67,,
3:41.0,,,80-67,,Shooting foul by G. Antetokounmpo (drawn by M. Turner)
3:41.0,,,80-68,1,M. Turner makes free throw 1 of 2
3:41.0,,,80-69,1,M. Turner makes free throw 2 of 2
3:41.0,M. Teletovic enters the game for G. Antetokounmpo,,80-68,,
3:41.0,,,80-68,,M. Ellis enters the game for C. Miles
3:18.0,M. Teletovic makes 3-pt shot from 27 ft (assist by T. Snell),3,83-69,,
2:56.0,,,83-69,,P. George misses 2-pt shot from 16 ft
2:54.0,,,83-69,,Offensive rebound by L. Allen
2:46.0,,,83-72,3,P. George makes 3-pt shot from 24 ft (assist by J. Teague)
2:30.0,M. Beasley misses 2-pt shot from 12 ft,,83-72,,
2:30.0,,,83-72,,Defensive rebound by M. Turner
2:14.0,,,83-72,,Shooting foul by M. Teletovic (drawn by P. George)
2:14.0,,,83-73,1,P. George makes free throw 1 of 2
2:14.0,,,83-74,1,P. George makes free throw 2 of 2
2:14.0,,,83-73,,A. Jefferson enters the game for M. Turner
2:14.0,,,83-73,,R. Stuckey enters the game for J. Teague
2:05.0,,,83-74,,Personal foul by R. Stuckey (drawn by M. Brogdon)
1:59.0,M. Brogdon makes 2-pt shot from 17 ft,2,85-74,,
1:39.0,,,85-74,,A. Jefferson misses 2-pt shot from 2 ft
1:37.0,,,85-74,,Offensive rebound by L. Allen
1:37.0,,,85-74,,L. Allen misses 2-pt shot from 3 ft
1:36.0,Defensive rebound by M. Brogdon,,85-74,,
1:29.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Brogdon),3,88-74,,
1:17.0,,,88-74,,Turnover by P. George (bad pass; steal by T. Snell)
1:04.0,M. Teletovic misses 3-pt shot from 25 ft,,88-74,,
1:04.0,,,88-74,,Defensive rebound by L. Allen
0:52.0,,,88-74,,M. Ellis misses 2-pt shot from 19 ft
0:51.0,Defensive rebound by G. Monroe,,88-74,,
0:34.0,M. Dellavedova enters the game for T. Snell,,88-74,,
0:34.0,R. Vaughn enters the game for M. Beasley,,88-74,,
0:34.0,,,88-74,,G. Robinson enters the game for L. Allen
0:26.0,M. Brogdon misses 2-pt shot from 20 ft,,88-74,,
0:26.0,,,88-74,,Defensive rebound by P. George
0:10.0,Violation by M. Dellavedova (kicked ball),,88-74,,
0:02.0,,,88-74,,M. Ellis misses 3-pt shot from 25 ft
0:00.0,,,88-74,,Offensive rebound by P. George
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by A. Jefferson (drawn by G. Monroe),,88-74,,
11:42.0,G. Monroe makes free throw 1 of 2,1,89-74,,
11:42.0,G. Monroe makes free throw 2 of 2,1,90-74,,
11:35.0,Personal foul by M. Dellavedova (drawn by P. George),,90-74,,
11:23.0,,,90-74,,Shooting foul by R. Vaughn (drawn by M. Ellis)
11:23.0,,,90-74,,M. Ellis misses free throw 1 of 2
11:23.0,,,90-74,,Offensive rebound by Team
11:23.0,,,90-75,1,M. Ellis makes free throw 2 of 2
11:14.0,Turnover by G. Monroe (lost ball; steal by G. Robinson),,90-75,,
11:04.0,,,90-77,2,A. Jefferson makes 2-pt shot from 4 ft
10:46.0,M. Teletovic misses 3-pt shot from 22 ft,,90-77,,
10:45.0,,,90-77,,Defensive rebound by A. Jefferson
10:34.0,,,90-79,2,A. Jefferson makes 2-pt shot from 3 ft (assist by R. Stuckey)
10:24.0,,,90-79,,Personal foul by M. Ellis (drawn by G. Monroe)
10:20.0,Shooting foul by M. Ellis (drawn by M. Brogdon),,90-79,,
10:20.0,M. Brogdon misses free throw 1 of 2,,90-79,,
10:20.0,Offensive rebound by Team,,90-79,,
10:20.0,M. Brogdon makes free throw 2 of 2,1,91-79,,
10:08.0,,,91-81,2,M. Ellis makes 2-pt shot from 4 ft
9:51.0,Offensive charge foul by G. Monroe,,91-81,,
9:51.0,Turnover by G. Monroe (offensive foul),,91-81,,
9:29.0,,,91-81,,A. Jefferson misses 2-pt shot from 11 ft
9:28.0,Defensive rebound by M. Brogdon,,91-81,,
9:09.0,G. Monroe makes 2-pt shot from 15 ft (assist by M. Teletovic),2,93-81,,
8:53.0,,,93-81,,G. Robinson misses 2-pt shot from 21 ft
8:52.0,Defensive rebound by G. Monroe,,93-81,,
8:33.0,M. Teletovic misses 3-pt shot from 24 ft,,93-81,,
8:32.0,,,93-81,,Defensive rebound by M. Ellis
8:23.0,,,93-81,,Shooting foul by G. Monroe (drawn by M. Ellis)
8:23.0,Official timeout,,93-81,,
8:23.0,,,93-82,1,M. Ellis makes free throw 1 of 2
8:23.0,,,93-83,1,M. Ellis makes free throw 2 of 2
8:23.0,,,93-81,,C. Miles enters the game for G. Robinson
8:23.0,G. Antetokounmpo enters the game for M. Teletovic,,93-81,,
8:06.0,R. Vaughn misses 2-pt shot from 3 ft,,93-83,,
8:04.0,,,93-83,,Defensive rebound by P. George
7:50.0,,,93-83,,C. Miles misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by G. Antetokounmpo,,93-83,,
7:43.0,,,93-83,,Personal foul by P. George (drawn by G. Antetokounmpo)
7:32.0,M. Dellavedova misses 2-pt shot from 4 ft,,93-83,,
7:31.0,,,93-83,,Defensive rebound by R. Stuckey
7:11.0,,,93-85,2,M. Ellis makes 2-pt shot from 4 ft
6:49.0,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,96-85,,
6:29.0,,,96-85,,P. George misses 2-pt shot from 4 ft (block by G. Monroe)
6:28.0,Defensive rebound by G. Monroe,,96-85,,
6:18.0,G. Monroe misses 2-pt shot from 4 ft (block by M. Ellis),,96-85,,
6:18.0,Offensive rebound by Team,,96-85,,
6:18.0,,,96-85,,M. Turner enters the game for A. Jefferson
6:18.0,T. Maker enters the game for G. Monroe,,96-85,,
6:08.0,M. Brogdon misses 2-pt shot from 3 ft (block by C. Miles),,96-85,,
6:06.0,,,96-85,,Defensive rebound by M. Turner
6:01.0,,,96-85,,R. Stuckey misses 2-pt shot from 2 ft (block by R. Vaughn)
5:59.0,Defensive rebound by T. Maker,,96-85,,
5:37.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,96-85,,
5:37.0,Offensive rebound by Team,,96-85,,
5:37.0,,,96-85,,Loose ball foul by M. Turner (drawn by T. Maker)
5:37.0,,,96-85,,Indiana full timeout
5:37.0,T. Maker makes free throw 1 of 2,1,97-85,,
5:37.0,T. Maker misses free throw 2 of 2,,97-85,,
5:37.0,,,97-85,,Defensive rebound by C. Miles
5:37.0,,,96-85,,J. Teague enters the game for R. Stuckey
5:21.0,Personal foul by G. Antetokounmpo (drawn by J. Teague),,97-85,,
5:07.0,,,97-87,2,C. Miles makes 2-pt shot from 19 ft
4:40.0,T. Maker makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,100-87,,
4:21.0,,,100-87,,Turnover by C. Miles (bad pass)
4:03.0,M. Dellavedova misses 2-pt shot from 15 ft,,100-87,,
4:02.0,,,100-87,,Defensive rebound by Team
3:50.0,,,100-87,,Shooting foul by M. Brogdon (drawn by M. Turner)
3:50.0,,,100-87,,M. Turner misses free throw 1 of 2
3:50.0,,,100-87,,Offensive rebound by Team
3:50.0,,,100-88,1,M. Turner makes free throw 2 of 2
3:36.0,R. Vaughn misses 2-pt shot from 6 ft,,100-88,,
3:36.0,,,100-88,,Defensive rebound by M. Ellis
3:25.0,,,100-88,,M. Turner misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by R. Vaughn,,100-88,,
3:07.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,103-88,,
2:52.0,,,103-88,,Turnover by M. Ellis (lost ball; steal by R. Vaughn)
2:35.0,M. Brogdon makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,106-88,,
2:34.0,,,106-88,,Indiana full timeout
2:15.0,,,106-90,2,M. Ellis makes 2-pt shot from 3 ft
1:56.0,,,106-90,,Personal foul by P. George (drawn by M. Dellavedova)
1:56.0,M. Dellavedova makes free throw 1 of 2,1,107-90,,
1:56.0,M. Dellavedova makes free throw 2 of 2,1,108-90,,
1:40.0,,,108-93,3,C. Miles makes 3-pt shot from 25 ft (assist by M. Turner)
1:25.0,Turnover by G. Antetokounmpo (discontinued dribble),,108-93,,
1:13.0,,,108-95,2,P. George makes 2-pt shot from 21 ft (assist by J. Teague)
0:55.0,,,108-95,,Personal foul by J. Teague (drawn by G. Antetokounmpo)
0:55.0,G. Antetokounmpo makes free throw 1 of 2,1,109-95,,
