time,Utah,pts.away,score,pts.home,Detroit
5:19.0,,,14-9,,K. Caldwell-Pope misses 2-pt shot from 2 ft
5:18.0,Defensive rebound by R. Hood,,14-9,,
5:06.0,G. Hill makes 3-pt shot from 23 ft (assist by G. Hayward),3,17-9,,
4:48.0,,,17-11,2,R. Jackson makes 2-pt shot from 6 ft
4:35.0,G. Hayward makes 2-pt shot from 2 ft (assist by R. Gobert),2,19-11,,
4:29.0,,,19-11,,Detroit full timeout
4:29.0,,,19-11,,I. Smith enters the game for J. Leuer
4:29.0,,,19-11,,T. Harris enters the game for R. Jackson
4:29.0,J. Ingles enters the game for J. Johnson,,19-11,,
4:29.0,B. Diaw enters the game for R. Hood,,19-11,,
4:21.0,,,19-11,,Offensive foul by K. Caldwell-Pope
4:21.0,,,19-11,,Turnover by K. Caldwell-Pope (offensive foul)
4:10.0,G. Hill makes 2-pt shot from 2 ft (assist by R. Gobert),2,21-11,,
3:45.0,,,21-11,,Turnover by Team (shot clock)
3:31.0,R. Gobert makes 2-pt shot from 1 ft (assist by B. Diaw),2,23-11,,
3:05.0,,,23-11,,Turnover by Team (shot clock)
3:05.0,D. Exum enters the game for G. Hill,,23-11,,
3:05.0,,,23-11,,A. Baynes enters the game for A. Drummond
2:51.0,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles),3,26-11,,
2:27.0,,,26-11,,M. Morris misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by D. Exum,,26-11,,
2:13.0,Turnover by G. Hayward (traveling),,26-11,,
2:13.0,Utah full timeout,,26-11,,
2:13.0,A. Burks enters the game for G. Hayward,,26-11,,
2:13.0,J. Withey enters the game for R. Gobert,,26-11,,
1:59.0,,,26-13,2,T. Harris makes 2-pt shot at rim (assist by A. Baynes)
1:34.0,A. Burks misses 3-pt shot from 27 ft,,26-13,,
1:32.0,,,26-13,,Defensive rebound by I. Smith
1:24.0,,,26-15,2,I. Smith makes 2-pt shot from 11 ft
1:02.0,A. Burks misses 2-pt shot from 11 ft,,26-15,,
1:01.0,,,26-15,,Defensive rebound by T. Harris
0:54.0,,,26-17,2,A. Baynes makes 2-pt shot from 13 ft (assist by I. Smith)
0:30.0,B. Diaw misses 3-pt shot from 26 ft,,26-17,,
0:29.0,,,26-17,,Defensive rebound by A. Baynes
0:23.0,,,26-17,,Turnover by I. Smith (lost ball; steal by D. Exum)
0:19.0,D. Exum makes 2-pt shot at rim (assist by J. Ingles),2,28-17,,
0:02.0,,,28-17,,Shooting foul by J. Ingles (drawn by I. Smith)
0:02.0,,,28-18,1,I. Smith makes free throw 1 of 2
0:02.0,,,28-19,1,I. Smith makes free throw 2 of 2
0:02.0,,,28-18,,S. Johnson enters the game for K. Caldwell-Pope
0:02.0,,,28-18,,J. Leuer enters the game for M. Morris
0:00.0,A. Burks misses 3-pt shot from 30 ft (block by S. Johnson),,28-19,,
0:00.0,Offensive rebound by Team,,28-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Withey (traveling),,28-19,,
11:35.0,,,28-19,,Turnover by J. Leuer (bad pass; steal by J. Ingles)
11:22.0,J. Johnson makes 2-pt shot from 7 ft,2,30-19,,
11:06.0,,,30-19,,T. Harris misses 2-pt shot from 6 ft
11:05.0,,,30-19,,Offensive rebound by A. Baynes
11:03.0,,,30-21,2,A. Baynes makes 2-pt shot from 1 ft
10:53.0,Turnover by J. Ingles (bad pass; steal by S. Johnson),,30-21,,
10:47.0,,,30-23,2,T. Harris makes 2-pt shot from 1 ft
10:29.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Exum),3,33-23,,
10:16.0,,,33-23,,I. Smith misses 2-pt shot from 17 ft
10:16.0,,,33-23,,Offensive rebound by Team
10:16.0,Loose ball foul by J. Withey (drawn by A. Baynes),,33-23,,
10:16.0,,,33-23,,R. Jackson enters the game for I. Smith
10:07.0,Personal foul by D. Exum (drawn by A. Baynes),,33-23,,
9:54.0,,,33-23,,A. Baynes misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by A. Burks,,33-23,,
9:43.0,A. Burks misses 2-pt shot from 5 ft (block by A. Baynes),,33-23,,
9:41.0,,,33-23,,Defensive rebound by J. Leuer
9:37.0,,,33-23,,S. Johnson misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by A. Burks,,33-23,,
9:28.0,A. Burks makes 2-pt shot at rim (assist by D. Exum),2,35-23,,
9:28.0,Shooting foul by S. Johnson (drawn by A. Burks),,35-23,,
9:28.0,A. Burks makes free throw 1 of 1,1,36-23,,
9:16.0,,,36-23,,R. Jackson misses 2-pt shot from 8 ft
9:16.0,,,36-23,,Offensive rebound by A. Baynes
9:15.0,,,36-23,,A. Baynes misses 2-pt shot from 1 ft
9:15.0,,,36-23,,Offensive rebound by A. Baynes
9:14.0,,,36-23,,A. Baynes misses 2-pt shot from 2 ft
9:13.0,,,36-23,,Offensive rebound by A. Baynes
9:12.0,,,36-25,2,A. Baynes makes 2-pt shot at rim
8:53.0,J. Ingles makes 3-pt shot from 24 ft (assist by A. Burks),3,39-25,,
8:44.0,,,39-25,,Detroit full timeout
8:44.0,,,39-25,,M. Morris enters the game for T. Harris
8:44.0,,,39-25,,A. Drummond enters the game for A. Baynes
8:34.0,,,39-27,2,R. Jackson makes 2-pt shot from 8 ft
8:19.0,J. Johnson misses 3-pt shot from 27 ft,,39-27,,
8:18.0,,,39-27,,Defensive rebound by A. Drummond
8:04.0,,,39-27,,J. Leuer misses 2-pt shot from 5 ft (block by J. Johnson)
8:02.0,Defensive rebound by J. Johnson,,39-27,,
7:55.0,D. Exum misses 2-pt shot at rim,,39-27,,
7:55.0,,,39-27,,Defensive rebound by A. Drummond
7:50.0,,,39-27,,Shooting foul by J. Ingles (drawn by M. Morris)
7:50.0,,,39-28,1,M. Morris makes free throw 1 of 2
7:50.0,,,39-29,1,M. Morris makes free throw 2 of 2
7:50.0,G. Hill enters the game for D. Exum,,39-28,,
7:50.0,R. Gobert enters the game for A. Burks,,39-28,,
7:50.0,R. Hood enters the game for J. Withey,,39-28,,
7:34.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,41-29,,
7:06.0,,,41-31,2,M. Morris makes 2-pt shot from 17 ft (assist by R. Jackson)
6:42.0,Turnover by R. Gobert (lost ball; steal by M. Morris),,41-31,,
6:32.0,,,41-31,,R. Jackson misses 2-pt shot from 7 ft
6:29.0,Defensive rebound by R. Hood,,41-31,,
6:16.0,R. Hood misses 2-pt shot from 15 ft,,41-31,,
6:16.0,,,41-31,,Defensive rebound by A. Drummond
6:00.0,,,41-33,2,A. Drummond makes 2-pt shot from 7 ft
6:00.0,Utah full timeout,,41-33,,
6:00.0,B. Diaw enters the game for J. Johnson,,41-33,,
6:00.0,G. Hayward enters the game for R. Hood,,41-33,,
6:00.0,D. Exum enters the game for J. Ingles,,41-33,,
5:48.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,43-33,,
5:31.0,,,43-33,,S. Johnson misses 3-pt shot from 23 ft
5:31.0,Defensive rebound by D. Exum,,43-33,,
5:21.0,D. Exum makes 2-pt shot from 1 ft,2,45-33,,
4:56.0,,,45-33,,M. Morris misses 2-pt shot from 21 ft
4:56.0,Defensive rebound by G. Hayward,,45-33,,
4:41.0,B. Diaw misses 2-pt shot at rim,,45-33,,
4:40.0,Offensive rebound by B. Diaw,,45-33,,
4:34.0,Shooting foul by A. Drummond (drawn by R. Gobert),,45-33,,
4:34.0,R. Gobert makes free throw 1 of 2,1,46-33,,
4:34.0,R. Gobert misses free throw 2 of 2,,46-33,,
4:34.0,,,46-33,,A. Baynes enters the game for A. Drummond
4:34.0,,,46-33,,K. Caldwell-Pope enters the game for S. Johnson
4:33.0,,,46-33,,Defensive rebound by A. Baynes
4:16.0,,,46-33,,M. Morris misses 2-pt shot from 8 ft
4:15.0,Defensive rebound by G. Hill,,46-33,,
4:04.0,G. Hill misses 2-pt shot from 10 ft,,46-33,,
4:04.0,,,46-33,,Defensive rebound by R. Jackson
3:46.0,,,46-33,,J. Leuer misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by Team,,46-33,,
3:46.0,,,46-33,,Loose ball foul by A. Baynes (drawn by R. Gobert)
3:46.0,,,46-33,,T. Harris enters the game for J. Leuer
3:34.0,Turnover by R. Gobert (traveling),,46-33,,
3:20.0,,,46-33,,K. Caldwell-Pope misses 2-pt shot from 16 ft
3:20.0,Defensive rebound by Team,,46-33,,
3:20.0,,,46-33,,Loose ball foul by A. Baynes (drawn by R. Gobert)
2:59.0,Shooting foul by T. Harris (drawn by G. Hill),,46-33,,
2:59.0,Official timeout,,46-33,,
2:59.0,G. Hill makes free throw 1 of 3,1,47-33,,
2:59.0,G. Hill makes free throw 2 of 3,1,48-33,,
2:59.0,G. Hill makes free throw 3 of 3,1,49-33,,
2:45.0,,,49-33,,K. Caldwell-Pope misses 2-pt shot from 14 ft
2:45.0,,,49-33,,Offensive rebound by A. Baynes
2:42.0,,,49-35,2,A. Baynes makes 2-pt shot at rim
2:18.0,B. Diaw misses 2-pt shot from 17 ft,,49-35,,
2:15.0,,,49-35,,Defensive rebound by T. Harris
2:03.0,,,49-35,,K. Caldwell-Pope misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by R. Gobert,,49-35,,
1:51.0,B. Diaw makes 3-pt shot from 25 ft (assist by G. Hill),3,52-35,,
1:33.0,,,52-35,,R. Jackson misses 2-pt shot from 12 ft
1:32.0,Defensive rebound by R. Gobert,,52-35,,
1:23.0,G. Hayward misses 2-pt shot from 13 ft,,52-35,,
1:23.0,,,52-35,,Defensive rebound by A. Baynes
1:17.0,Personal foul by D. Exum (drawn by K. Caldwell-Pope),,52-35,,
1:01.0,,,52-35,,M. Morris misses 2-pt shot from 1 ft (block by R. Gobert)
1:00.0,Defensive rebound by G. Hill,,52-35,,
0:53.0,G. Hill misses 3-pt shot from 25 ft,,52-35,,
0:53.0,,,52-35,,Defensive rebound by T. Harris
0:39.0,,,52-35,,Turnover by R. Jackson (bad pass; steal by G. Hayward)
0:38.0,G. Hill makes 2-pt shot at rim (assist by G. Hayward),2,54-35,,
0:27.0,,,54-35,,R. Jackson misses 2-pt shot from 13 ft
0:26.0,Defensive rebound by D. Exum,,54-35,,
0:03.0,G. Hayward misses 3-pt shot from 27 ft,,54-35,,
0:01.0,,,54-35,,Defensive rebound by K. Caldwell-Pope
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,G. Hayward misses 2-pt shot from 13 ft,,54-35,,
11:43.0,,,54-35,,Defensive rebound by R. Jackson
11:27.0,,,54-35,,J. Leuer misses 2-pt shot from 20 ft
11:26.0,Defensive rebound by R. Gobert,,54-35,,
11:14.0,G. Hill makes 2-pt shot from 9 ft,2,56-35,,
10:48.0,,,56-35,,M. Morris misses 2-pt shot from 13 ft (block by R. Gobert)
10:47.0,Defensive rebound by J. Ingles,,56-35,,
10:36.0,J. Johnson misses 3-pt shot from 26 ft,,56-35,,
10:36.0,,,56-35,,Defensive rebound by M. Morris
10:29.0,,,56-37,2,S. Johnson makes 2-pt shot from 17 ft
10:12.0,G. Hill misses 3-pt shot from 26 ft,,56-37,,
10:11.0,,,56-37,,Defensive rebound by S. Johnson
10:02.0,,,56-37,,R. Jackson misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by Team,,56-37,,
10:02.0,,,56-37,,K. Caldwell-Pope enters the game for S. Johnson
9:48.0,G. Hayward misses 2-pt shot from 6 ft,,56-37,,
9:48.0,Offensive rebound by G. Hayward,,56-37,,
9:47.0,G. Hayward misses 2-pt shot from 1 ft,,56-37,,
9:45.0,Offensive rebound by G. Hayward,,56-37,,
9:25.0,Shooting foul by M. Morris (drawn by J. Johnson),,56-37,,
9:25.0,J. Johnson makes free throw 1 of 2,1,57-37,,
9:25.0,J. Johnson makes free throw 2 of 2,1,58-37,,
9:25.0,,,57-37,,I. Smith enters the game for R. Jackson
9:02.0,,,58-39,2,A. Drummond makes 2-pt shot from 7 ft
8:39.0,Turnover by G. Hill (bad pass),,58-39,,
8:26.0,,,58-39,,K. Caldwell-Pope misses 2-pt shot from 17 ft
8:25.0,Defensive rebound by G. Hayward,,58-39,,
8:12.0,Turnover by G. Hayward (bad pass; steal by A. Drummond),,58-39,,
7:49.0,,,58-41,2,M. Morris makes 2-pt shot at rim
7:29.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward),3,61-41,,
7:01.0,,,61-41,,M. Morris misses 2-pt shot from 15 ft
7:01.0,Defensive rebound by G. Hayward,,61-41,,
6:52.0,J. Johnson misses 2-pt shot from 10 ft,,61-41,,
6:52.0,,,61-41,,Defensive rebound by J. Leuer
6:41.0,,,61-43,2,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by J. Leuer)
6:41.0,,,61-43,,Shooting foul by G. Hayward (drawn by K. Caldwell-Pope)
6:41.0,,,61-43,,K. Caldwell-Pope misses free throw 1 of 1
6:41.0,,,61-43,,T. Harris enters the game for J. Leuer
6:41.0,D. Exum enters the game for G. Hill,,61-43,,
6:41.0,A. Burks enters the game for J. Ingles,,61-43,,
6:40.0,Defensive rebound by J. Johnson,,61-43,,
6:23.0,G. Hayward makes 2-pt shot from 7 ft (assist by A. Burks),2,63-43,,
6:12.0,,,63-43,,T. Harris misses 2-pt shot from 17 ft
6:12.0,,,63-43,,Offensive rebound by Team
6:12.0,Personal foul by D. Exum (drawn by M. Morris),,63-43,,
5:56.0,,,63-45,2,A. Drummond makes 2-pt shot from 7 ft (assist by M. Morris)
5:45.0,G. Hayward makes 2-pt shot from 8 ft,2,65-45,,
5:45.0,Shooting foul by A. Drummond (drawn by G. Hayward),,65-45,,
5:45.0,,,65-45,,Detroit full timeout
5:45.0,G. Hayward makes free throw 1 of 1,1,66-45,,
5:45.0,,,65-45,,S. Johnson enters the game for M. Morris
5:45.0,B. Diaw enters the game for J. Johnson,,65-45,,
5:25.0,,,66-47,2,T. Harris makes 2-pt shot from 8 ft
5:15.0,,,66-47,,Personal foul by S. Johnson (drawn by G. Hayward)
5:15.0,,,66-47,,Personal foul by S. Johnson (drawn by G. Hayward)
5:08.0,G. Hayward makes 2-pt shot at rim (assist by B. Diaw),2,68-47,,
5:02.0,,,68-47,,Detroit full timeout
5:02.0,,,68-47,,A. Baynes enters the game for A. Drummond
4:54.0,,,68-49,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
4:36.0,R. Gobert makes 2-pt shot at rim (assist by B. Diaw),2,70-49,,
4:36.0,Shooting foul by T. Harris (drawn by R. Gobert),,70-49,,
4:36.0,R. Gobert misses free throw 1 of 1,,70-49,,
4:35.0,,,70-49,,Defensive rebound by A. Baynes
4:16.0,,,70-49,,S. Johnson misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by A. Burks,,70-49,,
4:06.0,A. Burks makes 2-pt shot from 9 ft,2,72-49,,
3:50.0,,,72-51,2,I. Smith makes 2-pt shot from 15 ft
3:28.0,B. Diaw misses 2-pt shot from 13 ft,,72-51,,
3:27.0,,,72-51,,Defensive rebound by I. Smith
3:21.0,,,72-51,,I. Smith misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by R. Gobert,,72-51,,
3:12.0,Turnover by D. Exum (bad pass; steal by T. Harris),,72-51,,
3:03.0,,,72-53,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
2:57.0,Utah full timeout,,72-53,,
2:57.0,J. Ingles enters the game for G. Hayward,,72-53,,
2:57.0,G. Hill enters the game for D. Exum,,72-53,,
2:57.0,,,72-53,,R. Bullock enters the game for K. Caldwell-Pope
2:57.0,,,72-53,,M. Morris enters the game for S. Johnson
2:49.0,R. Gobert misses 2-pt shot at rim,,72-53,,
2:48.0,,,72-53,,Defensive rebound by T. Harris
2:41.0,,,72-55,2,A. Baynes makes 2-pt shot from 12 ft (assist by I. Smith)
2:24.0,Turnover by G. Hill (bad pass),,72-55,,
2:07.0,,,72-57,2,M. Morris makes 2-pt shot from 17 ft
2:04.0,,,72-57,,Personal foul by I. Smith (drawn by G. Hill)
2:04.0,G. Hill makes free throw 1 of 2,1,73-57,,
2:04.0,G. Hill misses free throw 2 of 2,,73-57,,
2:04.0,J. Withey enters the game for R. Gobert,,72-57,,
2:04.0,,,72-57,,J. Leuer enters the game for M. Morris
2:03.0,,,73-57,,Defensive rebound by A. Baynes
1:42.0,,,73-59,2,T. Harris makes 2-pt shot from 1 ft
1:25.0,A. Burks misses 2-pt shot from 6 ft,,73-59,,
1:25.0,Offensive rebound by Team,,73-59,,
1:25.0,R. Neto enters the game for G. Hill,,73-59,,
1:12.0,B. Diaw makes 2-pt shot at rim (assist by A. Burks),2,75-59,,
1:00.0,,,75-61,2,J. Leuer makes 2-pt shot at rim (assist by T. Harris)
0:51.0,B. Diaw makes 2-pt shot from 1 ft,2,77-61,,
0:41.0,Personal foul by R. Neto (drawn by A. Baynes),,77-61,,
0:41.0,J. Johnson enters the game for B. Diaw,,77-61,,
0:34.0,,,77-61,,R. Bullock misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by J. Withey,,77-61,,
0:17.0,J. Ingles misses 3-pt shot from 27 ft,,77-61,,
0:16.0,,,77-61,,Defensive rebound by J. Leuer
0:08.0,,,77-61,,Shooting foul by R. Neto (drawn by I. Smith)
0:08.0,,,77-61,,I. Smith misses free throw 1 of 2
0:08.0,,,77-61,,Offensive rebound by Team
0:08.0,,,77-62,1,I. Smith makes free throw 2 of 2
0:02.0,A. Burks misses 3-pt shot from 27 ft,,77-62,,
0:00.0,Offensive rebound by Team,,77-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,77-62,,Shooting foul by J. Withey (drawn by T. Harris)
11:38.0,,,77-63,1,T. Harris makes free throw 1 of 2
11:38.0,,,77-64,1,T. Harris makes free throw 2 of 2
11:28.0,,,77-64,,Personal foul by T. Harris (drawn by J. Withey)
11:14.0,J. Johnson misses 3-pt shot from 24 ft,,77-64,,
11:14.0,,,77-64,,Defensive rebound by I. Smith
11:04.0,,,77-64,,A. Baynes misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by Team,,77-64,,
10:48.0,J. Ingles makes 3-pt shot from 23 ft,3,80-64,,
10:30.0,,,80-64,,R. Bullock misses 2-pt shot from 16 ft
10:30.0,,,80-64,,Offensive rebound by A. Baynes
10:25.0,,,80-64,,A. Baynes misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by J. Ingles,,80-64,,
10:19.0,Offensive foul by J. Johnson,,80-64,,
10:19.0,Turnover by J. Johnson (offensive foul),,80-64,,
9:58.0,,,80-64,,Turnover by A. Baynes (lost ball; steal by J. Johnson)
9:55.0,R. Neto misses 2-pt shot from 4 ft (block by J. Leuer),,80-64,,
9:55.0,Offensive rebound by Team,,80-64,,
9:44.0,J. Withey misses 2-pt shot from 7 ft,,80-64,,
9:41.0,,,80-64,,Defensive rebound by R. Bullock
9:33.0,,,80-66,2,I. Smith makes 2-pt shot from 14 ft
9:18.0,R. Neto misses 2-pt shot from 14 ft,,80-66,,
9:17.0,,,80-66,,Defensive rebound by J. Leuer
9:08.0,,,80-68,2,I. Smith makes 2-pt shot from 19 ft
9:08.0,Utah full timeout,,80-68,,
9:08.0,,,80-68,,B. Marjanovic enters the game for A. Baynes
9:08.0,G. Hill enters the game for J. Ingles,,80-68,,
9:08.0,R. Gobert enters the game for D. Exum,,80-68,,
9:08.0,G. Hayward enters the game for J. Withey,,80-68,,
8:53.0,J. Johnson makes 2-pt shot from 14 ft (assist by G. Hayward),2,82-68,,
8:34.0,,,82-68,,T. Harris misses 2-pt shot from 7 ft
8:34.0,,,82-68,,Offensive rebound by B. Marjanovic
8:30.0,,,82-68,,B. Marjanovic misses 2-pt shot from 3 ft
8:30.0,Defensive rebound by G. Hayward,,82-68,,
8:10.0,J. Johnson misses 2-pt shot at rim,,82-68,,
8:10.0,,,82-68,,Defensive rebound by Team
8:10.0,Loose ball foul by R. Gobert (drawn by B. Marjanovic),,82-68,,
7:57.0,,,82-68,,Turnover by I. Smith (bad pass; steal by J. Johnson)
7:43.0,G. Hill misses 3-pt shot from 26 ft,,82-68,,
7:43.0,,,82-68,,Defensive rebound by B. Marjanovic
7:25.0,,,82-70,2,I. Smith makes 2-pt shot from 18 ft
7:10.0,D. Exum enters the game for R. Neto,,82-70,,
7:10.0,B. Diaw enters the game for J. Johnson,,82-70,,
6:59.0,G. Hill misses 2-pt shot at rim (block by B. Marjanovic),,82-70,,
6:59.0,,,82-70,,Defensive rebound by R. Bullock
6:58.0,,,82-70,,Shooting foul by D. Exum (drawn by I. Smith)
6:58.0,,,82-70,,I. Smith misses free throw 1 of 2
6:58.0,,,82-70,,Offensive rebound by Team
6:58.0,,,82-71,1,I. Smith makes free throw 2 of 2
6:43.0,G. Hayward misses 2-pt shot from 9 ft,,82-71,,
6:43.0,,,82-71,,Defensive rebound by R. Bullock
6:32.0,,,82-73,2,B. Marjanovic makes 2-pt shot from 5 ft (assist by R. Bullock)
6:12.0,G. Hill makes 2-pt shot from 14 ft (assist by G. Hayward),2,84-73,,
5:49.0,,,84-73,,J. Leuer misses 2-pt shot from 4 ft (block by R. Gobert)
5:48.0,Defensive rebound by R. Gobert,,84-73,,
5:43.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Exum),3,87-73,,
5:33.0,,,87-73,,Detroit full timeout
5:33.0,J. Ingles enters the game for G. Hill,,87-73,,
5:33.0,,,87-73,,M. Morris enters the game for J. Leuer
5:33.0,,,87-73,,K. Caldwell-Pope enters the game for R. Bullock
5:16.0,,,87-75,2,K. Caldwell-Pope makes 2-pt shot from 7 ft (assist by T. Harris)
4:57.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,89-75,,
4:43.0,,,89-75,,M. Morris misses 3-pt shot from 28 ft
4:43.0,Defensive rebound by G. Hayward,,89-75,,
4:28.0,Turnover by G. Hayward (bad pass; steal by B. Marjanovic),,89-75,,
4:22.0,,,89-78,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
4:22.0,,,89-78,,Shooting foul by G. Hayward (drawn by K. Caldwell-Pope)
4:22.0,,,89-78,,K. Caldwell-Pope misses free throw 1 of 1
4:22.0,,,89-78,,A. Baynes enters the game for B. Marjanovic
4:22.0,G. Hill enters the game for D. Exum,,89-78,,
4:21.0,Defensive rebound by B. Diaw,,89-78,,
4:13.0,,,89-78,,Personal foul by T. Harris (drawn by G. Hayward)
3:55.0,B. Diaw misses 2-pt shot from 14 ft,,89-78,,
3:54.0,Offensive rebound by R. Gobert,,89-78,,
3:40.0,Offensive charge foul by R. Gobert,,89-78,,
3:40.0,Turnover by R. Gobert (offensive foul),,89-78,,
3:40.0,J. Johnson enters the game for B. Diaw,,89-78,,
3:26.0,,,89-78,,K. Caldwell-Pope misses 2-pt shot from 9 ft
3:25.0,Defensive rebound by G. Hill,,89-78,,
3:13.0,G. Hayward misses 3-pt shot from 25 ft,,89-78,,
3:13.0,,,89-78,,Defensive rebound by A. Baynes
3:06.0,,,89-78,,I. Smith misses 2-pt shot from 1 ft (block by R. Gobert)
3:05.0,Defensive rebound by G. Hill,,89-78,,
2:56.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill),3,92-78,,
2:38.0,,,92-81,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by A. Baynes)
2:21.0,,,92-81,,Personal foul by A. Baynes (drawn by G. Hayward)
2:21.0,Official timeout,,92-81,,
2:14.0,Turnover by G. Hayward (lost ball),,92-81,,
2:06.0,,,92-81,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:05.0,Defensive rebound by J. Ingles,,92-81,,
1:42.0,J. Ingles misses 2-pt shot from 10 ft,,92-81,,
1:42.0,Offensive rebound by R. Gobert,,92-81,,
1:22.0,G. Hayward makes 3-pt shot from 27 ft (assist by R. Gobert),3,95-81,,
1:09.0,,,95-81,,M. Morris misses 3-pt shot from 27 ft
1:09.0,Defensive rebound by Team,,95-81,,
0:48.0,Shooting foul by M. Morris (drawn by G. Hayward),,95-81,,
0:48.0,G. Hayward makes free throw 1 of 2,1,96-81,,
0:48.0,G. Hayward makes free throw 2 of 2,1,97-81,,
0:48.0,R. Neto enters the game for G. Hill,,96-81,,
0:48.0,J. Withey enters the game for R. Gobert,,96-81,,
