time,Golden State,pts.away,score,pts.home,Atlanta
0:01.0,,,35-40,,Shooting foul by D. Green (drawn by T. Hardaway)
0:01.0,,,35-41,1,T. Hardaway makes free throw 1 of 2
0:01.0,,,35-42,1,T. Hardaway makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,35-42,,D. Schroder misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by D. West,,35-42,,
11:27.0,S. Livingston misses 2-pt shot from 19 ft,,35-42,,
11:25.0,,,35-42,,Defensive rebound by D. Howard
11:19.0,Personal foul by K. Thompson (drawn by D. Schroder),,35-42,,
11:10.0,,,35-42,,Turnover by T. Hardaway (lost ball; steal by A. Iguodala)
11:04.0,Turnover by K. Thompson (bad pass),,35-42,,
10:48.0,,,35-42,,T. Hardaway misses 2-pt shot from 18 ft
10:45.0,,,35-42,,Offensive rebound by Team
10:39.0,,,35-45,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Hardaway)
10:24.0,D. West makes 2-pt shot from 18 ft (assist by D. Green),2,37-45,,
10:04.0,,,37-47,2,D. Schroder makes 2-pt shot from 2 ft
9:58.0,Turnover by D. Green (offensive foul),,37-47,,
9:58.0,Offensive charge foul by D. Green,,37-47,,
9:58.0,,,37-47,,K. Bazemore enters the game for T. Hardaway
9:47.0,,,37-47,,D. Schroder misses 2-pt shot from 18 ft
9:46.0,,,37-47,,Offensive rebound by Team
9:46.0,M. Barnes enters the game for D. Green,,37-47,,
9:46.0,,,37-47,,T. Hardaway enters the game for D. Schroder
9:44.0,,,37-47,,Offensive foul by T. Hardaway
9:44.0,,,37-47,,Turnover by T. Hardaway (offensive foul)
9:28.0,D. West misses 2-pt shot from 19 ft,,37-47,,
9:27.0,,,37-47,,Defensive rebound by E. Ilyasova
9:15.0,,,37-47,,Shooting foul by K. Thompson (drawn by E. Ilyasova)
9:15.0,,,37-48,1,E. Ilyasova makes free throw 1 of 2
9:15.0,,,37-48,,E. Ilyasova misses free throw 2 of 2
9:15.0,I. Clark enters the game for K. Thompson,,37-48,,
9:14.0,Defensive rebound by M. Barnes,,37-48,,
9:05.0,Turnover by D. West (bad pass; steal by T. Hardaway),,37-48,,
9:00.0,,,37-50,2,T. Hardaway makes 2-pt shot from 1 ft
9:00.0,Golden State full timeout,,37-50,,
8:44.0,S. Livingston misses 2-pt shot from 14 ft,,37-50,,
8:42.0,,,37-50,,Defensive rebound by D. Howard
8:19.0,,,37-52,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by M. Delaney)
8:12.0,,,37-52,,Personal foul by D. Howard (drawn by D. West)
8:08.0,D. West makes 2-pt shot from 20 ft (assist by S. Livingston),2,39-52,,
7:54.0,,,39-52,,M. Delaney misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by M. Barnes,,39-52,,
7:42.0,S. Livingston misses 2-pt shot from 15 ft,,39-52,,
7:40.0,Offensive rebound by M. Barnes,,39-52,,
7:37.0,S. Livingston makes 2-pt shot at rim (assist by M. Barnes),2,41-52,,
7:27.0,,,41-52,,Shooting foul by S. Livingston (drawn by K. Bazemore)
7:27.0,,,41-53,1,K. Bazemore makes free throw 1 of 2
7:27.0,,,41-53,,K. Bazemore misses free throw 2 of 2
7:27.0,,,41-53,,T. Sefolosha enters the game for E. Ilyasova
7:25.0,Defensive rebound by M. Barnes,,41-53,,
7:10.0,A. Iguodala misses 3-pt shot from 23 ft,,41-53,,
7:09.0,Offensive rebound by M. Barnes,,41-53,,
7:09.0,Shooting foul by K. Bazemore (drawn by M. Barnes),,41-53,,
7:09.0,M. Barnes makes free throw 1 of 2,1,42-53,,
7:09.0,M. Barnes makes free throw 2 of 2,1,43-53,,
6:45.0,,,43-53,,K. Bazemore misses 3-pt shot from 23 ft
6:43.0,,,43-53,,Offensive rebound by M. Delaney
6:39.0,,,43-53,,T. Hardaway misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by D. West,,43-53,,
6:32.0,Shooting foul by K. Bazemore (drawn by A. Iguodala),,43-53,,
6:32.0,A. Iguodala makes free throw 1 of 2,1,44-53,,
6:32.0,A. Iguodala misses free throw 2 of 2,,44-53,,
6:32.0,,,44-53,,D. Schroder enters the game for T. Hardaway
6:32.0,,,44-53,,P. Millsap enters the game for M. Delaney
6:26.0,,,44-53,,Defensive rebound by D. Howard
6:23.0,,,44-53,,Atlanta full timeout
6:19.0,,,44-53,,Turnover by D. Schroder (bad pass; steal by I. Clark)
6:04.0,D. West makes 2-pt shot from 20 ft (assist by M. Barnes),2,46-53,,
5:48.0,,,46-53,,T. Sefolosha misses 2-pt shot at rim
5:46.0,,,46-53,,Offensive rebound by D. Howard
5:46.0,,,46-55,2,D. Howard makes 2-pt shot at rim
5:19.0,M. Barnes misses 2-pt shot from 19 ft,,46-55,,
5:18.0,,,46-55,,Defensive rebound by D. Howard
5:04.0,,,46-55,,D. Schroder misses 3-pt shot from 24 ft
5:02.0,,,46-55,,Offensive rebound by D. Howard
5:02.0,,,46-55,,Shooting foul by S. Livingston (drawn by D. Howard)
5:02.0,,,46-55,,D. Howard misses free throw 1 of 2
5:02.0,,,46-55,,Offensive rebound by Team
5:02.0,,,46-55,,D. Howard misses free throw 2 of 2
5:02.0,Z. Pachulia enters the game for D. West,,46-55,,
5:02.0,S. Curry enters the game for I. Clark,,46-55,,
4:59.0,Defensive rebound by A. Iguodala,,46-55,,
4:48.0,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Livingston),3,49-55,,
4:34.0,,,49-55,,D. Howard misses 2-pt shot at rim
4:32.0,Defensive rebound by S. Livingston,,49-55,,
4:24.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by A. Iguodala),2,51-55,,
4:07.0,,,51-58,3,K. Bazemore makes 3-pt shot from 24 ft
3:53.0,Z. Pachulia misses 2-pt shot from 16 ft,,51-58,,
3:52.0,,,51-58,,Defensive rebound by D. Howard
3:48.0,,,51-58,,K. Bazemore misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by M. Barnes,,51-58,,
3:39.0,Turnover by S. Curry (bad pass),,51-58,,
3:39.0,,,51-58,,E. Ilyasova enters the game for D. Howard
3:25.0,,,51-60,2,P. Millsap makes 2-pt shot from 8 ft (assist by D. Schroder)
3:12.0,Turnover by M. Barnes (bad pass; steal by E. Ilyasova),,51-60,,
3:05.0,,,51-60,,D. Schroder misses 2-pt shot from 8 ft
3:03.0,,,51-60,,Offensive rebound by D. Schroder
2:54.0,,,51-60,,T. Sefolosha misses 2-pt shot from 6 ft
2:51.0,Defensive rebound by A. Iguodala,,51-60,,
2:41.0,Shooting foul by P. Millsap (drawn by S. Curry),,51-60,,
2:41.0,Official timeout,,51-60,,
2:41.0,S. Curry makes free throw 1 of 2,1,52-60,,
2:41.0,S. Curry makes free throw 2 of 2,1,53-60,,
2:41.0,,,51-60,,T. Hardaway enters the game for T. Sefolosha
2:41.0,I. Clark enters the game for Z. Pachulia,,51-60,,
2:41.0,P. McCaw enters the game for M. Barnes,,51-60,,
2:41.0,J. McAdoo enters the game for S. Livingston,,51-60,,
2:22.0,,,53-60,,P. Millsap misses 2-pt shot from 10 ft
2:20.0,Defensive rebound by S. Curry,,53-60,,
2:15.0,,,53-60,,Shooting block foul by T. Hardaway (drawn by I. Clark)
2:15.0,I. Clark makes free throw 1 of 2,1,54-60,,
2:15.0,I. Clark makes free throw 2 of 2,1,55-60,,
2:02.0,,,55-60,,Turnover by K. Bazemore (lost ball; steal by A. Iguodala)
2:02.0,,,55-60,,Personal foul by K. Bazemore (drawn by A. Iguodala)
2:02.0,A. Iguodala makes free throw 1 of 2,1,56-60,,
2:02.0,A. Iguodala misses free throw 2 of 2,,56-60,,
2:02.0,,,56-60,,T. Sefolosha enters the game for K. Bazemore
1:59.0,,,56-60,,Defensive rebound by D. Schroder
1:56.0,Violation by J. McAdoo (def goaltending),,56-60,,
1:56.0,,,56-62,2,D. Schroder makes 2-pt shot from 2 ft
1:42.0,I. Clark makes 3-pt shot from 24 ft (assist by A. Iguodala),3,59-62,,
1:24.0,,,59-62,,P. Millsap misses 3-pt shot from 25 ft
1:22.0,,,59-62,,Offensive rebound by T. Sefolosha
1:22.0,,,59-64,2,T. Sefolosha makes 2-pt shot from 1 ft
1:07.0,I. Clark makes 2-pt shot from 2 ft (assist by S. Curry),2,61-64,,
0:50.0,,,61-64,,Turnover by P. Millsap (bad pass; steal by J. McAdoo)
0:48.0,Turnover by J. McAdoo (bad pass; steal by D. Schroder),,61-64,,
0:44.0,,,61-64,,T. Hardaway misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by P. McCaw,,61-64,,
0:38.0,S. Curry misses 3-pt shot from 27 ft,,61-64,,
0:35.0,,,61-64,,Defensive rebound by T. Sefolosha
0:27.0,,,61-66,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. Sefolosha)
0:05.0,I. Clark misses 2-pt shot from 16 ft,,61-66,,
0:03.0,,,61-66,,Defensive rebound by P. Millsap
0:00.0,,,61-66,,T. Hardaway misses 3-pt shot from 45 ft
0:00.0,,,61-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,61-66,,Turnover by D. Howard (bad pass)
11:21.0,P. McCaw makes 3-pt shot from 24 ft (assist by S. Curry),3,64-66,,
11:12.0,,,64-66,,K. Bazemore misses 2-pt shot at rim
11:10.0,Defensive rebound by Z. Pachulia,,64-66,,
11:04.0,K. Thompson makes 2-pt shot from 12 ft,2,66-66,,
10:40.0,Personal foul by S. Curry (drawn by P. Millsap),,66-66,,
10:30.0,,,66-66,,D. Schroder misses 2-pt shot from 3 ft
10:28.0,,,66-66,,Offensive rebound by D. Howard
10:27.0,,,66-68,2,D. Howard makes 2-pt shot from 2 ft
10:15.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,69-68,,
10:02.0,,,69-70,2,P. Millsap makes 2-pt shot from 15 ft
9:54.0,Jump ball: S. Curry vs. P. Millsap (Z. Pachulia gains possession),,,,Jump ball: S. Curry vs. P. Millsap (Z. Pachulia gains possession)
9:45.0,D. Green misses 3-pt shot from 24 ft,,69-70,,
9:43.0,,,69-70,,Defensive rebound by D. Howard
9:42.0,,,69-70,,Turnover by D. Howard (bad pass)
9:39.0,S. Curry makes 3-pt shot from 26 ft (assist by K. Thompson),3,72-70,,
9:39.0,,,72-70,,Atlanta full timeout
9:20.0,,,72-70,,D. Schroder misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by P. McCaw,,72-70,,
9:14.0,P. McCaw makes 3-pt shot from 25 ft,3,75-70,,
8:54.0,,,75-70,,P. Millsap misses 2-pt shot from 8 ft
8:52.0,,,75-70,,Offensive rebound by D. Howard
8:50.0,,,75-70,,P. Millsap misses 2-pt shot from 5 ft
8:47.0,Defensive rebound by S. Curry,,75-70,,
8:41.0,,,75-70,,Personal foul by D. Howard (drawn by Z. Pachulia)
8:41.0,,,75-70,,T. Hardaway enters the game for D. Schroder
8:34.0,Z. Pachulia misses 2-pt shot from 4 ft (block by D. Howard),,75-70,,
8:32.0,,,75-70,,Defensive rebound by P. Millsap
8:21.0,,,75-70,,Turnover by T. Sefolosha (bad pass; steal by P. McCaw)
8:13.0,S. Curry misses 3-pt shot from 25 ft,,75-70,,
8:12.0,Offensive rebound by D. Green,,75-70,,
8:03.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,77-70,,
7:50.0,,,77-72,2,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Sefolosha)
7:45.0,,,77-72,,Personal foul by K. Bazemore (drawn by K. Thompson)
7:34.0,S. Curry misses 3-pt shot from 25 ft,,77-72,,
7:33.0,,,77-72,,Defensive rebound by D. Howard
7:14.0,,,77-74,2,P. Millsap makes 2-pt shot from 2 ft
7:02.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,80-74,,
6:48.0,,,80-74,,Turnover by P. Millsap (lost ball; steal by D. Green)
6:43.0,,,80-74,,Violation by P. Millsap (kicked ball)
6:36.0,S. Curry makes 3-pt shot from 25 ft,3,83-74,,
6:22.0,,,83-74,,Turnover by K. Bazemore (bad pass; steal by D. Green)
6:16.0,S. Curry misses 2-pt shot from 9 ft,,83-74,,
6:15.0,Offensive rebound by Z. Pachulia,,83-74,,
6:15.0,Z. Pachulia misses 2-pt shot from 1 ft,,83-74,,
6:13.0,,,83-74,,Defensive rebound by T. Sefolosha
6:10.0,,,83-74,,Offensive charge foul by T. Hardaway
6:10.0,,,83-74,,Turnover by T. Hardaway (offensive foul)
5:59.0,S. Curry misses 3-pt shot from 25 ft,,83-74,,
5:57.0,,,83-74,,Defensive rebound by D. Howard
5:52.0,,,83-76,2,K. Bazemore makes 2-pt shot from 3 ft
5:39.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green),2,85-76,,
5:23.0,,,85-76,,K. Bazemore misses 2-pt shot from 21 ft
5:21.0,,,85-76,,Offensive rebound by P. Millsap
5:16.0,,,85-76,,Turnover by T. Hardaway (lost ball)
5:16.0,,,85-76,,M. Delaney enters the game for K. Bazemore
5:06.0,,,85-76,,Personal foul by P. Millsap (drawn by D. Green)
5:06.0,J. McGee enters the game for P. McCaw,,85-76,,
5:06.0,A. Iguodala enters the game for Z. Pachulia,,85-76,,
4:54.0,D. Green misses 2-pt shot from 4 ft,,85-76,,
4:52.0,Offensive rebound by D. Green,,85-76,,
4:49.0,Turnover by J. McGee (3 sec),,85-76,,
4:36.0,,,85-76,,T. Sefolosha misses 2-pt shot from 2 ft (block by J. McGee)
4:34.0,Defensive rebound by S. Curry,,85-76,,
4:31.0,,,85-76,,Personal foul by T. Sefolosha (drawn by J. McGee)
4:31.0,M. Barnes enters the game for D. Green,,85-76,,
4:31.0,,,85-76,,T. Waller-Prince enters the game for T. Sefolosha
4:31.0,,,85-76,,E. Ilyasova enters the game for D. Howard
4:28.0,K. Thompson makes 2-pt shot from 20 ft (assist by S. Curry),2,87-76,,
4:04.0,,,87-79,3,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
3:55.0,K. Thompson misses 3-pt shot from 26 ft,,87-79,,
3:55.0,,,87-79,,Defensive rebound by Team
3:45.0,,,87-79,,T. Hardaway misses 2-pt shot from 21 ft
3:44.0,,,87-79,,Offensive rebound by P. Millsap
3:36.0,,,87-79,,P. Millsap misses 2-pt shot from 1 ft
3:34.0,Defensive rebound by M. Barnes,,87-79,,
3:28.0,S. Curry misses 3-pt shot from 23 ft,,87-79,,
3:26.0,Offensive rebound by A. Iguodala,,87-79,,
3:22.0,K. Thompson misses 3-pt shot from 26 ft,,87-79,,
3:21.0,,,87-79,,Defensive rebound by M. Delaney
3:17.0,,,87-81,2,T. Hardaway makes 2-pt shot at rim (assist by M. Delaney)
3:13.0,Golden State full timeout,,87-81,,
3:13.0,I. Clark enters the game for K. Thompson,,87-81,,
3:00.0,J. McGee misses 2-pt shot at rim,,87-81,,
2:57.0,,,87-81,,Defensive rebound by P. Millsap
2:46.0,,,87-81,,Shooting foul by J. McGee (drawn by P. Millsap)
2:46.0,,,87-82,1,P. Millsap makes free throw 1 of 2
2:46.0,,,87-83,1,P. Millsap makes free throw 2 of 2
2:23.0,A. Iguodala makes 2-pt shot from 17 ft,2,89-83,,
2:04.0,,,89-83,,T. Hardaway misses 2-pt shot from 2 ft (block by M. Barnes)
2:02.0,,,89-83,,Offensive rebound by T. Hardaway
2:01.0,,,89-85,2,T. Hardaway makes 2-pt shot from 1 ft
1:51.0,S. Curry misses 2-pt shot from 21 ft,,89-85,,
1:49.0,Offensive rebound by S. Curry,,89-85,,
1:46.0,S. Curry misses 3-pt shot from 25 ft,,89-85,,
1:45.0,,,89-85,,Defensive rebound by Team
1:45.0,Loose ball foul by J. McGee (drawn by E. Ilyasova),,89-85,,
1:45.0,D. Green enters the game for J. McGee,,89-85,,
1:29.0,,,89-85,,Turnover by E. Ilyasova (lost ball)
1:19.0,,,89-85,,Personal foul by T. Waller-Prince (drawn by A. Iguodala)
1:19.0,A. Iguodala makes free throw 1 of 2,1,90-85,,
1:19.0,A. Iguodala makes free throw 2 of 2,1,91-85,,
1:02.0,,,91-87,2,T. Hardaway makes 2-pt shot from 2 ft (assist by P. Millsap)
0:51.0,M. Barnes misses 3-pt shot from 24 ft,,91-87,,
0:49.0,Offensive rebound by A. Iguodala,,91-87,,
0:46.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,94-87,,
0:21.0,,,94-90,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by P. Millsap)
0:02.0,Turnover by S. Curry (bad pass; steal by T. Hardaway),,94-90,,
0:00.0,,,94-90,,T. Hardaway misses 3-pt shot from 54 ft
0:00.0,,,94-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by D. West (lost ball; steal by E. Ilyasova),,94-90,,
11:35.0,,,94-90,,P. Millsap misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by D. Green,,94-90,,
11:12.0,D. Green misses 3-pt shot from 26 ft,,94-90,,
11:11.0,,,94-90,,Defensive rebound by E. Ilyasova
11:02.0,,,94-93,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Hardaway)
10:33.0,D. West makes 2-pt shot from 1 ft,2,96-93,,
10:16.0,,,96-93,,T. Hardaway misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by D. Green,,96-93,,
10:09.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,99-93,,
9:46.0,,,99-93,,E. Ilyasova misses 2-pt shot from 2 ft (block by A. Iguodala)
9:43.0,Defensive rebound by D. Green,,99-93,,
9:39.0,K. Thompson misses 3-pt shot from 26 ft,,99-93,,
9:36.0,Offensive rebound by A. Iguodala,,99-93,,
9:25.0,D. West makes 2-pt shot at rim (assist by D. Green),2,101-93,,
9:24.0,,,101-93,,Atlanta full timeout
9:24.0,,,101-93,,D. Howard enters the game for P. Millsap
9:24.0,,,101-93,,K. Bazemore enters the game for T. Hardaway
9:03.0,,,101-93,,Turnover by K. Bazemore (bad pass; steal by D. Green)
8:56.0,D. Green misses 2-pt shot from 5 ft (block by T. Waller-Prince),,101-93,,
8:56.0,Offensive rebound by Team,,101-93,,
8:51.0,K. Thompson misses 2-pt shot from 19 ft,,101-93,,
8:49.0,,,101-93,,Defensive rebound by K. Bazemore
8:34.0,,,101-93,,M. Delaney misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by S. Livingston,,101-93,,
8:26.0,,,101-93,,Personal foul by E. Ilyasova (drawn by D. Green)
8:20.0,D. West misses 2-pt shot from 20 ft,,101-93,,
8:19.0,,,101-93,,Defensive rebound by T. Waller-Prince
8:04.0,,,101-93,,K. Bazemore misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by Team,,101-93,,
8:04.0,,,101-93,,Loose ball foul by D. Howard (drawn by A. Iguodala)
8:04.0,,,101-93,,T. Hardaway enters the game for M. Delaney
7:48.0,S. Livingston misses 2-pt shot from 11 ft,,101-93,,
7:46.0,,,101-93,,Defensive rebound by D. Howard
