time,Philadelphia,pts.away,score,pts.home,Houston
9:46.0,J. Okafor misses 2-pt shot from 3 ft (block by C. Brewer),,30-44,,
9:41.0,Offensive rebound by J. Okafor,,30-44,,
9:38.0,J. Okafor misses 2-pt shot from 3 ft,,30-44,,
9:33.0,,,30-44,,Defensive rebound by C. Capela
9:32.0,,,30-44,,Offensive charge foul by C. Brewer
9:32.0,,,30-44,,Turnover by C. Brewer (offensive foul)
9:24.0,,,30-44,,Personal foul by C. Brewer (drawn by N. Stauskas)
9:10.0,Shooting foul by C. Brewer (drawn by D. Saric),,30-44,,
9:10.0,D. Saric makes free throw 1 of 2,1,31-44,,
9:10.0,D. Saric makes free throw 2 of 2,1,32-44,,
9:10.0,R. Covington enters the game for N. Stauskas,,31-44,,
9:01.0,,,32-47,3,R. Anderson makes 3-pt shot from 26 ft
8:41.0,S. Rodriguez misses 3-pt shot from 24 ft,,32-47,,
8:39.0,,,32-47,,Defensive rebound by C. Brewer
8:38.0,Personal foul by R. Covington (drawn by T. Ennis),,32-47,,
8:38.0,Official timeout,,32-47,,
8:38.0,N. Stauskas enters the game for R. Covington,,32-47,,
8:38.0,,,32-47,,T. Ariza enters the game for C. Brewer
8:24.0,,,32-50,3,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson)
8:05.0,J. Okafor misses 2-pt shot from 7 ft (block by C. Capela),,32-50,,
8:02.0,,,32-50,,Defensive rebound by T. Ariza
7:58.0,,,32-50,,R. Anderson misses 3-pt shot from 29 ft
7:57.0,Defensive rebound by S. Rodriguez,,32-50,,
7:42.0,D. Saric misses 2-pt shot from 10 ft,,32-50,,
7:40.0,Offensive rebound by J. Okafor,,32-50,,
7:36.0,J. Okafor misses 2-pt shot from 5 ft,,32-50,,
7:35.0,,,32-50,,Defensive rebound by C. Capela
7:20.0,,,32-53,3,E. Gordon makes 3-pt shot from 27 ft
7:18.0,Philadelphia full timeout,,32-53,,
7:18.0,J. Embiid enters the game for J. Okafor,,32-53,,
7:05.0,,,32-53,,Personal foul by T. Ennis (drawn by D. Saric)
6:52.0,J. Embiid misses 2-pt shot from 6 ft,,32-53,,
6:48.0,Offensive rebound by D. Saric,,32-53,,
6:48.0,D. Saric makes 2-pt shot from 1 ft,2,34-53,,
6:35.0,,,34-53,,Turnover by E. Gordon (bad pass; steal by G. Henderson)
6:31.0,Shooting foul by T. Ariza (drawn by G. Henderson),,34-53,,
6:31.0,G. Henderson makes free throw 1 of 2,1,35-53,,
6:31.0,G. Henderson makes free throw 2 of 2,1,36-53,,
6:31.0,,,35-53,,J. Harden enters the game for T. Ennis
6:31.0,,,35-53,,S. Dekker enters the game for E. Gordon
6:16.0,,,36-53,,J. Harden misses 2-pt shot from 8 ft
6:16.0,Defensive rebound by Team,,36-53,,
5:54.0,S. Rodriguez makes 2-pt shot from 4 ft (assist by G. Henderson),2,38-53,,
5:30.0,,,38-53,,J. Harden misses 2-pt shot from 19 ft
5:29.0,Defensive rebound by J. Embiid,,38-53,,
5:17.0,G. Henderson makes 2-pt shot from 16 ft,2,40-53,,
5:01.0,,,40-53,,R. Anderson misses 3-pt shot from 26 ft
4:58.0,,,40-53,,Offensive rebound by S. Dekker
4:51.0,,,40-53,,Shooting foul by J. Embiid (drawn by C. Capela)
4:51.0,,,40-54,1,C. Capela makes free throw 1 of 2
4:51.0,,,40-55,1,C. Capela makes free throw 2 of 2
4:43.0,S. Rodriguez misses 2-pt shot from 1 ft,,40-55,,
4:42.0,,,40-55,,Defensive rebound by C. Capela
4:38.0,,,40-57,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
4:29.0,D. Saric misses 3-pt shot from 25 ft,,40-57,,
4:27.0,,,40-57,,Defensive rebound by C. Capela
4:22.0,,,40-57,,R. Anderson misses 3-pt shot from 27 ft
4:20.0,,,40-57,,Offensive rebound by S. Dekker
4:18.0,,,40-59,2,C. Capela makes 2-pt shot from 3 ft
4:18.0,,,40-59,,Shooting foul by N. Stauskas (drawn by C. Capela)
4:18.0,,,40-59,,C. Capela misses free throw 1 of 1
4:18.0,Defensive rebound by J. Embiid,,40-59,,
3:59.0,N. Stauskas misses 3-pt shot from 26 ft,,40-59,,
3:58.0,,,40-59,,Defensive rebound by C. Capela
3:42.0,,,40-59,,J. Harden misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by D. Saric,,40-59,,
3:31.0,G. Henderson makes 3-pt shot from 23 ft (assist by D. Saric),3,43-59,,
3:23.0,,,43-59,,R. Anderson misses 2-pt shot from 6 ft (block by J. Embiid)
3:21.0,Defensive rebound by S. Rodriguez,,43-59,,
3:18.0,N. Stauskas makes 2-pt shot at rim (assist by S. Rodriguez),2,45-59,,
3:18.0,,,45-59,,Houston full timeout
3:18.0,J. Okafor enters the game for D. Saric,,45-59,,
3:18.0,E. Ilyasova enters the game for J. Embiid,,45-59,,
3:18.0,,,45-59,,N. Hilario enters the game for C. Capela
3:18.0,,,45-59,,E. Gordon enters the game for S. Dekker
3:03.0,,,45-59,,Turnover by N. Hilario (lost ball)
2:56.0,S. Rodriguez misses 2-pt shot from 3 ft,,45-59,,
2:54.0,,,45-59,,Defensive rebound by T. Ariza
2:47.0,,,45-61,2,N. Hilario makes 2-pt shot from 2 ft (assist by E. Gordon)
2:29.0,E. Ilyasova misses 2-pt shot from 20 ft,,45-61,,
2:28.0,,,45-61,,Defensive rebound by T. Ariza
2:19.0,,,45-61,,T. Ariza misses 2-pt shot from 9 ft
2:17.0,,,45-61,,Offensive rebound by Team
2:17.0,,,45-61,,S. Dekker enters the game for R. Anderson
2:17.0,T. McConnell enters the game for S. Rodriguez,,45-61,,
2:17.0,R. Covington enters the game for N. Stauskas,,45-61,,
2:14.0,,,45-63,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Ariza)
1:49.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by J. Okafor),2,47-63,,
1:38.0,,,47-63,,Offensive foul by N. Hilario
1:38.0,,,47-63,,Turnover by N. Hilario (offensive foul)
1:18.0,E. Ilyasova misses 2-pt shot from 22 ft,,47-63,,
1:17.0,Offensive rebound by Team,,47-63,,
1:04.0,J. Okafor misses 2-pt shot from 12 ft,,47-63,,
1:03.0,,,47-63,,Defensive rebound by J. Harden
0:58.0,,,47-63,,Shooting foul by J. Okafor (drawn by N. Hilario)
0:58.0,,,47-63,,N. Hilario misses free throw 1 of 2
0:58.0,,,47-63,,Offensive rebound by Team
0:58.0,,,47-63,,N. Hilario misses free throw 2 of 2
0:58.0,,,47-63,,Offensive rebound by S. Dekker
0:58.0,H. Thompson enters the game for R. Covington,,47-63,,
0:52.0,,,47-63,,J. Harden misses 3-pt shot from 27 ft
0:51.0,Defensive rebound by E. Ilyasova,,47-63,,
0:30.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,50-63,,
0:27.0,,,50-63,,Turnover by J. Harden (lost ball; steal by G. Henderson)
0:25.0,G. Henderson makes 2-pt shot at rim,2,52-63,,
0:03.0,,,52-63,,J. Harden misses 2-pt shot from 5 ft
0:01.0,,,52-63,,Offensive rebound by N. Hilario
0:01.0,,,52-65,2,N. Hilario makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,52-65,,R. Anderson misses 3-pt shot from 26 ft
11:37.0,,,52-65,,Offensive rebound by C. Capela
11:33.0,,,52-68,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Capela)
11:21.0,G. Henderson misses 2-pt shot from 21 ft,,52-68,,
11:18.0,,,52-68,,Defensive rebound by J. Harden
11:12.0,,,52-68,,C. Capela misses 2-pt shot at rim (block by G. Henderson)
11:09.0,Defensive rebound by D. Saric,,52-68,,
11:01.0,R. Covington misses 3-pt shot from 27 ft,,52-68,,
11:00.0,,,52-68,,Defensive rebound by C. Capela
10:51.0,,,52-68,,T. Ariza misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by J. Embiid,,52-68,,
10:33.0,Turnover by J. Embiid (bad pass; steal by T. Ariza),,52-68,,
10:18.0,,,52-70,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
10:18.0,Philadelphia full timeout,,52-70,,
9:56.0,Shooting foul by E. Gordon (drawn by R. Covington),,52-70,,
9:56.0,R. Covington makes free throw 1 of 2,1,53-70,,
9:56.0,R. Covington makes free throw 2 of 2,1,54-70,,
9:44.0,,,54-70,,T. Ariza misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by R. Covington,,54-70,,
9:24.0,R. Covington misses 3-pt shot from 26 ft,,54-70,,
9:23.0,Offensive rebound by Team,,54-70,,
9:09.0,J. Embiid makes 2-pt shot from 8 ft (assist by S. Rodriguez),2,56-70,,
8:56.0,,,56-72,2,R. Anderson makes 2-pt shot from 20 ft
8:44.0,R. Covington misses 2-pt shot from 7 ft,,56-72,,
8:39.0,,,56-72,,Defensive rebound by C. Capela
8:33.0,,,56-75,3,J. Harden makes 3-pt shot from 25 ft
8:18.0,J. Embiid misses 3-pt shot from 25 ft,,56-75,,
8:17.0,,,56-75,,Defensive rebound by R. Anderson
8:10.0,,,56-78,3,J. Harden makes 3-pt shot from 25 ft
8:09.0,Philadelphia full timeout,,56-78,,
7:50.0,D. Saric makes 2-pt shot from 18 ft,2,58-78,,
7:34.0,,,58-78,,T. Ariza misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by J. Embiid,,58-78,,
7:19.0,Shooting foul by J. Harden (drawn by R. Covington),,58-78,,
7:19.0,R. Covington makes free throw 1 of 2,1,59-78,,
7:19.0,R. Covington makes free throw 2 of 2,1,60-78,,
7:19.0,R. Holmes enters the game for J. Embiid,,59-78,,
7:08.0,,,60-80,2,J. Harden makes 2-pt shot from 3 ft
6:56.0,S. Rodriguez misses 2-pt shot from 19 ft,,60-80,,
6:54.0,,,60-80,,Defensive rebound by R. Anderson
6:49.0,,,60-80,,J. Harden misses 3-pt shot from 29 ft
6:45.0,,,60-80,,Offensive rebound by C. Capela
6:39.0,,,60-80,,T. Ariza misses 3-pt shot from 23 ft
6:38.0,,,60-80,,Offensive rebound by R. Anderson
6:38.0,T. McConnell enters the game for S. Rodriguez,,60-80,,
6:35.0,Personal foul by R. Covington (drawn by R. Anderson),,60-80,,
6:34.0,Personal foul by G. Henderson (drawn by T. Ariza),,60-80,,
6:19.0,,,60-80,,J. Harden misses 2-pt shot from 14 ft
6:17.0,Defensive rebound by R. Holmes,,60-80,,
5:58.0,G. Henderson misses 2-pt shot from 3 ft (block by C. Capela),,60-80,,
5:56.0,,,60-80,,Defensive rebound by C. Capela
5:48.0,,,60-80,,E. Gordon misses 3-pt shot from 31 ft
5:47.0,,,60-80,,Offensive rebound by C. Capela
5:45.0,N. Stauskas enters the game for G. Henderson,,60-80,,
5:45.0,,,60-80,,S. Dekker enters the game for E. Gordon
5:35.0,,,60-83,3,T. Ariza makes 3-pt shot from 25 ft
5:18.0,R. Covington makes 3-pt shot from 26 ft (assist by R. Holmes),3,63-83,,
5:05.0,,,63-85,2,S. Dekker makes 2-pt shot from 3 ft (assist by J. Harden)
4:48.0,R. Covington misses 3-pt shot from 26 ft,,63-85,,
4:48.0,,,63-85,,Defensive rebound by Team
4:36.0,,,63-85,,C. Capela misses 2-pt shot from 8 ft
4:33.0,Defensive rebound by D. Saric,,63-85,,
4:20.0,R. Covington misses 3-pt shot from 23 ft,,63-85,,
4:18.0,,,63-85,,Defensive rebound by R. Anderson
4:12.0,,,63-88,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
3:52.0,D. Saric misses 2-pt shot from 17 ft,,63-88,,
3:50.0,,,63-88,,Defensive rebound by J. Harden
3:44.0,,,63-90,2,J. Harden makes 2-pt shot from 7 ft
3:44.0,Philadelphia full timeout,,63-90,,
3:44.0,,,63-90,,N. Hilario enters the game for C. Capela
3:44.0,E. Ilyasova enters the game for R. Covington,,63-90,,
3:44.0,H. Thompson enters the game for D. Saric,,63-90,,
3:20.0,E. Ilyasova misses 2-pt shot from 20 ft,,63-90,,
3:20.0,,,63-90,,Defensive rebound by Team
3:20.0,Loose ball foul by H. Thompson (drawn by T. Ariza),,63-90,,
3:20.0,J. Embiid enters the game for R. Holmes,,63-90,,
3:00.0,,,63-92,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
2:41.0,Offensive foul by J. Embiid,,63-92,,
2:41.0,Turnover by J. Embiid (offensive foul),,63-92,,
2:38.0,,,63-92,,C. Brewer enters the game for R. Anderson
2:23.0,,,63-92,,N. Hilario misses 3-pt shot from 25 ft
2:22.0,,,63-92,,Offensive rebound by S. Dekker
2:12.0,,,63-92,,Turnover by N. Hilario (lost ball; steal by T. McConnell)
2:07.0,Shooting foul by S. Dekker (drawn by N. Stauskas),,63-92,,
2:07.0,N. Stauskas misses free throw 1 of 2,,63-92,,
2:07.0,Offensive rebound by Team,,63-92,,
2:07.0,N. Stauskas makes free throw 2 of 2,1,64-92,,
1:55.0,,,64-92,,Shooting foul by J. Embiid (drawn by N. Hilario)
1:55.0,,,64-93,1,N. Hilario makes free throw 1 of 2
1:55.0,,,64-93,,N. Hilario misses free throw 2 of 2
1:55.0,Defensive rebound by J. Embiid,,64-93,,
1:38.0,Turnover by J. Embiid (bad pass),,64-93,,
1:30.0,Violation by J. Embiid (kicked ball),,64-93,,
1:16.0,,,64-93,,J. Harden misses 3-pt shot from 27 ft
1:14.0,,,64-93,,Offensive rebound by N. Hilario
1:08.0,,,64-93,,Turnover by J. Harden (lost ball; steal by H. Thompson)
1:05.0,H. Thompson misses 2-pt shot from 2 ft (block by J. Harden),,64-93,,
1:05.0,Offensive rebound by Team,,64-93,,
0:56.0,,,64-93,,Personal foul by S. Dekker (drawn by E. Ilyasova)
0:45.0,N. Stauskas misses 3-pt shot from 24 ft,,64-93,,
0:44.0,Offensive rebound by T. McConnell,,64-93,,
0:44.0,T. McConnell makes 2-pt shot from 3 ft,2,66-93,,
0:38.0,,,66-93,,T. Ariza misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by E. Ilyasova,,66-93,,
0:27.0,J. Embiid makes 2-pt shot from 2 ft (assist by T. McConnell),2,68-93,,
0:03.0,,,68-93,,Turnover by Team (shot clock)
0:00.0,T. McConnell misses 3-pt shot from 34 ft,,68-93,,
0:00.0,Offensive rebound by Team,,68-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by J. Embiid (lost ball),,68-93,,
11:31.0,,,68-93,,E. Gordon misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by J. Embiid,,68-93,,
11:19.0,E. Ilyasova misses 2-pt shot from 17 ft,,68-93,,
11:18.0,Offensive rebound by J. Embiid,,68-93,,
10:59.0,G. Henderson misses 2-pt shot from 8 ft,,68-93,,
10:57.0,,,68-93,,Defensive rebound by S. Dekker
10:43.0,,,68-93,,Turnover by C. Brewer (lost ball; steal by G. Henderson)
10:37.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by G. Henderson),2,70-93,,
10:15.0,,,70-95,2,N. Hilario makes 2-pt shot from 19 ft
10:00.0,T. McConnell misses 2-pt shot from 20 ft,,70-95,,
9:58.0,,,70-95,,Defensive rebound by S. Dekker
9:46.0,,,70-95,,S. Dekker misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by Team,,70-95,,
9:46.0,S. Rodriguez enters the game for T. McConnell,,70-95,,
9:39.0,Offensive foul by J. Embiid,,70-95,,
9:39.0,Turnover by J. Embiid (offensive foul),,70-95,,
9:20.0,,,70-97,2,N. Hilario makes 2-pt shot from 4 ft
9:15.0,Shooting foul by S. Dekker (drawn by E. Ilyasova),,70-97,,
9:15.0,E. Ilyasova makes free throw 1 of 2,1,71-97,,
9:15.0,E. Ilyasova makes free throw 2 of 2,1,72-97,,
9:15.0,J. Okafor enters the game for J. Embiid,,71-97,,
9:04.0,,,72-97,,T. Ennis misses 2-pt shot from 3 ft
8:59.0,Defensive rebound by E. Ilyasova,,72-97,,
8:52.0,N. Stauskas makes 2-pt shot from 2 ft,2,74-97,,
8:45.0,,,74-97,,Offensive foul by T. Ennis
8:45.0,,,74-97,,Turnover by T. Ennis (offensive foul)
8:45.0,Official timeout,,74-97,,
8:45.0,,,74-97,,R. Anderson enters the game for S. Dekker
8:45.0,,,74-97,,T. Ariza enters the game for N. Hilario
8:45.0,,,74-97,,C. Capela enters the game for C. Brewer
8:45.0,,,74-97,,J. Harden enters the game for T. Ennis
8:45.0,T. McConnell enters the game for G. Henderson,,74-97,,
8:45.0,T. Luwawu-Cabarrot enters the game for J. Okafor,,74-97,,
8:45.0,J. Okafor enters the game for T. McConnell,,74-97,,
8:34.0,Turnover by N. Stauskas (bad pass; steal by J. Harden),,74-97,,
8:29.0,,,74-99,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:13.0,E. Ilyasova misses 3-pt shot from 26 ft,,74-99,,
8:10.0,,,74-99,,Defensive rebound by T. Ariza
7:49.0,,,74-99,,C. Capela misses 2-pt shot from 9 ft
7:44.0,,,74-99,,Offensive rebound by R. Anderson
7:41.0,,,74-99,,R. Anderson misses 2-pt shot from 1 ft (block by J. Okafor)
7:39.0,Defensive rebound by E. Ilyasova,,74-99,,
7:38.0,Turnover by S. Rodriguez (bad pass),,74-99,,
7:20.0,,,74-99,,Turnover by J. Harden (bad pass)
6:57.0,S. Rodriguez misses 2-pt shot from 8 ft,,74-99,,
6:55.0,,,74-99,,Defensive rebound by C. Capela
6:43.0,,,74-99,,E. Gordon misses 3-pt shot from 23 ft
6:41.0,Defensive rebound by E. Ilyasova,,74-99,,
6:34.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by S. Rodriguez),2,76-99,,
6:15.0,,,76-102,3,T. Ariza makes 3-pt shot from 24 ft (assist by R. Anderson)
6:15.0,Philadelphia full timeout,,76-102,,
6:15.0,,,76-102,,C. Brewer enters the game for T. Ariza
6:15.0,,,76-102,,M. Harrell enters the game for R. Anderson
6:15.0,,,76-102,,T. Ennis enters the game for C. Capela
6:15.0,,,76-102,,S. Dekker enters the game for E. Gordon
6:15.0,,,76-102,,K. McDaniels enters the game for J. Harden
