time,Milwaukee,pts.away,score,pts.home,Miami
0:00.0,,,27-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-21,,Turnover by T. Johnson (lost ball)
11:24.0,J. Parker misses 2-pt shot from 8 ft,,27-21,,
11:23.0,,,27-21,,Defensive rebound by J. Johnson
11:16.0,,,27-21,,T. Johnson misses 3-pt shot from 24 ft
11:15.0,,,27-21,,Offensive rebound by J. Richardson
11:01.0,,,27-23,2,T. Johnson makes 2-pt shot from 12 ft (assist by W. Reed)
10:42.0,J. Parker misses 2-pt shot from 1 ft,,27-23,,
10:41.0,,,27-23,,Defensive rebound by T. Johnson
10:34.0,,,27-25,2,J. Richardson makes 2-pt shot from 17 ft (assist by T. Johnson)
10:20.0,Turnover by M. Dellavedova (bad pass; steal by R. McGruder),,27-25,,
10:14.0,,,27-27,2,R. McGruder makes 2-pt shot from 2 ft
10:14.0,Milwaukee full timeout,,27-27,,
10:14.0,G. Antetokounmpo enters the game for M. Plumlee,,27-27,,
10:14.0,J. Henson enters the game for M. Teletovic,,27-27,,
10:03.0,M. Dellavedova misses 2-pt shot from 22 ft,,27-27,,
10:02.0,,,27-27,,Defensive rebound by J. Johnson
9:48.0,,,27-27,,J. Richardson misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by J. Parker,,27-27,,
9:30.0,M. Dellavedova misses 2-pt shot from 11 ft,,27-27,,
9:29.0,Offensive rebound by G. Antetokounmpo,,27-27,,
9:20.0,Turnover by J. Terry (bad pass; steal by J. Johnson),,27-27,,
9:13.0,,,27-30,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson)
8:49.0,J. Parker misses 2-pt shot from 19 ft,,27-30,,
8:48.0,,,27-30,,Defensive rebound by T. Johnson
8:33.0,,,27-30,,J. Johnson misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by J. Henson,,27-30,,
8:23.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,27-30,,
8:22.0,,,27-30,,Defensive rebound by R. McGruder
8:11.0,,,27-30,,Shooting foul by J. Henson (drawn by W. Reed)
8:11.0,Official timeout,,27-30,,
8:11.0,,,27-30,,W. Reed misses free throw 1 of 2
8:11.0,,,27-30,,Offensive rebound by Team
8:11.0,,,27-30,,W. Reed misses free throw 2 of 2
8:11.0,T. Snell enters the game for J. Terry,,27-30,,
8:11.0,,,27-30,,G. Dragic enters the game for T. Johnson
8:10.0,,,27-30,,Offensive rebound by Team
8:09.0,,,27-30,,H. Whiteside enters the game for W. Reed
7:52.0,,,27-30,,G. Dragic misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by J. Parker,,27-30,,
7:40.0,M. Dellavedova misses 2-pt shot from 9 ft,,27-30,,
7:38.0,Offensive rebound by Team,,27-30,,
7:30.0,J. Parker makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,30-30,,
7:14.0,,,30-32,2,J. Richardson makes 2-pt shot from 2 ft
7:05.0,,,30-32,,Personal foul by J. Richardson (drawn by G. Antetokounmpo)
7:05.0,,,30-32,,D. Waiters enters the game for J. Richardson
6:54.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,30-32,,
6:54.0,Offensive rebound by T. Snell,,30-32,,
6:54.0,J. Henson makes 2-pt shot from 5 ft,2,32-32,,
6:54.0,Shooting foul by H. Whiteside (drawn by J. Henson),,32-32,,
6:54.0,J. Henson makes free throw 1 of 1,1,33-32,,
6:54.0,,,32-32,,W. Reed enters the game for H. Whiteside
6:33.0,,,33-34,2,J. Johnson makes 2-pt shot from 8 ft
6:26.0,Jump ball: G. Antetokounmpo vs. J. Johnson (M. Dellavedova gains possession),,,,Jump ball: G. Antetokounmpo vs. J. Johnson (M. Dellavedova gains possession)
6:17.0,T. Snell makes 3-pt shot from 25 ft (assist by J. Parker),3,36-34,,
6:17.0,,,36-34,,Miami full timeout
6:08.0,Flagrant foul type 1 by J. Henson (drawn by D. Waiters),,36-34,,
6:08.0,,,36-35,1,D. Waiters makes flagrant free throw 1 of 2
6:08.0,,,36-36,1,D. Waiters makes flagrant free throw 2 of 2
6:08.0,,,36-36,,L. Babbitt enters the game for J. Johnson
5:57.0,,,36-38,2,D. Waiters makes 2-pt shot from 3 ft
5:32.0,J. Henson misses 2-pt shot from 20 ft,,36-38,,
5:31.0,Offensive rebound by Team,,36-38,,
5:31.0,Turnover by Team (shot clock),,36-38,,
5:14.0,,,36-38,,D. Waiters misses 2-pt shot from 18 ft
5:13.0,,,36-38,,Offensive rebound by W. Reed
5:12.0,,,36-40,2,W. Reed makes 2-pt shot from 1 ft
4:57.0,,,36-40,,Personal foul by D. Waiters (drawn by G. Antetokounmpo)
4:47.0,T. Snell misses 3-pt shot from 25 ft,,36-40,,
