time,Phoenix,pts.away,score,pts.home,Sacramento
9:06.0,,,1-9,,Defensive rebound by T. Lawson
8:52.0,,,1-11,2,T. Lawson makes 2-pt shot from 18 ft
8:41.0,T. Ulis makes 2-pt shot from 10 ft,2,3-11,,
8:23.0,,,3-13,2,B. McLemore makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
8:07.0,M. Chriss misses 3-pt shot from 26 ft,,3-13,,
8:07.0,,,3-13,,Defensive rebound by W. Cauley-Stein
8:01.0,,,3-13,,Turnover by T. Lawson (bad pass; steal by M. Chriss)
7:59.0,Turnover by M. Chriss (bad pass; steal by W. Cauley-Stein),,3-13,,
7:57.0,,,3-13,,W. Cauley-Stein misses 2-pt shot from 3 ft (block by M. Chriss)
7:56.0,Defensive rebound by D. Jones,,3-13,,
7:56.0,,,3-13,,Personal foul by T. Lawson
7:47.0,T. Ulis makes 3-pt shot from 24 ft,3,6-13,,
7:29.0,,,6-13,,B. Hield misses 2-pt shot from 8 ft (block by A. Len)
7:28.0,Defensive rebound by M. Chriss,,6-13,,
7:21.0,M. Chriss makes 2-pt shot at rim (assist by T. Ulis),2,8-13,,
7:01.0,,,8-13,,B. Hield misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by M. Chriss,,8-13,,
6:55.0,Shooting foul by B. McLemore (drawn by D. Jones),,8-13,,
6:55.0,D. Jones misses free throw 1 of 2,,8-13,,
6:55.0,Offensive rebound by Team,,8-13,,
6:55.0,D. Jones makes free throw 2 of 2,1,9-13,,
6:38.0,,,9-13,,B. McLemore misses 3-pt shot from 24 ft
6:37.0,,,9-13,,Offensive rebound by T. Lawson
6:36.0,,,9-13,,T. Lawson misses 2-pt shot from 3 ft (block by M. Chriss)
6:34.0,Defensive rebound by T. Ulis,,9-13,,
6:26.0,M. Chriss misses 3-pt shot from 25 ft,,9-13,,
6:26.0,,,9-13,,Defensive rebound by W. Cauley-Stein
6:13.0,,,9-13,,B. McLemore misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by A. Len,,9-13,,
5:59.0,T. Warren makes 2-pt shot from 4 ft,2,11-13,,
5:46.0,,,11-13,,W. Cauley-Stein misses 2-pt shot from 20 ft
5:45.0,Defensive rebound by T. Warren,,11-13,,
5:30.0,T. Ulis misses 2-pt shot from 17 ft,,11-13,,
5:28.0,Offensive rebound by T. Warren,,11-13,,
5:14.0,T. Warren misses 2-pt shot from 13 ft,,11-13,,
5:13.0,Offensive rebound by D. Jones,,11-13,,
5:10.0,D. Jones misses 2-pt shot from 9 ft,,11-13,,
5:09.0,,,11-13,,Defensive rebound by Team
5:09.0,Loose ball foul by D. Jones (drawn by B. Hield),,11-13,,
5:09.0,,,11-13,,Sacramento full timeout
5:09.0,,,11-13,,G. Temple enters the game for B. McLemore
5:09.0,D. Bender enters the game for A. Len,,11-13,,
4:56.0,,,11-15,2,B. Hield makes 2-pt shot from 5 ft (assist by G. Temple)
4:49.0,D. Jones misses 2-pt shot from 8 ft,,11-15,,
4:49.0,Offensive rebound by D. Bender,,11-15,,
4:43.0,D. Bender misses 3-pt shot from 25 ft,,11-15,,
4:43.0,,,11-15,,Defensive rebound by G. Temple
4:36.0,,,11-17,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
4:18.0,,,11-17,,Personal foul by W. Cauley-Stein (drawn by T. Ulis)
4:18.0,,,11-17,,G. Papagiannis enters the game for W. Cauley-Stein
4:06.0,D. Bender makes 2-pt shot from 13 ft,2,13-17,,
3:48.0,,,13-19,2,G. Papagiannis makes 2-pt shot from 7 ft (assist by G. Temple)
3:31.0,T. Warren makes 3-pt shot from 25 ft (assist by D. Jones),3,16-19,,
3:18.0,,,16-21,2,T. Lawson makes 2-pt shot from 3 ft
3:07.0,T. Ulis makes 2-pt shot from 3 ft,2,18-21,,
3:00.0,,,18-21,,S. Labissiere misses 2-pt shot from 20 ft
2:59.0,,,18-21,,Offensive rebound by B. Hield
2:56.0,,,18-21,,Turnover by B. Hield (lost ball; steal by T. Ulis)
2:53.0,M. Chriss makes 2-pt shot at rim (assist by T. Warren),2,20-21,,
2:35.0,,,20-21,,B. Hield misses 2-pt shot from 14 ft
2:34.0,Defensive rebound by Team,,20-21,,
2:34.0,Phoenix full timeout,,20-21,,
2:34.0,,,20-21,,L. Galloway enters the game for B. Hield
2:34.0,,,20-21,,A. Tolliver enters the game for S. Labissiere
2:19.0,T. Warren misses 2-pt shot from 19 ft,,20-21,,
2:18.0,Offensive rebound by M. Chriss,,20-21,,
2:05.0,D. Bender misses 3-pt shot from 25 ft,,20-21,,
2:05.0,,,20-21,,Defensive rebound by T. Lawson
1:50.0,,,20-21,,G. Papagiannis misses 2-pt shot from 6 ft
1:49.0,,,20-21,,Offensive rebound by G. Papagiannis
1:47.0,,,20-23,2,G. Papagiannis makes 2-pt shot from 8 ft
1:32.0,T. Ulis misses 2-pt shot from 16 ft,,20-23,,
1:30.0,Offensive rebound by T. Warren,,20-23,,
1:30.0,T. Warren makes 2-pt shot from 2 ft,2,22-23,,
1:22.0,,,22-23,,Shooting foul by D. Bender (drawn by T. Lawson)
1:22.0,,,22-24,1,T. Lawson makes free throw 1 of 2
1:22.0,,,22-24,,T. Lawson misses free throw 2 of 2
1:20.0,Defensive rebound by D. Bender,,22-24,,
0:59.0,D. Jones misses 3-pt shot from 25 ft,,22-24,,
0:58.0,,,22-24,,Defensive rebound by T. Lawson
0:50.0,,,22-26,2,G. Papagiannis makes 2-pt shot from 10 ft (assist by T. Lawson)
0:36.0,T. Warren misses 2-pt shot from 3 ft,,22-26,,
0:36.0,Offensive rebound by D. Jones,,22-26,,
0:31.0,D. Bender makes 2-pt shot from 6 ft,2,24-26,,
0:31.0,Shooting foul by G. Papagiannis (drawn by D. Bender),,24-26,,
0:31.0,D. Bender makes free throw 1 of 1,1,25-26,,
0:31.0,,,24-26,,B. McLemore enters the game for T. Lawson
0:18.0,,,25-26,,L. Galloway misses 2-pt shot from 17 ft
0:17.0,,,25-26,,Offensive rebound by A. Tolliver
0:15.0,Personal foul by D. Bender (drawn by G. Papagiannis),,25-26,,
0:15.0,,,25-26,,Technical foul by G. Papagiannis
0:15.0,Technical foul by D. Bender (drawn by G. Papagiannis),,25-26,,
0:15.0,Technical foul by M. Chriss,,25-26,,
0:15.0,,,25-27,1,B. McLemore makes technical free throw
0:15.0,,,25-28,1,G. Papagiannis makes free throw 1 of 2
0:15.0,,,25-28,,G. Papagiannis misses free throw 2 of 2
0:12.0,Defensive rebound by D. Bender,,25-28,,
0:02.0,T. Ulis misses 3-pt shot from 26 ft,,25-28,,
0:01.0,,,25-28,,Defensive rebound by G. Papagiannis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Bender misses 2-pt shot from 16 ft,,25-28,,
11:44.0,,,25-28,,Defensive rebound by Team
11:25.0,,,25-30,2,B. McLemore makes 2-pt shot from 5 ft (assist by A. Tolliver)
11:08.0,A. Williams makes 2-pt shot from 15 ft (assist by D. Jones),2,27-30,,
10:54.0,,,27-30,,Turnover by G. Papagiannis (3 sec)
10:42.0,,,27-30,,Personal foul by B. McLemore (drawn by D. Jones)
10:34.0,A. Williams misses 2-pt shot from 11 ft,,27-30,,
10:34.0,,,27-30,,Defensive rebound by A. Tolliver
10:19.0,,,27-30,,Turnover by L. Galloway (bad pass; steal by R. Price)
10:10.0,D. Bender misses 3-pt shot from 26 ft,,27-30,,
10:09.0,,,27-30,,Defensive rebound by G. Temple
10:01.0,,,27-30,,L. Galloway misses 2-pt shot from 10 ft
10:00.0,Defensive rebound by D. Bender,,27-30,,
9:56.0,D. Jones makes 2-pt shot at rim (assist by D. Bender),2,29-30,,
9:41.0,,,29-32,2,B. McLemore makes 2-pt shot from 3 ft (assist by A. Tolliver)
9:20.0,R. Price misses 3-pt shot from 24 ft,,29-32,,
9:19.0,,,29-32,,Defensive rebound by A. Tolliver
9:08.0,,,29-32,,G. Papagiannis misses 2-pt shot from 8 ft
9:06.0,Defensive rebound by A. Williams,,29-32,,
8:56.0,E. Millsap misses 2-pt shot from 20 ft,,29-32,,
8:56.0,,,29-32,,Defensive rebound by G. Papagiannis
8:47.0,,,29-32,,Turnover by G. Temple (lost ball)
8:47.0,Official timeout,,29-32,,
8:47.0,,,29-32,,W. Cauley-Stein enters the game for B. McLemore
8:47.0,,,29-32,,T. Lawson enters the game for G. Papagiannis
8:37.0,A. Williams makes 2-pt shot from 2 ft (assist by D. Bender),2,31-32,,
8:24.0,Personal foul by R. Price (drawn by T. Lawson),,31-32,,
8:11.0,,,31-32,,W. Cauley-Stein misses 2-pt shot from 9 ft
8:10.0,,,31-32,,Offensive rebound by Team
7:59.0,,,31-32,,T. Lawson misses 2-pt shot from 15 ft
7:59.0,Defensive rebound by A. Williams,,31-32,,
7:41.0,D. Jones misses 3-pt shot from 25 ft,,31-32,,
7:40.0,,,31-32,,Defensive rebound by W. Cauley-Stein
7:34.0,,,31-35,3,G. Temple makes 3-pt shot from 24 ft (assist by T. Lawson)
7:25.0,,,31-35,,Personal foul by G. Temple (drawn by D. Bender)
7:18.0,,,31-35,,Violation by W. Cauley-Stein (kicked ball)
7:15.0,D. Bender misses 3-pt shot from 25 ft,,31-35,,
7:14.0,Offensive rebound by E. Millsap,,31-35,,
7:14.0,Turnover by E. Millsap (lost ball),,31-35,,
6:56.0,,,31-38,3,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Galloway)
6:39.0,D. Bender misses 3-pt shot from 26 ft,,31-38,,
6:38.0,,,31-38,,Defensive rebound by T. Lawson
6:28.0,Personal foul by D. Bender (drawn by G. Temple),,31-38,,
6:28.0,A. Len enters the game for D. Bender,,31-38,,
6:20.0,,,31-38,,W. Cauley-Stein misses 2-pt shot from 6 ft
6:19.0,Defensive rebound by A. Len,,31-38,,
6:08.0,A. Len makes 2-pt shot from 2 ft (assist by A. Williams),2,33-38,,
5:44.0,,,33-38,,L. Galloway misses 2-pt shot from 8 ft
5:42.0,,,33-38,,Offensive rebound by G. Temple
5:40.0,,,33-38,,Shooting foul by D. Jones (drawn by A. Tolliver)
5:40.0,,,33-38,,Sacramento full timeout
5:40.0,,,33-38,,A. Tolliver misses free throw 1 of 3
5:40.0,,,33-38,,Offensive rebound by Team
5:40.0,,,33-39,1,A. Tolliver makes free throw 2 of 3
5:40.0,,,33-40,1,A. Tolliver makes free throw 3 of 3
5:40.0,,,33-38,,B. Hield enters the game for T. Lawson
5:22.0,A. Williams misses 2-pt shot from 13 ft,,33-40,,
5:21.0,,,33-40,,Defensive rebound by A. Tolliver
5:07.0,,,33-42,2,G. Temple makes 2-pt shot from 13 ft (assist by W. Cauley-Stein)
4:59.0,R. Price misses 2-pt shot from 15 ft,,33-42,,
4:58.0,Offensive rebound by E. Millsap,,33-42,,
4:58.0,E. Millsap makes 2-pt shot from 2 ft,2,35-42,,
4:46.0,,,35-42,,W. Cauley-Stein misses 2-pt shot from 5 ft
4:45.0,Defensive rebound by E. Millsap,,35-42,,
4:32.0,Turnover by R. Price (bad pass; steal by W. Cauley-Stein),,35-42,,
4:23.0,,,35-45,3,A. Tolliver makes 3-pt shot from 23 ft (assist by G. Temple)
4:05.0,R. Price misses 3-pt shot from 26 ft,,35-45,,
4:04.0,Offensive rebound by E. Millsap,,35-45,,
4:03.0,,,35-45,,Personal foul by B. Hield (drawn by E. Millsap)
4:03.0,,,35-45,,S. Labissiere enters the game for A. Tolliver
4:03.0,T. Ulis enters the game for R. Price,,35-45,,
4:03.0,M. Chriss enters the game for A. Williams,,35-45,,
4:03.0,T. Warren enters the game for E. Millsap,,35-45,,
4:00.0,,,35-45,,Personal foul by S. Labissiere (drawn by T. Ulis)
3:54.0,M. Chriss misses 2-pt shot from 20 ft,,35-45,,
3:53.0,,,35-45,,Defensive rebound by B. Hield
3:44.0,,,35-45,,Turnover by B. Hield (bad pass; steal by D. Jones)
3:42.0,Turnover by D. Jones (traveling),,35-45,,
3:32.0,Def 3 sec tech foul by A. Len,,35-45,,
3:32.0,,,35-45,,B. Hield misses technical free throw
3:32.0,,,35-45,,Offensive rebound by Team
3:32.0,,,35-45,,G. Papagiannis enters the game for W. Cauley-Stein
3:32.0,,,35-45,,B. McLemore enters the game for G. Temple
3:20.0,,,35-45,,B. McLemore misses 2-pt shot from 7 ft
3:19.0,,,35-45,,Offensive rebound by S. Labissiere
3:17.0,Personal foul by M. Chriss (drawn by S. Labissiere),,35-45,,
3:17.0,,,35-46,1,S. Labissiere makes free throw 1 of 2
3:17.0,,,35-47,1,S. Labissiere makes free throw 2 of 2
3:07.0,Shooting foul by L. Galloway (drawn by T. Ulis),,35-47,,
3:07.0,T. Ulis misses free throw 1 of 2,,35-47,,
3:07.0,Offensive rebound by Team,,35-47,,
3:07.0,T. Ulis makes free throw 2 of 2,1,36-47,,
2:50.0,,,36-47,,S. Labissiere misses 2-pt shot from 11 ft
2:49.0,Defensive rebound by A. Len,,36-47,,
2:41.0,T. Warren misses 2-pt shot from 19 ft,,36-47,,
2:40.0,Offensive rebound by A. Len,,36-47,,
2:40.0,A. Len misses 2-pt shot from 2 ft,,36-47,,
2:39.0,Offensive rebound by A. Len,,36-47,,
2:39.0,A. Len misses 2-pt shot from 2 ft,,36-47,,
2:39.0,,,36-47,,Defensive rebound by Team
2:39.0,Loose ball foul by A. Len (drawn by G. Papagiannis),,36-47,,
2:39.0,Phoenix full timeout,,36-47,,
2:39.0,,,36-48,1,G. Papagiannis makes free throw 1 of 2
2:39.0,,,36-49,1,G. Papagiannis makes free throw 2 of 2
2:39.0,,,36-47,,T. Lawson enters the game for L. Galloway
2:29.0,,,36-49,,Personal foul by S. Labissiere (drawn by T. Ulis)
2:29.0,M. Chriss misses free throw 1 of 2,,36-49,,
2:29.0,Offensive rebound by Team,,36-49,,
2:29.0,M. Chriss misses free throw 2 of 2,,36-49,,
2:28.0,,,36-49,,Defensive rebound by G. Papagiannis
2:10.0,,,36-49,,Turnover by B. McLemore (bad pass; steal by T. Warren)
1:57.0,T. Warren misses 3-pt shot from 26 ft,,36-49,,
1:55.0,,,36-49,,Defensive rebound by S. Labissiere
1:41.0,,,36-49,,Shooting foul by A. Len (drawn by T. Lawson)
1:41.0,,,36-50,1,T. Lawson makes free throw 1 of 2
1:41.0,,,36-51,1,T. Lawson makes free throw 2 of 2
1:31.0,Turnover by M. Chriss (lost ball; steal by T. Lawson),,36-51,,
1:23.0,,,36-51,,S. Labissiere misses 2-pt shot from 3 ft
1:23.0,,,36-51,,Offensive rebound by S. Labissiere
1:23.0,,,36-51,,Shooting foul by A. Len (drawn by S. Labissiere)
1:23.0,,,36-51,,S. Labissiere misses free throw 1 of 2
1:23.0,,,36-51,,Offensive rebound by Team
1:23.0,,,36-52,1,S. Labissiere makes free throw 2 of 2
1:23.0,A. Williams enters the game for A. Len,,36-51,,
1:10.0,T. Warren misses 2-pt shot from 13 ft,,36-52,,
1:09.0,,,36-52,,Defensive rebound by B. Hield
1:01.0,,,36-54,2,S. Labissiere makes 2-pt shot from 5 ft (assist by T. Lawson)
0:51.0,T. Ulis misses 2-pt shot from 11 ft,,36-54,,
0:49.0,,,36-54,,Defensive rebound by B. McLemore
0:39.0,,,36-56,2,B. Hield makes 2-pt shot from 3 ft (assist by T. Lawson)
0:24.0,D. Jones makes 3-pt shot from 23 ft (assist by T. Ulis),3,39-56,,
0:03.0,,,39-56,,Shooting foul by T. Warren (drawn by T. Lawson)
0:03.0,,,39-57,1,T. Lawson makes free throw 1 of 2
0:03.0,,,39-58,1,T. Lawson makes free throw 2 of 2
0:03.0,,,39-57,,L. Galloway enters the game for G. Papagiannis
0:00.0,T. Ulis misses 3-pt shot from 46 ft,,39-58,,
0:00.0,Offensive rebound by Team,,39-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Jones makes 2-pt shot from 15 ft (assist by T. Ulis),2,41-58,,
11:43.0,Shooting foul by B. Hield (drawn by D. Jones),,41-58,,
11:43.0,,,41-58,,Violation by T. Lawson (lane)
11:43.0,D. Jones makes free throw 1 of 1,1,42-58,,
11:24.0,,,42-60,2,W. Cauley-Stein makes 2-pt shot from 13 ft (assist by T. Lawson)
11:13.0,T. Ulis makes 3-pt shot from 25 ft,3,45-60,,
11:00.0,,,45-62,2,B. Hield makes 2-pt shot from 1 ft (assist by T. Lawson)
10:51.0,,,45-62,,Personal foul by S. Labissiere (drawn by M. Chriss)
10:47.0,T. Warren misses 2-pt shot from 17 ft,,45-62,,
10:46.0,,,45-62,,Defensive rebound by S. Labissiere
10:30.0,,,45-64,2,W. Cauley-Stein makes 2-pt shot from 9 ft
10:17.0,T. Ulis makes 2-pt shot from 4 ft,2,47-64,,
10:01.0,,,47-66,2,W. Cauley-Stein makes 2-pt shot from 14 ft
9:41.0,T. Ulis makes 2-pt shot from 16 ft (assist by A. Len),2,49-66,,
9:31.0,,,49-66,,B. Hield misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by A. Len,,49-66,,
9:23.0,T. Ulis misses 2-pt shot from 15 ft,,49-66,,
9:22.0,,,49-66,,Defensive rebound by B. McLemore
9:15.0,,,49-68,2,B. Hield makes 2-pt shot from 3 ft
9:04.0,,,49-68,,Personal foul by B. Hield
8:58.0,M. Chriss misses 2-pt shot from 8 ft,,49-68,,
8:57.0,Offensive rebound by A. Len,,49-68,,
8:57.0,A. Len makes 2-pt shot from 3 ft,2,51-68,,
8:49.0,,,51-68,,Shooting foul by M. Chriss (drawn by T. Lawson)
8:49.0,,,51-69,1,T. Lawson makes free throw 1 of 2
8:49.0,,,51-70,1,T. Lawson makes free throw 2 of 2
8:42.0,,,51-70,,Personal foul by S. Labissiere (drawn by M. Chriss)
8:37.0,T. Warren misses 2-pt shot from 17 ft,,51-70,,
8:36.0,,,51-70,,Defensive rebound by S. Labissiere
8:23.0,,,51-72,2,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by T. Lawson)
8:07.0,A. Len misses 2-pt shot from 1 ft,,51-72,,
8:06.0,,,51-72,,Defensive rebound by W. Cauley-Stein
7:58.0,,,51-75,3,B. Hield makes 3-pt shot from 22 ft (assist by T. Lawson)
7:57.0,Phoenix full timeout,,51-75,,
7:57.0,D. Bender enters the game for A. Len,,51-75,,
7:57.0,A. Williams enters the game for D. Jones,,51-75,,
7:57.0,,,51-75,,A. Tolliver enters the game for S. Labissiere
7:51.0,Violation by Team (jump ball),,51-75,,
7:51.0,,,51-75,,Personal foul by B. Hield (drawn by M. Chriss)
7:51.0,M. Chriss makes free throw 1 of 2,1,52-75,,
7:51.0,M. Chriss makes free throw 2 of 2,1,53-75,,
7:40.0,,,53-77,2,T. Lawson makes 2-pt shot from 4 ft
7:27.0,A. Williams makes 2-pt shot from 9 ft (assist by T. Warren),2,55-77,,
7:20.0,,,55-77,,B. Hield misses 2-pt shot from 5 ft
7:18.0,Defensive rebound by M. Chriss,,55-77,,
7:13.0,M. Chriss makes 2-pt shot at rim (assist by T. Ulis),2,57-77,,
6:53.0,,,57-77,,Turnover by T. Lawson (bad pass; steal by T. Warren)
6:40.0,A. Williams misses 2-pt shot from 12 ft,,57-77,,
6:39.0,,,57-77,,Defensive rebound by A. Tolliver
6:33.0,,,57-77,,Shooting foul by A. Williams (drawn by B. McLemore)
6:33.0,,,57-78,1,B. McLemore makes free throw 1 of 2
6:33.0,,,57-79,1,B. McLemore makes free throw 2 of 2
6:33.0,,,57-78,,G. Temple enters the game for B. Hield
6:33.0,,,57-78,,L. Galloway enters the game for T. Lawson
6:23.0,Turnover by M. Chriss (bad pass; steal by G. Temple),,57-79,,
6:18.0,,,57-81,2,G. Temple makes 2-pt shot at rim
6:07.0,T. Ulis makes 2-pt shot from 19 ft,2,59-81,,
5:47.0,,,59-81,,Shooting foul by D. Bender (drawn by W. Cauley-Stein)
5:47.0,,,59-82,1,W. Cauley-Stein makes free throw 1 of 2
5:47.0,,,59-82,,W. Cauley-Stein misses free throw 2 of 2
5:46.0,Defensive rebound by M. Chriss,,59-82,,
5:34.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,61-82,,
5:11.0,,,61-84,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by A. Tolliver)
4:53.0,D. Bender misses 2-pt shot from 8 ft,,61-84,,
4:52.0,Offensive rebound by A. Williams,,61-84,,
4:51.0,A. Williams makes 2-pt shot from 3 ft,2,63-84,,
4:32.0,,,63-84,,W. Cauley-Stein misses 2-pt shot from 18 ft
4:31.0,Defensive rebound by T. Warren,,63-84,,
4:22.0,T. Ulis misses 2-pt shot from 21 ft,,63-84,,
4:22.0,Offensive rebound by Team,,63-84,,
4:22.0,,,63-84,,G. Papagiannis enters the game for B. McLemore
4:22.0,,,63-84,,T. Lawson enters the game for W. Cauley-Stein
4:21.0,Shooting foul by L. Galloway,,63-84,,
4:21.0,T. Warren misses free throw 1 of 2,,63-84,,
4:21.0,Offensive rebound by Team,,63-84,,
4:21.0,T. Warren makes free throw 2 of 2,1,64-84,,
4:02.0,,,64-84,,Shooting foul by D. Bender (drawn by A. Tolliver)
4:02.0,,,64-85,1,A. Tolliver makes free throw 1 of 2
4:02.0,,,64-86,1,A. Tolliver makes free throw 2 of 2
4:02.0,R. Price enters the game for D. Bender,,64-85,,
3:51.0,T. Warren makes 2-pt shot from 19 ft,2,66-86,,
3:39.0,,,66-86,,L. Galloway misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by A. Williams,,66-86,,
3:26.0,A. Williams makes 2-pt shot from 3 ft (assist by R. Price),2,68-86,,
3:07.0,,,68-86,,Turnover by G. Papagiannis (back court)
3:02.0,Turnover by T. Ulis (bad pass; steal by A. Tolliver),,68-86,,
2:50.0,,,68-86,,G. Papagiannis misses 2-pt shot at rim
2:50.0,Defensive rebound by T. Warren,,68-86,,
2:38.0,M. Chriss misses 2-pt shot from 7 ft,,68-86,,
2:36.0,,,68-86,,Defensive rebound by L. Galloway
2:31.0,,,68-88,2,T. Lawson makes 2-pt shot from 3 ft (assist by G. Temple)
2:21.0,T. Ulis misses 3-pt shot from 26 ft,,68-88,,
2:20.0,,,68-88,,Defensive rebound by T. Lawson
2:11.0,,,68-88,,A. Tolliver misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by A. Williams,,68-88,,
2:06.0,T. Ulis misses 2-pt shot from 4 ft (block by G. Papagiannis),,68-88,,
2:06.0,Offensive rebound by Team,,68-88,,
2:06.0,,,68-88,,Sacramento full timeout
1:56.0,T. Warren misses 2-pt shot from 10 ft,,68-88,,
1:55.0,,,68-88,,Defensive rebound by T. Lawson
1:42.0,,,68-90,2,L. Galloway makes 2-pt shot from 2 ft (assist by G. Papagiannis)
1:30.0,T. Ulis makes 3-pt shot from 25 ft,3,71-90,,
1:18.0,,,71-90,,Turnover by T. Lawson (bad pass; steal by A. Williams)
1:13.0,T. Warren misses 2-pt shot from 2 ft,,71-90,,
1:11.0,,,71-90,,Defensive rebound by A. Tolliver
1:04.0,,,71-93,3,T. Lawson makes 3-pt shot from 26 ft
0:49.0,R. Price makes 3-pt shot from 25 ft,3,74-93,,
0:40.0,,,74-93,,Shooting foul by M. Chriss (drawn by A. Tolliver)
0:40.0,,,74-94,1,A. Tolliver makes free throw 1 of 2
0:40.0,,,74-95,1,A. Tolliver makes free throw 2 of 2
0:40.0,,,74-95,,Personal foul by T. Lawson (drawn by T. Ulis)
0:40.0,T. Ulis makes free throw 1 of 2,1,75-95,,
0:40.0,T. Ulis misses free throw 2 of 2,,75-95,,
0:40.0,,,74-94,,B. McLemore enters the game for G. Papagiannis
0:39.0,,,75-95,,Defensive rebound by B. McLemore
0:28.0,,,75-95,,T. Lawson misses 2-pt shot from 8 ft
0:27.0,Defensive rebound by A. Williams,,75-95,,
0:13.0,,,75-95,,Personal foul by B. McLemore (drawn by M. Chriss)
0:13.0,M. Chriss makes free throw 1 of 2,1,76-95,,
0:13.0,M. Chriss makes free throw 2 of 2,1,77-95,,
0:05.0,,,77-95,,Shooting foul by A. Williams (drawn by T. Lawson)
0:05.0,,,77-96,1,T. Lawson makes free throw 1 of 2
0:05.0,,,77-97,1,T. Lawson makes free throw 2 of 2
0:00.0,R. Price misses 2-pt shot from 3 ft,,77-97,,
0:00.0,Offensive rebound by Team,,77-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,77-97,,G. Temple misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by A. Williams,,77-97,,
11:22.0,M. Chriss makes 3-pt shot from 26 ft (assist by D. Jones),3,80-97,,
11:03.0,,,80-97,,G. Temple misses 2-pt shot from 12 ft
11:02.0,Defensive rebound by A. Williams,,80-97,,
10:51.0,R. Price makes 2-pt shot from 11 ft,2,82-97,,
10:31.0,,,82-97,,A. Tolliver misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by A. Williams,,82-97,,
10:23.0,,,82-97,,Personal foul by L. Galloway (drawn by R. Price)
10:16.0,M. Chriss misses 2-pt shot from 17 ft,,82-97,,
10:15.0,,,82-97,,Defensive rebound by G. Papagiannis
10:03.0,,,82-97,,G. Temple misses 2-pt shot from 3 ft
10:02.0,Defensive rebound by A. Williams,,82-97,,
9:56.0,Shooting foul by L. Galloway (drawn by E. Millsap),,82-97,,
9:56.0,E. Millsap misses free throw 1 of 2,,82-97,,
