time,Boston,pts.away,score,pts.home,Chicago
4:07.0,Defensive rebound by A. Johnson,,48-42,,
3:58.0,T. Rozier misses 2-pt shot from 10 ft,,48-42,,
3:57.0,,,48-42,,Defensive rebound by R. Rondo
3:53.0,,,48-42,,Turnover by R. Rondo (traveling)
3:34.0,J. Crowder misses 3-pt shot from 26 ft,,48-42,,
3:33.0,,,48-42,,Defensive rebound by R. Rondo
3:27.0,Personal foul by A. Johnson (drawn by J. Butler),,48-42,,
3:27.0,,,48-42,,M. Carter-Williams enters the game for R. Rondo
3:27.0,M. Smart enters the game for T. Rozier,,48-42,,
3:15.0,,,48-44,2,J. Butler makes 2-pt shot from 3 ft (assist by R. Lopez)
3:01.0,I. Thomas makes 2-pt shot from 2 ft (assist by A. Horford),2,50-44,,
2:45.0,,,50-44,,R. Lopez misses 2-pt shot from 19 ft
2:45.0,,,50-44,,Offensive rebound by J. Butler
2:41.0,,,50-46,2,J. Butler makes 2-pt shot from 9 ft
2:31.0,Shooting foul by M. Carter-Williams (drawn by I. Thomas),,50-46,,
2:31.0,Boston full timeout,,50-46,,
2:31.0,I. Thomas makes free throw 1 of 2,1,51-46,,
2:31.0,I. Thomas makes free throw 2 of 2,1,52-46,,
2:31.0,K. Olynyk enters the game for A. Johnson,,50-46,,
2:16.0,,,52-46,,R. Lopez misses 2-pt shot from 21 ft
2:15.0,Defensive rebound by K. Olynyk,,52-46,,
2:00.0,A. Horford misses 3-pt shot from 24 ft,,52-46,,
1:59.0,,,52-46,,Defensive rebound by T. Gibson
1:42.0,,,52-46,,Shooting foul by J. Crowder (drawn by J. Butler)
1:42.0,,,52-47,1,J. Butler makes free throw 1 of 2
1:42.0,,,52-48,1,J. Butler makes free throw 2 of 2
1:33.0,I. Thomas makes 3-pt shot from 26 ft (assist by A. Horford),3,55-48,,
1:18.0,,,55-50,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler)
1:01.0,A. Horford misses 2-pt shot from 6 ft,,55-50,,
1:00.0,,,55-50,,Defensive rebound by R. Lopez
0:46.0,,,55-50,,D. McDermott misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by K. Olynyk,,55-50,,
0:40.0,Turnover by M. Smart (bad pass),,55-50,,
0:33.0,,,55-52,2,J. Butler makes 2-pt shot from 19 ft
0:33.0,Boston full timeout,,55-52,,
0:28.0,I. Thomas makes 3-pt shot from 26 ft,3,58-52,,
0:05.0,,,58-52,,J. Butler misses 2-pt shot from 22 ft
0:04.0,,,58-52,,Offensive rebound by M. Carter-Williams
0:04.0,,,58-52,,Turnover by Team (shot clock)
0:00.0,A. Horford misses 3-pt shot from 27 ft,,58-52,,
0:00.0,Offensive rebound by Team,,58-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,58-54,2,J. Grant makes 2-pt shot from 2 ft
11:18.0,J. Crowder misses 3-pt shot from 26 ft,,58-54,,
11:17.0,,,58-54,,Defensive rebound by T. Gibson
10:54.0,,,58-56,2,T. Gibson makes 2-pt shot from 6 ft
10:29.0,M. Smart makes 2-pt shot from 13 ft,2,60-56,,
10:06.0,,,60-56,,J. Butler misses 2-pt shot from 20 ft
10:06.0,Defensive rebound by Team,,60-56,,
9:44.0,A. Horford misses 3-pt shot from 23 ft,,60-56,,
9:43.0,,,60-56,,Defensive rebound by R. Lopez
9:29.0,,,60-59,3,J. Grant makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
9:16.0,Shooting foul by M. Carter-Williams (drawn by I. Thomas),,60-59,,
9:16.0,I. Thomas makes free throw 1 of 3,1,61-59,,
9:16.0,I. Thomas makes free throw 2 of 3,1,62-59,,
9:16.0,I. Thomas makes free throw 3 of 3,1,63-59,,
8:59.0,,,63-59,,Shooting foul by M. Smart (drawn by M. Carter-Williams)
8:59.0,,,63-60,1,M. Carter-Williams makes free throw 1 of 2
8:59.0,,,63-61,1,M. Carter-Williams makes free throw 2 of 2
8:37.0,A. Horford misses 2-pt shot from 20 ft,,63-61,,
8:35.0,,,63-61,,Defensive rebound by M. Carter-Williams
8:20.0,,,63-61,,T. Gibson misses 2-pt shot from 19 ft
8:18.0,,,63-61,,Offensive rebound by R. Lopez
8:07.0,,,63-64,3,J. Butler makes 3-pt shot from 24 ft (assist by T. Gibson)
7:49.0,M. Smart misses 3-pt shot from 26 ft,,63-64,,
7:48.0,Offensive rebound by J. Crowder,,63-64,,
7:48.0,J. Crowder makes 2-pt shot from 2 ft,2,65-64,,
7:35.0,,,65-67,3,J. Grant makes 3-pt shot from 26 ft (assist by T. Gibson)
7:23.0,I. Thomas misses 2-pt shot from 2 ft,,65-67,,
7:22.0,,,65-67,,Defensive rebound by M. Carter-Williams
7:10.0,,,65-67,,T. Gibson misses 2-pt shot from 2 ft (block by A. Horford)
7:07.0,Defensive rebound by M. Smart,,65-67,,
7:03.0,A. Johnson misses 2-pt shot from 2 ft (block by R. Lopez),,65-67,,
7:02.0,,,65-67,,Defensive rebound by J. Grant
6:57.0,,,65-67,,J. Grant misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by A. Horford,,65-67,,
6:57.0,,,65-67,,Personal foul by J. Butler (drawn by A. Horford)
6:57.0,K. Olynyk enters the game for A. Johnson,,65-67,,
6:42.0,J. Crowder misses 2-pt shot from 1 ft,,65-67,,
6:40.0,,,65-67,,Defensive rebound by J. Grant
6:35.0,,,65-67,,R. Lopez misses 2-pt shot from 4 ft
6:34.0,,,65-67,,Offensive rebound by R. Lopez
6:34.0,,,65-69,2,R. Lopez makes 2-pt shot from 2 ft
6:34.0,Boston full timeout,,65-69,,
6:18.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford),2,67-69,,
5:55.0,,,67-69,,Shooting foul by J. Crowder (drawn by J. Butler)
5:55.0,,,67-70,1,J. Butler makes free throw 1 of 2
5:55.0,,,67-71,1,J. Butler makes free throw 2 of 2
5:55.0,T. Rozier enters the game for M. Smart,,67-70,,
5:33.0,T. Rozier misses 3-pt shot from 25 ft,,67-71,,
5:32.0,,,67-71,,Defensive rebound by T. Gibson
5:14.0,,,67-71,,R. Lopez misses 2-pt shot from 19 ft
5:14.0,,,67-71,,Offensive rebound by Team
5:14.0,Loose ball foul by J. Crowder (drawn by R. Lopez),,67-71,,
5:03.0,,,67-73,2,T. Gibson makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
4:48.0,Shooting foul by M. Carter-Williams (drawn by J. Crowder),,67-73,,
4:48.0,J. Crowder misses free throw 1 of 2,,67-73,,
4:48.0,Offensive rebound by Team,,67-73,,
4:48.0,J. Crowder makes free throw 2 of 2,1,68-73,,
4:48.0,J. Jerebko enters the game for A. Horford,,67-73,,
4:31.0,,,68-73,,M. Carter-Williams misses 3-pt shot from 24 ft
4:30.0,,,68-73,,Offensive rebound by R. Lopez
4:30.0,,,68-75,2,R. Lopez makes 2-pt shot from 2 ft
4:15.0,T. Rozier misses 3-pt shot from 23 ft,,68-75,,
4:14.0,,,68-75,,Defensive rebound by T. Gibson
3:59.0,,,68-75,,R. Lopez misses 2-pt shot from 6 ft
3:58.0,,,68-75,,Offensive rebound by T. Gibson
3:57.0,,,68-75,,T. Gibson misses 2-pt shot at rim (block by T. Rozier)
3:57.0,,,68-75,,Offensive rebound by Team
3:35.0,,,68-75,,J. Butler misses 2-pt shot from 12 ft
3:34.0,Defensive rebound by J. Jerebko,,68-75,,
3:23.0,I. Thomas misses 2-pt shot from 7 ft (block by M. Carter-Williams),,68-75,,
3:23.0,,,68-75,,Defensive rebound by Team
3:23.0,G. Green enters the game for I. Thomas,,68-75,,
3:23.0,,,68-75,,R. Rondo enters the game for J. Grant
3:23.0,,,68-75,,D. McDermott enters the game for M. Carter-Williams
3:08.0,,,68-75,,R. Rondo misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by G. Green,,68-75,,
2:53.0,J. Crowder makes 2-pt shot from 2 ft,2,70-75,,
2:29.0,,,70-75,,D. McDermott misses 2-pt shot from 2 ft
2:28.0,Defensive rebound by J. Jerebko,,70-75,,
2:16.0,J. Jerebko makes 2-pt shot from 2 ft,2,72-75,,
2:16.0,,,72-75,,Chicago full timeout
2:16.0,,,72-75,,B. Portis enters the game for T. Gibson
2:16.0,M. Smart enters the game for J. Crowder,,72-75,,
2:01.0,,,72-77,2,B. Portis makes 2-pt shot from 20 ft (assist by J. Butler)
1:43.0,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart),2,74-77,,
1:17.0,,,74-79,2,B. Portis makes 2-pt shot from 6 ft (assist by R. Rondo)
0:58.0,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart),3,77-79,,
0:45.0,,,77-81,2,R. Lopez makes 2-pt shot from 19 ft (assist by R. Rondo)
0:33.0,M. Smart misses 2-pt shot from 2 ft (block by R. Lopez),,77-81,,
0:32.0,,,77-81,,Defensive rebound by B. Portis
0:26.0,,,77-81,,D. McDermott misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by Team,,77-81,,
0:26.0,,,77-81,,Loose ball foul by R. Rondo (drawn by T. Rozier)
0:26.0,,,77-81,,C. Felicio enters the game for R. Lopez
0:21.0,,,77-81,,Personal foul by C. Felicio (drawn by M. Smart)
0:21.0,M. Smart makes free throw 1 of 2,1,78-81,,
0:21.0,M. Smart misses free throw 2 of 2,,78-81,,
0:19.0,,,78-81,,Defensive rebound by C. Felicio
0:00.0,,,78-81,,D. McDermott misses 3-pt shot from 24 ft
0:00.0,,,78-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,G. Green misses 3-pt shot from 25 ft,,78-81,,
11:39.0,,,78-81,,Defensive rebound by B. Portis
11:26.0,,,78-81,,J. Grant misses 3-pt shot from 23 ft
11:25.0,Defensive rebound by K. Olynyk,,78-81,,
11:07.0,Shooting foul by R. Rondo (drawn by M. Smart),,78-81,,
11:07.0,M. Smart makes free throw 1 of 2,1,79-81,,
11:07.0,M. Smart makes free throw 2 of 2,1,80-81,,
10:53.0,,,80-81,,D. McDermott misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by K. Olynyk,,80-81,,
10:42.0,J. Jerebko misses 3-pt shot from 24 ft,,80-81,,
10:39.0,,,80-81,,Defensive rebound by B. Portis
10:31.0,Personal foul by T. Rozier (drawn by R. Rondo),,80-81,,
10:18.0,,,80-83,2,D. McDermott makes 2-pt shot from 8 ft (assist by R. Rondo)
10:03.0,Shooting foul by C. Felicio (drawn by K. Olynyk),,80-83,,
10:03.0,K. Olynyk makes free throw 1 of 2,1,81-83,,
10:03.0,K. Olynyk misses free throw 2 of 2,,81-83,,
10:01.0,,,81-83,,Defensive rebound by R. Rondo
9:47.0,,,81-83,,Shooting foul by J. Jerebko (drawn by C. Felicio)
9:47.0,,,81-84,1,C. Felicio makes free throw 1 of 2
9:47.0,,,81-85,1,C. Felicio makes free throw 2 of 2
9:29.0,T. Rozier misses 3-pt shot from 26 ft,,81-85,,
9:28.0,,,81-85,,Defensive rebound by D. McDermott
9:04.0,,,81-85,,R. Rondo misses 2-pt shot from 16 ft
9:02.0,Defensive rebound by J. Jerebko,,81-85,,
8:47.0,K. Olynyk makes 2-pt shot from 2 ft (assist by T. Rozier),2,83-85,,
8:47.0,Shooting foul by R. Rondo (drawn by K. Olynyk),,83-85,,
8:47.0,Boston full timeout,,83-85,,
8:47.0,K. Olynyk makes free throw 1 of 1,1,84-85,,
8:47.0,I. Thomas enters the game for M. Smart,,83-85,,
8:47.0,,,83-85,,J. Butler enters the game for R. Rondo
8:47.0,J. Crowder enters the game for G. Green,,83-85,,
8:28.0,,,84-88,3,J. Butler makes 3-pt shot from 25 ft
8:00.0,K. Olynyk makes 2-pt shot from 20 ft (assist by I. Thomas),2,86-88,,
7:46.0,Personal foul by I. Thomas (drawn by J. Grant),,86-88,,
7:34.0,,,86-88,,J. Butler misses 2-pt shot from 15 ft
7:33.0,,,86-88,,Offensive rebound by C. Felicio
7:13.0,,,86-88,,C. Felicio misses 2-pt shot from 21 ft
7:13.0,,,86-88,,Offensive rebound by Team
7:09.0,,,86-90,2,B. Portis makes 2-pt shot from 2 ft (assist by J. Grant)
6:53.0,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas),3,89-90,,
6:33.0,,,89-92,2,C. Felicio makes 2-pt shot from 2 ft (assist by J. Butler)
