time,LA Clippers,pts.away,score,pts.home,Dallas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,70-45,,
11:15.0,,,70-45,,H. Barnes misses 2-pt shot from 14 ft
11:14.0,Defensive rebound by B. Griffin,,70-45,,
11:04.0,B. Griffin makes 2-pt shot from 18 ft (assist by J. Redick),2,72-45,,
10:42.0,,,72-45,,W. Matthews misses 2-pt shot from 20 ft
10:41.0,Defensive rebound by D. Jordan,,72-45,,
10:32.0,J. Redick misses 3-pt shot from 24 ft,,72-45,,
10:31.0,,,72-45,,Defensive rebound by Team
10:31.0,,,72-45,,Dallas full timeout
10:12.0,,,72-45,,H. Barnes misses 2-pt shot from 7 ft (block by D. Jordan)
10:10.0,Defensive rebound by C. Paul,,72-45,,
10:05.0,C. Paul misses 3-pt shot from 25 ft,,72-45,,
10:03.0,,,72-45,,Defensive rebound by A. Bogut
9:51.0,,,72-47,2,H. Barnes makes 2-pt shot from 2 ft
9:33.0,B. Griffin misses 2-pt shot from 19 ft,,72-47,,
9:32.0,,,72-47,,Defensive rebound by D. Nowitzki
9:24.0,,,72-47,,Turnover by S. Curry (lost ball)
9:07.0,D. Jordan makes 2-pt shot from 5 ft (assist by B. Griffin),2,74-47,,
9:07.0,Shooting foul by D. Nowitzki (drawn by D. Jordan),,74-47,,
9:07.0,,,74-47,,Technical foul by Team
9:07.0,J. Redick makes technical free throw,1,75-47,,
9:07.0,D. Jordan makes free throw 1 of 1,1,76-47,,
9:00.0,,,76-47,,Offensive foul by A. Bogut
9:00.0,,,76-47,,Turnover by A. Bogut (offensive foul)
8:54.0,,,76-47,,Flagrant foul type 1 by A. Bogut (drawn by C. Paul)
8:54.0,C. Paul makes flagrant free throw 1 of 2,1,77-47,,
8:54.0,C. Paul makes flagrant free throw 2 of 2,1,78-47,,
8:54.0,,,78-47,,S. Mejri enters the game for A. Bogut
8:49.0,Turnover by B. Griffin (lost ball; steal by S. Curry),,78-47,,
8:45.0,,,78-49,2,S. Curry makes 2-pt shot from 1 ft
8:29.0,,,78-49,,Personal block foul by S. Mejri (drawn by B. Griffin)
8:24.0,J. Redick misses 3-pt shot from 26 ft,,78-49,,
8:23.0,,,78-49,,Defensive rebound by H. Barnes
8:11.0,,,78-52,3,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes)
7:55.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,78-52,,
7:54.0,,,78-52,,Defensive rebound by Team
7:35.0,,,78-52,,Shooting foul by L. Mbah a Moute (drawn by D. Nowitzki)
7:35.0,,,78-53,1,D. Nowitzki makes free throw 1 of 2
7:35.0,,,78-54,1,D. Nowitzki makes free throw 2 of 2
7:19.0,Turnover by J. Redick (lost ball; steal by S. Mejri),,78-54,,
7:14.0,,,78-57,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Mejri)
6:56.0,D. Jordan misses 2-pt shot at rim,,78-57,,
6:54.0,Offensive rebound by C. Paul,,78-57,,
6:53.0,C. Paul makes 2-pt shot from 10 ft,2,80-57,,
6:46.0,Personal foul by B. Griffin (drawn by H. Barnes),,80-57,,
6:42.0,,,80-57,,H. Barnes misses 2-pt shot from 7 ft
6:40.0,,,80-57,,Offensive rebound by S. Mejri
6:40.0,,,80-57,,S. Mejri misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by L. Mbah a Moute,,80-57,,
6:34.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,83-57,,
6:34.0,,,83-57,,Dallas full timeout
6:34.0,,,83-57,,D. Finney-Smith enters the game for D. Nowitzki
6:34.0,,,83-57,,A. Bogut enters the game for S. Mejri
6:12.0,,,83-57,,Turnover by W. Matthews (bad pass; steal by L. Mbah a Moute)
6:02.0,,,83-57,,Personal foul by W. Matthews (drawn by D. Jordan)
5:53.0,J. Redick misses 2-pt shot from 18 ft,,83-57,,
5:52.0,,,83-57,,Defensive rebound by W. Matthews
5:36.0,,,83-57,,Turnover by H. Barnes (bad pass; steal by C. Paul)
5:32.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,85-57,,
5:11.0,,,85-57,,S. Curry misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by D. Jordan,,85-57,,
5:00.0,C. Paul misses 3-pt shot from 25 ft,,85-57,,
4:59.0,,,85-57,,Defensive rebound by A. Bogut
4:51.0,,,85-57,,D. Finney-Smith misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by J. Redick,,85-57,,
4:47.0,Turnover by J. Redick (lost ball; steal by D. Finney-Smith),,85-57,,
4:36.0,,,85-59,2,S. Curry makes 2-pt shot from 18 ft (assist by W. Matthews)
4:14.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by D. Jordan),3,88-59,,
3:49.0,,,88-62,3,W. Matthews makes 3-pt shot from 24 ft
3:33.0,B. Griffin misses 2-pt shot from 20 ft,,88-62,,
3:32.0,Offensive rebound by Team,,88-62,,
3:30.0,J. Crawford enters the game for L. Mbah a Moute,,88-62,,
3:30.0,A. Rivers enters the game for J. Redick,,88-62,,
3:30.0,,,88-62,,J. Gibson enters the game for S. Curry
3:18.0,Shooting foul by A. Bogut (drawn by B. Griffin),,88-62,,
3:18.0,B. Griffin misses free throw 1 of 2,,88-62,,
3:18.0,Offensive rebound by Team,,88-62,,
3:18.0,B. Griffin makes free throw 2 of 2,1,89-62,,
3:11.0,,,89-62,,Shooting foul by D. Jordan (drawn by J. Gibson)
3:11.0,,,89-63,1,J. Gibson makes free throw 1 of 2
3:11.0,,,89-64,1,J. Gibson makes free throw 2 of 2
3:11.0,W. Johnson enters the game for C. Paul,,89-63,,
3:11.0,R. Felton enters the game for B. Griffin,,89-63,,
2:52.0,J. Crawford misses 2-pt shot from 22 ft,,89-64,,
2:51.0,,,89-64,,Defensive rebound by W. Matthews
2:47.0,,,89-64,,Shooting foul by J. Crawford (drawn by W. Matthews)
2:47.0,LA Clippers full timeout,,89-64,,
2:47.0,,,89-65,1,W. Matthews makes free throw 1 of 3
2:47.0,,,89-66,1,W. Matthews makes free throw 2 of 3
2:47.0,,,89-67,1,W. Matthews makes free throw 3 of 3
2:47.0,M. Speights enters the game for D. Jordan,,89-64,,
2:31.0,J. Crawford makes 2-pt shot from 18 ft,2,91-67,,
2:20.0,,,91-67,,Turnover by W. Matthews (bad pass)
2:07.0,A. Rivers misses 2-pt shot from 5 ft,,91-67,,
2:06.0,Offensive rebound by M. Speights,,91-67,,
2:03.0,M. Speights makes 2-pt shot from 1 ft,2,93-67,,
1:45.0,,,93-67,,J. Gibson misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by M. Speights,,93-67,,
1:36.0,M. Speights misses 3-pt shot from 28 ft,,93-67,,
1:35.0,,,93-67,,Defensive rebound by A. Bogut
1:14.0,,,93-67,,W. Matthews misses 2-pt shot from 11 ft
1:13.0,Defensive rebound by M. Speights,,93-67,,
1:05.0,J. Crawford misses 2-pt shot at rim,,93-67,,
1:04.0,,,93-67,,Defensive rebound by H. Barnes
0:56.0,,,93-70,3,W. Matthews makes 3-pt shot from 24 ft (assist by A. Bogut)
0:46.0,W. Johnson misses 2-pt shot at rim (block by D. Finney-Smith),,93-70,,
0:43.0,,,93-70,,Defensive rebound by A. Bogut
0:39.0,,,93-70,,J. Gibson misses 2-pt shot from 2 ft (block by M. Speights)
0:38.0,Defensive rebound by M. Speights,,93-70,,
0:34.0,W. Johnson misses 3-pt shot from 25 ft,,93-70,,
0:32.0,,,93-70,,Defensive rebound by H. Barnes
0:12.0,,,93-70,,H. Barnes misses 2-pt shot from 22 ft
0:11.0,Defensive rebound by M. Speights,,93-70,,
0:02.0,R. Felton misses 3-pt shot from 24 ft,,93-70,,
0:00.0,,,93-70,,Defensive rebound by A. Bogut
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,93-70,,J. Gibson misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by M. Speights,,93-70,,
11:20.0,A. Rivers misses 2-pt shot from 5 ft,,93-70,,
11:18.0,Offensive rebound by M. Speights,,93-70,,
11:18.0,Shooting foul by N. Brussino (drawn by M. Speights),,93-70,,
11:18.0,Technical foul by A. Rivers,,93-70,,
11:18.0,,,93-71,1,S. Curry makes technical free throw
11:18.0,M. Speights makes free throw 1 of 2,1,94-71,,
11:18.0,M. Speights makes free throw 2 of 2,1,95-71,,
11:01.0,,,95-71,,D. Powell misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by R. Felton,,95-71,,
10:57.0,Shooting foul by D. Powell (drawn by M. Speights),,95-71,,
10:57.0,M. Speights makes free throw 1 of 2,1,96-71,,
10:57.0,M. Speights makes free throw 2 of 2,1,97-71,,
10:57.0,,,96-71,,J. Anderson enters the game for S. Curry
10:48.0,Shooting block foul by M. Speights (drawn by D. Powell),,97-71,,
10:48.0,,,97-72,1,D. Powell makes free throw 1 of 2
10:48.0,,,97-73,1,D. Powell makes free throw 2 of 2
10:25.0,A. Rivers misses 3-pt shot from 25 ft,,97-73,,
10:24.0,Offensive rebound by W. Johnson,,97-73,,
10:15.0,J. Crawford misses 3-pt shot from 24 ft,,97-73,,
10:14.0,,,97-73,,Defensive rebound by D. Powell
10:05.0,,,97-75,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Gibson)
9:54.0,Turnover by R. Felton (bad pass; steal by N. Brussino),,97-75,,
9:54.0,Personal foul by W. Johnson (drawn by N. Brussino),,97-75,,
9:49.0,,,97-75,,J. Gibson misses 2-pt shot from 19 ft
9:48.0,Defensive rebound by W. Johnson,,97-75,,
9:40.0,R. Felton makes 2-pt shot from 1 ft (assist by M. Speights),2,99-75,,
9:39.0,,,99-75,,Dallas full timeout
9:34.0,,,99-75,,D. Powell misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by W. Johnson,,99-75,,
9:11.0,M. Speights makes 2-pt shot from 15 ft,2,101-75,,
8:54.0,,,101-75,,D. Powell misses 2-pt shot from 5 ft
8:53.0,,,101-75,,Offensive rebound by D. Powell
8:53.0,,,101-77,2,D. Powell makes 2-pt shot from 2 ft
8:35.0,,,101-77,,Personal foul by N. Brussino (drawn by J. Crawford)
8:25.0,J. Crawford makes 3-pt shot from 24 ft,3,104-77,,
8:10.0,Personal foul by W. Johnson (drawn by D. Powell),,104-77,,
8:08.0,Personal foul by M. Speights (drawn by D. Powell),,104-77,,
8:08.0,,,104-77,,Dallas full timeout
7:53.0,,,104-79,2,J. Anderson makes 2-pt shot at rim
7:34.0,J. Crawford misses 2-pt shot from 21 ft,,104-79,,
7:34.0,Offensive rebound by Team,,104-79,,
7:21.0,M. Speights misses 2-pt shot from 21 ft,,104-79,,
7:20.0,,,104-79,,Defensive rebound by J. Anderson
7:14.0,,,104-79,,Turnover by J. Anderson (lost ball)
7:13.0,B. Bass enters the game for W. Johnson,,104-79,,
7:13.0,Violation by Team (jump ball),,104-79,,
6:59.0,A. Rivers makes 3-pt shot from 24 ft (assist by R. Felton),3,107-79,,
6:39.0,,,107-79,,D. Finney-Smith misses 2-pt shot from 17 ft
6:38.0,Defensive rebound by R. Felton,,107-79,,
6:15.0,R. Felton misses 3-pt shot from 24 ft,,107-79,,
6:14.0,,,107-79,,Defensive rebound by J. Anderson
6:06.0,,,107-79,,Shooting foul by M. Speights (drawn by J. Anderson)
6:06.0,,,107-80,1,J. Anderson makes free throw 1 of 2
6:06.0,,,107-81,1,J. Anderson makes free throw 2 of 2
5:52.0,A. Rivers makes 3-pt shot from 26 ft (assist by R. Felton),3,110-81,,
5:34.0,,,110-83,2,J. Gibson makes 2-pt shot from 1 ft (assist by D. Powell)
5:13.0,M. Speights makes 2-pt shot from 4 ft (assist by J. Crawford),2,112-83,,
4:56.0,,,112-86,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by J. Gibson)
4:31.0,J. Crawford misses 3-pt shot from 25 ft,,112-86,,
4:31.0,,,112-86,,Defensive rebound by J. Anderson
4:20.0,,,112-88,2,D. Powell makes 2-pt shot from 12 ft (assist by D. Finney-Smith)
3:59.0,A. Rivers makes 3-pt shot from 25 ft (assist by B. Bass),3,115-88,,
3:41.0,,,115-88,,D. Powell misses 2-pt shot from 6 ft
3:39.0,Defensive rebound by M. Speights,,115-88,,
3:30.0,B. Bass misses 2-pt shot from 8 ft,,115-88,,
3:29.0,Offensive rebound by R. Felton,,115-88,,
3:26.0,Shooting foul by J. Anderson (drawn by J. Crawford),,115-88,,
3:26.0,J. Crawford makes free throw 1 of 2,1,116-88,,
