time,Portland,pts.away,score,pts.home,Utah
0:47.0,,,33-40,,G. Hill misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by J. Nurkic,,33-40,,
0:30.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,36-40,,
0:07.0,,,36-40,,G. Hayward misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by P. Connaughton,,36-40,,
0:01.0,,,36-40,,Personal foul by J. Ingles (drawn by D. Lillard)
0:01.0,D. Lillard makes free throw 1 of 2,1,37-40,,
0:01.0,D. Lillard misses free throw 2 of 2,,37-40,,
0:00.0,Offensive rebound by Team,,37-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,37-40,,Technical foul by R. Gobert
12:00.0,D. Lillard makes technical free throw,1,38-40,,
11:43.0,,,38-40,,G. Hill misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by E. Davis,,38-40,,
11:31.0,M. Harkless makes 2-pt shot from 2 ft,2,40-40,,
11:31.0,Shooting foul by G. Hayward (drawn by M. Harkless),,40-40,,
11:31.0,M. Harkless makes free throw 1 of 1,1,41-40,,
11:23.0,,,41-40,,Shooting foul by M. Leonard (drawn by R. Gobert)
11:23.0,,,41-41,1,R. Gobert makes free throw 1 of 2
11:23.0,,,41-42,1,R. Gobert makes free throw 2 of 2
11:08.0,E. Davis makes 2-pt shot from 5 ft,2,43-42,,
10:54.0,,,43-45,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
10:37.0,C. McCollum misses 2-pt shot from 15 ft,,43-45,,
10:37.0,,,43-45,,Defensive rebound by D. Favors
10:14.0,,,43-45,,G. Hill misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by C. McCollum,,43-45,,
9:56.0,D. Lillard misses 2-pt shot from 10 ft (block by R. Gobert),,43-45,,
9:55.0,,,43-45,,Defensive rebound by G. Hayward
9:41.0,,,43-45,,D. Favors misses 2-pt shot from 14 ft
9:41.0,Defensive rebound by M. Harkless,,43-45,,
9:30.0,E. Davis misses 2-pt shot from 5 ft,,43-45,,
9:30.0,,,43-45,,Defensive rebound by R. Gobert
9:20.0,,,43-48,3,J. Ingles makes 3-pt shot from 25 ft
8:55.0,Offensive foul by C. McCollum,,43-48,,
8:55.0,Turnover by C. McCollum (offensive foul),,43-48,,
8:42.0,,,43-51,3,G. Hill makes 3-pt shot from 23 ft (assist by G. Hayward)
8:40.0,Portland full timeout,,43-51,,
8:27.0,E. Davis makes 2-pt shot at rim (assist by M. Harkless),2,45-51,,
8:13.0,,,45-51,,Turnover by G. Hill (bad pass; steal by M. Harkless)
8:05.0,C. McCollum misses 2-pt shot from 18 ft,,45-51,,
8:04.0,,,45-51,,Defensive rebound by G. Hayward
7:52.0,,,45-51,,G. Hayward misses 2-pt shot from 3 ft
7:51.0,Defensive rebound by M. Leonard,,45-51,,
7:42.0,D. Lillard misses 2-pt shot from 13 ft (block by J. Ingles),,45-51,,
7:40.0,Offensive rebound by E. Davis,,45-51,,
7:26.0,M. Harkless misses 2-pt shot from 16 ft,,45-51,,
7:26.0,,,45-51,,Defensive rebound by J. Ingles
7:18.0,,,45-54,3,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles)
7:01.0,C. McCollum misses 2-pt shot from 15 ft,,45-54,,
7:00.0,,,45-54,,Defensive rebound by R. Gobert
6:52.0,,,45-56,2,R. Gobert makes 2-pt shot from 7 ft (assist by G. Hayward)
6:29.0,D. Lillard misses 2-pt shot from 20 ft,,45-56,,
6:28.0,,,45-56,,Defensive rebound by G. Hayward
6:23.0,,,45-58,2,G. Hill makes 2-pt shot from 2 ft (assist by G. Hayward)
6:23.0,Portland full timeout,,45-58,,
6:23.0,J. Nurkic enters the game for M. Leonard,,45-58,,
6:23.0,,,45-58,,B. Diaw enters the game for D. Favors
6:23.0,,,45-58,,D. Exum enters the game for G. Hill
6:23.0,A. Crabbe enters the game for E. Davis,,45-58,,
6:10.0,,,45-58,,Violation by R. Gobert (kicked ball)
6:06.0,Turnover by J. Nurkic (bad pass; steal by D. Exum),,45-58,,
5:59.0,,,45-60,2,G. Hayward makes 2-pt shot from 13 ft (assist by D. Exum)
5:42.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,47-60,,
5:21.0,,,47-62,2,B. Diaw makes 2-pt shot from 2 ft
5:05.0,C. McCollum misses 3-pt shot from 27 ft,,47-62,,
5:05.0,,,47-62,,Defensive rebound by B. Diaw
4:55.0,,,47-62,,G. Hayward misses 2-pt shot from 18 ft
4:54.0,Defensive rebound by J. Nurkic,,47-62,,
4:46.0,C. McCollum makes 2-pt shot from 2 ft,2,49-62,,
4:45.0,,,49-62,,Utah full timeout
4:45.0,P. Connaughton enters the game for M. Harkless,,49-62,,
4:45.0,,,49-62,,J. Johnson enters the game for J. Ingles
4:45.0,N. Vonleh enters the game for C. McCollum,,49-62,,
4:33.0,,,49-62,,D. Exum misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by J. Nurkic,,49-62,,
4:24.0,,,49-62,,Personal foul by D. Exum (drawn by J. Nurkic)
4:22.0,D. Lillard misses 3-pt shot from 25 ft,,49-62,,
4:21.0,,,49-62,,Defensive rebound by R. Gobert
4:10.0,,,49-62,,D. Exum misses 2-pt shot from 20 ft
4:09.0,Defensive rebound by D. Lillard,,49-62,,
3:59.0,J. Nurkic makes 2-pt shot from 20 ft (assist by D. Lillard),2,51-62,,
3:39.0,,,51-64,2,G. Hayward makes 2-pt shot from 13 ft
3:26.0,Shooting foul by G. Hayward (drawn by J. Nurkic),,51-64,,
3:26.0,J. Nurkic makes free throw 1 of 2,1,52-64,,
3:26.0,J. Nurkic makes free throw 2 of 2,1,53-64,,
3:26.0,,,52-64,,D. Favors enters the game for R. Gobert
3:26.0,,,52-64,,G. Hill enters the game for D. Exum
3:09.0,,,53-64,,G. Hayward misses 2-pt shot from 8 ft
3:08.0,Defensive rebound by N. Vonleh,,53-64,,
2:58.0,D. Lillard misses 2-pt shot from 9 ft,,53-64,,
2:58.0,Offensive rebound by D. Lillard,,53-64,,
2:46.0,J. Nurkic makes 2-pt shot from 8 ft,2,55-64,,
2:30.0,,,55-66,2,G. Hayward makes 2-pt shot from 4 ft
2:30.0,,,55-66,,Shooting foul by P. Connaughton (drawn by G. Hayward)
2:30.0,,,55-67,1,G. Hayward makes free throw 1 of 1
2:18.0,,,55-67,,Personal foul by D. Favors (drawn by J. Nurkic)
2:09.0,A. Crabbe makes 2-pt shot from 2 ft,2,57-67,,
1:49.0,Personal foul by N. Vonleh (drawn by B. Diaw),,57-67,,
1:49.0,,,57-67,,A. Burks enters the game for G. Hayward
1:49.0,E. Davis enters the game for J. Nurkic,,57-67,,
1:43.0,,,57-67,,Turnover by D. Favors (step out of bounds)
1:18.0,A. Crabbe misses 2-pt shot from 10 ft,,57-67,,
1:17.0,,,57-67,,Defensive rebound by G. Hill
1:00.0,,,57-69,2,A. Burks makes 2-pt shot from 15 ft
0:48.0,D. Lillard makes 3-pt shot from 24 ft,3,60-69,,
0:35.0,,,60-71,2,G. Hill makes 2-pt shot from 13 ft
0:21.0,Shooting foul by G. Hill (drawn by D. Lillard),,60-71,,
0:21.0,D. Lillard makes free throw 1 of 3,1,61-71,,
0:21.0,D. Lillard makes free throw 2 of 3,1,62-71,,
0:21.0,D. Lillard misses free throw 3 of 3,,62-71,,
0:20.0,,,62-71,,Defensive rebound by D. Favors
0:03.0,,,62-74,3,J. Johnson makes 3-pt shot from 26 ft (assist by G. Hill)
0:00.0,Turnover by D. Lillard (lost ball),,62-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by G. Hill (drawn by P. Connaughton),,62-74,,
11:42.0,P. Connaughton makes free throw 1 of 3,1,63-74,,
11:42.0,P. Connaughton makes free throw 2 of 3,1,64-74,,
11:42.0,P. Connaughton makes free throw 3 of 3,1,65-74,,
11:42.0,,,64-74,,D. Exum enters the game for G. Hill
11:42.0,,,64-74,,J. Ingles enters the game for J. Johnson
11:26.0,,,65-74,,Turnover by J. Ingles (bad pass)
11:26.0,,,65-74,,Loose ball foul by B. Diaw (drawn by A. Crabbe)
11:07.0,Turnover by J. Nurkic (bad pass),,65-74,,
11:07.0,Loose ball foul by J. Nurkic (drawn by D. Favors),,65-74,,
10:56.0,,,65-76,2,D. Exum makes 2-pt shot from 1 ft
10:42.0,Turnover by C. McCollum (traveling),,65-76,,
10:32.0,,,65-76,,Turnover by D. Exum (bad pass; steal by N. Vonleh)
10:24.0,Turnover by C. McCollum (lost ball; steal by A. Burks),,65-76,,
10:16.0,,,65-76,,Turnover by J. Ingles (bad pass; steal by P. Connaughton)
10:11.0,J. Nurkic makes 2-pt shot from 2 ft (assist by P. Connaughton),2,67-76,,
9:50.0,,,67-76,,B. Diaw misses 2-pt shot from 4 ft
9:50.0,,,67-76,,Offensive rebound by B. Diaw
9:48.0,,,67-76,,B. Diaw misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by N. Vonleh,,67-76,,
9:23.0,C. McCollum makes 2-pt shot from 22 ft,2,69-76,,
9:06.0,Personal foul by N. Vonleh (drawn by B. Diaw),,69-76,,
9:06.0,,,69-76,,G. Hill enters the game for D. Exum
9:06.0,,,69-76,,J. Johnson enters the game for B. Diaw
9:06.0,,,69-76,,G. Hayward enters the game for A. Burks
9:06.0,E. Davis enters the game for J. Nurkic,,69-76,,
8:59.0,,,69-79,3,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward)
8:38.0,Turnover by P. Connaughton (lost ball; steal by J. Ingles),,69-79,,
8:38.0,,,69-79,,Utah full timeout
8:38.0,,,69-79,,R. Gobert enters the game for D. Favors
8:38.0,Jump ball: P. Connaughton vs. J. Ingles (G. Hill gains possession),,,,Jump ball: P. Connaughton vs. J. Ingles (G. Hill gains possession)
8:21.0,,,69-82,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hill)
8:00.0,P. Connaughton misses 3-pt shot from 24 ft,,69-82,,
8:00.0,,,69-82,,Defensive rebound by J. Johnson
7:51.0,,,69-85,3,J. Ingles makes 3-pt shot from 24 ft
7:40.0,Portland full timeout,,69-85,,
7:40.0,D. Lillard enters the game for N. Vonleh,,69-85,,
7:40.0,M. Harkless enters the game for P. Connaughton,,69-85,,
7:40.0,J. Nurkic enters the game for E. Davis,,69-85,,
7:24.0,D. Lillard misses 2-pt shot from 7 ft,,69-85,,
7:23.0,,,69-85,,Defensive rebound by R. Gobert
7:13.0,,,69-85,,G. Hill misses 2-pt shot from 2 ft
7:12.0,,,69-85,,Offensive rebound by R. Gobert
7:12.0,,,69-87,2,R. Gobert makes 2-pt shot at rim
7:02.0,C. McCollum makes 2-pt shot from 12 ft,2,71-87,,
6:48.0,,,71-89,2,G. Hill makes 2-pt shot from 4 ft
6:48.0,,,71-89,,Shooting foul by D. Lillard (drawn by G. Hill)
6:48.0,,,71-89,,G. Hill misses free throw 1 of 1
6:47.0,,,71-89,,Offensive rebound by R. Gobert
6:29.0,,,71-89,,Turnover by G. Hill (bad pass; steal by J. Nurkic)
6:24.0,M. Harkless misses 2-pt shot from 2 ft,,71-89,,
6:24.0,,,71-89,,Defensive rebound by R. Gobert
6:09.0,,,71-89,,Shooting foul by M. Harkless (drawn by J. Johnson)
6:09.0,,,71-90,1,J. Johnson makes free throw 1 of 2
6:09.0,,,71-90,,J. Johnson misses free throw 2 of 2
6:09.0,,,71-90,,D. Exum enters the game for G. Hill
6:08.0,,,71-90,,Offensive rebound by G. Hayward
5:51.0,,,71-92,2,J. Johnson makes 2-pt shot from 2 ft
5:51.0,,,71-92,,Shooting foul by A. Crabbe (drawn by J. Johnson)
5:51.0,,,71-93,1,J. Johnson makes free throw 1 of 1
5:34.0,C. McCollum makes 3-pt shot from 24 ft,3,74-93,,
5:11.0,,,74-95,2,J. Ingles makes 2-pt shot from 3 ft
5:03.0,C. McCollum makes 2-pt shot from 1 ft,2,76-95,,
5:03.0,,,76-95,,Utah full timeout
5:03.0,,,76-95,,G. Hill enters the game for D. Exum
4:53.0,,,76-97,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
4:29.0,C. McCollum misses 3-pt shot from 24 ft,,76-97,,
4:27.0,,,76-97,,Defensive rebound by J. Ingles
4:15.0,,,76-97,,Shooting foul by J. Nurkic (drawn by G. Hayward)
4:15.0,,,76-97,,G. Hayward misses free throw 1 of 2
4:15.0,,,76-97,,Offensive rebound by Team
4:15.0,,,76-98,1,G. Hayward makes free throw 2 of 2
4:15.0,N. Vonleh enters the game for M. Harkless,,76-97,,
4:15.0,S. Napier enters the game for C. McCollum,,76-97,,
4:15.0,J. Layman enters the game for D. Lillard,,76-97,,
4:15.0,T. Quarterman enters the game for A. Crabbe,,76-97,,
4:15.0,M. Leonard enters the game for J. Nurkic,,76-97,,
