time,Brooklyn,pts.away,score,pts.home,Washington
6:23.0,J. Lin misses 3-pt shot from 27 ft,,13-9,,
6:22.0,,,13-9,,Defensive rebound by O. Porter
6:21.0,Personal foul by B. Lopez (drawn by O. Porter),,13-9,,
6:21.0,I. Whitehead enters the game for R. Foye,,13-9,,
6:13.0,,,13-11,2,J. Wall makes 2-pt shot from 16 ft
5:55.0,R. Hollis-Jefferson makes 2-pt shot from 18 ft (assist by J. Lin),2,15-11,,
5:35.0,,,15-11,,B. Beal misses 2-pt shot from 17 ft
5:34.0,,,15-11,,Offensive rebound by O. Porter
5:22.0,,,15-13,2,J. Wall makes 2-pt shot from 2 ft
5:09.0,J. Lin misses 2-pt shot from 5 ft (block by M. Morris),,15-13,,
5:08.0,Offensive rebound by R. Hollis-Jefferson,,15-13,,
5:01.0,B. Lopez makes 2-pt shot from 11 ft,2,17-13,,
4:50.0,Personal foul by J. Lin (drawn by J. Wall),,17-13,,
4:50.0,S. Dinwiddie enters the game for R. Hollis-Jefferson,,17-13,,
4:50.0,Q. Acy enters the game for J. Lin,,17-13,,
4:50.0,,,17-13,,B. Bogdanovic enters the game for M. Morris
4:44.0,,,17-13,,J. Wall misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by B. Lopez,,17-13,,
4:29.0,S. Dinwiddie misses 3-pt shot from 27 ft,,17-13,,
4:29.0,,,17-13,,Defensive rebound by M. Gortat
4:22.0,,,17-16,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
4:11.0,I. Whitehead misses 2-pt shot from 14 ft,,17-16,,
4:10.0,Offensive rebound by C. LeVert,,17-16,,
3:59.0,C. LeVert makes 2-pt shot at rim,2,19-16,,
3:43.0,,,19-18,2,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall)
3:28.0,B. Lopez misses 3-pt shot from 28 ft,,19-18,,
3:27.0,,,19-18,,Defensive rebound by O. Porter
3:23.0,Personal block foul by C. LeVert (drawn by J. Wall),,19-18,,
3:23.0,Brooklyn full timeout,,19-18,,
3:23.0,,,19-19,1,J. Wall makes free throw 1 of 2
3:23.0,,,19-20,1,J. Wall makes free throw 2 of 2
3:23.0,K. McDaniels enters the game for C. LeVert,,19-18,,
3:23.0,T. Booker enters the game for B. Lopez,,19-18,,
3:23.0,,,19-18,,I. Mahinmi enters the game for O. Porter
3:23.0,,,19-18,,K. Oubre enters the game for M. Gortat
3:00.0,,,19-20,,Shooting block foul by K. Oubre (drawn by I. Whitehead)
3:00.0,I. Whitehead makes free throw 1 of 2,1,20-20,,
3:00.0,I. Whitehead makes free throw 2 of 2,1,21-20,,
2:49.0,Personal foul by K. McDaniels,,21-20,,
2:49.0,,,21-21,1,J. Wall makes free throw 1 of 2
2:49.0,,,21-22,1,J. Wall makes free throw 2 of 2
2:49.0,,,21-21,,B. Jennings enters the game for B. Beal
2:36.0,Turnover by I. Whitehead (bad pass; steal by I. Mahinmi),,21-22,,
2:31.0,,,21-24,2,J. Wall makes 2-pt shot from 1 ft
2:22.0,Shooting foul by B. Jennings (drawn by S. Dinwiddie),,21-24,,
2:22.0,S. Dinwiddie misses free throw 1 of 2,,21-24,,
2:22.0,Offensive rebound by Team,,21-24,,
2:22.0,S. Dinwiddie makes free throw 2 of 2,1,22-24,,
2:07.0,,,22-27,3,B. Jennings makes 3-pt shot from 28 ft (assist by J. Wall)
1:51.0,Q. Acy misses 3-pt shot from 25 ft,,22-27,,
1:51.0,,,22-27,,Defensive rebound by J. Wall
1:44.0,,,22-27,,J. Wall misses 2-pt shot from 20 ft
1:42.0,,,22-27,,Offensive rebound by I. Mahinmi
1:39.0,,,22-27,,B. Jennings misses 2-pt shot from 4 ft
1:38.0,Defensive rebound by T. Booker,,22-27,,
1:29.0,,,22-27,,Violation by K. Oubre (kicked ball)
1:29.0,,,22-27,,J. Smith enters the game for J. Wall
1:17.0,S. Dinwiddie misses 2-pt shot from 5 ft,,22-27,,
1:15.0,,,22-27,,Defensive rebound by I. Mahinmi
1:11.0,Personal foul by I. Whitehead (drawn by B. Bogdanovic),,22-27,,
1:11.0,,,22-28,1,B. Bogdanovic makes free throw 1 of 2
1:11.0,,,22-29,1,B. Bogdanovic makes free throw 2 of 2
1:11.0,A. Goodwin enters the game for I. Whitehead,,22-28,,
0:59.0,Turnover by A. Goodwin (lost ball; steal by K. Oubre),,22-29,,
0:56.0,,,22-29,,K. Oubre misses 2-pt shot from 2 ft (block by Q. Acy)
0:56.0,,,22-29,,Offensive rebound by Team
0:49.0,,,22-29,,B. Bogdanovic misses 2-pt shot from 7 ft
0:48.0,Defensive rebound by Q. Acy,,22-29,,
0:40.0,T. Booker misses 2-pt shot from 7 ft,,22-29,,
0:39.0,,,22-29,,Defensive rebound by B. Bogdanovic
0:32.0,,,22-31,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings)
0:19.0,Turnover by S. Dinwiddie (bad pass),,22-31,,
0:02.0,,,22-31,,J. Smith misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by Q. Acy,,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-33,2,I. Mahinmi makes 2-pt shot from 4 ft
11:29.0,,,22-33,,Personal foul by K. Oubre (drawn by J. Lin)
11:27.0,J. Lin misses 2-pt shot from 2 ft,,22-33,,
11:26.0,,,22-33,,Defensive rebound by B. Bogdanovic
11:14.0,,,22-35,2,K. Oubre makes 2-pt shot from 20 ft
11:02.0,Shooting foul by J. Smith (drawn by R. Foye),,22-35,,
11:02.0,R. Foye makes free throw 1 of 2,1,23-35,,
11:02.0,R. Foye makes free throw 2 of 2,1,24-35,,
10:49.0,,,24-35,,B. Jennings misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by C. LeVert,,24-35,,
10:40.0,B. Lopez makes 2-pt shot from 2 ft,2,26-35,,
10:25.0,,,26-35,,K. Oubre misses 2-pt shot from 3 ft
10:23.0,Defensive rebound by B. Lopez,,26-35,,
10:17.0,B. Lopez misses 3-pt shot from 26 ft,,26-35,,
10:17.0,,,26-35,,Defensive rebound by B. Bogdanovic
10:04.0,,,26-38,3,K. Oubre makes 3-pt shot from 25 ft (assist by B. Jennings)
9:54.0,J. Lin misses 3-pt shot from 27 ft,,26-38,,
9:53.0,,,26-38,,Defensive rebound by B. Bogdanovic
9:43.0,,,26-40,2,J. Smith makes 2-pt shot from 15 ft (assist by B. Jennings)
9:41.0,Brooklyn full timeout,,26-40,,
9:25.0,C. LeVert misses 2-pt shot from 11 ft,,26-40,,
9:24.0,,,26-40,,Defensive rebound by B. Bogdanovic
9:13.0,,,26-42,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings)
8:51.0,Turnover by B. Lopez (lost ball; steal by I. Mahinmi),,26-42,,
8:42.0,,,26-44,2,B. Bogdanovic makes 2-pt shot from 6 ft
8:19.0,B. Lopez misses 2-pt shot from 18 ft,,26-44,,
8:18.0,,,26-44,,Defensive rebound by J. Smith
8:11.0,,,26-44,,Shooting foul by R. Hollis-Jefferson (drawn by I. Mahinmi)
8:11.0,,,26-44,,I. Mahinmi misses free throw 1 of 2
8:11.0,,,26-44,,Offensive rebound by Team
8:11.0,,,26-45,1,I. Mahinmi makes free throw 2 of 2
8:11.0,S. Dinwiddie enters the game for R. Foye,,26-44,,
8:03.0,J. Lin makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,29-45,,
7:53.0,,,29-45,,Shooting foul by B. Lopez (drawn by I. Mahinmi)
7:53.0,,,29-46,1,I. Mahinmi makes free throw 1 of 2
7:53.0,,,29-47,1,I. Mahinmi makes free throw 2 of 2
7:53.0,K. McDaniels enters the game for C. LeVert,,29-46,,
7:42.0,J. Lin misses 3-pt shot from 26 ft,,29-47,,
7:41.0,,,29-47,,Defensive rebound by I. Mahinmi
7:31.0,,,29-49,2,B. Bogdanovic makes 2-pt shot from 21 ft
7:19.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,29-49,,
7:18.0,,,29-49,,Defensive rebound by I. Mahinmi
7:12.0,,,29-49,,B. Jennings misses 3-pt shot from 27 ft
7:11.0,Defensive rebound by R. Hollis-Jefferson,,29-49,,
7:04.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,29-49,,
7:03.0,,,29-49,,Defensive rebound by J. Smith
6:51.0,,,29-49,,K. Oubre misses 3-pt shot from 28 ft
6:50.0,,,29-49,,Offensive rebound by I. Mahinmi
6:35.0,,,29-51,2,K. Oubre makes 2-pt shot from 3 ft
6:23.0,J. Lin makes 2-pt shot from 2 ft (assist by B. Lopez),2,31-51,,
6:06.0,,,31-53,2,I. Mahinmi makes 2-pt shot from 9 ft (assist by B. Jennings)
5:50.0,Turnover by B. Lopez (lost ball; steal by I. Mahinmi),,31-53,,
5:46.0,,,31-53,,Shooting foul by K. McDaniels (drawn by B. Bogdanovic)
5:46.0,Official timeout,,31-53,,
5:46.0,,,31-54,1,B. Bogdanovic makes free throw 1 of 2
5:46.0,,,31-55,1,B. Bogdanovic makes free throw 2 of 2
5:46.0,,,31-53,,M. Morris enters the game for J. Smith
5:46.0,Q. Acy enters the game for R. Hollis-Jefferson,,31-53,,
5:46.0,J. Hamilton enters the game for B. Lopez,,31-53,,
5:46.0,I. Whitehead enters the game for J. Lin,,31-53,,
5:34.0,Turnover by I. Whitehead (lost ball; steal by I. Mahinmi),,31-55,,
5:12.0,,,31-57,2,M. Morris makes 2-pt shot from 13 ft
4:52.0,K. McDaniels misses 3-pt shot from 27 ft,,31-57,,
4:51.0,,,31-57,,Defensive rebound by K. Oubre
4:44.0,,,31-57,,Shooting foul by S. Dinwiddie (drawn by B. Jennings)
4:44.0,,,31-58,1,B. Jennings makes free throw 1 of 2
4:44.0,,,31-59,1,B. Jennings makes free throw 2 of 2
4:23.0,J. Hamilton makes 3-pt shot from 29 ft (assist by I. Whitehead),3,34-59,,
4:13.0,,,34-59,,B. Bogdanovic misses 3-pt shot from 30 ft
4:12.0,Defensive rebound by Q. Acy,,34-59,,
4:00.0,Q. Acy misses 2-pt shot from 10 ft,,34-59,,
3:59.0,,,34-59,,Defensive rebound by I. Mahinmi
3:36.0,,,34-59,,M. Morris misses 2-pt shot from 20 ft
3:34.0,Defensive rebound by S. Dinwiddie,,34-59,,
3:28.0,I. Whitehead makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,36-59,,
3:27.0,,,36-59,,Washington full timeout
3:27.0,,,36-59,,J. Wall enters the game for B. Bogdanovic
3:27.0,,,36-59,,B. Beal enters the game for I. Mahinmi
3:27.0,,,36-59,,O. Porter enters the game for K. Oubre
3:27.0,,,36-59,,M. Gortat enters the game for B. Jennings
3:16.0,,,36-59,,Turnover by M. Gortat (lost ball)
3:16.0,A. Goodwin enters the game for S. Dinwiddie,,36-59,,
3:06.0,Offensive charge foul by K. McDaniels,,36-59,,
3:06.0,Turnover by K. McDaniels (offensive foul),,36-59,,
2:47.0,,,36-61,2,M. Gortat makes 2-pt shot from 2 ft (assist by M. Morris)
2:28.0,J. Hamilton makes 2-pt shot from 9 ft (assist by A. Goodwin),2,38-61,,
2:09.0,,,38-61,,M. Morris misses 2-pt shot at rim
2:08.0,Defensive rebound by Q. Acy,,38-61,,
2:04.0,Shooting foul by J. Wall (drawn by A. Goodwin),,38-61,,
2:04.0,A. Goodwin makes free throw 1 of 2,1,39-61,,
2:04.0,A. Goodwin makes free throw 2 of 2,1,40-61,,
2:04.0,S. Dinwiddie enters the game for K. McDaniels,,39-61,,
1:46.0,,,40-63,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall)
1:27.0,J. Hamilton misses 3-pt shot from 24 ft,,40-63,,
1:27.0,,,40-63,,Defensive rebound by B. Beal
1:11.0,,,40-63,,J. Wall misses 3-pt shot from 27 ft
1:11.0,,,40-63,,Offensive rebound by M. Gortat
1:07.0,,,40-63,,O. Porter misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Hamilton,,40-63,,
0:46.0,Q. Acy misses 2-pt shot from 20 ft,,40-63,,
0:45.0,,,40-63,,Defensive rebound by J. Wall
0:37.0,,,40-63,,B. Beal misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by J. Hamilton,,40-63,,
0:19.0,A. Goodwin makes 2-pt shot from 2 ft,2,42-63,,
0:03.0,,,42-63,,J. Wall misses 2-pt shot at rim
0:01.0,Defensive rebound by Q. Acy,,42-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,42-63,,M. Gortat misses 2-pt shot from 2 ft
11:46.0,,,42-63,,Offensive rebound by M. Gortat
11:45.0,,,42-63,,M. Gortat misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by R. Hollis-Jefferson,,42-63,,
11:39.0,J. Lin makes 2-pt shot from 1 ft,2,44-63,,
11:19.0,,,44-65,2,B. Beal makes 2-pt shot from 8 ft (assist by J. Wall)
11:19.0,,,44-65,,Shooting foul by C. LeVert (drawn by B. Beal)
11:19.0,,,44-66,1,B. Beal makes free throw 1 of 1
11:12.0,,,44-66,,Violation by M. Gortat (kicked ball)
11:07.0,J. Lin misses 2-pt shot from 1 ft,,44-66,,
11:06.0,Offensive rebound by R. Hollis-Jefferson,,44-66,,
11:05.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,46-66,,
10:50.0,,,46-66,,Turnover by J. Wall (bad pass; steal by R. Foye)
10:39.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,48-66,,
10:21.0,,,48-66,,Turnover by M. Morris (bad pass; steal by C. LeVert)
10:17.0,C. LeVert makes 2-pt shot at rim,2,50-66,,
10:01.0,,,50-68,2,B. Beal makes 2-pt shot from 21 ft
9:51.0,Turnover by R. Foye (traveling),,50-68,,
9:40.0,,,50-70,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
9:29.0,,,50-70,,Personal foul by M. Morris (drawn by B. Lopez)
9:21.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin),2,52-70,,
9:09.0,,,52-70,,J. Wall misses 2-pt shot from 3 ft (block by J. Lin)
9:07.0,Defensive rebound by R. Hollis-Jefferson,,52-70,,
9:03.0,Turnover by C. LeVert (bad pass; steal by B. Beal),,52-70,,
8:59.0,,,52-72,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
8:46.0,,,52-72,,Personal foul by O. Porter (drawn by B. Lopez)
8:35.0,R. Foye makes 2-pt shot from 3 ft (assist by B. Lopez),2,54-72,,
8:17.0,,,54-74,2,M. Gortat makes 2-pt shot from 2 ft (assist by O. Porter)
8:02.0,C. LeVert misses 3-pt shot from 23 ft,,54-74,,
8:01.0,,,54-74,,Defensive rebound by M. Gortat
7:55.0,,,54-74,,Turnover by J. Wall (lost ball; steal by R. Foye)
7:49.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by R. Foye),2,56-74,,
7:43.0,,,56-74,,Turnover by M. Gortat (bad pass; steal by R. Hollis-Jefferson)
7:40.0,Shooting foul by M. Gortat (drawn by J. Lin),,56-74,,
7:40.0,,,56-74,,Washington full timeout
7:40.0,J. Lin makes free throw 1 of 2,1,57-74,,
7:40.0,J. Lin makes free throw 2 of 2,1,58-74,,
7:25.0,,,58-76,2,J. Wall makes 2-pt shot from 19 ft (assist by O. Porter)
7:13.0,J. Lin misses 2-pt shot from 16 ft,,58-76,,
7:12.0,,,58-76,,Defensive rebound by M. Gortat
6:49.0,,,58-76,,B. Beal misses 2-pt shot from 5 ft
6:48.0,,,58-76,,Offensive rebound by M. Gortat
6:35.0,,,58-76,,O. Porter misses 3-pt shot from 23 ft
6:34.0,,,58-76,,Offensive rebound by J. Wall
6:32.0,Violation by R. Hollis-Jefferson (kicked ball),,58-76,,
6:32.0,S. Dinwiddie enters the game for R. Foye,,58-76,,
6:32.0,I. Whitehead enters the game for C. LeVert,,58-76,,
6:20.0,,,58-76,,B. Beal misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by I. Whitehead,,58-76,,
6:13.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,58-76,,
6:13.0,Offensive rebound by R. Hollis-Jefferson,,58-76,,
6:09.0,I. Whitehead makes 2-pt shot from 4 ft (assist by R. Hollis-Jefferson),2,60-76,,
5:50.0,,,60-76,,J. Wall misses 2-pt shot from 13 ft
5:49.0,,,60-76,,Offensive rebound by M. Gortat
5:49.0,Personal foul by J. Lin (drawn by M. Gortat),,60-76,,
5:49.0,,,60-76,,I. Mahinmi enters the game for M. Gortat
5:39.0,Personal foul by B. Lopez (drawn by M. Morris),,60-76,,
5:30.0,,,60-76,,J. Wall misses 2-pt shot from 18 ft
5:29.0,Defensive rebound by B. Lopez,,60-76,,
5:23.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,62-76,,
5:09.0,,,62-79,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
5:03.0,Turnover by J. Lin (bad pass; steal by M. Morris),,62-79,,
4:56.0,,,62-81,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
4:56.0,,,62-81,,Shooting foul by J. Lin (drawn by B. Beal)
4:56.0,Brooklyn full timeout,,62-81,,
4:56.0,,,62-82,1,B. Beal makes free throw 1 of 1
4:56.0,J. Hamilton enters the game for B. Lopez,,62-81,,
4:56.0,K. McDaniels enters the game for J. Lin,,62-81,,
4:56.0,,,62-81,,J. Smith enters the game for M. Morris
4:42.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,64-82,,
4:42.0,Shooting foul by I. Mahinmi (drawn by R. Hollis-Jefferson),,64-82,,
4:42.0,R. Hollis-Jefferson makes free throw 1 of 1,1,65-82,,
4:30.0,,,65-84,2,I. Mahinmi makes 2-pt shot at rim (assist by J. Wall)
4:30.0,,,65-84,,Shooting foul by K. McDaniels (drawn by I. Mahinmi)
4:30.0,,,65-85,1,I. Mahinmi makes free throw 1 of 1
4:20.0,I. Whitehead makes 2-pt shot from 1 ft,2,67-85,,
3:58.0,,,67-85,,B. Beal misses 2-pt shot from 16 ft
3:57.0,Defensive rebound by I. Whitehead,,67-85,,
3:48.0,K. McDaniels misses 2-pt shot from 5 ft,,67-85,,
3:48.0,,,67-85,,Defensive rebound by J. Smith
3:42.0,,,67-87,2,J. Wall makes 2-pt shot from 1 ft
3:21.0,,,67-87,,Personal foul by O. Porter
3:21.0,K. McDaniels makes free throw 1 of 2,1,68-87,,
3:21.0,K. McDaniels makes free throw 2 of 2,1,69-87,,
3:21.0,,,68-87,,B. Bogdanovic enters the game for O. Porter
3:21.0,A. Nicholson enters the game for R. Hollis-Jefferson,,68-87,,
2:59.0,,,69-87,,J. Smith misses 2-pt shot from 18 ft
2:58.0,Defensive rebound by K. McDaniels,,69-87,,
2:44.0,K. McDaniels makes 2-pt shot from 21 ft,2,71-87,,
2:28.0,,,71-89,2,J. Wall makes 2-pt shot from 14 ft
2:13.0,K. McDaniels makes 2-pt shot from 8 ft,2,73-89,,
2:00.0,,,73-89,,Turnover by B. Bogdanovic (lost ball)
2:00.0,,,73-89,,B. Jennings enters the game for J. Wall
1:45.0,A. Nicholson makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,75-89,,
1:39.0,Personal foul by A. Nicholson (drawn by B. Beal),,75-89,,
1:39.0,,,75-90,1,B. Beal makes free throw 1 of 2
1:39.0,,,75-91,1,B. Beal makes free throw 2 of 2
1:31.0,J. Hamilton makes 2-pt shot at rim (assist by S. Dinwiddie),2,77-91,,
1:18.0,,,77-93,2,B. Beal makes 2-pt shot from 15 ft (assist by B. Jennings)
1:03.0,,,77-93,,Personal foul by B. Beal (drawn by J. Hamilton)
1:03.0,J. Hamilton makes free throw 1 of 2,1,78-93,,
1:03.0,J. Hamilton makes free throw 2 of 2,1,79-93,,
0:55.0,,,79-95,2,B. Beal makes 2-pt shot from 10 ft (assist by B. Jennings)
0:45.0,J. Hamilton misses 2-pt shot from 5 ft,,79-95,,
0:44.0,,,79-95,,Defensive rebound by B. Bogdanovic
0:31.0,,,79-97,2,B. Jennings makes 2-pt shot from 5 ft
0:19.0,I. Whitehead makes 2-pt shot from 5 ft,2,81-97,,
0:01.0,,,81-97,,B. Bogdanovic misses 3-pt shot from 27 ft
0:00.0,,,81-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Hamilton makes 2-pt shot from 1 ft (assist by I. Whitehead),2,83-97,,
11:30.0,,,83-97,,B. Bogdanovic misses 2-pt shot from 5 ft
11:29.0,Defensive rebound by J. Hamilton,,83-97,,
11:22.0,Turnover by S. Dinwiddie (offensive foul),,83-97,,
11:22.0,Offensive foul by S. Dinwiddie,,83-97,,
11:22.0,R. Foye enters the game for I. Whitehead,,83-97,,
11:12.0,,,83-100,3,B. Jennings makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
10:57.0,Shooting foul by J. Smith (drawn by S. Dinwiddie),,83-100,,
10:57.0,S. Dinwiddie misses free throw 1 of 2,,83-100,,
10:57.0,Offensive rebound by Team,,83-100,,
10:57.0,S. Dinwiddie misses free throw 2 of 2,,83-100,,
10:56.0,,,83-100,,Defensive rebound by K. Oubre
10:42.0,,,83-100,,K. Oubre misses 3-pt shot from 27 ft
10:40.0,Defensive rebound by A. Nicholson,,83-100,,
10:34.0,J. Hamilton makes 2-pt shot from 1 ft (assist by R. Foye),2,85-100,,
10:18.0,,,85-103,3,J. Smith makes 3-pt shot from 26 ft (assist by B. Bogdanovic)
10:08.0,K. McDaniels makes 2-pt shot at rim (assist by J. Hamilton),2,87-103,,
9:51.0,,,87-103,,J. Smith misses 3-pt shot from 25 ft
9:50.0,,,87-103,,Offensive rebound by B. Jennings
9:44.0,,,87-105,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Jennings)
9:31.0,Turnover by S. Dinwiddie (discontinued dribble),,87-105,,
9:31.0,A. Goodwin enters the game for S. Dinwiddie,,87-105,,
9:17.0,,,87-105,,Shooting foul by A. Goodwin (drawn by I. Mahinmi)
9:17.0,,,87-106,1,I. Mahinmi makes free throw 1 of 2
9:17.0,,,87-107,1,I. Mahinmi makes free throw 2 of 2
9:08.0,K. McDaniels misses 2-pt shot from 1 ft,,87-107,,
9:07.0,Offensive rebound by K. McDaniels,,87-107,,
9:03.0,K. McDaniels misses 2-pt shot from 2 ft (block by I. Mahinmi),,87-107,,
9:01.0,,,87-107,,Defensive rebound by B. Jennings
8:54.0,,,87-107,,K. Oubre misses 2-pt shot from 6 ft
8:53.0,,,87-107,,Offensive rebound by I. Mahinmi
8:51.0,,,87-107,,I. Mahinmi misses 2-pt shot from 13 ft
8:50.0,Defensive rebound by A. Nicholson,,87-107,,
8:50.0,Official timeout,,87-107,,
8:35.0,J. Hamilton makes 3-pt shot from 24 ft (assist by A. Goodwin),3,90-107,,
8:14.0,,,90-109,2,B. Bogdanovic makes 2-pt shot from 2 ft
8:14.0,,,90-109,,Shooting foul by K. McDaniels (drawn by B. Bogdanovic)
8:14.0,,,90-110,1,B. Bogdanovic makes free throw 1 of 1
8:01.0,A. Nicholson makes 2-pt shot from 21 ft (assist by J. Hamilton),2,92-110,,
7:42.0,,,92-113,3,B. Jennings makes 3-pt shot from 28 ft
7:30.0,J. Hamilton misses 2-pt shot from 19 ft,,92-113,,
7:29.0,,,92-113,,Defensive rebound by B. Bogdanovic
7:20.0,,,92-113,,B. Bogdanovic misses 2-pt shot from 15 ft
7:20.0,Defensive rebound by A. Nicholson,,92-113,,
7:11.0,Turnover by R. Foye (lost ball; steal by B. Bogdanovic),,92-113,,
7:11.0,Personal foul by R. Foye (drawn by B. Bogdanovic),,92-113,,
6:59.0,,,92-113,,J. Smith misses 3-pt shot from 26 ft
6:58.0,,,92-113,,Offensive rebound by B. Jennings
6:54.0,,,92-115,2,B. Jennings makes 2-pt shot from 15 ft
6:44.0,Shooting foul by I. Mahinmi (drawn by J. Hamilton),,92-115,,
6:44.0,J. Hamilton misses free throw 1 of 2,,92-115,,
6:44.0,Offensive rebound by Team,,92-115,,
6:44.0,J. Hamilton makes free throw 2 of 2,1,93-115,,
6:26.0,,,93-115,,Turnover by B. Bogdanovic (bad pass; steal by K. McDaniels)
6:09.0,R. Foye makes 2-pt shot from 1 ft,2,95-115,,
5:58.0,,,95-115,,Washington full timeout
5:58.0,,,95-115,,D. Ochefu enters the game for I. Mahinmi
