time,Charlotte,pts.away,score,pts.home,Golden State
7:37.0,M. Williams misses 3-pt shot from 25 ft,,7-17,,
7:36.0,,,7-17,,Defensive rebound by K. Thompson
7:23.0,,,7-20,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
7:01.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by N. Batum),2,9-20,,
6:50.0,,,9-20,,J. McGee misses 2-pt shot at rim
6:49.0,,,9-20,,Offensive rebound by K. Durant
6:47.0,,,9-23,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
6:41.0,Charlotte full timeout,,9-23,,
6:35.0,N. Batum misses 2-pt shot from 18 ft,,9-23,,
6:35.0,,,9-23,,Defensive rebound by D. Green
6:31.0,,,9-23,,Offensive foul by J. McGee
6:31.0,,,9-23,,Turnover by J. McGee (offensive foul)
6:19.0,S. Hawes misses 3-pt shot from 26 ft,,9-23,,
6:18.0,,,9-23,,Defensive rebound by J. McGee
6:11.0,,,9-23,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Thompson)
6:11.0,,,9-25,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
6:11.0,,,9-26,1,K. Thompson makes free throw 1 of 1
6:11.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,9-25,,
6:11.0,F. Kaminsky enters the game for M. Williams,,9-25,,
5:48.0,Turnover by K. Walker (lost ball; steal by S. Curry),,9-26,,
5:38.0,,,9-26,,K. Thompson misses 3-pt shot from 27 ft
5:37.0,,,9-26,,Offensive rebound by J. McGee
5:37.0,,,9-28,2,J. McGee makes 2-pt shot from 4 ft
5:37.0,,,9-28,,Shooting foul by M. Belinelli (drawn by J. McGee)
5:37.0,,,9-29,1,J. McGee makes free throw 1 of 1
5:23.0,N. Batum misses 2-pt shot from 14 ft,,9-29,,
5:23.0,Offensive rebound by Team,,9-29,,
5:22.0,,,9-29,,A. Iguodala enters the game for D. Green
5:12.0,M. Belinelli misses 2-pt shot from 2 ft (block by J. McGee),,9-29,,
5:11.0,Offensive rebound by N. Batum,,9-29,,
5:08.0,M. Belinelli misses 3-pt shot from 26 ft,,9-29,,
5:07.0,,,9-29,,Defensive rebound by K. Durant
5:02.0,,,9-31,2,A. Iguodala makes 2-pt shot at rim (assist by K. Durant)
4:37.0,M. Belinelli makes 2-pt shot from 3 ft (assist by N. Batum),2,11-31,,
4:14.0,,,11-33,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
3:53.0,F. Kaminsky misses 2-pt shot from 17 ft,,11-33,,
3:52.0,,,11-33,,Defensive rebound by K. Thompson
3:44.0,,,11-33,,K. Durant misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by S. Hawes,,11-33,,
3:39.0,Shooting foul by A. Iguodala (drawn by K. Walker),,11-33,,
3:39.0,K. Walker makes free throw 1 of 2,1,12-33,,
3:39.0,K. Walker makes free throw 2 of 2,1,13-33,,
3:39.0,,,12-33,,K. Looney enters the game for J. McGee
3:39.0,,,12-33,,P. McCaw enters the game for K. Thompson
3:37.0,,,13-33,,Golden State full timeout
3:37.0,R. Sessions enters the game for K. Walker,,13-33,,
3:25.0,,,13-33,,S. Curry misses 3-pt shot from 28 ft
3:23.0,Defensive rebound by N. Batum,,13-33,,
3:12.0,S. Hawes makes 2-pt shot from 2 ft (assist by R. Sessions),2,15-33,,
3:00.0,,,15-33,,K. Durant misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by F. Kaminsky,,15-33,,
2:48.0,,,15-33,,Personal foul by S. Curry (drawn by M. Belinelli)
2:35.0,F. Kaminsky misses 3-pt shot from 28 ft,,15-33,,
2:35.0,,,15-33,,Defensive rebound by S. Curry
2:23.0,,,15-35,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry)
2:23.0,,,15-35,,Shooting foul by S. Hawes (drawn by K. Looney)
2:23.0,,,15-35,,K. Looney misses free throw 1 of 1
2:23.0,M. Williams enters the game for S. Hawes,,15-35,,
2:21.0,Defensive rebound by M. Williams,,15-35,,
2:06.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by N. Batum),2,17-35,,
1:44.0,,,17-35,,S. Curry misses 2-pt shot from 1 ft
1:43.0,,,17-35,,Offensive rebound by K. Durant
1:43.0,,,17-35,,K. Durant misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by F. Kaminsky,,17-35,,
1:32.0,M. Belinelli misses 3-pt shot from 26 ft,,17-35,,
1:31.0,,,17-35,,Defensive rebound by K. Durant
1:27.0,,,17-38,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
1:16.0,R. Sessions misses 2-pt shot from 3 ft,,17-38,,
1:15.0,,,17-38,,Defensive rebound by K. Durant
1:04.0,,,17-38,,S. Curry misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by M. Williams,,17-38,,
0:59.0,,,17-38,,D. Green enters the game for K. Durant
0:54.0,M. Williams makes 2-pt shot from 19 ft (assist by R. Sessions),2,19-38,,
0:44.0,,,19-38,,Offensive foul by K. Looney
0:44.0,,,19-38,,Turnover by K. Looney (offensive foul)
0:32.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by N. Batum),2,21-38,,
0:08.0,,,21-38,,A. Iguodala misses 3-pt shot from 26 ft
0:08.0,,,21-38,,Offensive rebound by S. Curry
0:02.0,,,21-41,3,S. Curry makes 3-pt shot from 29 ft
0:01.0,F. Kaminsky misses 3-pt shot from 72 ft,,21-41,,
0:00.0,Offensive rebound by Team,,21-41,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,F. Kaminsky makes 2-pt shot from 14 ft (assist by M. Belinelli),2,23-41,,
11:26.0,,,23-41,,I. Clark misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by M. Kidd-Gilchrist,,23-41,,
11:22.0,Shooting foul by I. Clark (drawn by R. Sessions),,23-41,,
11:22.0,R. Sessions misses free throw 1 of 2,,23-41,,
11:22.0,Offensive rebound by Team,,23-41,,
11:22.0,R. Sessions makes free throw 2 of 2,1,24-41,,
11:09.0,,,24-41,,K. Thompson misses 3-pt shot from 27 ft
11:09.0,Defensive rebound by F. Kaminsky,,24-41,,
10:58.0,M. Williams makes 2-pt shot from 2 ft (assist by R. Sessions),2,26-41,,
10:48.0,,,26-43,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
10:32.0,M. Belinelli misses 3-pt shot from 27 ft,,26-43,,
10:32.0,,,26-43,,Defensive rebound by D. Green
10:18.0,,,26-46,3,D. Green makes 3-pt shot from 28 ft (assist by K. Thompson)
9:58.0,R. Sessions misses 3-pt shot from 26 ft,,26-46,,
9:58.0,Offensive rebound by M. Belinelli,,26-46,,
9:53.0,R. Sessions misses 2-pt shot from 3 ft (block by J. McAdoo),,26-46,,
9:52.0,,,26-46,,Defensive rebound by A. Iguodala
9:38.0,,,26-46,,D. Green misses 3-pt shot from 26 ft
9:37.0,,,26-46,,Offensive rebound by K. Thompson
9:36.0,,,26-49,3,K. Thompson makes 3-pt shot from 27 ft
9:07.0,M. Belinelli makes 2-pt shot from 14 ft,2,28-49,,
8:54.0,,,28-52,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
8:41.0,M. Belinelli makes 2-pt shot from 4 ft (assist by M. Kidd-Gilchrist),2,30-52,,
8:41.0,Shooting foul by J. McAdoo (drawn by M. Belinelli),,30-52,,
8:41.0,Official timeout,,30-52,,
8:41.0,M. Belinelli makes free throw 1 of 1,1,31-52,,
8:21.0,,,31-52,,I. Clark misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by F. Kaminsky,,31-52,,
8:07.0,F. Kaminsky makes 2-pt shot from 6 ft (assist by M. Belinelli),2,33-52,,
7:57.0,,,33-52,,D. Green misses 3-pt shot from 26 ft
7:56.0,,,33-52,,Offensive rebound by I. Clark
7:55.0,Loose ball foul by F. Kaminsky (drawn by I. Clark),,33-52,,
7:55.0,K. Walker enters the game for R. Sessions,,33-52,,
7:55.0,J. Lamb enters the game for M. Kidd-Gilchrist,,33-52,,
7:51.0,,,33-54,2,K. Thompson makes 2-pt shot from 17 ft (assist by I. Clark)
7:37.0,F. Kaminsky makes 2-pt shot from 4 ft (assist by M. Belinelli),2,35-54,,
7:10.0,,,35-54,,D. Green misses 3-pt shot from 27 ft
7:08.0,Defensive rebound by J. Lamb,,35-54,,
6:56.0,J. Lamb misses 2-pt shot from 6 ft,,35-54,,
6:56.0,,,35-54,,Defensive rebound by D. Green
6:51.0,,,35-57,3,K. Thompson makes 3-pt shot from 28 ft (assist by D. Green)
6:31.0,M. Williams misses 2-pt shot from 6 ft,,35-57,,
6:31.0,,,35-57,,Defensive rebound by A. Iguodala
6:25.0,,,35-57,,K. Thompson misses 3-pt shot from 28 ft
6:24.0,Defensive rebound by M. Williams,,35-57,,
6:17.0,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker),2,37-57,,
6:16.0,,,37-57,,Golden State full timeout
6:16.0,N. Batum enters the game for M. Belinelli,,37-57,,
6:16.0,,,37-57,,S. Curry enters the game for D. Green
6:16.0,,,37-57,,K. Durant enters the game for A. Iguodala
6:16.0,,,37-57,,P. McCaw enters the game for I. Clark
5:59.0,Personal foul by F. Kaminsky (drawn by J. McAdoo),,37-57,,
5:57.0,Shooting block foul by K. Walker (drawn by K. Thompson),,37-57,,
5:57.0,,,37-58,1,K. Thompson makes free throw 1 of 2
5:57.0,,,37-59,1,K. Thompson makes free throw 2 of 2
5:57.0,S. Hawes enters the game for F. Kaminsky,,37-58,,
5:57.0,,,37-58,,J. McGee enters the game for J. McAdoo
5:47.0,,,37-59,,Def 3 sec tech foul by J. McGee
5:47.0,N. Batum makes technical free throw,1,38-59,,
5:35.0,J. Lamb makes 2-pt shot from 6 ft (assist by N. Batum),2,40-59,,
5:25.0,,,40-59,,Turnover by K. Durant (traveling)
5:08.0,J. Lamb misses 2-pt shot from 14 ft,,40-59,,
5:07.0,Offensive rebound by N. Batum,,40-59,,
5:02.0,N. Batum makes 2-pt shot from 16 ft,2,42-59,,
4:37.0,,,42-59,,Shooting foul by J. Lamb (drawn by P. McCaw)
4:37.0,,,42-60,1,P. McCaw makes free throw 1 of 2
4:37.0,,,42-61,1,P. McCaw makes free throw 2 of 2
4:37.0,,,42-60,,D. Green enters the game for K. Thompson
4:26.0,K. Walker misses 2-pt shot from 4 ft (block by J. McGee),,42-61,,
4:26.0,Offensive rebound by Team,,42-61,,
4:23.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,45-61,,
4:07.0,,,45-61,,K. Durant misses 2-pt shot from 13 ft
4:06.0,Defensive rebound by M. Williams,,45-61,,
4:01.0,J. Lamb misses 2-pt shot from 4 ft (block by D. Green),,45-61,,
3:59.0,Offensive rebound by S. Hawes,,45-61,,
3:54.0,M. Williams misses 3-pt shot from 25 ft,,45-61,,
3:54.0,,,45-61,,Defensive rebound by D. Green
3:37.0,,,45-64,3,S. Curry makes 3-pt shot from 27 ft
3:19.0,S. Hawes misses 2-pt shot from 13 ft,,45-64,,
3:18.0,,,45-64,,Defensive rebound by D. Green
3:12.0,,,45-66,2,S. Curry makes 2-pt shot from 1 ft
2:54.0,,,45-66,,Personal foul by S. Curry (drawn by K. Walker)
2:54.0,Charlotte full timeout,,45-66,,
2:54.0,K. Walker makes free throw 1 of 3,1,46-66,,
2:54.0,K. Walker makes free throw 2 of 3,1,47-66,,
2:54.0,K. Walker makes free throw 3 of 3,1,48-66,,
2:54.0,,,45-66,,A. Iguodala enters the game for J. McGee
2:54.0,,,45-66,,K. Thompson enters the game for P. McCaw
2:39.0,,,48-66,,D. Green misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by S. Hawes,,48-66,,
2:23.0,J. Lamb misses 2-pt shot from 7 ft,,48-66,,
2:23.0,,,48-66,,Defensive rebound by A. Iguodala
2:21.0,,,48-68,2,K. Durant makes 2-pt shot at rim (assist by A. Iguodala)
1:57.0,K. Walker misses 3-pt shot from 26 ft (block by D. Green),,48-68,,
1:57.0,,,48-68,,Defensive rebound by Team
1:47.0,,,48-70,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
1:26.0,N. Batum makes 3-pt shot from 25 ft (assist by S. Hawes),3,51-70,,
1:19.0,,,51-73,3,S. Curry makes 3-pt shot from 31 ft
1:00.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum),2,53-73,,
0:51.0,,,53-73,,K. Durant misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by K. Walker,,53-73,,
0:43.0,M. Williams misses 2-pt shot from 5 ft (block by D. Green),,53-73,,
0:42.0,,,53-73,,Defensive rebound by A. Iguodala
0:39.0,,,53-75,2,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:20.0,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams),3,56-75,,
0:02.0,,,56-77,2,A. Iguodala makes 2-pt shot at rim (assist by K. Durant)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,56-77,,Def 3 sec tech foul by J. McGee
11:50.0,N. Batum makes technical free throw,1,57-77,,
11:38.0,K. Walker misses 3-pt shot from 27 ft,,57-77,,
11:38.0,,,57-77,,Defensive rebound by D. Green
11:30.0,,,57-77,,K. Durant misses 3-pt shot from 25 ft
11:28.0,,,57-77,,Offensive rebound by Team
11:18.0,,,57-80,3,D. Green makes 3-pt shot from 23 ft (assist by K. Thompson)
10:55.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,57-80,,
10:54.0,,,57-80,,Defensive rebound by K. Durant
10:46.0,,,57-82,2,J. McGee makes 2-pt shot from 3 ft (assist by K. Durant)
10:34.0,Turnover by K. Walker (bad pass; steal by K. Thompson),,57-82,,
10:23.0,,,57-84,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Thompson)
10:23.0,Charlotte full timeout,,57-84,,
10:08.0,K. Walker misses 3-pt shot from 25 ft,,57-84,,
10:07.0,,,57-84,,Defensive rebound by K. Durant
9:49.0,,,57-84,,K. Thompson misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by Team,,57-84,,
9:38.0,M. Williams misses 2-pt shot from 2 ft,,57-84,,
9:38.0,,,57-84,,Defensive rebound by D. Green
9:33.0,,,57-84,,K. Durant misses 2-pt shot from 1 ft (block by S. Hawes)
9:31.0,Defensive rebound by K. Walker,,57-84,,
9:24.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,59-84,,
9:15.0,,,59-84,,J. McGee misses 2-pt shot from 2 ft (block by S. Hawes)
9:15.0,,,59-84,,Offensive rebound by Team
9:08.0,,,59-84,,S. Curry misses 2-pt shot from 20 ft
9:07.0,Defensive rebound by M. Kidd-Gilchrist,,59-84,,
8:53.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Green),,59-84,,
8:52.0,,,59-84,,Defensive rebound by D. Green
8:45.0,,,59-84,,K. Durant misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by N. Batum,,59-84,,
8:38.0,Turnover by N. Batum (lost ball; steal by S. Curry),,59-84,,
8:36.0,,,59-84,,S. Curry misses 3-pt shot from 27 ft
8:34.0,Defensive rebound by M. Kidd-Gilchrist,,59-84,,
8:29.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,62-84,,
8:06.0,,,62-86,2,K. Durant makes 2-pt shot from 14 ft (assist by S. Curry)
7:54.0,Turnover by N. Batum (bad pass; steal by K. Durant),,62-86,,
7:51.0,,,62-86,,Shooting foul by M. Williams (drawn by K. Durant)
7:51.0,,,62-88,2,K. Durant makes 2-pt shot from 5 ft
7:51.0,,,62-89,1,K. Durant makes free throw 1 of 1
7:31.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. McGee),,62-89,,
7:29.0,Offensive rebound by S. Hawes,,62-89,,
7:28.0,S. Hawes makes 2-pt shot from 4 ft,2,64-89,,
7:06.0,,,64-89,,D. Green misses 3-pt shot from 26 ft
7:06.0,Defensive rebound by M. Williams,,64-89,,
7:02.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,64-89,,
7:00.0,,,64-89,,Defensive rebound by K. Thompson
6:53.0,,,64-92,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Thompson)
6:28.0,S. Hawes misses 2-pt shot from 10 ft,,64-92,,
6:28.0,,,64-92,,Defensive rebound by J. McGee
6:17.0,,,64-94,2,S. Curry makes 2-pt shot from 1 ft
6:17.0,Charlotte full timeout,,64-94,,
6:16.0,,,64-94,,A. Varejao enters the game for J. McGee
6:09.0,F. Kaminsky enters the game for M. Williams,,64-94,,
6:09.0,M. Belinelli enters the game for N. Batum,,64-94,,
6:05.0,Turnover by K. Walker (lost ball; steal by S. Curry),,64-94,,
6:01.0,,,64-94,,K. Durant misses 2-pt shot from 4 ft
6:00.0,,,64-94,,Offensive rebound by A. Varejao
6:00.0,,,64-96,2,A. Varejao makes 2-pt shot from 1 ft
5:40.0,M. Kidd-Gilchrist makes 2-pt shot from 5 ft (assist by K. Walker),2,66-96,,
5:27.0,,,66-98,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
5:11.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Belinelli),3,69-98,,
4:58.0,,,69-98,,S. Curry misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by M. Kidd-Gilchrist,,69-98,,
4:41.0,F. Kaminsky misses 3-pt shot from 28 ft,,69-98,,
4:40.0,,,69-98,,Defensive rebound by S. Curry
4:26.0,,,69-98,,D. Green misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by M. Kidd-Gilchrist,,69-98,,
4:15.0,M. Belinelli makes 2-pt shot from 10 ft,2,71-98,,
4:06.0,,,71-98,,Golden State full timeout
4:06.0,J. Lamb enters the game for M. Kidd-Gilchrist,,71-98,,
4:06.0,,,71-98,,A. Iguodala enters the game for D. Green
4:06.0,,,71-98,,P. McCaw enters the game for K. Thompson
3:56.0,,,71-98,,Offensive foul by A. Varejao
3:56.0,,,71-98,,Turnover by A. Varejao (offensive foul)
3:36.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Belinelli),3,74-98,,
3:26.0,,,74-98,,Turnover by S. Curry (bad pass; steal by F. Kaminsky)
3:17.0,,,74-98,,Violation by A. Iguodala (kicked ball)
3:07.0,Turnover by S. Hawes (bad pass; steal by A. Varejao),,74-98,,
3:04.0,,,74-98,,Shooting foul by M. Belinelli (drawn by K. Durant)
3:04.0,,,74-99,1,K. Durant makes free throw 1 of 2
3:04.0,,,74-100,1,K. Durant makes free throw 2 of 2
3:04.0,M. Williams enters the game for S. Hawes,,74-99,,
3:04.0,B. Roberts enters the game for K. Walker,,74-99,,
2:45.0,Turnover by M. Williams (bad pass; steal by P. McCaw),,74-100,,
2:44.0,Personal foul by F. Kaminsky (drawn by P. McCaw),,74-100,,
2:25.0,,,74-100,,P. McCaw misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by F. Kaminsky,,74-100,,
2:15.0,Shooting foul by A. Varejao (drawn by F. Kaminsky),,74-100,,
2:15.0,F. Kaminsky makes free throw 1 of 2,1,75-100,,
2:15.0,F. Kaminsky makes free throw 2 of 2,1,76-100,,
2:01.0,Violation by F. Kaminsky (kicked ball),,76-100,,
2:01.0,,,76-100,,D. Green enters the game for K. Durant
1:54.0,,,76-100,,A. Varejao misses 2-pt shot from 7 ft
1:53.0,Defensive rebound by J. Lamb,,76-100,,
1:33.0,M. Belinelli makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,79-100,,
1:19.0,,,79-102,2,S. Curry makes 2-pt shot from 21 ft
1:03.0,F. Kaminsky misses 3-pt shot from 28 ft,,79-102,,
1:03.0,,,79-102,,Defensive rebound by S. Curry
0:56.0,,,79-105,3,S. Curry makes 3-pt shot from 26 ft
0:48.0,M. Williams makes 2-pt shot at rim (assist by B. Roberts),2,81-105,,
0:35.0,,,81-105,,Shooting foul by M. Williams (drawn by P. McCaw)
0:35.0,,,81-105,,P. McCaw misses free throw 1 of 2
0:35.0,,,81-105,,Offensive rebound by Team
0:35.0,,,81-105,,P. McCaw misses free throw 2 of 2
0:33.0,Defensive rebound by J. Lamb,,81-105,,
0:24.0,,,81-105,,Violation by D. Green (kicked ball)
0:19.0,Shooting foul by P. McCaw (drawn by F. Kaminsky),,81-105,,
0:19.0,F. Kaminsky makes free throw 1 of 2,1,82-105,,
0:19.0,F. Kaminsky makes free throw 2 of 2,1,83-105,,
0:19.0,,,82-105,,K. Thompson enters the game for P. McCaw
0:19.0,,,82-105,,K. Durant enters the game for A. Varejao
0:04.0,,,83-108,3,S. Curry makes 3-pt shot from 29 ft (assist by A. Iguodala)
0:01.0,J. Lamb misses 3-pt shot from 52 ft,,83-108,,
0:00.0,Offensive rebound by Team,,83-108,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-110,2,J. McAdoo makes 2-pt shot from 2 ft (assist by K. Thompson)
11:29.0,M. Belinelli makes 2-pt shot from 17 ft (assist by F. Kaminsky),2,85-110,,
11:21.0,Violation by J. Lamb (kicked ball),,85-110,,
11:16.0,,,85-110,,K. Thompson misses 2-pt shot from 11 ft
11:15.0,Defensive rebound by M. Belinelli,,85-110,,
11:02.0,Turnover by M. Belinelli (bad pass; steal by D. Green),,85-110,,
10:55.0,,,85-110,,Turnover by K. Thompson (bad pass; steal by M. Belinelli)
10:52.0,,,85-110,,Personal foul by D. Green (drawn by M. Belinelli)
10:44.0,J. Lamb misses 2-pt shot from 4 ft,,85-110,,
10:44.0,,,85-110,,Defensive rebound by D. Green
10:36.0,,,85-110,,D. Green misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by J. Lamb,,85-110,,
10:26.0,M. Belinelli misses 3-pt shot from 26 ft,,85-110,,
10:25.0,,,85-110,,Defensive rebound by I. Clark
10:18.0,Personal foul by M. Williams (drawn by K. Thompson),,85-110,,
10:18.0,M. Kidd-Gilchrist enters the game for M. Williams,,85-110,,
10:13.0,,,85-110,,K. Thompson misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by M. Kidd-Gilchrist,,85-110,,
10:02.0,Shooting foul by J. McAdoo (drawn by B. Roberts),,85-110,,
10:02.0,B. Roberts makes free throw 1 of 2,1,86-110,,
10:02.0,B. Roberts makes free throw 2 of 2,1,87-110,,
9:47.0,,,87-110,,Turnover by D. Green (bad pass; steal by F. Kaminsky)
9:38.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,87-110,,
9:37.0,,,87-110,,Defensive rebound by I. Clark
9:34.0,,,87-110,,Turnover by I. Clark (bad pass)
9:18.0,F. Kaminsky makes 2-pt shot from 8 ft,2,89-110,,
9:11.0,,,89-110,,Golden State full timeout
9:11.0,,,89-110,,K. Durant enters the game for D. Green
9:03.0,Personal foul by J. Lamb (drawn by A. Iguodala),,89-110,,
8:56.0,,,89-110,,I. Clark misses 3-pt shot from 28 ft
8:56.0,Defensive rebound by F. Kaminsky,,89-110,,
8:37.0,F. Kaminsky makes 2-pt shot from 17 ft,2,91-110,,
8:17.0,,,91-110,,K. Durant misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by F. Kaminsky,,91-110,,
7:59.0,J. Lamb misses 3-pt shot from 25 ft,,91-110,,
7:58.0,,,91-110,,Defensive rebound by A. Iguodala
7:48.0,,,91-113,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
7:27.0,Shooting foul by K. Thompson (drawn by J. Lamb),,91-113,,
7:27.0,J. Lamb misses free throw 1 of 2,,91-113,,
7:27.0,Offensive rebound by Team,,91-113,,
7:27.0,J. Lamb makes free throw 2 of 2,1,92-113,,
7:27.0,,,91-113,,P. McCaw enters the game for I. Clark
7:10.0,,,92-115,2,K. Durant makes 2-pt shot from 11 ft (assist by K. Thompson)
6:44.0,C. Wood enters the game for F. Kaminsky,,92-115,,
6:41.0,B. Roberts makes 2-pt shot from 19 ft (assist by M. Belinelli),2,94-115,,
6:24.0,,,94-115,,K. Thompson misses 2-pt shot from 13 ft
6:22.0,Defensive rebound by J. Lamb,,94-115,,
6:17.0,J. Lamb makes 2-pt shot from 1 ft (assist by M. Belinelli),2,96-115,,
5:57.0,,,96-118,3,P. McCaw makes 3-pt shot from 25 ft (assist by K. Durant)
5:38.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,96-118,,
5:38.0,Offensive rebound by M. Kidd-Gilchrist,,96-118,,
5:36.0,M. Kidd-Gilchrist misses 2-pt shot from 11 ft (block by K. Thompson),,96-118,,
5:35.0,,,96-118,,Defensive rebound by K. Durant
5:31.0,,,96-120,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Durant)
5:31.0,Charlotte full timeout,,96-120,,
5:31.0,T. Graham enters the game for M. Kidd-Gilchrist,,96-120,,
5:31.0,,,96-120,,I. Clark enters the game for K. Thompson
5:31.0,,,96-120,,K. Looney enters the game for A. Iguodala
5:13.0,B. Roberts makes 2-pt shot from 19 ft (assist by J. Lamb),2,98-120,,
5:00.0,,,98-120,,P. McCaw misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by T. Graham,,98-120,,
4:43.0,Shooting foul by I. Clark (drawn by M. Belinelli),,98-120,,
4:43.0,M. Belinelli makes free throw 1 of 2,1,99-120,,
4:43.0,M. Belinelli makes free throw 2 of 2,1,100-120,,
4:19.0,,,100-120,,I. Clark misses 3-pt shot from 23 ft
4:17.0,,,100-120,,Offensive rebound by J. McAdoo
4:17.0,,,100-120,,J. McAdoo misses 2-pt shot from 2 ft
