time,Portland,pts.away,score,pts.home,Sacramento
2:07.0,A. Crabbe makes 2-pt shot from 22 ft (assist by M. Leonard),2,30-20,,
1:54.0,,,30-22,2,D. Cousins makes 2-pt shot from 2 ft (assist by G. Temple)
1:47.0,,,30-22,,Shooting block foul by G. Temple (drawn by D. Lillard)
1:47.0,D. Lillard makes free throw 1 of 2,1,31-22,,
1:47.0,D. Lillard makes free throw 2 of 2,1,32-22,,
1:37.0,,,32-24,2,T. Lawson makes 2-pt shot from 20 ft
1:21.0,D. Lillard misses 2-pt shot from 4 ft,,32-24,,
1:20.0,,,32-24,,Defensive rebound by T. Lawson
1:07.0,,,32-27,3,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson)
0:51.0,Offensive foul by N. Vonleh,,32-27,,
0:51.0,Turnover by N. Vonleh (offensive foul),,32-27,,
0:51.0,E. Davis enters the game for N. Vonleh,,32-27,,
0:32.0,,,32-27,,G. Temple misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by M. Leonard,,32-27,,
0:17.0,D. Lillard misses 2-pt shot from 7 ft,,32-27,,
0:15.0,Offensive rebound by E. Davis,,32-27,,
0:00.0,S. Napier makes 3-pt shot from 26 ft,3,35-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,35-29,2,T. Lawson makes 2-pt shot from 18 ft
11:31.0,Shooting foul by G. Temple (drawn by C. McCollum),,35-29,,
11:31.0,C. McCollum misses free throw 1 of 2,,35-29,,
11:31.0,Offensive rebound by Team,,35-29,,
11:31.0,C. McCollum makes free throw 2 of 2,1,36-29,,
11:08.0,,,36-29,,A. Afflalo misses 2-pt shot from 12 ft
11:07.0,Defensive rebound by M. Plumlee,,36-29,,
10:51.0,A. Crabbe makes 2-pt shot from 18 ft,2,38-29,,
10:38.0,,,38-29,,T. Lawson misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by M. Plumlee,,38-29,,
10:29.0,,,38-29,,Personal foul by A. Tolliver (drawn by M. Plumlee)
10:29.0,M. Plumlee makes free throw 1 of 2,1,39-29,,
10:29.0,M. Plumlee makes free throw 2 of 2,1,40-29,,
10:14.0,,,40-31,2,A. Afflalo makes 2-pt shot from 17 ft (assist by G. Temple)
9:58.0,M. Plumlee makes 2-pt shot at rim (assist by S. Napier),2,42-31,,
9:32.0,Personal foul by M. Plumlee (drawn by A. Afflalo),,42-31,,
9:32.0,M. Harkless enters the game for M. Plumlee,,42-31,,
9:20.0,Personal foul by M. Harkless (drawn by G. Temple),,42-31,,
9:20.0,,,42-31,,G. Temple misses free throw 1 of 2
9:20.0,,,42-31,,Offensive rebound by Team
9:20.0,,,42-32,1,G. Temple makes free throw 2 of 2
9:04.0,Turnover by S. Napier (traveling),,42-32,,
8:45.0,,,42-34,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by A. Afflalo)
8:36.0,,,42-34,,Shooting block foul by W. Cauley-Stein (drawn by C. McCollum)
8:36.0,Official timeout,,42-34,,
8:36.0,C. McCollum makes free throw 1 of 2,1,43-34,,
8:36.0,C. McCollum makes free throw 2 of 2,1,44-34,,
8:36.0,,,42-34,,M. Barnes enters the game for A. Tolliver
8:13.0,,,44-36,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
8:00.0,M. Harkless makes 2-pt shot from 5 ft (assist by A. Crabbe),2,46-36,,
8:00.0,Shooting foul by M. Barnes (drawn by M. Harkless),,46-36,,
8:00.0,M. Harkless misses free throw 1 of 1,,46-36,,
7:59.0,,,46-36,,Defensive rebound by A. Afflalo
7:49.0,Violation by E. Davis (def goaltending),,46-36,,
7:49.0,,,46-38,2,G. Temple makes 2-pt shot from 2 ft (assist by M. Barnes)
7:49.0,,,46-38,,Shooting foul by C. McCollum (drawn by G. Temple)
7:49.0,,,46-38,,G. Temple misses free throw 1 of 1
7:47.0,Defensive rebound by M. Harkless,,46-38,,
7:32.0,C. McCollum makes 2-pt shot from 18 ft,2,48-38,,
7:18.0,,,48-38,,G. Temple misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by E. Davis,,48-38,,
7:18.0,,,48-38,,Personal foul by G. Temple (drawn by E. Davis)
7:18.0,E. Davis makes free throw 1 of 2,1,49-38,,
7:18.0,E. Davis misses free throw 2 of 2,,49-38,,
7:18.0,,,48-38,,B. McLemore enters the game for G. Temple
7:13.0,Offensive rebound by C. McCollum,,49-38,,
7:07.0,S. Napier misses 3-pt shot from 25 ft,,49-38,,
7:07.0,Offensive rebound by M. Harkless,,49-38,,
7:07.0,Shooting foul by M. Barnes (drawn by M. Harkless),,49-38,,
7:07.0,M. Harkless misses free throw 1 of 2,,49-38,,
7:07.0,Offensive rebound by Team,,49-38,,
7:07.0,M. Harkless makes free throw 2 of 2,1,50-38,,
7:07.0,M. Plumlee enters the game for A. Crabbe,,49-38,,
7:07.0,,,49-38,,D. Cousins enters the game for M. Barnes
7:07.0,M. Leonard enters the game for E. Davis,,49-38,,
6:46.0,,,50-40,2,W. Cauley-Stein makes 2-pt shot from 6 ft
6:33.0,Turnover by C. McCollum (lost ball; steal by D. Cousins),,50-40,,
6:20.0,,,50-43,3,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson)
6:20.0,Portland full timeout,,50-43,,
6:20.0,D. Lillard enters the game for C. McCollum,,50-43,,
6:10.0,M. Plumlee makes 2-pt shot from 5 ft (assist by D. Lillard),2,52-43,,
6:10.0,Shooting foul by A. Afflalo (drawn by M. Plumlee),,52-43,,
6:10.0,M. Plumlee misses free throw 1 of 1,,52-43,,
6:09.0,,,52-43,,Defensive rebound by D. Cousins
6:01.0,,,52-43,,Turnover by D. Cousins (offensive foul)
6:01.0,,,52-43,,Offensive foul by D. Cousins
5:47.0,D. Lillard makes 2-pt shot from 17 ft,2,54-43,,
5:35.0,Personal foul by M. Leonard (drawn by D. Cousins),,54-43,,
5:33.0,,,54-43,,Shooting foul by M. Leonard (drawn by D. Cousins)
5:33.0,,,54-44,1,D. Cousins makes free throw 1 of 2
5:33.0,,,54-45,1,D. Cousins makes free throw 2 of 2
5:33.0,E. Davis enters the game for M. Leonard,,54-44,,
5:16.0,D. Lillard misses 3-pt shot from 25 ft,,54-45,,
5:14.0,Offensive rebound by M. Plumlee,,54-45,,
5:14.0,M. Plumlee makes 2-pt shot from 2 ft,2,56-45,,
5:07.0,Personal foul by S. Napier (drawn by T. Lawson),,56-45,,
5:07.0,,,56-46,1,T. Lawson makes free throw 1 of 2
5:07.0,,,56-47,1,T. Lawson makes free throw 2 of 2
5:07.0,,,56-47,,Technical foul by D. Cousins
5:07.0,Technical foul by E. Davis,,56-47,,
5:07.0,A. Crabbe enters the game for S. Napier,,56-46,,
5:07.0,,,56-46,,K. Koufos enters the game for W. Cauley-Stein
4:47.0,D. Lillard misses 3-pt shot from 25 ft,,56-47,,
4:46.0,,,56-47,,Defensive rebound by D. Cousins
4:35.0,,,56-47,,B. McLemore misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by E. Davis,,56-47,,
4:31.0,,,56-47,,Personal foul by K. Koufos (drawn by M. Plumlee)
4:31.0,M. Plumlee makes free throw 1 of 2,1,57-47,,
4:31.0,M. Plumlee misses free throw 2 of 2,,57-47,,
4:30.0,,,57-47,,Defensive rebound by D. Cousins
4:17.0,,,57-47,,Shooting foul by E. Davis (drawn by D. Cousins)
4:17.0,,,57-48,1,D. Cousins makes free throw 1 of 2
4:17.0,,,57-49,1,D. Cousins makes free throw 2 of 2
4:04.0,Offensive charge foul by A. Crabbe,,57-49,,
4:04.0,Turnover by A. Crabbe (offensive foul),,57-49,,
3:50.0,,,57-49,,Shooting foul by E. Davis (drawn by D. Cousins)
3:50.0,,,57-50,1,D. Cousins makes free throw 1 of 2
3:50.0,,,57-51,1,D. Cousins makes free throw 2 of 2
3:50.0,C. McCollum enters the game for M. Harkless,,57-50,,
3:50.0,,,57-50,,D. Collison enters the game for T. Lawson
3:35.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,59-51,,
3:18.0,,,59-51,,B. McLemore misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by M. Plumlee,,59-51,,
3:03.0,C. McCollum makes 2-pt shot from 3 ft (assist by D. Lillard),2,61-51,,
2:47.0,,,61-53,2,D. Collison makes 2-pt shot from 18 ft
2:25.0,E. Davis makes 2-pt shot at rim (assist by M. Plumlee),2,63-53,,
2:07.0,,,63-56,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
2:07.0,Portland full timeout,,63-56,,
2:07.0,,,63-56,,Sacramento full timeout
1:49.0,C. McCollum makes 2-pt shot from 9 ft (assist by D. Lillard),2,65-56,,
1:31.0,,,65-58,2,D. Collison makes 2-pt shot from 3 ft
1:19.0,E. Davis makes 2-pt shot from 6 ft (assist by C. McCollum),2,67-58,,
1:00.0,,,67-58,,D. Collison misses 2-pt shot from 18 ft
1:00.0,,,67-58,,Offensive rebound by D. Collison
0:58.0,,,67-58,,A. Tolliver enters the game for K. Koufos
0:58.0,Jump ball: D. Collison vs. A. Crabbe (A. Afflalo gains possession),,,,Jump ball: D. Collison vs. A. Crabbe (A. Afflalo gains possession)
0:42.0,Shooting block foul by E. Davis (drawn by D. Cousins),,67-58,,
0:42.0,,,67-59,1,D. Cousins makes free throw 1 of 2
0:42.0,,,67-60,1,D. Cousins makes free throw 2 of 2
0:42.0,M. Harkless enters the game for E. Davis,,67-59,,
0:32.0,C. McCollum misses 3-pt shot from 26 ft,,67-60,,
0:32.0,Offensive rebound by M. Plumlee,,67-60,,
0:31.0,M. Plumlee makes 2-pt shot at rim,2,69-60,,
0:08.0,,,69-60,,D. Cousins misses 2-pt shot from 6 ft (block by M. Harkless)
0:08.0,Defensive rebound by Team,,69-60,,
0:02.0,Shooting foul by D. Collison (drawn by D. Lillard),,69-60,,
0:02.0,D. Lillard makes 2-pt shot from 7 ft,2,71-60,,
0:02.0,D. Lillard makes free throw 1 of 1,1,72-60,,
0:02.0,S. Napier enters the game for M. Plumlee,,71-60,,
0:02.0,N. Vonleh enters the game for C. McCollum,,71-60,,
0:01.0,,,72-60,,D. Collison misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by D. Lillard,,72-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,72-62,2,D. Cousins makes 2-pt shot from 21 ft
11:26.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,74-62,,
11:13.0,,,74-62,,Shooting foul by M. Harkless (drawn by M. Barnes)
11:13.0,,,74-62,,M. Barnes misses free throw 1 of 2
11:13.0,,,74-62,,Offensive rebound by Team
11:13.0,,,74-63,1,M. Barnes makes free throw 2 of 2
10:58.0,C. McCollum misses 3-pt shot from 25 ft,,74-63,,
10:58.0,,,74-63,,Defensive rebound by D. Cousins
10:51.0,,,74-65,2,D. Cousins makes 2-pt shot from 3 ft
10:35.0,,,74-65,,Personal foul by B. McLemore (drawn by D. Lillard)
10:35.0,D. Lillard makes free throw 1 of 3,1,75-65,,
10:35.0,D. Lillard makes free throw 2 of 3,1,76-65,,
10:35.0,D. Lillard makes free throw 3 of 3,1,77-65,,
10:25.0,Personal foul by M. Leonard (drawn by D. Cousins),,77-65,,
10:25.0,Technical foul by M. Leonard (drawn by D. Cousins),,77-65,,
10:25.0,,,77-66,1,D. Collison makes technical free throw
10:19.0,,,77-66,,D. Cousins misses 2-pt shot from 3 ft (block by C. McCollum)
10:18.0,,,77-66,,Offensive rebound by D. Cousins
10:16.0,,,77-66,,Shooting foul by M. Leonard (drawn by D. Cousins)
10:16.0,,,77-67,1,D. Cousins makes free throw 1 of 2
10:16.0,,,77-68,1,D. Cousins makes free throw 2 of 2
10:16.0,A. Crabbe enters the game for M. Leonard,,77-67,,
10:00.0,C. McCollum makes 2-pt shot from 11 ft,2,79-68,,
9:48.0,,,79-68,,Shooting foul by M. Harkless (drawn by B. McLemore)
9:48.0,,,79-69,1,B. McLemore makes free throw 1 of 2
9:48.0,,,79-70,1,B. McLemore makes free throw 2 of 2
9:48.0,E. Davis enters the game for M. Harkless,,79-69,,
9:35.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,81-70,,
9:17.0,,,81-73,3,D. Cousins makes 3-pt shot from 25 ft
9:00.0,,,81-73,,Personal block foul by B. McLemore (drawn by M. Plumlee)
8:51.0,M. Plumlee misses 2-pt shot from 6 ft,,81-73,,
8:50.0,,,81-73,,Defensive rebound by D. Cousins
8:36.0,,,81-76,3,A. Tolliver makes 3-pt shot from 23 ft (assist by D. Collison)
8:18.0,Shooting foul by D. Cousins (drawn by D. Lillard),,81-76,,
8:18.0,D. Lillard makes free throw 1 of 2,1,82-76,,
8:18.0,D. Lillard makes free throw 2 of 2,1,83-76,,
8:04.0,,,83-76,,M. Barnes misses 3-pt shot from 25 ft
8:02.0,,,83-76,,Offensive rebound by A. Tolliver
7:52.0,,,83-76,,Shooting foul by C. McCollum (drawn by D. Collison)
7:52.0,,,83-77,1,D. Collison makes free throw 1 of 2
7:52.0,,,83-78,1,D. Collison makes free throw 2 of 2
7:37.0,C. McCollum makes 2-pt shot from 11 ft (assist by D. Lillard),2,85-78,,
7:28.0,,,85-78,,D. Collison misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by E. Davis,,85-78,,
7:19.0,D. Lillard makes 3-pt shot from 26 ft,3,88-78,,
6:53.0,,,88-80,2,D. Cousins makes 2-pt shot from 13 ft
6:33.0,D. Lillard misses 2-pt shot from 9 ft,,88-80,,
6:31.0,,,88-80,,Defensive rebound by D. Cousins
6:20.0,,,88-80,,Turnover by D. Cousins (lost ball; steal by E. Davis)
6:15.0,A. Crabbe makes 2-pt shot from 3 ft (assist by D. Lillard),2,90-80,,
6:15.0,,,90-80,,Sacramento full timeout
6:15.0,,,90-80,,T. Lawson enters the game for B. McLemore
5:50.0,,,90-80,,M. Barnes misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by M. Plumlee,,90-80,,
5:39.0,A. Crabbe misses 3-pt shot from 24 ft,,90-80,,
5:39.0,,,90-80,,Defensive rebound by D. Collison
5:25.0,,,90-82,2,D. Cousins makes 2-pt shot at rim (assist by M. Barnes)
5:05.0,C. McCollum makes 2-pt shot from 2 ft (assist by M. Plumlee),2,92-82,,
4:55.0,Personal block foul by M. Plumlee (drawn by D. Cousins),,92-82,,
4:55.0,,,92-82,,D. Cousins misses free throw 1 of 2
4:55.0,,,92-82,,Offensive rebound by Team
4:55.0,,,92-83,1,D. Cousins makes free throw 2 of 2
4:39.0,A. Crabbe misses 2-pt shot from 1 ft,,92-83,,
4:38.0,,,92-83,,Defensive rebound by D. Cousins
4:31.0,,,92-83,,M. Barnes misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by D. Lillard,,92-83,,
4:19.0,M. Plumlee misses 2-pt shot from 2 ft (block by D. Cousins),,92-83,,
4:17.0,Offensive rebound by E. Davis,,92-83,,
4:17.0,E. Davis makes 2-pt shot from 2 ft,2,94-83,,
3:52.0,,,94-83,,D. Collison misses 3-pt shot from 24 ft
3:51.0,,,94-83,,Offensive rebound by M. Barnes
3:47.0,,,94-83,,D. Cousins misses 2-pt shot from 4 ft
3:46.0,Defensive rebound by M. Plumlee,,94-83,,
3:40.0,Shooting foul by T. Lawson (drawn by C. McCollum),,94-83,,
3:40.0,C. McCollum misses free throw 1 of 2,,94-83,,
3:40.0,Offensive rebound by Team,,94-83,,
3:40.0,C. McCollum makes free throw 2 of 2,1,95-83,,
3:40.0,S. Napier enters the game for D. Lillard,,94-83,,
3:40.0,,,94-83,,G. Temple enters the game for M. Barnes
3:40.0,,,94-83,,A. Afflalo enters the game for D. Collison
3:18.0,,,95-83,,D. Cousins misses 2-pt shot from 2 ft (block by M. Plumlee)
3:16.0,Defensive rebound by S. Napier,,95-83,,
3:10.0,C. McCollum misses 3-pt shot from 24 ft,,95-83,,
3:04.0,,,95-83,,Defensive rebound by A. Tolliver
3:02.0,,,95-83,,A. Tolliver misses 2-pt shot from 4 ft
3:02.0,,,95-83,,Offensive rebound by Team
3:02.0,,,95-83,,Shooting foul by E. Davis (drawn by A. Tolliver)
3:02.0,,,95-84,1,A. Tolliver makes free throw 1 of 2
3:02.0,,,95-85,1,A. Tolliver makes free throw 2 of 2
3:02.0,D. Lillard enters the game for C. McCollum,,95-84,,
3:02.0,,,95-84,,K. Koufos enters the game for D. Cousins
2:48.0,D. Lillard misses 3-pt shot from 28 ft,,95-85,,
2:48.0,,,95-85,,Defensive rebound by Team
2:48.0,Portland full timeout,,95-85,,
2:48.0,N. Vonleh enters the game for E. Davis,,95-85,,
2:37.0,,,95-85,,Offensive foul by K. Koufos
2:37.0,,,95-85,,Turnover by K. Koufos (offensive foul)
2:22.0,S. Napier misses 3-pt shot from 25 ft,,95-85,,
2:22.0,,,95-85,,Defensive rebound by G. Temple
2:14.0,,,95-88,3,A. Tolliver makes 3-pt shot from 23 ft (assist by G. Temple)
1:53.0,S. Napier misses 2-pt shot from 10 ft,,95-88,,
1:53.0,Offensive rebound by Team,,95-88,,
1:53.0,,,95-88,,Loose ball foul by A. Afflalo (drawn by A. Crabbe)
1:53.0,A. Crabbe misses free throw 1 of 2,,95-88,,
1:53.0,Offensive rebound by Team,,95-88,,
1:53.0,A. Crabbe makes free throw 2 of 2,1,96-88,,
1:41.0,,,96-90,2,A. Afflalo makes 2-pt shot from 9 ft
1:25.0,,,96-90,,Personal foul by A. Tolliver (drawn by D. Lillard)
1:25.0,D. Lillard misses free throw 1 of 2,,96-90,,
1:25.0,Offensive rebound by Team,,96-90,,
1:25.0,D. Lillard makes free throw 2 of 2,1,97-90,,
1:19.0,Personal foul by A. Crabbe (drawn by A. Afflalo),,97-90,,
1:19.0,,,97-91,1,A. Afflalo makes free throw 1 of 2
1:19.0,,,97-91,,A. Afflalo misses free throw 2 of 2
1:17.0,Defensive rebound by M. Plumlee,,97-91,,
1:07.0,Turnover by A. Crabbe (bad pass; steal by T. Lawson),,97-91,,
0:54.0,,,97-93,2,T. Lawson makes 2-pt shot from 17 ft
0:30.0,Turnover by Team (shot clock),,97-93,,
0:30.0,,,97-93,,D. Cousins enters the game for K. Koufos
0:12.0,,,97-93,,A. Afflalo misses 3-pt shot from 23 ft
0:12.0,Defensive rebound by N. Vonleh,,97-93,,
0:02.0,D. Lillard makes 2-pt shot from 2 ft,2,99-93,,
0:01.0,,,99-93,,Turnover by D. Cousins (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,A. Crabbe misses 2-pt shot from 6 ft,,99-93,,
11:41.0,Offensive rebound by N. Vonleh,,99-93,,
11:41.0,Jump ball: D. Cousins vs. N. Vonleh (S. Napier gains possession),,,,Jump ball: D. Cousins vs. N. Vonleh (S. Napier gains possession)
11:32.0,M. Leonard misses 3-pt shot from 25 ft,,99-93,,
11:32.0,,,99-93,,Defensive rebound by D. Cousins
11:13.0,,,99-93,,D. Cousins misses 2-pt shot from 6 ft
11:12.0,Defensive rebound by N. Vonleh,,99-93,,
11:06.0,C. McCollum misses 2-pt shot from 3 ft (block by G. Temple),,99-93,,
11:06.0,Offensive rebound by Team,,99-93,,
10:52.0,S. Napier makes 2-pt shot from 19 ft (assist by C. McCollum),2,101-93,,
10:27.0,,,101-96,3,A. Tolliver makes 3-pt shot from 25 ft (assist by T. Lawson)
10:04.0,C. McCollum misses 3-pt shot from 25 ft,,101-96,,
10:03.0,Offensive rebound by N. Vonleh,,101-96,,
10:03.0,,,101-96,,Personal foul by A. Tolliver (drawn by N. Vonleh)
9:53.0,Turnover by C. McCollum (bad pass; steal by G. Temple),,101-96,,
9:50.0,,,101-96,,Turnover by D. Cousins (bad pass)
9:50.0,,,101-96,,Loose ball foul by G. Temple (drawn by S. Napier)
9:33.0,S. Napier misses 3-pt shot from 25 ft,,101-96,,
9:32.0,,,101-96,,Defensive rebound by D. Cousins
9:25.0,,,101-98,2,A. Afflalo makes 2-pt shot from 3 ft (assist by T. Lawson)
9:00.0,S. Napier misses 3-pt shot from 25 ft,,101-98,,
9:00.0,,,101-98,,Defensive rebound by A. Tolliver
8:48.0,,,101-100,2,T. Lawson makes 2-pt shot from 2 ft
8:48.0,Portland full timeout,,101-100,,
8:48.0,D. Lillard enters the game for N. Vonleh,,101-100,,
8:48.0,M. Harkless enters the game for S. Napier,,101-100,,
8:32.0,C. McCollum misses 2-pt shot from 2 ft,,101-100,,
8:31.0,,,101-100,,Defensive rebound by G. Temple
8:25.0,,,101-102,2,T. Lawson makes 2-pt shot from 10 ft
8:05.0,Shooting foul by G. Temple (drawn by C. McCollum),,101-102,,
8:05.0,C. McCollum makes free throw 1 of 2,1,102-102,,
8:05.0,C. McCollum makes free throw 2 of 2,1,103-102,,
8:05.0,M. Plumlee enters the game for M. Leonard,,102-102,,
8:05.0,E. Davis enters the game for A. Crabbe,,102-102,,
7:48.0,,,103-104,2,T. Lawson makes 2-pt shot from 14 ft
7:33.0,D. Lillard misses 3-pt shot from 26 ft,,103-104,,
7:32.0,,,103-104,,Defensive rebound by T. Lawson
7:25.0,,,103-104,,Shooting foul by E. Davis (drawn by D. Cousins)
7:25.0,,,103-105,1,D. Cousins makes free throw 1 of 2
7:25.0,,,103-106,1,D. Cousins makes free throw 2 of 2
7:02.0,C. McCollum misses 2-pt shot from 12 ft (block by D. Cousins),,103-106,,
7:00.0,,,103-106,,Defensive rebound by A. Tolliver
6:45.0,,,103-108,2,D. Cousins makes 2-pt shot from 2 ft
6:20.0,Offensive charge foul by M. Plumlee,,103-108,,
6:20.0,Turnover by M. Plumlee (offensive foul),,103-108,,
