time,Orlando,pts.away,score,pts.home,Denver
7:26.0,E. Fournier enters the game for J. Green,,93-109,,
7:26.0,,,93-109,,J. Nelson enters the game for W. Barton
7:26.0,E. Payton misses free throw 1 of 1,,93-109,,
7:24.0,Offensive rebound by N. Vucevic,,93-109,,
7:15.0,E. Payton makes 2-pt shot from 1 ft,2,95-109,,
7:15.0,,,95-109,,Denver full timeout
7:15.0,J. Meeks enters the game for E. Fournier,,95-109,,
6:59.0,,,95-109,,Shooting foul by A. Gordon (drawn by E. Mudiay)
6:59.0,,,95-110,1,E. Mudiay makes free throw 1 of 2
6:59.0,,,95-111,1,E. Mudiay makes free throw 2 of 2
6:46.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,97-111,,
6:35.0,,,97-113,2,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay)
6:24.0,N. Vucevic misses 3-pt shot from 25 ft,,97-113,,
6:23.0,,,97-113,,Defensive rebound by J. Nelson
6:10.0,,,97-113,,Turnover by J. Nelson (bad pass)
6:10.0,,,97-113,,K. Faried enters the game for W. Chandler
6:02.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,99-113,,
5:50.0,,,99-113,,N. Jokic misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by S. Ibaka,,99-113,,
5:36.0,S. Ibaka misses 2-pt shot from 15 ft,,99-113,,
5:35.0,,,99-113,,Defensive rebound by D. Gallinari
5:11.0,,,99-113,,K. Faried misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by J. Meeks,,99-113,,
4:57.0,E. Payton makes 2-pt shot from 5 ft,2,101-113,,
4:35.0,,,101-115,2,J. Nelson makes 2-pt shot from 2 ft
4:28.0,,,101-115,,Personal foul by J. Nelson
4:24.0,Turnover by E. Payton (discontinued dribble),,101-115,,
4:22.0,,,101-115,,Shooting foul by S. Ibaka (drawn by N. Jokic)
4:22.0,,,101-115,,N. Jokic misses free throw 1 of 2
4:22.0,,,101-115,,Offensive rebound by Team
4:22.0,,,101-115,,N. Jokic misses free throw 2 of 2
4:16.0,Defensive rebound by S. Ibaka,,101-115,,
4:00.0,E. Payton makes 2-pt shot from 6 ft,2,103-115,,
3:53.0,,,103-117,2,J. Nelson makes 2-pt shot from 2 ft (assist by E. Mudiay)
3:29.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton),2,105-117,,
3:09.0,,,105-117,,D. Gallinari misses 3-pt shot from 24 ft
3:06.0,,,105-117,,Offensive rebound by N. Jokic
3:06.0,,,105-119,2,N. Jokic makes 2-pt shot from 3 ft
2:55.0,S. Ibaka misses 3-pt shot from 25 ft,,105-119,,
2:55.0,,,105-119,,Defensive rebound by Team
2:55.0,Official timeout,,105-119,,
2:50.0,,,105-119,,D. Gallinari misses 2-pt shot at rim
2:50.0,Defensive rebound by N. Vucevic,,105-119,,
2:44.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,107-119,,
2:44.0,Shooting foul by N. Jokic (drawn by N. Vucevic),,107-119,,
2:44.0,N. Vucevic makes free throw 1 of 1,1,108-119,,
2:23.0,,,108-119,,D. Gallinari misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by E. Payton,,108-119,,
