time,Brooklyn,pts.away,score,pts.home,Phoenix
1:10.0,Turnover by B. Bogdanovic (lost ball),,23-19,,
0:54.0,,,23-19,,B. Knight misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by L. Scola,,23-19,,
0:37.0,R. Foye misses 3-pt shot from 27 ft,,23-19,,
0:37.0,,,23-19,,Defensive rebound by B. Knight
0:33.0,Personal foul by R. Foye (drawn by P. Tucker),,23-19,,
0:33.0,,,23-20,1,P. Tucker makes free throw 1 of 2
0:33.0,,,23-21,1,P. Tucker makes free throw 2 of 2
0:33.0,Turnover by B. Bogdanovic (lost ball; steal by T. Warren),,23-21,,
0:03.0,,,23-21,,E. Bledsoe misses 2-pt shot from 17 ft
0:03.0,Defensive rebound by B. Bogdanovic,,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Foye makes 2-pt shot from 8 ft,2,25-21,,
11:29.0,,,25-23,2,B. Knight makes 2-pt shot from 15 ft
11:06.0,B. Bogdanovic misses 3-pt shot from 26 ft,,25-23,,
11:06.0,,,25-23,,Defensive rebound by P. Tucker
11:00.0,Violation by B. Bogdanovic (def goaltending),,25-23,,
11:00.0,,,25-25,2,D. Bender makes 2-pt shot from 1 ft (assist by P. Tucker)
10:33.0,R. Foye misses 3-pt shot from 28 ft,,25-25,,
10:33.0,,,25-25,,Defensive rebound by P. Tucker
10:23.0,,,25-25,,B. Knight misses 2-pt shot from 3 ft
10:22.0,,,25-25,,Offensive rebound by B. Knight
10:21.0,,,25-25,,B. Knight misses 2-pt shot from 2 ft (block by J. Hamilton)
10:20.0,Defensive rebound by J. Hamilton,,25-25,,
10:11.0,Shooting foul by P. Tucker (drawn by J. Hamilton),,25-25,,
10:11.0,J. Hamilton makes free throw 1 of 3,1,26-25,,
10:11.0,J. Hamilton makes free throw 2 of 3,1,27-25,,
10:11.0,J. Hamilton misses free throw 3 of 3,,27-25,,
10:11.0,,,27-25,,Defensive rebound by D. Bender
9:54.0,,,27-25,,L. Barbosa misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by J. Hamilton,,27-25,,
9:40.0,L. Scola makes 2-pt shot from 1 ft (assist by R. Foye),2,29-25,,
9:18.0,,,29-25,,B. Knight misses 2-pt shot from 3 ft
9:17.0,Defensive rebound by L. Scola,,29-25,,
9:05.0,L. Scola makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,32-25,,
8:50.0,,,32-28,3,D. Bender makes 3-pt shot from 23 ft (assist by L. Barbosa)
8:36.0,Y. Ferrell makes 2-pt shot from 1 ft,2,34-28,,
8:23.0,,,34-28,,B. Knight misses 3-pt shot from 27 ft
8:23.0,Defensive rebound by R. Foye,,34-28,,
8:17.0,L. Scola misses 2-pt shot from 2 ft,,34-28,,
8:16.0,,,34-28,,Defensive rebound by P. Tucker
8:06.0,,,34-30,2,J. Dudley makes 2-pt shot from 2 ft (assist by P. Tucker)
7:42.0,R. Foye makes 3-pt shot from 27 ft (assist by Y. Ferrell),3,37-30,,
7:20.0,,,37-30,,Shooting foul by R. Foye (drawn by P. Tucker)
7:20.0,Official timeout,,37-30,,
7:20.0,,,37-31,1,P. Tucker makes free throw 1 of 2
7:20.0,,,37-32,1,P. Tucker makes free throw 2 of 2
7:20.0,B. Lopez enters the game for B. Bogdanovic,,37-30,,
7:20.0,R. Hollis-Jefferson enters the game for L. Scola,,37-30,,
7:03.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,39-32,,
6:45.0,,,39-32,,Turnover by B. Knight (bad pass; steal by R. Foye)
6:34.0,Offensive charge foul by B. Lopez,,39-32,,
6:34.0,Turnover by B. Lopez (offensive foul),,39-32,,
6:34.0,,,39-32,,E. Bledsoe enters the game for B. Knight
6:18.0,,,39-32,,D. Bender misses 3-pt shot from 27 ft
6:18.0,,,39-32,,Offensive rebound by P. Tucker
6:15.0,,,39-34,2,P. Tucker makes 2-pt shot from 2 ft
5:54.0,Shooting foul by D. Bender (drawn by R. Hollis-Jefferson),,39-34,,
5:54.0,,,39-34,,Phoenix full timeout
5:54.0,R. Hollis-Jefferson makes free throw 1 of 2,1,40-34,,
5:54.0,R. Hollis-Jefferson makes free throw 2 of 2,1,41-34,,
5:54.0,,,39-34,,D. Booker enters the game for J. Dudley
5:54.0,,,39-34,,T. Warren enters the game for L. Barbosa
5:54.0,,,39-34,,A. Len enters the game for D. Bender
5:54.0,J. Harris enters the game for J. Hamilton,,39-34,,
5:54.0,S. Kilpatrick enters the game for R. Foye,,39-34,,
5:54.0,T. Booker enters the game for Y. Ferrell,,39-34,,
5:42.0,,,41-34,,D. Booker misses 2-pt shot from 19 ft
5:42.0,Defensive rebound by R. Hollis-Jefferson,,41-34,,
5:24.0,J. Harris misses 3-pt shot from 28 ft,,41-34,,
5:24.0,Offensive rebound by T. Booker,,41-34,,
5:19.0,J. Harris makes 3-pt shot from 26 ft (assist by T. Booker),3,44-34,,
5:03.0,,,44-34,,E. Bledsoe misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
5:02.0,Defensive rebound by R. Hollis-Jefferson,,44-34,,
4:58.0,T. Booker misses 2-pt shot from 1 ft,,44-34,,
4:58.0,Offensive rebound by Team,,44-34,,
4:52.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,44-34,,
4:49.0,Offensive rebound by T. Booker,,44-34,,
4:46.0,T. Booker makes 2-pt shot from 1 ft,2,46-34,,
4:26.0,,,46-34,,P. Tucker misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by S. Kilpatrick,,46-34,,
4:21.0,,,46-34,,Personal foul by E. Bledsoe (drawn by S. Kilpatrick)
4:21.0,,,46-34,,M. Chriss enters the game for P. Tucker
4:12.0,Turnover by B. Lopez (traveling),,46-34,,
3:58.0,,,46-34,,D. Booker misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by R. Hollis-Jefferson,,46-34,,
3:47.0,Turnover by J. Harris (step out of bounds),,46-34,,
3:39.0,,,46-34,,D. Booker misses 2-pt shot from 7 ft
3:39.0,,,46-34,,Offensive rebound by D. Booker
3:37.0,,,46-36,2,D. Booker makes 2-pt shot from 9 ft
3:26.0,B. Lopez misses 3-pt shot from 27 ft,,46-36,,
3:25.0,Offensive rebound by J. Harris,,46-36,,
3:21.0,S. Kilpatrick misses 3-pt shot from 25 ft,,46-36,,
3:20.0,,,46-36,,Defensive rebound by E. Bledsoe
3:06.0,,,46-38,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
2:50.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Harris),2,48-38,,
2:40.0,,,48-38,,T. Warren misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by T. Booker,,48-38,,
2:32.0,T. Booker makes 2-pt shot from 4 ft,2,50-38,,
2:25.0,,,50-38,,Phoenix full timeout
2:25.0,Brooklyn full timeout,,50-38,,
2:25.0,,,50-41,3,M. Chriss makes 3-pt shot from 24 ft (assist by T. Warren)
2:11.0,S. Kilpatrick makes 3-pt shot from 27 ft (assist by T. Booker),3,53-41,,
1:55.0,,,53-41,,M. Chriss misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by R. Hollis-Jefferson,,53-41,,
1:41.0,R. Hollis-Jefferson makes 2-pt shot from 10 ft,2,55-41,,
1:16.0,,,55-41,,Offensive foul by T. Warren
1:16.0,,,55-41,,Turnover by T. Warren (offensive foul)
1:08.0,Shooting foul by A. Len (drawn by J. Harris),,55-41,,
1:08.0,J. Harris makes free throw 1 of 2,1,56-41,,
1:08.0,J. Harris makes free throw 2 of 2,1,57-41,,
1:08.0,J. Hamilton enters the game for B. Lopez,,56-41,,
0:55.0,,,57-43,2,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe)
0:48.0,Turnover by S. Kilpatrick (bad pass),,57-43,,
0:31.0,,,57-43,,M. Chriss misses 2-pt shot from 15 ft
0:31.0,,,57-43,,Offensive rebound by E. Bledsoe
0:08.0,,,57-43,,D. Booker misses 2-pt shot from 8 ft
0:07.0,,,57-43,,Offensive rebound by T. Warren
0:07.0,,,57-45,2,T. Warren makes 2-pt shot from 2 ft
0:04.0,Shooting foul by D. Booker (drawn by R. Hollis-Jefferson),,57-45,,
0:04.0,R. Hollis-Jefferson makes free throw 1 of 2,1,58-45,,
0:04.0,R. Hollis-Jefferson misses free throw 2 of 2,,58-45,,
0:03.0,,,58-45,,Defensive rebound by M. Chriss
0:02.0,,,58-45,,T. Warren misses 3-pt shot from 49 ft
0:00.0,,,58-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,S. Kilpatrick misses 3-pt shot from 26 ft,,58-45,,
11:39.0,,,58-45,,Defensive rebound by D. Booker
11:33.0,,,58-47,2,A. Len makes 2-pt shot from 2 ft
11:33.0,,,58-47,,Shooting foul by S. Kilpatrick (drawn by A. Len)
11:33.0,,,58-47,,A. Len misses free throw 1 of 1
11:32.0,Defensive rebound by S. Kilpatrick,,58-47,,
11:20.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,60-47,,
11:00.0,,,60-50,3,M. Chriss makes 3-pt shot from 26 ft (assist by E. Bledsoe)
10:50.0,B. Lopez misses 3-pt shot from 26 ft,,60-50,,
10:49.0,,,60-50,,Defensive rebound by E. Bledsoe
10:37.0,,,60-52,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
10:24.0,Shooting foul by T. Warren (drawn by B. Bogdanovic),,60-52,,
10:24.0,B. Bogdanovic misses free throw 1 of 2,,60-52,,
10:24.0,Offensive rebound by Team,,60-52,,
10:24.0,B. Bogdanovic makes free throw 2 of 2,1,61-52,,
10:15.0,,,61-52,,M. Chriss misses 2-pt shot from 1 ft (block by B. Lopez)
10:14.0,Defensive rebound by B. Lopez,,61-52,,
10:00.0,Shooting foul by M. Chriss (drawn by B. Lopez),,61-52,,
10:00.0,B. Lopez makes free throw 1 of 2,1,62-52,,
10:00.0,B. Lopez makes free throw 2 of 2,1,63-52,,
9:45.0,Personal foul by B. Lopez (drawn by E. Bledsoe),,63-52,,
9:35.0,,,63-55,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by D. Booker)
9:14.0,S. Kilpatrick misses 2-pt shot from 17 ft,,63-55,,
9:14.0,Offensive rebound by T. Booker,,63-55,,
9:09.0,T. Booker misses 2-pt shot from 12 ft,,63-55,,
9:08.0,,,63-55,,Defensive rebound by A. Len
9:00.0,,,63-57,2,T. Warren makes 2-pt shot from 11 ft (assist by E. Bledsoe)
8:59.0,Brooklyn full timeout,,63-57,,
8:44.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by A. Len),,63-57,,
8:43.0,Offensive rebound by Team,,63-57,,
8:37.0,S. Kilpatrick makes 2-pt shot from 10 ft,2,65-57,,
8:23.0,,,65-59,2,T. Warren makes 2-pt shot from 18 ft
8:11.0,Shooting foul by T. Warren (drawn by R. Hollis-Jefferson),,65-59,,
8:11.0,R. Hollis-Jefferson makes free throw 1 of 2,1,66-59,,
8:11.0,R. Hollis-Jefferson makes free throw 2 of 2,1,67-59,,
8:11.0,J. Hamilton enters the game for T. Booker,,66-59,,
8:01.0,,,67-59,,T. Warren misses 2-pt shot from 15 ft
8:01.0,Defensive rebound by S. Kilpatrick,,67-59,,
7:56.0,,,67-59,,Shooting block foul by D. Booker (drawn by R. Hollis-Jefferson)
7:56.0,R. Hollis-Jefferson makes free throw 1 of 2,1,68-59,,
7:56.0,R. Hollis-Jefferson makes free throw 2 of 2,1,69-59,,
7:56.0,,,68-59,,B. Knight enters the game for D. Booker
7:42.0,,,69-59,,Turnover by E. Bledsoe (bad pass; steal by R. Hollis-Jefferson)
7:38.0,Turnover by R. Hollis-Jefferson (lost ball; steal by T. Warren),,69-59,,
7:34.0,,,69-61,2,T. Warren makes 2-pt shot from 1 ft
7:16.0,B. Bogdanovic misses 3-pt shot from 26 ft,,69-61,,
7:16.0,,,69-61,,Defensive rebound by A. Len
7:02.0,,,69-61,,M. Chriss misses 3-pt shot from 27 ft
7:01.0,,,69-61,,Offensive rebound by A. Len
6:59.0,,,69-61,,Turnover by A. Len (bad pass; steal by J. Hamilton)
6:50.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,72-61,,
6:48.0,,,72-61,,Phoenix full timeout
6:48.0,,,72-61,,J. Dudley enters the game for M. Chriss
6:48.0,J. Harris enters the game for B. Bogdanovic,,72-61,,
6:32.0,,,72-61,,Shooting foul by S. Kilpatrick (drawn by E. Bledsoe)
6:32.0,,,72-62,1,E. Bledsoe makes free throw 1 of 2
6:32.0,,,72-62,,E. Bledsoe misses free throw 2 of 2
6:32.0,Defensive rebound by B. Lopez,,72-62,,
6:20.0,S. Kilpatrick makes 2-pt shot at rim (assist by B. Lopez),2,74-62,,
6:10.0,,,74-62,,B. Knight misses 2-pt shot from 15 ft
6:08.0,,,74-62,,Offensive rebound by A. Len
6:08.0,,,74-64,2,A. Len makes 2-pt shot from 2 ft
5:54.0,B. Lopez makes 2-pt shot from 14 ft,2,76-64,,
5:44.0,,,76-64,,T. Warren misses 3-pt shot from 27 ft
5:44.0,,,76-64,,Offensive rebound by E. Bledsoe
5:41.0,,,76-64,,Shooting foul by J. Harris (drawn by A. Len)
5:41.0,,,76-65,1,A. Len makes free throw 1 of 2
5:41.0,,,76-65,,A. Len misses free throw 2 of 2
5:41.0,Defensive rebound by S. Kilpatrick,,76-65,,
5:41.0,,,76-65,,T. Ulis enters the game for E. Bledsoe
5:25.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,76-65,,
5:24.0,,,76-65,,Defensive rebound by J. Dudley
5:12.0,,,76-67,2,B. Knight makes 2-pt shot from 1 ft
4:52.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by T. Warren),,76-67,,
4:51.0,,,76-67,,Defensive rebound by B. Knight
4:50.0,,,76-67,,Turnover by B. Knight (lost ball)
4:44.0,Shooting foul by T. Ulis (drawn by S. Kilpatrick),,76-67,,
4:44.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,78-67,,
4:44.0,S. Kilpatrick misses free throw 1 of 1,,78-67,,
4:44.0,,,78-67,,Defensive rebound by A. Len
4:33.0,Personal foul by T. Booker (drawn by J. Dudley),,78-67,,
4:33.0,,,78-68,1,J. Dudley makes free throw 1 of 2
4:33.0,,,78-68,,J. Dudley misses free throw 2 of 2
4:33.0,T. Booker enters the game for B. Lopez,,78-67,,
4:32.0,,,78-68,,Offensive rebound by J. Dudley
4:21.0,,,78-70,2,J. Dudley makes 2-pt shot from 1 ft
4:03.0,T. Booker makes 2-pt shot from 16 ft,2,80-70,,
3:50.0,,,80-70,,T. Ulis misses 2-pt shot from 12 ft
3:49.0,Defensive rebound by R. Hollis-Jefferson,,80-70,,
3:41.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,80-70,,
3:39.0,,,80-70,,Defensive rebound by B. Knight
3:30.0,,,80-70,,Turnover by T. Ulis (bad pass)
3:20.0,J. Harris misses 3-pt shot from 25 ft,,80-70,,
3:20.0,Offensive rebound by T. Booker,,80-70,,
3:00.0,T. Booker misses 2-pt shot from 20 ft,,80-70,,
3:00.0,Offensive rebound by J. Harris,,80-70,,
2:57.0,J. Harris makes 2-pt shot from 2 ft,2,82-70,,
2:46.0,,,82-72,2,T. Warren makes 2-pt shot from 3 ft
2:26.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Ulis),,82-72,,
2:21.0,Shooting block foul by J. Harris (drawn by B. Knight),,82-72,,
2:21.0,,,82-73,1,B. Knight makes free throw 1 of 2
2:21.0,,,82-74,1,B. Knight makes free throw 2 of 2
2:21.0,,,82-73,,D. Booker enters the game for T. Warren
2:21.0,,,82-73,,P. Tucker enters the game for A. Len
2:21.0,L. Scola enters the game for R. Hollis-Jefferson,,82-73,,
2:21.0,R. Foye enters the game for S. Kilpatrick,,82-73,,
2:21.0,Y. Ferrell enters the game for J. Hamilton,,82-73,,
2:08.0,Y. Ferrell misses 3-pt shot from 29 ft,,82-74,,
2:07.0,,,82-74,,Defensive rebound by Team
1:59.0,,,82-74,,J. Dudley misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by L. Scola,,82-74,,
1:48.0,R. Foye misses 3-pt shot from 25 ft,,82-74,,
1:47.0,,,82-74,,Defensive rebound by D. Booker
1:38.0,,,82-77,3,J. Dudley makes 3-pt shot from 23 ft (assist by B. Knight)
1:32.0,Brooklyn full timeout,,82-77,,
1:27.0,T. Booker makes 2-pt shot from 5 ft,2,84-77,,
1:14.0,,,84-77,,T. Ulis misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by L. Scola,,84-77,,
1:03.0,R. Foye makes 3-pt shot from 27 ft (assist by T. Booker),3,87-77,,
0:44.0,,,87-80,3,J. Dudley makes 3-pt shot from 26 ft (assist by D. Booker)
0:33.0,L. Scola makes 3-pt shot from 25 ft (assist by R. Foye),3,90-80,,
0:15.0,,,90-80,,P. Tucker misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by T. Booker,,90-80,,
0:06.0,Offensive charge foul by J. Harris,,90-80,,
0:06.0,Turnover by J. Harris (offensive foul),,90-80,,
0:00.0,,,90-83,3,J. Dudley makes 3-pt shot from 26 ft (assist by B. Knight)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,90-83,,B. Knight misses 2-pt shot from 1 ft (block by L. Scola)
11:42.0,,,90-83,,Offensive rebound by B. Knight
11:35.0,,,90-83,,B. Knight misses 3-pt shot from 23 ft
11:35.0,Defensive rebound by R. Foye,,90-83,,
11:27.0,R. Foye misses 3-pt shot from 27 ft,,90-83,,
11:26.0,,,90-83,,Defensive rebound by P. Tucker
11:10.0,,,90-85,2,P. Tucker makes 2-pt shot from 2 ft (assist by J. Dudley)
11:10.0,,,90-85,,Shooting foul by L. Scola (drawn by P. Tucker)
11:10.0,,,90-86,1,P. Tucker makes free throw 1 of 1
10:57.0,R. Foye misses 2-pt shot from 2 ft,,90-86,,
10:56.0,,,90-86,,Defensive rebound by J. Dudley
10:50.0,,,90-86,,D. Booker misses 3-pt shot from 27 ft
10:49.0,,,90-86,,Offensive rebound by J. Dudley
10:42.0,,,90-86,,Offensive foul by J. Dudley
10:42.0,,,90-86,,Turnover by J. Dudley (offensive foul)
10:22.0,Loose ball foul by J. Harris (drawn by P. Tucker),,90-86,,
10:22.0,Turnover by J. Harris (offensive foul),,90-86,,
10:14.0,Personal foul by J. Hamilton (drawn by D. Booker),,90-86,,
10:09.0,,,90-86,,B. Knight misses 2-pt shot from 2 ft
10:09.0,,,90-86,,Offensive rebound by Team
10:09.0,Loose ball foul by Y. Ferrell (drawn by P. Tucker),,90-86,,
9:59.0,,,90-86,,D. Booker misses 2-pt shot from 6 ft (block by Y. Ferrell)
9:52.0,Defensive rebound by Y. Ferrell,,90-86,,
