time,Chicago,pts.away,score,pts.home,Utah
9:02.0,,,34-32,,Defensive rebound by J. Johnson
8:53.0,Shooting block foul by N. Mirotic (drawn by T. Lyles),,34-32,,
8:53.0,,,34-32,,Utah full timeout
8:53.0,,,34-33,1,T. Lyles makes free throw 1 of 2
8:53.0,,,34-34,1,T. Lyles makes free throw 2 of 2
8:53.0,,,34-32,,D. Exum enters the game for S. Mack
8:53.0,,,34-32,,J. Ingles enters the game for J. Johnson
8:39.0,Shooting foul by D. Exum (drawn by B. Portis),,34-34,,
8:39.0,B. Portis makes free throw 1 of 2,1,35-34,,
8:39.0,B. Portis makes free throw 2 of 2,1,36-34,,
8:28.0,Personal foul by D. Valentine (drawn by R. Hood),,36-34,,
8:18.0,,,36-34,,R. Hood misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by Team,,36-34,,
7:58.0,,,36-34,,B. Diaw enters the game for T. Lyles
7:55.0,N. Mirotic misses 2-pt shot from 20 ft,,36-34,,
7:53.0,,,36-34,,Defensive rebound by J. Ingles
7:43.0,,,36-36,2,J. Withey makes 2-pt shot from 1 ft (assist by J. Ingles)
7:34.0,Turnover by I. Canaan (lost ball),,36-36,,
7:34.0,J. Butler enters the game for N. Mirotic,,36-36,,
7:34.0,T. Gibson enters the game for D. Wade,,36-36,,
7:34.0,J. Grant enters the game for I. Canaan,,36-36,,
7:34.0,,,36-36,,R. Gobert enters the game for J. Withey
7:34.0,,,36-36,,G. Hayward enters the game for R. Hood
7:18.0,,,36-36,,Turnover by B. Diaw (lost ball)
7:03.0,D. Valentine misses 3-pt shot from 23 ft,,36-36,,
7:02.0,Offensive rebound by Team,,36-36,,
7:02.0,,,36-36,,Loose ball foul by B. Diaw (drawn by T. Gibson)
6:56.0,Turnover by J. Butler (bad pass; steal by G. Hayward),,36-36,,
6:41.0,,,36-36,,Turnover by R. Gobert (lost ball; steal by J. Butler)
6:39.0,,,36-36,,Personal foul by J. Ingles (drawn by D. Valentine)
6:39.0,Chicago full timeout,,36-36,,
6:29.0,B. Portis misses 3-pt shot from 24 ft,,36-36,,
6:28.0,,,36-36,,Defensive rebound by R. Gobert
6:04.0,,,36-36,,G. Hayward misses 2-pt shot from 4 ft (block by B. Portis)
6:03.0,Defensive rebound by J. Butler,,36-36,,
5:58.0,J. Butler misses 2-pt shot from 2 ft,,36-36,,
5:57.0,,,36-36,,Defensive rebound by G. Hayward
5:48.0,,,36-36,,Turnover by B. Diaw (bad pass; steal by J. Grant)
5:34.0,B. Portis misses 2-pt shot from 7 ft,,36-36,,
5:34.0,,,36-36,,Defensive rebound by R. Gobert
5:20.0,Personal foul by T. Gibson (drawn by G. Hayward),,36-36,,
5:20.0,,,36-36,,G. Hayward misses free throw 1 of 2
5:20.0,,,36-36,,Offensive rebound by Team
5:20.0,,,36-37,1,G. Hayward makes free throw 2 of 2
5:20.0,R. Lopez enters the game for B. Portis,,36-36,,
5:20.0,I. Canaan enters the game for D. Valentine,,36-36,,
5:01.0,J. Grant misses 2-pt shot from 2 ft (block by R. Gobert),,36-37,,
5:00.0,,,36-37,,Defensive rebound by D. Exum
4:47.0,,,36-37,,Offensive foul by J. Ingles
4:47.0,,,36-37,,Turnover by J. Ingles (offensive foul)
4:47.0,,,36-37,,R. Hood enters the game for J. Ingles
4:26.0,I. Canaan misses 2-pt shot from 19 ft,,36-37,,
4:23.0,Offensive rebound by R. Lopez,,36-37,,
4:23.0,R. Lopez misses 2-pt shot from 2 ft,,36-37,,
4:22.0,,,36-37,,Defensive rebound by G. Hayward
4:14.0,,,36-37,,G. Hayward misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by J. Grant,,36-37,,
4:03.0,R. Lopez misses 2-pt shot from 18 ft,,36-37,,
4:02.0,Offensive rebound by Team,,36-37,,
3:59.0,J. Butler misses 2-pt shot from 16 ft,,36-37,,
3:58.0,,,36-37,,Defensive rebound by R. Hood
3:48.0,,,36-37,,D. Exum misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by J. Grant,,36-37,,
3:40.0,I. Canaan makes 2-pt shot from 6 ft,2,38-37,,
3:39.0,,,38-37,,Utah full timeout
3:25.0,,,38-37,,R. Hood misses 2-pt shot from 18 ft
3:24.0,Defensive rebound by J. Grant,,38-37,,
3:10.0,J. Butler misses 2-pt shot from 15 ft,,38-37,,
3:09.0,,,38-37,,Defensive rebound by D. Exum
2:58.0,,,38-37,,D. Exum misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by J. Grant,,38-37,,
2:44.0,J. Grant misses 2-pt shot from 2 ft,,38-37,,
2:43.0,,,38-37,,Defensive rebound by R. Gobert
2:36.0,,,38-39,2,G. Hayward makes 2-pt shot from 2 ft
2:22.0,T. Gibson misses 2-pt shot from 8 ft,,38-39,,
2:21.0,,,38-39,,Defensive rebound by R. Hood
2:12.0,,,38-41,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Hood)
2:12.0,Chicago full timeout,,38-41,,
2:12.0,D. Wade enters the game for J. Grant,,38-41,,
2:12.0,,,38-41,,J. Johnson enters the game for B. Diaw
1:57.0,D. Wade misses 2-pt shot from 6 ft,,38-41,,
1:56.0,Offensive rebound by R. Lopez,,38-41,,
1:56.0,R. Lopez misses 2-pt shot from 1 ft,,38-41,,
1:55.0,,,38-41,,Defensive rebound by R. Hood
1:35.0,,,38-41,,G. Hayward misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by R. Lopez,,38-41,,
1:27.0,I. Canaan misses 3-pt shot from 26 ft,,38-41,,
1:27.0,Offensive rebound by J. Butler,,38-41,,
1:19.0,J. Butler misses 2-pt shot from 2 ft,,38-41,,
1:17.0,Offensive rebound by R. Lopez,,38-41,,
1:17.0,R. Lopez misses 2-pt shot from 1 ft,,38-41,,
1:16.0,,,38-41,,Defensive rebound by J. Johnson
1:11.0,,,38-43,2,R. Hood makes 2-pt shot at rim (assist by J. Johnson)
0:56.0,R. Lopez misses 2-pt shot from 20 ft,,38-43,,
0:55.0,,,38-43,,Defensive rebound by J. Johnson
0:45.0,,,38-43,,D. Exum misses 2-pt shot from 3 ft
0:45.0,Defensive rebound by I. Canaan,,38-43,,
0:37.0,D. Wade misses 3-pt shot from 24 ft,,38-43,,
0:37.0,Offensive rebound by Team,,38-43,,
0:28.0,I. Canaan misses 2-pt shot from 4 ft,,38-43,,
0:27.0,Offensive rebound by J. Butler,,38-43,,
0:17.0,J. Butler misses 2-pt shot from 17 ft,,38-43,,
0:16.0,Offensive rebound by T. Gibson,,38-43,,
0:12.0,Turnover by T. Gibson (lost ball; steal by G. Hayward),,38-43,,
0:05.0,,,38-43,,G. Hayward misses 2-pt shot from 13 ft
0:04.0,Defensive rebound by Team,,38-43,,
0:00.0,J. Butler makes 3-pt shot from 30 ft,3,41-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,41-43,,R. Hood misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by T. Gibson,,41-43,,
11:27.0,Shooting foul by G. Hayward (drawn by T. Gibson),,41-43,,
11:27.0,T. Gibson makes free throw 1 of 2,1,42-43,,
11:27.0,T. Gibson makes free throw 2 of 2,1,43-43,,
11:10.0,,,43-43,,G. Hayward misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by D. Wade,,43-43,,
11:02.0,D. Wade misses 2-pt shot from 11 ft,,43-43,,
11:01.0,,,43-43,,Defensive rebound by G. Hayward
10:41.0,,,43-43,,B. Diaw misses 2-pt shot from 23 ft
10:41.0,Defensive rebound by J. Grant,,43-43,,
10:32.0,J. Grant makes 2-pt shot from 2 ft,2,45-43,,
10:06.0,,,45-43,,B. Diaw misses 2-pt shot from 13 ft
10:06.0,Defensive rebound by J. Butler,,45-43,,
9:46.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler),2,47-43,,
9:34.0,,,47-43,,Turnover by R. Hood (bad pass; steal by J. Grant)
9:28.0,J. Grant misses 3-pt shot from 25 ft,,47-43,,
9:26.0,,,47-43,,Defensive rebound by G. Hayward
9:07.0,,,47-43,,G. Hayward misses 3-pt shot from 23 ft
9:06.0,Defensive rebound by Team,,47-43,,
8:55.0,Offensive foul by T. Gibson,,47-43,,
8:55.0,Turnover by T. Gibson (offensive foul),,47-43,,
8:42.0,,,47-43,,B. Diaw misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by J. Butler,,47-43,,
8:32.0,J. Butler makes 2-pt shot from 3 ft,2,49-43,,
8:25.0,,,49-43,,Utah full timeout
8:16.0,,,49-45,2,R. Hood makes 2-pt shot from 3 ft
7:51.0,J. Grant misses 2-pt shot from 6 ft,,49-45,,
7:49.0,,,49-45,,Defensive rebound by B. Diaw
7:28.0,,,49-45,,R. Hood misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by Team,,49-45,,
7:14.0,D. Wade makes 2-pt shot from 18 ft,2,51-45,,
6:55.0,,,51-45,,Shooting foul by R. Lopez (drawn by R. Gobert)
6:55.0,,,51-46,1,R. Gobert makes free throw 1 of 2
6:55.0,,,51-47,1,R. Gobert makes free throw 2 of 2
6:38.0,D. Wade makes 2-pt shot from 19 ft,2,53-47,,
6:27.0,,,53-47,,D. Exum misses 2-pt shot from 2 ft (block by R. Lopez)
6:25.0,Defensive rebound by J. Butler,,53-47,,
6:13.0,T. Gibson makes 2-pt shot from 2 ft (assist by D. Wade),2,55-47,,
5:50.0,,,55-50,3,D. Exum makes 3-pt shot from 25 ft (assist by R. Gobert)
5:34.0,R. Lopez makes 2-pt shot at rim (assist by J. Grant),2,57-50,,
5:14.0,,,57-50,,Turnover by G. Hayward (lost ball; steal by J. Butler)
5:05.0,J. Butler makes 2-pt shot from 1 ft,2,59-50,,
4:45.0,,,59-50,,G. Hayward misses 2-pt shot from 19 ft (block by D. Wade)
4:44.0,,,59-50,,Offensive rebound by G. Hayward
4:42.0,,,59-52,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
4:19.0,Turnover by D. Wade (bad pass; steal by D. Exum),,59-52,,
4:15.0,,,59-54,2,G. Hayward makes 2-pt shot at rim (assist by D. Exum)
4:12.0,Chicago full timeout,,59-54,,
4:12.0,N. Mirotic enters the game for T. Gibson,,59-54,,
4:12.0,I. Canaan enters the game for D. Wade,,59-54,,
4:12.0,,,59-54,,T. Lyles enters the game for B. Diaw
4:12.0,,,59-54,,J. Johnson enters the game for R. Hood
4:12.0,,,59-54,,S. Mack enters the game for D. Exum
4:02.0,J. Butler misses 2-pt shot from 20 ft,,59-54,,
4:00.0,,,59-54,,Defensive rebound by Team
3:45.0,,,59-54,,T. Lyles misses 2-pt shot from 5 ft (block by N. Mirotic)
3:44.0,,,59-54,,Offensive rebound by T. Lyles
3:41.0,,,59-54,,J. Johnson misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by R. Lopez,,59-54,,
3:27.0,J. Grant misses 2-pt shot from 20 ft,,59-54,,
3:25.0,Offensive rebound by R. Lopez,,59-54,,
3:18.0,R. Lopez misses 2-pt shot from 6 ft,,59-54,,
3:16.0,,,59-54,,Defensive rebound by G. Hayward
3:13.0,Personal foul by J. Grant (drawn by G. Hayward),,59-54,,
3:13.0,D. Valentine enters the game for J. Grant,,59-54,,
2:52.0,,,59-54,,T. Lyles misses 2-pt shot from 18 ft
2:52.0,Defensive rebound by R. Lopez,,59-54,,
2:44.0,N. Mirotic makes 2-pt shot from 5 ft,2,61-54,,
2:27.0,,,61-54,,Turnover by S. Mack (traveling)
2:15.0,J. Butler misses 2-pt shot from 19 ft,,61-54,,
2:13.0,,,61-54,,Defensive rebound by G. Hayward
2:05.0,,,61-54,,G. Hayward misses 2-pt shot from 20 ft
2:04.0,Defensive rebound by D. Valentine,,61-54,,
1:42.0,I. Canaan makes 2-pt shot from 6 ft,2,63-54,,
1:27.0,,,63-56,2,T. Lyles makes 2-pt shot from 4 ft
1:09.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler),3,66-56,,
0:55.0,,,66-58,2,S. Mack makes 2-pt shot from 10 ft
0:30.0,D. Valentine misses 3-pt shot from 26 ft,,66-58,,
0:29.0,,,66-58,,Defensive rebound by T. Lyles
0:04.0,,,66-58,,T. Lyles misses 2-pt shot from 10 ft
0:04.0,,,66-58,,Offensive rebound by R. Gobert
0:03.0,Personal foul by D. Valentine (drawn by R. Gobert),,66-58,,
0:03.0,,,66-58,,R. Hood enters the game for S. Mack
0:00.0,,,66-58,,R. Gobert misses 2-pt shot from 2 ft
0:00.0,,,66-58,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Wade makes 2-pt shot from 1 ft (assist by B. Portis),2,68-58,,
11:21.0,,,68-58,,R. Hood misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by N. Mirotic,,68-58,,
11:06.0,N. Mirotic makes 2-pt shot at rim,2,70-58,,
10:50.0,,,70-58,,Turnover by J. Withey (bad pass; steal by N. Mirotic)
10:38.0,D. Valentine makes 3-pt shot from 26 ft (assist by N. Mirotic),3,73-58,,
10:37.0,,,73-58,,Utah full timeout
10:37.0,,,73-58,,B. Diaw enters the game for J. Withey
10:37.0,,,73-58,,D. Exum enters the game for S. Mack
10:20.0,,,73-58,,J. Ingles misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by N. Mirotic,,73-58,,
10:07.0,D. Wade misses 2-pt shot from 17 ft,,73-58,,
10:07.0,Offensive rebound by Team,,73-58,,
10:07.0,,,73-58,,Loose ball foul by R. Hood (drawn by N. Mirotic)
10:02.0,Shooting foul by B. Diaw (drawn by D. Wade),,73-58,,
10:02.0,D. Wade makes free throw 1 of 2,1,74-58,,
10:02.0,D. Wade makes free throw 2 of 2,1,75-58,,
9:50.0,Personal foul by D. Wade (drawn by B. Diaw),,75-58,,
9:39.0,,,75-58,,Shooting foul by D. Wade (drawn by J. Johnson)
9:39.0,,,75-59,1,J. Johnson makes free throw 1 of 2
9:39.0,,,75-60,1,J. Johnson makes free throw 2 of 2
9:17.0,I. Canaan makes 2-pt shot from 2 ft,2,77-60,,
8:57.0,Personal foul by I. Canaan (drawn by J. Johnson),,77-60,,
8:57.0,,,77-60,,R. Gobert enters the game for B. Diaw
8:57.0,,,77-60,,G. Hayward enters the game for J. Ingles
8:57.0,R. Lopez enters the game for B. Portis,,77-60,,
8:57.0,J. Butler enters the game for D. Valentine,,77-60,,
8:49.0,,,77-62,2,R. Hood makes 2-pt shot from 2 ft
8:32.0,I. Canaan misses 2-pt shot from 17 ft,,77-62,,
8:31.0,,,77-62,,Defensive rebound by G. Hayward
8:23.0,,,77-64,2,R. Gobert makes 2-pt shot from 4 ft (assist by G. Hayward)
7:57.0,Shooting foul by G. Hayward (drawn by J. Butler),,77-64,,
7:57.0,J. Butler makes free throw 1 of 2,1,78-64,,
7:57.0,J. Butler misses free throw 2 of 2,,78-64,,
7:57.0,D. Valentine enters the game for D. Wade,,78-64,,
7:56.0,,,78-64,,Defensive rebound by J. Johnson
7:37.0,,,78-64,,D. Exum misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by J. Butler,,78-64,,
7:25.0,N. Mirotic misses 3-pt shot from 26 ft,,78-64,,
7:23.0,,,78-64,,Defensive rebound by G. Hayward
7:17.0,,,78-64,,G. Hayward misses 2-pt shot from 4 ft (block by R. Lopez)
7:16.0,Defensive rebound by R. Lopez,,78-64,,
6:50.0,I. Canaan misses 2-pt shot from 2 ft,,78-64,,
6:50.0,,,78-64,,Defensive rebound by D. Exum
6:44.0,,,78-66,2,J. Johnson makes 2-pt shot from 2 ft
6:43.0,Chicago full timeout,,78-66,,
6:43.0,,,78-66,,T. Lyles enters the game for R. Hood
6:21.0,J. Butler misses 2-pt shot from 11 ft,,78-66,,
6:20.0,,,78-66,,Defensive rebound by G. Hayward
6:12.0,Personal foul by I. Canaan (drawn by D. Exum),,78-66,,
6:12.0,J. Grant enters the game for I. Canaan,,78-66,,
6:03.0,,,78-66,,D. Exum misses 2-pt shot from 12 ft
6:01.0,,,78-66,,Offensive rebound by T. Lyles
6:01.0,,,78-68,2,T. Lyles makes 2-pt shot from 1 ft
5:43.0,Turnover by N. Mirotic (bad pass; steal by T. Lyles),,78-68,,
5:40.0,,,78-68,,Shooting foul by J. Grant (drawn by D. Exum)
5:40.0,,,78-69,1,D. Exum makes free throw 1 of 2
5:40.0,,,78-70,1,D. Exum makes free throw 2 of 2
5:40.0,D. Wade enters the game for D. Valentine,,78-69,,
5:40.0,T. Gibson enters the game for N. Mirotic,,78-69,,
5:24.0,D. Wade makes 2-pt shot from 16 ft,2,80-70,,
5:10.0,,,80-70,,R. Hood enters the game for J. Johnson
5:01.0,,,80-70,,T. Lyles misses 2-pt shot from 8 ft
5:00.0,,,80-70,,Offensive rebound by D. Exum
4:53.0,,,80-70,,R. Hood misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by T. Gibson,,80-70,,
4:32.0,T. Gibson misses 2-pt shot from 4 ft,,80-70,,
4:30.0,Offensive rebound by T. Gibson,,80-70,,
4:30.0,T. Gibson misses 2-pt shot from 2 ft,,80-70,,
4:28.0,,,80-70,,Defensive rebound by R. Gobert
4:15.0,,,80-72,2,T. Lyles makes 2-pt shot from 3 ft
3:56.0,R. Lopez misses 2-pt shot from 19 ft,,80-72,,
3:56.0,Offensive rebound by Team,,80-72,,
3:56.0,,,80-72,,Loose ball foul by T. Lyles (drawn by T. Gibson)
3:43.0,D. Wade misses 2-pt shot from 17 ft,,80-72,,
3:42.0,,,80-72,,Defensive rebound by R. Hood
3:18.0,,,80-72,,D. Exum misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by J. Butler,,80-72,,
2:59.0,J. Butler misses 3-pt shot from 24 ft,,80-72,,
2:59.0,,,80-72,,Defensive rebound by G. Hayward
2:41.0,,,80-72,,Utah full timeout
2:33.0,,,80-75,3,D. Exum makes 3-pt shot from 27 ft (assist by G. Hayward)
2:13.0,D. Wade makes 2-pt shot from 17 ft,2,82-75,,
1:59.0,,,82-75,,G. Hayward misses 3-pt shot from 24 ft
1:58.0,,,82-75,,Offensive rebound by R. Gobert
1:57.0,,,82-77,2,R. Gobert makes 2-pt shot from 2 ft
1:35.0,D. Wade misses 2-pt shot from 21 ft,,82-77,,
1:33.0,Offensive rebound by T. Gibson,,82-77,,
1:11.0,J. Butler makes 2-pt shot from 20 ft,2,84-77,,
1:11.0,,,84-77,,Utah full timeout
1:06.0,,,84-77,,R. Hood misses 3-pt shot from 24 ft
1:05.0,Defensive rebound by T. Gibson,,84-77,,
0:43.0,J. Grant misses 3-pt shot from 25 ft,,84-77,,
0:42.0,,,84-77,,Defensive rebound by R. Hood
0:31.0,,,84-77,,R. Hood misses 2-pt shot from 23 ft (block by T. Gibson)
0:30.0,Defensive rebound by T. Gibson,,84-77,,
0:28.0,,,84-77,,Personal foul by T. Lyles (drawn by J. Butler)
0:28.0,J. Butler misses free throw 1 of 2,,84-77,,
0:28.0,Offensive rebound by Team,,84-77,,
0:28.0,J. Butler makes free throw 2 of 2,1,85-77,,
0:28.0,,,85-77,,Utah full timeout
0:28.0,,,85-77,,J. Johnson enters the game for D. Exum
0:24.0,,,85-77,,T. Lyles misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by J. Butler,,85-77,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
