time,Brooklyn,pts.away,score,pts.home,Dallas
4:55.0,,,61-56,,Shooting foul by S. Dinwiddie (drawn by H. Barnes)
4:55.0,,,61-57,1,H. Barnes makes free throw 1 of 2
4:55.0,,,61-58,1,H. Barnes makes free throw 2 of 2
4:55.0,S. Kilpatrick enters the game for J. Lin,,61-57,,
4:55.0,,,61-57,,J. Barea enters the game for Y. Ferrell
4:41.0,Turnover by I. Whitehead (bad pass; steal by S. Mejri),,61-58,,
4:30.0,,,61-58,,Turnover by J. Barea (bad pass; steal by S. Dinwiddie)
4:24.0,I. Whitehead misses 2-pt shot from 3 ft,,61-58,,
4:22.0,,,61-58,,Defensive rebound by S. Mejri
4:09.0,,,61-60,2,W. Matthews makes 2-pt shot from 4 ft
4:00.0,T. Booker misses 2-pt shot from 6 ft,,61-60,,
3:57.0,,,61-60,,Defensive rebound by S. Mejri
3:47.0,,,61-63,3,S. Curry makes 3-pt shot from 26 ft (assist by W. Matthews)
3:47.0,,,61-63,,Shooting foul by S. Dinwiddie (drawn by S. Curry)
3:47.0,,,61-64,1,S. Curry makes free throw 1 of 1
3:27.0,I. Whitehead misses 3-pt shot from 25 ft,,61-64,,
3:26.0,,,61-64,,Defensive rebound by J. Barea
3:18.0,,,61-66,2,J. Barea makes 2-pt shot from 19 ft
3:09.0,,,61-66,,Shooting block foul by S. Mejri (drawn by I. Whitehead)
3:09.0,I. Whitehead makes free throw 1 of 2,1,62-66,,
3:09.0,I. Whitehead makes free throw 2 of 2,1,63-66,,
2:57.0,Personal foul by T. Booker (drawn by S. Mejri),,63-66,,
2:57.0,,,63-67,1,S. Mejri makes free throw 1 of 2
2:57.0,,,63-67,,S. Mejri misses free throw 2 of 2
2:55.0,Defensive rebound by J. Hamilton,,63-67,,
2:34.0,Shooting foul by W. Matthews (drawn by S. Kilpatrick),,63-67,,
2:34.0,S. Kilpatrick makes free throw 1 of 2,1,64-67,,
2:34.0,S. Kilpatrick makes free throw 2 of 2,1,65-67,,
2:26.0,,,65-69,2,J. Barea makes 2-pt shot from 14 ft
2:13.0,T. Booker misses 2-pt shot from 5 ft,,65-69,,
2:12.0,,,65-69,,Defensive rebound by S. Mejri
2:00.0,,,65-71,2,S. Curry makes 2-pt shot from 2 ft
1:35.0,I. Whitehead makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,68-71,,
1:10.0,,,68-71,,H. Barnes misses 2-pt shot from 11 ft
1:09.0,Defensive rebound by T. Booker,,68-71,,
1:04.0,T. Booker misses 2-pt shot from 2 ft,,68-71,,
1:02.0,,,68-71,,Defensive rebound by S. Mejri
0:58.0,,,68-71,,Turnover by J. Barea (bad pass; steal by S. Dinwiddie)
0:56.0,T. Booker makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,70-71,,
0:56.0,Shooting foul by J. Barea (drawn by T. Booker),,70-71,,
0:56.0,T. Booker misses free throw 1 of 1,,70-71,,
0:56.0,,,70-71,,D. Nowitzki enters the game for H. Barnes
0:56.0,,,70-71,,D. Finney-Smith enters the game for W. Matthews
0:56.0,,,70-71,,D. Harris enters the game for S. Curry
0:55.0,,,70-71,,Defensive rebound by S. Mejri
0:35.0,Shooting block foul by S. Dinwiddie,,70-71,,
0:35.0,,,70-72,1,J. Barea makes free throw 1 of 2
0:35.0,,,70-73,1,J. Barea makes free throw 2 of 2
0:29.0,T. Booker makes 2-pt shot from 4 ft,2,72-73,,
0:12.0,,,72-73,,J. Barea misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by Team,,72-73,,
0:12.0,,,72-73,,Loose ball foul by S. Mejri (drawn by T. Booker)
0:12.0,T. Booker misses free throw 1 of 2,,72-73,,
0:12.0,Offensive rebound by Team,,72-73,,
0:12.0,T. Booker makes free throw 2 of 2,1,73-73,,
0:12.0,Q. Acy enters the game for J. Hamilton,,72-73,,
0:12.0,,,72-73,,H. Barnes enters the game for S. Mejri
0:06.0,,,73-73,,Shooting foul by S. Kilpatrick (drawn by D. Harris)
0:06.0,,,73-73,,D. Harris misses free throw 1 of 2
0:06.0,,,73-73,,Offensive rebound by Team
0:06.0,,,73-74,1,D. Harris makes free throw 2 of 2
0:06.0,,,73-73,,D. Powell enters the game for D. Nowitzki
0:06.0,J. Lin enters the game for S. Dinwiddie,,73-73,,
0:06.0,,,73-73,,Y. Ferrell enters the game for J. Barea
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Booker makes 2-pt shot from 20 ft (assist by S. Kilpatrick),2,75-74,,
11:27.0,,,75-74,,D. Powell misses 2-pt shot from 21 ft
11:26.0,Defensive rebound by A. Nicholson,,75-74,,
11:16.0,T. Booker misses 2-pt shot from 19 ft,,75-74,,
11:15.0,,,75-74,,Defensive rebound by D. Finney-Smith
11:01.0,Personal foul by A. Nicholson,,75-74,,
10:54.0,,,75-77,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea)
10:31.0,T. Booker misses 2-pt shot from 1 ft,,75-77,,
10:30.0,,,75-77,,Defensive rebound by D. Powell
10:30.0,Loose ball foul by A. Nicholson (drawn by D. Powell),,75-77,,
10:15.0,,,75-80,3,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Powell)
10:00.0,Offensive charge foul by I. Whitehead,,75-80,,
10:00.0,Turnover by I. Whitehead (offensive foul),,75-80,,
9:46.0,Personal foul by S. Dinwiddie (drawn by D. Nowitzki),,75-80,,
9:46.0,,,75-80,,Y. Ferrell enters the game for J. Barea
9:46.0,R. Foye enters the game for S. Dinwiddie,,75-80,,
9:43.0,,,75-80,,D. Nowitzki misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by S. Kilpatrick,,75-80,,
9:33.0,S. Kilpatrick misses 2-pt shot from 11 ft,,75-80,,
9:31.0,,,75-80,,Defensive rebound by D. Nowitzki
9:19.0,,,75-80,,D. Nowitzki misses 2-pt shot from 10 ft
9:18.0,Defensive rebound by R. Foye,,75-80,,
9:09.0,S. Kilpatrick makes 2-pt shot from 4 ft (assist by R. Foye),2,77-80,,
8:49.0,,,77-83,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. Harris)
8:29.0,I. Whitehead makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,80-83,,
8:15.0,,,80-83,,Shooting foul by I. Whitehead (drawn by Y. Ferrell)
8:15.0,Official timeout,,80-83,,
8:15.0,,,80-84,1,Y. Ferrell makes free throw 1 of 2
8:15.0,,,80-85,1,Y. Ferrell makes free throw 2 of 2
8:15.0,,,80-83,,H. Barnes enters the game for D. Nowitzki
8:15.0,Q. Acy enters the game for A. Nicholson,,80-83,,
7:56.0,I. Whitehead misses 3-pt shot from 25 ft,,80-85,,
7:55.0,,,80-85,,Defensive rebound by Y. Ferrell
7:42.0,,,80-85,,Shooting foul by I. Whitehead (drawn by D. Powell)
7:42.0,,,80-86,1,D. Powell makes free throw 1 of 2
7:42.0,,,80-87,1,D. Powell makes free throw 2 of 2
7:42.0,R. Hollis-Jefferson enters the game for T. Booker,,80-86,,
7:34.0,S. Kilpatrick misses 3-pt shot from 26 ft,,80-87,,
7:33.0,,,80-87,,Defensive rebound by D. Powell
7:21.0,,,80-87,,Y. Ferrell misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by R. Hollis-Jefferson,,80-87,,
7:14.0,Turnover by I. Whitehead (lost ball),,80-87,,
7:14.0,C. LeVert enters the game for S. Kilpatrick,,80-87,,
7:14.0,J. Lin enters the game for I. Whitehead,,80-87,,
6:54.0,,,80-87,,Turnover by H. Barnes (3 sec)
6:41.0,Turnover by R. Hollis-Jefferson (lost ball),,80-87,,
6:41.0,,,80-87,,S. Curry enters the game for D. Harris
6:41.0,,,80-87,,W. Matthews enters the game for D. Finney-Smith
6:25.0,,,80-87,,S. Curry misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by R. Hollis-Jefferson,,80-87,,
6:15.0,R. Foye misses 2-pt shot from 6 ft,,80-87,,
6:14.0,,,80-87,,Defensive rebound by D. Powell
6:02.0,,,80-87,,Turnover by W. Matthews (lost ball; steal by Q. Acy)
5:56.0,,,80-87,,Personal block foul by D. Powell (drawn by C. LeVert)
5:56.0,,,80-87,,Dallas full timeout
5:56.0,J. Hamilton enters the game for R. Hollis-Jefferson,,80-87,,
5:56.0,S. Kilpatrick enters the game for R. Foye,,80-87,,
5:40.0,J. Lin misses 3-pt shot from 26 ft,,80-87,,
5:39.0,,,80-87,,Defensive rebound by S. Curry
5:16.0,,,80-89,2,H. Barnes makes 2-pt shot from 3 ft (assist by S. Curry)
5:05.0,Shooting foul by D. Powell (drawn by J. Lin),,80-89,,
5:05.0,J. Lin makes free throw 1 of 2,1,81-89,,
5:05.0,J. Lin misses free throw 2 of 2,,81-89,,
5:05.0,,,81-89,,Defensive rebound by D. Powell
5:05.0,T. Booker enters the game for J. Hamilton,,81-89,,
