time,Utah,pts.away,score,pts.home,Sacramento
6:44.0,D. Exum misses 2-pt shot from 6 ft,,11-2,,
6:43.0,Offensive rebound by R. Gobert,,11-2,,
6:42.0,R. Gobert makes 2-pt shot at rim,2,13-2,,
6:24.0,,,13-4,2,S. Labissiere makes 2-pt shot at rim (assist by T. Evans)
6:07.0,D. Exum misses 3-pt shot from 25 ft,,13-4,,
6:06.0,,,13-4,,Defensive rebound by D. Collison
5:59.0,,,13-4,,Shooting foul by D. Exum (drawn by D. Collison)
5:59.0,,,13-5,1,D. Collison makes free throw 1 of 2
5:59.0,,,13-6,1,D. Collison makes free throw 2 of 2
5:59.0,J. Ingles enters the game for B. Diaw,,13-5,,
5:59.0,J. Johnson enters the game for R. Hood,,13-5,,
5:59.0,,,13-5,,G. Papagiannis enters the game for S. Labissiere
5:44.0,Turnover by G. Hayward (bad pass; steal by B. Hield),,13-6,,
5:43.0,Personal foul by J. Johnson (drawn by B. Hield),,13-6,,
5:33.0,,,13-8,2,D. Collison makes 2-pt shot from 21 ft
5:18.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,16-8,,
5:07.0,,,16-8,,Turnover by D. Collison (bad pass)
5:07.0,S. Mack enters the game for D. Exum,,16-8,,
4:54.0,J. Ingles makes 2-pt shot from 1 ft,2,18-8,,
4:30.0,,,18-10,2,D. Collison makes 2-pt shot from 4 ft
4:05.0,J. Johnson makes 2-pt shot from 20 ft,2,20-10,,
3:47.0,,,20-10,,Turnover by W. Cauley-Stein (lost ball; steal by J. Johnson)
3:41.0,J. Ingles makes 2-pt shot from 3 ft (assist by G. Hayward),2,22-10,,
3:30.0,,,22-10,,G. Papagiannis misses 2-pt shot from 16 ft
3:29.0,Defensive rebound by R. Gobert,,22-10,,
3:20.0,Shooting foul by T. Evans (drawn by R. Gobert),,22-10,,
3:20.0,R. Gobert makes free throw 1 of 2,1,23-10,,
3:20.0,R. Gobert misses free throw 2 of 2,,23-10,,
3:20.0,,,23-10,,B. McLemore enters the game for B. Hield
3:19.0,,,23-10,,Defensive rebound by W. Cauley-Stein
3:03.0,,,23-12,2,D. Collison makes 2-pt shot from 19 ft
2:51.0,S. Mack makes 3-pt shot from 24 ft (assist by G. Hayward),3,26-12,,
2:30.0,,,26-12,,T. Evans misses 2-pt shot from 7 ft
2:30.0,Defensive rebound by Team,,26-12,,
2:30.0,Utah full timeout,,26-12,,
2:30.0,J. Withey enters the game for R. Gobert,,26-12,,
2:30.0,,,26-12,,T. Lawson enters the game for D. Collison
2:06.0,J. Johnson misses 3-pt shot from 26 ft,,26-12,,
2:05.0,,,26-12,,Defensive rebound by T. Evans
1:42.0,,,26-14,2,G. Papagiannis makes 2-pt shot from 14 ft (assist by B. McLemore)
1:29.0,Shooting foul by B. McLemore (drawn by G. Hayward),,26-14,,
1:29.0,G. Hayward makes 3-pt shot from 26 ft (assist by J. Johnson),3,29-14,,
1:29.0,G. Hayward makes free throw 1 of 1,1,30-14,,
1:15.0,,,30-14,,T. Evans misses 3-pt shot from 26 ft
1:15.0,Defensive rebound by J. Withey,,30-14,,
1:05.0,,,30-14,,Personal foul by B. McLemore (drawn by S. Mack)
1:05.0,S. Mack makes free throw 1 of 2,1,31-14,,
1:05.0,S. Mack makes free throw 2 of 2,1,32-14,,
1:05.0,,,31-14,,A. Tolliver enters the game for W. Cauley-Stein
1:05.0,A. Burks enters the game for G. Hayward,,31-14,,
0:45.0,,,32-14,,Turnover by T. Evans (bad pass; steal by J. Withey)
0:37.0,J. Withey makes 2-pt shot from 1 ft (assist by J. Ingles),2,34-14,,
0:29.0,,,34-14,,Turnover by T. Lawson (bad pass; steal by J. Ingles)
0:04.0,S. Mack misses 3-pt shot from 25 ft,,34-14,,
0:03.0,,,34-14,,Defensive rebound by G. Papagiannis
0:00.0,,,34-14,,T. Evans misses 3-pt shot from 49 ft
0:00.0,,,34-14,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,34-14,,T. Lawson misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by J. Withey,,34-14,,
11:27.0,J. Ingles makes 3-pt shot from 25 ft,3,37-14,,
11:13.0,,,37-16,2,B. McLemore makes 2-pt shot from 19 ft (assist by G. Papagiannis)
10:47.0,J. Johnson makes 2-pt shot from 14 ft,2,39-16,,
10:28.0,,,39-16,,A. Tolliver misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by S. Mack,,39-16,,
10:16.0,J. Johnson misses 3-pt shot from 25 ft,,39-16,,
10:16.0,,,39-16,,Defensive rebound by B. McLemore
10:10.0,Personal foul by J. Withey (drawn by G. Papagiannis),,39-16,,
10:10.0,,,39-16,,S. Labissiere enters the game for G. Papagiannis
10:10.0,R. Hood enters the game for S. Mack,,39-16,,
10:10.0,D. Exum enters the game for J. Ingles,,39-16,,
9:54.0,,,39-16,,A. Tolliver misses 2-pt shot from 7 ft (block by J. Johnson)
9:54.0,Defensive rebound by J. Johnson,,39-16,,
9:36.0,A. Burks misses 2-pt shot from 3 ft,,39-16,,
9:36.0,,,39-16,,Defensive rebound by B. McLemore
9:31.0,,,39-18,2,B. McLemore makes 2-pt shot from 3 ft
9:31.0,,,39-18,,Shooting foul by J. Withey (drawn by B. McLemore)
9:31.0,,,39-19,1,B. McLemore makes free throw 1 of 1
9:31.0,T. Lyles enters the game for J. Johnson,,39-18,,
9:19.0,Offensive foul by J. Withey,,39-19,,
9:19.0,Turnover by J. Withey (offensive foul),,39-19,,
9:19.0,R. Gobert enters the game for J. Withey,,39-19,,
9:07.0,,,39-19,,L. Galloway misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by R. Gobert,,39-19,,
8:45.0,T. Lyles misses 3-pt shot from 23 ft,,39-19,,
8:44.0,Offensive rebound by R. Gobert,,39-19,,
8:44.0,R. Gobert misses 2-pt shot from 2 ft,,39-19,,
8:44.0,Offensive rebound by Team,,39-19,,
8:44.0,Shooting foul by S. Labissiere (drawn by R. Gobert),,39-19,,
8:44.0,Official timeout,,39-19,,
8:44.0,R. Gobert makes free throw 1 of 2,1,40-19,,
8:44.0,R. Gobert makes free throw 2 of 2,1,41-19,,
8:33.0,,,41-19,,S. Labissiere misses 2-pt shot from 18 ft
8:33.0,Defensive rebound by A. Burks,,41-19,,
8:15.0,R. Hood makes 2-pt shot from 3 ft,2,43-19,,
8:05.0,,,43-21,2,B. McLemore makes 2-pt shot from 9 ft
7:46.0,A. Burks misses 2-pt shot from 19 ft,,43-21,,
7:45.0,,,43-21,,Defensive rebound by S. Labissiere
7:31.0,,,43-21,,L. Galloway misses 2-pt shot from 19 ft
7:31.0,,,43-21,,Offensive rebound by Team
7:31.0,G. Hayward enters the game for A. Burks,,43-21,,
7:18.0,,,43-23,2,T. Lawson makes 2-pt shot from 13 ft
6:56.0,R. Hood makes 3-pt shot from 25 ft,3,46-23,,
6:50.0,,,46-25,2,T. Lawson makes 2-pt shot from 18 ft
6:50.0,,,46-25,,Shooting foul by D. Exum (drawn by T. Lawson)
6:50.0,,,46-26,1,T. Lawson makes free throw 1 of 1
6:50.0,J. Johnson enters the game for T. Lyles,,46-25,,
6:31.0,D. Exum misses 3-pt shot from 25 ft,,46-26,,
6:31.0,,,46-26,,Defensive rebound by L. Galloway
6:19.0,,,46-28,2,B. McLemore makes 2-pt shot at rim
6:02.0,Turnover by D. Exum (bad pass),,46-28,,
6:02.0,,,46-28,,W. Cauley-Stein enters the game for S. Labissiere
5:51.0,,,46-30,2,B. McLemore makes 2-pt shot from 20 ft
5:30.0,R. Hood misses 2-pt shot from 20 ft,,46-30,,
5:30.0,,,46-30,,Defensive rebound by T. Lawson
5:16.0,,,46-33,3,B. McLemore makes 3-pt shot from 28 ft (assist by A. Tolliver)
5:16.0,,,46-33,,Shooting foul by G. Hayward (drawn by B. McLemore)
5:16.0,,,46-33,,Sacramento full timeout
5:16.0,,,46-34,1,B. McLemore makes free throw 1 of 1
5:16.0,S. Mack enters the game for D. Exum,,46-33,,
4:55.0,Turnover by G. Hayward (lost ball; steal by T. Lawson),,46-34,,
4:49.0,,,46-34,,Turnover by B. McLemore (lost ball; steal by R. Hood)
4:42.0,G. Hayward misses 2-pt shot from 2 ft,,46-34,,
4:41.0,,,46-34,,Defensive rebound by W. Cauley-Stein
4:38.0,Personal foul by S. Mack (drawn by T. Lawson),,46-34,,
4:38.0,,,46-35,1,T. Lawson makes free throw 1 of 2
4:38.0,,,46-35,,T. Lawson misses free throw 2 of 2
4:36.0,Defensive rebound by J. Johnson,,46-35,,
4:20.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,48-35,,
4:03.0,,,48-35,,A. Tolliver misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by G. Hayward,,48-35,,
3:45.0,R. Hood misses 2-pt shot from 12 ft,,48-35,,
3:43.0,,,48-35,,Defensive rebound by A. Tolliver
3:37.0,,,48-37,2,L. Galloway makes 2-pt shot from 19 ft (assist by T. Lawson)
3:23.0,G. Hayward misses 2-pt shot from 9 ft,,48-37,,
3:21.0,,,48-37,,Defensive rebound by B. McLemore
3:13.0,,,48-39,2,W. Cauley-Stein makes 2-pt shot at rim (assist by A. Tolliver)
3:13.0,Utah full timeout,,48-39,,
3:13.0,J. Ingles enters the game for R. Hood,,48-39,,
3:13.0,,,48-39,,D. Collison enters the game for T. Lawson
3:13.0,,,48-39,,T. Evans enters the game for L. Galloway
2:49.0,J. Johnson misses 3-pt shot from 28 ft,,48-39,,
2:49.0,,,48-39,,Defensive rebound by W. Cauley-Stein
2:34.0,,,48-39,,B. McLemore misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by J. Ingles,,48-39,,
2:18.0,Turnover by G. Hayward (lost ball; steal by W. Cauley-Stein),,48-39,,
2:11.0,,,48-41,2,B. McLemore makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
1:53.0,J. Ingles misses 3-pt shot from 26 ft,,48-41,,
1:53.0,,,48-41,,Defensive rebound by T. Evans
1:44.0,,,48-41,,Turnover by T. Evans (bad pass)
1:44.0,,,48-41,,S. Labissiere enters the game for B. McLemore
1:44.0,,,48-41,,B. Hield enters the game for A. Tolliver
1:23.0,G. Hayward makes 2-pt shot from 15 ft (assist by J. Johnson),2,50-41,,
0:58.0,,,50-41,,W. Cauley-Stein misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by G. Hayward,,50-41,,
0:43.0,J. Johnson misses 3-pt shot from 23 ft,,50-41,,
0:43.0,,,50-41,,Defensive rebound by B. Hield
0:31.0,,,50-43,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by S. Labissiere)
0:10.0,G. Hayward misses 3-pt shot from 28 ft,,50-43,,
0:10.0,,,50-43,,Defensive rebound by Team
0:02.0,,,50-43,,D. Collison misses 2-pt shot from 15 ft
0:01.0,Defensive rebound by G. Hayward,,50-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,50-43,,W. Cauley-Stein misses 2-pt shot from 6 ft
11:37.0,Defensive rebound by D. Exum,,50-43,,
11:28.0,,,50-43,,Personal foul by T. Evans (drawn by G. Hayward)
11:19.0,Turnover by G. Hayward (bad pass; steal by T. Evans),,50-43,,
11:04.0,,,50-45,2,S. Labissiere makes 2-pt shot from 17 ft
10:50.0,B. Diaw makes 3-pt shot from 25 ft (assist by R. Hood),3,53-45,,
10:30.0,,,53-45,,W. Cauley-Stein misses 2-pt shot from 12 ft
10:29.0,Defensive rebound by D. Exum,,53-45,,
10:15.0,D. Exum misses 3-pt shot from 25 ft,,53-45,,
10:15.0,,,53-45,,Defensive rebound by W. Cauley-Stein
9:55.0,Violation by R. Gobert (def goaltending),,53-45,,
9:55.0,,,53-47,2,T. Evans makes 2-pt shot from 5 ft
9:43.0,G. Hayward makes 2-pt shot from 21 ft (assist by D. Exum),2,55-47,,
9:24.0,,,55-49,2,S. Labissiere makes 2-pt shot from 8 ft
9:03.0,D. Exum misses 3-pt shot from 24 ft,,55-49,,
9:02.0,,,55-49,,Defensive rebound by W. Cauley-Stein
8:53.0,,,55-49,,S. Labissiere misses 2-pt shot from 11 ft
8:52.0,Defensive rebound by R. Gobert,,55-49,,
8:43.0,G. Hayward misses 2-pt shot from 11 ft (block by S. Labissiere),,55-49,,
8:42.0,Offensive rebound by G. Hayward,,55-49,,
8:35.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,58-49,,
8:23.0,,,58-49,,Shooting foul by R. Hood (drawn by W. Cauley-Stein)
8:23.0,,,58-50,1,W. Cauley-Stein makes free throw 1 of 2
8:23.0,,,58-50,,W. Cauley-Stein misses free throw 2 of 2
8:23.0,J. Ingles enters the game for R. Hood,,58-50,,
8:22.0,Defensive rebound by R. Gobert,,58-50,,
8:02.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,60-50,,
7:48.0,,,60-52,2,B. Hield makes 2-pt shot from 3 ft
7:38.0,,,60-52,,Personal foul by T. Evans (drawn by G. Hayward)
7:27.0,R. Gobert misses 2-pt shot from 9 ft,,60-52,,
7:26.0,,,60-52,,Defensive rebound by D. Collison
7:18.0,,,60-54,2,D. Collison makes 2-pt shot from 17 ft
6:54.0,B. Diaw misses 2-pt shot from 18 ft,,60-54,,
6:53.0,,,60-54,,Defensive rebound by S. Labissiere
6:45.0,,,60-54,,T. Evans misses 2-pt shot from 20 ft
6:43.0,,,60-54,,Offensive rebound by Team
6:43.0,S. Mack enters the game for D. Exum,,60-54,,
6:21.0,,,60-54,,B. Hield misses 2-pt shot from 12 ft
6:21.0,Defensive rebound by R. Gobert,,60-54,,
6:01.0,Turnover by J. Ingles (bad pass; steal by T. Evans),,60-54,,
5:59.0,,,60-54,,D. Collison misses 2-pt shot from 2 ft (block by B. Diaw)
5:57.0,,,60-54,,Offensive rebound by T. Evans
5:55.0,,,60-56,2,T. Evans makes 2-pt shot from 2 ft
5:55.0,Utah full timeout,,60-56,,
5:55.0,J. Johnson enters the game for B. Diaw,,60-56,,
5:35.0,Turnover by J. Johnson (lost ball),,60-56,,
5:24.0,,,60-56,,Shooting foul by S. Mack (drawn by D. Collison)
5:24.0,,,60-57,1,D. Collison makes free throw 1 of 2
5:24.0,,,60-58,1,D. Collison makes free throw 2 of 2
5:06.0,J. Johnson misses 2-pt shot from 8 ft,,60-58,,
5:05.0,,,60-58,,Defensive rebound by S. Labissiere
4:54.0,,,60-58,,B. Hield misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by R. Gobert,,60-58,,
4:36.0,S. Mack makes 2-pt shot from 17 ft,2,62-58,,
4:18.0,,,62-60,2,W. Cauley-Stein makes 2-pt shot from 11 ft (assist by D. Collison)
3:54.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward),3,65-60,,
3:39.0,,,65-60,,Turnover by D. Collison (bad pass; steal by J. Johnson)
3:34.0,G. Hayward makes 2-pt shot at rim (assist by J. Johnson),2,67-60,,
3:14.0,,,67-63,3,T. Evans makes 3-pt shot from 26 ft
2:53.0,J. Ingles misses 2-pt shot from 7 ft,,67-63,,
2:52.0,Offensive rebound by R. Gobert,,67-63,,
2:52.0,R. Gobert misses 2-pt shot from 1 ft,,67-63,,
2:51.0,,,67-63,,Defensive rebound by S. Labissiere
2:42.0,,,67-63,,T. Evans misses 3-pt shot from 26 ft
2:42.0,,,67-63,,Offensive rebound by S. Labissiere
2:41.0,,,67-63,,Sacramento full timeout
2:41.0,,,67-63,,G. Papagiannis enters the game for W. Cauley-Stein
2:41.0,,,67-63,,T. Lawson enters the game for D. Collison
2:32.0,R. Hood enters the game for G. Hayward,,67-63,,
2:32.0,,,67-63,,B. Hield misses 2-pt shot from 12 ft
2:32.0,Defensive rebound by Team,,67-63,,
2:32.0,,,67-63,,Loose ball foul by S. Labissiere (drawn by J. Johnson)
2:20.0,Shooting foul by G. Papagiannis (drawn by R. Gobert),,67-63,,
2:20.0,R. Gobert makes free throw 1 of 2,1,68-63,,
2:20.0,R. Gobert misses free throw 2 of 2,,68-63,,
2:20.0,,,68-63,,B. McLemore enters the game for T. Evans
2:17.0,,,68-63,,Defensive rebound by B. Hield
2:03.0,,,68-65,2,B. McLemore makes 2-pt shot from 17 ft
1:40.0,J. Johnson misses 2-pt shot from 19 ft,,68-65,,
1:39.0,Offensive rebound by Team,,68-65,,
1:39.0,J. Withey enters the game for R. Gobert,,68-65,,
1:27.0,S. Mack makes 2-pt shot from 13 ft,2,70-65,,
1:13.0,,,70-65,,G. Papagiannis misses 2-pt shot from 10 ft
1:12.0,Defensive rebound by J. Johnson,,70-65,,
1:01.0,J. Withey makes 2-pt shot from 3 ft (assist by J. Ingles),2,72-65,,
1:01.0,Shooting foul by S. Labissiere (drawn by J. Withey),,72-65,,
1:01.0,J. Withey makes free throw 1 of 1,1,73-65,,
1:01.0,,,72-65,,L. Galloway enters the game for S. Labissiere
1:01.0,,,72-65,,A. Tolliver enters the game for B. Hield
0:52.0,Personal foul by S. Mack (drawn by G. Papagiannis),,73-65,,
0:40.0,,,73-65,,Turnover by T. Lawson (bad pass; steal by J. Ingles)
0:31.0,,,73-65,,Personal foul by G. Papagiannis (drawn by J. Ingles)
0:31.0,J. Ingles makes free throw 1 of 2,1,74-65,,
0:31.0,J. Ingles makes free throw 2 of 2,1,75-65,,
0:21.0,,,75-67,2,G. Papagiannis makes 2-pt shot from 11 ft (assist by T. Lawson)
0:03.0,R. Hood makes 3-pt shot from 22 ft (assist by J. Ingles),3,78-67,,
0:02.0,,,78-67,,Turnover by L. Galloway (bad pass; steal by S. Mack)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,S. Mack makes 2-pt shot from 4 ft,2,80-67,,
11:19.0,,,80-69,2,G. Papagiannis makes 2-pt shot at rim (assist by T. Lawson)
11:08.0,D. Exum enters the game for S. Mack,,80-69,,
10:58.0,J. Johnson makes 3-pt shot from 25 ft,3,83-69,,
10:51.0,,,83-69,,Turnover by T. Lawson (bad pass; steal by R. Hood)
10:50.0,,,83-69,,Personal foul by G. Papagiannis (drawn by R. Hood)
10:34.0,J. Johnson makes 2-pt shot from 1 ft,2,85-69,,
10:34.0,,,85-69,,Sacramento full timeout
10:11.0,,,85-69,,B. McLemore misses 3-pt shot from 26 ft
10:10.0,Defensive rebound by J. Withey,,85-69,,
9:56.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Withey),3,88-69,,
9:48.0,Personal foul by D. Exum (drawn by A. Tolliver),,88-69,,
9:48.0,B. Diaw enters the game for J. Johnson,,88-69,,
9:48.0,,,88-69,,S. Labissiere enters the game for A. Tolliver
9:40.0,,,88-71,2,T. Lawson makes 2-pt shot from 2 ft (assist by S. Labissiere)
9:21.0,D. Exum misses 3-pt shot from 23 ft,,88-71,,
9:20.0,,,88-71,,Defensive rebound by S. Labissiere
9:16.0,,,88-71,,Turnover by B. McLemore (traveling)
9:03.0,Shooting foul by B. McLemore (drawn by R. Hood),,88-71,,
9:03.0,R. Hood misses free throw 1 of 2,,88-71,,
9:03.0,Offensive rebound by Team,,88-71,,
9:03.0,R. Hood makes free throw 2 of 2,1,89-71,,
8:41.0,,,89-73,2,G. Papagiannis makes 2-pt shot from 7 ft
8:21.0,J. Withey makes 2-pt shot at rim,2,91-73,,
8:11.0,,,91-75,2,T. Lawson makes 2-pt shot from 10 ft
8:11.0,,,91-75,,Shooting foul by D. Exum (drawn by T. Lawson)
8:11.0,,,91-76,1,T. Lawson makes free throw 1 of 1
8:11.0,G. Hayward enters the game for J. Ingles,,91-75,,
8:11.0,R. Gobert enters the game for J. Withey,,91-75,,
8:11.0,,,91-75,,B. Hield enters the game for L. Galloway
7:56.0,B. Diaw makes 2-pt shot from 3 ft (assist by D. Exum),2,93-76,,
7:45.0,,,93-76,,B. McLemore misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by R. Gobert,,93-76,,
7:38.0,Turnover by G. Hayward (bad pass),,93-76,,
7:31.0,Personal foul by R. Hood (drawn by B. Hield),,93-76,,
7:31.0,S. Mack enters the game for D. Exum,,93-76,,
7:26.0,,,93-76,,S. Labissiere misses 2-pt shot from 6 ft
7:25.0,Defensive rebound by Team,,93-76,,
7:14.0,,,93-76,,Personal foul by B. McLemore (drawn by G. Hayward)
7:14.0,J. Ingles enters the game for R. Hood,,93-76,,
7:08.0,S. Mack makes 2-pt shot from 4 ft,2,95-76,,
7:08.0,Shooting foul by T. Lawson (drawn by S. Mack),,95-76,,
7:08.0,S. Mack makes free throw 1 of 1,1,96-76,,
6:47.0,,,96-78,2,S. Labissiere makes 2-pt shot from 18 ft (assist by B. Hield)
6:31.0,J. Ingles misses 3-pt shot from 25 ft,,96-78,,
6:31.0,,,96-78,,Defensive rebound by G. Papagiannis
6:17.0,,,96-78,,G. Papagiannis misses 2-pt shot from 9 ft
6:17.0,Defensive rebound by S. Mack,,96-78,,
5:58.0,B. Diaw makes 2-pt shot from 2 ft,2,98-78,,
5:47.0,,,98-78,,Shooting foul by R. Gobert (drawn by S. Labissiere)
5:47.0,Official timeout,,98-78,,
5:47.0,,,98-79,1,S. Labissiere makes free throw 1 of 2
5:47.0,,,98-79,,S. Labissiere misses free throw 2 of 2
5:47.0,,,98-78,,W. Cauley-Stein enters the game for G. Papagiannis
5:47.0,,,98-78,,L. Galloway enters the game for T. Lawson
5:46.0,Defensive rebound by R. Gobert,,98-79,,
5:26.0,B. Diaw makes 2-pt shot from 9 ft,2,100-79,,
5:03.0,,,100-79,,S. Labissiere misses 2-pt shot from 7 ft
5:02.0,Defensive rebound by R. Gobert,,100-79,,
4:48.0,R. Gobert makes 2-pt shot at rim (assist by B. Diaw),2,102-79,,
4:48.0,Shooting foul by S. Labissiere (drawn by R. Gobert),,102-79,,
4:48.0,R. Gobert makes free throw 1 of 1,1,103-79,,
4:35.0,,,103-79,,W. Cauley-Stein misses 2-pt shot from 4 ft (block by J. Ingles)
4:35.0,Defensive rebound by R. Gobert,,103-79,,
4:20.0,S. Mack misses 3-pt shot from 25 ft,,103-79,,
4:19.0,Offensive rebound by B. Diaw,,103-79,,
4:03.0,G. Hayward makes 2-pt shot from 13 ft,2,105-79,,
3:48.0,,,105-79,,L. Galloway misses 2-pt shot from 21 ft
3:48.0,Defensive rebound by B. Diaw,,105-79,,
3:33.0,G. Hayward makes 2-pt shot from 9 ft,2,107-79,,
3:15.0,,,107-79,,B. Hield misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by J. Ingles,,107-79,,
3:08.0,Utah full timeout,,107-79,,
3:08.0,A. Burks enters the game for G. Hayward,,107-79,,
3:08.0,J. Withey enters the game for B. Diaw,,107-79,,
3:08.0,T. Lyles enters the game for R. Gobert,,107-79,,
3:08.0,D. Exum enters the game for J. Ingles,,107-79,,
3:08.0,,,107-79,,G. Papagiannis enters the game for W. Cauley-Stein
2:52.0,S. Mack misses 3-pt shot from 25 ft,,107-79,,
2:52.0,Offensive rebound by D. Exum,,107-79,,
2:39.0,T. Lyles misses 2-pt shot from 12 ft,,107-79,,
2:38.0,,,107-79,,Defensive rebound by G. Papagiannis
2:22.0,,,107-79,,Turnover by B. Hield (bad pass; steal by A. Burks)
2:05.0,Turnover by A. Burks (bad pass; steal by S. Labissiere),,107-79,,
2:01.0,,,107-79,,Shooting foul by A. Burks (drawn by S. Labissiere)
2:01.0,,,107-79,,Sacramento full timeout
2:01.0,,,107-79,,S. Labissiere misses free throw 1 of 2
2:01.0,,,107-79,,Offensive rebound by Team
2:01.0,,,107-79,,S. Labissiere misses free throw 2 of 2
1:59.0,Defensive rebound by T. Lyles,,107-79,,
1:37.0,A. Burks makes 2-pt shot from 16 ft (assist by T. Lyles),2,109-79,,
1:26.0,,,109-81,2,B. McLemore makes 2-pt shot from 2 ft (assist by G. Papagiannis)
1:11.0,,,109-81,,Personal foul by G. Papagiannis (drawn by A. Burks)
1:11.0,A. Burks makes free throw 1 of 2,1,110-81,,
1:11.0,A. Burks misses free throw 2 of 2,,110-81,,
1:10.0,,,110-81,,Defensive rebound by B. McLemore
0:58.0,,,110-81,,Shooting foul by A. Burks (drawn by B. McLemore)
0:58.0,,,110-81,,B. McLemore misses free throw 1 of 2
0:58.0,,,110-81,,Offensive rebound by Team
0:58.0,,,110-82,1,B. McLemore makes free throw 2 of 2
0:38.0,T. Lyles makes 2-pt shot from 20 ft,2,112-82,,
0:21.0,,,112-82,,Turnover by G. Papagiannis (bad pass; steal by J. Withey)
0:00.0,End of 4th quarter,,,,End of 4th quarter
