time,Phoenix,pts.away,score,pts.home,Atlanta
8:04.0,,,22-35,,E. Ilyasova misses 2-pt shot from 10 ft
8:01.0,Defensive rebound by A. Williams,,22-35,,
7:47.0,T. Ulis makes 2-pt shot from 9 ft,2,24-35,,
7:38.0,,,24-35,,T. Hardaway misses 3-pt shot from 25 ft
7:37.0,,,24-35,,Offensive rebound by D. Bembry
7:37.0,,,24-35,,D. Bembry misses 2-pt shot from 1 ft
7:37.0,,,24-35,,Offensive rebound by Team
7:37.0,Loose ball foul by J. Dudley (drawn by D. Bembry),,24-35,,
7:36.0,,,24-35,,Shooting foul by A. Williams (drawn by D. Bembry)
7:36.0,,,24-35,,D. Bembry misses free throw 1 of 2
7:36.0,,,24-35,,Offensive rebound by Team
7:36.0,,,24-35,,D. Bembry misses free throw 2 of 2
7:36.0,A. Len enters the game for A. Williams,,24-35,,
7:35.0,Defensive rebound by J. Eddie,,24-35,,
7:22.0,J. Eddie misses 3-pt shot from 25 ft,,24-35,,
7:21.0,Offensive rebound by A. Len,,24-35,,
7:17.0,R. Price misses 3-pt shot from 23 ft,,24-35,,
7:15.0,,,24-35,,Defensive rebound by Team
7:02.0,,,24-35,,D. Howard misses 2-pt shot from 8 ft
6:59.0,Defensive rebound by J. Dudley,,24-35,,
6:53.0,Shooting foul by J. Calderon (drawn by J. Eddie),,24-35,,
6:53.0,A. Len makes free throw 1 of 2,1,25-35,,
6:53.0,A. Len makes free throw 2 of 2,1,26-35,,
6:53.0,,,25-35,,D. Schroder enters the game for J. Calderon
6:42.0,Personal foul by R. Price (drawn by E. Ilyasova),,26-35,,
6:42.0,,,26-36,1,E. Ilyasova makes free throw 1 of 2
6:42.0,,,26-36,,E. Ilyasova misses free throw 2 of 2
6:38.0,Defensive rebound by J. Eddie,,26-36,,
6:30.0,T. Ulis misses 2-pt shot from 20 ft,,26-36,,
6:29.0,,,26-36,,Defensive rebound by Team
6:15.0,,,26-36,,D. Schroder misses 2-pt shot from 1 ft (block by J. Dudley)
6:13.0,Defensive rebound by J. Dudley,,26-36,,
6:08.0,R. Price misses 2-pt shot from 2 ft,,26-36,,
6:06.0,,,26-36,,Defensive rebound by D. Bembry
5:59.0,,,26-36,,T. Hardaway misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by J. Dudley,,26-36,,
5:53.0,T. Ulis makes 2-pt shot from 11 ft (assist by J. Dudley),2,28-36,,
5:50.0,,,28-36,,Atlanta full timeout
5:50.0,D. Jones enters the game for R. Price,,28-36,,
5:38.0,,,28-38,2,D. Schroder makes 2-pt shot from 18 ft
5:22.0,J. Eddie misses 3-pt shot from 23 ft,,28-38,,
5:21.0,,,28-38,,Defensive rebound by E. Ilyasova
5:16.0,Personal foul by A. Len (drawn by D. Howard),,28-38,,
5:16.0,,,28-39,1,D. Howard makes free throw 1 of 2
5:16.0,,,28-39,,D. Howard misses free throw 2 of 2
5:16.0,M. Chriss enters the game for A. Len,,28-39,,
5:16.0,T. Warren enters the game for J. Eddie,,28-39,,
5:16.0,,,28-39,,T. Waller-Prince enters the game for D. Bembry
5:14.0,,,28-39,,Offensive rebound by E. Ilyasova
5:12.0,,,28-39,,Offensive foul by E. Ilyasova
5:12.0,,,28-39,,Turnover by E. Ilyasova (offensive foul)
4:59.0,D. Jones makes 2-pt shot from 18 ft (assist by M. Chriss),2,30-39,,
4:40.0,,,30-39,,Offensive foul by D. Schroder
4:40.0,,,30-39,,Turnover by D. Schroder (offensive foul)
4:29.0,D. Jones makes 2-pt shot from 8 ft (assist by J. Dudley),2,32-39,,
4:03.0,,,32-41,2,E. Ilyasova makes 2-pt shot from 14 ft (assist by D. Schroder)
3:48.0,M. Chriss misses 3-pt shot from 25 ft,,32-41,,
3:47.0,,,32-41,,Defensive rebound by D. Howard
3:35.0,,,32-41,,D. Schroder misses 3-pt shot from 24 ft
3:32.0,,,32-41,,Offensive rebound by E. Ilyasova
3:31.0,,,32-41,,E. Ilyasova misses 2-pt shot from 2 ft
3:30.0,Defensive rebound by J. Dudley,,32-41,,
3:23.0,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley),2,34-41,,
3:03.0,,,34-43,2,E. Ilyasova makes 2-pt shot from 23 ft (assist by T. Hardaway)
2:51.0,M. Chriss misses 2-pt shot from 1 ft (block by T. Waller-Prince),,34-43,,
2:49.0,,,34-43,,Defensive rebound by E. Ilyasova
2:46.0,,,34-43,,T. Hardaway misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by T. Warren,,34-43,,
2:39.0,T. Warren misses 3-pt shot from 25 ft,,34-43,,
2:38.0,Offensive rebound by M. Chriss,,34-43,,
2:37.0,M. Chriss makes 2-pt shot at rim,2,36-43,,
2:23.0,Personal foul by M. Chriss (drawn by D. Howard),,36-43,,
2:23.0,Phoenix full timeout,,36-43,,
2:23.0,,,36-43,,D. Howard misses free throw 1 of 2
2:23.0,,,36-43,,Offensive rebound by Team
2:23.0,,,36-44,1,D. Howard makes free throw 2 of 2
2:23.0,,,36-43,,M. Dunleavy enters the game for T. Hardaway
2:23.0,A. Len enters the game for M. Chriss,,36-43,,
2:09.0,J. Dudley misses 3-pt shot from 24 ft,,36-44,,
2:08.0,,,36-44,,Defensive rebound by T. Waller-Prince
1:57.0,,,36-44,,T. Waller-Prince misses 2-pt shot at rim (block by A. Len)
1:53.0,Defensive rebound by A. Len,,36-44,,
1:44.0,Turnover by A. Len (3 sec),,36-44,,
1:44.0,,,36-44,,T. Hardaway enters the game for D. Howard
1:31.0,,,36-46,2,D. Schroder makes 2-pt shot from 1 ft
1:25.0,Offensive foul by A. Len,,36-46,,
1:25.0,Turnover by A. Len (offensive foul),,36-46,,
1:25.0,J. Eddie enters the game for A. Len,,36-46,,
1:12.0,,,36-46,,D. Schroder misses 3-pt shot from 25 ft
1:11.0,,,36-46,,Offensive rebound by Team
1:07.0,,,36-46,,Turnover by E. Ilyasova (step out of bounds)
0:51.0,D. Jones makes 3-pt shot from 24 ft (assist by T. Ulis),3,39-46,,
0:51.0,Violation by Team (jump ball),,39-46,,
0:41.0,,,39-46,,Turnover by D. Schroder (bad pass; steal by J. Dudley)
0:36.0,D. Jones misses 2-pt shot from 3 ft (block by T. Waller-Prince),,39-46,,
0:36.0,Offensive rebound by Team,,39-46,,
0:27.0,J. Dudley makes 3-pt shot from 25 ft (assist by T. Warren),3,42-46,,
0:11.0,,,42-46,,Shooting foul by J. Dudley (drawn by E. Ilyasova)
0:11.0,,,42-46,,E. Ilyasova misses free throw 1 of 2
0:11.0,,,42-46,,Offensive rebound by Team
0:11.0,,,42-47,1,E. Ilyasova makes free throw 2 of 2
0:11.0,,,42-46,,D. Bembry enters the game for M. Dunleavy
0:03.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,44-47,,
0:00.0,,,44-47,,D. Schroder misses 3-pt shot from 25 ft
0:00.0,,,44-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Len misses 3-pt shot from 23 ft,,44-47,,
11:42.0,Offensive rebound by Team,,44-47,,
11:42.0,,,44-47,,Loose ball foul by E. Ilyasova (drawn by M. Chriss)
11:38.0,,,44-47,,Personal foul by D. Schroder
11:30.0,M. Chriss misses 3-pt shot from 24 ft,,44-47,,
11:28.0,,,44-47,,Defensive rebound by D. Howard
11:13.0,,,44-49,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder)
11:02.0,Offensive charge foul by M. Chriss,,44-49,,
11:02.0,Turnover by M. Chriss (offensive foul),,44-49,,
10:51.0,,,44-49,,D. Schroder misses 2-pt shot from 5 ft
10:48.0,Defensive rebound by T. Ulis,,44-49,,
10:39.0,A. Len misses 2-pt shot from 18 ft,,44-49,,
10:37.0,Offensive rebound by T. Warren,,44-49,,
10:37.0,T. Warren makes 2-pt shot from 1 ft,2,46-49,,
10:17.0,,,46-51,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
9:53.0,A. Len makes 2-pt shot from 18 ft (assist by T. Ulis),2,48-51,,
9:36.0,,,48-53,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
9:07.0,T. Warren makes 2-pt shot from 19 ft (assist by T. Ulis),2,50-53,,
8:54.0,,,50-53,,Turnover by D. Schroder (bad pass)
8:38.0,A. Len misses 2-pt shot from 13 ft,,50-53,,
8:36.0,,,50-53,,Defensive rebound by D. Schroder
8:36.0,Personal foul by T. Ulis (drawn by D. Schroder),,50-53,,
8:28.0,,,50-55,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
8:25.0,Phoenix full timeout,,50-55,,
8:25.0,J. Dudley enters the game for M. Chriss,,50-55,,
8:09.0,Shooting foul by T. Waller-Prince (drawn by A. Len),,50-55,,
8:09.0,A. Len makes free throw 1 of 2,1,51-55,,
8:09.0,A. Len misses free throw 2 of 2,,51-55,,
8:08.0,,,51-55,,Defensive rebound by D. Howard
7:55.0,,,51-55,,D. Schroder misses 2-pt shot from 13 ft
7:53.0,Defensive rebound by A. Len,,51-55,,
7:47.0,T. Warren makes 2-pt shot from 20 ft (assist by J. Dudley),2,53-55,,
7:31.0,Violation by J. Dudley (kicked ball),,53-55,,
7:26.0,,,53-58,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
7:07.0,T. Ulis misses 2-pt shot from 16 ft,,53-58,,
7:06.0,,,53-58,,Defensive rebound by E. Ilyasova
6:58.0,,,53-58,,Turnover by T. Hardaway (bad pass; steal by A. Len)
6:45.0,A. Len makes 2-pt shot at rim (assist by T. Ulis),2,55-58,,
6:26.0,,,55-58,,D. Schroder misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by T. Warren,,55-58,,
6:13.0,Turnover by T. Warren (lost ball; steal by D. Howard),,55-58,,
6:11.0,,,55-58,,Turnover by D. Howard (lost ball; steal by A. Len)
6:11.0,Shooting foul by D. Schroder (drawn by A. Len),,55-58,,
6:11.0,A. Len misses free throw 1 of 2,,55-58,,
6:11.0,Offensive rebound by Team,,55-58,,
6:11.0,A. Len makes free throw 2 of 2,1,56-58,,
6:11.0,,,55-58,,M. Dunleavy enters the game for T. Waller-Prince
5:56.0,,,56-58,,D. Schroder misses 2-pt shot from 13 ft
5:53.0,Defensive rebound by A. Len,,56-58,,
5:43.0,A. Len makes 2-pt shot at rim (assist by J. Dudley),2,58-58,,
5:43.0,,,58-58,,Atlanta full timeout
5:28.0,,,58-61,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by T. Hardaway)
5:03.0,T. Ulis misses 2-pt shot from 15 ft,,58-61,,
5:01.0,Offensive rebound by D. Jones,,58-61,,
5:01.0,Shooting foul by D. Howard (drawn by D. Jones),,58-61,,
5:01.0,D. Jones misses free throw 1 of 2,,58-61,,
5:01.0,Offensive rebound by Team,,58-61,,
5:01.0,D. Jones misses free throw 2 of 2,,58-61,,
5:00.0,Offensive rebound by Team,,58-61,,
5:00.0,,,58-61,,Loose ball foul by D. Howard (drawn by D. Jones)
5:00.0,A. Len makes free throw 1 of 2,1,59-61,,
5:00.0,A. Len misses free throw 2 of 2,,59-61,,
4:58.0,,,59-61,,Defensive rebound by E. Ilyasova
4:45.0,,,59-61,,Turnover by D. Schroder (bad pass; steal by A. Len)
4:32.0,Turnover by A. Len (bad pass),,59-61,,
4:14.0,,,59-63,2,E. Ilyasova makes 2-pt shot at rim (assist by D. Howard)
4:05.0,T. Ulis misses 2-pt shot from 12 ft (block by D. Howard),,59-63,,
4:04.0,Offensive rebound by Team,,59-63,,
4:04.0,,,59-63,,M. Muscala enters the game for E. Ilyasova
3:59.0,D. Jones makes 2-pt shot at rim (assist by J. Dudley),2,61-63,,
3:44.0,,,61-63,,Turnover by D. Howard (lost ball)
3:32.0,A. Len misses 2-pt shot from 6 ft,,61-63,,
3:31.0,Offensive rebound by T. Warren,,61-63,,
3:31.0,T. Warren makes 2-pt shot from 2 ft,2,63-63,,
3:13.0,,,63-65,2,D. Schroder makes 2-pt shot from 2 ft
3:08.0,Turnover by T. Ulis (lost ball; steal by D. Schroder),,63-65,,
3:01.0,Personal take foul by T. Warren,,63-65,,
3:01.0,,,63-65,,T. Waller-Prince enters the game for T. Hardaway
3:00.0,,,63-65,,Shooting foul by T. Warren (drawn by T. Waller-Prince)
3:00.0,,,63-66,1,T. Waller-Prince makes free throw 1 of 2
3:00.0,,,63-67,1,T. Waller-Prince makes free throw 2 of 2
3:00.0,,,63-66,,K. Humphries enters the game for D. Howard
3:00.0,J. Eddie enters the game for T. Warren,,63-66,,
2:48.0,J. Dudley misses 3-pt shot from 24 ft,,63-67,,
2:47.0,,,63-67,,Defensive rebound by K. Humphries
2:37.0,,,63-67,,M. Dunleavy misses 2-pt shot from 20 ft
2:35.0,,,63-67,,Offensive rebound by M. Dunleavy
2:31.0,,,63-69,2,M. Muscala makes 2-pt shot from 16 ft (assist by M. Dunleavy)
2:15.0,J. Dudley makes 2-pt shot from 12 ft (assist by T. Ulis),2,65-69,,
2:01.0,,,65-69,,D. Schroder misses 2-pt shot from 13 ft
2:01.0,,,65-69,,Offensive rebound by Team
2:01.0,Loose ball foul by J. Dudley (drawn by M. Muscala),,65-69,,
1:54.0,,,65-69,,Turnover by M. Muscala (lost ball; steal by D. Jones)
1:48.0,J. Eddie misses 3-pt shot from 23 ft,,65-69,,
1:44.0,,,65-69,,Defensive rebound by T. Waller-Prince
1:25.0,,,65-69,,T. Waller-Prince misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by Team,,65-69,,
1:24.0,,,65-69,,Loose ball foul by D. Schroder (drawn by J. Dudley)
1:24.0,J. Dudley misses free throw 1 of 2,,65-69,,
1:24.0,Offensive rebound by Team,,65-69,,
1:24.0,J. Dudley makes free throw 2 of 2,1,66-69,,
1:24.0,,,65-69,,J. Calderon enters the game for D. Schroder
1:24.0,A. Williams enters the game for A. Len,,65-69,,
1:10.0,,,66-69,,J. Calderon misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by T. Ulis,,66-69,,
1:00.0,T. Ulis makes 2-pt shot from 11 ft,2,68-69,,
0:47.0,,,68-69,,Turnover by K. Humphries (lost ball)
0:47.0,,,68-69,,T. Hardaway enters the game for M. Muscala
0:31.0,J. Dudley misses 3-pt shot from 25 ft,,68-69,,
0:29.0,,,68-69,,Defensive rebound by T. Hardaway
0:12.0,Personal foul by D. Jones (drawn by K. Humphries),,68-69,,
0:12.0,,,68-70,1,K. Humphries makes free throw 1 of 2
0:12.0,,,68-71,1,K. Humphries makes free throw 2 of 2
0:12.0,,,68-70,,D. Bembry enters the game for J. Calderon
0:00.0,T. Ulis misses 2-pt shot from 14 ft,,68-71,,
0:00.0,Offensive rebound by Team,,68-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,68-71,,T. Hardaway misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by R. Price,,68-71,,
11:40.0,Offensive foul by A. Williams,,68-71,,
11:40.0,Turnover by A. Williams (offensive foul),,68-71,,
11:27.0,,,68-71,,T. Hardaway misses 2-pt shot from 2 ft
11:23.0,,,68-71,,Offensive rebound by K. Humphries
11:23.0,,,68-71,,K. Humphries misses 2-pt shot at rim
11:22.0,Defensive rebound by A. Williams,,68-71,,
11:13.0,,,68-71,,Personal foul by M. Dunleavy (drawn by J. Eddie)
11:09.0,T. Warren makes 2-pt shot from 16 ft (assist by R. Price),2,70-71,,
10:54.0,,,70-71,,T. Hardaway misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by R. Price,,70-71,,
10:50.0,,,70-71,,Personal foul by T. Hardaway (drawn by A. Williams)
10:50.0,,,70-71,,D. Howard enters the game for K. Humphries
10:37.0,A. Williams makes 2-pt shot from 1 ft (assist by T. Warren),2,72-71,,
10:19.0,,,72-71,,Turnover by T. Waller-Prince (bad pass; steal by T. Warren)
10:12.0,T. Warren misses 2-pt shot from 18 ft,,72-71,,
10:10.0,,,72-71,,Defensive rebound by T. Waller-Prince
10:04.0,,,72-71,,T. Hardaway misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by J. Dudley,,72-71,,
9:57.0,,,72-71,,Personal foul by T. Waller-Prince (drawn by J. Dudley)
9:57.0,,,72-71,,D. Schroder enters the game for M. Dunleavy
9:51.0,Turnover by T. Warren (bad pass; steal by T. Waller-Prince),,72-71,,
9:45.0,,,72-71,,J. Calderon misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by A. Williams,,72-71,,
9:29.0,T. Warren misses 2-pt shot from 19 ft,,72-71,,
9:27.0,,,72-71,,Defensive rebound by D. Schroder
9:19.0,,,72-71,,Turnover by D. Schroder (bad pass; steal by J. Dudley)
9:11.0,Shooting foul by T. Waller-Prince (drawn by J. Eddie),,72-71,,
9:11.0,J. Eddie makes free throw 1 of 2,1,73-71,,
9:11.0,J. Eddie misses free throw 2 of 2,,73-71,,
9:11.0,,,73-71,,E. Ilyasova enters the game for T. Waller-Prince
9:10.0,,,73-71,,Defensive rebound by E. Ilyasova
8:49.0,,,73-71,,E. Ilyasova misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by Team,,73-71,,
8:48.0,Official timeout,,73-71,,
8:35.0,J. Dudley misses 2-pt shot from 20 ft,,73-71,,
