time,Denver,pts.away,score,pts.home,Indiana
7:29.0,K. Faried makes free throw 1 of 1,1,44-39,,
7:18.0,,,44-41,2,M. Ellis makes 2-pt shot from 4 ft
7:00.0,Turnover by G. Harris (bad pass; steal by L. Allen),,44-41,,
6:57.0,Personal foul by M. Plumlee (drawn by M. Ellis),,44-41,,
6:57.0,N. Jokic enters the game for M. Plumlee,,44-41,,
6:45.0,,,44-41,,A. Jefferson misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by N. Jokic,,44-41,,
6:30.0,J. Murray misses 3-pt shot from 25 ft,,44-41,,
6:30.0,,,44-41,,Defensive rebound by R. Stuckey
6:22.0,,,44-41,,Turnover by R. Stuckey (lost ball; steal by G. Harris)
6:17.0,W. Barton makes 2-pt shot from 3 ft,2,46-41,,
6:17.0,,,46-41,,Indiana full timeout
6:17.0,D. Gallinari enters the game for G. Harris,,46-41,,
6:17.0,W. Chandler enters the game for K. Faried,,46-41,,
6:17.0,,,46-41,,P. George enters the game for L. Allen
6:17.0,,,46-41,,T. Young enters the game for A. Jefferson
6:17.0,,,46-41,,M. Turner enters the game for R. Stuckey
6:02.0,,,46-41,,M. Turner misses 2-pt shot from 17 ft
6:02.0,,,46-41,,Offensive rebound by M. Ellis
5:50.0,,,46-41,,M. Turner misses 2-pt shot from 17 ft
5:50.0,Defensive rebound by N. Jokic,,46-41,,
5:42.0,N. Jokic makes 2-pt shot from 4 ft (assist by W. Barton),2,48-41,,
5:23.0,,,48-43,2,P. George makes 2-pt shot from 21 ft
5:06.0,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic),2,50-43,,
4:58.0,,,50-43,,P. George misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by W. Barton,,50-43,,
4:47.0,Shooting foul by P. George (drawn by N. Jokic),,50-43,,
4:47.0,N. Jokic makes free throw 1 of 2,1,51-43,,
4:47.0,N. Jokic makes free throw 2 of 2,1,52-43,,
4:47.0,,,51-43,,J. Teague enters the game for M. Ellis
4:47.0,,,51-43,,C. Miles enters the game for A. Brooks
4:47.0,J. Nelson enters the game for J. Murray,,51-43,,
4:35.0,,,52-43,,M. Turner misses 2-pt shot from 3 ft
4:34.0,Defensive rebound by N. Jokic,,52-43,,
4:20.0,N. Jokic makes 2-pt shot from 4 ft (assist by W. Barton),2,54-43,,
4:11.0,,,54-43,,P. George misses 2-pt shot from 14 ft
4:10.0,Defensive rebound by D. Gallinari,,54-43,,
4:02.0,W. Barton makes 2-pt shot from 12 ft,2,56-43,,
3:55.0,,,56-43,,Indiana full timeout
3:45.0,,,56-43,,T. Young misses 2-pt shot from 6 ft (block by D. Gallinari)
3:44.0,Defensive rebound by D. Gallinari,,56-43,,
3:30.0,N. Jokic makes 2-pt shot from 6 ft (assist by J. Nelson),2,58-43,,
3:06.0,,,58-43,,J. Teague misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by W. Barton,,58-43,,
2:55.0,D. Gallinari misses 3-pt shot from 24 ft,,58-43,,
2:53.0,Offensive rebound by N. Jokic,,58-43,,
2:51.0,N. Jokic misses 2-pt shot from 4 ft,,58-43,,
2:50.0,Offensive rebound by N. Jokic,,58-43,,
2:47.0,Shooting foul by T. Young (drawn by D. Gallinari),,58-43,,
2:47.0,Official timeout,,58-43,,
2:47.0,D. Gallinari makes free throw 1 of 2,1,59-43,,
2:47.0,D. Gallinari makes free throw 2 of 2,1,60-43,,
2:32.0,,,60-43,,M. Turner misses 2-pt shot from 13 ft
2:31.0,,,60-43,,Offensive rebound by C. Miles
2:31.0,,,60-45,2,C. Miles makes 2-pt shot from 1 ft
2:17.0,W. Barton misses 2-pt shot from 3 ft (block by M. Turner),,60-45,,
2:15.0,Offensive rebound by Team,,60-45,,
2:07.0,N. Jokic makes 2-pt shot from 13 ft (assist by J. Nelson),2,62-45,,
1:51.0,,,62-47,2,P. George makes 2-pt shot from 12 ft
1:33.0,N. Jokic misses 2-pt shot from 4 ft,,62-47,,
1:32.0,,,62-47,,Defensive rebound by M. Turner
1:15.0,Personal foul by W. Chandler (drawn by J. Teague),,62-47,,
1:15.0,,,62-47,,R. Stuckey enters the game for P. George
1:15.0,G. Harris enters the game for W. Barton,,62-47,,
1:01.0,,,62-49,2,M. Turner makes 2-pt shot from 4 ft
0:47.0,Turnover by N. Jokic (lost ball; steal by J. Teague),,62-49,,
0:43.0,,,62-51,2,J. Teague makes 2-pt shot from 1 ft
0:35.0,N. Jokic makes 2-pt shot from 5 ft,2,64-51,,
0:17.0,,,64-53,2,J. Teague makes 2-pt shot from 1 ft
0:00.0,J. Nelson misses 3-pt shot from 25 ft,,64-53,,
0:00.0,Offensive rebound by Team,,64-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,W. Chandler makes 2-pt shot from 15 ft,2,66-53,,
11:16.0,,,66-56,3,J. Teague makes 3-pt shot from 26 ft
11:04.0,Turnover by N. Jokic (bad pass; steal by M. Turner),,66-56,,
10:59.0,,,66-58,2,T. Young makes 2-pt shot from 2 ft
10:47.0,W. Chandler makes 3-pt shot from 25 ft,3,69-58,,
10:47.0,Shooting foul by T. Young (drawn by W. Chandler),,69-58,,
10:47.0,W. Chandler makes free throw 1 of 1,1,70-58,,
10:36.0,,,70-58,,Turnover by T. Young (3 sec)
10:23.0,W. Chandler misses 3-pt shot from 25 ft,,70-58,,
10:21.0,Offensive rebound by N. Jokic,,70-58,,
10:12.0,W. Chandler misses 2-pt shot from 12 ft,,70-58,,
10:11.0,,,70-58,,Defensive rebound by P. George
10:01.0,,,70-58,,J. Teague misses 2-pt shot from 4 ft
10:01.0,Defensive rebound by N. Jokic,,70-58,,
9:54.0,,,70-58,,Personal foul by J. Teague (drawn by D. Gallinari)
9:43.0,W. Chandler makes 2-pt shot from 10 ft,2,72-58,,
9:26.0,,,72-58,,T. Young misses 2-pt shot from 6 ft
9:26.0,Defensive rebound by N. Jokic,,72-58,,
9:14.0,N. Jokic misses 2-pt shot from 3 ft (block by M. Turner),,72-58,,
9:13.0,,,72-58,,Defensive rebound by M. Ellis
9:05.0,,,72-58,,P. George misses 2-pt shot from 12 ft
9:04.0,Defensive rebound by W. Chandler,,72-58,,
8:53.0,Shooting foul by J. Teague (drawn by D. Gallinari),,72-58,,
8:53.0,D. Gallinari makes free throw 1 of 2,1,73-58,,
8:53.0,D. Gallinari makes free throw 2 of 2,1,74-58,,
8:39.0,,,74-60,2,T. Young makes 2-pt shot from 1 ft
8:33.0,,,74-60,,Personal foul by M. Ellis (drawn by G. Harris)
8:29.0,Turnover by G. Harris (offensive foul),,74-60,,
8:29.0,Offensive foul by G. Harris,,74-60,,
8:18.0,,,74-60,,P. George misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by D. Gallinari,,74-60,,
8:17.0,,,74-60,,Loose ball foul by M. Turner (drawn by D. Gallinari)
8:17.0,D. Gallinari makes free throw 1 of 2,1,75-60,,
8:17.0,D. Gallinari makes free throw 2 of 2,1,76-60,,
8:03.0,Personal foul by J. Nelson (drawn by T. Young),,76-60,,
7:55.0,,,76-60,,M. Turner misses 2-pt shot from 17 ft
7:55.0,Defensive rebound by D. Gallinari,,76-60,,
7:44.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,78-60,,
7:44.0,,,78-60,,Indiana full timeout
7:29.0,,,78-62,2,M. Ellis makes 2-pt shot from 3 ft
7:19.0,,,78-62,,Personal foul by P. George (drawn by D. Gallinari)
7:19.0,D. Gallinari makes free throw 1 of 2,1,79-62,,
7:19.0,D. Gallinari makes free throw 2 of 2,1,80-62,,
7:04.0,,,80-62,,Turnover by J. Teague (bad pass; steal by G. Harris)
6:53.0,D. Gallinari misses 3-pt shot from 26 ft,,80-62,,
6:53.0,,,80-62,,Defensive rebound by P. George
6:36.0,,,80-62,,Turnover by P. George (bad pass; steal by J. Nelson)
6:26.0,J. Nelson makes 3-pt shot from 25 ft,3,83-62,,
6:09.0,,,83-64,2,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague)
6:09.0,,,83-64,,Shooting foul by N. Jokic (drawn by M. Turner)
6:09.0,,,83-65,1,M. Turner makes free throw 1 of 1
6:09.0,,,83-64,,A. Brooks enters the game for J. Teague
6:09.0,,,83-64,,L. Allen enters the game for T. Young
5:56.0,N. Jokic misses 2-pt shot from 19 ft,,83-65,,
5:55.0,,,83-65,,Defensive rebound by P. George
5:46.0,Violation by G. Harris (kicked ball),,83-65,,
5:39.0,,,83-65,,L. Allen misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by N. Jokic,,83-65,,
5:24.0,D. Gallinari misses 3-pt shot from 25 ft,,83-65,,
5:23.0,Offensive rebound by J. Nelson,,83-65,,
5:10.0,N. Jokic makes 2-pt shot from 8 ft,2,85-65,,
4:54.0,,,85-67,2,M. Turner makes 2-pt shot from 20 ft (assist by A. Brooks)
4:37.0,W. Chandler misses 3-pt shot from 26 ft,,85-67,,
4:37.0,,,85-67,,Defensive rebound by M. Ellis
4:32.0,Personal foul by G. Harris (drawn by M. Ellis),,85-67,,
4:32.0,K. Faried enters the game for D. Gallinari,,85-67,,
4:32.0,,,85-67,,C. Miles enters the game for P. George
4:32.0,,,85-67,,R. Stuckey enters the game for M. Turner
4:32.0,,,85-67,,A. Jefferson enters the game for M. Ellis
4:25.0,,,85-70,3,A. Brooks makes 3-pt shot from 25 ft (assist by L. Allen)
4:13.0,,,85-70,,Personal block foul by A. Brooks (drawn by J. Nelson)
4:13.0,J. Nelson misses free throw 1 of 2,,85-70,,
4:13.0,Offensive rebound by Team,,85-70,,
4:13.0,J. Nelson makes free throw 2 of 2,1,86-70,,
4:13.0,W. Barton enters the game for G. Harris,,85-70,,
3:58.0,,,86-70,,L. Allen misses 2-pt shot from 14 ft
3:57.0,,,86-70,,Offensive rebound by L. Allen
3:51.0,,,86-70,,R. Stuckey misses 3-pt shot from 25 ft
3:51.0,,,86-70,,Offensive rebound by L. Allen
3:48.0,,,86-70,,L. Allen misses 2-pt shot from 4 ft
3:47.0,Defensive rebound by N. Jokic,,86-70,,
3:38.0,J. Nelson misses 2-pt shot from 19 ft,,86-70,,
3:38.0,,,86-70,,Defensive rebound by C. Miles
3:30.0,,,86-73,3,A. Brooks makes 3-pt shot from 26 ft (assist by R. Stuckey)
3:30.0,Denver full timeout,,86-73,,
3:30.0,J. Murray enters the game for W. Chandler,,86-73,,
3:16.0,,,86-73,,Personal foul by C. Miles
3:16.0,K. Faried makes free throw 1 of 2,1,87-73,,
3:16.0,K. Faried makes free throw 2 of 2,1,88-73,,
3:01.0,,,88-73,,A. Brooks misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by W. Barton,,88-73,,
2:51.0,J. Murray misses 3-pt shot from 25 ft,,88-73,,
2:50.0,Offensive rebound by K. Faried,,88-73,,
2:49.0,K. Faried makes 2-pt shot from 2 ft,2,90-73,,
2:41.0,,,90-73,,Turnover by A. Brooks (bad pass)
2:22.0,W. Barton misses 2-pt shot from 12 ft,,90-73,,
2:21.0,,,90-73,,Defensive rebound by A. Jefferson
2:15.0,,,90-73,,C. Miles misses 2-pt shot from 4 ft
2:14.0,,,90-73,,Offensive rebound by L. Allen
2:04.0,,,90-73,,Turnover by A. Brooks (lost ball)
2:04.0,M. Plumlee enters the game for N. Jokic,,90-73,,
1:57.0,Turnover by J. Murray (discontinued dribble),,90-73,,
1:48.0,,,90-73,,Offensive foul by R. Stuckey
1:48.0,,,90-73,,Turnover by R. Stuckey (offensive foul)
1:30.0,M. Plumlee misses 2-pt shot from 4 ft (block by L. Allen),,90-73,,
1:29.0,,,90-73,,Defensive rebound by A. Jefferson
1:26.0,,,90-73,,Shooting foul by J. Murray
1:26.0,,,90-74,1,C. Miles makes free throw 1 of 2
1:26.0,,,90-75,1,C. Miles makes free throw 2 of 2
1:14.0,,,90-75,,Personal block foul by C. Miles
1:14.0,J. Murray makes free throw 1 of 2,1,91-75,,
1:14.0,J. Murray makes free throw 2 of 2,1,92-75,,
1:14.0,D. Gallinari enters the game for J. Nelson,,91-75,,
0:51.0,,,92-75,,A. Brooks misses 2-pt shot from 19 ft
0:50.0,Defensive rebound by J. Murray,,92-75,,
0:36.0,,,92-75,,Personal foul by R. Stuckey (drawn by M. Plumlee)
0:36.0,M. Plumlee makes free throw 1 of 2,1,93-75,,
0:36.0,M. Plumlee makes free throw 2 of 2,1,94-75,,
0:18.0,,,94-75,,A. Jefferson misses 2-pt shot from 4 ft
0:16.0,Defensive rebound by M. Plumlee,,94-75,,
0:13.0,Offensive charge foul by M. Plumlee,,94-75,,
0:13.0,Turnover by M. Plumlee (offensive foul),,94-75,,
0:04.0,,,94-75,,A. Brooks misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by K. Faried,,94-75,,
0:00.0,K. Faried misses 3-pt shot from 79 ft,,94-75,,
0:00.0,Offensive rebound by Team,,94-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Personal foul by W. Barton,,94-75,,
11:44.0,,,94-75,,Turnover by A. Jefferson (lost ball; steal by M. Plumlee)
11:29.0,,,94-75,,Personal foul by A. Brooks (drawn by D. Gallinari)
11:29.0,,,94-75,,P. George enters the game for A. Brooks
11:29.0,,,94-75,,M. Turner enters the game for A. Jefferson
11:29.0,,,94-75,,J. Teague enters the game for R. Stuckey
11:22.0,J. Murray makes 2-pt shot from 19 ft,2,96-75,,
11:12.0,,,96-75,,C. Miles misses 3-pt shot from 26 ft
11:10.0,,,96-75,,Offensive rebound by L. Allen
10:54.0,,,96-75,,J. Teague misses 2-pt shot from 5 ft
10:54.0,Defensive rebound by K. Faried,,96-75,,
10:49.0,K. Faried misses 2-pt shot from 4 ft (block by J. Teague),,96-75,,
10:49.0,Offensive rebound by Team,,96-75,,
10:36.0,K. Faried makes 2-pt shot from 1 ft (assist by J. Murray),2,98-75,,
10:25.0,,,98-78,3,C. Miles makes 3-pt shot from 26 ft
10:09.0,,,98-78,,Personal foul by C. Miles
10:09.0,,,98-78,,M. Ellis enters the game for C. Miles
10:09.0,,,98-78,,T. Young enters the game for L. Allen
10:01.0,W. Barton makes 2-pt shot from 2 ft,2,100-78,,
9:42.0,,,100-80,2,M. Turner makes 2-pt shot from 16 ft (assist by J. Teague)
9:31.0,Shooting foul by M. Turner (drawn by J. Murray),,100-80,,
9:31.0,J. Murray makes free throw 1 of 2,1,101-80,,
9:31.0,J. Murray makes free throw 2 of 2,1,102-80,,
9:19.0,,,102-80,,Shooting foul by J. Murray (drawn by J. Teague)
9:19.0,,,102-80,,J. Teague misses free throw 1 of 2
9:19.0,,,102-80,,Offensive rebound by Team
9:19.0,,,102-81,1,J. Teague makes free throw 2 of 2
9:06.0,M. Plumlee makes 2-pt shot from 2 ft,2,104-81,,
8:54.0,,,104-81,,Shooting foul by M. Plumlee (drawn by P. George)
8:54.0,Official timeout,,104-81,,
8:54.0,,,104-82,1,P. George makes free throw 1 of 2
8:54.0,,,104-83,1,P. George makes free throw 2 of 2
8:32.0,W. Barton misses 3-pt shot from 26 ft,,104-83,,
8:29.0,,,104-83,,Defensive rebound by P. George
8:23.0,,,104-83,,Turnover by P. George (bad pass; steal by J. Murray)
8:03.0,Shooting foul by J. Teague (drawn by M. Plumlee),,104-83,,
8:03.0,M. Plumlee makes free throw 1 of 2,1,105-83,,
8:03.0,M. Plumlee makes free throw 2 of 2,1,106-83,,
8:03.0,W. Chandler enters the game for K. Faried,,105-83,,
7:57.0,,,106-85,2,J. Teague makes 2-pt shot from 9 ft
7:43.0,,,106-85,,Personal foul by P. George (drawn by D. Gallinari)
7:43.0,D. Gallinari makes free throw 1 of 2,1,107-85,,
7:43.0,D. Gallinari misses free throw 2 of 2,,107-85,,
7:43.0,,,107-85,,Defensive rebound by P. George
7:43.0,N. Jokic enters the game for M. Plumlee,,107-85,,
7:35.0,,,107-88,3,P. George makes 3-pt shot from 25 ft
7:19.0,W. Chandler misses 2-pt shot from 3 ft (block by M. Turner),,107-88,,
7:17.0,,,107-88,,Defensive rebound by T. Young
7:12.0,,,107-91,3,P. George makes 3-pt shot from 25 ft
7:12.0,Denver full timeout,,107-91,,
7:12.0,J. Nelson enters the game for W. Barton,,107-91,,
7:12.0,G. Harris enters the game for J. Murray,,107-91,,
6:51.0,N. Jokic misses 2-pt shot from 3 ft,,107-91,,
6:50.0,Offensive rebound by W. Chandler,,107-91,,
6:50.0,W. Chandler misses 2-pt shot from 1 ft,,107-91,,
6:49.0,Offensive rebound by W. Chandler,,107-91,,
6:49.0,W. Chandler makes 2-pt shot from 3 ft,2,109-91,,
6:30.0,,,109-93,2,P. George makes 2-pt shot from 4 ft
6:15.0,D. Gallinari misses 3-pt shot from 25 ft,,109-93,,
6:14.0,,,109-93,,Defensive rebound by P. George
6:06.0,,,109-96,3,P. George makes 3-pt shot from 26 ft
5:57.0,,,109-96,,Personal foul by P. George (drawn by D. Gallinari)
5:57.0,D. Gallinari makes free throw 1 of 2,1,110-96,,
5:57.0,D. Gallinari makes free throw 2 of 2,1,111-96,,
5:48.0,,,111-96,,P. George misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by D. Gallinari,,111-96,,
5:26.0,D. Gallinari misses 2-pt shot from 12 ft,,111-96,,
5:26.0,,,111-96,,Defensive rebound by T. Young
5:15.0,,,111-96,,P. George misses 2-pt shot from 17 ft
5:14.0,Defensive rebound by J. Nelson,,111-96,,
5:02.0,Denver full timeout,,111-96,,
4:51.0,J. Nelson misses 3-pt shot from 26 ft,,111-96,,
4:49.0,Offensive rebound by G. Harris,,111-96,,
4:33.0,N. Jokic misses 3-pt shot from 26 ft,,111-96,,
4:32.0,,,111-96,,Defensive rebound by J. Teague
4:28.0,,,111-98,2,M. Turner makes 2-pt shot from 5 ft (assist by J. Teague)
4:03.0,Turnover by G. Harris (step out of bounds),,111-98,,
3:51.0,,,111-98,,M. Ellis misses 2-pt shot from 4 ft (block by W. Chandler)
3:51.0,,,111-98,,Offensive rebound by Team
3:44.0,,,111-100,2,J. Teague makes 2-pt shot from 18 ft
