time,Toronto,pts.away,score,pts.home,Milwaukee
1:29.0,,,24-22,,M. Teletovic enters the game for J. Parker
1:22.0,P. Patterson misses 3-pt shot from 24 ft,,24-22,,
1:20.0,,,24-22,,Defensive rebound by M. Beasley
1:07.0,,,24-24,2,G. Monroe makes 2-pt shot from 9 ft
0:45.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,27-24,,
0:25.0,,,27-24,,M. Brogdon misses 2-pt shot from 3 ft
0:23.0,,,27-24,,Offensive rebound by G. Monroe
0:19.0,,,27-24,,M. Beasley misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by P. Patterson,,27-24,,
0:01.0,D. DeRozan misses 2-pt shot from 18 ft,,27-24,,
0:00.0,Offensive rebound by Team,,27-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,27-27,3,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Brogdon)
11:26.0,Offensive foul by L. Nogueira,,27-27,,
11:26.0,Turnover by L. Nogueira (offensive foul),,27-27,,
11:10.0,,,27-27,,M. Teletovic misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by C. Joseph,,27-27,,
10:56.0,L. Nogueira misses 2-pt shot from 2 ft,,27-27,,
10:54.0,,,27-27,,Defensive rebound by M. Beasley
10:40.0,,,27-29,2,G. Monroe makes 2-pt shot from 2 ft
10:25.0,T. Ross misses 3-pt shot from 25 ft,,27-29,,
10:24.0,,,27-29,,Defensive rebound by G. Monroe
10:08.0,,,27-29,,M. Beasley misses 2-pt shot from 3 ft (block by L. Nogueira)
10:06.0,Defensive rebound by K. Lowry,,27-29,,
10:02.0,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry),2,29-29,,
9:50.0,,,29-29,,M. Brogdon misses 2-pt shot at rim (block by L. Nogueira)
9:48.0,Defensive rebound by K. Lowry,,29-29,,
9:46.0,K. Lowry makes 2-pt shot at rim,2,31-29,,
9:46.0,Shooting foul by M. Beasley (drawn by K. Lowry),,31-29,,
9:46.0,K. Lowry makes free throw 1 of 1,1,32-29,,
9:36.0,,,32-29,,M. Dellavedova enters the game for M. Brogdon
9:29.0,,,32-29,,Turnover by M. Beasley (3 sec)
9:15.0,K. Lowry misses 2-pt shot from 19 ft,,32-29,,
9:14.0,,,32-29,,Defensive rebound by M. Beasley
9:07.0,,,32-29,,M. Dellavedova misses 2-pt shot from 1 ft
9:05.0,,,32-29,,Offensive rebound by G. Monroe
9:05.0,Personal foul by L. Nogueira (drawn by G. Monroe),,32-29,,
9:05.0,J. Valanciunas enters the game for L. Nogueira,,32-29,,
8:51.0,,,32-29,,M. Beasley misses 2-pt shot from 13 ft
8:49.0,Defensive rebound by J. Valanciunas,,32-29,,
8:35.0,C. Joseph misses 3-pt shot from 26 ft,,32-29,,
8:33.0,,,32-29,,Defensive rebound by G. Monroe
8:23.0,,,32-29,,G. Monroe misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by P. Patterson,,32-29,,
8:09.0,J. Valanciunas makes 2-pt shot from 13 ft (assist by P. Patterson),2,34-29,,
8:09.0,,,34-29,,Milwaukee full timeout
8:09.0,,,34-29,,G. Antetokounmpo enters the game for G. Monroe
8:09.0,,,34-29,,M. Plumlee enters the game for M. Beasley
7:47.0,,,34-29,,G. Antetokounmpo misses 2-pt shot from 10 ft
7:45.0,Defensive rebound by J. Valanciunas,,34-29,,
7:34.0,Turnover by T. Ross (bad pass),,34-29,,
7:13.0,,,34-31,2,G. Antetokounmpo makes 2-pt shot from 9 ft
6:55.0,T. Ross misses 3-pt shot from 25 ft,,34-31,,
6:53.0,,,34-31,,Defensive rebound by M. Plumlee
6:46.0,,,34-33,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
6:25.0,,,34-33,,Personal foul by J. Terry (drawn by J. Valanciunas)
6:19.0,Turnover by C. Joseph (bad pass; steal by M. Plumlee),,34-33,,
6:12.0,,,34-33,,J. Terry misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by K. Lowry,,34-33,,
6:02.0,C. Joseph makes 2-pt shot from 20 ft (assist by K. Lowry),2,36-33,,
5:47.0,,,36-33,,Turnover by G. Antetokounmpo (lost ball)
5:47.0,Official timeout,,36-33,,
5:47.0,D. DeRozan enters the game for C. Joseph,,36-33,,
5:47.0,,,36-33,,T. Snell enters the game for J. Terry
5:36.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,38-33,,
5:21.0,,,38-35,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
5:06.0,Turnover by K. Lowry (bad pass; steal by M. Dellavedova),,38-35,,
4:59.0,,,38-35,,M. Teletovic misses 3-pt shot from 23 ft
4:57.0,,,38-35,,Offensive rebound by M. Plumlee
4:51.0,,,38-38,3,T. Snell makes 3-pt shot from 24 ft (assist by M. Plumlee)
4:27.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,41-38,,
4:13.0,,,41-38,,M. Dellavedova misses 2-pt shot from 2 ft
4:11.0,,,41-38,,Offensive rebound by M. Dellavedova
4:11.0,,,41-40,2,M. Dellavedova makes 2-pt shot from 2 ft
3:57.0,D. DeRozan makes 2-pt shot from 17 ft,2,43-40,,
3:40.0,Personal foul by J. Valanciunas (drawn by M. Plumlee),,43-40,,
3:40.0,,,43-40,,J. Parker enters the game for M. Teletovic
3:40.0,D. Carroll enters the game for T. Ross,,43-40,,
3:29.0,,,43-40,,J. Parker misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by J. Valanciunas,,43-40,,
3:11.0,J. Valanciunas misses 2-pt shot from 2 ft,,43-40,,
3:07.0,,,43-40,,Defensive rebound by T. Snell
3:01.0,,,43-40,,M. Dellavedova misses 2-pt shot from 15 ft
3:00.0,Defensive rebound by Team,,43-40,,
3:00.0,,,43-40,,Loose ball foul by J. Parker (drawn by J. Valanciunas)
2:40.0,D. Carroll misses 3-pt shot from 24 ft,,43-40,,
2:39.0,,,43-40,,Defensive rebound by T. Snell
2:27.0,,,43-40,,Turnover by G. Antetokounmpo (bad pass; steal by K. Lowry)
2:07.0,D. DeRozan misses 2-pt shot from 7 ft,,43-40,,
2:07.0,Offensive rebound by P. Patterson,,43-40,,
2:07.0,Shooting foul by M. Dellavedova (drawn by P. Patterson),,43-40,,
2:07.0,Toronto full timeout,,43-40,,
2:07.0,P. Patterson makes free throw 1 of 2,1,44-40,,
2:07.0,P. Patterson makes free throw 2 of 2,1,45-40,,
2:07.0,C. Joseph enters the game for J. Valanciunas,,43-40,,
2:07.0,P. Siakam enters the game for K. Lowry,,43-40,,
2:07.0,J. Valanciunas enters the game for P. Siakam,,43-40,,
2:07.0,,,43-40,,J. Terry enters the game for G. Antetokounmpo
1:51.0,,,45-40,,Turnover by M. Plumlee (3 sec)
1:51.0,P. Siakam enters the game for P. Patterson,,45-40,,
1:36.0,D. DeRozan misses 2-pt shot from 14 ft,,45-40,,
1:35.0,,,45-40,,Defensive rebound by M. Dellavedova
1:20.0,,,45-42,2,T. Snell makes 2-pt shot from 1 ft (assist by J. Terry)
0:54.0,Turnover by Team (shot clock),,45-42,,
0:36.0,,,45-42,,M. Dellavedova misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by Team,,45-42,,
0:27.0,C. Joseph misses 2-pt shot from 11 ft,,45-42,,
0:26.0,Offensive rebound by P. Siakam,,45-42,,
0:26.0,P. Siakam makes 2-pt shot from 1 ft,2,47-42,,
0:05.0,,,47-42,,Turnover by M. Dellavedova (bad pass)
0:05.0,Toronto full timeout,,47-42,,
0:01.0,C. Joseph misses 2-pt shot from 16 ft,,47-42,,
0:00.0,Offensive rebound by Team,,47-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-42,,Turnover by M. Dellavedova (traveling)
11:36.0,Turnover by P. Siakam (offensive goaltending),,47-42,,
11:27.0,,,47-44,2,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
10:56.0,D. DeRozan misses 3-pt shot from 24 ft,,47-44,,
10:53.0,Offensive rebound by J. Valanciunas,,47-44,,
10:53.0,J. Valanciunas makes 2-pt shot from 3 ft,2,49-44,,
10:42.0,,,49-47,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:20.0,D. Carroll makes 3-pt shot from 23 ft (assist by K. Lowry),3,52-47,,
10:04.0,,,52-49,2,J. Parker makes 2-pt shot from 21 ft (assist by M. Dellavedova)
9:47.0,,,52-49,,Personal foul by M. Dellavedova (drawn by J. Valanciunas)
9:40.0,Shooting foul by G. Antetokounmpo (drawn by D. Carroll),,52-49,,
9:40.0,D. Carroll makes free throw 1 of 2,1,53-49,,
9:40.0,D. Carroll makes free throw 2 of 2,1,54-49,,
9:17.0,,,54-49,,G. Antetokounmpo misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by D. DeRozan,,54-49,,
9:00.0,K. Lowry misses 2-pt shot from 2 ft,,54-49,,
8:59.0,Offensive rebound by J. Valanciunas,,54-49,,
8:58.0,J. Valanciunas makes 2-pt shot from 1 ft,2,56-49,,
8:47.0,,,56-49,,T. Snell misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by P. Siakam,,56-49,,
8:37.0,J. Valanciunas makes 2-pt shot from 19 ft (assist by K. Lowry),2,58-49,,
8:37.0,,,58-49,,Milwaukee full timeout
8:24.0,,,58-49,,M. Dellavedova misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by J. Valanciunas,,58-49,,
8:06.0,D. Carroll misses 3-pt shot from 25 ft,,58-49,,
8:04.0,,,58-49,,Defensive rebound by M. Plumlee
7:45.0,,,58-52,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
7:21.0,Turnover by K. Lowry (lost ball; steal by M. Plumlee),,58-52,,
7:18.0,Personal foul by D. DeRozan (drawn by J. Parker),,58-52,,
7:18.0,,,58-52,,M. Brogdon enters the game for M. Dellavedova
7:07.0,,,58-52,,J. Parker misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by D. DeRozan,,58-52,,
6:53.0,Shooting foul by M. Plumlee (drawn by D. DeRozan),,58-52,,
6:53.0,D. DeRozan makes free throw 1 of 2,1,59-52,,
6:53.0,D. DeRozan misses free throw 2 of 2,,59-52,,
6:53.0,,,59-52,,Defensive rebound by G. Antetokounmpo
6:36.0,,,59-52,,J. Parker misses 2-pt shot from 7 ft (block by P. Siakam)
6:36.0,Defensive rebound by Team,,59-52,,
6:36.0,,,59-52,,Loose ball foul by J. Parker (drawn by K. Lowry)
6:20.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan),2,61-52,,
6:11.0,,,61-52,,Shooting foul by D. Carroll (drawn by G. Antetokounmpo)
6:11.0,,,61-53,1,G. Antetokounmpo makes free throw 1 of 2
6:11.0,,,61-53,,G. Antetokounmpo misses free throw 2 of 2
6:11.0,,,61-53,,G. Monroe enters the game for M. Plumlee
6:09.0,Defensive rebound by P. Siakam,,61-53,,
5:53.0,K. Lowry misses 3-pt shot from 26 ft,,61-53,,
5:52.0,Offensive rebound by D. DeRozan,,61-53,,
5:48.0,,,61-53,,Shooting block foul by G. Monroe (drawn by D. DeRozan)
5:48.0,D. DeRozan makes free throw 1 of 2,1,62-53,,
5:48.0,D. DeRozan makes free throw 2 of 2,1,63-53,,
5:22.0,,,63-56,3,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
4:58.0,J. Valanciunas misses 2-pt shot from 15 ft,,63-56,,
4:57.0,,,63-56,,Defensive rebound by G. Monroe
4:46.0,,,63-58,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:46.0,Toronto full timeout,,63-58,,
4:46.0,,,63-58,,M. Beasley enters the game for J. Parker
4:46.0,C. Joseph enters the game for K. Lowry,,63-58,,
4:34.0,D. DeRozan makes 2-pt shot from 8 ft,2,65-58,,
4:34.0,Shooting foul by T. Snell (drawn by D. DeRozan),,65-58,,
4:34.0,D. DeRozan misses free throw 1 of 1,,65-58,,
4:33.0,,,65-58,,Defensive rebound by M. Beasley
4:15.0,,,65-60,2,M. Beasley makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
3:57.0,D. DeRozan makes 2-pt shot from 15 ft,2,67-60,,
3:40.0,,,67-60,,G. Antetokounmpo misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by P. Siakam,,67-60,,
3:24.0,D. Carroll misses 3-pt shot from 26 ft,,67-60,,
3:23.0,,,67-60,,Defensive rebound by M. Beasley
3:15.0,,,67-60,,T. Snell misses 3-pt shot from 25 ft
3:13.0,,,67-60,,Offensive rebound by G. Monroe
3:11.0,,,67-60,,G. Monroe misses 2-pt shot from 3 ft
3:08.0,Defensive rebound by C. Joseph,,67-60,,
3:02.0,Shooting foul by M. Beasley (drawn by P. Siakam),,67-60,,
3:02.0,P. Siakam misses free throw 1 of 2,,67-60,,
3:02.0,Offensive rebound by Team,,67-60,,
3:02.0,P. Siakam makes free throw 2 of 2,1,68-60,,
3:02.0,T. Ross enters the game for D. Carroll,,67-60,,
3:02.0,L. Nogueira enters the game for J. Valanciunas,,67-60,,
3:02.0,,,67-60,,J. Terry enters the game for T. Snell
2:42.0,,,68-60,,M. Beasley misses 2-pt shot from 3 ft (block by L. Nogueira)
2:42.0,Defensive rebound by Team,,68-60,,
2:21.0,D. DeRozan makes 2-pt shot from 15 ft,2,70-60,,
2:12.0,Personal foul by L. Nogueira (drawn by G. Monroe),,70-60,,
2:00.0,,,70-60,,M. Beasley misses 2-pt shot from 13 ft
1:56.0,,,70-60,,Offensive rebound by G. Monroe
1:56.0,,,70-62,2,G. Monroe makes 2-pt shot from 1 ft
1:32.0,P. Siakam misses 2-pt shot from 12 ft,,70-62,,
1:31.0,,,70-62,,Defensive rebound by G. Monroe
1:26.0,,,70-64,2,G. Antetokounmpo makes 2-pt shot at rim
1:03.0,Shooting foul by M. Beasley (drawn by P. Siakam),,70-64,,
1:03.0,P. Siakam makes free throw 1 of 2,1,71-64,,
1:03.0,P. Siakam misses free throw 2 of 2,,71-64,,
1:02.0,,,71-64,,Defensive rebound by G. Antetokounmpo
0:42.0,,,71-67,3,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
0:30.0,D. DeRozan misses 2-pt shot from 20 ft,,71-67,,
0:29.0,Offensive rebound by P. Siakam,,71-67,,
0:20.0,C. Joseph makes 2-pt shot from 2 ft,2,73-67,,
0:04.0,Personal foul by T. Ross (drawn by G. Antetokounmpo),,73-67,,
0:04.0,Technical foul by T. Ross (drawn by G. Antetokounmpo),,73-67,,
0:04.0,,,73-67,,J. Terry misses technical free throw
0:04.0,,,73-67,,Offensive rebound by Team
0:01.0,,,73-67,,G. Monroe misses 2-pt shot from 8 ft
0:00.0,,,73-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,P. Patterson misses 2-pt shot from 15 ft (block by M. Beasley),,73-67,,
11:40.0,,,73-67,,Defensive rebound by J. Terry
11:20.0,,,73-69,2,G. Monroe makes 2-pt shot from 1 ft
11:00.0,T. Ross misses 3-pt shot from 27 ft,,73-69,,
10:59.0,,,73-69,,Defensive rebound by Team
10:42.0,,,73-69,,Turnover by G. Monroe (lost ball)
10:26.0,P. Patterson misses 3-pt shot from 25 ft,,73-69,,
10:24.0,,,73-69,,Defensive rebound by M. Beasley
10:14.0,,,73-71,2,J. Parker makes 2-pt shot at rim (assist by M. Beasley)
9:56.0,K. Lowry misses 2-pt shot from 2 ft,,73-71,,
9:54.0,,,73-71,,Defensive rebound by G. Monroe
9:40.0,,,73-71,,M. Beasley misses 2-pt shot from 7 ft
9:38.0,Defensive rebound by Team,,73-71,,
9:29.0,,,73-71,,Personal foul by G. Monroe (drawn by K. Lowry)
9:23.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph),3,76-71,,
9:06.0,,,76-71,,Turnover by J. Parker (bad pass; steal by T. Ross)
9:05.0,T. Ross makes 2-pt shot at rim,2,78-71,,
9:05.0,,,78-71,,Milwaukee full timeout
9:05.0,,,78-71,,M. Teletovic enters the game for M. Brogdon
9:05.0,,,78-71,,M. Dellavedova enters the game for G. Monroe
9:05.0,,,78-71,,G. Antetokounmpo enters the game for M. Beasley
8:51.0,,,78-71,,Shooting foul by P. Patterson (drawn by G. Antetokounmpo)
8:51.0,,,78-72,1,G. Antetokounmpo makes free throw 1 of 2
8:51.0,,,78-73,1,G. Antetokounmpo makes free throw 2 of 2
8:36.0,C. Joseph misses 2-pt shot from 1 ft,,78-73,,
8:34.0,,,78-73,,Defensive rebound by M. Dellavedova
8:29.0,,,78-75,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Dellavedova)
8:15.0,K. Lowry makes 2-pt shot from 1 ft,2,80-75,,
7:54.0,,,80-75,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by L. Nogueira)
7:52.0,Defensive rebound by C. Joseph,,80-75,,
7:45.0,C. Joseph makes 3-pt shot from 25 ft (assist by P. Patterson),3,83-75,,
7:30.0,,,83-78,3,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Dellavedova)
7:18.0,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph),3,86-78,,
7:18.0,,,86-78,,Milwaukee full timeout
7:07.0,,,86-80,2,G. Antetokounmpo makes 2-pt shot from 2 ft
7:07.0,Loose ball foul by P. Patterson (drawn by M. Dellavedova),,86-80,,
7:07.0,,,86-80,,M. Dellavedova misses free throw 1 of 1
7:07.0,Defensive rebound by L. Nogueira,,86-80,,
6:49.0,P. Patterson makes 3-pt shot from 24 ft (assist by T. Ross),3,89-80,,
6:34.0,,,89-82,2,J. Parker makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
6:17.0,T. Ross misses 3-pt shot from 24 ft,,89-82,,
6:15.0,Offensive rebound by T. Ross,,89-82,,
6:14.0,T. Ross misses 3-pt shot from 25 ft,,89-82,,
6:11.0,,,89-82,,Defensive rebound by Team
6:11.0,Loose ball foul by P. Patterson (drawn by G. Antetokounmpo),,89-82,,
6:11.0,,,89-82,,T. Snell enters the game for M. Teletovic
5:54.0,,,89-82,,T. Snell misses 3-pt shot from 23 ft
5:48.0,,,89-82,,Offensive rebound by J. Parker
5:47.0,,,89-85,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by J. Terry)
5:17.0,T. Ross makes 3-pt shot from 25 ft,3,92-85,,
5:03.0,Personal foul by C. Joseph (drawn by G. Antetokounmpo),,92-85,,
5:03.0,Official timeout,,92-85,,
5:03.0,D. DeRozan enters the game for C. Joseph,,92-85,,
5:03.0,J. Valanciunas enters the game for L. Nogueira,,92-85,,
4:53.0,,,92-85,,Shooting foul by J. Valanciunas (drawn by J. Parker)
4:53.0,,,92-85,,J. Parker misses free throw 1 of 2
4:53.0,,,92-85,,Offensive rebound by Team
4:53.0,,,92-86,1,J. Parker makes free throw 2 of 2
4:32.0,K. Lowry misses 2-pt shot from 3 ft,,92-86,,
4:29.0,,,92-86,,Defensive rebound by G. Antetokounmpo
4:20.0,,,92-89,3,M. Dellavedova makes 3-pt shot from 25 ft
3:53.0,D. DeRozan makes 2-pt shot from 9 ft,2,94-89,,
3:39.0,,,94-89,,J. Parker misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by P. Patterson,,94-89,,
3:20.0,P. Patterson misses 3-pt shot from 24 ft,,94-89,,
3:18.0,,,94-89,,Defensive rebound by J. Parker
3:12.0,,,94-91,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Dellavedova)
3:04.0,Toronto full timeout,,94-91,,
3:04.0,C. Joseph enters the game for T. Ross,,94-91,,
2:50.0,Offensive foul by J. Valanciunas,,94-91,,
2:50.0,Turnover by J. Valanciunas (offensive foul),,94-91,,
2:32.0,,,94-93,2,G. Antetokounmpo makes 2-pt shot from 11 ft
2:08.0,C. Joseph misses 2-pt shot from 13 ft,,94-93,,
2:07.0,,,94-93,,Defensive rebound by G. Antetokounmpo
1:54.0,,,94-93,,J. Parker misses 2-pt shot from 16 ft
1:53.0,Defensive rebound by D. DeRozan,,94-93,,
1:34.0,D. DeRozan makes 2-pt shot from 16 ft,2,96-93,,
1:27.0,,,96-95,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
1:11.0,D. DeRozan misses 2-pt shot from 13 ft (block by J. Terry),,96-95,,
1:11.0,Offensive rebound by Team,,96-95,,
1:06.0,K. Lowry makes 3-pt shot from 27 ft (assist by P. Patterson),3,99-95,,
1:06.0,,,99-95,,Milwaukee full timeout
1:06.0,D. Carroll enters the game for J. Valanciunas,,99-95,,
0:49.0,,,99-97,2,G. Antetokounmpo makes 2-pt shot from 10 ft
0:28.0,,,99-97,,Personal block foul by G. Antetokounmpo (drawn by D. Carroll)
0:28.0,Toronto full timeout,,99-97,,
0:16.0,D. DeRozan makes 2-pt shot from 16 ft,2,101-97,,
0:16.0,,,101-97,,Milwaukee full timeout
0:12.0,,,101-97,,Turnover by G. Antetokounmpo (lost ball; steal by K. Lowry)
0:08.0,K. Lowry makes 2-pt shot from 1 ft,2,103-97,,
0:05.0,Personal foul by P. Patterson (drawn by G. Antetokounmpo),,103-97,,
0:05.0,,,103-98,1,G. Antetokounmpo makes free throw 1 of 2
0:05.0,,,103-99,1,G. Antetokounmpo makes free throw 2 of 2
0:05.0,J. Valanciunas enters the game for C. Joseph,,103-98,,
0:04.0,,,103-99,,Personal take foul by J. Parker (drawn by D. DeRozan)
0:04.0,D. DeRozan makes free throw 1 of 2,1,104-99,,
0:04.0,D. DeRozan makes free throw 2 of 2,1,105-99,,
0:04.0,,,105-99,,Turnover by J. Parker (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
