time,New Orleans,pts.away,score,pts.home,LA Lakers
11:41.0,,,55-61,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Randle)
11:27.0,A. Davis misses 2-pt shot from 20 ft,,55-61,,
11:26.0,,,55-61,,Defensive rebound by Team
11:14.0,,,55-61,,Turnover by J. Randle (bad pass; steal by J. Holiday)
11:04.0,Turnover by D. Cousins (bad pass; steal by D. Russell),,55-61,,
10:56.0,,,55-61,,D. Russell misses 3-pt shot from 27 ft
10:54.0,Defensive rebound by J. Holiday,,55-61,,
10:42.0,J. Holiday makes 2-pt shot from 14 ft,2,57-61,,
10:18.0,,,57-61,,N. Young misses 3-pt shot from 29 ft
10:16.0,Defensive rebound by D. Cousins,,57-61,,
10:00.0,H. Thompson misses 3-pt shot from 24 ft,,57-61,,
9:59.0,,,57-61,,Defensive rebound by D. Russell
9:53.0,,,57-61,,Turnover by D. Russell (bad pass; steal by J. Holiday)
9:48.0,J. Holiday misses 3-pt shot from 26 ft,,57-61,,
9:44.0,,,57-61,,Defensive rebound by B. Ingram
9:34.0,Def 3 sec tech foul by A. Davis,,57-61,,
9:34.0,,,57-61,,D. Russell misses technical free throw
9:34.0,,,57-61,,Offensive rebound by Team
9:22.0,,,57-61,,T. Black misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by A. Davis,,57-61,,
9:01.0,H. Thompson misses 2-pt shot from 5 ft,,57-61,,
9:00.0,,,57-61,,Defensive rebound by J. Randle
8:55.0,,,57-61,,D. Russell misses 3-pt shot from 26 ft
8:50.0,,,57-61,,Offensive rebound by T. Black
8:50.0,,,57-61,,T. Black misses 2-pt shot from 1 ft
8:47.0,,,57-61,,Offensive rebound by N. Young
8:41.0,,,57-61,,J. Randle misses 2-pt shot from 9 ft
8:38.0,Defensive rebound by A. Davis,,57-61,,
8:28.0,Turnover by J. Holiday (lost ball; steal by D. Russell),,57-61,,
8:22.0,,,57-61,,D. Russell misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by S. Hill,,57-61,,
8:10.0,A. Davis makes 2-pt shot from 8 ft (assist by S. Hill),2,59-61,,
7:58.0,,,59-61,,Turnover by J. Randle (bad pass; steal by H. Thompson)
7:53.0,Shooting foul by N. Young (drawn by H. Thompson),,59-61,,
7:53.0,H. Thompson makes free throw 1 of 2,1,60-61,,
7:53.0,H. Thompson misses free throw 2 of 2,,60-61,,
7:53.0,Offensive rebound by H. Thompson,,60-61,,
7:40.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Davis),2,62-61,,
7:29.0,,,62-61,,D. Russell misses 2-pt shot from 13 ft
7:25.0,Defensive rebound by D. Cousins,,62-61,,
7:18.0,D. Cousins misses 3-pt shot from 25 ft,,62-61,,
7:11.0,,,62-61,,Defensive rebound by B. Ingram
7:11.0,,,62-63,2,T. Black makes 2-pt shot from 1 ft
7:11.0,,,62-63,,Shooting foul by D. Cousins (drawn by T. Black)
7:11.0,,,62-64,1,T. Black makes free throw 1 of 1
6:58.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,64-64,,
6:37.0,,,64-64,,T. Black misses 2-pt shot at rim (block by A. Davis)
6:35.0,Defensive rebound by D. Cousins,,64-64,,
6:29.0,D. Cousins makes 2-pt shot from 3 ft,2,66-64,,
6:29.0,,,66-64,,LA Lakers full timeout
6:29.0,,,66-64,,J. Clarkson enters the game for D. Russell
6:21.0,Personal foul by H. Thompson (drawn by B. Ingram),,66-64,,
6:14.0,,,66-64,,Turnover by T. Black (3 sec)
5:55.0,A. Davis misses 2-pt shot from 5 ft,,66-64,,
5:51.0,,,66-64,,Defensive rebound by T. Black
5:43.0,,,66-67,3,B. Ingram makes 3-pt shot from 24 ft (assist by J. Clarkson)
5:30.0,Shooting foul by N. Young (drawn by J. Holiday),,66-67,,
5:30.0,J. Holiday makes free throw 1 of 2,1,67-67,,
5:30.0,J. Holiday makes free throw 2 of 2,1,68-67,,
5:16.0,,,68-67,,B. Ingram misses 2-pt shot from 15 ft
5:13.0,Defensive rebound by D. Cousins,,68-67,,
5:03.0,D. Cousins misses 3-pt shot from 26 ft,,68-67,,
5:01.0,Offensive rebound by S. Hill,,68-67,,
4:56.0,S. Hill makes 2-pt shot from 9 ft,2,70-67,,
4:41.0,,,70-67,,N. Young misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by Team,,70-67,,
4:40.0,A. Ajinca enters the game for D. Cousins,,70-67,,
4:33.0,J. Holiday makes 2-pt shot from 3 ft,2,72-67,,
4:17.0,,,72-67,,J. Clarkson misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by A. Davis,,72-67,,
4:08.0,A. Ajinca misses 2-pt shot from 11 ft,,72-67,,
4:07.0,,,72-67,,Defensive rebound by J. Randle
3:55.0,,,72-67,,Turnover by J. Clarkson (step out of bounds)
3:55.0,,,72-67,,C. Brewer enters the game for J. Randle
3:55.0,,,72-67,,L. Nance enters the game for N. Young
3:46.0,S. Hill makes 3-pt shot from 24 ft (assist by A. Davis),3,75-67,,
3:32.0,E. Moore enters the game for H. Thompson,,75-67,,
3:28.0,Jump ball: T. Black vs. A. Davis (A. Ajinca gains possession),,,,Jump ball: T. Black vs. A. Davis (A. Ajinca gains possession)
3:28.0,,,75-67,,Turnover by T. Black (lost ball; steal by A. Davis)
3:14.0,Turnover by A. Ajinca (3 sec),,75-67,,
3:00.0,Violation by J. Holiday (kicked ball),,75-67,,
2:52.0,,,75-67,,T. Black misses 2-pt shot from 6 ft
2:49.0,,,75-67,,Offensive rebound by T. Black
2:45.0,,,75-67,,C. Brewer misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by J. Holiday,,75-67,,
2:28.0,Turnover by J. Holiday (bad pass; steal by L. Nance),,75-67,,
2:21.0,,,75-67,,B. Ingram misses 2-pt shot from 3 ft
2:20.0,Defensive rebound by J. Holiday,,75-67,,
2:16.0,E. Moore makes 2-pt shot at rim (assist by J. Holiday),2,77-67,,
1:53.0,,,77-67,,T. Black misses 2-pt shot from 12 ft
1:50.0,Defensive rebound by A. Ajinca,,77-67,,
1:33.0,Shooting foul by T. Black (drawn by A. Davis),,77-67,,
1:33.0,New Orleans full timeout,,77-67,,
1:33.0,A. Davis makes free throw 1 of 2,1,78-67,,
1:33.0,A. Davis makes free throw 2 of 2,1,79-67,,
1:33.0,D. Cunningham enters the game for S. Hill,,77-67,,
1:33.0,T. Frazier enters the game for J. Holiday,,77-67,,
1:33.0,,,77-67,,T. Robinson enters the game for T. Black
1:19.0,,,79-69,2,J. Clarkson makes 2-pt shot from 3 ft
1:02.0,A. Davis makes 2-pt shot from 4 ft,2,81-69,,
0:46.0,,,81-71,2,B. Ingram makes 2-pt shot from 10 ft
0:36.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Frazier),2,83-71,,
0:33.0,,,83-71,,Shooting foul by E. Moore (drawn by J. Clarkson)
0:33.0,,,83-72,1,J. Clarkson makes free throw 1 of 2
0:33.0,,,83-73,1,J. Clarkson makes free throw 2 of 2
0:10.0,A. Davis misses 2-pt shot from 20 ft,,83-73,,
0:08.0,,,83-73,,Defensive rebound by B. Ingram
0:02.0,,,83-73,,J. Clarkson misses 2-pt shot from 19 ft (block by E. Moore)
0:02.0,Defensive rebound by A. Davis,,83-73,,
0:01.0,A. Davis misses 3-pt shot from 80 ft,,83-73,,
0:00.0,Offensive rebound by Team,,83-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Cousins makes 2-pt shot from 13 ft,2,85-73,,
11:25.0,,,85-73,,Turnover by B. Ingram (bad pass; steal by A. Ajinca)
11:21.0,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier),2,87-73,,
10:54.0,Personal foul by E. Moore (drawn by J. Clarkson),,87-73,,
10:47.0,,,87-75,2,L. Nance makes 2-pt shot at rim (assist by T. Mozgov)
10:25.0,D. Cousins misses 2-pt shot from 16 ft,,87-75,,
10:24.0,,,87-75,,Defensive rebound by C. Brewer
10:17.0,,,87-75,,Turnover by C. Brewer (lost ball; steal by T. Frazier)
10:05.0,A. Ajinca misses 2-pt shot from 17 ft,,87-75,,
10:04.0,,,87-75,,Defensive rebound by L. Nance
9:49.0,,,87-75,,B. Ingram misses 2-pt shot from 20 ft
9:46.0,Defensive rebound by D. Cousins,,87-75,,
9:40.0,A. Ajinca misses 2-pt shot from 3 ft (block by C. Brewer),,87-75,,
9:40.0,Offensive rebound by Team,,87-75,,
9:39.0,Shooting foul by L. Nance (drawn by D. Cousins),,87-75,,
9:39.0,D. Cousins makes free throw 1 of 2,1,88-75,,
9:39.0,D. Cousins makes free throw 2 of 2,1,89-75,,
9:39.0,,,88-75,,D. Russell enters the game for B. Ingram
9:19.0,,,89-77,2,J. Clarkson makes 2-pt shot from 5 ft (assist by D. Russell)
8:59.0,T. Frazier misses 2-pt shot at rim (block by T. Mozgov),,89-77,,
8:58.0,,,89-77,,Defensive rebound by J. Clarkson
8:53.0,,,89-77,,J. Clarkson misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by D. Cousins,,89-77,,
8:40.0,E. Moore misses 2-pt shot from 4 ft,,89-77,,
8:39.0,,,89-77,,Defensive rebound by L. Nance
8:33.0,,,89-77,,Turnover by J. Clarkson (bad pass; steal by E. Moore)
8:20.0,Offensive foul by D. Cousins,,89-77,,
8:20.0,Turnover by D. Cousins (offensive foul),,89-77,,
8:20.0,Official timeout,,89-77,,
8:20.0,,,89-77,,D. Nwaba enters the game for L. Nance
8:20.0,,,89-77,,J. Randle enters the game for C. Brewer
8:07.0,,,89-77,,Turnover by T. Mozgov (traveling)
7:58.0,D. Cousins misses 2-pt shot from 3 ft,,89-77,,
7:57.0,,,89-77,,Defensive rebound by J. Randle
7:50.0,,,89-77,,D. Russell misses 2-pt shot from 17 ft
7:47.0,,,89-77,,Offensive rebound by T. Mozgov
7:34.0,,,89-77,,Shooting foul by D. Cousins (drawn by T. Mozgov)
7:34.0,,,89-78,1,T. Mozgov makes free throw 1 of 2
7:34.0,,,89-79,1,T. Mozgov makes free throw 2 of 2
7:34.0,A. Davis enters the game for D. Cousins,,89-78,,
7:34.0,J. Holiday enters the game for T. Frazier,,89-78,,
7:34.0,S. Hill enters the game for A. Ajinca,,89-78,,
7:24.0,D. Cunningham misses 3-pt shot from 25 ft,,89-79,,
7:22.0,,,89-79,,Defensive rebound by D. Nwaba
7:18.0,,,89-79,,Offensive foul by T. Mozgov
7:18.0,,,89-79,,Turnover by T. Mozgov (offensive foul)
7:18.0,,,89-79,,B. Ingram enters the game for T. Mozgov
7:02.0,A. Davis misses 2-pt shot from 18 ft,,89-79,,
7:01.0,,,89-79,,Defensive rebound by B. Ingram
6:46.0,,,89-79,,Turnover by J. Clarkson (bad pass; steal by D. Cunningham)
6:40.0,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday),2,91-79,,
6:40.0,Shooting foul by J. Randle (drawn by A. Davis),,91-79,,
6:40.0,A. Davis makes free throw 1 of 1,1,92-79,,
6:26.0,,,92-81,2,J. Clarkson makes 2-pt shot from 19 ft
6:09.0,D. Cunningham makes 3-pt shot from 24 ft (assist by S. Hill),3,95-81,,
6:09.0,,,95-81,,LA Lakers full timeout
6:09.0,,,95-81,,N. Young enters the game for J. Clarkson
5:58.0,,,95-83,2,D. Russell makes 2-pt shot from 10 ft (assist by J. Randle)
5:38.0,J. Holiday makes 2-pt shot from 8 ft,2,97-83,,
