time,Denver,pts.away,score,pts.home,Washington
9:28.0,,,31-24,,A. Nicholson misses 2-pt shot from 12 ft
9:26.0,Defensive rebound by J. Hernangomez,,31-24,,
9:12.0,J. Murray makes 3-pt shot from 26 ft (assist by N. Jokic),3,34-24,,
9:02.0,,,34-24,,M. Thornton misses 2-pt shot from 4 ft (block by N. Jokic)
9:00.0,Defensive rebound by J. Hernangomez,,34-24,,
8:51.0,N. Jokic makes 2-pt shot from 17 ft,2,36-24,,
8:46.0,,,36-24,,Washington full timeout
8:34.0,,,36-24,,T. Burke misses 2-pt shot from 19 ft
8:31.0,,,36-24,,Offensive rebound by T. Burke
8:31.0,,,36-26,2,T. Burke makes 2-pt shot from 13 ft
8:13.0,J. Murray misses 3-pt shot from 23 ft,,36-26,,
8:11.0,,,36-26,,Defensive rebound by M. Thornton
8:07.0,,,36-28,2,T. Burke makes 2-pt shot from 1 ft (assist by M. Thornton)
7:45.0,N. Jokic misses 2-pt shot from 15 ft,,36-28,,
7:43.0,Offensive rebound by W. Chandler,,36-28,,
7:31.0,N. Jokic makes 2-pt shot from 18 ft (assist by J. Hernangomez),2,38-28,,
7:11.0,,,38-30,2,K. Oubre makes 2-pt shot from 22 ft
6:58.0,Turnover by J. Hernangomez (bad pass; steal by K. Oubre),,38-30,,
6:50.0,,,38-33,3,M. Thornton makes 3-pt shot from 26 ft (assist by T. Burke)
6:32.0,J. Hernangomez misses 3-pt shot from 25 ft,,38-33,,
6:30.0,,,38-33,,Defensive rebound by M. Morris
6:22.0,,,38-33,,M. Thornton misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by W. Chandler,,38-33,,
6:19.0,,,38-33,,Personal foul by M. Morris (drawn by N. Jokic)
6:19.0,D. Arthur enters the game for W. Chandler,,38-33,,
6:19.0,D. Gallinari enters the game for J. Murray,,38-33,,
6:19.0,J. Nelson enters the game for J. Hernangomez,,38-33,,
6:19.0,,,38-33,,J. Wall enters the game for K. Oubre
6:19.0,,,38-33,,B. Beal enters the game for M. Thornton
6:19.0,,,38-33,,M. Gortat enters the game for A. Nicholson
6:12.0,W. Barton makes 3-pt shot from 26 ft (assist by J. Nelson),3,41-33,,
5:50.0,,,41-33,,M. Morris misses 2-pt shot from 10 ft
5:49.0,Defensive rebound by D. Gallinari,,41-33,,
5:40.0,D. Arthur makes 3-pt shot from 26 ft (assist by W. Barton),3,44-33,,
5:23.0,,,44-35,2,B. Beal makes 2-pt shot from 21 ft
5:07.0,N. Jokic makes 2-pt shot from 18 ft,2,46-35,,
4:49.0,,,46-35,,M. Morris misses 2-pt shot from 2 ft
4:48.0,,,46-35,,Offensive rebound by M. Morris
4:47.0,,,46-35,,M. Morris misses 2-pt shot from 2 ft
4:47.0,,,46-35,,Offensive rebound by M. Morris
4:47.0,,,46-37,2,M. Morris makes 2-pt shot from 2 ft
4:47.0,,,46-37,,Shooting foul by D. Arthur (drawn by M. Morris)
4:47.0,Official timeout,,46-37,,
4:47.0,,,46-38,1,M. Morris makes free throw 1 of 1
4:47.0,,,46-37,,O. Porter enters the game for T. Burke
4:47.0,J. Nurkic enters the game for N. Jokic,,46-37,,
4:35.0,Offensive foul by D. Gallinari,,46-38,,
4:35.0,Turnover by D. Gallinari (offensive foul),,46-38,,
4:23.0,,,46-38,,J. Wall misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by J. Nurkic,,46-38,,
4:10.0,Turnover by D. Arthur (3 sec),,46-38,,
3:47.0,,,46-38,,Shooting foul by J. Nurkic (drawn by M. Morris)
3:47.0,,,46-39,1,M. Morris makes free throw 1 of 2
3:47.0,,,46-40,1,M. Morris makes free throw 2 of 2
3:24.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Arthur),2,48-40,,
3:12.0,,,48-40,,B. Beal misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by D. Arthur,,48-40,,
3:11.0,Offensive charge foul by W. Barton,,48-40,,
3:11.0,Turnover by W. Barton (offensive foul),,48-40,,
3:00.0,Personal foul by D. Gallinari (drawn by O. Porter),,48-40,,
3:00.0,W. Chandler enters the game for D. Gallinari,,48-40,,
2:47.0,,,48-40,,J. Wall misses 2-pt shot from 4 ft (block by D. Arthur)
2:47.0,Defensive rebound by Team,,48-40,,
2:47.0,Denver full timeout,,48-40,,
2:32.0,W. Chandler misses 3-pt shot from 27 ft,,48-40,,
2:30.0,Offensive rebound by J. Nurkic,,48-40,,
2:18.0,W. Chandler misses 2-pt shot from 4 ft,,48-40,,
2:17.0,,,48-40,,Defensive rebound by M. Gortat
2:10.0,,,48-42,2,O. Porter makes 2-pt shot from 3 ft (assist by B. Beal)
1:53.0,J. Nurkic makes 2-pt shot from 20 ft (assist by D. Arthur),2,50-42,,
1:43.0,,,50-42,,Turnover by M. Gortat (lost ball; steal by W. Chandler)
1:34.0,W. Barton makes 2-pt shot from 18 ft (assist by W. Chandler),2,52-42,,
1:20.0,,,52-45,3,B. Beal makes 3-pt shot from 25 ft
1:02.0,D. Arthur misses 3-pt shot from 25 ft,,52-45,,
1:02.0,,,52-45,,Defensive rebound by O. Porter
0:53.0,,,52-45,,Turnover by M. Gortat (lost ball)
0:53.0,N. Jokic enters the game for J. Nurkic,,52-45,,
0:37.0,N. Jokic misses 2-pt shot from 4 ft (block by J. Wall),,52-45,,
0:37.0,Offensive rebound by Team,,52-45,,
0:34.0,W. Chandler misses 2-pt shot from 17 ft,,52-45,,
0:32.0,Offensive rebound by N. Jokic,,52-45,,
0:22.0,Turnover by W. Chandler (lost ball),,52-45,,
0:01.0,,,52-45,,Shooting foul by W. Barton (drawn by B. Beal)
0:01.0,,,52-46,1,B. Beal makes free throw 1 of 2
0:01.0,,,52-47,1,B. Beal makes free throw 2 of 2
0:00.0,W. Barton misses 3-pt shot from 65 ft,,52-47,,
0:00.0,,,52-47,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Shooting foul by M. Gortat (drawn by J. Nurkic),,52-47,,
11:40.0,J. Nurkic misses free throw 1 of 2,,52-47,,
11:40.0,Offensive rebound by Team,,52-47,,
11:40.0,J. Nurkic makes free throw 2 of 2,1,53-47,,
11:26.0,,,53-49,2,M. Morris makes 2-pt shot from 6 ft (assist by B. Beal)
11:03.0,J. Nelson makes 2-pt shot from 21 ft (assist by J. Nurkic),2,55-49,,
10:52.0,,,55-49,,B. Beal misses 3-pt shot from 29 ft
10:51.0,Defensive rebound by J. Nurkic,,55-49,,
10:32.0,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Nelson),2,57-49,,
10:17.0,,,57-49,,Shooting foul by J. Nurkic (drawn by M. Morris)
10:17.0,,,57-50,1,M. Morris makes free throw 1 of 2
10:17.0,,,57-51,1,M. Morris makes free throw 2 of 2
10:02.0,,,57-51,,Def 3 sec tech foul by M. Gortat
10:02.0,D. Gallinari makes technical free throw,1,58-51,,
9:56.0,Offensive foul by J. Nurkic,,58-51,,
9:56.0,Turnover by J. Nurkic (offensive foul),,58-51,,
9:56.0,,,58-51,,Technical foul by J. Wall
9:56.0,D. Gallinari misses technical free throw,,58-51,,
9:56.0,,,58-51,,Offensive rebound by Team
9:56.0,N. Jokic enters the game for J. Nurkic,,58-51,,
9:42.0,,,58-51,,Offensive foul by M. Gortat
9:42.0,,,58-51,,Turnover by M. Gortat (offensive foul)
9:26.0,Turnover by D. Gallinari (lost ball; steal by M. Gortat),,58-51,,
9:20.0,,,58-51,,J. Wall misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by N. Jokic,,58-51,,
8:56.0,D. Gallinari misses 3-pt shot from 29 ft,,58-51,,
8:56.0,Offensive rebound by N. Jokic,,58-51,,
8:50.0,Shooting foul by O. Porter (drawn by J. Nelson),,58-51,,
8:50.0,J. Nelson misses free throw 1 of 2,,58-51,,
8:50.0,Offensive rebound by Team,,58-51,,
8:50.0,J. Nelson misses free throw 2 of 2,,58-51,,
8:49.0,,,58-51,,Defensive rebound by M. Gortat
8:35.0,,,58-51,,Turnover by J. Wall (palming)
8:14.0,N. Jokic misses 2-pt shot from 10 ft,,58-51,,
8:14.0,,,58-51,,Defensive rebound by Team
8:14.0,Loose ball foul by D. Arthur (drawn by M. Morris),,58-51,,
7:59.0,,,58-53,2,M. Morris makes 2-pt shot from 8 ft (assist by B. Beal)
7:44.0,N. Jokic makes 2-pt shot from 4 ft (assist by D. Arthur),2,60-53,,
7:44.0,Shooting foul by B. Beal (drawn by N. Jokic),,60-53,,
7:44.0,N. Jokic misses free throw 1 of 1,,60-53,,
7:44.0,,,60-53,,Defensive rebound by O. Porter
7:27.0,,,60-53,,J. Wall misses 3-pt shot from 24 ft
7:25.0,,,60-53,,Offensive rebound by M. Gortat
7:17.0,,,60-53,,M. Gortat misses 2-pt shot from 10 ft
7:16.0,Defensive rebound by N. Jokic,,60-53,,
7:11.0,Shooting foul by M. Morris (drawn by D. Gallinari),,60-53,,
7:11.0,D. Gallinari makes free throw 1 of 2,1,61-53,,
7:11.0,D. Gallinari makes free throw 2 of 2,1,62-53,,
6:59.0,,,62-55,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Morris)
6:41.0,Offensive foul by D. Gallinari,,62-55,,
6:41.0,Turnover by D. Gallinari (offensive foul),,62-55,,
6:41.0,W. Chandler enters the game for D. Gallinari,,62-55,,
6:26.0,Personal foul by J. Nelson (drawn by J. Wall),,62-55,,
6:20.0,,,62-57,2,M. Gortat makes 2-pt shot from 3 ft (assist by M. Morris)
5:59.0,W. Chandler misses 2-pt shot from 17 ft,,62-57,,
5:58.0,,,62-57,,Defensive rebound by B. Beal
5:43.0,,,62-59,2,M. Morris makes 2-pt shot from 18 ft
5:42.0,Denver full timeout,,62-59,,
5:42.0,J. Hernangomez enters the game for D. Arthur,,62-59,,
5:42.0,J. Murray enters the game for W. Barton,,62-59,,
5:32.0,,,62-59,,Violation by B. Beal (kicked ball)
5:17.0,W. Chandler misses 2-pt shot from 1 ft,,62-59,,
5:16.0,Offensive rebound by N. Jokic,,62-59,,
5:09.0,J. Hernangomez misses 3-pt shot from 26 ft,,62-59,,
5:08.0,,,62-59,,Defensive rebound by J. Wall
4:47.0,,,62-62,3,B. Beal makes 3-pt shot from 29 ft (assist by J. Wall)
4:30.0,J. Nelson makes 2-pt shot from 12 ft,2,64-62,,
4:10.0,,,64-62,,J. Wall misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by J. Nelson,,64-62,,
3:56.0,J. Nelson makes 2-pt shot from 8 ft,2,66-62,,
3:42.0,,,66-65,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
3:21.0,W. Chandler misses 2-pt shot from 12 ft,,66-65,,
3:20.0,,,66-65,,Defensive rebound by M. Gortat
3:07.0,,,66-67,2,O. Porter makes 2-pt shot from 17 ft (assist by M. Morris)
2:49.0,W. Chandler misses 3-pt shot from 24 ft,,66-67,,
2:47.0,Offensive rebound by J. Hernangomez,,66-67,,
2:39.0,Turnover by J. Nelson (lost ball; steal by O. Porter),,66-67,,
2:35.0,,,66-69,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
2:34.0,Denver full timeout,,66-69,,
2:34.0,,,66-69,,Washington full timeout
2:34.0,,,66-69,,K. Oubre enters the game for O. Porter
2:34.0,,,66-69,,J. Smith enters the game for M. Gortat
2:34.0,W. Barton enters the game for J. Nelson,,66-69,,
2:27.0,,,66-69,,Personal foul by J. Wall
2:27.0,J. Hernangomez makes free throw 1 of 2,1,67-69,,
2:27.0,J. Hernangomez makes free throw 2 of 2,1,68-69,,
2:14.0,,,68-71,2,M. Morris makes 2-pt shot from 5 ft (assist by B. Beal)
1:58.0,Turnover by J. Murray (lost ball; steal by J. Wall),,68-71,,
1:53.0,,,68-73,2,K. Oubre makes 2-pt shot from 16 ft (assist by B. Beal)
1:40.0,,,68-73,,Personal foul by J. Smith (drawn by N. Jokic)
1:40.0,N. Jokic misses free throw 1 of 2,,68-73,,
1:40.0,Offensive rebound by Team,,68-73,,
1:40.0,N. Jokic makes free throw 2 of 2,1,69-73,,
1:40.0,,,68-73,,T. Burke enters the game for J. Wall
1:29.0,,,69-75,2,B. Beal makes 2-pt shot from 17 ft (assist by T. Burke)
1:17.0,W. Barton misses 3-pt shot from 28 ft,,69-75,,
1:16.0,,,69-75,,Defensive rebound by Team
1:05.0,,,69-75,,Turnover by B. Beal (lost ball; steal by W. Barton)
1:01.0,Turnover by J. Murray (lost ball; steal by T. Burke),,69-75,,
0:55.0,,,69-75,,K. Oubre misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by W. Chandler,,69-75,,
0:51.0,,,69-75,,Personal foul by K. Oubre (drawn by N. Jokic)
0:51.0,N. Jokic makes free throw 1 of 2,1,70-75,,
0:51.0,N. Jokic makes free throw 2 of 2,1,71-75,,
0:34.0,,,71-75,,T. Burke misses 2-pt shot from 18 ft
0:34.0,Defensive rebound by W. Chandler,,71-75,,
0:24.0,W. Barton makes 2-pt shot from 1 ft (assist by W. Chandler),2,73-75,,
0:05.0,Personal foul by W. Barton (drawn by B. Beal),,73-75,,
0:05.0,A. Gee enters the game for W. Barton,,73-75,,
0:05.0,,,73-75,,M. Gortat enters the game for J. Smith
0:01.0,,,73-75,,B. Beal misses 2-pt shot from 4 ft
0:00.0,,,73-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,73-75,,M. Morris misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by D. Gallinari,,73-75,,
11:24.0,J. Murray makes 3-pt shot from 27 ft (assist by W. Barton),3,76-75,,
11:07.0,,,76-75,,Turnover by T. Burke (bad pass; steal by J. Murray)
10:49.0,J. Nurkic makes 2-pt shot at rim (assist by J. Murray),2,78-75,,
10:32.0,,,78-77,2,K. Oubre makes 2-pt shot from 19 ft (assist by M. Morris)
10:12.0,D. Gallinari makes 2-pt shot at rim,2,80-77,,
10:12.0,Shooting foul by M. Morris (drawn by D. Gallinari),,80-77,,
10:12.0,D. Gallinari makes free throw 1 of 1,1,81-77,,
10:03.0,Personal foul by J. Murray (drawn by T. Burke),,81-77,,
10:03.0,,,81-77,,O. Porter enters the game for M. Morris
9:57.0,,,81-77,,T. Burke misses 2-pt shot from 12 ft
9:56.0,Defensive rebound by J. Murray,,81-77,,
9:43.0,J. Murray misses 3-pt shot from 28 ft,,81-77,,
9:42.0,,,81-77,,Defensive rebound by O. Porter
9:34.0,,,81-77,,O. Porter misses 2-pt shot from 20 ft
9:33.0,Defensive rebound by J. Nurkic,,81-77,,
9:22.0,W. Chandler misses 3-pt shot from 28 ft,,81-77,,
9:22.0,Offensive rebound by Team,,81-77,,
9:22.0,,,81-77,,Loose ball foul by M. Gortat (drawn by J. Nurkic)
9:22.0,,,81-77,,J. Wall enters the game for T. Burke
9:10.0,D. Gallinari misses 3-pt shot from 28 ft,,81-77,,
9:08.0,,,81-77,,Defensive rebound by J. Wall
9:06.0,,,81-77,,Shooting foul by W. Chandler (drawn by J. Wall)
9:06.0,,,81-78,1,J. Wall makes free throw 1 of 2
9:06.0,,,81-79,1,J. Wall makes free throw 2 of 2
8:59.0,,,81-79,,Personal foul by K. Oubre (drawn by D. Gallinari)
8:59.0,Official timeout,,81-79,,
8:49.0,Offensive foul by J. Murray,,81-79,,
8:49.0,Turnover by J. Murray (offensive foul),,81-79,,
8:35.0,,,81-79,,M. Thornton misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by W. Chandler,,81-79,,
8:27.0,Turnover by J. Murray (bad pass),,81-79,,
8:16.0,,,81-79,,Turnover by J. Wall (palming)
8:16.0,,,81-79,,B. Beal enters the game for M. Thornton
8:14.0,J. Nelson enters the game for J. Murray,,81-79,,
7:59.0,Turnover by J. Nelson (bad pass; steal by K. Oubre),,81-79,,
7:54.0,,,81-81,2,K. Oubre makes 2-pt shot from 1 ft
7:36.0,W. Chandler misses 3-pt shot from 24 ft,,81-81,,
7:35.0,,,81-81,,Defensive rebound by K. Oubre
7:29.0,,,81-83,2,J. Wall makes 2-pt shot from 21 ft (assist by K. Oubre)
7:02.0,W. Barton misses 3-pt shot from 27 ft,,81-83,,
7:02.0,Offensive rebound by Team,,81-83,,
7:02.0,Turnover by Team (shot clock),,81-83,,
6:52.0,,,81-83,,J. Wall misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by J. Nurkic,,81-83,,
6:32.0,,,81-83,,Personal foul by O. Porter (drawn by J. Nurkic)
6:26.0,Turnover by J. Nurkic (lost ball; steal by O. Porter),,81-83,,
6:17.0,Personal foul by W. Barton (drawn by B. Beal),,81-83,,
6:10.0,,,81-83,,K. Oubre misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by W. Chandler,,81-83,,
5:48.0,J. Nelson misses 2-pt shot from 5 ft,,81-83,,
5:47.0,,,81-83,,Defensive rebound by M. Gortat
5:46.0,Personal foul by J. Nelson (drawn by M. Gortat),,81-83,,
5:46.0,,,81-83,,Washington full timeout
5:46.0,N. Jokic enters the game for J. Nurkic,,81-83,,
5:35.0,Personal foul by W. Barton (drawn by B. Beal),,81-83,,
5:35.0,,,81-84,1,B. Beal makes free throw 1 of 2
5:35.0,,,81-85,1,B. Beal makes free throw 2 of 2
5:20.0,Turnover by N. Jokic (lost ball),,81-85,,
5:07.0,,,81-85,,O. Porter misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by D. Gallinari,,81-85,,
4:46.0,N. Jokic makes 2-pt shot from 15 ft (assist by J. Nelson),2,83-85,,
4:30.0,,,83-85,,Turnover by O. Porter (bad pass; steal by W. Barton)
4:24.0,W. Barton misses 2-pt shot from 1 ft (block by M. Gortat),,83-85,,
4:23.0,,,83-85,,Defensive rebound by B. Beal
4:20.0,,,83-85,,Shooting foul by J. Nelson (drawn by J. Wall)
4:20.0,,,83-85,,J. Wall misses free throw 1 of 2
4:20.0,,,83-85,,Offensive rebound by Team
4:20.0,,,83-86,1,J. Wall makes free throw 2 of 2
3:58.0,Turnover by N. Jokic (traveling),,83-86,,
3:47.0,,,83-88,2,J. Wall makes 2-pt shot from 21 ft
3:46.0,Denver full timeout,,83-88,,
3:35.0,W. Chandler misses 2-pt shot from 2 ft (block by O. Porter),,83-88,,
3:32.0,Offensive rebound by N. Jokic,,83-88,,
3:25.0,D. Gallinari misses 3-pt shot from 28 ft,,83-88,,
3:24.0,Offensive rebound by N. Jokic,,83-88,,
3:18.0,W. Barton misses 3-pt shot from 29 ft,,83-88,,
3:16.0,,,83-88,,Defensive rebound by J. Wall
2:54.0,,,83-88,,J. Wall misses 3-pt shot from 34 ft
2:52.0,Defensive rebound by W. Chandler,,83-88,,
2:44.0,Turnover by J. Nelson (bad pass; steal by O. Porter),,83-88,,
2:39.0,,,83-88,,Turnover by B. Beal (bad pass)
2:25.0,J. Nelson makes 2-pt shot from 21 ft,2,85-88,,
2:05.0,,,85-88,,K. Oubre misses 2-pt shot from 20 ft
2:02.0,Defensive rebound by N. Jokic,,85-88,,
1:44.0,Turnover by D. Gallinari (bad pass; steal by J. Wall),,85-88,,
1:41.0,Personal take foul by J. Nelson (drawn by B. Beal),,85-88,,
1:41.0,,,85-89,1,B. Beal makes free throw 1 of 2
1:41.0,,,85-90,1,B. Beal makes free throw 2 of 2
