time,Minnesota,pts.away,score,pts.home,Phoenix
8:42.0,A. Wiggins makes free throw 2 of 2,1,9-5,,
8:42.0,,,8-5,,A. Len enters the game for M. Chriss
8:29.0,,,9-5,,E. Bledsoe misses 2-pt shot from 1 ft
8:27.0,,,9-5,,Offensive rebound by A. Len
8:20.0,,,9-5,,E. Bledsoe misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by A. Wiggins,,9-5,,
8:02.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Towns),3,12-5,,
8:00.0,,,12-5,,Phoenix full timeout
7:49.0,,,12-5,,Turnover by E. Bledsoe (lost ball; steal by Z. LaVine)
7:40.0,G. Dieng makes 2-pt shot from 20 ft (assist by Z. LaVine),2,14-5,,
7:17.0,,,14-7,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
6:59.0,Shooting foul by D. Booker (drawn by Z. LaVine),,14-7,,
6:59.0,Z. LaVine misses free throw 1 of 2,,14-7,,
6:59.0,Offensive rebound by Team,,14-7,,
6:59.0,Z. LaVine misses free throw 2 of 2,,14-7,,
6:58.0,,,14-7,,Defensive rebound by T. Chandler
6:45.0,,,14-7,,T. Warren misses 2-pt shot from 5 ft
6:44.0,,,14-7,,Offensive rebound by T. Warren
6:41.0,,,14-7,,T. Warren misses 2-pt shot from 5 ft (block by G. Dieng)
6:40.0,Defensive rebound by A. Wiggins,,14-7,,
6:25.0,K. Towns misses 2-pt shot from 4 ft,,14-7,,
6:23.0,,,14-7,,Defensive rebound by A. Len
6:18.0,Shooting block foul by R. Rubio (drawn by D. Booker),,14-7,,
6:18.0,,,14-8,1,D. Booker makes free throw 1 of 2
6:18.0,,,14-9,1,D. Booker makes free throw 2 of 2
6:17.0,Turnover by G. Dieng (bad pass),,14-9,,
5:56.0,,,14-9,,A. Len misses 2-pt shot from 20 ft
5:56.0,,,14-9,,Offensive rebound by T. Chandler
5:55.0,,,14-11,2,T. Chandler makes 2-pt shot from 2 ft
5:55.0,,,14-11,,Shooting foul by G. Dieng (drawn by T. Chandler)
5:55.0,,,14-12,1,T. Chandler makes free throw 1 of 1
5:43.0,Z. LaVine misses 3-pt shot from 25 ft,,14-12,,
5:42.0,,,14-12,,Defensive rebound by T. Chandler
5:30.0,,,14-15,3,E. Bledsoe makes 3-pt shot from 25 ft
5:12.0,,,14-15,,Personal foul by T. Warren
5:01.0,Turnover by Z. LaVine (traveling),,14-15,,
4:49.0,,,14-17,2,T. Warren makes 2-pt shot from 12 ft (assist by D. Booker)
4:38.0,K. Towns misses 2-pt shot from 16 ft,,14-17,,
4:38.0,,,14-17,,Defensive rebound by T. Chandler
4:32.0,,,14-17,,D. Booker misses 2-pt shot from 17 ft
4:30.0,Defensive rebound by A. Wiggins,,14-17,,
4:25.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,16-17,,
4:19.0,,,16-17,,Turnover by E. Bledsoe (discontinued dribble)
4:19.0,S. Muhammad enters the game for Z. LaVine,,16-17,,
4:04.0,Turnover by A. Wiggins (bad pass; steal by E. Bledsoe),,16-17,,
4:00.0,,,16-19,2,E. Bledsoe makes 2-pt shot from 1 ft
3:44.0,A. Wiggins misses 3-pt shot from 26 ft,,16-19,,
3:43.0,,,16-19,,Defensive rebound by A. Len
3:38.0,Shooting block foul by R. Rubio (drawn by E. Bledsoe),,16-19,,
3:38.0,,,16-20,1,E. Bledsoe makes free throw 1 of 2
3:38.0,,,16-20,,Violation by Team (jump ball)
3:38.0,,,16-21,1,E. Bledsoe makes free throw 2 of 2
3:38.0,K. Dunn enters the game for R. Rubio,,16-20,,
3:38.0,,,16-20,,P. Tucker enters the game for T. Warren
3:27.0,G. Dieng makes 2-pt shot from 4 ft (assist by K. Dunn),2,18-21,,
3:25.0,,,18-21,,Turnover by A. Len (lost ball)
3:05.0,S. Muhammad makes 3-pt shot from 27 ft (assist by A. Wiggins),3,21-21,,
2:39.0,,,21-21,,E. Bledsoe misses 2-pt shot from 17 ft
2:37.0,,,21-21,,Offensive rebound by A. Len
2:37.0,,,21-23,2,A. Len makes 2-pt shot from 2 ft
2:19.0,K. Dunn misses 3-pt shot from 24 ft,,21-23,,
2:18.0,Offensive rebound by G. Dieng,,21-23,,
2:11.0,G. Dieng misses 2-pt shot from 5 ft (block by T. Chandler),,21-23,,
2:09.0,Offensive rebound by Team,,21-23,,
2:09.0,Minnesota full timeout,,21-23,,
2:09.0,,,21-23,,B. Knight enters the game for E. Bledsoe
2:09.0,Jump ball: T. Chandler vs. G. Dieng (S. Muhammad gains possession),,,,Jump ball: T. Chandler vs. G. Dieng (S. Muhammad gains possession)
1:56.0,K. Dunn misses 2-pt shot from 20 ft,,21-23,,
1:55.0,,,21-23,,Defensive rebound by P. Tucker
1:44.0,,,21-23,,D. Booker misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by K. Dunn,,21-23,,
1:38.0,Turnover by K. Dunn (bad pass; steal by B. Knight),,21-23,,
1:32.0,,,21-25,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
1:05.0,K. Towns makes 2-pt shot from 2 ft,2,23-25,,
0:56.0,,,23-25,,T. Warren enters the game for T. Chandler
0:56.0,N. Bjelica enters the game for G. Dieng,,23-25,,
0:45.0,,,23-25,,B. Knight misses 2-pt shot from 13 ft
0:45.0,Defensive rebound by K. Dunn,,23-25,,
0:39.0,Turnover by K. Dunn (traveling),,23-25,,
0:32.0,,,23-27,2,D. Booker makes 2-pt shot from 13 ft
0:14.0,K. Dunn misses 3-pt shot from 24 ft,,23-27,,
0:13.0,,,23-27,,Defensive rebound by A. Len
0:03.0,,,23-27,,T. Warren misses 2-pt shot from 2 ft
0:03.0,,,23-27,,Offensive rebound by Team
0:00.0,,,23-27,,D. Booker misses 2-pt shot from 18 ft
0:00.0,,,23-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by K. Dunn (bad pass; steal by P. Tucker),,23-27,,
11:42.0,,,23-29,2,P. Tucker makes 2-pt shot from 2 ft
11:22.0,N. Bjelica misses 3-pt shot from 26 ft,,23-29,,
11:21.0,Offensive rebound by Team,,23-29,,
11:21.0,,,23-29,,Loose ball foul by T. Warren
11:09.0,S. Muhammad misses 2-pt shot from 3 ft,,23-29,,
11:08.0,Offensive rebound by N. Bjelica,,23-29,,
11:06.0,N. Bjelica misses 2-pt shot from 4 ft,,23-29,,
11:04.0,,,23-29,,Defensive rebound by P. Tucker
10:55.0,,,23-32,3,T. Ulis makes 3-pt shot from 25 ft (assist by P. Tucker)
10:39.0,N. Bjelica misses 3-pt shot from 25 ft,,23-32,,
10:39.0,,,23-32,,Defensive rebound by P. Tucker
10:32.0,,,23-34,2,T. Warren makes 2-pt shot from 4 ft (assist by P. Tucker)
10:32.0,Shooting block foul by N. Bjelica,,23-34,,
10:32.0,,,23-34,,T. Warren misses free throw 1 of 1
10:31.0,Defensive rebound by Z. LaVine,,23-34,,
10:12.0,,,23-34,,Personal foul by B. Knight (drawn by C. Aldrich)
10:07.0,C. Aldrich makes 2-pt shot at rim,2,25-34,,
9:52.0,,,25-34,,T. Warren misses 2-pt shot from 3 ft
9:52.0,Defensive rebound by C. Aldrich,,25-34,,
9:39.0,S. Muhammad makes 2-pt shot from 2 ft,2,27-34,,
9:23.0,,,27-34,,Shooting foul by C. Aldrich (drawn by A. Len)
9:23.0,,,27-35,1,A. Len makes free throw 1 of 2
9:23.0,,,27-36,1,A. Len makes free throw 2 of 2
9:06.0,N. Bjelica misses 2-pt shot from 10 ft,,27-36,,
9:04.0,,,27-36,,Defensive rebound by A. Len
8:59.0,,,27-38,2,B. Knight makes 2-pt shot from 1 ft
8:40.0,K. Dunn misses 3-pt shot from 25 ft,,27-38,,
8:39.0,,,27-38,,Defensive rebound by T. Ulis
8:26.0,,,27-38,,T. Ulis misses 2-pt shot from 3 ft
8:25.0,Defensive rebound by N. Bjelica,,27-38,,
8:23.0,,,27-38,,Personal foul by B. Knight (drawn by N. Bjelica)
8:23.0,Official timeout,,27-38,,
8:13.0,K. Dunn misses 2-pt shot from 1 ft,,27-38,,
8:11.0,Offensive rebound by C. Aldrich,,27-38,,
8:11.0,C. Aldrich makes 2-pt shot from 1 ft,2,29-38,,
7:57.0,,,29-38,,Turnover by T. Ulis (bad pass; steal by Z. LaVine)
7:53.0,K. Dunn makes 2-pt shot at rim (assist by Z. LaVine),2,31-38,,
7:31.0,,,31-38,,B. Knight misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by K. Dunn,,31-38,,
7:23.0,Z. LaVine makes 2-pt shot from 1 ft,2,33-38,,
7:17.0,,,33-38,,Phoenix full timeout
7:17.0,,,33-38,,E. Bledsoe enters the game for T. Warren
7:17.0,,,33-38,,D. Booker enters the game for T. Ulis
7:02.0,,,33-38,,E. Bledsoe misses 2-pt shot from 17 ft
6:59.0,Defensive rebound by C. Aldrich,,33-38,,
6:45.0,S. Muhammad makes 2-pt shot from 9 ft,2,35-38,,
6:29.0,,,35-38,,E. Bledsoe misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by S. Muhammad,,35-38,,
6:21.0,S. Muhammad makes 2-pt shot from 10 ft,2,37-38,,
6:03.0,,,37-38,,B. Knight misses 2-pt shot from 22 ft
6:01.0,Defensive rebound by C. Aldrich,,37-38,,
5:53.0,Turnover by Z. LaVine (bad pass; steal by P. Tucker),,37-38,,
5:49.0,,,37-38,,Shooting foul by K. Dunn (drawn by D. Booker)
5:49.0,,,37-39,1,D. Booker makes free throw 1 of 2
5:49.0,,,37-40,1,D. Booker makes free throw 2 of 2
5:49.0,,,37-39,,T. Chandler enters the game for A. Len
5:49.0,,,37-39,,M. Chriss enters the game for B. Knight
5:49.0,K. Towns enters the game for C. Aldrich,,37-39,,
5:41.0,K. Towns makes 2-pt shot at rim (assist by K. Dunn),2,39-40,,
5:28.0,,,39-40,,Shooting foul by K. Dunn (drawn by P. Tucker)
5:28.0,,,39-40,,P. Tucker misses free throw 1 of 2
5:28.0,,,39-40,,Offensive rebound by Team
5:28.0,,,39-41,1,P. Tucker makes free throw 2 of 2
5:18.0,S. Muhammad makes 2-pt shot from 2 ft (assist by K. Towns),2,41-41,,
5:18.0,Shooting foul by E. Bledsoe (drawn by S. Muhammad),,41-41,,
5:18.0,S. Muhammad makes free throw 1 of 1,1,42-41,,
5:04.0,,,42-41,,Turnover by E. Bledsoe (bad pass; steal by K. Towns)
5:04.0,,,42-41,,Personal take foul by E. Bledsoe (drawn by K. Towns)
5:04.0,K. Towns makes free throw 1 of 2,1,43-41,,
5:04.0,K. Towns makes free throw 2 of 2,1,44-41,,
5:04.0,R. Rubio enters the game for K. Dunn,,43-41,,
4:47.0,,,44-43,2,E. Bledsoe makes 2-pt shot from 3 ft
4:42.0,Minnesota full timeout,,44-43,,
4:33.0,Offensive charge foul by K. Towns,,44-43,,
4:33.0,Turnover by K. Towns (offensive foul),,44-43,,
4:33.0,A. Wiggins enters the game for Z. LaVine,,44-43,,
4:10.0,,,44-46,3,D. Booker makes 3-pt shot from 24 ft
3:58.0,A. Wiggins misses 2-pt shot from 4 ft,,44-46,,
3:58.0,,,44-46,,Defensive rebound by T. Chandler
3:53.0,,,44-46,,Shooting foul by N. Bjelica (drawn by P. Tucker)
3:53.0,,,44-47,1,P. Tucker makes free throw 1 of 2
3:53.0,,,44-48,1,P. Tucker makes free throw 2 of 2
3:53.0,G. Dieng enters the game for N. Bjelica,,44-47,,
3:47.0,,,44-48,,Personal foul by E. Bledsoe (drawn by R. Rubio)
3:47.0,R. Rubio makes free throw 1 of 2,1,45-48,,
3:47.0,R. Rubio misses free throw 2 of 2,,45-48,,
3:46.0,,,45-48,,Defensive rebound by M. Chriss
3:30.0,,,45-51,3,M. Chriss makes 3-pt shot from 24 ft (assist by E. Bledsoe)
3:15.0,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins),3,48-51,,
3:05.0,,,48-53,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
2:57.0,Minnesota full timeout,,48-53,,
2:47.0,K. Towns misses 2-pt shot from 9 ft,,48-53,,
2:45.0,Offensive rebound by R. Rubio,,48-53,,
2:41.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,50-53,,
2:29.0,,,50-53,,M. Chriss misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by K. Towns,,50-53,,
2:24.0,Turnover by K. Towns (bad pass),,50-53,,
2:13.0,,,50-53,,Turnover by E. Bledsoe (bad pass; steal by R. Rubio)
2:07.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,52-53,,
1:59.0,,,52-53,,M. Chriss misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by G. Dieng,,52-53,,
1:48.0,K. Towns makes 2-pt shot from 5 ft,2,54-53,,
1:23.0,,,54-53,,E. Bledsoe misses 2-pt shot from 23 ft
1:23.0,Defensive rebound by K. Towns,,54-53,,
1:08.0,G. Dieng makes 2-pt shot from 7 ft (assist by R. Rubio),2,56-53,,
0:53.0,,,56-53,,D. Booker misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by K. Towns,,56-53,,
0:42.0,K. Towns misses 2-pt shot from 21 ft,,56-53,,
0:40.0,Offensive rebound by G. Dieng,,56-53,,
0:40.0,G. Dieng misses 2-pt shot from 3 ft (block by P. Tucker),,56-53,,
0:39.0,Offensive rebound by G. Dieng,,56-53,,
0:39.0,G. Dieng misses 2-pt shot from 3 ft (block by M. Chriss),,56-53,,
0:34.0,,,56-53,,Defensive rebound by D. Booker
0:27.0,,,56-55,2,E. Bledsoe makes 2-pt shot from 3 ft
0:27.0,,,56-55,,Shooting foul by G. Dieng (drawn by E. Bledsoe)
0:27.0,,,56-56,1,E. Bledsoe makes free throw 1 of 1
0:09.0,S. Muhammad makes 3-pt shot from 23 ft (assist by R. Rubio),3,59-56,,
0:00.0,,,59-56,,E. Bledsoe misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by A. Wiggins,,59-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,R. Rubio makes 2-pt shot from 22 ft (assist by G. Dieng),2,61-56,,
11:08.0,,,61-56,,D. Booker misses 3-pt shot from 26 ft
11:08.0,,,61-56,,Offensive rebound by T. Chandler
11:03.0,,,61-56,,E. Bledsoe misses 3-pt shot from 26 ft
11:02.0,,,61-56,,Offensive rebound by T. Chandler
10:52.0,,,61-56,,T. Warren misses 2-pt shot from 21 ft
10:51.0,Defensive rebound by G. Dieng,,61-56,,
10:35.0,A. Wiggins makes 2-pt shot from 2 ft,2,63-56,,
10:30.0,,,63-56,,Offensive charge foul by T. Warren
10:30.0,,,63-56,,Turnover by T. Warren (offensive foul)
10:19.0,,,63-56,,Personal foul by M. Chriss (drawn by K. Towns)
10:16.0,Turnover by A. Wiggins (bad pass; steal by M. Chriss),,63-56,,
10:11.0,,,63-58,2,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe)
9:50.0,Z. LaVine makes 2-pt shot from 2 ft,2,65-58,,
9:41.0,,,65-58,,M. Chriss misses 2-pt shot at rim (block by G. Dieng)
9:41.0,,,65-58,,Offensive rebound by Team
9:34.0,,,65-60,2,T. Chandler makes 2-pt shot at rim (assist by T. Warren)
9:19.0,Shooting foul by M. Chriss (drawn by K. Towns),,65-60,,
9:19.0,K. Towns makes free throw 1 of 2,1,66-60,,
9:19.0,K. Towns misses free throw 2 of 2,,66-60,,
9:19.0,,,66-60,,A. Len enters the game for M. Chriss
9:18.0,,,66-60,,Defensive rebound by A. Len
9:06.0,,,66-60,,D. Booker misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by K. Towns,,66-60,,
8:50.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,68-60,,
8:34.0,,,68-60,,D. Booker misses 2-pt shot from 2 ft
8:33.0,,,68-60,,Offensive rebound by A. Len
8:30.0,,,68-60,,Turnover by A. Len (back court)
8:20.0,K. Towns misses 2-pt shot from 4 ft,,68-60,,
8:19.0,,,68-60,,Defensive rebound by T. Chandler
8:16.0,,,68-60,,Offensive charge foul by E. Bledsoe
8:16.0,,,68-60,,Turnover by E. Bledsoe (offensive foul)
8:03.0,Z. LaVine misses 3-pt shot from 23 ft,,68-60,,
8:03.0,,,68-60,,Defensive rebound by T. Warren
7:54.0,,,68-60,,D. Booker misses 2-pt shot from 2 ft (block by G. Dieng)
7:53.0,,,68-60,,Offensive rebound by T. Chandler
7:53.0,,,68-62,2,T. Chandler makes 2-pt shot from 2 ft
7:41.0,G. Dieng makes 2-pt shot from 21 ft (assist by R. Rubio),2,70-62,,
7:19.0,,,70-62,,T. Ulis enters the game for E. Bledsoe
7:18.0,Personal foul by Z. LaVine (drawn by D. Booker),,70-62,,
7:11.0,,,70-62,,Turnover by A. Len (bad pass; steal by K. Towns)
6:54.0,Z. LaVine makes 2-pt shot from 2 ft,2,72-62,,
6:41.0,,,72-62,,D. Booker misses 2-pt shot from 1 ft (block by K. Towns)
6:40.0,Defensive rebound by R. Rubio,,72-62,,
6:36.0,,,72-62,,Shooting block foul by T. Ulis (drawn by R. Rubio)
6:36.0,R. Rubio makes free throw 1 of 2,1,73-62,,
6:36.0,R. Rubio makes free throw 2 of 2,1,74-62,,
6:22.0,,,74-62,,T. Ulis misses 2-pt shot from 21 ft
6:20.0,Defensive rebound by G. Dieng,,74-62,,
6:08.0,R. Rubio makes 2-pt shot at rim,2,76-62,,
6:07.0,,,76-62,,Phoenix full timeout
6:07.0,,,76-62,,B. Knight enters the game for A. Len
6:07.0,,,76-62,,P. Tucker enters the game for T. Ulis
5:46.0,,,76-64,2,B. Knight makes 2-pt shot from 21 ft
5:31.0,A. Wiggins misses 2-pt shot from 3 ft (block by T. Chandler),,76-64,,
5:30.0,Offensive rebound by A. Wiggins,,76-64,,
5:30.0,A. Wiggins misses 2-pt shot from 1 ft,,76-64,,
5:29.0,Offensive rebound by A. Wiggins,,76-64,,
5:28.0,A. Wiggins misses 2-pt shot from 1 ft,,76-64,,
5:25.0,Offensive rebound by R. Rubio,,76-64,,
5:22.0,Z. LaVine misses 2-pt shot from 1 ft,,76-64,,
5:22.0,,,76-64,,Defensive rebound by T. Chandler
5:13.0,Personal foul by Z. LaVine (drawn by B. Knight),,76-64,,
5:13.0,,,76-65,1,B. Knight makes free throw 1 of 2
5:13.0,,,76-66,1,B. Knight makes free throw 2 of 2
5:13.0,S. Muhammad enters the game for Z. LaVine,,76-65,,
4:54.0,A. Wiggins makes 2-pt shot from 18 ft,2,78-66,,
4:40.0,,,78-68,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
4:24.0,R. Rubio makes 2-pt shot from 20 ft,2,80-68,,
3:59.0,,,80-68,,D. Booker misses 2-pt shot from 16 ft
3:59.0,,,80-68,,Offensive rebound by Team
3:46.0,,,80-68,,T. Warren misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by R. Rubio,,80-68,,
3:43.0,Shooting foul by T. Warren (drawn by S. Muhammad),,80-68,,
3:43.0,S. Muhammad makes free throw 1 of 2,1,81-68,,
3:43.0,S. Muhammad misses free throw 2 of 2,,81-68,,
3:42.0,,,81-68,,Defensive rebound by T. Chandler
3:19.0,,,81-68,,P. Tucker misses 2-pt shot from 20 ft
3:18.0,,,81-68,,Offensive rebound by T. Chandler
3:18.0,,,81-70,2,T. Chandler makes 2-pt shot from 1 ft
3:01.0,R. Rubio misses 2-pt shot from 3 ft,,81-70,,
2:59.0,,,81-70,,Defensive rebound by T. Chandler
2:56.0,,,81-70,,Shooting foul by K. Towns (drawn by P. Tucker)
2:56.0,Minnesota full timeout,,81-70,,
2:56.0,,,81-70,,P. Tucker misses free throw 1 of 2
2:56.0,,,81-70,,Offensive rebound by Team
2:56.0,,,81-71,1,P. Tucker makes free throw 2 of 2
2:44.0,A. Wiggins makes 2-pt shot at rim,2,83-71,,
2:25.0,,,83-71,,D. Booker misses 2-pt shot from 10 ft
2:23.0,,,83-71,,Offensive rebound by T. Chandler
2:17.0,,,83-73,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
1:55.0,R. Rubio misses 2-pt shot from 2 ft,,83-73,,
1:53.0,,,83-73,,Defensive rebound by T. Chandler
1:50.0,,,83-73,,Shooting foul by G. Dieng (drawn by B. Knight)
1:50.0,,,83-74,1,B. Knight makes free throw 1 of 2
1:50.0,,,83-75,1,B. Knight makes free throw 2 of 2
1:50.0,K. Dunn enters the game for R. Rubio,,83-74,,
1:50.0,N. Bjelica enters the game for K. Towns,,83-74,,
1:30.0,G. Dieng makes 2-pt shot from 3 ft (assist by S. Muhammad),2,85-75,,
1:13.0,,,85-77,2,T. Warren makes 2-pt shot from 14 ft (assist by P. Tucker)
0:56.0,K. Dunn misses 2-pt shot from 6 ft,,85-77,,
0:54.0,,,85-77,,Defensive rebound by P. Tucker
0:51.0,,,85-79,2,T. Warren makes 2-pt shot from 2 ft (assist by P. Tucker)
0:32.0,A. Wiggins makes 2-pt shot from 1 ft,2,87-79,,
0:11.0,,,87-79,,Turnover by D. Booker (lost ball)
0:01.0,A. Wiggins misses 3-pt shot from 26 ft,,87-79,,
0:00.0,,,87-79,,Defensive rebound by B. Knight
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,87-81,2,B. Knight makes 2-pt shot from 18 ft
11:24.0,Z. LaVine makes 3-pt shot from 26 ft,3,90-81,,
11:13.0,,,90-81,,B. Knight misses 2-pt shot from 9 ft
11:12.0,Defensive rebound by S. Muhammad,,90-81,,
10:49.0,Turnover by K. Dunn (bad pass; steal by P. Tucker),,90-81,,
10:40.0,,,90-81,,L. Barbosa misses 3-pt shot from 25 ft
10:40.0,,,90-81,,Offensive rebound by A. Len
10:36.0,,,90-81,,Shooting foul by C. Aldrich (drawn by A. Len)
10:36.0,,,90-83,2,A. Len makes 2-pt shot from 3 ft (assist by B. Knight)
10:36.0,,,90-84,1,A. Len makes free throw 1 of 1
10:36.0,K. Towns enters the game for C. Aldrich,,90-83,,
10:18.0,Turnover by K. Dunn (bad pass; steal by P. Tucker),,90-84,,
10:06.0,,,90-86,2,A. Len makes 2-pt shot from 2 ft (assist by L. Barbosa)
10:06.0,Minnesota full timeout,,90-86,,
10:06.0,R. Rubio enters the game for K. Dunn,,90-86,,
10:06.0,A. Wiggins enters the game for N. Bjelica,,90-86,,
9:52.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,92-86,,
9:38.0,,,92-86,,L. Barbosa misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by K. Towns,,92-86,,
9:38.0,,,92-86,,Personal foul by A. Len (drawn by K. Towns)
9:23.0,,,92-86,,Personal foul by L. Barbosa (drawn by A. Wiggins)
9:11.0,Offensive foul by K. Towns,,92-86,,
9:11.0,Turnover by K. Towns (offensive foul),,92-86,,
8:57.0,,,92-86,,D. Booker misses 2-pt shot from 21 ft
8:55.0,Defensive rebound by S. Muhammad,,92-86,,
8:50.0,S. Muhammad misses 3-pt shot from 26 ft,,92-86,,
8:50.0,,,92-86,,Defensive rebound by Team
8:36.0,,,92-86,,Turnover by D. Booker (bad pass; steal by A. Wiggins)
8:16.0,R. Rubio misses 2-pt shot from 19 ft,,92-86,,
8:14.0,,,92-86,,Defensive rebound by L. Barbosa
7:57.0,,,92-88,2,D. Booker makes 2-pt shot from 18 ft (assist by P. Tucker)
7:39.0,S. Muhammad misses 2-pt shot from 11 ft,,92-88,,
7:37.0,,,92-88,,Defensive rebound by B. Knight
7:37.0,,,92-88,,E. Bledsoe enters the game for L. Barbosa
7:22.0,,,92-88,,D. Booker misses 2-pt shot from 20 ft
7:22.0,,,92-88,,Offensive rebound by A. Len
7:17.0,,,92-91,3,D. Booker makes 3-pt shot from 27 ft (assist by P. Tucker)
7:06.0,A. Wiggins misses 2-pt shot from 5 ft,,92-91,,
7:04.0,,,92-91,,Defensive rebound by E. Bledsoe
7:00.0,,,92-93,2,D. Booker makes 2-pt shot from 22 ft (assist by E. Bledsoe)
6:57.0,Minnesota full timeout,,92-93,,
6:57.0,G. Dieng enters the game for S. Muhammad,,92-93,,
6:46.0,A. Wiggins makes 2-pt shot from 14 ft,2,94-93,,
6:26.0,,,94-93,,E. Bledsoe misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by K. Towns,,94-93,,
6:12.0,,,94-93,,Personal foul by D. Booker (drawn by A. Wiggins)
6:12.0,,,94-93,,T. Chandler enters the game for A. Len
6:05.0,Shooting foul by T. Chandler (drawn by A. Wiggins),,94-93,,
6:05.0,A. Wiggins makes free throw 1 of 2,1,95-93,,
6:05.0,A. Wiggins makes free throw 2 of 2,1,96-93,,
5:45.0,,,96-96,3,D. Booker makes 3-pt shot from 25 ft
5:25.0,Shooting foul by D. Booker (drawn by R. Rubio),,96-96,,
5:25.0,R. Rubio makes free throw 1 of 2,1,97-96,,
5:25.0,R. Rubio makes free throw 2 of 2,1,98-96,,
5:13.0,Shooting block foul by G. Dieng (drawn by T. Chandler),,98-96,,
5:13.0,,,98-97,1,T. Chandler makes free throw 1 of 2
5:13.0,,,98-98,1,T. Chandler makes free throw 2 of 2
4:59.0,A. Wiggins misses 2-pt shot from 11 ft,,98-98,,
4:59.0,,,98-98,,Defensive rebound by P. Tucker
4:44.0,,,98-98,,E. Bledsoe misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by K. Towns,,98-98,,
4:34.0,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio),2,100-98,,
4:12.0,,,100-98,,Turnover by D. Booker (lost ball; steal by G. Dieng)
