time,Portland,pts.away,score,pts.home,LA Clippers
0:03.0,,,16-36,,J. Crawford misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by A. Crabbe,,16-36,,
0:01.0,Turnover by A. Crabbe (lost ball; steal by M. Speights),,16-36,,
0:01.0,,,16-36,,A. Rivers misses 2-pt shot from 19 ft
0:00.0,,,16-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,N. Vonleh misses 2-pt shot from 7 ft,,16-36,,
11:37.0,,,16-36,,Defensive rebound by M. Speights
11:14.0,,,16-39,3,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers)
11:02.0,N. Vonleh misses 2-pt shot from 7 ft,,16-39,,
11:00.0,,,16-39,,Defensive rebound by M. Speights
10:50.0,,,16-39,,R. Felton misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by C. McCollum,,16-39,,
10:39.0,C. McCollum misses 2-pt shot from 16 ft,,16-39,,
10:37.0,,,16-39,,Defensive rebound by M. Speights
10:29.0,,,16-41,2,J. Crawford makes 2-pt shot from 20 ft
10:12.0,N. Vonleh misses 3-pt shot from 25 ft,,16-41,,
10:11.0,,,16-41,,Defensive rebound by W. Johnson
10:06.0,,,16-43,2,A. Rivers makes 2-pt shot from 3 ft
10:06.0,,,16-43,,Shooting foul by N. Vonleh (drawn by A. Rivers)
10:06.0,Portland full timeout,,16-43,,
10:06.0,,,16-44,1,A. Rivers makes free throw 1 of 1
10:06.0,S. Napier enters the game for N. Vonleh,,16-43,,
9:54.0,C. McCollum makes 2-pt shot from 4 ft,2,18-44,,
9:38.0,,,18-44,,M. Speights misses 2-pt shot from 4 ft
9:37.0,,,18-44,,Offensive rebound by M. Speights
9:37.0,,,18-44,,Shooting foul by E. Turner (drawn by M. Speights)
9:37.0,,,18-45,1,M. Speights makes free throw 1 of 2
9:37.0,,,18-46,1,M. Speights makes free throw 2 of 2
9:21.0,S. Napier misses 3-pt shot from 26 ft,,18-46,,
9:20.0,,,18-46,,Defensive rebound by J. Crawford
9:14.0,,,18-48,2,M. Speights makes 2-pt shot from 4 ft (assist by J. Crawford)
9:06.0,M. Leonard misses 3-pt shot from 25 ft,,18-48,,
9:04.0,,,18-48,,Defensive rebound by W. Johnson
8:41.0,,,18-48,,A. Rivers misses 3-pt shot from 27 ft
8:40.0,Defensive rebound by S. Napier,,18-48,,
8:30.0,Turnover by M. Leonard (3 sec),,18-48,,
8:11.0,,,18-48,,J. Crawford misses 3-pt shot from 27 ft
8:10.0,Defensive rebound by C. McCollum,,18-48,,
8:05.0,Turnover by C. McCollum (bad pass; steal by W. Johnson),,18-48,,
8:03.0,,,18-48,,Turnover by W. Johnson (bad pass; steal by S. Napier)
7:58.0,C. McCollum misses 3-pt shot from 27 ft,,18-48,,
7:56.0,,,18-48,,Defensive rebound by M. Speights
7:42.0,,,18-50,2,W. Johnson makes 2-pt shot from 1 ft (assist by R. Felton)
7:42.0,Portland full timeout,,18-50,,
7:42.0,M. Plumlee enters the game for A. Crabbe,,18-50,,
7:42.0,D. Lillard enters the game for M. Leonard,,18-50,,
7:25.0,M. Plumlee misses 2-pt shot from 2 ft (block by M. Speights),,18-50,,
7:24.0,Offensive rebound by M. Plumlee,,18-50,,
7:24.0,Shooting foul by W. Johnson (drawn by M. Plumlee),,18-50,,
7:24.0,M. Plumlee makes free throw 1 of 2,1,19-50,,
7:24.0,M. Plumlee makes free throw 2 of 2,1,20-50,,
7:00.0,,,20-50,,M. Speights misses 2-pt shot from 4 ft
6:57.0,,,20-50,,Offensive rebound by W. Johnson
6:51.0,,,20-50,,Turnover by M. Speights (bad pass; steal by C. McCollum)
6:46.0,C. McCollum makes 2-pt shot from 4 ft (assist by S. Napier),2,22-50,,
6:38.0,Personal foul by C. McCollum (drawn by J. Crawford),,22-50,,
6:38.0,,,22-50,,J. Redick enters the game for A. Rivers
6:38.0,,,22-50,,D. Jordan enters the game for M. Speights
6:38.0,,,22-50,,C. Paul enters the game for R. Felton
6:32.0,,,22-52,2,C. Paul makes 2-pt shot from 8 ft
6:15.0,Turnover by C. McCollum (lost ball),,22-52,,
6:15.0,,,22-52,,B. Griffin enters the game for W. Johnson
5:57.0,,,22-52,,J. Crawford misses 3-pt shot from 27 ft
5:56.0,Defensive rebound by E. Turner,,22-52,,
5:51.0,,,22-52,,L. Mbah a Moute enters the game for J. Crawford
5:51.0,M. Harkless enters the game for E. Turner,,22-52,,
5:36.0,M. Harkless makes 3-pt shot from 26 ft (assist by M. Plumlee),3,25-52,,
5:07.0,,,25-52,,C. Paul misses 2-pt shot from 5 ft
5:03.0,,,25-52,,Offensive rebound by D. Jordan
5:03.0,,,25-52,,D. Jordan misses 2-pt shot from 3 ft
5:03.0,Defensive rebound by S. Napier,,25-52,,
4:54.0,S. Napier misses 2-pt shot from 10 ft,,25-52,,
4:52.0,,,25-52,,Defensive rebound by B. Griffin
4:42.0,,,25-52,,Shooting foul by D. Lillard (drawn by B. Griffin)
4:42.0,,,25-53,1,B. Griffin makes free throw 1 of 2
4:42.0,,,25-54,1,B. Griffin makes free throw 2 of 2
4:42.0,A. Crabbe enters the game for S. Napier,,25-53,,
4:24.0,Turnover by D. Lillard (bad pass; steal by C. Paul),,25-54,,
4:17.0,,,25-54,,L. Mbah a Moute misses 2-pt shot from 17 ft
4:15.0,,,25-54,,Offensive rebound by D. Jordan
4:15.0,,,25-54,,Shooting foul by M. Plumlee (drawn by D. Jordan)
4:15.0,,,25-54,,D. Jordan misses free throw 1 of 2
4:15.0,,,25-54,,Offensive rebound by Team
4:15.0,,,25-54,,D. Jordan misses free throw 2 of 2
4:14.0,Defensive rebound by M. Harkless,,25-54,,
4:05.0,D. Lillard misses 2-pt shot from 3 ft,,25-54,,
4:02.0,,,25-54,,Defensive rebound by D. Jordan
3:56.0,,,25-57,3,C. Paul makes 3-pt shot from 26 ft
3:32.0,A. Crabbe makes 2-pt shot from 7 ft (assist by M. Harkless),2,27-57,,
3:13.0,Personal foul by C. McCollum (drawn by J. Redick),,27-57,,
3:13.0,,,27-57,,J. Redick misses free throw 1 of 2
3:13.0,,,27-57,,Offensive rebound by Team
3:13.0,,,27-58,1,J. Redick makes free throw 2 of 2
2:51.0,A. Crabbe makes 2-pt shot from 4 ft (assist by M. Plumlee),2,29-58,,
2:29.0,,,29-58,,C. Paul misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by Team,,29-58,,
2:29.0,,,29-58,,Loose ball foul by D. Jordan (drawn by M. Plumlee)
2:29.0,Official timeout,,29-58,,
2:10.0,M. Plumlee misses 2-pt shot from 18 ft,,29-58,,
2:08.0,Offensive rebound by C. McCollum,,29-58,,
2:03.0,A. Crabbe misses 2-pt shot from 7 ft,,29-58,,
2:00.0,,,29-58,,Defensive rebound by D. Jordan
1:44.0,,,29-58,,B. Griffin misses 2-pt shot from 4 ft
1:40.0,Defensive rebound by M. Harkless,,29-58,,
1:35.0,A. Crabbe misses 3-pt shot from 25 ft,,29-58,,
1:34.0,,,29-58,,Defensive rebound by J. Redick
1:29.0,,,29-58,,LA Clippers full timeout
1:19.0,,,29-58,,C. Paul misses 2-pt shot from 3 ft
1:16.0,,,29-58,,Offensive rebound by L. Mbah a Moute
1:11.0,,,29-60,2,J. Redick makes 2-pt shot from 14 ft (assist by D. Jordan)
0:56.0,Shooting foul by L. Mbah a Moute (drawn by D. Lillard),,29-60,,
0:56.0,D. Lillard makes free throw 1 of 3,1,30-60,,
0:56.0,D. Lillard makes free throw 2 of 3,1,31-60,,
0:56.0,D. Lillard makes free throw 3 of 3,1,32-60,,
0:42.0,,,32-60,,J. Redick misses 2-pt shot from 13 ft
0:40.0,Defensive rebound by C. McCollum,,32-60,,
0:30.0,M. Plumlee misses 2-pt shot from 18 ft,,32-60,,
0:29.0,,,32-60,,Defensive rebound by C. Paul
0:07.0,,,32-60,,C. Paul misses 3-pt shot from 26 ft
0:06.0,,,32-60,,Offensive rebound by Team
0:06.0,,,32-60,,LA Clippers full timeout
0:06.0,S. Napier enters the game for C. McCollum,,32-60,,
0:06.0,,,32-60,,J. Crawford enters the game for L. Mbah a Moute
0:04.0,,,32-60,,Shooting foul by M. Harkless (drawn by B. Griffin)
0:04.0,,,32-61,1,B. Griffin makes free throw 1 of 2
0:04.0,,,32-61,,B. Griffin misses free throw 2 of 2
0:04.0,,,32-61,,L. Mbah a Moute enters the game for J. Crawford
0:04.0,,,32-61,,A. Rivers enters the game for J. Redick
0:04.0,M. Leonard enters the game for M. Harkless,,32-61,,
0:04.0,C. McCollum enters the game for S. Napier,,32-61,,
0:03.0,,,32-61,,Offensive rebound by D. Jordan
0:03.0,,,32-61,,D. Jordan misses 2-pt shot from 3 ft
0:02.0,Defensive rebound by M. Plumlee,,32-61,,
0:01.0,M. Plumlee misses 3-pt shot from 62 ft,,32-61,,
0:00.0,Offensive rebound by Team,,32-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,C. McCollum misses 2-pt shot from 5 ft,,32-61,,
11:34.0,,,32-61,,Defensive rebound by L. Mbah a Moute
11:31.0,,,32-61,,Shooting foul by M. Plumlee (drawn by D. Jordan)
11:31.0,,,32-62,1,D. Jordan makes free throw 1 of 2
11:31.0,,,32-62,,D. Jordan misses free throw 2 of 2
11:28.0,Defensive rebound by E. Turner,,32-62,,
11:14.0,E. Turner makes 2-pt shot from 14 ft,2,34-62,,
11:14.0,Shooting foul by C. Paul (drawn by E. Turner),,34-62,,
11:14.0,E. Turner makes free throw 1 of 1,1,35-62,,
10:59.0,,,35-64,2,J. Redick makes 2-pt shot from 7 ft (assist by C. Paul)
10:45.0,M. Plumlee misses 2-pt shot from 6 ft (block by D. Jordan),,35-64,,
10:43.0,,,35-64,,Defensive rebound by B. Griffin
10:37.0,,,35-67,3,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin)
10:21.0,M. Plumlee misses 2-pt shot from 4 ft,,35-67,,
10:17.0,,,35-67,,Defensive rebound by B. Griffin
10:15.0,,,35-69,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
9:57.0,E. Turner misses 3-pt shot from 26 ft,,35-69,,
9:56.0,,,35-69,,Defensive rebound by D. Jordan
9:45.0,,,35-71,2,C. Paul makes 2-pt shot from 12 ft
9:43.0,Portland full timeout,,35-71,,
9:31.0,,,35-71,,Violation by D. Jordan (kicked ball)
9:20.0,E. Turner misses 3-pt shot from 26 ft,,35-71,,
9:19.0,,,35-71,,Defensive rebound by L. Mbah a Moute
9:10.0,Personal foul by E. Turner (drawn by C. Paul),,35-71,,
8:57.0,,,35-71,,Shooting foul by C. McCollum (drawn by J. Redick)
8:57.0,,,35-72,1,J. Redick makes free throw 1 of 2
8:57.0,,,35-73,1,J. Redick makes free throw 2 of 2
8:39.0,C. McCollum misses 2-pt shot from 3 ft,,35-73,,
8:37.0,Offensive rebound by M. Plumlee,,35-73,,
8:35.0,Turnover by M. Plumlee (lost ball; steal by J. Redick),,35-73,,
8:20.0,,,35-76,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by B. Griffin)
8:09.0,D. Lillard misses 3-pt shot from 27 ft,,35-76,,
8:09.0,,,35-76,,Defensive rebound by Team
8:02.0,,,35-76,,C. Paul misses 2-pt shot from 13 ft
7:58.0,Defensive rebound by M. Plumlee,,35-76,,
7:47.0,M. Plumlee misses 2-pt shot from 19 ft,,35-76,,
7:45.0,,,35-76,,Defensive rebound by B. Griffin
7:36.0,,,35-78,2,B. Griffin makes 2-pt shot from 14 ft
7:16.0,M. Plumlee misses 2-pt shot from 5 ft (block by B. Griffin),,35-78,,
7:14.0,,,35-78,,Defensive rebound by L. Mbah a Moute
7:12.0,,,35-78,,Shooting foul by D. Lillard (drawn by L. Mbah a Moute)
7:12.0,,,35-78,,L. Mbah a Moute misses free throw 1 of 2
7:12.0,,,35-78,,Offensive rebound by Team
7:12.0,,,35-78,,L. Mbah a Moute misses free throw 2 of 2
7:12.0,M. Leonard enters the game for M. Plumlee,,35-78,,
7:09.0,Defensive rebound by E. Turner,,35-78,,
7:01.0,D. Lillard misses 2-pt shot from 18 ft,,35-78,,
7:00.0,,,35-78,,Defensive rebound by B. Griffin
6:43.0,,,35-78,,Turnover by D. Jordan (3 sec)
6:43.0,,,35-78,,Technical foul by D. Jordan
6:43.0,D. Lillard makes technical free throw,1,36-78,,
6:32.0,C. McCollum misses 3-pt shot from 27 ft,,36-78,,
6:31.0,,,36-78,,Defensive rebound by B. Griffin
6:22.0,,,36-80,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:12.0,C. McCollum misses 2-pt shot from 2 ft,,36-80,,
6:11.0,,,36-80,,Defensive rebound by D. Jordan
6:00.0,,,36-80,,J. Redick misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by D. Lillard,,36-80,,
5:51.0,D. Lillard misses 2-pt shot from 19 ft,,36-80,,
5:49.0,Offensive rebound by E. Turner,,36-80,,
5:46.0,C. McCollum misses 2-pt shot from 1 ft (block by D. Jordan),,36-80,,
5:46.0,Offensive rebound by Team,,36-80,,
5:43.0,M. Leonard makes 2-pt shot from 15 ft (assist by E. Turner),2,38-80,,
5:25.0,,,38-80,,B. Griffin misses 2-pt shot at rim
5:23.0,Defensive rebound by M. Harkless,,38-80,,
5:20.0,E. Turner misses 2-pt shot from 3 ft (block by D. Jordan),,38-80,,
5:18.0,Offensive rebound by E. Turner,,38-80,,
5:17.0,E. Turner makes 2-pt shot from 3 ft,2,40-80,,
5:16.0,Violation by Team (jump ball),,40-80,,
4:57.0,,,40-80,,C. Paul misses 3-pt shot from 26 ft
4:56.0,,,40-80,,Offensive rebound by C. Paul
4:50.0,,,40-82,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:39.0,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard),3,43-82,,
4:29.0,Personal foul by E. Turner (drawn by C. Paul),,43-82,,
4:29.0,,,43-83,1,C. Paul makes free throw 1 of 2
4:29.0,,,43-84,1,C. Paul makes free throw 2 of 2
4:21.0,D. Lillard misses 2-pt shot from 2 ft,,43-84,,
4:19.0,,,43-84,,Defensive rebound by L. Mbah a Moute
4:10.0,,,43-84,,D. Jordan misses 2-pt shot from 2 ft (block by M. Leonard)
4:10.0,Defensive rebound by M. Leonard,,43-84,,
4:10.0,,,43-84,,Personal take foul by D. Jordan (drawn by M. Leonard)
3:58.0,Turnover by M. Harkless (bad pass; steal by B. Griffin),,43-84,,
3:55.0,,,43-86,2,B. Griffin makes 2-pt shot from 1 ft
3:55.0,,,43-86,,Shooting foul by D. Lillard (drawn by B. Griffin)
3:55.0,Portland full timeout,,43-86,,
3:55.0,,,43-87,1,B. Griffin makes free throw 1 of 1
3:55.0,S. Napier enters the game for M. Harkless,,43-86,,
3:55.0,A. Crabbe enters the game for C. McCollum,,43-86,,
3:55.0,N. Vonleh enters the game for D. Lillard,,43-86,,
3:55.0,J. Layman enters the game for E. Turner,,43-86,,
3:54.0,,,43-87,,Personal take foul by C. Paul (drawn by S. Napier)
3:54.0,,,43-87,,W. Johnson enters the game for L. Mbah a Moute
3:54.0,,,43-87,,R. Felton enters the game for B. Griffin
3:54.0,,,43-87,,J. Crawford enters the game for D. Jordan
3:54.0,,,43-87,,M. Speights enters the game for J. Redick
3:54.0,,,43-87,,A. Rivers enters the game for C. Paul
3:31.0,N. Vonleh misses 2-pt shot from 6 ft (block by W. Johnson),,43-87,,
3:29.0,Offensive rebound by M. Leonard,,43-87,,
3:29.0,M. Leonard makes 2-pt shot from 1 ft,2,45-87,,
3:08.0,,,45-90,3,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers)
3:01.0,Turnover by M. Leonard (bad pass; steal by R. Felton),,45-90,,
2:48.0,,,45-93,3,A. Rivers makes 3-pt shot from 27 ft (assist by J. Crawford)
2:23.0,M. Leonard misses 2-pt shot from 16 ft,,45-93,,
2:19.0,,,45-93,,Defensive rebound by M. Speights
2:14.0,,,45-93,,W. Johnson misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by N. Vonleh,,45-93,,
2:03.0,A. Crabbe makes 2-pt shot from 17 ft (assist by J. Layman),2,47-93,,
1:36.0,,,47-93,,M. Speights misses 2-pt shot from 5 ft
1:34.0,Defensive rebound by M. Leonard,,47-93,,
1:25.0,J. Layman makes 3-pt shot from 24 ft (assist by A. Crabbe),3,50-93,,
1:03.0,,,50-93,,R. Felton misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by A. Crabbe,,50-93,,
0:45.0,S. Napier misses 3-pt shot from 26 ft,,50-93,,
0:43.0,,,50-93,,Defensive rebound by M. Speights
0:36.0,,,50-93,,J. Crawford misses 2-pt shot from 18 ft
0:34.0,Defensive rebound by M. Leonard,,50-93,,
0:22.0,S. Napier misses 3-pt shot from 27 ft,,50-93,,
0:21.0,Offensive rebound by N. Vonleh,,50-93,,
0:18.0,N. Vonleh misses 2-pt shot from 3 ft,,50-93,,
0:16.0,,,50-93,,Defensive rebound by W. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,50-93,,M. Speights misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by N. Vonleh,,50-93,,
11:34.0,S. Napier misses 3-pt shot from 24 ft,,50-93,,
11:33.0,Offensive rebound by M. Leonard,,50-93,,
11:31.0,M. Leonard makes 2-pt shot from 4 ft,2,52-93,,
11:17.0,,,52-96,3,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers)
10:58.0,M. Leonard misses 2-pt shot from 18 ft,,52-96,,
10:56.0,,,52-96,,Defensive rebound by W. Johnson
10:51.0,,,52-96,,M. Speights misses 3-pt shot from 26 ft
10:49.0,,,52-96,,Offensive rebound by W. Johnson
10:43.0,,,52-96,,A. Rivers misses 3-pt shot from 27 ft
10:42.0,Defensive rebound by N. Vonleh,,52-96,,
10:33.0,S. Napier makes 2-pt shot from 2 ft (assist by N. Vonleh),2,54-96,,
10:17.0,,,54-96,,W. Johnson misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by J. Layman,,54-96,,
10:05.0,N. Vonleh makes 3-pt shot from 27 ft (assist by J. Layman),3,57-96,,
9:44.0,,,57-98,2,M. Speights makes 2-pt shot from 2 ft (assist by A. Rivers)
9:32.0,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard),3,60-98,,
9:16.0,,,60-98,,J. Crawford misses 3-pt shot from 28 ft
9:15.0,Defensive rebound by M. Leonard,,60-98,,
9:10.0,S. Napier makes 2-pt shot from 8 ft,2,62-98,,
9:10.0,Shooting foul by J. Crawford (drawn by S. Napier),,62-98,,
9:10.0,S. Napier misses free throw 1 of 1,,62-98,,
9:10.0,,,62-98,,B. Bass enters the game for M. Speights
9:10.0,,,62-98,,A. Anderson enters the game for W. Johnson
9:08.0,,,62-98,,Defensive rebound by A. Rivers
8:55.0,,,62-98,,A. Anderson misses 2-pt shot from 3 ft
8:51.0,,,62-98,,Offensive rebound by A. Anderson
8:40.0,,,62-98,,B. Bass misses 2-pt shot from 11 ft
8:39.0,Defensive rebound by M. Leonard,,62-98,,
8:33.0,J. Layman misses 3-pt shot from 26 ft,,62-98,,
8:31.0,,,62-98,,Defensive rebound by B. Bass
8:12.0,,,62-98,,R. Felton misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by N. Vonleh,,62-98,,
8:05.0,,,62-98,,Personal foul by A. Anderson (drawn by M. Leonard)
8:05.0,Official timeout,,62-98,,
8:05.0,P. Connaughton enters the game for A. Crabbe,,62-98,,
7:53.0,M. Leonard misses 2-pt shot from 13 ft,,62-98,,
7:52.0,,,62-98,,Defensive rebound by A. Rivers
7:46.0,,,62-98,,A. Rivers misses 2-pt shot from 5 ft (block by P. Connaughton)
7:44.0,Defensive rebound by M. Leonard,,62-98,,
7:39.0,J. Layman makes 2-pt shot from 3 ft (assist by S. Napier),2,64-98,,
7:12.0,,,64-98,,Turnover by R. Felton (lost ball; steal by S. Napier)
7:01.0,Turnover by J. Layman (lost ball; steal by R. Felton),,64-98,,
6:38.0,,,64-98,,R. Felton misses 2-pt shot from 19 ft
6:37.0,Defensive rebound by N. Vonleh,,64-98,,
6:30.0,Shooting foul by A. Rivers (drawn by S. Napier),,64-98,,
6:30.0,S. Napier makes free throw 1 of 2,1,65-98,,
6:30.0,S. Napier makes free throw 2 of 2,1,66-98,,
6:30.0,,,65-98,,W. Johnson enters the game for J. Crawford
