time,Charlotte,pts.away,score,pts.home,Indiana
6:35.0,N. Batum misses 2-pt shot from 21 ft,,7-15,,
6:32.0,,,7-15,,Defensive rebound by G. Robinson
6:15.0,,,7-15,,P. George misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by C. Zeller,,7-15,,
6:06.0,K. Walker misses 2-pt shot from 2 ft,,7-15,,
6:05.0,,,7-15,,Defensive rebound by J. Teague
5:52.0,,,7-15,,M. Turner misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by N. Batum,,7-15,,
5:41.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft (block by G. Robinson),,7-15,,
5:41.0,Offensive rebound by M. Kidd-Gilchrist,,7-15,,
5:41.0,Jump ball: M. Kidd-Gilchrist vs. G. Robinson (K. Walker gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. G. Robinson (K. Walker gains possession)
5:28.0,N. Batum makes 3-pt shot from 27 ft (assist by K. Walker),3,10-15,,
5:16.0,,,10-15,,Turnover by J. Teague (bad pass; steal by K. Walker)
5:15.0,,,10-15,,Personal foul by J. Teague (drawn by C. Zeller)
5:15.0,M. Belinelli enters the game for M. Williams,,10-15,,
5:15.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,10-15,,
5:03.0,F. Kaminsky misses 2-pt shot from 10 ft,,10-15,,
5:02.0,,,10-15,,Defensive rebound by M. Turner
4:48.0,,,10-15,,T. Young misses 2-pt shot from 12 ft
4:47.0,Defensive rebound by F. Kaminsky,,10-15,,
4:31.0,N. Batum misses 2-pt shot from 18 ft,,10-15,,
4:31.0,,,10-15,,Defensive rebound by J. Teague
4:19.0,,,10-18,3,M. Turner makes 3-pt shot from 29 ft (assist by J. Teague)
3:51.0,F. Kaminsky misses 2-pt shot from 2 ft,,10-18,,
3:51.0,,,10-18,,Defensive rebound by T. Young
3:40.0,,,10-18,,P. George misses 2-pt shot from 14 ft
3:38.0,Defensive rebound by M. Belinelli,,10-18,,
3:28.0,F. Kaminsky misses 3-pt shot from 28 ft,,10-18,,
3:27.0,,,10-18,,Defensive rebound by P. George
3:20.0,,,10-20,2,T. Young makes 2-pt shot from 1 ft
3:02.0,Offensive charge foul by N. Batum,,10-20,,
3:02.0,Turnover by N. Batum (offensive foul),,10-20,,
3:02.0,R. Hibbert enters the game for C. Zeller,,10-20,,
3:02.0,,,10-20,,R. Stuckey enters the game for G. Robinson
3:02.0,,,10-20,,Indiana full timeout
3:02.0,R. Sessions enters the game for K. Walker,,10-20,,
3:02.0,,,10-20,,A. Jefferson enters the game for M. Turner
2:49.0,,,10-20,,R. Stuckey misses 3-pt shot from 28 ft
2:48.0,Defensive rebound by N. Batum,,10-20,,
2:39.0,M. Belinelli makes 2-pt shot from 19 ft,2,12-20,,
2:21.0,,,12-20,,A. Jefferson misses 2-pt shot from 8 ft
2:20.0,Defensive rebound by R. Hibbert,,12-20,,
2:11.0,R. Sessions misses 2-pt shot from 17 ft,,12-20,,
2:10.0,,,12-20,,Defensive rebound by A. Jefferson
2:00.0,,,12-20,,T. Young misses 2-pt shot from 19 ft
2:00.0,Defensive rebound by N. Batum,,12-20,,
1:54.0,M. Belinelli makes 2-pt shot from 22 ft,2,14-20,,
1:54.0,Shooting foul by R. Stuckey (drawn by M. Belinelli),,14-20,,
1:54.0,M. Belinelli makes free throw 1 of 1,1,15-20,,
1:54.0,,,14-20,,L. Allen enters the game for T. Young
1:54.0,,,14-20,,A. Brooks enters the game for J. Teague
1:38.0,Personal foul by M. Belinelli (drawn by A. Jefferson),,15-20,,
1:24.0,,,15-20,,A. Jefferson misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by M. Belinelli,,15-20,,
1:11.0,R. Hibbert makes 2-pt shot from 9 ft,2,17-20,,
0:57.0,,,17-20,,Turnover by P. George (lost ball; steal by F. Kaminsky)
0:48.0,R. Hibbert makes 2-pt shot from 20 ft (assist by R. Sessions),2,19-20,,
0:36.0,,,19-22,2,R. Stuckey makes 2-pt shot from 19 ft
0:19.0,Shooting foul by A. Jefferson (drawn by R. Sessions),,19-22,,
0:19.0,R. Sessions misses free throw 1 of 2,,19-22,,
0:19.0,Offensive rebound by Team,,19-22,,
0:19.0,R. Sessions makes free throw 2 of 2,1,20-22,,
0:19.0,,,19-22,,C. Miles enters the game for L. Allen
0:02.0,,,20-25,3,P. George makes 3-pt shot from 26 ft (assist by R. Stuckey)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-25,,Shooting foul by M. Belinelli (drawn by R. Stuckey)
11:45.0,,,20-26,1,R. Stuckey makes free throw 1 of 2
11:45.0,,,20-26,,R. Stuckey misses free throw 2 of 2
11:45.0,Defensive rebound by J. Lamb,,20-26,,
11:31.0,F. Kaminsky misses 2-pt shot from 15 ft,,20-26,,
11:31.0,,,20-26,,Defensive rebound by R. Stuckey
11:19.0,,,20-26,,A. Jefferson misses 2-pt shot from 2 ft
11:18.0,,,20-26,,Offensive rebound by L. Allen
11:18.0,,,20-28,2,L. Allen makes 2-pt shot from 2 ft
11:03.0,R. Sessions makes 2-pt shot from 8 ft,2,22-28,,
10:53.0,,,22-28,,R. Stuckey misses 2-pt shot from 12 ft (block by R. Hibbert)
10:52.0,Defensive rebound by F. Kaminsky,,22-28,,
10:43.0,M. Belinelli misses 2-pt shot from 21 ft,,22-28,,
10:43.0,,,22-28,,Defensive rebound by A. Jefferson
10:30.0,,,22-28,,C. Miles misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by J. Lamb,,22-28,,
10:20.0,J. Lamb makes 2-pt shot from 1 ft,2,24-28,,
10:06.0,Personal foul by R. Hibbert (drawn by R. Stuckey),,24-28,,
9:53.0,,,24-28,,A. Brooks misses 3-pt shot from 27 ft
9:52.0,Defensive rebound by J. Lamb,,24-28,,
9:39.0,R. Sessions misses 3-pt shot from 25 ft,,24-28,,
9:37.0,,,24-28,,Defensive rebound by L. Allen
9:17.0,,,24-28,,A. Jefferson misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by M. Belinelli,,24-28,,
9:05.0,R. Sessions makes 3-pt shot from 24 ft (assist by M. Belinelli),3,27-28,,
8:52.0,,,27-28,,C. Miles misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by J. Lamb,,27-28,,
8:43.0,Shooting foul by C. Miles (drawn by J. Lamb),,27-28,,
8:43.0,Official timeout,,27-28,,
8:43.0,J. Lamb makes free throw 1 of 2,1,28-28,,
8:43.0,J. Lamb makes free throw 2 of 2,1,29-28,,
8:43.0,,,27-28,,P. George enters the game for L. Allen
8:30.0,,,29-30,2,R. Stuckey makes 2-pt shot from 14 ft
8:09.0,F. Kaminsky misses 2-pt shot from 5 ft (block by C. Miles),,29-30,,
8:09.0,Offensive rebound by Team,,29-30,,
8:09.0,K. Walker enters the game for R. Sessions,,29-30,,
8:09.0,,,29-30,,M. Turner enters the game for A. Jefferson
8:09.0,,,29-30,,J. Teague enters the game for A. Brooks
8:04.0,J. Lamb misses 3-pt shot from 24 ft,,29-30,,
8:03.0,,,29-30,,Defensive rebound by R. Stuckey
7:57.0,,,29-32,2,R. Stuckey makes 2-pt shot from 2 ft
7:42.0,Turnover by K. Walker (lost ball),,29-32,,
7:27.0,,,29-34,2,M. Turner makes 2-pt shot from 2 ft (assist by C. Miles)
7:14.0,Offensive foul by R. Hibbert,,29-34,,
7:14.0,Turnover by R. Hibbert (offensive foul),,29-34,,
7:01.0,,,29-37,3,C. Miles makes 3-pt shot from 27 ft (assist by J. Teague)
6:46.0,Turnover by F. Kaminsky (bad pass),,29-37,,
6:46.0,M. Williams enters the game for F. Kaminsky,,29-37,,
6:29.0,,,29-37,,C. Miles misses 3-pt shot from 27 ft
6:28.0,Defensive rebound by J. Lamb,,29-37,,
6:14.0,Shooting foul by M. Turner (drawn by R. Hibbert),,29-37,,
6:14.0,R. Hibbert makes free throw 1 of 2,1,30-37,,
6:14.0,R. Hibbert makes free throw 2 of 2,1,31-37,,
6:00.0,,,31-39,2,P. George makes 2-pt shot from 17 ft
5:43.0,M. Williams makes 2-pt shot from 10 ft,2,33-39,,
5:26.0,,,33-39,,Turnover by P. George (bad pass; steal by M. Williams)
5:20.0,J. Lamb misses 3-pt shot from 26 ft,,33-39,,
5:19.0,,,33-39,,Defensive rebound by J. Teague
5:12.0,,,33-39,,C. Miles misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by K. Walker,,33-39,,
5:00.0,M. Belinelli misses 2-pt shot from 18 ft,,33-39,,
4:59.0,,,33-39,,Defensive rebound by C. Miles
4:51.0,,,33-42,3,R. Stuckey makes 3-pt shot from 24 ft (assist by P. George)
4:43.0,Charlotte full timeout,,33-42,,
4:43.0,,,33-42,,T. Young enters the game for R. Stuckey
4:43.0,,,33-42,,G. Robinson enters the game for C. Miles
4:43.0,C. Zeller enters the game for M. Belinelli,,33-42,,
4:43.0,M. Kidd-Gilchrist enters the game for R. Hibbert,,33-42,,
4:43.0,N. Batum enters the game for J. Lamb,,33-42,,
4:38.0,K. Walker misses 2-pt shot from 2 ft (block by M. Turner),,33-42,,
4:38.0,Offensive rebound by Team,,33-42,,
4:33.0,N. Batum misses 3-pt shot from 27 ft,,33-42,,
4:31.0,Offensive rebound by M. Kidd-Gilchrist,,33-42,,
4:15.0,M. Williams misses 3-pt shot from 24 ft,,33-42,,
4:14.0,,,33-42,,Defensive rebound by M. Turner
3:52.0,,,33-42,,M. Turner misses 2-pt shot from 21 ft
3:51.0,Defensive rebound by C. Zeller,,33-42,,
3:41.0,C. Zeller misses 2-pt shot from 20 ft,,33-42,,
3:40.0,Offensive rebound by Team,,33-42,,
3:37.0,,,33-42,,Personal foul by T. Young (drawn by M. Williams)
3:24.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,33-42,,
3:21.0,Offensive rebound by K. Walker,,33-42,,
3:19.0,Shooting foul by M. Turner (drawn by K. Walker),,33-42,,
3:19.0,K. Walker makes free throw 1 of 2,1,34-42,,
3:19.0,K. Walker makes free throw 2 of 2,1,35-42,,
3:03.0,,,35-42,,P. George misses 2-pt shot from 9 ft
3:02.0,Defensive rebound by M. Kidd-Gilchrist,,35-42,,
3:02.0,Turnover by M. Kidd-Gilchrist (lost ball),,35-42,,
3:02.0,,,35-42,,Indiana full timeout
2:50.0,,,35-44,2,J. Teague makes 2-pt shot from 11 ft
2:31.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by G. Robinson),,35-44,,
2:30.0,Offensive rebound by Team,,35-44,,
2:30.0,,,35-44,,C. Miles enters the game for P. George
2:25.0,K. Walker makes 3-pt shot from 27 ft,3,38-44,,
2:12.0,,,38-44,,Shooting foul by K. Walker (drawn by J. Teague)
2:12.0,,,38-44,,J. Teague misses free throw 1 of 3
2:12.0,,,38-44,,Offensive rebound by Team
2:12.0,,,38-44,,J. Teague misses free throw 2 of 3
2:12.0,,,38-44,,Offensive rebound by Team
2:12.0,,,38-45,1,J. Teague makes free throw 3 of 3
2:12.0,,,38-44,,L. Allen enters the game for M. Turner
2:04.0,,,38-45,,Personal foul by L. Allen (drawn by M. Williams)
2:04.0,M. Williams misses free throw 1 of 2,,38-45,,
2:04.0,Offensive rebound by Team,,38-45,,
2:04.0,M. Williams makes free throw 2 of 2,1,39-45,,
1:52.0,,,39-45,,T. Young misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by N. Batum,,39-45,,
1:42.0,M. Williams misses 3-pt shot from 27 ft,,39-45,,
1:41.0,,,39-45,,Defensive rebound by G. Robinson
1:23.0,,,39-45,,T. Young misses 2-pt shot from 3 ft (block by C. Zeller)
1:20.0,Defensive rebound by Team,,39-45,,
1:06.0,Shooting foul by G. Robinson (drawn by N. Batum),,39-45,,
1:06.0,N. Batum misses free throw 1 of 2,,39-45,,
1:06.0,Offensive rebound by Team,,39-45,,
1:06.0,N. Batum makes free throw 2 of 2,1,40-45,,
0:46.0,,,40-45,,C. Miles misses 3-pt shot from 28 ft
0:45.0,Defensive rebound by N. Batum,,40-45,,
0:33.0,K. Walker makes 2-pt shot from 3 ft,2,42-45,,
0:33.0,Shooting foul by T. Young (drawn by K. Walker),,42-45,,
0:33.0,K. Walker makes free throw 1 of 1,1,43-45,,
0:14.0,,,43-45,,Indiana full timeout
0:10.0,,,43-45,,J. Teague misses 2-pt shot from 2 ft (block by C. Zeller)
0:09.0,Defensive rebound by C. Zeller,,43-45,,
0:01.0,K. Walker misses 2-pt shot from 3 ft (block by L. Allen),,43-45,,
0:00.0,Offensive rebound by Team,,43-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,43-45,,Turnover by J. Teague (bad pass; steal by M. Williams)
11:43.0,Shooting foul by J. Teague (drawn by M. Williams),,43-45,,
11:43.0,M. Williams makes free throw 1 of 2,1,44-45,,
11:43.0,M. Williams makes free throw 2 of 2,1,45-45,,
11:27.0,,,45-47,2,P. George makes 2-pt shot from 20 ft
11:10.0,M. Williams misses 2-pt shot from 20 ft (block by T. Young),,45-47,,
11:09.0,,,45-47,,Defensive rebound by M. Turner
11:02.0,,,45-47,,M. Turner misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
11:01.0,Defensive rebound by M. Kidd-Gilchrist,,45-47,,
10:54.0,N. Batum misses 2-pt shot from 3 ft (block by G. Robinson),,45-47,,
10:54.0,Offensive rebound by Team,,45-47,,
10:45.0,N. Batum misses 3-pt shot from 26 ft,,45-47,,
10:44.0,,,45-47,,Defensive rebound by M. Turner
10:37.0,,,45-50,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
10:23.0,K. Walker misses 2-pt shot from 1 ft (block by M. Turner),,45-50,,
10:21.0,,,45-50,,Defensive rebound by J. Teague
10:13.0,,,45-50,,M. Turner misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by Team,,45-50,,
10:00.0,Turnover by N. Batum (bad pass; steal by M. Turner),,45-50,,
9:52.0,,,45-50,,G. Robinson misses 3-pt shot from 27 ft
9:51.0,Defensive rebound by N. Batum,,45-50,,
9:47.0,,,45-50,,Shooting block foul by J. Teague (drawn by M. Kidd-Gilchrist)
9:47.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,46-50,,
9:47.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,47-50,,
9:37.0,,,47-50,,Turnover by P. George (lost ball; steal by M. Kidd-Gilchrist)
9:34.0,Shooting foul by M. Turner (drawn by M. Kidd-Gilchrist),,47-50,,
9:34.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,48-50,,
9:34.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,49-50,,
9:13.0,,,49-50,,T. Young misses 2-pt shot from 10 ft
9:12.0,Defensive rebound by M. Williams,,49-50,,
9:01.0,C. Zeller makes 2-pt shot from 2 ft (assist by M. Williams),2,51-50,,
9:00.0,,,51-50,,Indiana full timeout
8:45.0,,,51-50,,Turnover by J. Teague (lost ball; steal by K. Walker)
8:40.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,53-50,,
8:29.0,,,53-53,3,T. Young makes 3-pt shot from 27 ft (assist by J. Teague)
8:15.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,55-53,,
8:00.0,,,55-56,3,J. Teague makes 3-pt shot from 28 ft (assist by P. George)
7:43.0,Turnover by C. Zeller (bad pass; steal by J. Teague),,55-56,,
7:36.0,,,55-56,,P. George misses 3-pt shot from 29 ft
7:34.0,,,55-56,,Offensive rebound by Team
7:31.0,Personal block foul by C. Zeller (drawn by P. George),,55-56,,
7:25.0,,,55-56,,P. George misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by C. Zeller,,55-56,,
7:15.0,K. Walker misses 3-pt shot from 28 ft,,55-56,,
7:14.0,,,55-56,,Defensive rebound by P. George
7:05.0,,,55-56,,T. Young misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by C. Zeller,,55-56,,
6:51.0,N. Batum misses 2-pt shot from 12 ft,,55-56,,
6:51.0,,,55-56,,Defensive rebound by Team
6:51.0,Loose ball foul by C. Zeller (drawn by P. George),,55-56,,
6:41.0,,,55-56,,J. Teague misses 2-pt shot from 19 ft
6:40.0,Defensive rebound by M. Kidd-Gilchrist,,55-56,,
6:26.0,C. Zeller misses 2-pt shot from 11 ft,,55-56,,
6:24.0,Offensive rebound by M. Kidd-Gilchrist,,55-56,,
6:24.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,55-56,,
6:24.0,Offensive rebound by M. Kidd-Gilchrist,,55-56,,
6:20.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,58-56,,
6:11.0,Personal foul by N. Batum (drawn by G. Robinson),,58-56,,
6:11.0,Technical foul by Team,,58-56,,
6:11.0,,,58-57,1,P. George makes technical free throw
6:11.0,,,58-57,,R. Stuckey enters the game for G. Robinson
6:08.0,,,58-57,,P. George misses 3-pt shot from 27 ft
6:07.0,Defensive rebound by C. Zeller,,58-57,,
5:58.0,K. Walker makes 2-pt shot from 3 ft,2,60-57,,
5:40.0,,,60-57,,R. Stuckey misses 2-pt shot from 15 ft
5:38.0,,,60-57,,Offensive rebound by J. Teague
5:33.0,,,60-57,,P. George misses 2-pt shot from 19 ft
5:32.0,Defensive rebound by N. Batum,,60-57,,
5:15.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,60-57,,
5:13.0,,,60-57,,Defensive rebound by R. Stuckey
4:52.0,,,60-59,2,M. Turner makes 2-pt shot from 19 ft (assist by R. Stuckey)
4:37.0,K. Walker misses 2-pt shot from 1 ft,,60-59,,
4:36.0,,,60-59,,Defensive rebound by R. Stuckey
4:29.0,,,60-59,,R. Stuckey misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by M. Kidd-Gilchrist,,60-59,,
4:20.0,N. Batum makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist),3,63-59,,
4:06.0,,,63-62,3,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague)
3:49.0,N. Batum makes 3-pt shot from 28 ft (assist by K. Walker),3,66-62,,
3:19.0,,,66-62,,M. Turner misses 3-pt shot from 32 ft
3:18.0,Defensive rebound by N. Batum,,66-62,,
3:10.0,N. Batum misses 3-pt shot from 28 ft,,66-62,,
3:09.0,,,66-62,,Defensive rebound by T. Young
3:04.0,,,66-64,2,T. Young makes 2-pt shot from 2 ft (assist by R. Stuckey)
3:04.0,Charlotte full timeout,,66-64,,
3:04.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,66-64,,
3:04.0,M. Belinelli enters the game for M. Williams,,66-64,,
3:04.0,R. Sessions enters the game for K. Walker,,66-64,,
3:04.0,,,66-64,,A. Brooks enters the game for T. Young
3:04.0,,,66-64,,C. Miles enters the game for J. Teague
2:47.0,F. Kaminsky misses 2-pt shot from 10 ft (block by C. Miles),,66-64,,
2:46.0,,,66-64,,Defensive rebound by C. Miles
2:35.0,,,66-66,2,M. Turner makes 2-pt shot at rim (assist by R. Stuckey)
2:17.0,Shooting foul by A. Brooks (drawn by R. Sessions),,66-66,,
2:17.0,R. Sessions makes free throw 1 of 2,1,67-66,,
2:17.0,R. Sessions makes free throw 2 of 2,1,68-66,,
2:17.0,,,67-66,,A. Jefferson enters the game for M. Turner
2:17.0,R. Hibbert enters the game for C. Zeller,,67-66,,
2:04.0,,,68-66,,R. Stuckey misses 2-pt shot from 3 ft
2:03.0,,,68-66,,Offensive rebound by A. Jefferson
1:59.0,,,68-69,3,C. Miles makes 3-pt shot from 26 ft (assist by A. Jefferson)
1:38.0,N. Batum misses 2-pt shot from 14 ft,,68-69,,
1:37.0,,,68-69,,Defensive rebound by P. George
1:16.0,,,68-71,2,A. Jefferson makes 2-pt shot from 7 ft
1:08.0,,,68-71,,Personal foul by C. Miles (drawn by F. Kaminsky)
1:08.0,F. Kaminsky makes free throw 1 of 2,1,69-71,,
1:08.0,F. Kaminsky makes free throw 2 of 2,1,70-71,,
1:08.0,,,69-71,,G. Robinson enters the game for P. George
0:52.0,,,70-73,2,A. Brooks makes 2-pt shot from 6 ft
0:40.0,N. Batum makes 3-pt shot from 27 ft (assist by R. Sessions),3,73-73,,
0:30.0,,,73-73,,C. Miles misses 3-pt shot from 27 ft
0:29.0,,,73-73,,Offensive rebound by G. Robinson
0:10.0,,,73-73,,R. Stuckey misses 2-pt shot from 14 ft
0:08.0,,,73-73,,Offensive rebound by A. Brooks
0:06.0,,,73-76,3,C. Miles makes 3-pt shot from 23 ft (assist by A. Brooks)
0:01.0,Turnover by M. Belinelli (lost ball),,73-76,,
0:00.0,,,73-76,,A. Brooks misses 3-pt shot from 64 ft
0:00.0,,,73-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Lamb misses 3-pt shot from 24 ft,,73-76,,
11:45.0,,,73-76,,Defensive rebound by A. Brooks
11:26.0,,,73-78,2,A. Jefferson makes 2-pt shot from 13 ft
11:11.0,M. Belinelli misses 2-pt shot from 17 ft,,73-78,,
11:10.0,Offensive rebound by R. Hibbert,,73-78,,
11:10.0,R. Hibbert misses 2-pt shot at rim,,73-78,,
11:09.0,,,73-78,,Defensive rebound by A. Brooks
10:57.0,,,73-80,2,A. Jefferson makes 2-pt shot from 1 ft
10:37.0,F. Kaminsky misses 2-pt shot from 10 ft,,73-80,,
10:36.0,,,73-80,,Defensive rebound by Team
10:16.0,,,73-80,,A. Brooks misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by R. Hibbert,,73-80,,
10:06.0,J. Lamb misses 2-pt shot from 12 ft,,73-80,,
10:06.0,,,73-80,,Defensive rebound by G. Robinson
10:00.0,,,73-82,2,R. Stuckey makes 2-pt shot from 2 ft
10:00.0,Charlotte full timeout,,73-82,,
9:46.0,,,73-82,,Personal foul by C. Miles (drawn by F. Kaminsky)
9:40.0,Turnover by J. Lamb (lost ball; steal by G. Robinson),,73-82,,
9:24.0,,,73-82,,C. Miles misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by F. Kaminsky,,73-82,,
9:10.0,Shooting foul by R. Stuckey (drawn by F. Kaminsky),,73-82,,
9:10.0,F. Kaminsky misses free throw 1 of 2,,73-82,,
9:10.0,Offensive rebound by Team,,73-82,,
9:10.0,F. Kaminsky makes free throw 2 of 2,1,74-82,,
9:10.0,K. Walker enters the game for R. Sessions,,73-82,,
8:56.0,,,74-82,,Shooting foul by M. Belinelli (drawn by R. Stuckey)
8:56.0,,,74-83,1,R. Stuckey makes free throw 1 of 2
8:56.0,,,74-84,1,R. Stuckey makes free throw 2 of 2
8:56.0,,,74-83,,M. Turner enters the game for A. Jefferson
8:34.0,Shooting foul by R. Stuckey (drawn by J. Lamb),,74-84,,
8:34.0,J. Lamb makes free throw 1 of 2,1,75-84,,
8:34.0,J. Lamb makes free throw 2 of 2,1,76-84,,
8:15.0,,,76-87,3,A. Brooks makes 3-pt shot from 24 ft (assist by G. Robinson)
8:00.0,M. Belinelli misses 3-pt shot from 23 ft,,76-87,,
8:00.0,,,76-87,,Defensive rebound by M. Turner
7:55.0,,,76-87,,Turnover by R. Stuckey (bad pass)
7:55.0,C. Zeller enters the game for R. Hibbert,,76-87,,
7:41.0,,,76-87,,Personal foul by A. Brooks (drawn by K. Walker)
7:41.0,,,76-87,,Technical foul by A. Brooks (drawn by K. Walker)
7:41.0,M. Belinelli makes technical free throw,1,77-87,,
7:41.0,,,77-87,,J. Teague enters the game for A. Brooks
7:32.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Belinelli),3,80-87,,
7:08.0,,,80-87,,Turnover by R. Stuckey (bad pass; steal by M. Belinelli)
7:03.0,J. Lamb makes 2-pt shot from 1 ft (assist by K. Walker),2,82-87,,
7:03.0,,,82-87,,Indiana full timeout
7:03.0,,,82-87,,P. George enters the game for R. Stuckey
6:52.0,,,82-89,2,C. Miles makes 2-pt shot from 21 ft (assist by J. Teague)
6:28.0,K. Walker misses 2-pt shot from 3 ft,,82-89,,
6:28.0,,,82-89,,Defensive rebound by Team
6:13.0,,,82-89,,M. Turner misses 2-pt shot from 14 ft
6:13.0,Defensive rebound by F. Kaminsky,,82-89,,
6:03.0,M. Belinelli makes 2-pt shot from 9 ft,2,84-89,,
5:47.0,Personal foul by J. Lamb (drawn by P. George),,84-89,,
5:47.0,M. Williams enters the game for F. Kaminsky,,84-89,,
5:47.0,N. Batum enters the game for J. Lamb,,84-89,,
5:47.0,,,84-89,,T. Young enters the game for C. Miles
5:36.0,,,84-91,2,J. Teague makes 2-pt shot from 14 ft
5:10.0,C. Zeller misses 2-pt shot from 20 ft,,84-91,,
