time,New Orleans,pts.away,score,pts.home,Indiana
6:11.0,,,9-15,2,G. Robinson makes 2-pt shot from 3 ft (assist by M. Turner)
5:52.0,Turnover by S. Hill (lost ball; steal by P. George),,9-15,,
5:39.0,,,9-17,2,J. Teague makes 2-pt shot from 19 ft
5:30.0,New Orleans full timeout,,9-17,,
5:21.0,B. Hield makes 3-pt shot from 27 ft (assist by T. Evans),3,12-17,,
5:08.0,Personal foul by S. Hill,,12-17,,
5:08.0,E. Moore enters the game for S. Hill,,12-17,,
4:57.0,,,12-19,2,T. Young makes 2-pt shot from 14 ft (assist by P. George)
4:45.0,Turnover by B. Hield (lost ball; steal by T. Young),,12-19,,
4:28.0,,,12-19,,T. Young misses 2-pt shot from 3 ft
4:28.0,Defensive rebound by T. Evans,,12-19,,
4:21.0,Turnover by T. Evans (lost ball; steal by T. Young),,12-19,,
4:15.0,,,12-21,2,P. George makes 2-pt shot at rim (assist by G. Robinson)
3:58.0,T. Evans makes 2-pt shot from 1 ft,2,14-21,,
3:47.0,,,14-23,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
3:31.0,,,14-23,,M. Ellis enters the game for T. Young
3:31.0,,,14-23,,K. Seraphin enters the game for G. Robinson
3:31.0,T. Jones enters the game for D. Cunningham,,14-23,,
3:31.0,L. Galloway enters the game for B. Hield,,14-23,,
3:23.0,,,14-23,,Personal foul by K. Seraphin
3:23.0,,,14-23,,Indiana full timeout
3:09.0,A. Davis misses 2-pt shot from 7 ft,,14-23,,
3:07.0,Offensive rebound by T. Jones,,14-23,,
3:07.0,T. Jones misses 2-pt shot from 1 ft,,14-23,,
3:06.0,Offensive rebound by T. Jones,,14-23,,
3:04.0,T. Jones misses 2-pt shot from 3 ft (block by M. Turner),,14-23,,
3:03.0,,,14-23,,Defensive rebound by J. Teague
2:58.0,,,14-23,,Turnover by J. Teague (lost ball; steal by T. Evans)
2:53.0,T. Evans makes 2-pt shot from 2 ft (assist by A. Davis),2,16-23,,
2:35.0,,,16-25,2,P. George makes 2-pt shot from 21 ft
2:23.0,L. Galloway misses 2-pt shot from 13 ft,,16-25,,
2:22.0,,,16-25,,Defensive rebound by K. Seraphin
2:09.0,,,16-25,,K. Seraphin misses 2-pt shot from 8 ft
2:09.0,Defensive rebound by T. Evans,,16-25,,
1:59.0,T. Jones misses 2-pt shot from 22 ft,,16-25,,
1:58.0,,,16-25,,Defensive rebound by M. Turner
1:46.0,,,16-25,,Turnover by M. Turner (lost ball; steal by T. Evans)
1:40.0,T. Jones misses 2-pt shot from 5 ft,,16-25,,
1:39.0,,,16-25,,Defensive rebound by K. Seraphin
1:33.0,,,16-27,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
1:11.0,L. Galloway misses 3-pt shot from 24 ft,,16-27,,
1:11.0,,,16-27,,Defensive rebound by P. George
1:11.0,Technical foul by T. Jones,,16-27,,
1:11.0,,,16-28,1,P. George makes technical free throw
1:11.0,,,16-28,,A. Brooks enters the game for J. Teague
1:00.0,Personal foul by A. Davis,,16-28,,
1:00.0,,,16-29,1,P. George makes free throw 1 of 2
1:00.0,,,16-30,1,P. George makes free throw 2 of 2
0:44.0,A. Davis makes 2-pt shot from 2 ft,2,18-30,,
0:35.0,,,18-32,2,A. Brooks makes 2-pt shot from 12 ft
0:20.0,E. Moore misses 2-pt shot from 11 ft,,18-32,,
0:18.0,,,18-32,,Defensive rebound by K. Seraphin
0:00.0,,,18-32,,P. George misses 2-pt shot from 15 ft
0:00.0,,,18-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,18-34,2,A. Jefferson makes 2-pt shot from 11 ft (assist by M. Ellis)
11:21.0,T. Jones makes 2-pt shot from 11 ft,2,20-34,,
11:08.0,,,20-34,,Turnover by A. Jefferson (lost ball; steal by D. Motiejunas)
11:07.0,,,20-34,,Personal foul by A. Jefferson
11:07.0,J. Holiday enters the game for T. Evans,,20-34,,
10:52.0,Turnover by J. Holiday (lost ball; steal by A. Jefferson),,20-34,,
10:47.0,,,20-36,2,C. Miles makes 2-pt shot from 17 ft
10:35.0,J. Holiday misses 2-pt shot from 19 ft,,20-36,,
10:34.0,Offensive rebound by J. Holiday,,20-36,,
10:34.0,Turnover by J. Holiday (step out of bounds),,20-36,,
10:12.0,,,20-36,,A. Jefferson misses 2-pt shot from 4 ft (block by T. Jones)
10:12.0,,,20-36,,Offensive rebound by Team
10:09.0,,,20-36,,C. Miles misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by J. Holiday,,20-36,,
9:56.0,,,20-36,,Shooting block foul by C. Miles (drawn by E. Moore)
9:56.0,E. Moore makes free throw 1 of 2,1,21-36,,
9:56.0,E. Moore makes free throw 2 of 2,1,22-36,,
9:46.0,,,22-36,,C. Miles misses 2-pt shot from 2 ft (block by T. Jones)
9:46.0,,,22-36,,Offensive rebound by Team
9:36.0,,,22-36,,A. Brooks misses 2-pt shot from 3 ft
9:35.0,Defensive rebound by T. Jones,,22-36,,
9:30.0,L. Galloway makes 3-pt shot from 27 ft (assist by T. Jones),3,25-36,,
9:09.0,,,25-38,2,A. Jefferson makes 2-pt shot from 7 ft
8:53.0,D. Motiejunas misses 3-pt shot from 23 ft,,25-38,,
8:53.0,,,25-38,,Defensive rebound by C. Miles
8:40.0,,,25-38,,Offensive charge foul by A. Jefferson
8:40.0,,,25-38,,Turnover by A. Jefferson (offensive foul)
8:40.0,Official timeout,,25-38,,
8:27.0,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday),3,28-38,,
8:12.0,,,28-38,,Shooting foul by T. Jones (drawn by T. Young)
8:12.0,,,28-40,2,T. Young makes 2-pt shot at rim (assist by M. Ellis)
8:12.0,,,28-41,1,T. Young makes free throw 1 of 1
8:00.0,J. Holiday makes 2-pt shot from 3 ft,2,30-41,,
7:34.0,,,30-43,2,T. Young makes 2-pt shot from 1 ft
7:21.0,Turnover by J. Holiday (lost ball; steal by M. Ellis),,30-43,,
7:15.0,,,30-45,2,T. Young makes 2-pt shot from 2 ft (assist by A. Brooks)
7:00.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,33-45,,
6:46.0,,,33-45,,Turnover by C. Miles (lost ball; steal by E. Moore)
6:41.0,E. Moore makes 2-pt shot from 2 ft,2,35-45,,
6:31.0,,,35-45,,Indiana full timeout
6:31.0,,,35-45,,J. Teague enters the game for A. Brooks
6:31.0,,,35-45,,M. Turner enters the game for A. Jefferson
6:31.0,A. Davis enters the game for E. Moore,,35-45,,
6:31.0,D. Cunningham enters the game for T. Jones,,35-45,,
6:31.0,S. Hill enters the game for D. Motiejunas,,35-45,,
6:20.0,,,35-45,,C. Miles misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by L. Galloway,,35-45,,
6:05.0,L. Galloway makes 3-pt shot from 24 ft (assist by J. Holiday),3,38-45,,
5:50.0,,,38-45,,C. Miles misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by A. Davis,,38-45,,
5:40.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday),2,40-45,,
5:22.0,Personal foul by J. Holiday,,40-45,,
5:22.0,,,40-45,,G. Robinson enters the game for M. Ellis
5:22.0,,,40-45,,P. George enters the game for T. Young
5:22.0,,,40-45,,K. Seraphin enters the game for C. Miles
5:22.0,T. Frazier enters the game for J. Holiday,,40-45,,
5:12.0,Personal foul by T. Frazier,,40-45,,
5:01.0,,,40-45,,P. George misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by D. Cunningham,,40-45,,
4:42.0,L. Galloway makes 3-pt shot from 24 ft (assist by S. Hill),3,43-45,,
4:25.0,,,43-47,2,J. Teague makes 2-pt shot from 8 ft
4:07.0,D. Cunningham makes 3-pt shot from 24 ft (assist by A. Davis),3,46-47,,
3:54.0,,,46-47,,Shooting foul by T. Frazier (drawn by J. Teague)
3:54.0,Violation by D. Cunningham (def goaltending),,46-47,,
3:54.0,,,46-49,2,J. Teague makes 2-pt shot from 7 ft
3:54.0,,,46-50,1,J. Teague makes free throw 1 of 1
3:33.0,A. Davis makes 2-pt shot from 19 ft,2,48-50,,
3:14.0,,,48-52,2,K. Seraphin makes 2-pt shot from 11 ft
2:56.0,A. Davis makes 2-pt shot from 1 ft,2,50-52,,
2:56.0,,,50-52,,Shooting block foul by J. Teague (drawn by A. Davis)
2:56.0,New Orleans full timeout,,50-52,,
2:56.0,A. Davis misses free throw 1 of 1,,50-52,,
2:56.0,,,50-52,,Defensive rebound by K. Seraphin
2:41.0,,,50-52,,P. George misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by T. Frazier,,50-52,,
2:25.0,A. Davis misses 2-pt shot from 10 ft,,50-52,,
2:24.0,,,50-52,,Defensive rebound by K. Seraphin
2:18.0,,,50-54,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
1:56.0,D. Cunningham misses 3-pt shot from 24 ft,,50-54,,
1:54.0,,,50-54,,Defensive rebound by J. Teague
1:49.0,,,50-54,,Turnover by J. Teague (bad pass)
1:49.0,,,50-54,,T. Young enters the game for K. Seraphin
1:38.0,L. Galloway misses 2-pt shot from 21 ft,,50-54,,
1:38.0,,,50-54,,Defensive rebound by M. Turner
1:28.0,,,50-54,,M. Turner misses 3-pt shot from 26 ft
1:27.0,Defensive rebound by L. Galloway,,50-54,,
1:13.0,S. Hill misses 2-pt shot from 6 ft,,50-54,,
1:12.0,,,50-54,,Defensive rebound by M. Turner
1:08.0,,,50-54,,Offensive charge foul by P. George
1:08.0,,,50-54,,Turnover by P. George (offensive foul)
1:08.0,,,50-54,,C. Miles enters the game for P. George
0:57.0,Offensive charge foul by L. Galloway,,50-54,,
0:57.0,Turnover by L. Galloway (offensive foul),,50-54,,
0:57.0,E. Moore enters the game for S. Hill,,50-54,,
0:49.0,,,50-54,,Offensive charge foul by J. Teague
0:49.0,,,50-54,,Turnover by J. Teague (offensive foul)
0:39.0,Shooting foul by M. Turner (drawn by A. Davis),,50-54,,
0:39.0,A. Davis makes free throw 1 of 2,1,51-54,,
0:39.0,,,51-54,,Indiana full timeout
0:39.0,A. Davis makes free throw 2 of 2,1,52-54,,
0:29.0,,,52-54,,M. Turner misses 2-pt shot from 18 ft
0:28.0,,,52-54,,Offensive rebound by J. Teague
0:27.0,,,52-54,,Turnover by J. Teague (lost ball; steal by L. Galloway)
0:18.0,New Orleans full timeout,,52-54,,
0:18.0,,,52-54,,M. Ellis enters the game for J. Teague
0:18.0,B. Hield enters the game for D. Cunningham,,52-54,,
0:05.0,L. Galloway misses 3-pt shot from 27 ft,,52-54,,
0:03.0,,,52-54,,Defensive rebound by M. Ellis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-54,,M. Turner misses 2-pt shot from 16 ft
11:42.0,,,52-54,,Offensive rebound by G. Robinson
11:35.0,,,52-56,2,T. Young makes 2-pt shot from 7 ft (assist by J. Teague)
11:20.0,B. Hield makes 2-pt shot from 19 ft,2,54-56,,
11:07.0,,,54-56,,Turnover by P. George (lost ball)
11:01.0,J. Holiday misses 2-pt shot from 2 ft (block by M. Turner),,54-56,,
11:00.0,,,54-56,,Defensive rebound by P. George
10:43.0,,,54-58,2,J. Teague makes 2-pt shot from 12 ft
10:29.0,B. Hield makes 2-pt shot from 18 ft,2,56-58,,
10:07.0,,,56-58,,M. Turner misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by B. Hield,,56-58,,
9:52.0,A. Davis misses 2-pt shot from 3 ft,,56-58,,
9:51.0,,,56-58,,Defensive rebound by T. Young
9:42.0,,,56-60,2,T. Young makes 2-pt shot from 11 ft (assist by P. George)
9:28.0,A. Davis misses 2-pt shot from 20 ft,,56-60,,
9:28.0,,,56-60,,Defensive rebound by J. Teague
9:17.0,,,56-60,,M. Turner misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by B. Hield,,56-60,,
9:07.0,Turnover by J. Holiday (lost ball; steal by T. Young),,56-60,,
8:52.0,,,56-62,2,M. Turner makes 2-pt shot from 7 ft (assist by P. George)
8:46.0,Turnover by J. Holiday (back court),,56-62,,
8:31.0,,,56-62,,Turnover by J. Teague (bad pass; steal by J. Holiday)
8:27.0,S. Hill makes 2-pt shot at rim (assist by J. Holiday),2,58-62,,
8:21.0,,,58-62,,Indiana full timeout
8:02.0,,,58-62,,P. George misses 2-pt shot from 1 ft
8:02.0,Defensive rebound by S. Hill,,58-62,,
7:37.0,D. Cunningham misses 2-pt shot from 19 ft,,58-62,,
7:37.0,,,58-62,,Defensive rebound by J. Teague
7:22.0,,,58-62,,M. Turner misses 2-pt shot from 14 ft
7:21.0,Defensive rebound by A. Davis,,58-62,,
7:08.0,Shooting foul by M. Turner (drawn by A. Davis),,58-62,,
7:08.0,A. Davis makes free throw 1 of 2,1,59-62,,
7:08.0,A. Davis makes free throw 2 of 2,1,60-62,,
7:07.0,Personal take foul by B. Hield,,60-62,,
7:07.0,T. Jones enters the game for A. Davis,,60-62,,
6:49.0,,,60-64,2,G. Robinson makes 2-pt shot from 6 ft
6:39.0,T. Jones misses 2-pt shot from 10 ft,,60-64,,
6:38.0,,,60-64,,Defensive rebound by P. George
6:22.0,,,60-67,3,G. Robinson makes 3-pt shot from 24 ft (assist by P. George)
6:08.0,B. Hield misses 3-pt shot from 26 ft,,60-67,,
6:06.0,,,60-67,,Defensive rebound by Team
5:48.0,Violation by S. Hill (kicked ball),,60-67,,
5:48.0,T. Evans enters the game for B. Hield,,60-67,,
5:42.0,,,60-70,3,P. George makes 3-pt shot from 27 ft (assist by T. Young)
5:27.0,Turnover by T. Jones (lost ball; steal by T. Young),,60-70,,
5:11.0,,,60-70,,M. Turner misses 2-pt shot from 4 ft
5:10.0,Defensive rebound by Team,,60-70,,
5:00.0,Shooting foul by T. Young (drawn by J. Holiday),,60-70,,
5:00.0,J. Holiday makes free throw 1 of 2,1,61-70,,
5:00.0,J. Holiday misses free throw 2 of 2,,61-70,,
5:00.0,,,61-70,,Defensive rebound by M. Turner
4:42.0,,,61-70,,J. Teague misses 3-pt shot from 27 ft
4:41.0,Defensive rebound by T. Jones,,61-70,,
4:22.0,T. Jones makes 2-pt shot from 8 ft,2,63-70,,
4:14.0,,,63-70,,Shooting foul by D. Cunningham (drawn by M. Turner)
4:14.0,,,63-70,,M. Turner misses free throw 1 of 2
4:14.0,,,63-70,,Offensive rebound by Team
4:14.0,E. Moore enters the game for J. Holiday,,63-70,,
4:14.0,,,63-70,,K. Seraphin enters the game for T. Young
4:14.0,,,63-71,1,M. Turner makes free throw 2 of 2
3:53.0,Shooting foul by K. Seraphin (drawn by T. Jones),,63-71,,
3:53.0,T. Jones misses free throw 1 of 2,,63-71,,
3:53.0,Offensive rebound by Team,,63-71,,
3:53.0,T. Jones makes free throw 2 of 2,1,64-71,,
3:35.0,,,64-74,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
3:17.0,D. Cunningham misses 3-pt shot from 25 ft,,64-74,,
3:15.0,Offensive rebound by D. Cunningham,,64-74,,
2:59.0,S. Hill misses 2-pt shot from 1 ft (block by M. Turner),,64-74,,
2:58.0,,,64-74,,Defensive rebound by J. Teague
2:53.0,,,64-74,,P. George misses 3-pt shot from 27 ft
2:52.0,Defensive rebound by E. Moore,,64-74,,
2:46.0,Turnover by E. Moore (bad pass; steal by P. George),,64-74,,
2:37.0,,,64-74,,J. Teague misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by E. Moore,,64-74,,
2:24.0,D. Cunningham misses 3-pt shot from 23 ft,,64-74,,
2:22.0,,,64-74,,Defensive rebound by M. Turner
2:08.0,,,64-74,,P. George misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by T. Jones,,64-74,,
2:00.0,T. Evans misses 2-pt shot from 7 ft,,64-74,,
1:59.0,,,64-74,,Defensive rebound by P. George
1:46.0,,,64-74,,G. Robinson misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by Team,,64-74,,
1:46.0,New Orleans full timeout,,64-74,,
1:46.0,,,64-74,,C. Miles enters the game for G. Robinson
1:46.0,,,64-74,,M. Ellis enters the game for P. George
1:46.0,L. Galloway enters the game for S. Hill,,64-74,,
1:32.0,T. Evans makes 2-pt shot from 18 ft (assist by T. Jones),2,66-74,,
1:18.0,,,66-74,,M. Turner misses 2-pt shot from 21 ft
1:18.0,Defensive rebound by T. Evans,,66-74,,
1:08.0,T. Jones makes 2-pt shot from 1 ft (assist by T. Evans),2,68-74,,
1:08.0,Shooting foul by M. Ellis (drawn by T. Jones),,68-74,,
1:08.0,T. Jones misses free throw 1 of 1,,68-74,,
1:07.0,,,68-74,,Defensive rebound by K. Seraphin
0:53.0,,,68-74,,Turnover by M. Ellis (lost ball)
0:39.0,T. Evans misses 2-pt shot from 3 ft,,68-74,,
0:38.0,,,68-74,,Defensive rebound by M. Turner
0:31.0,,,68-76,2,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis)
0:08.0,T. Jones makes 2-pt shot from 3 ft,2,70-76,,
0:00.0,,,70-76,,M. Ellis misses 2-pt shot from 18 ft
0:00.0,,,70-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Evans makes 2-pt shot from 2 ft (assist by T. Jones),2,72-76,,
11:26.0,,,72-76,,A. Jefferson misses 2-pt shot from 8 ft
11:26.0,Defensive rebound by L. Galloway,,72-76,,
11:19.0,Shooting foul by C. Miles (drawn by E. Moore),,72-76,,
11:19.0,E. Moore makes free throw 1 of 2,1,73-76,,
11:19.0,E. Moore makes free throw 2 of 2,1,74-76,,
11:10.0,,,74-76,,A. Brooks misses 2-pt shot from 6 ft
11:09.0,,,74-76,,Offensive rebound by A. Jefferson
11:09.0,,,74-78,2,A. Jefferson makes 2-pt shot from 2 ft
10:49.0,E. Moore misses 2-pt shot from 15 ft (block by A. Jefferson),,74-78,,
10:48.0,,,74-78,,Defensive rebound by A. Jefferson
10:36.0,,,74-78,,C. Miles misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by L. Galloway,,74-78,,
10:14.0,T. Evans misses 2-pt shot from 20 ft,,74-78,,
10:13.0,,,74-78,,Defensive rebound by A. Brooks
10:02.0,Def 3 sec tech foul by T. Evans,,74-78,,
10:02.0,,,74-79,1,C. Miles makes technical free throw
9:54.0,,,74-79,,C. Miles misses 2-pt shot from 8 ft (block by E. Moore)
9:52.0,,,74-79,,Offensive rebound by C. Miles
9:50.0,,,74-79,,A. Brooks misses 3-pt shot from 27 ft
9:50.0,Defensive rebound by T. Evans,,74-79,,
9:41.0,T. Evans misses 2-pt shot from 3 ft (block by M. Ellis),,74-79,,
9:41.0,Offensive rebound by Team,,74-79,,
9:26.0,T. Jones makes 2-pt shot from 1 ft,2,76-79,,
9:11.0,,,76-81,2,M. Ellis makes 2-pt shot from 21 ft (assist by T. Young)
8:54.0,T. Jones makes 3-pt shot from 27 ft (assist by T. Evans),3,79-81,,
8:37.0,,,79-83,2,A. Jefferson makes 2-pt shot from 3 ft (assist by M. Ellis)
8:18.0,L. Galloway misses 3-pt shot from 28 ft,,79-83,,
8:18.0,,,79-83,,Defensive rebound by C. Miles
8:05.0,,,79-85,2,A. Jefferson makes 2-pt shot from 13 ft (assist by A. Brooks)
7:53.0,Shooting foul by M. Ellis (drawn by T. Evans),,79-85,,
7:53.0,Official timeout,,79-85,,
7:53.0,D. Motiejunas enters the game for D. Cunningham,,79-85,,
7:53.0,S. Hill enters the game for T. Jones,,79-85,,
7:53.0,,,79-85,,P. George enters the game for C. Miles
7:53.0,,,79-85,,M. Turner enters the game for A. Jefferson
7:53.0,T. Evans makes free throw 1 of 2,1,80-85,,
7:53.0,T. Evans makes free throw 2 of 2,1,81-85,,
7:33.0,,,81-85,,M. Turner misses 2-pt shot from 5 ft (block by D. Motiejunas)
7:33.0,Defensive rebound by D. Motiejunas,,81-85,,
7:33.0,,,81-85,,J. Teague enters the game for A. Brooks
7:33.0,J. Holiday enters the game for T. Evans,,81-85,,
7:33.0,Jump ball: D. Motiejunas vs. M. Turner,,,,Jump ball: D. Motiejunas vs. M. Turner
7:20.0,D. Motiejunas misses 2-pt shot from 1 ft (block by M. Turner),,81-85,,
7:19.0,Offensive rebound by D. Motiejunas,,81-85,,
7:17.0,E. Moore misses 3-pt shot from 25 ft,,81-85,,
7:17.0,,,81-85,,Defensive rebound by M. Turner
7:04.0,,,81-85,,Shooting foul by D. Motiejunas (drawn by P. George)
7:04.0,,,81-86,1,P. George makes free throw 1 of 2
7:04.0,,,81-87,1,P. George makes free throw 2 of 2
6:48.0,S. Hill misses 3-pt shot from 26 ft,,81-87,,
6:47.0,,,81-87,,Defensive rebound by P. George
6:41.0,,,81-87,,Turnover by P. George (bad pass)
6:27.0,J. Holiday makes 3-pt shot from 27 ft,3,84-87,,
6:06.0,,,84-89,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
5:49.0,E. Moore makes 2-pt shot from 5 ft,2,86-89,,
5:33.0,,,86-89,,Turnover by J. Teague (bad pass)
5:33.0,,,86-89,,Indiana full timeout
5:33.0,T. Jones enters the game for L. Galloway,,86-89,,
5:33.0,T. Evans enters the game for D. Motiejunas,,86-89,,
5:33.0,,,86-89,,G. Robinson enters the game for M. Ellis
5:21.0,E. Moore makes 2-pt shot from 9 ft,2,88-89,,
5:03.0,,,88-91,2,M. Turner makes 2-pt shot at rim (assist by P. George)
4:48.0,T. Jones misses 2-pt shot from 17 ft,,88-91,,
4:46.0,Offensive rebound by S. Hill,,88-91,,
4:35.0,Shooting foul by M. Turner (drawn by T. Jones),,88-91,,
4:35.0,T. Jones makes free throw 1 of 2,1,89-91,,
4:35.0,T. Jones misses free throw 2 of 2,,89-91,,
4:35.0,,,89-91,,Defensive rebound by M. Turner
4:16.0,,,89-91,,P. George misses 2-pt shot from 18 ft (block by E. Moore)
4:16.0,Defensive rebound by E. Moore,,89-91,,
4:10.0,E. Moore makes 2-pt shot from 1 ft,2,91-91,,
3:55.0,,,91-94,3,J. Teague makes 3-pt shot from 27 ft (assist by P. George)
3:37.0,T. Evans makes 2-pt shot from 3 ft,2,93-94,,
3:22.0,,,93-96,2,P. George makes 2-pt shot from 21 ft
3:08.0,T. Evans misses 2-pt shot from 2 ft,,93-96,,
3:08.0,,,93-96,,Defensive rebound by M. Turner
3:05.0,Personal take foul by T. Jones,,93-96,,
2:53.0,,,93-96,,P. George misses 2-pt shot from 10 ft
2:52.0,Defensive rebound by T. Evans,,93-96,,
2:42.0,New Orleans full timeout,,93-96,,
2:32.0,J. Holiday misses 3-pt shot from 29 ft,,93-96,,
2:31.0,,,93-96,,Defensive rebound by T. Young
2:16.0,,,93-96,,P. George misses 3-pt shot from 26 ft
2:15.0,Defensive rebound by S. Hill,,93-96,,
2:08.0,E. Moore misses 3-pt shot from 23 ft,,93-96,,
2:07.0,,,93-96,,Defensive rebound by G. Robinson
1:52.0,,,93-96,,Turnover by M. Turner (bad pass)
1:37.0,T. Evans misses 2-pt shot from 4 ft,,93-96,,
1:36.0,Offensive rebound by T. Jones,,93-96,,
1:36.0,T. Jones misses 2-pt shot from 2 ft,,93-96,,
1:36.0,Offensive rebound by T. Jones,,93-96,,
1:36.0,Jump ball: T. Jones vs. M. Turner (E. Moore gains possession),,,,Jump ball: T. Jones vs. M. Turner (E. Moore gains possession)
1:24.0,T. Evans misses 2-pt shot from 2 ft,,93-96,,
1:24.0,,,93-96,,Defensive rebound by G. Robinson
1:00.0,,,93-96,,J. Teague misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by T. Jones,,93-96,,
1:00.0,New Orleans full timeout,,93-96,,
0:41.0,S. Hill makes 2-pt shot from 1 ft (assist by T. Evans),2,95-96,,
0:41.0,,,95-96,,Indiana full timeout
0:41.0,D. Cunningham enters the game for T. Evans,,95-96,,
0:27.0,,,95-96,,Shooting foul by D. Cunningham (drawn by M. Turner)
0:27.0,,,95-96,,M. Turner misses free throw 1 of 2
0:27.0,,,95-96,,Offensive rebound by Team
0:27.0,,,95-97,1,M. Turner makes free throw 2 of 2
0:27.0,New Orleans full timeout,,95-97,,
0:27.0,L. Galloway enters the game for D. Cunningham,,95-97,,
0:20.0,J. Holiday misses 2-pt shot from 22 ft,,95-97,,
0:18.0,,,95-97,,Defensive rebound by G. Robinson
0:17.0,Personal foul by T. Jones,,95-97,,
0:17.0,,,95-97,,G. Robinson misses free throw 1 of 2
0:17.0,,,95-97,,Offensive rebound by Team
0:17.0,,,95-97,,G. Robinson misses free throw 2 of 2
0:17.0,Defensive rebound by S. Hill,,95-97,,
0:17.0,New Orleans full timeout,,95-97,,
0:17.0,T. Evans enters the game for S. Hill,,95-97,,
0:05.0,E. Moore misses 2-pt shot from 6 ft,,95-97,,
0:04.0,,,95-97,,Defensive rebound by M. Turner
0:03.0,Personal take foul by L. Galloway,,95-97,,
