time,Denver,pts.away,score,pts.home,Utah
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Murray misses 2-pt shot from 19 ft,,27-36,,
11:46.0,,,27-36,,Defensive rebound by B. Diaw
11:36.0,Def 3 sec tech foul by D. Arthur,,27-36,,
11:36.0,,,27-37,1,J. Johnson makes technical free throw
11:22.0,,,27-39,2,J. Johnson makes 2-pt shot from 15 ft
10:59.0,W. Chandler misses 3-pt shot from 25 ft,,27-39,,
10:58.0,,,27-39,,Defensive rebound by J. Withey
10:45.0,,,27-39,,Shooting foul by W. Chandler (drawn by B. Diaw)
10:45.0,,,27-40,1,B. Diaw makes free throw 1 of 2
10:45.0,,,27-40,,B. Diaw misses free throw 2 of 2
10:45.0,Defensive rebound by Team,,27-40,,
10:23.0,N. Jokic makes 2-pt shot from 2 ft,2,29-40,,
10:04.0,,,29-42,2,B. Diaw makes 2-pt shot from 3 ft
10:04.0,,,29-42,,Shooting foul by D. Arthur (drawn by B. Diaw)
10:04.0,,,29-43,1,B. Diaw makes free throw 1 of 1
10:04.0,J. Nurkic enters the game for N. Jokic,,29-42,,
9:49.0,J. Murray makes 2-pt shot from 12 ft,2,31-43,,
9:28.0,,,31-43,,J. Ingles misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by W. Chandler,,31-43,,
9:21.0,J. Nelson misses 3-pt shot from 24 ft,,31-43,,
9:21.0,Offensive rebound by Team,,31-43,,
9:21.0,,,31-43,,Loose ball foul by J. Withey (drawn by J. Nurkic)
9:21.0,W. Barton enters the game for W. Chandler,,31-43,,
9:21.0,K. Faried enters the game for D. Arthur,,31-43,,
9:21.0,,,31-43,,R. Hood enters the game for J. Johnson
9:11.0,J. Nurkic misses 2-pt shot from 6 ft,,31-43,,
9:11.0,,,31-43,,Defensive rebound by R. Hood
8:50.0,,,31-43,,B. Diaw misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by J. Nurkic,,31-43,,
8:45.0,W. Barton misses 3-pt shot from 25 ft,,31-43,,
8:44.0,,,31-43,,Defensive rebound by J. Ingles
8:40.0,,,31-43,,Utah full timeout
8:40.0,E. Mudiay enters the game for J. Nelson,,31-43,,
8:40.0,,,31-43,,R. Gobert enters the game for J. Withey
8:40.0,,,31-43,,G. Hill enters the game for D. Exum
8:40.0,,,31-43,,J. Johnson enters the game for J. Ingles
8:31.0,,,31-43,,R. Hood misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by W. Barton,,31-43,,
8:12.0,J. Murray makes 3-pt shot from 25 ft,3,34-43,,
7:52.0,,,34-43,,R. Gobert misses 2-pt shot from 2 ft (block by J. Nurkic)
7:50.0,Defensive rebound by J. Nurkic,,34-43,,
7:44.0,E. Mudiay makes 2-pt shot from 2 ft,2,36-43,,
7:22.0,,,36-43,,G. Hill misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by W. Barton,,36-43,,
7:18.0,,,36-43,,Personal foul by J. Johnson (drawn by W. Barton)
7:18.0,J. Hernangomez enters the game for J. Murray,,36-43,,
7:18.0,,,36-43,,T. Lyles enters the game for B. Diaw
7:11.0,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay),2,38-43,,
7:11.0,Shooting foul by T. Lyles (drawn by J. Nurkic),,38-43,,
7:11.0,J. Nurkic misses free throw 1 of 1,,38-43,,
7:11.0,,,38-43,,Defensive rebound by G. Hill
6:54.0,,,38-43,,G. Hill misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by J. Hernangomez,,38-43,,
6:45.0,J. Nurkic misses 2-pt shot from 19 ft,,38-43,,
6:44.0,,,38-43,,Defensive rebound by T. Lyles
6:36.0,,,38-43,,Turnover by R. Hood (traveling)
6:24.0,E. Mudiay misses 2-pt shot from 14 ft,,38-43,,
6:23.0,,,38-43,,Defensive rebound by T. Lyles
6:13.0,,,38-43,,T. Lyles misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by W. Barton,,38-43,,
6:00.0,,,38-43,,G. Hayward enters the game for J. Johnson
5:50.0,E. Mudiay misses 3-pt shot from 25 ft,,38-43,,
5:50.0,Offensive rebound by K. Faried,,38-43,,
5:47.0,K. Faried makes 2-pt shot from 2 ft,2,40-43,,
5:28.0,,,40-43,,G. Hayward misses 2-pt shot from 15 ft (block by J. Hernangomez)
5:26.0,Defensive rebound by J. Nurkic,,40-43,,
5:23.0,Shooting foul by G. Hill (drawn by W. Barton),,40-43,,
5:23.0,Denver full timeout,,40-43,,
5:23.0,W. Barton misses free throw 1 of 2,,40-43,,
5:23.0,Offensive rebound by Team,,40-43,,
5:23.0,W. Barton makes free throw 2 of 2,1,41-43,,
5:09.0,,,41-43,,Turnover by T. Lyles (lost ball; steal by K. Faried)
5:02.0,W. Barton misses 2-pt shot from 8 ft,,41-43,,
5:02.0,,,41-43,,Defensive rebound by Team
5:02.0,Loose ball foul by K. Faried (drawn by R. Gobert),,41-43,,
4:49.0,,,41-45,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
4:28.0,J. Nurkic misses 2-pt shot from 5 ft,,41-45,,
4:27.0,,,41-45,,Defensive rebound by G. Hill
4:24.0,,,41-45,,Turnover by G. Hill (bad pass; steal by J. Hernangomez)
4:16.0,J. Nurkic misses 2-pt shot from 2 ft,,41-45,,
4:16.0,,,41-45,,Defensive rebound by R. Gobert
4:06.0,,,41-45,,R. Hood misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by K. Faried,,41-45,,
4:05.0,,,41-45,,Loose ball foul by T. Lyles (drawn by K. Faried)
4:05.0,K. Faried makes free throw 1 of 2,1,42-45,,
4:05.0,K. Faried makes free throw 2 of 2,1,43-45,,
4:05.0,,,42-45,,B. Diaw enters the game for T. Lyles
4:05.0,W. Chandler enters the game for J. Nurkic,,42-45,,
3:47.0,,,43-45,,G. Hayward misses 2-pt shot from 20 ft
3:47.0,Defensive rebound by W. Chandler,,43-45,,
3:30.0,K. Faried misses 2-pt shot from 9 ft,,43-45,,
3:29.0,,,43-45,,Defensive rebound by G. Hill
3:15.0,,,43-45,,G. Hill misses 2-pt shot from 10 ft
3:14.0,Defensive rebound by K. Faried,,43-45,,
3:05.0,W. Barton misses 2-pt shot from 1 ft,,43-45,,
3:04.0,Offensive rebound by K. Faried,,43-45,,
3:03.0,K. Faried makes 2-pt shot from 1 ft,2,45-45,,
2:45.0,,,45-47,2,R. Hood makes 2-pt shot from 2 ft (assist by B. Diaw)
2:21.0,Turnover by W. Chandler (bad pass; steal by G. Hill),,45-47,,
2:12.0,,,45-49,2,R. Hood makes 2-pt shot from 3 ft
2:12.0,Denver full timeout,,45-49,,
2:12.0,J. Murray enters the game for J. Hernangomez,,45-49,,
2:01.0,W. Chandler misses 2-pt shot from 3 ft,,45-49,,
1:59.0,Offensive rebound by K. Faried,,45-49,,
1:57.0,K. Faried makes 2-pt shot from 3 ft,2,47-49,,
1:36.0,,,47-51,2,G. Hill makes 2-pt shot from 13 ft
1:19.0,J. Murray misses 2-pt shot from 10 ft,,47-51,,
1:18.0,Offensive rebound by K. Faried,,47-51,,
1:16.0,K. Faried misses 2-pt shot from 2 ft,,47-51,,
1:15.0,,,47-51,,Defensive rebound by R. Gobert
1:00.0,,,47-51,,R. Gobert misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by K. Faried,,47-51,,
0:53.0,E. Mudiay misses 2-pt shot from 2 ft,,47-51,,
0:52.0,,,47-51,,Defensive rebound by G. Hayward
0:41.0,,,47-51,,R. Hood misses 2-pt shot from 8 ft
0:41.0,Defensive rebound by W. Barton,,47-51,,
0:36.0,Turnover by W. Barton (bad pass),,47-51,,
0:18.0,,,47-53,2,G. Hill makes 2-pt shot from 2 ft
0:02.0,E. Mudiay misses 2-pt shot from 2 ft,,47-53,,
0:01.0,,,47-53,,Defensive rebound by R. Hood
0:00.0,,,47-53,,R. Hood misses 3-pt shot from 70 ft
0:00.0,,,47-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,E. Mudiay misses 2-pt shot from 7 ft,,47-53,,
11:38.0,,,47-53,,Defensive rebound by R. Gobert
11:19.0,,,47-53,,R. Hood misses 3-pt shot from 22 ft
11:17.0,,,47-53,,Offensive rebound by Team
11:03.0,,,47-53,,G. Hill misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by J. Hernangomez,,47-53,,
10:56.0,Shooting foul by G. Hayward (drawn by W. Barton),,47-53,,
10:56.0,W. Barton misses free throw 1 of 2,,47-53,,
10:56.0,Offensive rebound by Team,,47-53,,
10:56.0,W. Barton misses free throw 2 of 2,,47-53,,
10:55.0,,,47-53,,Defensive rebound by R. Gobert
10:39.0,,,47-53,,Shooting foul by J. Nurkic (drawn by R. Gobert)
10:39.0,,,47-54,1,R. Gobert makes free throw 1 of 2
10:39.0,,,47-54,,R. Gobert misses free throw 2 of 2
10:39.0,Defensive rebound by Team,,47-54,,
10:23.0,J. Nurkic misses 2-pt shot from 2 ft,,47-54,,
10:23.0,,,47-54,,Defensive rebound by G. Hill
10:13.0,,,47-56,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
9:53.0,Offensive foul by J. Nurkic,,47-56,,
9:53.0,Turnover by J. Nurkic (offensive foul),,47-56,,
9:41.0,,,47-56,,Turnover by R. Gobert (3 sec)
9:23.0,W. Barton misses 3-pt shot from 24 ft,,47-56,,
9:22.0,,,47-56,,Defensive rebound by R. Gobert
9:06.0,Personal foul by J. Nurkic (drawn by R. Gobert),,47-56,,
9:06.0,W. Chandler enters the game for J. Nurkic,,47-56,,
8:55.0,,,47-56,,G. Hayward misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by K. Faried,,47-56,,
8:47.0,Jump ball: G. Hill vs. E. Mudiay (R. Hood gains possession),,,,Jump ball: G. Hill vs. E. Mudiay (R. Hood gains possession)
8:47.0,Turnover by E. Mudiay (lost ball; steal by G. Hill),,47-56,,
8:37.0,,,47-58,2,G. Hill makes 2-pt shot from 2 ft
8:37.0,,,47-58,,Shooting foul by K. Faried (drawn by G. Hill)
8:37.0,Denver full timeout,,47-58,,
8:37.0,,,47-59,1,G. Hill makes free throw 1 of 1
8:37.0,J. Murray enters the game for W. Barton,,47-58,,
8:15.0,E. Mudiay misses 2-pt shot from 3 ft,,47-59,,
8:15.0,Offensive rebound by K. Faried,,47-59,,
8:08.0,Shooting foul by G. Hill (drawn by J. Murray),,47-59,,
8:08.0,J. Murray makes free throw 1 of 2,1,48-59,,
8:08.0,J. Murray makes free throw 2 of 2,1,49-59,,
7:57.0,,,49-61,2,B. Diaw makes 2-pt shot from 3 ft (assist by G. Hayward)
7:44.0,Shooting foul by R. Gobert,,49-61,,
7:44.0,J. Hernangomez misses free throw 1 of 2,,49-61,,
7:44.0,Offensive rebound by Team,,49-61,,
7:44.0,J. Hernangomez makes free throw 2 of 2,1,50-61,,
7:34.0,Personal foul by J. Murray (drawn by G. Hill),,50-61,,
7:27.0,,,50-61,,G. Hayward misses 2-pt shot from 2 ft (block by J. Hernangomez)
7:25.0,,,50-61,,Offensive rebound by R. Gobert
7:25.0,,,50-63,2,R. Gobert makes 2-pt shot at rim
7:07.0,J. Murray misses 2-pt shot from 11 ft (block by R. Gobert),,50-63,,
7:07.0,,,50-63,,Defensive rebound by Team
7:07.0,Loose ball foul by K. Faried (drawn by G. Hayward),,50-63,,
7:07.0,,,50-64,1,G. Hayward makes free throw 1 of 2
7:07.0,,,50-65,1,G. Hayward makes free throw 2 of 2
7:07.0,N. Jokic enters the game for J. Hernangomez,,50-64,,
7:07.0,D. Arthur enters the game for K. Faried,,50-64,,
7:07.0,J. Nelson enters the game for E. Mudiay,,50-64,,
6:53.0,W. Chandler misses 2-pt shot from 14 ft,,50-65,,
6:52.0,,,50-65,,Defensive rebound by R. Hood
6:43.0,,,50-67,2,R. Hood makes 2-pt shot from 6 ft
6:26.0,W. Chandler misses 2-pt shot from 12 ft,,50-67,,
6:26.0,,,50-67,,Defensive rebound by B. Diaw
6:09.0,,,50-70,3,G. Hill makes 3-pt shot from 24 ft (assist by G. Hayward)
6:07.0,Denver full timeout,,50-70,,
5:55.0,J. Murray misses 2-pt shot from 1 ft,,50-70,,
5:55.0,Offensive rebound by D. Arthur,,50-70,,
5:54.0,D. Arthur misses 2-pt shot from 2 ft,,50-70,,
5:53.0,Offensive rebound by N. Jokic,,50-70,,
5:49.0,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic),3,53-70,,
5:29.0,,,53-70,,G. Hill misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by W. Chandler,,53-70,,
5:16.0,J. Nelson misses 3-pt shot from 25 ft,,53-70,,
5:16.0,,,53-70,,Defensive rebound by R. Gobert
4:58.0,,,53-70,,B. Diaw misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by W. Chandler,,53-70,,
4:44.0,Turnover by J. Murray (bad pass),,53-70,,
4:44.0,,,53-70,,T. Lyles enters the game for B. Diaw
4:35.0,Personal foul by N. Jokic (drawn by R. Gobert),,53-70,,
4:35.0,,,53-70,,R. Gobert misses free throw 1 of 2
4:35.0,,,53-70,,Offensive rebound by Team
4:35.0,,,53-70,,R. Gobert misses free throw 2 of 2
4:34.0,Defensive rebound by N. Jokic,,53-70,,
4:21.0,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic),3,56-70,,
4:14.0,Personal take foul by J. Nelson (drawn by R. Gobert),,56-70,,
4:14.0,,,56-71,1,R. Gobert makes free throw 1 of 2
4:14.0,,,56-72,1,R. Gobert makes free throw 2 of 2
3:54.0,D. Arthur misses 3-pt shot from 24 ft,,56-72,,
3:53.0,,,56-72,,Defensive rebound by R. Gobert
3:34.0,,,56-75,3,G. Hill makes 3-pt shot from 24 ft (assist by T. Lyles)
3:25.0,,,56-75,,Personal foul by R. Hood (drawn by J. Nelson)
3:12.0,D. Arthur makes 3-pt shot from 24 ft (assist by J. Murray),3,59-75,,
2:47.0,,,59-77,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
2:38.0,J. Murray misses 3-pt shot from 25 ft,,59-77,,
2:37.0,,,59-77,,Defensive rebound by R. Hood
2:29.0,,,59-79,2,R. Hood makes 2-pt shot from 8 ft
2:07.0,D. Arthur misses 3-pt shot from 24 ft,,59-79,,
2:07.0,,,59-79,,Defensive rebound by G. Hayward
1:57.0,,,59-79,,G. Hayward misses 2-pt shot from 3 ft
1:57.0,,,59-79,,Offensive rebound by R. Gobert
1:57.0,Loose ball foul by N. Jokic (drawn by R. Gobert),,59-79,,
1:57.0,,,59-80,1,R. Gobert makes free throw 1 of 2
1:57.0,,,59-81,1,R. Gobert makes free throw 2 of 2
1:57.0,,,59-80,,S. Mack enters the game for G. Hill
1:57.0,,,59-80,,J. Johnson enters the game for G. Hayward
1:46.0,Turnover by J. Nelson (lost ball),,59-81,,
1:46.0,,,59-81,,J. Withey enters the game for R. Gobert
1:34.0,Personal foul by N. Jokic (drawn by J. Withey),,59-81,,
1:34.0,,,59-81,,J. Withey misses free throw 1 of 2
1:34.0,,,59-81,,Offensive rebound by Team
1:34.0,,,59-82,1,J. Withey makes free throw 2 of 2
1:34.0,J. Nurkic enters the game for N. Jokic,,59-81,,
1:23.0,D. Arthur makes 2-pt shot at rim (assist by J. Murray),2,61-82,,
1:06.0,,,61-82,,R. Hood misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Murray,,61-82,,
0:55.0,W. Chandler misses 2-pt shot from 2 ft,,61-82,,
0:55.0,,,61-82,,Defensive rebound by T. Lyles
0:49.0,,,61-82,,Utah full timeout
0:31.0,,,61-82,,R. Hood misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by W. Chandler,,61-82,,
0:13.0,D. Arthur misses 3-pt shot from 24 ft,,61-82,,
0:13.0,Offensive rebound by J. Nurkic,,61-82,,
0:13.0,,,61-82,,Loose ball foul by J. Withey (drawn by J. Nurkic)
0:13.0,J. Nurkic misses free throw 1 of 2,,61-82,,
0:13.0,Offensive rebound by Team,,61-82,,
0:13.0,J. Nurkic misses free throw 2 of 2,,61-82,,
0:12.0,,,61-82,,Defensive rebound by T. Lyles
0:01.0,,,61-84,2,R. Hood makes 2-pt shot from 15 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,61-84,,J. Johnson misses 2-pt shot from 6 ft
11:41.0,,,61-84,,Offensive rebound by T. Lyles
11:39.0,,,61-86,2,T. Lyles makes 2-pt shot from 2 ft
11:25.0,K. Faried misses 2-pt shot from 2 ft,,61-86,,
11:24.0,,,61-86,,Defensive rebound by J. Withey
11:21.0,,,61-86,,Turnover by J. Withey (traveling)
11:06.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by A. Gee),3,64-86,,
10:46.0,,,64-86,,Offensive charge foul by T. Lyles
10:46.0,,,64-86,,Turnover by T. Lyles (offensive foul)
10:46.0,,,64-86,,J. Ingles enters the game for T. Lyles
10:35.0,Shooting foul by J. Withey (drawn by M. Beasley),,64-86,,
10:35.0,M. Beasley makes free throw 1 of 2,1,65-86,,
10:35.0,M. Beasley misses free throw 2 of 2,,65-86,,
10:34.0,,,65-86,,Defensive rebound by S. Mack
10:09.0,,,65-86,,J. Ingles misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by K. Faried,,65-86,,
10:01.0,Turnover by J. Murray (bad pass; steal by G. Hayward),,65-86,,
9:55.0,,,65-88,2,J. Ingles makes 2-pt shot from 3 ft (assist by G. Hayward)
9:55.0,Denver full timeout,,65-88,,
9:38.0,M. Beasley misses 2-pt shot from 20 ft,,65-88,,
9:37.0,,,65-88,,Defensive rebound by G. Hayward
9:27.0,,,65-88,,Shooting foul by M. Beasley (drawn by G. Hayward)
9:27.0,,,65-89,1,G. Hayward makes free throw 1 of 2
9:27.0,,,65-90,1,G. Hayward makes free throw 2 of 2
9:10.0,M. Beasley makes 2-pt shot from 18 ft,2,67-90,,
8:49.0,,,67-90,,S. Mack misses 2-pt shot from 3 ft
8:48.0,,,67-90,,Offensive rebound by J. Withey
8:47.0,,,67-92,2,J. Withey makes 2-pt shot from 2 ft
8:32.0,J. Murray makes 2-pt shot from 6 ft,2,69-92,,
8:14.0,,,69-94,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
7:58.0,,,69-94,,Personal foul by J. Ingles (drawn by J. Murray)
7:52.0,J. Murray misses 3-pt shot from 24 ft,,69-94,,
7:50.0,Offensive rebound by J. Hernangomez,,69-94,,
7:45.0,M. Beasley misses 3-pt shot from 24 ft,,69-94,,
7:44.0,,,69-94,,Defensive rebound by G. Hayward
7:31.0,,,69-94,,Shooting foul by K. Faried (drawn by G. Hayward)
7:31.0,,,69-96,2,G. Hayward makes 2-pt shot from 3 ft
7:31.0,,,69-97,1,G. Hayward makes free throw 1 of 1
7:31.0,N. Jokic enters the game for K. Faried,,69-96,,
7:31.0,,,69-96,,R. Gobert enters the game for J. Withey
7:31.0,,,69-96,,G. Hill enters the game for S. Mack
7:19.0,N. Jokic misses 2-pt shot from 21 ft,,69-97,,
7:18.0,,,69-97,,Defensive rebound by R. Gobert
7:08.0,,,69-97,,Turnover by G. Hill (bad pass)
6:54.0,N. Jokic makes 2-pt shot from 19 ft (assist by M. Beasley),2,71-97,,
6:46.0,,,71-97,,Turnover by G. Hayward (back court)
6:34.0,J. Murray misses 2-pt shot from 2 ft,,71-97,,
6:33.0,,,71-97,,Defensive rebound by R. Gobert
6:26.0,,,71-97,,Shooting foul by M. Beasley (drawn by G. Hill)
6:26.0,,,71-98,1,G. Hill makes free throw 1 of 2
6:26.0,,,71-99,1,G. Hill makes free throw 2 of 2
6:10.0,A. Gee makes 2-pt shot at rim (assist by N. Jokic),2,73-99,,
6:01.0,,,73-99,,J. Johnson misses 2-pt shot from 16 ft
6:00.0,Defensive rebound by M. Beasley,,73-99,,
5:49.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray),2,75-99,,
5:49.0,,,75-99,,Utah full timeout
5:49.0,,,75-99,,R. Hood enters the game for J. Ingles
5:49.0,,,75-99,,S. Mack enters the game for G. Hill
5:28.0,,,75-99,,Shooting foul by A. Gee (drawn by R. Gobert)
5:28.0,,,75-100,1,R. Gobert makes free throw 1 of 2
