time,Indiana,pts.away,score,pts.home,Milwaukee
2:51.0,Turnover by R. Stuckey (bad pass; steal by J. Terry),,25-17,,
2:48.0,,,25-19,2,J. Terry makes 2-pt shot from 1 ft (assist by T. Snell)
2:32.0,A. Jefferson misses 2-pt shot from 4 ft (block by G. Monroe),,25-19,,
2:30.0,,,25-19,,Defensive rebound by G. Monroe
2:26.0,,,25-19,,J. Terry misses 3-pt shot from 27 ft
2:25.0,,,25-19,,Offensive rebound by R. Vaughn
2:23.0,,,25-19,,R. Vaughn misses 2-pt shot from 1 ft
2:22.0,Defensive rebound by L. Allen,,25-19,,
2:08.0,,,25-19,,Personal foul by R. Vaughn (drawn by R. Stuckey)
2:08.0,G. Robinson enters the game for P. George,,25-19,,
1:55.0,R. Stuckey misses 3-pt shot from 26 ft,,25-19,,
1:50.0,Offensive rebound by M. Ellis,,25-19,,
1:47.0,A. Jefferson makes 2-pt shot from 1 ft (assist by M. Ellis),2,27-19,,
1:29.0,,,27-19,,Shooting foul by A. Jefferson (drawn by G. Monroe)
1:29.0,,,27-20,1,G. Monroe makes free throw 1 of 2
1:29.0,,,27-21,1,G. Monroe makes free throw 2 of 2
1:11.0,,,27-21,,Personal foul by R. Vaughn (drawn by R. Stuckey)
1:11.0,,,27-21,,J. Henson enters the game for G. Antetokounmpo
1:01.0,A. Jefferson misses 2-pt shot from 14 ft,,27-21,,
1:00.0,,,27-21,,Defensive rebound by R. Vaughn
0:49.0,,,27-21,,R. Vaughn misses 3-pt shot from 27 ft
0:47.0,Defensive rebound by M. Ellis,,27-21,,
0:37.0,R. Stuckey misses 2-pt shot from 13 ft,,27-21,,
0:35.0,,,27-21,,Defensive rebound by G. Monroe
0:25.0,,,27-21,,T. Snell misses 2-pt shot from 7 ft
0:24.0,Defensive rebound by R. Stuckey,,27-21,,
0:05.0,Turnover by R. Stuckey (bad pass; steal by G. Monroe),,27-21,,
0:01.0,,,27-23,2,G. Monroe makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,27-25,2,K. Middleton makes 2-pt shot from 1 ft
11:25.0,M. Ellis makes 2-pt shot from 22 ft (assist by L. Allen),2,29-25,,
10:57.0,T. Young enters the game for L. Allen,,29-25,,
10:54.0,,,29-25,,Turnover by K. Middleton (bad pass; steal by T. Young)
10:41.0,M. Ellis misses 2-pt shot from 17 ft,,29-25,,
10:40.0,,,29-25,,Defensive rebound by R. Vaughn
10:30.0,Personal foul by M. Ellis (drawn by K. Middleton),,29-25,,
10:22.0,,,29-28,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Terry)
10:01.0,Shooting foul by G. Monroe (drawn by A. Jefferson),,29-28,,
10:01.0,A. Jefferson makes free throw 1 of 2,1,30-28,,
10:01.0,A. Jefferson makes free throw 2 of 2,1,31-28,,
9:46.0,,,31-30,2,R. Vaughn makes 2-pt shot from 18 ft (assist by G. Monroe)
9:23.0,A. Jefferson makes 2-pt shot from 4 ft (assist by G. Robinson),2,33-30,,
9:11.0,,,33-32,2,K. Middleton makes 2-pt shot from 16 ft
8:52.0,R. Stuckey misses 3-pt shot from 27 ft,,33-32,,
8:50.0,,,33-32,,Defensive rebound by J. Henson
8:31.0,,,33-32,,Turnover by K. Middleton (lost ball)
8:31.0,,,33-32,,Loose ball foul by G. Monroe (drawn by R. Stuckey)
8:31.0,Official timeout,,33-32,,
8:31.0,M. Turner enters the game for A. Jefferson,,33-32,,
8:31.0,P. George enters the game for R. Stuckey,,33-32,,
8:31.0,J. Teague enters the game for G. Robinson,,33-32,,
8:31.0,,,33-32,,S. Hawes enters the game for G. Monroe
8:19.0,T. Young misses 2-pt shot from 10 ft,,33-32,,
8:18.0,,,33-32,,Defensive rebound by S. Hawes
8:11.0,Personal foul by M. Turner (drawn by J. Henson),,33-32,,
8:04.0,,,33-32,,J. Terry misses 2-pt shot from 2 ft (block by M. Turner)
8:01.0,Defensive rebound by T. Young,,33-32,,
7:58.0,Turnover by T. Young (lost ball; steal by J. Terry),,33-32,,
7:53.0,,,33-32,,Turnover by K. Middleton (bad pass; steal by P. George)
7:49.0,Turnover by M. Ellis (traveling),,33-32,,
7:32.0,,,33-32,,K. Middleton misses 2-pt shot from 6 ft
7:31.0,Defensive rebound by T. Young,,33-32,,
7:24.0,Turnover by P. George (bad pass; steal by J. Terry),,33-32,,
7:17.0,,,33-32,,K. Middleton misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by J. Teague,,33-32,,
7:02.0,J. Teague misses 2-pt shot from 14 ft,,33-32,,
7:01.0,,,33-32,,Defensive rebound by R. Vaughn
6:39.0,,,33-32,,Turnover by K. Middleton (bad pass; steal by T. Young)
6:36.0,Shooting foul by R. Vaughn (drawn by M. Ellis),,33-32,,
6:36.0,M. Ellis makes free throw 1 of 2,1,34-32,,
6:36.0,M. Ellis makes free throw 2 of 2,1,35-32,,
6:36.0,,,34-32,,T. Snell enters the game for R. Vaughn
6:36.0,,,34-32,,M. Dellavedova enters the game for J. Terry
6:21.0,,,35-32,,S. Hawes misses 2-pt shot from 13 ft
6:19.0,Defensive rebound by J. Teague,,35-32,,
6:07.0,T. Young makes 2-pt shot from 16 ft,2,37-32,,
5:48.0,,,37-34,2,K. Middleton makes 2-pt shot from 18 ft (assist by M. Dellavedova)
5:36.0,M. Turner misses 2-pt shot from 14 ft,,37-34,,
5:34.0,Offensive rebound by T. Young,,37-34,,
5:34.0,T. Young makes 2-pt shot from 1 ft,2,39-34,,
5:18.0,,,39-34,,Turnover by M. Dellavedova (bad pass; steal by P. George)
5:17.0,,,39-34,,Personal take foul by K. Middleton (drawn by P. George)
5:17.0,,,39-34,,Milwaukee full timeout
5:17.0,C. Miles enters the game for M. Ellis,,39-34,,
5:17.0,,,39-34,,G. Antetokounmpo enters the game for S. Hawes
4:59.0,P. George makes 2-pt shot from 1 ft,2,41-34,,
4:41.0,,,41-34,,G. Antetokounmpo misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by P. George,,41-34,,
4:35.0,Shooting foul by T. Snell (drawn by P. George),,41-34,,
4:35.0,P. George makes 2-pt shot from 17 ft,2,43-34,,
4:35.0,P. George makes free throw 1 of 1,1,44-34,,
4:11.0,,,44-34,,K. Middleton misses 2-pt shot from 21 ft
4:10.0,Defensive rebound by C. Miles,,44-34,,
4:03.0,M. Turner misses 3-pt shot from 26 ft,,44-34,,
4:02.0,,,44-34,,Defensive rebound by G. Antetokounmpo
3:55.0,,,44-34,,G. Antetokounmpo misses 2-pt shot from 1 ft
3:53.0,,,44-34,,Offensive rebound by J. Henson
3:53.0,,,44-36,2,J. Henson makes 2-pt shot at rim
3:43.0,J. Teague misses 2-pt shot from 1 ft (block by J. Henson),,44-36,,
3:40.0,Offensive rebound by P. George,,44-36,,
3:33.0,P. George misses 2-pt shot from 21 ft,,44-36,,
3:32.0,,,44-36,,Defensive rebound by J. Henson
3:12.0,,,44-36,,M. Dellavedova misses 2-pt shot from 20 ft
3:11.0,Defensive rebound by P. George,,44-36,,
3:05.0,Shooting foul by J. Henson (drawn by P. George),,44-36,,
3:05.0,P. George makes free throw 1 of 2,1,45-36,,
3:05.0,P. George makes free throw 2 of 2,1,46-36,,
3:05.0,L. Allen enters the game for T. Young,,45-36,,
2:44.0,,,46-36,,M. Dellavedova misses 2-pt shot from 10 ft
2:42.0,Defensive rebound by P. George,,46-36,,
2:39.0,Indiana full timeout,,46-36,,
2:39.0,R. Christmas enters the game for M. Turner,,46-36,,
2:37.0,Turnover by J. Teague (lost ball),,46-36,,
2:37.0,Jump ball: G. Antetokounmpo vs. J. Teague (T. Snell gains possession),,,,Jump ball: G. Antetokounmpo vs. J. Teague (T. Snell gains possession)
2:27.0,,,46-38,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:08.0,Turnover by J. Teague (bad pass; steal by J. Henson),,46-38,,
1:58.0,,,46-38,,Offensive foul by K. Middleton
1:58.0,,,46-38,,Turnover by K. Middleton (offensive foul)
1:46.0,Turnover by P. George (bad pass; steal by G. Antetokounmpo),,46-38,,
1:43.0,,,46-38,,Turnover by M. Dellavedova (bad pass)
1:30.0,J. Teague misses 2-pt shot from 19 ft,,46-38,,
1:29.0,Offensive rebound by L. Allen,,46-38,,
1:26.0,Turnover by L. Allen (bad pass; steal by G. Antetokounmpo),,46-38,,
1:20.0,,,46-38,,Shooting foul by C. Miles (drawn by G. Antetokounmpo)
1:20.0,,,46-39,1,G. Antetokounmpo makes free throw 1 of 2
1:20.0,,,46-40,1,G. Antetokounmpo makes free throw 2 of 2
1:01.0,C. Miles misses 3-pt shot from 24 ft,,46-40,,
1:00.0,Offensive rebound by L. Allen,,46-40,,
1:00.0,L. Allen misses 2-pt shot from 4 ft (block by J. Henson),,46-40,,
0:58.0,Offensive rebound by R. Christmas,,46-40,,
0:52.0,J. Teague makes 2-pt shot from 5 ft,2,48-40,,
0:39.0,,,48-42,2,G. Antetokounmpo makes 2-pt shot from 18 ft
0:28.0,P. George makes 2-pt shot from 16 ft (assist by J. Teague),2,50-42,,
0:05.0,,,50-45,3,M. Dellavedova makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
0:00.0,J. Teague misses 3-pt shot from 39 ft,,50-45,,
0:00.0,Offensive rebound by Team,,50-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,50-45,,M. Dellavedova misses 2-pt shot from 1 ft
11:49.0,,,50-45,,Offensive rebound by J. Henson
11:49.0,,,50-47,2,J. Henson makes 2-pt shot at rim
11:23.0,J. Teague makes 2-pt shot from 8 ft,2,52-47,,
11:06.0,,,52-47,,G. Antetokounmpo misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by J. Teague,,52-47,,
10:56.0,Turnover by J. Teague (bad pass; steal by G. Antetokounmpo),,52-47,,
10:51.0,,,52-49,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:25.0,T. Young misses 2-pt shot from 2 ft (block by J. Henson),,52-49,,
10:25.0,Offensive rebound by Team,,52-49,,
10:25.0,Turnover by Team (shot clock),,52-49,,
10:03.0,,,52-49,,Offensive charge foul by G. Antetokounmpo
10:03.0,,,52-49,,Turnover by G. Antetokounmpo (offensive foul)
9:48.0,M. Turner misses 2-pt shot from 7 ft,,52-49,,
9:46.0,,,52-49,,Defensive rebound by J. Henson
9:35.0,,,52-51,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
9:18.0,C. Miles makes 2-pt shot from 22 ft (assist by P. George),2,54-51,,
9:08.0,,,54-51,,Shooting foul by P. George (drawn by T. Snell)
9:08.0,,,54-52,1,T. Snell makes free throw 1 of 3
9:08.0,,,54-53,1,T. Snell makes free throw 2 of 3
9:08.0,,,54-54,1,T. Snell makes free throw 3 of 3
8:49.0,P. George misses 2-pt shot from 17 ft,,54-54,,
8:48.0,,,54-54,,Defensive rebound by G. Antetokounmpo
8:35.0,,,54-57,3,K. Middleton makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
8:35.0,Indiana full timeout,,54-57,,
8:21.0,T. Young makes 2-pt shot from 1 ft (assist by M. Turner),2,56-57,,
7:55.0,,,56-57,,T. Snell misses 2-pt shot from 17 ft (block by C. Miles)
7:53.0,Defensive rebound by M. Turner,,56-57,,
7:31.0,Turnover by Team (shot clock),,56-57,,
7:18.0,,,56-57,,Turnover by K. Middleton (bad pass; steal by M. Turner)
7:09.0,M. Turner misses 2-pt shot from 20 ft,,56-57,,
7:08.0,,,56-57,,Defensive rebound by J. Henson
6:58.0,,,56-57,,J. Henson misses 2-pt shot from 3 ft
6:56.0,,,56-57,,Offensive rebound by J. Henson
6:56.0,,,56-59,2,J. Henson makes 2-pt shot at rim
6:46.0,Turnover by J. Teague (lost ball; steal by G. Antetokounmpo),,56-59,,
6:46.0,Personal foul by J. Teague (drawn by M. Dellavedova),,56-59,,
6:36.0,,,56-59,,Shooting foul by C. Miles (drawn by T. Snell)
6:36.0,,,56-60,1,T. Snell makes free throw 1 of 2
6:36.0,,,56-61,1,T. Snell makes free throw 2 of 2
6:26.0,,,56-61,,Personal block foul by M. Dellavedova (drawn by J. Teague)
6:14.0,T. Young misses 2-pt shot from 1 ft (block by J. Henson),,56-61,,
6:11.0,,,56-61,,Defensive rebound by T. Snell
6:03.0,,,56-61,,Turnover by K. Middleton (bad pass; steal by T. Young)
6:01.0,T. Young makes 2-pt shot from 1 ft,2,58-61,,
6:01.0,Shooting foul by T. Snell (drawn by T. Young),,58-61,,
6:01.0,T. Young misses free throw 1 of 1,,58-61,,
6:01.0,,,58-61,,Defensive rebound by Team
5:49.0,,,58-63,2,M. Dellavedova makes 2-pt shot from 6 ft
5:49.0,,,58-63,,Shooting foul by J. Teague (drawn by M. Dellavedova)
5:49.0,,,58-64,1,M. Dellavedova makes free throw 1 of 1
5:23.0,J. Teague makes 2-pt shot from 2 ft,2,60-64,,
5:08.0,,,60-64,,Turnover by G. Antetokounmpo (lost ball; steal by J. Teague)
4:56.0,C. Miles misses 3-pt shot from 24 ft,,60-64,,
4:55.0,,,60-64,,Defensive rebound by G. Antetokounmpo
4:41.0,,,60-64,,Turnover by J. Henson (lost ball; steal by J. Teague)
4:37.0,Turnover by T. Young (bad pass),,60-64,,
4:37.0,,,60-64,,J. Terry enters the game for K. Middleton
4:37.0,,,60-64,,G. Monroe enters the game for J. Henson
4:23.0,,,60-64,,M. Dellavedova misses 2-pt shot from 6 ft
4:22.0,,,60-64,,Offensive rebound by G. Monroe
4:21.0,,,60-64,,Shooting foul by M. Turner (drawn by G. Monroe)
4:21.0,,,60-66,2,G. Monroe makes 2-pt shot at rim
4:21.0,,,60-67,1,G. Monroe makes free throw 1 of 1
4:21.0,M. Ellis enters the game for C. Miles,,60-66,,
4:08.0,J. Teague makes 2-pt shot from 1 ft,2,62-67,,
3:50.0,,,62-67,,Shooting foul by T. Young (drawn by G. Monroe)
3:50.0,,,62-68,1,G. Monroe makes free throw 1 of 2
3:50.0,,,62-68,,G. Monroe misses free throw 2 of 2
3:50.0,A. Jefferson enters the game for M. Turner,,62-68,,
3:50.0,L. Allen enters the game for T. Young,,62-68,,
3:49.0,Defensive rebound by A. Jefferson,,62-68,,
3:26.0,J. Teague makes 2-pt shot from 9 ft,2,64-68,,
3:10.0,,,64-70,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:59.0,J. Teague makes 2-pt shot from 4 ft,2,66-70,,
2:47.0,,,66-72,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:31.0,P. George misses 2-pt shot from 15 ft,,66-72,,
2:30.0,,,66-72,,Defensive rebound by J. Terry
2:26.0,Personal foul by P. George (drawn by G. Antetokounmpo),,66-72,,
2:26.0,,,66-72,,Milwaukee full timeout
2:26.0,,,66-72,,Violation by Team (jump ball)
2:26.0,,,66-73,1,G. Antetokounmpo makes free throw 1 of 2
2:26.0,,,66-74,1,G. Antetokounmpo makes free throw 2 of 2
2:26.0,,,66-72,,R. Vaughn enters the game for M. Dellavedova
2:26.0,R. Stuckey enters the game for J. Teague,,66-72,,
2:26.0,G. Robinson enters the game for L. Allen,,66-72,,
2:02.0,A. Jefferson misses 2-pt shot from 7 ft,,66-74,,
2:01.0,,,66-74,,Defensive rebound by Team
1:50.0,,,66-74,,Offensive charge foul by G. Antetokounmpo
1:50.0,,,66-74,,Turnover by G. Antetokounmpo (offensive foul)
1:35.0,M. Ellis makes 2-pt shot from 19 ft,2,68-74,,
1:06.0,,,68-74,,T. Snell misses 3-pt shot from 28 ft
1:05.0,Defensive rebound by P. George,,68-74,,
0:55.0,P. George misses 3-pt shot from 26 ft,,68-74,,
0:54.0,,,68-74,,Defensive rebound by G. Antetokounmpo
0:42.0,,,68-74,,Turnover by G. Antetokounmpo (bad pass; steal by P. George)
0:24.0,Shooting foul by J. Terry (drawn by R. Stuckey),,68-74,,
0:24.0,R. Stuckey misses free throw 1 of 2,,68-74,,
0:24.0,Offensive rebound by Team,,68-74,,
0:24.0,R. Stuckey misses free throw 2 of 2,,68-74,,
0:23.0,,,68-74,,Defensive rebound by G. Monroe
0:00.0,,,68-74,,G. Antetokounmpo misses 2-pt shot from 17 ft
0:00.0,,,68-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Jefferson misses 2-pt shot from 1 ft,,68-74,,
11:44.0,Offensive rebound by G. Robinson,,68-74,,
11:44.0,G. Robinson makes 2-pt shot from 1 ft,2,70-74,,
11:27.0,,,70-76,2,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton)
11:02.0,P. George misses 3-pt shot from 24 ft,,70-76,,
11:02.0,,,70-76,,Defensive rebound by Team
11:02.0,Loose ball foul by A. Jefferson (drawn by G. Monroe),,70-76,,
10:50.0,,,70-76,,K. Middleton misses 2-pt shot from 10 ft
10:49.0,Defensive rebound by R. Stuckey,,70-76,,
10:32.0,A. Jefferson misses 2-pt shot from 16 ft,,70-76,,
10:31.0,,,70-76,,Defensive rebound by K. Middleton
10:13.0,,,70-76,,Shooting foul by A. Jefferson (drawn by K. Middleton)
10:13.0,,,70-77,1,K. Middleton makes free throw 1 of 2
10:13.0,,,70-78,1,K. Middleton makes free throw 2 of 2
10:13.0,M. Turner enters the game for A. Jefferson,,70-77,,
9:52.0,M. Ellis makes 2-pt shot from 1 ft,2,72-78,,
9:29.0,,,72-78,,R. Vaughn misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by P. George,,72-78,,
9:19.0,P. George makes 2-pt shot from 15 ft,2,74-78,,
9:04.0,,,74-78,,Shooting foul by M. Ellis (drawn by J. Terry)
9:04.0,,,74-79,1,J. Terry makes free throw 1 of 2
9:04.0,,,74-79,,J. Terry misses free throw 2 of 2
9:02.0,Defensive rebound by G. Robinson,,74-79,,
8:50.0,M. Ellis misses 3-pt shot from 24 ft,,74-79,,
8:49.0,,,74-79,,Defensive rebound by J. Terry
8:45.0,Official timeout,,74-79,,
8:45.0,J. Teague enters the game for R. Stuckey,,74-79,,
8:36.0,,,74-79,,Turnover by G. Monroe (bad pass; steal by G. Robinson)
8:23.0,M. Ellis makes 2-pt shot from 1 ft,2,76-79,,
8:04.0,,,76-81,2,G. Monroe makes 2-pt shot at rim
7:50.0,Shooting foul by R. Vaughn (drawn by J. Teague),,76-81,,
7:50.0,J. Teague makes free throw 1 of 2,1,77-81,,
7:50.0,J. Teague makes free throw 2 of 2,1,78-81,,
7:32.0,,,78-81,,G. Monroe misses 2-pt shot from 1 ft (block by M. Turner)
7:30.0,Defensive rebound by J. Teague,,78-81,,
7:23.0,P. George misses 3-pt shot from 26 ft,,78-81,,
7:22.0,,,78-81,,Defensive rebound by G. Monroe
7:02.0,,,78-84,3,J. Terry makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:49.0,G. Robinson misses 3-pt shot from 23 ft,,78-84,,
6:48.0,,,78-84,,Defensive rebound by K. Middleton
6:34.0,Personal foul by P. George (drawn by G. Antetokounmpo),,78-84,,
6:29.0,,,78-84,,Turnover by G. Antetokounmpo (lost ball; steal by G. Robinson)
6:23.0,Turnover by M. Ellis (lost ball; steal by R. Vaughn),,78-84,,
6:00.0,,,78-86,2,J. Terry makes 2-pt shot from 5 ft
5:39.0,M. Turner misses 2-pt shot from 18 ft,,78-86,,
5:38.0,,,78-86,,Defensive rebound by G. Antetokounmpo
5:19.0,Personal foul by M. Ellis (drawn by R. Vaughn),,78-86,,
5:19.0,,,78-86,,Milwaukee full timeout
5:19.0,,,78-86,,K. Middleton misses free throw 1 of 2
5:19.0,,,78-86,,Offensive rebound by Team
5:19.0,,,78-87,1,K. Middleton makes free throw 2 of 2
5:19.0,C. Miles enters the game for G. Robinson,,78-86,,
5:03.0,Shooting foul by J. Terry (drawn by M. Ellis),,78-87,,
5:03.0,M. Ellis misses free throw 1 of 2,,78-87,,
5:03.0,Offensive rebound by Team,,78-87,,
5:03.0,M. Ellis makes free throw 2 of 2,1,79-87,,
4:53.0,Personal block foul by M. Ellis (drawn by K. Middleton),,79-87,,
4:53.0,,,79-88,1,K. Middleton makes free throw 1 of 2
4:53.0,,,79-88,,K. Middleton misses free throw 2 of 2
4:51.0,Defensive rebound by P. George,,79-88,,
4:43.0,Turnover by J. Teague (bad pass),,79-88,,
4:18.0,,,79-88,,Turnover by Team (shot clock)
4:03.0,P. George makes 2-pt shot from 1 ft,2,81-88,,
4:03.0,Shooting foul by G. Antetokounmpo (drawn by P. George),,81-88,,
4:03.0,P. George makes free throw 1 of 1,1,82-88,,
3:50.0,Violation by M. Turner (def goaltending),,82-88,,
3:50.0,,,82-90,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
3:27.0,M. Ellis misses 3-pt shot from 31 ft,,82-90,,
3:25.0,,,82-90,,Defensive rebound by J. Terry
3:08.0,,,82-90,,Shooting foul by J. Teague (drawn by G. Monroe)
3:08.0,,,82-91,1,G. Monroe makes free throw 1 of 2
3:08.0,,,82-92,1,G. Monroe makes free throw 2 of 2
3:08.0,Indiana full timeout,,82-92,,
2:54.0,M. Turner misses 2-pt shot from 16 ft,,82-92,,
2:53.0,,,82-92,,Defensive rebound by G. Monroe
2:32.0,Personal foul by P. George (drawn by G. Antetokounmpo),,82-92,,
2:32.0,,,82-93,1,G. Antetokounmpo makes free throw 1 of 2
2:32.0,,,82-94,1,G. Antetokounmpo makes free throw 2 of 2
2:23.0,Shooting foul by G. Monroe (drawn by M. Ellis),,82-94,,
2:23.0,M. Ellis misses free throw 1 of 2,,82-94,,
2:23.0,Offensive rebound by Team,,82-94,,
2:23.0,M. Ellis makes free throw 2 of 2,1,83-94,,
2:00.0,,,83-97,3,K. Middleton makes 3-pt shot from 25 ft (assist by R. Vaughn)
1:49.0,Shooting foul by R. Vaughn (drawn by P. George),,83-97,,
1:49.0,P. George makes free throw 1 of 2,1,84-97,,
1:49.0,P. George makes free throw 2 of 2,1,85-97,,
1:24.0,,,85-97,,K. Middleton misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by P. George,,85-97,,
1:18.0,P. George misses 2-pt shot from 1 ft,,85-97,,
1:16.0,,,85-97,,Defensive rebound by G. Monroe
1:00.0,,,85-97,,Turnover by G. Monroe (lost ball)
1:00.0,Indiana full timeout,,85-97,,
1:00.0,,,85-97,,T. Maker enters the game for K. Middleton
1:00.0,,,85-97,,M. Dellavedova enters the game for G. Monroe
1:00.0,,,85-97,,T. Snell enters the game for J. Terry
0:56.0,C. Miles misses 3-pt shot from 25 ft,,85-97,,
0:54.0,,,85-97,,Defensive rebound by G. Antetokounmpo
0:44.0,Personal take foul by M. Ellis (drawn by M. Dellavedova),,85-97,,
0:44.0,,,85-98,1,M. Dellavedova makes free throw 1 of 2
0:44.0,,,85-99,1,M. Dellavedova makes free throw 2 of 2
0:44.0,,,85-98,,S. Hawes enters the game for G. Antetokounmpo
