time,Detroit,pts.away,score,pts.home,Sacramento
6:44.0,K. Caldwell-Pope enters the game for H. Ellenson,,39-33,,
6:44.0,,,39-33,,Violation by Team (delay of game)
6:24.0,M. Morris makes 2-pt shot from 6 ft,2,41-33,,
5:59.0,,,41-33,,D. Cousins misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by M. Morris,,41-33,,
5:49.0,R. Jackson misses 2-pt shot from 3 ft,,41-33,,
5:48.0,,,41-33,,Defensive rebound by D. Cousins
5:37.0,,,41-33,,Turnover by R. Gay (bad pass; steal by A. Drummond)
5:29.0,Shooting foul by R. Gay (drawn by A. Drummond),,41-33,,
5:29.0,,,41-33,,Violation by D. Collison (lane)
5:29.0,A. Drummond misses free throw 1 of 2,,41-33,,
5:29.0,Offensive rebound by Team,,41-33,,
5:29.0,A. Drummond misses free throw 2 of 2,,41-33,,
5:28.0,,,41-33,,Defensive rebound by R. Gay
5:15.0,,,41-33,,A. Tolliver misses 2-pt shot from 13 ft
5:14.0,,,41-33,,Offensive rebound by D. Cousins
5:12.0,,,41-33,,R. Gay misses 2-pt shot at rim (block by A. Drummond)
5:10.0,,,41-33,,Offensive rebound by A. Tolliver
5:02.0,,,41-33,,D. Cousins misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by R. Jackson,,41-33,,
4:51.0,M. Morris misses 3-pt shot from 23 ft,,41-33,,
4:50.0,,,41-33,,Defensive rebound by R. Gay
4:38.0,Personal foul by S. Johnson (drawn by R. Gay),,41-33,,
4:38.0,,,41-33,,G. Temple enters the game for A. Afflalo
4:27.0,,,41-33,,D. Collison misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by K. Caldwell-Pope,,41-33,,
4:10.0,Turnover by M. Morris (bad pass; steal by D. Cousins),,41-33,,
4:08.0,,,41-33,,Turnover by R. Gay (bad pass; steal by M. Morris)
4:05.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,43-33,,
3:46.0,Personal foul by R. Jackson (drawn by D. Collison),,43-33,,
3:46.0,T. Harris enters the game for S. Johnson,,43-33,,
3:38.0,,,43-33,,Turnover by R. Gay (bad pass; steal by A. Drummond)
3:33.0,Offensive charge foul by R. Jackson,,43-33,,
3:33.0,Turnover by R. Jackson (offensive foul),,43-33,,
3:33.0,I. Smith enters the game for R. Jackson,,43-33,,
3:21.0,,,43-33,,A. Tolliver misses 2-pt shot from 17 ft
3:20.0,Defensive rebound by A. Drummond,,43-33,,
3:08.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by T. Harris),3,46-33,,
2:50.0,,,46-36,3,D. Collison makes 3-pt shot from 25 ft (assist by A. Tolliver)
2:34.0,M. Morris misses 2-pt shot from 6 ft,,46-36,,
2:33.0,,,46-36,,Defensive rebound by R. Gay
2:27.0,,,46-36,,D. Collison misses 2-pt shot from 4 ft
2:27.0,Defensive rebound by Team,,46-36,,
2:27.0,,,46-36,,Loose ball foul by R. Gay (drawn by T. Harris)
2:27.0,S. Johnson enters the game for M. Morris,,46-36,,
2:27.0,A. Baynes enters the game for A. Drummond,,46-36,,
2:15.0,I. Smith makes 2-pt shot from 5 ft,2,48-36,,
2:03.0,Personal foul by A. Baynes (drawn by D. Cousins),,48-36,,
2:03.0,,,48-36,,D. Cousins misses free throw 1 of 2
2:03.0,,,48-36,,Offensive rebound by Team
2:03.0,,,48-37,1,D. Cousins makes free throw 2 of 2
1:53.0,,,48-37,,Shooting block foul by D. Cousins (drawn by I. Smith)
1:53.0,I. Smith makes free throw 1 of 2,1,49-37,,
1:53.0,I. Smith makes free throw 2 of 2,1,50-37,,
1:53.0,,,49-37,,K. Koufos enters the game for D. Cousins
1:53.0,H. Ellenson enters the game for S. Johnson,,49-37,,
1:41.0,,,50-37,,G. Temple misses 2-pt shot from 18 ft
1:41.0,,,50-37,,Offensive rebound by Team
1:41.0,Loose ball foul by H. Ellenson (drawn by A. Tolliver),,50-37,,
1:41.0,,,50-38,1,A. Tolliver makes free throw 1 of 2
1:41.0,,,50-39,1,A. Tolliver makes free throw 2 of 2
1:18.0,Shooting foul by R. Gay (drawn by K. Caldwell-Pope),,50-39,,
1:18.0,K. Caldwell-Pope makes free throw 1 of 3,1,51-39,,
1:18.0,K. Caldwell-Pope makes free throw 2 of 3,1,52-39,,
1:18.0,K. Caldwell-Pope makes free throw 3 of 3,1,53-39,,
1:18.0,,,52-39,,A. Afflalo enters the game for R. Gay
0:57.0,,,53-39,,G. Temple misses 2-pt shot from 4 ft
0:57.0,,,53-39,,Offensive rebound by K. Koufos
0:57.0,,,53-41,2,K. Koufos makes 2-pt shot from 1 ft
0:42.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by H. Ellenson),3,56-41,,
0:23.0,,,56-43,2,A. Tolliver makes 2-pt shot from 2 ft
0:01.0,H. Ellenson misses 3-pt shot from 24 ft,,56-43,,
0:01.0,,,56-43,,Defensive rebound by Team
0:00.0,,,56-43,,D. Collison misses 3-pt shot from 55 ft
0:00.0,,,56-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,56-43,,R. Gay misses 2-pt shot from 2 ft
11:34.0,Defensive rebound by T. Harris,,56-43,,
11:16.0,R. Jackson makes 2-pt shot from 2 ft,2,58-43,,
11:15.0,Violation by Team (delay of game),,58-43,,
10:56.0,,,58-45,2,D. Cousins makes 2-pt shot from 6 ft (assist by D. Collison)
10:36.0,A. Drummond makes 2-pt shot from 12 ft (assist by K. Caldwell-Pope),2,60-45,,
10:12.0,,,60-47,2,D. Collison makes 2-pt shot from 20 ft
9:46.0,M. Morris misses 2-pt shot from 22 ft,,60-47,,
9:46.0,Offensive rebound by Team,,60-47,,
9:46.0,,,60-47,,Loose ball foul by D. Cousins (drawn by A. Drummond)
9:33.0,M. Morris misses 3-pt shot from 23 ft,,60-47,,
9:33.0,Offensive rebound by A. Drummond,,60-47,,
9:31.0,Turnover by A. Drummond (bad pass),,60-47,,
9:14.0,,,60-50,3,G. Temple makes 3-pt shot from 24 ft (assist by D. Cousins)
8:51.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris),3,63-50,,
8:33.0,,,63-50,,R. Gay misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by A. Drummond,,63-50,,
8:24.0,,,63-50,,Personal foul by G. Temple (drawn by K. Caldwell-Pope)
8:12.0,R. Jackson makes 2-pt shot from 8 ft,2,65-50,,
7:52.0,Shooting block foul by M. Morris (drawn by A. Tolliver),,65-50,,
7:52.0,,,65-51,1,A. Tolliver makes free throw 1 of 2
7:52.0,,,65-52,1,A. Tolliver makes free throw 2 of 2
7:31.0,T. Harris misses 3-pt shot from 24 ft,,65-52,,
7:30.0,,,65-52,,Defensive rebound by R. Gay
7:15.0,,,65-52,,Turnover by D. Cousins (lost ball; steal by T. Harris)
7:10.0,T. Harris makes 2-pt shot from 3 ft,2,67-52,,
7:02.0,,,67-52,,D. Cousins misses 2-pt shot from 3 ft
7:00.0,Defensive rebound by T. Harris,,67-52,,
6:53.0,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson),3,70-52,,
6:53.0,,,70-52,,Sacramento full timeout
6:33.0,,,70-52,,G. Temple misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by R. Jackson,,70-52,,
6:27.0,Turnover by R. Jackson (bad pass; steal by R. Gay),,70-52,,
6:27.0,,,70-52,,Turnover by R. Gay (bad pass; steal by A. Drummond)
6:27.0,,,70-52,,Personal foul by G. Temple (drawn by A. Drummond)
6:14.0,Turnover by K. Caldwell-Pope (lost ball; steal by G. Temple),,70-52,,
6:04.0,,,70-55,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Cousins)
5:50.0,,,70-55,,Personal foul by R. Gay (drawn by R. Jackson)
5:50.0,,,70-55,,K. Koufos enters the game for D. Cousins
5:42.0,R. Jackson misses 2-pt shot from 4 ft,,70-55,,
5:40.0,,,70-55,,Defensive rebound by K. Koufos
5:31.0,Personal foul by K. Caldwell-Pope (drawn by G. Temple),,70-55,,
5:31.0,,,70-55,,T. Lawson enters the game for R. Gay
5:27.0,S. Johnson enters the game for M. Morris,,70-55,,
5:17.0,,,70-55,,D. Collison misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by A. Drummond,,70-55,,
5:09.0,T. Harris misses 2-pt shot from 7 ft,,70-55,,
5:08.0,Offensive rebound by A. Drummond,,70-55,,
5:06.0,A. Drummond makes 2-pt shot from 3 ft,2,72-55,,
4:59.0,,,72-55,,Shooting foul by S. Johnson (drawn by T. Lawson)
4:59.0,,,72-56,1,T. Lawson makes free throw 1 of 2
4:59.0,,,72-57,1,T. Lawson makes free throw 2 of 2
4:48.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,72-57,,
4:48.0,,,72-57,,Defensive rebound by T. Lawson
4:40.0,,,72-57,,Shooting foul by K. Caldwell-Pope (drawn by T. Lawson)
4:40.0,,,72-57,,T. Lawson misses free throw 1 of 2
4:40.0,,,72-57,,Offensive rebound by Team
4:40.0,,,72-58,1,T. Lawson makes free throw 2 of 2
4:25.0,R. Jackson makes 2-pt shot from 9 ft,2,74-58,,
4:15.0,,,74-58,,A. Tolliver misses 3-pt shot from 23 ft (block by T. Harris)
4:13.0,Defensive rebound by A. Drummond,,74-58,,
4:03.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,74-58,,
4:02.0,Offensive rebound by A. Drummond,,74-58,,
4:01.0,,,74-58,,Personal foul by T. Lawson (drawn by A. Drummond)
4:01.0,A. Drummond misses free throw 1 of 2,,74-58,,
4:01.0,Offensive rebound by Team,,74-58,,
4:01.0,A. Drummond makes free throw 2 of 2,1,75-58,,
3:51.0,,,75-60,2,D. Collison makes 2-pt shot from 16 ft
3:28.0,T. Harris misses 3-pt shot from 24 ft,,75-60,,
3:28.0,,,75-60,,Defensive rebound by G. Temple
3:17.0,,,75-63,3,G. Temple makes 3-pt shot from 25 ft (assist by D. Collison)
3:17.0,Detroit full timeout,,75-63,,
3:17.0,B. Marjanovic enters the game for T. Harris,,75-63,,
3:17.0,M. Morris enters the game for A. Drummond,,75-63,,
3:17.0,I. Smith enters the game for R. Jackson,,75-63,,
3:17.0,,,75-63,,O. Casspi enters the game for G. Temple
2:55.0,B. Marjanovic misses 2-pt shot from 5 ft,,75-63,,
2:54.0,,,75-63,,Defensive rebound by K. Koufos
2:42.0,,,75-66,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
2:28.0,S. Johnson misses 2-pt shot from 4 ft,,75-66,,
2:27.0,,,75-66,,Defensive rebound by O. Casspi
2:10.0,,,75-66,,Turnover by D. Collison (bad pass; steal by M. Morris)
1:56.0,M. Morris makes 2-pt shot from 15 ft,2,77-66,,
1:32.0,,,77-66,,Turnover by T. Lawson (bad pass)
1:32.0,,,77-66,,R. Gay enters the game for D. Collison
1:18.0,B. Marjanovic misses 2-pt shot from 16 ft,,77-66,,
1:17.0,,,77-66,,Defensive rebound by O. Casspi
1:01.0,,,77-68,2,K. Koufos makes 2-pt shot from 3 ft (assist by A. Tolliver)
0:43.0,Turnover by M. Morris (bad pass; steal by R. Gay),,77-68,,
0:38.0,,,77-68,,O. Casspi misses 2-pt shot from 8 ft
0:37.0,,,77-68,,Offensive rebound by A. Tolliver
0:32.0,,,77-68,,Offensive foul by R. Gay
0:32.0,,,77-68,,Turnover by R. Gay (offensive foul)
0:23.0,Turnover by I. Smith (bad pass),,77-68,,
0:06.0,,,77-68,,T. Lawson misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by M. Morris,,77-68,,
0:01.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,77-68,,
0:00.0,,,77-68,,Defensive rebound by T. Lawson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,B. Marjanovic makes 2-pt shot from 6 ft,2,79-68,,
11:17.0,,,79-70,2,R. Gay makes 2-pt shot from 12 ft
11:00.0,M. Morris misses 2-pt shot from 17 ft,,79-70,,
10:59.0,,,79-70,,Defensive rebound by O. Casspi
10:43.0,,,79-70,,R. Gay misses 2-pt shot from 11 ft
10:42.0,Defensive rebound by I. Smith,,79-70,,
10:37.0,S. Johnson misses 2-pt shot from 3 ft,,79-70,,
10:36.0,,,79-70,,Defensive rebound by O. Casspi
10:32.0,,,79-70,,Shooting foul by M. Morris (drawn by O. Casspi)
10:32.0,,,79-71,1,O. Casspi makes free throw 1 of 2
10:32.0,,,79-72,1,O. Casspi makes free throw 2 of 2
10:17.0,T. Harris misses 2-pt shot from 11 ft,,79-72,,
10:15.0,,,79-72,,Defensive rebound by K. Koufos
10:06.0,,,79-74,2,T. Lawson makes 2-pt shot from 16 ft
9:43.0,B. Marjanovic makes 2-pt shot from 12 ft,2,81-74,,
9:29.0,A. Drummond enters the game for B. Marjanovic,,81-74,,
9:26.0,,,81-74,,A. Tolliver misses 3-pt shot from 24 ft
9:25.0,,,81-74,,Offensive rebound by R. Gay
9:18.0,,,81-74,,R. Gay misses 2-pt shot from 7 ft (block by A. Drummond)
9:18.0,,,81-74,,Offensive rebound by Team
9:06.0,,,81-76,2,K. Koufos makes 2-pt shot at rim (assist by A. Tolliver)
8:59.0,Detroit full timeout,,81-76,,
8:59.0,K. Caldwell-Pope enters the game for S. Johnson,,81-76,,
8:59.0,R. Jackson enters the game for I. Smith,,81-76,,
8:48.0,M. Morris misses 3-pt shot from 25 ft,,81-76,,
8:47.0,,,81-76,,Defensive rebound by O. Casspi
8:34.0,,,81-78,2,K. Koufos makes 2-pt shot at rim (assist by T. Lawson)
8:14.0,T. Harris makes 2-pt shot from 11 ft,2,83-78,,
8:02.0,,,83-78,,T. Lawson misses 2-pt shot from 3 ft (block by A. Drummond)
8:01.0,Defensive rebound by K. Caldwell-Pope,,83-78,,
8:01.0,,,83-78,,Personal foul by O. Casspi (drawn by K. Caldwell-Pope)
7:39.0,R. Jackson misses 3-pt shot from 27 ft,,83-78,,
7:38.0,,,83-78,,Defensive rebound by A. Tolliver
7:15.0,,,83-78,,T. Lawson misses 2-pt shot from 3 ft
7:11.0,,,83-78,,Offensive rebound by O. Casspi
7:11.0,,,83-80,2,O. Casspi makes 2-pt shot from 2 ft
6:51.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,86-80,,
6:39.0,Personal foul by A. Drummond (drawn by O. Casspi),,86-80,,
6:39.0,,,86-80,,D. Cousins enters the game for A. Tolliver
6:28.0,,,86-80,,Shooting foul by A. Drummond (drawn by K. Koufos)
6:28.0,,,86-81,1,K. Koufos makes free throw 1 of 2
6:28.0,,,86-82,1,K. Koufos makes free throw 2 of 2
6:15.0,Turnover by R. Jackson (lost ball),,86-82,,
6:01.0,,,86-84,2,K. Koufos makes 2-pt shot from 3 ft (assist by D. Cousins)
6:00.0,Detroit full timeout,,86-84,,
6:00.0,A. Baynes enters the game for M. Morris,,86-84,,
5:48.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by A. Drummond),3,89-84,,
5:28.0,Personal foul by A. Baynes (drawn by D. Cousins),,89-84,,
5:15.0,,,89-84,,D. Cousins misses 2-pt shot from 4 ft (block by A. Drummond)
5:13.0,Defensive rebound by A. Baynes,,89-84,,
5:00.0,Turnover by K. Caldwell-Pope (lost ball; steal by O. Casspi),,89-84,,
4:58.0,,,89-84,,Shooting foul by T. Harris (drawn by O. Casspi)
4:58.0,,,89-84,,O. Casspi misses free throw 1 of 2
4:58.0,,,89-84,,Offensive rebound by Team
4:58.0,,,89-84,,O. Casspi misses free throw 2 of 2
4:57.0,,,89-84,,Offensive rebound by D. Cousins
4:49.0,,,89-84,,Turnover by D. Cousins (lost ball; steal by K. Caldwell-Pope)
4:43.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,89-84,,
4:43.0,,,89-84,,Defensive rebound by Team
4:43.0,,,89-84,,G. Temple enters the game for O. Casspi
4:26.0,,,89-87,3,T. Lawson makes 3-pt shot from 25 ft (assist by R. Gay)
4:05.0,A. Baynes misses 2-pt shot from 16 ft,,89-87,,
4:05.0,,,89-87,,Defensive rebound by D. Cousins
3:53.0,,,89-87,,T. Lawson misses 2-pt shot from 12 ft (block by A. Drummond)
3:51.0,Defensive rebound by A. Drummond,,89-87,,
3:42.0,R. Jackson misses 2-pt shot from 2 ft,,89-87,,
3:41.0,,,89-87,,Defensive rebound by K. Koufos
3:31.0,Personal foul by A. Baynes (drawn by R. Gay),,89-87,,
3:31.0,,,89-88,1,R. Gay makes free throw 1 of 2
3:31.0,,,89-89,1,R. Gay makes free throw 2 of 2
3:13.0,A. Baynes misses 2-pt shot at rim (block by K. Koufos),,89-89,,
3:12.0,Offensive rebound by A. Baynes,,89-89,,
3:12.0,,,89-89,,Personal foul by G. Temple (drawn by A. Baynes)
3:00.0,R. Jackson makes 3-pt shot from 27 ft,3,92-89,,
2:39.0,,,92-92,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
2:11.0,R. Jackson misses 2-pt shot from 15 ft,,92-92,,
2:10.0,,,92-92,,Defensive rebound by K. Koufos
2:01.0,Official timeout,,92-92,,
2:01.0,,,92-92,,A. Tolliver enters the game for K. Koufos
2:01.0,M. Morris enters the game for A. Baynes,,92-92,,
