time,San Antonio,pts.away,score,pts.home,Brooklyn
11:36.0,,,27-26,,Defensive rebound by R. Hollis-Jefferson
11:26.0,,,27-26,,B. Lopez misses 2-pt shot from 7 ft
11:25.0,,,27-26,,Offensive rebound by B. Lopez
11:22.0,,,27-26,,B. Lopez misses 2-pt shot from 2 ft
11:21.0,,,27-26,,Offensive rebound by Team
11:21.0,Loose ball foul by J. Simmons (drawn by B. Lopez),,27-26,,
11:21.0,,,27-26,,Technical foul by B. Lopez
11:21.0,P. Mills makes technical free throw,1,28-26,,
11:21.0,L. Aldridge enters the game for D. Lee,,28-26,,
11:09.0,,,28-26,,I. Whitehead misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by P. Mills,,28-26,,
10:57.0,P. Mills misses 2-pt shot from 18 ft,,28-26,,
10:56.0,,,28-26,,Defensive rebound by R. Hollis-Jefferson
10:46.0,,,28-26,,B. Lopez misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by J. Simmons,,28-26,,
10:34.0,J. Simmons makes 2-pt shot from 17 ft,2,30-26,,
10:19.0,,,30-28,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by I. Whitehead)
9:59.0,J. Simmons misses 2-pt shot from 18 ft,,30-28,,
9:57.0,,,30-28,,Defensive rebound by S. Kilpatrick
9:53.0,,,30-28,,Shooting foul by D. Bertans (drawn by R. Hollis-Jefferson)
9:53.0,,,30-29,1,R. Hollis-Jefferson makes free throw 1 of 2
9:53.0,,,30-30,1,R. Hollis-Jefferson makes free throw 2 of 2
9:53.0,D. Murray enters the game for P. Mills,,30-29,,
9:53.0,K. Anderson enters the game for D. Bertans,,30-29,,
9:33.0,L. Aldridge misses 2-pt shot from 18 ft,,30-30,,
9:32.0,,,30-30,,Defensive rebound by S. Kilpatrick
9:25.0,,,30-30,,S. Kilpatrick misses 2-pt shot from 8 ft
9:24.0,,,30-30,,Offensive rebound by B. Lopez
9:23.0,,,30-30,,Shooting foul by L. Aldridge (drawn by B. Lopez)
9:23.0,,,30-31,1,B. Lopez makes free throw 1 of 2
9:23.0,,,30-32,1,B. Lopez makes free throw 2 of 2
9:07.0,J. Simmons misses 2-pt shot from 16 ft,,30-32,,
9:06.0,Offensive rebound by Team,,30-32,,
9:06.0,,,30-32,,Loose ball foul by B. Lopez (drawn by L. Aldridge)
9:00.0,D. Green misses 2-pt shot from 6 ft,,30-32,,
8:59.0,Offensive rebound by L. Aldridge,,30-32,,
8:58.0,L. Aldridge makes 2-pt shot from 2 ft,2,32-32,,
8:44.0,,,32-32,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
8:43.0,Defensive rebound by J. Simmons,,32-32,,
8:27.0,J. Simmons misses 2-pt shot from 6 ft,,32-32,,
8:26.0,,,32-32,,Defensive rebound by S. Kilpatrick
8:19.0,Official timeout,,32-32,,
8:11.0,,,32-32,,I. Whitehead misses 2-pt shot from 5 ft
8:09.0,Defensive rebound by L. Aldridge,,32-32,,
7:48.0,Shooting foul by B. Bogdanovic (drawn by K. Anderson),,32-32,,
7:48.0,K. Anderson misses free throw 1 of 2,,32-32,,
7:48.0,Offensive rebound by Team,,32-32,,
7:48.0,K. Anderson makes free throw 2 of 2,1,33-32,,
7:48.0,,,32-32,,J. Hamilton enters the game for B. Lopez
7:48.0,D. Lee enters the game for J. Simmons,,32-32,,
7:35.0,,,33-32,,Turnover by S. Kilpatrick (lost ball; steal by D. Green)
7:28.0,Turnover by D. Green (step out of bounds),,33-32,,
7:15.0,,,33-32,,B. Bogdanovic misses 2-pt shot from 19 ft
7:13.0,Defensive rebound by K. Anderson,,33-32,,
7:00.0,K. Anderson makes 2-pt shot from 2 ft (assist by L. Aldridge),2,35-32,,
6:39.0,,,35-32,,I. Whitehead misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by L. Aldridge,,35-32,,
6:24.0,D. Murray misses 3-pt shot from 24 ft,,35-32,,
6:23.0,,,35-32,,Defensive rebound by I. Whitehead
6:14.0,,,35-32,,S. Kilpatrick misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by D. Murray,,35-32,,
6:05.0,Turnover by D. Lee (lost ball),,35-32,,
6:05.0,B. Forbes enters the game for D. Green,,35-32,,
6:05.0,,,35-32,,S. Dinwiddie enters the game for S. Kilpatrick
6:05.0,,,35-32,,Brooklyn full timeout
5:48.0,,,35-34,2,B. Bogdanovic makes 2-pt shot from 2 ft
5:31.0,,,35-34,,Personal foul by J. Hamilton (drawn by L. Aldridge)
5:31.0,P. Mills enters the game for D. Murray,,35-34,,
5:31.0,,,35-34,,R. Foye enters the game for B. Bogdanovic
5:16.0,L. Aldridge misses 2-pt shot from 12 ft,,35-34,,
5:15.0,,,35-34,,Defensive rebound by R. Hollis-Jefferson
4:58.0,,,35-36,2,I. Whitehead makes 2-pt shot from 2 ft
4:37.0,L. Aldridge makes 2-pt shot from 2 ft,2,37-36,,
4:28.0,,,37-36,,Turnover by R. Foye (bad pass)
4:28.0,,,37-36,,T. Booker enters the game for R. Hollis-Jefferson
4:13.0,L. Aldridge misses 2-pt shot from 7 ft (block by J. Hamilton),,37-36,,
4:11.0,,,37-36,,Defensive rebound by T. Booker
3:58.0,,,37-36,,J. Hamilton misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by D. Lee,,37-36,,
3:54.0,San Antonio full timeout,,37-36,,
3:54.0,,,37-36,,B. Lopez enters the game for J. Hamilton
3:54.0,,,37-36,,S. Kilpatrick enters the game for I. Whitehead
3:54.0,D. Dedmon enters the game for L. Aldridge,,37-36,,
3:46.0,D. Dedmon makes 2-pt shot from 2 ft (assist by K. Anderson),2,39-36,,
3:22.0,,,39-38,2,S. Dinwiddie makes 2-pt shot from 3 ft
3:02.0,B. Forbes misses 3-pt shot from 25 ft,,39-38,,
3:01.0,Offensive rebound by D. Lee,,39-38,,
3:00.0,D. Lee misses 2-pt shot from 3 ft,,39-38,,
2:59.0,,,39-38,,Defensive rebound by R. Foye
2:50.0,,,39-38,,R. Foye misses 2-pt shot from 1 ft
2:49.0,Defensive rebound by B. Forbes,,39-38,,
2:41.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson),3,42-38,,
2:28.0,Personal foul by D. Dedmon (drawn by B. Lopez),,42-38,,
2:21.0,,,42-38,,Turnover by B. Lopez (3 sec)
2:08.0,D. Lee misses 2-pt shot from 2 ft (block by B. Lopez),,42-38,,
2:06.0,Offensive rebound by B. Forbes,,42-38,,
2:04.0,Shooting foul by B. Lopez (drawn by D. Lee),,42-38,,
2:04.0,D. Lee makes free throw 1 of 2,1,43-38,,
2:04.0,D. Lee misses free throw 2 of 2,,43-38,,
2:04.0,D. Green enters the game for B. Forbes,,43-38,,
2:03.0,,,43-38,,Defensive rebound by T. Booker
1:45.0,,,43-40,2,T. Booker makes 2-pt shot at rim (assist by R. Foye)
1:29.0,P. Mills makes 2-pt shot from 19 ft (assist by D. Lee),2,45-40,,
1:21.0,,,45-40,,Offensive foul by B. Lopez
1:21.0,,,45-40,,Turnover by B. Lopez (offensive foul)
1:21.0,,,45-40,,Q. Acy enters the game for B. Lopez
1:21.0,,,45-40,,Violation by Team (jump ball)
1:09.0,D. Dedmon makes 2-pt shot from 2 ft (assist by P. Mills),2,47-40,,
1:00.0,,,47-40,,Turnover by T. Booker (bad pass)
1:00.0,J. Simmons enters the game for K. Anderson,,47-40,,
0:51.0,P. Mills makes 2-pt shot from 20 ft,2,49-40,,
0:43.0,,,49-42,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
0:26.0,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons),3,52-42,,
0:04.0,,,52-42,,S. Kilpatrick misses 2-pt shot from 2 ft (block by D. Dedmon)
0:03.0,,,52-42,,Offensive rebound by Team
0:03.0,,,52-42,,Brooklyn full timeout
0:02.0,,,52-42,,T. Booker misses 3-pt shot from 24 ft
0:02.0,,,52-42,,Offensive rebound by Team
0:02.0,,,52-42,,Turnover by Team (shot clock)
0:02.0,San Antonio full timeout,,52-42,,
0:02.0,D. Bertans enters the game for D. Lee,,52-42,,
0:01.0,D. Bertans misses 3-pt shot from 48 ft,,52-42,,
0:00.0,Offensive rebound by Team,,52-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Lee makes 2-pt shot from 4 ft (assist by D. Murray),2,54-42,,
11:30.0,,,54-42,,Turnover by B. Lopez (bad pass)
11:22.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green),2,56-42,,
11:05.0,,,56-44,2,B. Lopez makes 2-pt shot from 9 ft
10:53.0,D. Green misses 2-pt shot from 1 ft,,56-44,,
10:52.0,Offensive rebound by L. Aldridge,,56-44,,
10:51.0,L. Aldridge makes 2-pt shot from 1 ft,2,58-44,,
10:31.0,,,58-47,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by R. Foye)
10:09.0,K. Anderson makes 2-pt shot from 3 ft (assist by L. Aldridge),2,60-47,,
9:48.0,,,60-47,,B. Lopez misses 2-pt shot from 6 ft
9:46.0,Defensive rebound by D. Murray,,60-47,,
9:35.0,L. Aldridge misses 2-pt shot from 5 ft,,60-47,,
9:34.0,Offensive rebound by D. Lee,,60-47,,
9:27.0,K. Anderson makes 2-pt shot at rim (assist by L. Aldridge),2,62-47,,
9:25.0,,,62-47,,Brooklyn full timeout
9:02.0,,,62-47,,Turnover by B. Bogdanovic (bad pass; steal by L. Aldridge)
8:46.0,K. Anderson makes 2-pt shot from 2 ft,2,64-47,,
8:34.0,,,64-49,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Foye)
8:18.0,D. Murray misses 3-pt shot from 25 ft,,64-49,,
8:15.0,,,64-49,,Defensive rebound by B. Bogdanovic
8:13.0,,,64-49,,Turnover by B. Bogdanovic (lost ball; steal by D. Green)
8:07.0,J. Simmons enters the game for D. Murray,,64-49,,
7:55.0,D. Lee makes 2-pt shot from 18 ft,2,66-49,,
7:39.0,,,66-49,,Shooting foul by D. Lee (drawn by T. Booker)
7:39.0,,,66-51,2,T. Booker makes 2-pt shot from 10 ft
7:39.0,,,66-52,1,T. Booker makes free throw 1 of 1
7:39.0,,,66-51,,S. Kilpatrick enters the game for B. Bogdanovic
7:25.0,L. Aldridge misses 2-pt shot from 19 ft,,66-52,,
7:24.0,,,66-52,,Defensive rebound by S. Kilpatrick
7:15.0,,,66-52,,Turnover by R. Foye (bad pass; steal by D. Lee)
7:11.0,,,66-52,,Violation by S. Dinwiddie (kicked ball)
7:01.0,D. Lee misses 2-pt shot from 1 ft,,66-52,,
7:00.0,,,66-52,,Defensive rebound by T. Booker
6:54.0,,,66-54,2,T. Booker makes 2-pt shot from 3 ft
6:54.0,San Antonio full timeout,,66-54,,
6:54.0,,,66-54,,I. Whitehead enters the game for S. Dinwiddie
6:54.0,D. Dedmon enters the game for K. Anderson,,66-54,,
6:54.0,P. Mills enters the game for D. Lee,,66-54,,
6:43.0,J. Simmons makes 2-pt shot from 19 ft,2,68-54,,
6:34.0,,,68-54,,T. Booker misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by J. Simmons,,68-54,,
6:17.0,L. Aldridge makes 2-pt shot from 2 ft,2,70-54,,
6:01.0,,,70-56,2,I. Whitehead makes 2-pt shot from 19 ft
5:48.0,L. Aldridge makes 2-pt shot from 20 ft,2,72-56,,
5:29.0,,,72-56,,S. Kilpatrick misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by D. Dedmon,,72-56,,
5:13.0,L. Aldridge misses 2-pt shot from 10 ft,,72-56,,
5:12.0,,,72-56,,Defensive rebound by S. Kilpatrick
5:03.0,,,72-56,,S. Kilpatrick misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by D. Dedmon,,72-56,,
4:57.0,Shooting foul by R. Foye (drawn by J. Simmons),,72-56,,
4:57.0,J. Simmons makes free throw 1 of 2,1,73-56,,
4:57.0,J. Simmons makes free throw 2 of 2,1,74-56,,
4:57.0,,,73-56,,R. Hollis-Jefferson enters the game for T. Booker
4:57.0,D. Bertans enters the game for L. Aldridge,,73-56,,
4:43.0,Personal foul by D. Bertans (drawn by B. Lopez),,74-56,,
4:43.0,,,74-56,,Q. Acy enters the game for B. Lopez
4:40.0,,,74-56,,Offensive charge foul by Q. Acy
4:40.0,,,74-56,,Turnover by Q. Acy (offensive foul)
4:28.0,P. Mills makes 3-pt shot from 25 ft,3,77-56,,
4:16.0,,,77-56,,I. Whitehead misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by D. Bertans,,77-56,,
4:08.0,Turnover by D. Dedmon (bad pass),,77-56,,
3:46.0,,,77-58,2,S. Kilpatrick makes 2-pt shot from 3 ft
3:37.0,P. Mills misses 3-pt shot from 25 ft,,77-58,,
3:35.0,,,77-58,,Defensive rebound by S. Kilpatrick
3:29.0,,,77-58,,Shooting foul by D. Bertans (drawn by I. Whitehead)
3:29.0,,,77-59,1,I. Whitehead makes free throw 1 of 2
3:29.0,,,77-60,1,I. Whitehead makes free throw 2 of 2
3:29.0,,,77-60,,Personal foul by Q. Acy (drawn by D. Bertans)
3:29.0,Personal foul by D. Bertans (drawn by I. Whitehead),,77-60,,
3:29.0,K. Anderson enters the game for D. Green,,77-60,,
3:24.0,Shooting foul by R. Foye (drawn by D. Dedmon),,77-60,,
3:24.0,D. Dedmon makes free throw 1 of 2,1,78-60,,
3:24.0,D. Dedmon makes free throw 2 of 2,1,79-60,,
3:24.0,,,78-60,,S. Dinwiddie enters the game for R. Foye
3:14.0,,,79-60,,Turnover by I. Whitehead (offensive foul)
3:14.0,,,79-60,,Loose ball foul by I. Whitehead
3:01.0,J. Simmons makes 3-pt shot from 25 ft (assist by D. Bertans),3,82-60,,
2:42.0,,,82-62,2,S. Kilpatrick makes 2-pt shot from 21 ft
2:23.0,D. Bertans misses 3-pt shot from 25 ft,,82-62,,
2:22.0,,,82-62,,Defensive rebound by R. Hollis-Jefferson
2:12.0,,,82-62,,S. Kilpatrick misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by J. Simmons,,82-62,,
2:02.0,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons),3,85-62,,
1:51.0,,,85-62,,Q. Acy misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by D. Dedmon,,85-62,,
1:44.0,Shooting foul by S. Kilpatrick,,85-62,,
1:44.0,P. Mills misses free throw 1 of 2,,85-62,,
1:44.0,Offensive rebound by Team,,85-62,,
1:44.0,P. Mills makes free throw 2 of 2,1,86-62,,
1:32.0,,,86-62,,Shooting foul by D. Bertans (drawn by I. Whitehead)
1:32.0,,,86-63,1,I. Whitehead makes free throw 1 of 2
1:32.0,,,86-64,1,I. Whitehead makes free throw 2 of 2
1:14.0,J. Simmons misses 3-pt shot from 25 ft,,86-64,,
1:13.0,Offensive rebound by P. Mills,,86-64,,
1:07.0,D. Bertans makes 3-pt shot from 25 ft (assist by P. Mills),3,89-64,,
0:58.0,,,89-64,,I. Whitehead misses 2-pt shot from 2 ft
0:55.0,Defensive rebound by D. Dedmon,,89-64,,
0:51.0,Offensive foul by D. Dedmon,,89-64,,
0:51.0,Turnover by D. Dedmon (offensive foul),,89-64,,
0:51.0,D. Green enters the game for D. Bertans,,89-64,,
0:39.0,,,89-64,,Shooting foul by D. Dedmon (drawn by S. Kilpatrick)
0:39.0,,,89-65,1,S. Kilpatrick makes free throw 1 of 2
0:39.0,,,89-66,1,S. Kilpatrick makes free throw 2 of 2
0:26.0,Turnover by P. Mills (lost ball; steal by Q. Acy),,89-66,,
0:20.0,,,89-68,2,I. Whitehead makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
0:20.0,,,89-68,,Shooting foul by J. Simmons (drawn by I. Whitehead)
0:20.0,,,89-69,1,I. Whitehead makes free throw 1 of 1
0:04.0,Shooting foul by I. Whitehead (drawn by J. Simmons),,89-69,,
0:04.0,J. Simmons makes free throw 1 of 2,1,90-69,,
0:04.0,J. Simmons makes free throw 2 of 2,1,91-69,,
0:01.0,,,91-69,,S. Kilpatrick misses 3-pt shot from 38 ft
0:00.0,,,91-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Personal foul by D. Dedmon (drawn by B. Bogdanovic),,91-69,,
11:33.0,,,91-69,,B. Bogdanovic misses 2-pt shot from 3 ft
11:32.0,Defensive rebound by L. Aldridge,,91-69,,
11:15.0,L. Aldridge misses 2-pt shot from 18 ft,,91-69,,
11:14.0,,,91-69,,Defensive rebound by S. Dinwiddie
11:05.0,,,91-69,,S. Dinwiddie misses 2-pt shot from 4 ft (block by L. Aldridge)
11:04.0,,,91-69,,Offensive rebound by Team
10:57.0,,,91-69,,B. Bogdanovic misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by D. Dedmon,,91-69,,
10:44.0,B. Forbes misses 2-pt shot from 1 ft,,91-69,,
10:43.0,,,91-69,,Defensive rebound by Team
10:43.0,D. Green enters the game for J. Simmons,,91-69,,
10:30.0,,,91-69,,Shooting foul by L. Aldridge (drawn by R. Foye)
10:30.0,,,91-69,,R. Foye misses free throw 1 of 2
10:30.0,,,91-69,,Offensive rebound by Team
10:30.0,,,91-70,1,R. Foye makes free throw 2 of 2
10:30.0,D. Lee enters the game for D. Dedmon,,91-69,,
10:15.0,D. Murray makes 2-pt shot from 15 ft,2,93-70,,
10:00.0,,,93-70,,R. Foye misses 2-pt shot from 18 ft
9:59.0,Defensive rebound by L. Aldridge,,93-70,,
9:54.0,,,93-70,,Personal foul by B. Bogdanovic (drawn by D. Lee)
9:44.0,D. Green misses 3-pt shot from 24 ft,,93-70,,
9:42.0,,,93-70,,Defensive rebound by Team
9:24.0,,,93-70,,Turnover by S. Dinwiddie (traveling)
9:02.0,Turnover by L. Aldridge (traveling),,93-70,,
9:02.0,,,93-70,,I. Whitehead enters the game for B. Bogdanovic
8:50.0,,,93-72,2,S. Dinwiddie makes 2-pt shot from 1 ft
8:29.0,B. Forbes misses 3-pt shot from 25 ft,,93-72,,
8:28.0,,,93-72,,Defensive rebound by J. Hamilton
8:21.0,Personal foul by D. Murray (drawn by Q. Acy),,93-72,,
8:21.0,Official timeout,,93-72,,
8:21.0,D. Dedmon enters the game for B. Forbes,,93-72,,
8:21.0,K. Anderson enters the game for L. Aldridge,,93-72,,
8:10.0,,,93-74,2,S. Dinwiddie makes 2-pt shot from 18 ft
7:47.0,D. Lee makes 2-pt shot from 8 ft,2,95-74,,
7:33.0,,,95-74,,S. Dinwiddie misses 3-pt shot from 25 ft
7:32.0,,,95-74,,Offensive rebound by Team
7:32.0,,,95-74,,L. Scola enters the game for Q. Acy
7:32.0,,,95-74,,S. Kilpatrick enters the game for S. Dinwiddie
7:23.0,,,95-74,,J. Hamilton misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by D. Lee,,95-74,,
7:06.0,K. Anderson makes 2-pt shot from 20 ft (assist by D. Lee),2,97-74,,
6:57.0,,,97-74,,L. Scola misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by D. Green,,97-74,,
6:48.0,,,97-74,,Personal foul by I. Whitehead (drawn by D. Murray)
6:32.0,D. Murray misses 2-pt shot from 13 ft,,97-74,,
6:30.0,Offensive rebound by D. Murray,,97-74,,
6:16.0,D. Lee misses 2-pt shot from 17 ft,,97-74,,
6:14.0,,,97-74,,Defensive rebound by S. Kilpatrick
5:56.0,,,97-74,,I. Whitehead misses 2-pt shot from 3 ft (block by K. Anderson)
5:54.0,Defensive rebound by K. Anderson,,97-74,,
5:49.0,D. Murray makes 2-pt shot from 4 ft,2,99-74,,
5:29.0,,,99-74,,I. Whitehead misses 2-pt shot from 18 ft
5:28.0,,,99-74,,Offensive rebound by J. Hamilton
5:19.0,,,99-74,,L. Scola misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by D. Green,,99-74,,
