time,Golden State,pts.away,score,pts.home,Detroit
0:32.0,S. Curry misses 3-pt shot from 26 ft,,55-59,,
0:31.0,,,55-59,,Defensive rebound by T. Harris
0:07.0,,,55-59,,R. Jackson misses 2-pt shot from 17 ft
0:07.0,Defensive rebound by S. Curry,,55-59,,
0:02.0,Shooting foul by R. Jackson (drawn by K. Thompson),,55-59,,
0:02.0,K. Thompson makes free throw 1 of 2,1,56-59,,
0:02.0,K. Thompson makes free throw 2 of 2,1,57-59,,
0:02.0,S. Livingston enters the game for K. Durant,,56-59,,
0:01.0,,,57-59,,R. Jackson misses 3-pt shot from 51 ft
0:00.0,,,57-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Thompson misses 2-pt shot from 1 ft (block by K. Caldwell-Pope),,57-59,,
11:45.0,,,57-59,,Defensive rebound by A. Drummond
11:40.0,,,57-59,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by D. Green,,57-59,,
11:29.0,K. Durant misses 2-pt shot from 18 ft,,57-59,,
11:28.0,,,57-59,,Defensive rebound by A. Drummond
11:07.0,,,57-61,2,R. Jackson makes 2-pt shot at rim
10:50.0,S. Curry misses 2-pt shot from 10 ft,,57-61,,
10:50.0,,,57-61,,Defensive rebound by M. Morris
10:41.0,,,57-61,,M. Morris misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by Z. Pachulia,,57-61,,
10:24.0,D. Green misses 3-pt shot from 27 ft,,57-61,,
10:24.0,,,57-61,,Defensive rebound by J. Leuer
10:09.0,,,57-63,2,A. Drummond makes 2-pt shot from 1 ft
9:55.0,Shooting foul by M. Morris (drawn by Z. Pachulia),,57-63,,
9:55.0,Z. Pachulia makes free throw 1 of 2,1,58-63,,
9:55.0,Z. Pachulia makes free throw 2 of 2,1,59-63,,
9:55.0,,,58-63,,T. Harris enters the game for M. Morris
9:43.0,,,59-63,,Turnover by A. Drummond (lost ball; steal by D. Green)
9:37.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,61-63,,
9:24.0,,,61-63,,R. Jackson misses 2-pt shot from 6 ft
9:24.0,Defensive rebound by D. Green,,61-63,,
9:23.0,Turnover by K. Thompson (step out of bounds),,61-63,,
9:04.0,,,61-65,2,T. Harris makes 2-pt shot from 14 ft
8:47.0,S. Curry misses 3-pt shot from 26 ft,,61-65,,
8:47.0,Offensive rebound by Z. Pachulia,,61-65,,
8:46.0,Z. Pachulia makes 2-pt shot at rim,2,63-65,,
8:46.0,Shooting foul by A. Drummond (drawn by Z. Pachulia),,63-65,,
8:46.0,Z. Pachulia makes free throw 1 of 1,1,64-65,,
8:24.0,,,64-67,2,R. Jackson makes 2-pt shot from 7 ft
8:00.0,K. Thompson misses 3-pt shot from 24 ft,,64-67,,
8:00.0,,,64-67,,Defensive rebound by J. Leuer
7:54.0,Personal foul by D. Green (drawn by R. Jackson),,64-67,,
7:37.0,,,64-69,2,R. Jackson makes 2-pt shot from 9 ft (assist by T. Harris)
7:25.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,67-69,,
7:11.0,,,67-69,,J. Leuer misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by K. Thompson,,67-69,,
7:00.0,K. Thompson misses 3-pt shot from 25 ft,,67-69,,
6:59.0,,,67-69,,Defensive rebound by A. Drummond
6:51.0,,,67-69,,Turnover by T. Harris (lost ball)
6:39.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,69-69,,
6:39.0,,,69-69,,Detroit full timeout
6:18.0,,,69-69,,Shooting foul by D. Green (drawn by A. Drummond)
6:18.0,,,69-69,,A. Drummond misses free throw 1 of 2
6:18.0,,,69-69,,Offensive rebound by Team
6:18.0,,,69-70,1,A. Drummond makes free throw 2 of 2
6:02.0,K. Durant makes 2-pt shot from 18 ft (assist by D. Green),2,71-70,,
5:53.0,Violation by Team (jump ball),,71-70,,
5:53.0,,,71-70,,Shooting foul by K. Durant (drawn by K. Caldwell-Pope)
5:53.0,,,71-71,1,K. Caldwell-Pope makes free throw 1 of 2
5:53.0,,,71-72,1,K. Caldwell-Pope makes free throw 2 of 2
5:46.0,K. Durant makes 2-pt shot from 15 ft (assist by D. Green),2,73-72,,
5:46.0,Shooting foul by J. Leuer (drawn by K. Durant),,73-72,,
5:46.0,K. Durant makes free throw 1 of 1,1,74-72,,
5:36.0,,,74-72,,Turnover by A. Drummond (bad pass; steal by Z. Pachulia)
5:36.0,,,74-72,,Personal foul by R. Jackson (drawn by D. Green)
5:36.0,J. McGee enters the game for Z. Pachulia,,74-72,,
5:20.0,Shooting foul by K. Caldwell-Pope (drawn by J. McGee),,74-72,,
5:20.0,J. McGee makes free throw 1 of 2,1,75-72,,
5:20.0,J. McGee makes free throw 2 of 2,1,76-72,,
5:05.0,,,76-74,2,R. Jackson makes 2-pt shot from 16 ft
4:52.0,K. Thompson misses 3-pt shot from 23 ft,,76-74,,
4:52.0,,,76-74,,Defensive rebound by T. Harris
4:45.0,,,76-74,,Shooting foul by J. McGee (drawn by A. Drummond)
4:45.0,,,76-75,1,A. Drummond makes free throw 1 of 2
4:45.0,,,76-75,,A. Drummond misses free throw 2 of 2
4:45.0,A. Iguodala enters the game for K. Durant,,76-75,,
4:44.0,Defensive rebound by J. McGee,,76-75,,
4:33.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,78-75,,
4:28.0,,,78-75,,Detroit full timeout
4:16.0,,,78-75,,J. Leuer misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by S. Curry,,78-75,,
4:07.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,80-75,,
4:07.0,Shooting foul by A. Drummond (drawn by J. McGee),,80-75,,
4:07.0,J. McGee makes free throw 1 of 1,1,81-75,,
4:07.0,,,80-75,,A. Baynes enters the game for A. Drummond
3:56.0,,,81-78,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
3:34.0,S. Curry misses 3-pt shot from 26 ft,,81-78,,
3:34.0,,,81-78,,Defensive rebound by R. Jackson
3:26.0,,,81-78,,Turnover by R. Jackson (bad pass; steal by D. Green)
3:14.0,J. McGee makes 2-pt shot at rim (assist by A. Iguodala),2,83-78,,
2:54.0,,,83-78,,R. Jackson misses 2-pt shot from 5 ft (block by J. McGee)
2:54.0,,,83-78,,Offensive rebound by Team
2:54.0,Golden State full timeout,,83-78,,
2:54.0,,,83-78,,I. Smith enters the game for R. Jackson
2:54.0,I. Clark enters the game for K. Thompson,,83-78,,
2:43.0,,,83-78,,T. Harris misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by I. Clark,,83-78,,
2:27.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,86-78,,
2:11.0,,,86-81,3,T. Harris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
1:54.0,Offensive foul by J. McGee,,86-81,,
1:54.0,Turnover by J. McGee (offensive foul),,86-81,,
1:42.0,,,86-81,,Shooting foul by J. McGee (drawn by K. Caldwell-Pope)
1:42.0,,,86-82,1,K. Caldwell-Pope makes free throw 1 of 2
1:42.0,,,86-82,,K. Caldwell-Pope misses free throw 2 of 2
1:42.0,Defensive rebound by D. West,,86-82,,
1:42.0,D. West enters the game for J. McGee,,86-82,,
1:42.0,,,86-82,,S. Johnson enters the game for J. Leuer
1:21.0,S. Curry misses 2-pt shot from 17 ft,,86-82,,
1:21.0,,,86-82,,Defensive rebound by S. Johnson
1:06.0,,,86-82,,S. Johnson misses 2-pt shot from 14 ft
1:06.0,Defensive rebound by D. Green,,86-82,,
1:01.0,,,86-82,,Personal foul by T. Harris (drawn by D. Green)
1:01.0,D. Green makes free throw 1 of 2,1,87-82,,
1:01.0,D. Green makes free throw 2 of 2,1,88-82,,
0:39.0,,,88-82,,Turnover by I. Smith (bad pass; steal by D. West)
0:35.0,Turnover by S. Curry (lost ball; steal by I. Smith),,88-82,,
0:31.0,,,88-84,2,T. Harris makes 2-pt shot at rim (assist by A. Baynes)
0:10.0,Turnover by D. Green (traveling),,88-84,,
0:10.0,K. Durant enters the game for I. Clark,,88-84,,
0:02.0,,,88-84,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:00.0,,,88-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-84,,Shooting foul by D. West (drawn by T. Harris)
11:46.0,,,88-85,1,T. Harris makes free throw 1 of 2
11:46.0,,,88-86,1,T. Harris makes free throw 2 of 2
11:37.0,Turnover by K. Thompson (bad pass; steal by S. Johnson),,88-86,,
11:35.0,,,88-86,,Shooting foul by K. Durant (drawn by S. Johnson)
11:35.0,,,88-86,,S. Johnson misses free throw 1 of 2
11:35.0,,,88-86,,Offensive rebound by Team
11:35.0,,,88-87,1,S. Johnson makes free throw 2 of 2
11:23.0,,,88-87,,Personal foul by S. Johnson (drawn by K. Durant)
11:15.0,S. Livingston makes 2-pt shot from 1 ft (assist by D. West),2,90-87,,
10:56.0,,,90-89,2,K. Caldwell-Pope makes 2-pt shot at rim
10:47.0,Turnover by K. Durant (step out of bounds),,90-89,,
10:21.0,,,90-89,,I. Smith misses 2-pt shot from 16 ft
10:21.0,,,90-89,,Offensive rebound by A. Baynes
10:18.0,,,90-91,2,A. Baynes makes 2-pt shot from 1 ft
10:07.0,S. Livingston misses 2-pt shot from 11 ft,,90-91,,
10:06.0,,,90-91,,Defensive rebound by T. Harris
10:04.0,,,90-91,,Turnover by I. Smith (lost ball; steal by S. Livingston)
10:04.0,,,90-91,,Personal foul by I. Smith (drawn by K. Durant)
9:51.0,K. Thompson misses 3-pt shot from 24 ft,,90-91,,
9:51.0,,,90-91,,Defensive rebound by T. Harris
9:42.0,,,90-93,2,A. Baynes makes 2-pt shot from 1 ft (assist by I. Smith)
9:42.0,Golden State full timeout,,90-93,,
9:30.0,Turnover by A. Iguodala (bad pass; steal by S. Johnson),,90-93,,
9:24.0,,,90-95,2,T. Harris makes 2-pt shot at rim (assist by S. Johnson)
9:01.0,D. West makes 2-pt shot from 18 ft (assist by S. Livingston),2,92-95,,
8:35.0,,,92-95,,Turnover by Team (shot clock)
8:35.0,I. Clark enters the game for A. Iguodala,,92-95,,
8:20.0,K. Durant makes 2-pt shot from 10 ft (assist by I. Clark),2,94-95,,
8:05.0,,,94-95,,T. Harris misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by Team,,94-95,,
8:05.0,,,94-95,,M. Morris enters the game for T. Harris
7:50.0,K. Durant makes 2-pt shot from 15 ft (assist by S. Livingston),2,96-95,,
7:35.0,,,96-95,,M. Morris misses 2-pt shot from 18 ft
7:35.0,,,96-95,,Offensive rebound by K. Caldwell-Pope
7:24.0,,,96-95,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:24.0,Defensive rebound by K. Durant,,96-95,,
7:19.0,Turnover by K. Durant (bad pass; steal by M. Morris),,96-95,,
7:14.0,,,96-95,,Shooting foul by K. Durant (drawn by S. Johnson)
7:14.0,,,96-96,1,S. Johnson makes free throw 1 of 2
7:14.0,,,96-96,,S. Johnson misses free throw 2 of 2
7:14.0,D. Green enters the game for K. Durant,,96-96,,
7:14.0,,,96-96,,J. Leuer enters the game for K. Caldwell-Pope
7:12.0,Defensive rebound by S. Livingston,,96-96,,
6:56.0,D. West makes 2-pt shot from 17 ft (assist by K. Thompson),2,98-96,,
6:39.0,,,98-99,3,I. Smith makes 3-pt shot from 25 ft
6:24.0,I. Clark makes 2-pt shot from 1 ft (assist by D. West),2,100-99,,
6:03.0,,,100-99,,M. Morris misses 2-pt shot from 16 ft
6:03.0,,,100-99,,Offensive rebound by A. Baynes
5:59.0,,,100-99,,A. Baynes misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by D. Green,,100-99,,
5:50.0,I. Clark makes 2-pt shot at rim (assist by D. West),2,102-99,,
5:29.0,,,102-99,,S. Johnson misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by D. Green,,102-99,,
5:18.0,Turnover by I. Clark (bad pass; steal by S. Johnson),,102-99,,
5:10.0,,,102-99,,I. Smith misses 2-pt shot from 14 ft
5:08.0,,,102-99,,Offensive rebound by J. Leuer
5:02.0,Personal foul by D. West (drawn by I. Smith),,102-99,,
5:02.0,Official timeout,,102-99,,
5:02.0,,,102-99,,R. Jackson enters the game for I. Smith
5:02.0,,,102-99,,A. Drummond enters the game for A. Baynes
5:02.0,Z. Pachulia enters the game for K. Thompson,,102-99,,
5:02.0,S. Curry enters the game for D. West,,102-99,,
5:02.0,A. Iguodala enters the game for S. Livingston,,102-99,,
5:02.0,,,102-99,,K. Caldwell-Pope enters the game for S. Johnson
4:53.0,,,102-101,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson)
4:25.0,Turnover by S. Curry (bad pass; steal by M. Morris),,102-101,,
4:11.0,,,102-104,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
3:48.0,S. Curry makes 2-pt shot at rim,2,104-104,,
3:32.0,,,104-104,,Turnover by R. Jackson (bad pass; steal by S. Curry)
3:20.0,D. Green misses 2-pt shot from 17 ft,,104-104,,
